C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:03:39

dec< 0&rah >=12.0&rah< 12.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5795

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
2585|TYC 8241-140-1                                                        |Star                              |12 02 15.3652462224 -52 24 03.152560536|295.3564435699063 +09.7459766391336|  -5.098 -2.876   |10.87    |~               |    ~     ~    |    1|  912.076   pc  | -10.9808    +10.9808    |paral   |2020yCat.1350....0G
2586|TYC 8241-249-1                                                        |Star                              |12 08 58.4582669856 -52 21 29.148558732|296.3723642236238 +09.9719909992874| -14.100 -2.870   |10.97    |~               |    ~     ~    |    1|  460.448   pc  |  -2.8834     +2.8834    |paral   |2020yCat.1350....0G
2587|TYC 8241-294-1                                                        |Star                              |12 05 26.0688487800 -52 07 11.361707688|295.7883989465615 +10.1127029813857|   -6.521 1.460   |9.89     |~               |    ~     ~    |    1|  940.380   pc  | -12.9110    +12.9110    |paral   |2020yCat.1350....0G
2588|TYC 8241-528-1                                                        |Star                              |12 11 05.1208973280 -50 45 45.281013768|296.4374862271574 +11.5996272021644|  -1.520 -3.623   |10.667   |~               |    ~     ~    |    1|  940.357   pc  | -42.7400    +42.7400    |ST-L    |2020AJ....160...83S
2589|TYC 8241-747-1                                                        |Star                              |12 00 45.8187181080 -52 00 17.103661884|295.0502491050662 +10.0898208334902|  -1.747 -0.777   |9.86     |~               |    ~     ~    |    1| 1468.644   pc  | -29.1184    +29.1184    |paral   |2020yCat.1350....0G
2590|TYC 8241-882-1                                                        |Star                              |12 04 42.1394512704 -50 40 24.064464468|295.4059296867338 +11.5141993264258|  -9.589 32.493   |10.862   |~               |    ~     ~    |    1|  763.148   pc  | -31.9700    +31.9700    |ST-L    |2020AJ....160...83S
2591|TYC 8241-1072-1                                                       |Star                              |12 02 40.7713719120 -51 04 15.698149176|295.1624140100500 +11.0636927449853|   -9.041 6.032   |10.788   |~               |    ~     ~    |    1|  594.814   pc  | -20.6800    +20.6800    |ST-L    |2020AJ....160...83S
2592|TYC 8241-1088-1                                                       |Star                              |12 06 39.2841563760 -51 07 10.392496536|295.7966901438659 +11.1307118258300|  -6.668 -0.735   |9.80     |~               |    ~     ~    |    1| 1403.706   pc  | -30.9351    +30.9351    |paral   |2020yCat.1350....0G
2593|TYC 8241-1253-1                                                       |Star                              |12 05 41.2190295144 -52 06 32.320007784|295.8251546257754 +10.1303397756748|-16.614 -14.493   |10.771   |~               |    ~     ~    |    1|  533.355   pc  | -16.9900    +16.9900    |ST-L    |2020AJ....160...83S
2594|TYC 8241-1388-1                                                       |Star                              |12 10 43.3467378264 -51 07 21.793150308|296.4386084876423 +11.2349778701997| -8.592 -11.266   |10.72    |~               |    ~     ~    |    1|  329.283   pc  |  -3.4588     +3.4588    |paral   |2020yCat.1350....0G
2595|TYC 8241-1504-1                                                       |Star                              |12 06 30.8391631992 -51 08 14.377495452|295.7777325437161 +11.1093218639446|  -6.630 -0.356   |10.64    |~               |    ~     ~    |    1| 1113.834   pc  | -16.6244    +16.6244    |paral   |2020yCat.1350....0G
2596|TYC 8241-1544-1                                                       |Star                              |12 02 56.205336 -50 56 26.87532        |295.177541957 +11.199253027        |      -13.4 5.0   |10.931   |~               |    ~     ~    |    0|                |                         |        |                   
2597|TYC 8241-1663-1                                                       |Star                              |12 03 12.9726847680 -52 00 25.027130448|295.4268402894080 +10.1607142237099| -13.292 -7.541   |10.74    |~               |    ~     ~    |    1|  856.091   pc  | -10.3338    +10.3338    |paral   |2020yCat.1350....0G
2598|TYC 8241-1728-1                                                       |Star                              |12 08 18.1428134952 -51 15 32.032584612|296.0803502360700 +11.0381000172287|  -25.087 4.255   |10.77    |~               |    ~     ~    |    1|  555.247   pc  |  -4.0387     +4.0387    |paral   |2020yCat.1350....0G
2599|TYC 8241-1748-1                                                       |Star                              |12 06 32.4124021608 -51 01 10.126778412|295.7606468378608 +11.2260437757386|  -4.347 -4.550   |10.40    |~               |    ~     ~    |    1| 1268.553   pc  | -23.3338    +23.3338    |paral   |2020yCat.1350....0G
2600|TYC 8241-1796-1                                                       |Star                              |12 08 19.0829098440 -51 14 13.527587256|296.0790431248180 +11.0600068376495|   -8.406 3.168   |10.67    |~               |    ~     ~    |    1|  997.904   pc  | -14.3397    +14.3397    |paral   |2020yCat.1350....0G
2601|TYC 8241-1956-1                                                       |Star                              |12 06 12.5134160712 -51 23 02.659935120|295.7743586092144 +10.8580145807040|  -4.353 -0.647   |10.93    |~               |    ~     ~    |    1|  575.109   pc  |  -5.0605     +5.0605    |paral   |2020yCat.1350....0G
2602|TYC 8241-2142-1                                                       |Star                              |12 09 12.4066052424 -51 24 51.039676728|296.2487451327054 +10.9087356073384|  -44.481 4.722   |10.30    |~               |    ~     ~    |    1|  716.486   pc  |  -7.5463     +7.5463    |paral   |2020yCat.1350....0G
2603|TYC 8241-2164-1                                                       |Star                              |12 05 25.7440848336 -51 09 57.892287276|295.6123982045120 +11.0506222947234| -19.891 -5.221   |10.79    |~               |    ~     ~    |    1|  328.612   pc  |  -1.6846     +1.6846    |paral   |2020yCat.1350....0G
2604|TYC 8241-2278-1                                                       |Star                              |12 04 57.8513565120 -51 10 56.263094400|295.5423986117818 +11.0214376612143|  -11.718 4.790   |10.04    |~               |    ~     ~    |    1| 1132.759   pc  | -20.7869    +20.7869    |paral   |2020yCat.1350....0G
2605|TYC 8241-2291-1                                                       |Star                              |12 02 44.1540075144 -51 33 55.238004072|295.2674483927673 +10.5801813320805|   2.520 -7.706   |10.31    |~               |    ~     ~    |    1|  644.538   pc  |  -6.3145     +6.3145    |paral   |2020yCat.1350....0G
2606|TYC 8241-2328-1                                                       |Star                              |12 02 26.2953204096 -50 45 13.469857164|295.0622454899561 +11.3677689570346|      -12.9 1.4   |10.861   |~               |    ~     ~    |    0|                |                         |        |                   
2607|TYC 8241-2636-1                                                       |Star                              |12 02 46.4158130544 -51 20 08.036265660|295.2286638460067 +10.8068531103559|   1.326 -3.333   |10.55    |~               |    ~     ~    |    1| 2112.379   pc  | -80.7648    +80.7648    |paral   |2020yCat.1350....0G
2608|TYC 8241-2689-1                                                       |Star                              |12 09 11.5784199552 -51 46 41.438159184|296.3080922055395 +10.5494303166797|  -3.005 -8.569   |10.77    |~               |    ~     ~    |    1|  933.358   pc  | -12.0220    +12.0220    |paral   |2020yCat.1350....0G
2609|TYC 8241-2731-1                                                       |Star                              |12 02 07.0007745480 -51 46 56.461649592|295.2140283022984 +10.3487762754200|  -10.142 3.035   |10.73    |~               |    ~     ~    |    1| 1061.233   pc  | -14.5282    +14.5282    |paral   |2020yCat.1350....0G
2610|TYC 8241-2750-1                                                       |Star                              |12 02 54.6375171624 -51 41 19.045315536|295.3184193409158 +10.4643287748356|   0.252 -0.755   |10.32    |~               |    ~     ~    |    1| 1151.145   pc  | -17.7568    +17.7568    |paral   |2020yCat.1350....0G
2611|TYC 8241-2820-1                                                       |Star                              |12 09 59.3729154504 -51 21 16.691876712|296.3614631803308 +10.9875638671418|   -1.043 0.032   |10.63    |~               |    ~     ~    |    1|  933.445   pc  | -13.5926    +13.5926    |paral   |2020yCat.1350....0G
2612|TYC 8241-2920-1                                                       |Star                              |12 01 34.3340661240 -50 54 26.632955628|294.9558918496301 +11.1904785638732| -25.525 -2.881   |10.96    |~               |    ~     ~    |    1|  364.100   pc  |  -2.0018     +2.0018    |paral   |2020yCat.1350....0G
2613|TYC 8241-2956-1                                                       |High Proper Motion Star           |12 10 09.3266663856 -51 51 40.750008480|296.4711927869879 +10.4918134503674|-50.314 -62.811   |10.65    |~               |    ~     ~    |    1|  143.207   pc  |  -0.2933     +0.2933    |paral   |2020yCat.1350....0G
2614|TYC 8241-2964-1                                                       |Star                              |12 08 09.9239160528 -51 41 02.000735376|296.1324212431385 +10.6156585407247| -36.114 27.065   |10.80    |~               |    ~     ~    |    1|  228.891   pc  |  -0.7544     +0.7544    |paral   |2020yCat.1350....0G
2615|TYC 8241-3067-1                                                       |Star                              |12 02 55.0238247696 -51 19 22.470495672|295.2486045632633 +10.8235513106506|  8.825 -10.630   |10.16    |~               |    ~     ~    |    1|  934.667   pc  | -12.4051    +12.4051    |paral   |2020yCat.1350....0G
2616|TYC 8242-408-1                                                        |Star                              |12 13 37.3929434136 -51 52 07.255983000|297.0102568492895 +10.5677522626072|  -9.069 -1.408   |10.91    |~               |    ~     ~    |    1|  290.116   pc  | -18.8198    +18.8198    |paral   |2020yCat.1350....0G
2617|TYC 8242-1240-1                                                       |Star                              |12 13 53.9577460488 -51 10 23.448955548|296.9484412945822 +11.2619302675530|  -11.831 0.867   |10.29    |~               |    ~     ~    |    1| 1056.301   pc  | -17.8523    +17.8523    |paral   |2020yCat.1350....0G
2618|TYC 8242-1695-1                                                       |Star                              |12 12 36.6710536488 -51 24 25.643594376|296.7813907580151 +11.0003569702827| -24.729 -5.678   |10.469   |~               |    ~     ~    |    1|  813.502   pc  | -49.5400    +49.5400    |ST-L    |2020AJ....160...83S
2619|TYC 8242-1727-1                                                       |Star                              |12 13 06.0871212072 -51 36 19.065083904|296.8888313681679 +10.8160682785000|  -17.285 7.866   |10.36    |~               |    ~     ~    |    1|  629.050   pc  |  -6.6082     +6.6082    |paral   |2020yCat.1350....0G
2620|TYC 8242-2632-1                                                       |Star                              |12 11 35.5414477224 -51 14 59.586503460|296.5963629217627 +11.1310466168856|  -7.993 -2.767   |10.90    |~               |    ~     ~    |    1|  493.267   pc  |  -4.6229     +4.6229    |paral   |2020yCat.1350....0G
2621|TYC 8242-3288-1                                                       |Star                              |12 11 43.5443746296 -51 52 33.708741636|296.7169645251464 +10.5158591531892|  -5.017 -6.665   |10.78    |~               |    ~     ~    |    1|  923.873   pc  | -11.2667    +11.2667    |paral   |2020yCat.1350....0G
2622|TYC 8632-11-1                                                         |Spectroscopic Binary              |12 12 22.5360055200 -52 56 18.235374180|296.9831212872303 +09.4815737484005|   2.047 -1.884   |10.60    |~               |    ~     ~    |    1|  385.208   pc  |  -3.5909     +3.5909    |paral   |2020yCat.1350....0G
2623|TYC 8632-36-1                                                         |Star                              |12 13 18.3891798120 -52 33 28.579482000|297.0659744487081 +09.8789695236766|  -16.718 4.201   |10.80    |~               |    ~     ~    |    1|  786.844   pc  | -14.4256    +14.4256    |paral   |2020yCat.1350....0G
2624|TYC 8632-43-1                                                         |Star                              |12 13 00.5480752104 -52 53 43.378672488|297.0722083011909 +09.5385908429761|  -2.847 -4.559   |10.33    |~               |    ~     ~    |    1| 1450.537   pc  | -29.0360    +29.0360    |paral   |2020yCat.1350....0G
2625|TYC 8632-84-1                                                         |Star                              |12 12 21.2012482032 -52 49 22.257976980|296.9618175379887 +09.5952465796480|  -9.675 -0.018   |10.747   |~               |    ~     ~    |    1| 1063.020   pc  | -88.2700    +88.2700    |ST-L    |2020AJ....160...83S
2626|TYC 8632-100-1                                                        |Star                              |12 12 59.3186532456 -52 35 04.433472060|297.0215720882793 +09.8453907247123|  -13.046 6.324   |10.842   |~               |    ~     ~    |    1| 1202.710   pc  | -76.3000    +76.3000    |ST-L    |2020AJ....160...83S
2627|TYC 8632-124-1                                                        |Star                              |12 12 17.5568734704 -52 51 10.833826536|296.9573138071726 +09.5640369521515|   -3.491 2.156   |10.95    |~               |    ~     ~    |    1| 1869.508   pc  | -76.8913    +76.8913    |paral   |2020yCat.1350....0G
2628|TYC 8632-130-1                                                        |Star                              |12 12 52.2947810016 -53 00 08.369710308|297.0677980140737 +09.4297469940959| -18.238 -1.832   |10.67    |~               |    ~     ~    |    1|  264.683   pc  |  -1.0789     +1.0789    |paral   |2020yCat.1350....0G
2629|TYC 8632-186-1                                                        |Star                              |12 07 09.8448535512 -52 30 38.165132016|296.1226839157629 +09.7748207246186|  -6.998 -1.716   |10.94    |~               |    ~     ~    |    1| 1046.792   pc  | -14.2450    +14.2450    |paral   |2020yCat.1350....0G
2630|TYC 8632-234-1                                                        |Star                              |12 07 50.2392886944 -52 37 01.210324296|296.2435155126719 +09.6876092592157|   -1.975 3.007   |10.13    |~               |    ~     ~    |    1|  337.416   pc  |  -1.6167     +1.6167    |paral   |2020yCat.1350....0G
2631|TYC 8632-240-1                                                        |Star                              |12 09 33.0293796888 -52 33 41.133147516|296.4943475875069 +09.7859686673164|  -10.546 2.467   |10.56    |~               |    ~     ~    |    1|  560.287   pc  |  -4.6146     +4.6146    |paral   |2020yCat.1350....0G
2632|TYC 8632-474-1                                                        |High Proper Motion Star           |12 09 42.1890156144 -52 43 06.057547860|296.5436060931969 +09.6349588749005|-120.400 -23.993  |9.72     |~               |    ~     ~    |    1|   72.471   pc  |  -0.3939     +0.3939    |paral   |2020yCat.1350....0G
2633|TYC 8632-508-1                                                        |Star                              |12 06 45.2789920800 -52 38 24.014702076|296.0834007241263 +09.6365631762236| -16.005 -2.012   |10.97    |~               |    ~     ~    |    1|  757.404   pc  |  -9.4080     +9.4080    |paral   |2020yCat.1350....0G
2634|TYC 8632-614-1                                                        |Star                              |12 00 01.3075534608 -53 14 15.737131824|295.1875339095188 +08.8591653015350|  -6.660 -0.333   |10.37    |~               |    ~     ~    |    1|  746.014   pc  | -28.9800    +28.9800    |ST-L    |2020AJ....160...83S
2635|GSC 08632-00690                                                       |Double or Multiple Star           |12 02 38.0125547904 -52 36 25.019701056|295.4536632612243 +09.5547180502440|     -16.0 -3.0   |10.464   |~               |    ~     ~    |    0|                |                         |        |                   
2636|TYC 8632-736-1                                                        |Star                              |12 11 27.4930075752 -52 44 11.810065560|296.8126270875129 +09.6594678834464|  -12.601 4.584   |10.92    |~               |    ~     ~    |    1|  563.476   pc  | -16.4785    +16.4785    |paral   |2020yCat.1350....0G
2637|TYC 8632-782-1                                                        |Star                              |12 05 05.5469401032 -52 46 29.849278656|295.8565348807487 +09.4589369519366|  -19.306 4.325   |10.80    |~               |    ~     ~    |    1|  563.285   pc  |  -5.2036     +5.2036    |paral   |2020yCat.1350....0G
2638|TYC 8632-968-1                                                        |Star                              |12 06 45.9938526264 -52 49 19.927604424|296.1175008557696 +09.4574862531489|  13.964 -3.968   |10.08    |~               |    ~     ~    |    1|  645.078   pc  |  -5.7425     +5.7425    |paral   |2020yCat.1350....0G
2639|TYC 8632-1030-1                                                       |Star                              |12 05 16.8679078008 -52 55 25.920136056|295.9122227543268 +09.3176335610612|  -14.344 3.997   |10.59    |~               |    ~     ~    |    1|  823.045   pc  | -20.9995    +20.9995    |paral   |2020yCat.1350....0G
2640|TYC 8632-1475-1                                                       |Star                              |12 09 59.5037364600 -52 38 22.724720916|296.5743751225959 +09.7197376700974|  -16.078 4.912   |10.79    |~               |    ~     ~    |    1| 1207.729   pc  | -39.5283    +39.5283    |paral   |2020yCat.1350....0G
2641|TYC 8632-1605-1                                                       |Star                              |12 03 44.3067387600 -53 18 11.398779180|295.7521491320947 +08.9023332072437|  -15.325 1.065   |10.90    |~               |    ~     ~    |    1|  925.113   pc  | -42.9500    +42.9500    |ST-L    |2020AJ....160...83S
2642|TYC 8632-1674-1                                                       |Spectroscopic Binary              |12 08 32.9780868288 -52 55 06.299805792|296.4029390453854 +09.4087853513787|  -13.903 3.962   |10.67    |~               |    ~     ~    |    1|  567.086   pc  |  -8.2326     +8.2326    |paral   |2020yCat.1350....0G
2643|TYC 8632-1677-1                                                       |Star                              |12 00 10.2221974944 -53 07 27.006536136|295.1866104668222 +08.9748596010979|  -12.621 2.372   |10.59    |~               |    ~     ~    |    1| 1809.955   pc  | -50.7770    +50.7770    |paral   |2020yCat.1350....0G
2644|TYC 8632-1710-1                                                       |Star                              |12 10 04.0739303928 -53 07 49.206860184|296.6665330414930 +09.2374042874005|  -19.866 3.932   |10.67    |~               |    ~     ~    |    1|  552.303   pc  |  -5.2162     +5.2162    |paral   |2020yCat.1350....0G
2645|TYC 8632-1737-1                                                       |Star                              |12 06 24.4383 -52 38 17.293            |296.0304496 +09.6291502            |     -7.20 8.00   |10.59    |~               |    ~     ~    |    0|                |                         |        |                   
2646|TYC 8632-1814-1                                                       |Star                              |12 09 05.9166501888 -53 11 55.085817156|296.5326810968688 +09.1462395633546|  -40.038 7.530   |10.82    |~               |    ~     ~    |    1|  164.074   pc  |  -3.0501     +3.0501    |paral   |2020yCat.1350....0G
2647|TYC 8632-1986-1                                                       |Star                              |12 08 30.9435698544 -53 16 04.644759216|296.4572845763451 +09.0633479946567|  -0.501 14.691   |10.82    |~               |    ~     ~    |    1|  252.500   pc  |  -0.8926     +0.8926    |paral   |2020yCat.1350....0G
2648|TYC 8632-2125-1                                                       |Star                              |12 10 35.9913608280 -53 15 02.495589624|296.7658066837500 +09.1314280328882|  -14.632 2.224   |9.67     |~               |    ~     ~    |    1|  587.993   pc  |  -4.7366     +4.7366    |paral   |2020yCat.1350....0G
2649|TYC 8632-2152-1                                                       |Star                              |12 01 35.8913228040 -53 01 35.913105480|295.3800200337671 +09.1127544278723|  -15.731 5.111   |10.81    |~               |    ~     ~    |    1|  572.017   pc  | -39.1008    +39.1008    |paral   |2020yCat.1350....0G
2650|TYC 8633-1111-1                                                       |Star                              |12 14 56.2411621968 -53 17 10.855185360|297.4206062247908 +09.1943605594907|  3.839 -16.194   |10.052   |~               |    ~     ~    |    1|  755.787   pc  | -35.0200    +35.0200    |ST-L    |2020AJ....160...83S
2651|TYC 8633-1113-1                                                       |High Proper Motion Star           |12 14 06.0739602456 -53 12 08.757692928|297.2829197605685 +09.2593048099659|  -89.146 2.356   |10.82    |~               |    ~     ~    |    1|  270.746   pc  |  -1.4221     +1.4221    |paral   |2020yCat.1350....0G
2652|TYC 8633-1349-1                                                       |Star                              |12 14 22.2269232624 -53 19 39.003648420|297.3417256784645 +09.1414368335605| -14.458 -0.979   |10.130   |~               |    ~     ~    |    1| 1772.430   pc  |-167.1000   +167.1000    |ST-L    |2020AJ....160...83S
2653|TYC 8633-1391-1                                                       |Star                              |12 13 52.7349573552 -53 05 08.401260552|297.2321436266589 +09.3699162108522| -19.925 -3.140   |10.39    |~               |    ~     ~    |    1|  353.082   pc  |  -1.9947     +1.9947    |paral   |2020yCat.1350....0G
2654|TYC 8633-1916-1                                                       |Star                              |12 14 11.0521764264 -52 43 08.049964008|297.2237790558924 +09.7394661999352| 10.453 -17.431   |10.536   |~               |    ~     ~    |    1|  416.347   pc  | -15.3800    +15.3800    |ST-L    |2020AJ....160...83S
2655|TYC 8633-2281-1                                                       |Star                              |12 13 36.8700364056 -53 13 12.899740512|297.2125502868915 +09.2309553952759|  15.143 -5.641   |9.41     |~               |    ~     ~    |    1| 1905.125   pc  | -50.4501    +50.4501    |paral   |2020yCat.1350....0G
2656|HD 104776                                                             |Star                              |12 03 52.1961158976 -53 29 53.541293352|295.8083152049584 +08.7143334540685| -19.658 -2.836   |6.99     |G3III           |    ~     ~    |    1|  240.587   pc  |  -0.9724     +0.9724    |paral   |2020yCat.1350....0G
2657|HD 104969                                                             |Star                              |12 05 07.9205866800 -53 36 33.907224384|296.0153173742388 +08.6393201209488|  -7.239 -0.472   |9.08     |A2V             |    ~     ~    |    1|  470.721   pc  |  -4.0106     +4.0106    |paral   |2020yCat.1350....0G
2658|HD 105626                                                             |Star                              |12 09 42.7997561928 -53 26 10.993334892|296.6639414949691 +08.9268086645264| 11.712 -11.539   |9.72     |F8V             |    ~     ~    |    1|  185.195   pc  |  -0.4870     +0.4870    |paral   |2020yCat.1350....0G
2659|HD 105957                                                             |Star                              |12 11 43.4377383528 -53 27 39.619400184|296.9670772198364 +08.9501701528865|  -5.136 -1.237   |9.95     |A0/1IV/V        |    ~     ~    |    1|  668.405   pc  |  -8.3992     +8.3992    |paral   |2020yCat.1350....0G
2660|HD 106201                                                             |Star                              |12 13 14.4147906816 -53 25 45.939574272|297.1881083640986 +09.0157906521354| -10.474 -1.347   |10.00    |B9IV/V          |    ~     ~    |    1|  721.553   pc  | -17.5976    +17.5976    |paral   |2020yCat.1350....0G
2661|CD-53 4444                                                            |Star                              |12 11 00.2490082968 -53 41 42.007449120|296.8973916593087 +08.7023233232325|   -9.826 1.711   |10.40    |~               |    ~     ~    |    1|  698.324   pc  |  -6.4858     +6.4858    |paral   |2020yCat.1350....0G
2662|CD-52 4903                                                            |Star                              |12 13 02.1193066848 -53 37 48.604321200|297.1880807003732 +08.8127538291007| -23.812 -2.097   |9.46     |~               |    ~     ~    |    1|  585.206   pc  |  -4.8630     +4.8630    |paral   |2020yCat.1350....0G
2663|HD 104821                                                             |Star                              |12 04 12.4680766896 -54 10 00.998407560|295.9827110364003 +08.0663139957385|   3.113 -6.312   |9.73     |A2V             |    ~     ~    |    1|  434.991   pc  |  -2.9518     +2.9518    |paral   |2020yCat.1350....0G
2664|HD 104898                                                             |Star                              |12 04 44.1000291144 -53 56 44.484073584|296.0186522374139 +08.2979884092623|  9.977 -23.004   |9.64     |F5V             |    ~     ~    |    1|  132.209   pc  |  -0.2167     +0.2167    |paral   |2020yCat.1350....0G
2665|HD 105174                                                             |Star                              |12 06 41.2870410048 -54 10 57.604079820|296.3462130914560 +08.1158764970218| -10.559 -3.429   |10.22    |A2V             |    ~     ~    |    1|  482.486   pc  |  -4.4231     +4.4231    |paral   |2020yCat.1350....0G
2666|HD 105800                                                             |Star                              |12 10 49.0633279248 -53 51 31.785924888|296.8961250795190 +08.5362017858308| -25.713 -0.997   |9.63     |A2V             |    ~     ~    |    1|  350.828   pc  |  -2.2278     +2.2278    |paral   |2020yCat.1350....0G
2667|HD 105891                                                             |Star                              |12 11 21.4541824152 -53 44 08.168751600|296.9560897141918 +08.6704552531326|  -3.833 -5.811   |9.57     |G8II/III        |    ~     ~    |    1|  525.100   pc  |  -3.9154     +3.9154    |paral   |2020yCat.1350....0G
2668|HD 105975                                                             |Star                              |12 11 50.6824440192 -53 49 09.666970248|297.0411804132322 +08.5989308753903|  -9.714 -0.650   |10.15    |B9III/IV        |    ~     ~    |    1|  917.431   pc  | -23.4829    +23.4829    |paral   |2020yCat.1350....0G
2669|HD 106048                                                             |Star                              |12 12 12.0088890192 -54 13 49.637445600|297.1572971195777 +08.2007663409323| -28.940 -6.964   |8.60     |A9V             |    ~     ~    |    1|  130.647   pc  |  -2.3657     +2.3657    |paral   |2020yCat.1350....0G
2670|HD 106360                                                             |Star                              |12 14 14.6162148864 -53 55 12.445455540|297.4100327738280 +08.5523698272117|  -36.040 5.478   |7.77     |A2V             |    ~     ~    |    1|  201.001   pc  |  -1.0302     +1.0302    |paral   |2020yCat.1350....0G
2671|HD 106425                                                             |Spectroscopic Binary              |12 14 42.9102353928 -53 50 31.972024680|297.4681894520493 +08.6395044624756| -9.576 -18.584   |8.95     |A1mA7-A9        |    ~     ~    |    1|  202.184   pc  |  -1.0792     +1.0792    |paral   |2020yCat.1350....0G
2672|HD 104732                                                             |Star                              |12 03 38.2089667632 -54 41 37.520416932|295.9986688296779 +07.5332333716648|  9.958 -10.561   |8.61     |K0III           |    ~     ~    |    1|  374.000   pc  |  -2.3639     +2.3639    |paral   |2020yCat.1350....0G
2673|HD 104840                                                             |Star                              |12 04 17.7247327464 -54 40 44.164608888|296.0902657316260 +07.5653721281678|  -14.635 1.677   |8.54     |K3III           |    ~     ~    |    1|  621.775   pc  |  -8.0414     +8.0414    |paral   |2020yCat.1350....0G
2674|HD 104970                                                             |High Proper Motion Star           |12 05 03.7731918120 -54 30 16.605379152|296.1685602884189 +07.7570108468690|-164.863 -11.080  |9.91     |G0IV/V          |    ~     ~    |    1|  122.161   pc  |  -0.2209     +0.2209    |paral   |2020yCat.1350....0G
2675|HD 105175                                                             |Star                              |12 06 41.8666479120 -54 30 44.890962516|296.4056668237553 +07.7913703728137| -7.104 -15.733   |9.57     |K0III           |    ~     ~    |    1|  532.964   pc  |  -3.7211     +3.7211    |paral   |2020yCat.1350....0G
2676|HD 105231                                                             |Star                              |12 06 55.3507831800 -54 40 18.800082804|296.4659744703893 +07.6400340221082| -10.804 -0.206   |9.63     |F5/6V           |    ~     ~    |    1|  584.830   pc  |  -9.8503     +9.8503    |paral   |2020yCat.1350....0G
2677|HD 105230                                                             |Star                              |12 06 54.6666221280 -54 36 22.841523756|296.4528699610815 +07.7042996899777| -21.917 -4.225   |9.65     |K0              |    ~     ~    |    1|  546.455   pc  | -15.5400    +15.5400    |ST-L    |2020AJ....160...83S
2678|HD 105522                                                             |Star                              |12 08 59.0033049288 -54 22 12.691292916|296.7118539264237 +07.9880313706373| -12.484 -1.722   |9.938    |A0V(n)          |    ~     ~    |    1|  780.214   pc  | -11.2616    +11.2616    |paral   |2020yCat.1350....0G
2679|HD 105648                                                             |Pulsating Variable                |12 09 47.2680441648 -54 41 07.104085764|296.8802055332026 +07.6963092778885|  -7.024 -0.816   |10.20    |B9V             |    ~     ~    |    1|  869.716   pc  | -16.2627    +16.2627    |paral   |2020yCat.1350....0G
2680|HD 105938                                                             |High Proper Motion Star           |12 11 38.1122151792 -54 25 03.493469676|297.1042572478421 +08.0031190719458|   60.230 1.434   |6.79     |F7V             |    ~     ~    |    1|   54.721   pc  |  -0.0503     +0.0503    |paral   |2020yCat.1350....0G
2681|HD 106273                                                             |Star                              |12 13 48.7862658528 -54 40 44.993968716|297.4593094764868 +07.7922984564403|  -16.522 4.883   |10.19    |B9IV/V          |    ~     ~    |    1|  615.688   pc  | -16.1105    +16.1105    |paral   |2020yCat.1350....0G
2682|HD 104668                                                             |Star                              |12 03 02.7053298864 -55 11 43.223573832|296.0090354991139 +07.0246076594011|  -8.541 -1.758   |8.08     |M3III           |    ~     ~    |    1|  736.540   pc  | -11.1211    +11.1211    |paral   |2020yCat.1350....0G
2683|HD 104667                                                             |Pulsating Variable                |12 03 08.7214780848 -54 48 54.091591920|295.9512651889841 +07.4008535293238| -13.456 -0.752   |10.00    |B9V             |    ~     ~    |    1|  636.294   pc  | -15.0207    +15.0207    |paral   |2020yCat.1350....0G
2684|HD 104704                                                             |Red Giant Branch star             |12 03 22.2941766288 -55 19 16.594197096|296.0788283726598 +06.9096116773590|  27.327 50.850   |7.49     |K0III           |    ~     ~    |    1|  132.804   pc  |  -0.3210     +0.3210    |paral   |2020yCat.1350....0G
2685|HD 104764                                                             |High Proper Motion Star           |12 03 47.6717904576 -54 42 53.310110148|296.0251901071058 +07.5167742485126|-15.819 -55.431   |7.47     |F3V             |    ~     ~    |    1|   76.587   pc  |  -0.4552     +0.4552    |paral   |2020yCat.1350....0G
2686|HD 104871                                                             |Star                              |12 04 34.1031906600 -54 59 26.975263812|296.1867252055953 +07.2659194995884|  -7.399 -5.033   |9.40     |K3/5III         |    ~     ~    |    1|  568.197   pc  | -17.1800    +17.1800    |ST-L    |2020AJ....160...83S
2687|HD 104872                                                             |Star                              |12 04 37.9072219152 -55 25 50.784137184|296.2763654209924 +06.8349661443329|   -8.459 0.681   |7.70     |B9III           |    ~     ~    |    1|  721.293   pc  | -16.6484    +16.6484    |paral   |2020yCat.1350....0G
2688|CD-54 4528                                                            |Star                              |12 05 32.8714320504 -55 22 35.675491260|296.3953712520851 +06.9116902351619|   -2.298 0.356   |9.24     |~               |    ~     ~    |    1| 1048.988   pc  | -18.8164    +18.8164    |paral   |2020yCat.1350....0G
2689|HD 105084                                                             |Star                              |12 05 59.4838804008 -55 02 36.846164580|296.3985402700650 +07.2506404568625| -2.934 -19.561   |8.38     |K2IV/V          |    ~     ~    |    1|  402.479   pc  |  -2.8348     +2.8348    |paral   |2020yCat.1350....0G
