C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
31  |HD 15724                                                                                                                                                                                                                                                                                |Star                              |02 30 36.3959591688 -38 12 51.111241452|247.2975707161190 -66.4758290733093|   11.212 1.981   |9.34     |K0III          |    ~     ~    |    1|  338.272   pc  |  -1.6821     +1.6821    |paral   |2020yCat.1350....0G
32  |CD-38 842                                                                                                                                                                                                                                                                               |Star                              |02 31 36.3250446936 -37 47 44.703986136|246.1444386590651 -66.4353747350692|   23.049 0.964   |10.589   |G0             |    ~     ~    |    1|  224.389   pc  |  -2.3540     +2.3540    |ST-L    |2020AJ....160...83S
33  |HD 16225                                                                                                                                                                                                                                                                                |Star                              |02 35 10.0120419216 -37 48 17.353351836|245.5991734974137 -65.7673666796140|   -8.196 9.142   |8.08     |K2III          |    ~     ~    |    1|  405.170   pc  |  -2.7579     +2.7579    |paral   |2020yCat.1350....0G
34  |NGC 964                            NGC 964                                                                                                                                                                                                                                              |Galaxy                            |02 31 05.8075817232 -36 02 04.884485424|241.9710974958786 -67.0674670384774|            ~ ~   |     ~   |~              |1.563 0.500    |    0|                |                         |        |                   
35  |CD-37 952                                                                                                                                                                                                                                                                               |Star                              |02 31 52.7320500432 -36 49 14.028528072|243.7751630741444 -66.6924925504832|   44.771 5.119   |10.993   |~              |    ~     ~    |    1|  197.263   pc  |  -2.4390     +2.4390    |ST-L    |2020AJ....160...83S
36  |CD-37 956                                                                                                                                                                                                                                                                               |Star                              |02 32 13.9074503592 -36 51 04.482221976|243.7960027471884 -66.6159433025400|  15.675 24.885   |10.606   |~              |    ~     ~    |    1|  279.943   pc  |  -4.2340     +4.2340    |ST-L    |2020AJ....160...83S
37  |CD-36 969                                                                                                                                                                                                                                                                               |Star                              |02 33 37.1595324216 -35 30 43.613305200|240.3498833290751 -66.7070249512134|    4.411 5.951   |10.38    |~              |    ~     ~    |    1|  773.994   pc  |  -8.8063     +8.8063    |paral   |2020yCat.1350....0G
38  |CD-36 982                                                                                                                                                                                                                                                                               |Spectroscopic Binary              |02 34 50.0324568840 -35 32 40.402046940|240.2806142648622 -66.4593211088369| -19.320 75.285   |10.56    |~              |    ~     ~    |    1|   77.006   pc  |  -1.3977     +1.3977    |paral   |2020yCat.1350....0G
39  |CD-37 970                                                                                                                                                                                                                                                                               |Star                              |02 36 12.5645013696 -37 05 27.081081852|243.7879503200287 -65.7861388493894|  -7.117 20.071   |10.64    |~              |    ~     ~    |    1|  138.366   pc  |  -0.2240     +0.2240    |paral   |2020yCat.1350....0G
40  |CD-36 993                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 37 16.7756016480 -35 47 51.085966020|240.5987184398855 -65.9168989194732|  65.742 39.579   |10.51    |~              |    ~     ~    |    1|  119.462   pc  |  -1.1020     +1.1020    |ST-L    |2020AJ....160...83S
41  |CD-38 831                                                                                                                                                                                                                                                                               |Star                              |02 30 04.3643638872 -38 04 22.352164176|247.0586157113442 -66.6239750877991|  33.018 -2.731   |10.837   |~              |    ~     ~    |    1|  367.750   pc  |  -6.4930     +6.4930    |ST-L    |2020AJ....160...83S
42  |CD-38 840                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 31 26.280504 -37 58 32.19204        |246.595477749 -66.405596087        |     63.5 -10.9   |10.444   |K1V            |    ~     ~    |    0|                |                         |        |                   
43  |CD-37 959                                                                                                                                                                                                                                                                               |Star                              |02 32 44.8565298504 -37 21 02.177011296|244.9093215757876 -66.3654963253800|  -0.032 -6.192   |10.822   |~              |    ~     ~    |    1| 1354.570   pc  | -91.7800    +91.7800    |ST-L    |2020AJ....160...83S
44  |CD-38 849                                                                                                                                                                                                                                                                               |Star                              |02 33 41.7674296104 -37 33 48.677359968|245.2639293898562 -66.1198180955804|-11.394 -24.333   |10.73    |~              |    ~     ~    |    1|  437.848   pc  |  -9.8080     +9.8080    |ST-L    |2020AJ....160...83S
45  |TYC 7016-182-1                                                                                                                                                                                                                                                                          |Star                              |02 31 02.7801810576 -37 24 18.619691868|245.3091842385293 -66.6685145412456| -11.950 -0.858   |10.81    |~              |    ~     ~    |    1|   93.800   pc  |  -0.6219     +0.6219    |ST-L    |2020AJ....160...83S
46  |TYC 7017-6-1                                                                                                                                                                                                                                                                            |Star                              |02 36 10.5292749720 -37 29 11.737781232|244.7129074880518 -65.6760308265814|  6.155 -34.155   |10.47    |~              |    ~     ~    |    1|  125.951   pc  |  -0.2237     +0.2237    |paral   |2020yCat.1350....0G
47  |TYC 7017-202-1                                                                                                                                                                                                                                                                          |Star                              |02 36 49.4095063512 -36 58 40.838568780|243.4398590279708 -65.7006821802540|    2.777 7.562   |10.600   |~              |    ~     ~    |    1| 1615.590   pc  |-129.7000   +129.7000    |ST-L    |2020AJ....160...83S
48  |HD 16588                                                                                                                                                                                                                                                                                |Star                              |02 38 35.4567359400 -34 55 50.676479220|238.3860669886240 -65.8439607491035| 14.197 -11.890   |9.75     |F3V            |    ~     ~    |    1|  229.022   pc  |  -0.6871     +0.6871    |paral   |2020yCat.1350....0G
49  |HD 16482                                                                                                                                                                                                                                                                                |Star                              |02 37 38.1119678400 -36 09 33.867520308|241.4141899900998 -65.7596516186866|   30.284 1.113   |8.32     |G8III          |    ~     ~    |    1|  327.172   pc  |  -2.2050     +2.2050    |paral   |2020yCat.1350....0G
50  |CD-36 999                                                                                                                                                                                                                                                                               |Star                              |02 38 20.9157362064 -36 12 58.491620028|241.4616312056077 -65.6061305507446|   5.497 11.003   |10.44    |K0             |    ~     ~    |    1|  137.631   pc  |  -0.2671     +0.2671    |paral   |2020yCat.1350....0G
51  |CD-36 1004                                                                                                                                                                                                                                                                              |Star                              |02 39 24.8957124480 -35 55 47.544668904|240.6658195981485 -65.4653261975040|  18.143 10.867   |10.00    |G8             |    ~     ~    |    1|  194.829   pc  |  -0.4555     +0.4555    |paral   |2020yCat.1350....0G
52  |HD 16483                                                                                                                                                                                                                                                                                |Spectroscopic Binary              |02 37 37.1436142536 -36 58 32.995382160|243.3274856390582 -65.5486951855664| -7.003 -12.624   |9.17     |F5V            |    ~     ~    |    1|  191.791   pc  |  -0.4561     +0.4561    |paral   |2020yCat.1350....0G
53  |HD 16676                                                                                                                                                                                                                                                                                |Star                              |02 39 23.2072393512 -36 56 04.936841268|243.0017418752455 -65.2200655840972|    6.811 2.758   |8.66     |G8/K0III       |    ~     ~    |    1|  467.990   pc  |  -3.3947     +3.3947    |paral   |2020yCat.1350....0G
