C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:32:02

dec< 0&rah >=2.5&rah< 2.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2574

 #  |                                                                                                                                       identifier                                                                                                                                       |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1199|BD-06 523                                                                                                                                                                                                                                                                               |Star                              |02 43 25.1175287880 -05 27 50.474472300|178.8578870136422 -55.6591509732968|   4.387 -6.403   |9.41     |K2             |    ~     ~    |    1| 1089.562   pc  | -22.1996    +22.1996    |paral   |2020yCat.1350....0G
1200|BD-06 528                                                                                                                                                                                                                                                                               |Star                              |02 44 12.5179886664 -05 35 50.336354040|179.2664774819241 -55.6025033493221|    5.063 3.211   |9.84     |~              |    ~     ~    |    1|  738.389   pc  | -12.9217    +12.9217    |paral   |2020yCat.1350....0G
1201|BD-06 530                                                                                                                                                                                                                                                                               |Star                              |02 44 35.1 -05 36 41                   |179.3955 -55.5421                  |            ~ ~   |9.5      |~              |    ~     ~    |    0|                |                         |        |                   
1202|BD-06 532                                                                                                                                                                                                                                                                               |Star                              |02 44 50.3 -05 43 52                   |179.6277 -55.5748                  |            ~ ~   |9.5      |~              |    ~     ~    |    0|                |                         |        |                   
1203|BD-06 516                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 41 36.9112051776 -06 16 49.617451488|179.4084453423286 -56.5385912639580|   55.812 1.912   |10.760   |~              |    ~     ~    |    1|  178.224   pc  |  -1.9010     +1.9010    |ST-L    |2020AJ....160...83S
1204|BD-06 520                                                                                                                                                                                                                                                                               |Star                              |02 42 11.9510940144 -06 06 43.356925584|179.3560062378805 -56.3181663467343|  22.101 -1.243   |9.64     |F2             |    ~     ~    |    1|  414.697   pc  |  -5.8987     +5.8987    |paral   |2020yCat.1350....0G
1205|BD-06 522                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 42 41.9650138848 -06 02 05.147948112|179.4013418999720 -56.1739368442107|  76.808 -1.833   |10.49    |~              |    ~     ~    |    1|  190.396   pc  |  -0.6561     +0.6561    |paral   |2020yCat.1350....0G
1206|BD-06 527                                                                                                                                                                                                                                                                               |Star                              |02 44 11.6 -06 02 52                   |179.8600 -55.9048                  |            ~ ~   |9.4      |~              |    ~     ~    |    0|                |                         |        |                   
1207|BD-06 533                                                                                                                                                                                                                                                                               |Star                              |02 44 52.2 -06 05 01                   |180.1059 -55.8021                  |            ~ ~   |9.4      |~              |    ~     ~    |    0|                |                         |        |                   
1208|BD-06 534                                                                                                                                                                                                                                                                               |Star                              |02 44 54.8742754368 -06 08 17.226473928|180.1918416987968 -55.8296406173821|  14.630 -1.134   |9.92     |~              |    ~     ~    |    1|  285.771   pc  |  -1.4291     +1.4291    |paral   |2020yCat.1350....0G
1209|NGC 1063                           NGC 1063                                                                                                                                                                                                                                             |Galaxy                            |02 42 10.0636540440 -05 34 06.487426200|178.6225289560408 -55.9596674797732|            ~ ~   |     ~   |~              |0.863 0.414    |    0|                |                         |        |                   
1210|NGC 1041                           NGC 1041                                                                                                                                                                                                                                             |Galaxy                            |02 40 25.2339420000 -05 26 25.542337020|177.9259383346727 -56.1926757924437|            ~ ~   |     ~   |~              |0.750 0.675    |    1|   70.79    Mpc |                         |        |2016AJ....152...50T
1211|BD-05 497                                                                                                                                                                                                                                                                               |Star                              |02 40 21.5708723664 -04 55 26.831262432|177.2339681592362 -55.8502574648190| 18.751 -12.465   |10.181   |~              |    ~     ~    |    1|  236.106   pc  |  -4.0410     +4.0410    |ST-L    |2020AJ....160...83S
1212|BD-05 502                                                                                                                                                                                                                                                                               |Star                              |02 41 31.6280066664 -04 59 32.037703656|177.6767480426630 -55.6854285651998|  15.822 -4.026   |10.668   |~              |    ~     ~    |    1|  212.167   pc  |  -3.1300     +3.1300    |ST-L    |2020AJ....160...83S
1213|BD-05 503                                                                                                                                                                                                                                                                               |Star                              |02 41 34.0764596784 -04 54 38.013802668|177.5835388994386 -55.6221170450007|  17.914 -0.695   |10.722   |~              |    ~     ~    |    1|  232.003   pc  | -23.1100    +23.1100    |ST-L    |2020AJ....160...83S
1214|BD-05 504                                                                                                                                                                                                                                                                               |Chemically Peculiar Star          |02 41 38.9653295904 -04 27 34.932274560|177.0309818257493 -55.2972573818516| 11.252 -26.787   |10.574   |~              |    ~     ~    |    1| 3127.510   pc  |-456.0000   +456.0000    |ST-L    |2020AJ....160...83S
1215|BD-06 517                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 41 39.6580601976 -05 47 07.289986812|178.7577762065736 -56.1989123497727|111.414 -30.428   |10.73    |~              |    ~     ~    |    1|  108.058   pc  |  -1.2250     +1.2250    |ST-L    |2020AJ....160...83S
1216|BD-06 518                                                                                                                                                                                                                                                                               |Star                              |02 41 41.7122185848 -05 55 31.899573660|178.9549934910405 -56.2867206497777|  7.156 -12.277   |10.284   |~              |    ~     ~    |    1|  175.528   pc  |  -2.1490     +2.1490    |ST-L    |2020AJ....160...83S
1217|BD-05 505                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 42 00.8285332992 -04 58 38.497624536|177.8042541106826 -55.5867726058123|128.270 -56.705   |9.987    |~              |    ~     ~    |    1|  104.389   pc  |  -0.6749     +0.6749    |ST-L    |2020AJ....160...83S
1218|BD-06 521                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 42 20.8818336072 -05 54 04.787041212|179.1181776886505 -56.1499493219166|147.163 -40.404   |10.75    |~              |    ~     ~    |    1|  402.431   pc  |  -2.5912     +2.5912    |paral   |2020yCat.1350....0G
1219|BD-05 508                                                                                                                                                                                                                                                                               |Star                              |02 44 07.7377660944 -05 02 16.029557772|178.5127780318704 -55.2412474879111|  -2.932 -9.576   |10.25    |~              |    ~     ~    |    1| 1044.496   pc  | -21.4921    +21.4921    |paral   |2020yCat.1350....0G
1220|BD-05 510                                                                                                                                                                                                                                                                               |Star                              |02 44 37.0039950000 -04 33 58.785946128|178.0521532305010 -54.8321466160114|   39.712 5.261   |10.48    |~              |    ~     ~    |    1|  208.086   pc  |  -1.0435     +1.0435    |paral   |2020yCat.1350....0G
1221|BD-06 531                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 44 49.3998478368 -05 54 39.262797756|179.8617984267672 -55.6967482349469|-6.640 -103.908   |10.65    |~              |    ~     ~    |    1|  162.040   pc  |  -0.4437     +0.4437    |paral   |2020yCat.1350....0G
1222|BD-06 535                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 44 59.5817670600 -05 26 56.831848296|179.3018425072217 -55.3582516077714|-31.415 -84.901   |10.73    |~              |    ~     ~    |    1|  173.834   pc  |  -0.5318     +0.5318    |paral   |2020yCat.1350....0G
1223|BD-06 529                                                                                                                                                                                                                                                                               |Star                              |02 44 31.9515002712 -05 25 34.946664852|179.1371484457048 -55.4282753199911| -2.851 -26.687   |10.90    |~              |    ~     ~    |    1|  443.282   pc  |  -3.6745     +3.6745    |paral   |2020yCat.1350....0G
1224|TYC 4702-860-1                                                                                                                                                                                                                                                                          |Star                              |02 44 53.5772925936 -04 39 28.772485668|178.2501367049916 -54.8439846479247|    6.901 4.150   |10.67    |~              |    ~     ~    |    1|  685.824   pc  |  -9.3130     +9.3130    |paral   |2020yCat.1350....0G
1225|TYC 4704-855-1                                                                                                                                                                                                                                                                          |Star                              |02 38 58.0362291768 -05 15 40.530587688|177.2449429421339 -56.3338032695519|    5.693 1.189   |10.61    |~              |    ~     ~    |    1| 1014.919   pc  | -19.3652    +19.3652    |paral   |2020yCat.1350....0G
1226|TYC 4705-704-1                                                                                                                                                                                                                                                                          |Star                              |02 44 25.8431269920 -06 17 39.695088516|180.2607646430380 -56.0229816739755|    3.354 7.626   |10.82    |~              |    ~     ~    |    1|  318.786   pc  |  -1.9207     +1.9207    |paral   |2020yCat.1350....0G
1227|TYC 4705-713-1                                                                                                                                                                                                                                                                          |Star                              |02 44 06.7948432008 -06 04 43.406827356|179.8779608249077 -55.9401619901764|  -8.629 10.331   |10.92    |~              |    ~     ~    |    0|                |                         |        |                   
1228|TYC 4705-901-1                                                                                                                                                                                                                                                                          |Star                              |02 42 09.3293017872 -05 25 57.477567216|178.4400473424070 -55.8702123666836| 10.359 -41.213   |10.97    |~              |    ~     ~    |    1|  155.642   pc  |  -0.3731     +0.3731    |paral   |2020yCat.1350....0G
1229|HD 16223                                                                                                                                                                                                                                                                                |Star                              |02 36 05.8175369352 -04 16 28.219248768|175.0751977559706 -56.1558533030022| -0.955 -11.635   |8.44     |G8/K0III       |    ~     ~    |    1|  353.045   pc  |  -2.8917     +2.8917    |paral   |2020yCat.1350....0G
1230|BD-04 422                                                                                                                                                                                                                                                                               |Star                              |02 33 45.8713607736 -04 16 33.513169440|174.3285324807050 -56.5645661982240|   12.691 0.328   |9.66     |~              |    ~     ~    |    1|  421.248   pc  | -28.2677    +28.2677    |paral   |2020yCat.1350....0G
1231|BD-04 424                                                                                                                                                                                                                                                                               |Red Giant Branch star Candidate   |02 34 13.4836793664 -04 15 19.639945440|174.4514849716196 -56.4697844348812| 10.664 -24.270   |9.79     |~              |    ~     ~    |    1|  223.110   pc  |  -0.9856     +0.9856    |paral   |2020yCat.1350....0G
1232|BD-04 425                                                                                                                                                                                                                                                                               |Star                              |02 34 27.9581823672 -04 14 42.941260140|174.5164154323657 -56.4204565401750|  -2.897 -3.011   |10.152   |~              |    ~     ~    |    1|  836.638   pc  | -47.0200    +47.0200    |ST-L    |2020AJ....160...83S
1233|HD 15969                                                                                                                                                                                                                                                                                |Star                              |02 33 55.6785742128 -02 12 26.287904844|171.8621449383342 -55.0283625847052| 21.926 -22.827   |9.27     |F3V            |    ~     ~    |    1|  217.699   pc  |  -1.1896     +1.1896    |paral   |2020yCat.1350....0G
1234|HD 16329                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 37 08.0997766080 -02 20 02.880273696|173.0336287073552 -54.5789267391073|  50.960 17.189   |7.53     |F2V            |    ~     ~    |    1|   83.195   pc  |  -0.1848     +0.1848    |paral   |2020yCat.1350....0G
1235|BD-02 454                                                                                                                                                                                                                                                                               |Star                              |02 37 26.0522066304 -02 18 40.770330192|173.1007774514690 -54.5111831141118|-13.666 -29.469   |9.10     |K1             |    ~     ~    |    1|  678.288   pc  |  -8.5574     +8.5574    |paral   |2020yCat.1350....0G
1236|HD 15553                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 30 05.0749298928 -02 23 43.804866156|170.8214744318853 -55.8083119903132|133.422 -128.159  |8.15     |F6V            |    ~     ~    |    1|   97.078   pc  |  -0.2102     +0.2102    |paral   |2020yCat.1350....0G
1237|HD 15643                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 30 47.2906955136 -03 12 17.341398180|172.0228135368732 -56.2938984731487|-81.842 -153.109  |8.56     |G5V            |    ~     ~    |    1|   94.022   pc  |  -0.1786     +0.1786    |paral   |2020yCat.1350....0G
1238|HD 15884                                                                                                                                                                                                                                                                                |Star                              |02 33 09.3437130120 -02 23 46.302119988|171.8338722741224 -55.2978666066940| 46.728 -13.472   |9.27     |F6V            |    ~     ~    |    1|  149.611   pc  |  -0.3783     +0.3783    |paral   |2020yCat.1350....0G
1239|BD-03 400                                                                                                                                                                                                                                                                               |Star                              |02 33 57.1883472288 -03 12 12.934550160|173.0592966727127 -55.7566446976653|  -2.053 15.748   |9.71     |F8             |    ~     ~    |    1|  499.077   pc  |  -4.3838     +4.3838    |paral   |2020yCat.1350....0G
1240|V* DW Cet                                                                                                                                                                                                                                                                               |Long-Period Variable              |02 34 40.4642863104 -02 47 39.492415464|172.7979951780577 -55.3346382486892| -4.693 -13.511   |8.61     |M3III          |    ~     ~    |    1|  695.217   pc  | -12.4215    +12.4215    |paral   |2020yCat.1350....0G
1241|HD 16130                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 23.2779618696 -02 27 45.348454440|172.6316356911762 -54.9702897888412| 14.735 -74.275   |8.58     |G8V            |    ~     ~    |    1|  110.338   pc  |  -0.2824     +0.2824    |paral   |2020yCat.1350....0G
1242|HD 16193                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 53.0691189864 -03 00 28.655053956|173.4419495434903 -55.2835759400241| 210.575 10.289   |8.62     |G3/5V          |    ~     ~    |    1|   87.097   pc  |  -0.1783     +0.1783    |paral   |2020yCat.1350....0G
1243|V* FT Cet                                                                                                                                                                                                                                                                               |BY Dra Variable                   |02 36 41.7624882231 -03 09 22.094410260|173.8787810782147 -55.2510420579973| 323.279 58.329   |8.100    |K1V            |    ~     ~    |    1|   24.419   pc  |  -0.0230     +0.0230    |paral   |2020yCat.1350....0G
1244|HD 16162                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 33.9067773288 -03 27 24.103317276|173.8865525018994 -55.6633369421869|  52.652 30.272   |8.22     |K1III          |    ~     ~    |    1|  249.290   pc  |  -1.6468     +1.6468    |paral   |2020yCat.1350....0G
1245|HD 16305                                                                                                                                                                                                                                                                                |Double or Multiple Star           |02 36 50.9333861390 -03 34 11.670505428|174.4333442871830 -55.5220229826737|   1.575 -8.352   |9.264    |A3mA7-F0       |    ~     ~    |    1|  239.509   pc  | -14.8231    +14.8231    |paral   |2018yCat.1345....0G
1246|HD 15735                                                                                                                                                                                                                                                                                |Star                              |02 31 36.6668569152 -03 58 46.526267820|173.2505611316747 -56.7222242218501|  19.942 -4.432   |8.48     |A9/F0V         |    ~     ~    |    1|  233.634   pc  |  -1.5884     +1.5884    |paral   |2020yCat.1350....0G
1247|BD-04 414                                                                                                                                                                                                                                                                               |Star                              |02 32 01.7006855760 -03 49 26.943663576|173.1942432991106 -56.5377477173391|  23.134 -5.579   |10.14    |~              |    ~     ~    |    1|  464.447   pc  |  -5.5222     +5.5222    |paral   |2020yCat.1350....0G
1248|HD 15905                                                                                                                                                                                                                                                                                |Star                              |02 33 17.8796576832 -03 50 25.237716468|173.6300521182865 -56.3315803467525|   0.376 -2.090   |9.38     |A0V            |    ~     ~    |    1|  318.939   pc  |  -9.4398     +9.4398    |paral   |2020yCat.1350....0G
1249|HD 16222                                                                                                                                                                                                                                                                                |Star                              |02 36 05.8497733776 -04 10 14.167282764|174.9441593627480 -56.0819641618359| 14.787 -13.824   |9.17     |F3/5V          |    ~     ~    |    1|  158.776   pc  |  -0.4361     +0.4361    |paral   |2020yCat.1350....0G
1250|HD 16338                                                                                                                                                                                                                                                                                |Star                              |02 37 11.3538157872 -03 54 28.696338504|174.9599551914458 -55.7037850487867|-14.554 -17.145   |8.43     |F5V            |    ~     ~    |    1|  104.110   pc  |  -0.2775     +0.2775    |paral   |2020yCat.1350....0G
1251|NGC 958                            NGC 958                                                                                                                                                                                                                                              |Emission-line galaxy              |02 30 42.8187658032 -02 56 20.526742608|171.6770506203031 -56.1095274455539|            ~ ~   |     ~   |~              |1.593 0.669    |    1|   54.45    Mpc |  -3.43       +3.43      |T-F     |2020ApJ...902..145K
1252|NGC 963                            NGC 963                                                                                                                                                                                                                                              |Low Surface Brightness Galaxy     |02 30 31.290 -04 12 55.53              |173.185133 -57.080227              |            ~ ~   |     ~   |~              |0.580 0.441    |    0|                |                         |        |                   
1253|BD-02 424                                                                                                                                                                                                                                                                               |Star                              |02 30 33.8529846024 -02 19 25.473231984|170.8968567450925 -55.6752618695943|  4.987 -46.492   |9.88     |~              |    ~     ~    |    1|  223.809   pc  |  -0.8616     +0.8616    |paral   |2020yCat.1350....0G
1254|BD-04 408                                                                                                                                                                                                                                                                               |Star                              |02 30 39.6976796088 -03 35 35.928035520|172.4558709862851 -56.6015341215002|  43.570 -4.391   |10.66    |~              |    ~     ~    |    1|  285.413   pc  |  -1.4011     +1.4011    |paral   |2020yCat.1350....0G
1255|BD-03 391                                                                                                                                                                                                                                                                               |Rotating Variable                 |02 30 58.8297076944 -03 03 04.714551972|171.9008688745675 -56.1480477908738|  2.581 -13.577   |10.62    |~              |    ~     ~    |    1|  104.097   pc  |  -0.3836     +0.3836    |paral   |2018yCat.1345....0G
1256|BD-03 392                                                                                                                                                                                                                                                                               |Star                              |02 31 01.1043048840 -02 26 15.261473652|171.1813505885488 -55.6852444209220|   16.412 0.250   |10.12    |~              |    ~     ~    |    1|  536.222   pc  |  -4.6005     +4.6005    |paral   |2020yCat.1350....0G
1257|BD-04 409                                                                                                                                                                                                                                                                               |Double or Multiple Star           |02 31 01.408176 -03 22 58.66032        |172.317985370 -56.385647437        |      7.3 -14.4   |10.430   |~              |    ~     ~    |    0|                |                         |        |                   
1258|BD-04 410                                                                                                                                                                                                                                                                               |Double or Multiple Star           |02 31 11.166576 -03 47 07.69128        |172.867883329 -56.653301348        |     -1.9 -10.4   |10.839   |~              |    ~     ~    |    0|                |                         |        |                   
1259|BD-03 393                                                                                                                                                                                                                                                                               |Star                              |02 31 12.7118255256 -02 27 42.432869988|171.2739107821484 -55.6711912127415|  10.941 -1.986   |10.65    |~              |    ~     ~    |    1|  876.501   pc  | -17.1321    +17.1321    |paral   |2020yCat.1350....0G
1260|BD-04 411                                                                                                                                                                                                                                                                               |Star                              |02 31 18.3577072056 -04 15 32.726448900|173.5012076535977 -56.9774188215451|  4.695 -26.896   |10.84    |~              |    ~     ~    |    1|  264.746   pc  |  -1.1425     +1.1425    |paral   |2020yCat.1350....0G
1261|BD-03 394                                                                                                                                                                                                                                                                               |Star                              |02 31 24.0659940240 -03 17 04.148131812|172.3229242421698 -56.2493661417717|  -1.048 -6.855   |10.30    |~              |    ~     ~    |    1| 1051.525   pc  | -32.8394    +32.8394    |paral   |2020yCat.1350....0G
1262|BD-04 416                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 32 09.9451919328 -04 10 30.481339080|173.6790353664520 -56.7687151207971|-45.961 -27.411   |9.96     |~              |    ~     ~    |    1|   51.902   pc  |  -0.1449     +0.1449    |paral   |2020yCat.1350....0G
1263|BD-04 415                                                                                                                                                                                                                                                                               |Star                              |02 32 10.4989 -03 34 48.797            |172.9404473 -56.3348883            |   6.554 22.782   |10.37    |~              |    ~     ~    |    0|                |                         |        |                   
1264|BD-03 398                                                                                                                                                                                                                                                                               |Star                              |02 33 36.2912058792 -02 35 25.948656600|172.2097134011306 -55.3660520224479|   0.208 -0.321   |10.76    |~              |    ~     ~    |    1|  622.432   pc  |  -6.1213     +6.1213    |paral   |2020yCat.1350....0G
1265|BD-04 421                                                                                                                                                                                                                                                                               |Star                              |02 33 36.9830253528 -03 32 15.368450100|173.3587658898366 -56.0573901466252| 48.766 -10.042   |9.88     |~              |    ~     ~    |    1|  261.753   pc  |  -1.3360     +1.3360    |paral   |2020yCat.1350....0G
1266|BD-04 423                                                                                                                                                                                                                                                                               |Star                              |02 33 59.7543079392 -03 33 35.788494888|173.5092673557624 -56.0084403096233|    8.404 8.873   |10.14    |~              |    ~     ~    |    1|  848.320   pc  | -15.6883    +15.6883    |paral   |2020yCat.1350....0G
1267|BD-03 401                                                                                                                                                                                                                                                                               |Star                              |02 34 08.6540469960 -03 18 55.771008876|173.2574071987598 -55.8054753924992|   39.719 0.617   |10.93    |~              |    ~     ~    |    1|  172.325   pc  |  -0.4217     +0.4217    |paral   |2020yCat.1350....0G
1268|BD-03 405                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 35 04.4691005832 -03 05 44.862527076|173.2895346177048 -55.4863292950783|  46.958 18.415   |9.898    |~              |    ~     ~    |    1|  657.692   pc  | -24.3700    +24.3700    |ST-L    |2020AJ....160...83S
1269|BD-04 427                                                                                                                                                                                                                                                                               |Star                              |02 35 29.8978280376 -04 00 36.969648516|174.5518155212996 -56.0724687835747| -0.801 -20.753   |10.422   |~              |    ~     ~    |    1|  345.211   pc  |  -7.4170     +7.4170    |ST-L    |2020AJ....160...83S
1270|BD-04 429                                                                                                                                                                                                                                                                               |Double or Multiple Star           |02 36 01.515672 -03 51 08.20512        |174.522339567 -55.867620324        |      -5.2 -4.0   |10.674   |~              |    ~     ~    |    1|  197.093   pc  | +39.652      +7         |ST-L    |2017AJ....153...75K
1271|BD-04 432                                                                                                                                                                                                                                                                               |Star                              |02 36 16.7329800936 -04 03 35.001270900|174.8622721755029 -55.9713021182589|  7.447 -19.038   |10.267   |~              |    ~     ~    |    1|  378.489   pc  |  -8.3430     +8.3430    |ST-L    |2020AJ....160...83S
1272|BD-03 409                                                                                                                                                                                                                                                                               |Star                              |02 36 37.9240277664 -03 19 04.415603124|174.0555669091255 -55.3787098127352|  20.001 12.494   |10.275   |~              |    ~     ~    |    1|  349.327   pc  |  -9.4270     +9.4270    |ST-L    |2020AJ....160...83S
1273|BD-03 411                                                                                                                                                                                                                                                                               |Star                              |02 36 50.8263817080 -02 45 10.447935912|173.4403619738335 -54.9331160574618|   3.040 -0.337   |10.149   |~              |    ~     ~    |    1|  774.187   pc  | -26.0800    +26.0800    |ST-L    |2020AJ....160...83S
1274|BD-03 403                                                                                                                                                                                                                                                                               |Star                              |02 34 33.0376920312 -02 47 20.035560336|172.7517225148700 -55.3517287234751|   5.933 -8.972   |9.86     |~              |    ~     ~    |    1|  865.276   pc  | -15.8725    +15.8725    |paral   |2020yCat.1350....0G
1275|* 79 Cet                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 35 19.9291748518 -03 33 38.172943076|173.9399280843259 -55.7785427047739|-155.501 -437.848 |6.78     |G2V            |    ~     ~    |    1|   37.7277  pc  |  -0.0385     +0.0385    |paral   |2020yCat.1350....0G
1276|BD-04 439                                                                                                                                                                                                                                                                               |Star                              |02 37 58.4335349256 -04 20 07.239011532|175.7434667998464 -55.8676111860554|  10.440 14.135   |9.97     |~              |    ~     ~    |    1|  472.255   pc  |  -3.8583     +3.8583    |paral   |2020yCat.1350....0G
1277|BD-04 457                                                                                                                                                                                                                                                                               |High Proper Motion Star           |02 43 07.3814667072 -04 08 59.734327668|177.0828114672856 -54.8176380880533|-65.287 -49.916   |9.874    |~              |    ~     ~    |    1|  163.422   pc  |  -1.6760     +1.6760    |ST-L    |2020AJ....160...83S
1278|BD-04 462                                                                                                                                                                                                                                                                               |Star                              |02 44 40.0036967136 -04 12 27.251911440|177.6134326207163 -54.5779631963744|   12.651 2.902   |10.70    |~              |    ~     ~    |    1|  205.910   pc  |  -0.7717     +0.7717    |paral   |2020yCat.1350....0G
1279|BD-03 413                                                                                                                                                                                                                                                                               |Star                              |02 37 46.0634993280 -02 25 47.333079840|173.3452389003348 -54.5403917637038| -1.496 -37.220   |9.11     |K2             |    ~     ~    |    1|  387.958   pc  |  -2.7694     +2.7694    |paral   |2020yCat.1350....0G
1280|HD 16536                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 38 58.6445277360 -02 35 14.424795636|173.9090618040631 -54.4462458857216|34.671 -179.178   |9.15     |K0V            |    ~     ~    |    1|   49.462   pc  |  -0.0435     +0.0435    |paral   |2020yCat.1350....0G
1281|BD-03 416                                                                                                                                                                                                                                                                               |Star                              |02 39 01.8166153464 -03 11 41.330897304|174.6563535705270 -54.8732833208024| -0.698 -18.108   |9.31     |G8             |    ~     ~    |    1|  458.379   pc  |  -2.8995     +2.8995    |paral   |2020yCat.1350....0G
1282|* 81 Cet                                                                                                                                                                                                                                                                                |High Proper Motion Star           |02 37 41.8020809760 -03 23 46.225928328|174.4865167693160 -55.2499391637220| 41.765 -43.379   |5.647    |K0III          |    ~     ~    |    1|  105.043   pc  |  -0.8342     +0.8342    |paral   |2020yCat.1350....0G
