C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
2753|TYC 9018-1059-1                                                       |Star                                  |14 25 37.2989908632 -66 03 04.665316932|312.2987469981581 -04.9072965961749|   -12.00 -8.00   |10.77    |~              |    ~     ~          
2754|TYC 9018-1065-1                                                       |Star                                  |14 22 35.8832553384 -66 28 56.227462392|311.8607317935113 -05.2038337877932| -7.887 -12.257   |10.55    |~              |    ~     ~          
2755|TYC 9018-1130-1                                                       |Star                                  |14 29 57.6481298016 -66 32 59.682602976|312.5237829908296 -05.5305805828813|-13.824 -11.795   |10.58    |~              |    ~     ~          
2756|HD 124621                                                             |Double or Multiple Star               |14 16 32.1276956880 -57 53 16.614409992|314.0693561014332 +03.1318662680151| -15.189 -4.176   |10.148   |A2IV           |    ~     ~          
2757|HD 124726                                                             |Double or Multiple Star               |14 17 08.4581655696 -57 40 00.948178200|314.2176642190839 +03.3147277777412| -11.592 -9.743   |9.33     |G6III          |    ~     ~          
2758|CD-57 5508                                                            |Star                                  |14 18 01.9400097096 -58 12 50.229781848|314.1503687214165 +02.7591127446973| -14.547 -6.837   |10.04    |~              |    ~     ~          
2759|HD 124877                                                             |High Proper Motion Star               |14 18 02.2572808104 -57 49 38.782588800|314.2782732020125 +03.1239092004533| -60.143 -7.739   |9.10     |F3V            |    ~     ~          
2760|HD 124924                                                             |Star                                  |14 18 20.4901890432 -57 56 05.662442940|314.2810190808059 +03.0091353122947|  -1.429 -3.642   |10.07    |B9II/III       |    ~     ~          
2761|V* RR Cen                                                             |Eclipsing Binary                      |14 16 57.2208600552 -57 51 15.656888844|314.1329454120377 +03.1456263089789|-53.009 -23.206   |7.29     |A9/F0V         |    ~     ~          
2762|HD 124996                                                             |Star                                  |14 18 42.4353745896 -58 01 56.065629504|314.2946162815999 +02.9012484049816|  -2.742 -1.955   |9.48     |B2/3V          |    ~     ~          
2763|HD 125037                                                             |Star                                  |14 18 56.7688861752 -57 54 26.395551360|314.3660176376628 +03.0085833873288|  -6.014 -4.628   |10.15    |B9IV           |    ~     ~          
2764|HD 124394                                                             |Star                                  |14 15 16.6299498576 -58 32 37.328985456|313.7014571786510 +02.5640191200228|-11.712 -19.389   |9.31     |F3IV/V         |    ~     ~          
2765|HD 124470                                                             |Star                                  |14 15 52.6998525936 -58 23 45.210433740|313.8233198133525 +02.6789349073247|  7.740 -15.516   |9.75     |A7/F0(IV)      |    ~     ~          
2766|HD 124486                                                             |Star                                  |14 15 57.5752640184 -58 23 04.493355612|313.8370496059646 +02.6862283155651|  -7.915 -4.434   |9.06     |G6/8III        |    ~     ~          
2767|HD 124622                                                             |Star                                  |14 16 40.9714196520 -58 19 30.625904640|313.9461277349134 +02.7118670120584|  -9.631 -6.798   |7.54     |G6III          |    ~     ~          
2768|HD 124842                                                             |Star                                  |14 17 44.4491335752 -58 32 23.072043300|314.0072177192469 +02.4639020646949|  -7.303 -4.039   |9.60     |B8V            |    ~     ~          
2769|HD 124894                                                             |Star                                  |14 18 04.1914491048 -58 28 05.137356576|314.0713874919355 +02.5174785603036|  -5.928 -1.612   |9.63     |B9V            |    ~     ~          
2770|HD 124396                                                             |Star                                  |14 15 13.4816263056 -58 49 11.331018876|313.6069522243520 +02.3044635562649|  -6.823 -3.333   |9.82     |B9/A0V         |    ~     ~          
2771|HD 124395                                                             |Star                                  |14 15 16.2772847592 -58 46 49.316760984|313.6252521884759 +02.3399353774124|  -4.509 -1.462   |8.36     |B3V            |    ~     ~          
2772|HD 124421                                                             |Star                                  |14 15 24.0480470400 -58 36 08.101406664|313.6980579082584 +02.5033886412769|-29.539 -19.164   |9.76     |Am             |    ~     ~          
2773|HD 124563                                                             |Star                                  |14 16 14.6291957472 -58 47 23.041325544|313.7417087127099 +02.2906942709402|  -8.473 -6.851   |9.18     |G5III          |    ~     ~          
2774|HD 124787                                                             |High Proper Motion Star               |14 17 26.5082246808 -58 52 35.955850368|313.8602346886455 +02.1582086461713|-75.376 -159.838  |10.15    |G0/3(V)        |    ~     ~          
2775|HD 124830                                                             |Star                                  |14 17 40.5799474008 -59 07 47.890875936|313.8059472882727 +01.9089358129291|  -9.526 -7.433   |10.38    |B9/A0V         |    ~     ~          
2776|HD 124966                                                             |Star                                  |14 18 26.8818539640 -58 40 32.971634688|314.0494789198275 +02.3051025737549| -18.004 -4.546   |9.59     |A5V            |    ~     ~          
2777|CPD-59 5488                                                           |Star                                  |14 18 28.7526095544 -59 54 14.934311892|313.6476524347910 +01.1442923312641|  -3.695 -1.160   |10.33    |~              |    ~     ~          
2778|CD-59 5177                                                            |Eclipsing Binary                      |14 18 31.1550880800 -59 38 20.345535528|313.7399612357017 +01.3929293780029|  -8.397 -2.946   |9.61     |~              |    ~     ~          
2779|HD 125106                                                             |Be Star                               |14 19 14.6334628992 -58 26 34.565244972|314.2247607116507 +02.4904102687858|  -4.421 -1.448   |10.16    |A0V            |    ~     ~          
2780|HD 125116                                                             |Star                                  |14 19 25.6126609824 -58 24 31.437017532|314.2587773292378 +02.5146717572417|  -9.146 -6.641   |9.94     |A0/1IV         |    ~     ~          
2781|HD 125317                                                             |Star                                  |14 20 34.7397879432 -58 30 57.465727344|314.3647845870117 +02.3630854565518|  -8.344 -3.037   |7.79     |B8II           |    ~     ~          
2782|HD 125015                                                             |Be Star                               |14 18 50.97560 -58 41 11.1657          |314.09525065 +02.27782743          |   -7.47 -11.48   |7.28     |B7Vn           |0.0050  0.0          
2783|HD 125038                                                             |Star                                  |14 18 53.8088116800 -58 58 21.639250164|314.0060365768956 +02.0057536085899| 10.642 -34.116   |7.74     |F0IV           |    ~     ~          
2784|HD 125051                                                             |Star                                  |14 18 58.8100788384 -58 47 32.804854440|314.0760462250229 +02.1722007012183|  -1.855 -3.661   |9.65     |B8IV/V         |    ~     ~          
2785|HD 125072                                                             |High Proper Motion Star               |14 19 04.8342927813 -59 22 44.536555365|313.8932962462153 +01.6146204008579|-454.968 -810.609 |6.66     |K3IV           |    ~     ~          
2786|HD 125256                                                             |Star                                  |14 20 20.6682435720 -59 11 53.728237896|314.1059375234661 +01.7310012909538| 14.107 -18.422   |8.37     |G6IV           |    ~     ~          
2787|HD 125289                                                             |Star                                  |14 20 32.3400927552 -59 26 49.027514244|314.0454287837629 +01.4885016642225|  -2.857 -1.407   |9.14     |B7II/III       |    ~     ~          
2788|HD 125345                                                             |Star                                  |14 20 50.5495936080 -58 54 29.538294408|314.2642440101080 +01.9823879439154|  -6.950 -4.659   |8.42     |B8V            |    ~     ~          
2789|HD 125483                                                             |Star                                  |14 21 38.7672155592 -58 49 21.582318324|314.3911012581524 +02.0275030966390|  -8.621 -7.883   |9.33     |B8V            |    ~     ~          
2790|HD 125514                                                             |Star                                  |14 21 51.3074536080 -58 59 07.460240100|314.3608011157180 +01.8653402790746|  -7.158 -4.517   |10.06    |B6III/V        |    ~     ~          
2791|HD 125533                                                             |Star                                  |14 21 56.5365983472 -58 56 59.429846868|314.3835444304957 +01.8949081649940|  -6.616 -4.872   |8.71     |B7II           |    ~     ~          
2792|HD 125792                                                             |Star                                  |14 23 51.8721544296 -59 25 01.668861876|314.4528873400775 +01.3713056246581|  -5.414 -2.917   |9.22     |B1Iab/b        |    ~     ~          
2793|HD 125954                                                             |Star                                  |14 24 43.8952020576 -58 51 11.103077340|314.7550938832459 +01.8604450718133|  -4.061 -2.343   |9.67     |A0III          |    ~     ~          
2794|HD 125974                                                             |Star                                  |14 24 50.3465762568 -59 15 52.359146820|314.6228459498765 +01.4705531843666|  -6.981 -6.500   |9.82     |B8III          |    ~     ~          
2795|HD 126064                                                             |Star                                  |14 25 22.0092931320 -59 21 30.279241620|314.6526226054293 +01.3589357210924|-28.072 -23.141   |8.80     |G8II/III       |    ~     ~          
2796|HD 126300                                                             |Star                                  |14 26 45.0608761296 -59 06 53.603634816|314.9050127600307 +01.5231641825790| -17.939 -2.082   |9.07     |G6III          |    ~     ~          
2797|HD 126343                                                             |Star                                  |14 26 58.7822008272 -59 14 15.510295500|314.8881372738516 +01.3980977570161|  -3.338 -3.588   |6.83     |K1II           |    ~     ~          
2798|HD 126356                                                             |Double or Multiple Star               |14 27 02.8867 -59 11 11.487            |314.9147432 +01.4426196            |      -4.7 -3.2   |9.67     |B8/9(V)        |    ~     ~          
2799|HD 125117                                                             |Star                                  |14 19 33.5832247152 -59 45 09.469813860|313.8260539799325 +01.2421497281894| -11.701 -7.322   |7.97     |B8/9III/IV     |    ~     ~          
2800|V* R Cen                                                              |Mira Variable                         |14 16 34.3193427192 -59 54 49.294904112|313.4185353987185 +01.2133397019825|  -9.077 -6.692   |7.55     |M4-6e          |    ~     ~          
2801|CD-58 5534                                                            |Star                                  |14 15 51.3167684928 -59 15 18.468240228|313.5446700122460 +01.8660530000583|  29.581 18.014   |10.5     |~              |    ~     ~          
2802|CD-59 5199                                                            |High Proper Motion Star               |14 20 59.4967169424 -59 51 04.623066720|313.9624452146246 +01.0886634836697|-37.504 -38.288   |10.38    |~              |    ~     ~          
2803|CD-59 5212                                                            |Star                                  |14 22 22.1525467752 -59 38 28.751570592|314.1972858940450 +01.2267421242395|-15.092 -15.321   |9.65     |~              |    ~     ~          
2804|CD-58 5603                                                            |Star                                  |14 24 27.1100534328 -59 01 54.967640376|314.6583135744575 +01.7057445694625|  -3.384 -1.346   |9.34     |~              |    ~     ~          
2805|CD-58 5578                                                            |Star                                  |14 20 40.1196816096 -59 07 18.303094344|314.1708936516657 +01.7890036396995| -12.038 -3.579   |10.0     |~              |    ~     ~          
2806|CD-59 5164                                                            |Star                                  |14 17 31.5613479432 -60 09 35.643561336|313.4512262219925 +00.9417890682283|   7.885 -8.239   |10.39    |~              |    ~     ~          
2807|CD-57 5484                                                            |Star                                  |14 15 07.8808634568 -58 14 16.513721088|313.7808114237804 +02.8599662670564|  -8.990 -5.965   |10.40    |~              |    ~     ~          
2808|CD-57 5487                                                            |Star                                  |14 15 42.6273689448 -57 49 46.633598832|313.9841158477044 +03.2224126404541|  36.533 20.418   |10.49    |~              |    ~     ~          
2809|CD-57 5493                                                            |Star                                  |14 16 27.7741925904 -57 46 01.203067344|314.0993634604772 +03.2494416100855|-18.015 -13.512   |10.40    |~              |    ~     ~          
2810|CD-57 5494                                                            |High Proper Motion Star               |14 16 28.4492473224 -57 45 27.485774640|314.1038175554874 +03.2578199454987|-60.684 -37.813   |10.64    |~              |    ~     ~          
2811|TYC 8686-86-1                                                         |Star                                  |14 17 28.1742415320 -57 55 03.495936072|314.1772088881378 +03.0634512019003|   26.198 6.157   |10.26    |~              |    ~     ~          
2812|TYC 8686-270-1                                                        |Star                                  |14 19 06.1785977424 -58 00 51.660737568|314.3500461333356 +02.9007359239403|  -1.757 -1.455   |10.84    |~              |    ~     ~          
2813|CPD-57 6571                                                           |Star                                  |14 16 49.8173910528 -58 01 44.191208892|314.0606698925332 +02.9858078124841|  -7.508 -3.000   |10.77    |~              |    ~     ~          
2814|TYC 8686-442-1                                                        |Star                                  |14 18 09.5509458144 -57 51 10.252864224|314.2851981414019 +03.0945929242587|  -1.829 -8.977   |10.31    |~              |    ~     ~          
2815|TYC 8686-453-1                                                        |High Proper Motion Star               |14 17 01.0751377824 -57 35 39.917344200|314.2257024098705 +03.3886489878339|-118.683 -40.570  |10.42    |~              |    ~     ~          
2816|GSC 08690-00094                                                       |Double or Multiple Star               |14 19 28.612392 -59 59 52.14912        |313.734405581 +01.014489040        |      -5.0 -3.7   |10.284   |~              |    ~     ~          
2817|TYC 8690-102-1                                                        |Star                                  |14 19 58.7813035488 -58 42 50.881602924|314.2244789095839 +02.2027557635493|   15.970 1.775   |10.28    |~              |    ~     ~          
2818|TYC 8690-275-1                                                        |Star                                  |14 25 41.7837063384 -59 13 16.502243700|314.7407178935730 +01.4721940316221|  -3.012 -6.268   |10.78    |~              |    ~     ~          
2819|TYC 8690-374-1                                                        |Star                                  |14 20 13.3450899864 -59 35 28.564214136|313.9589832210126 +01.3661472718667|   6.188 -5.969   |9.64     |~              |    ~     ~          
2820|TYC 8690-414-1                                                        |Star                                  |14 16 22.0406593752 -58 33 44.605378044|313.8302717534168 +02.5007252804632|  -4.841 -3.912   |10.70    |~              |    ~     ~          
2821|TYC 8690-437-1                                                        |Star                                  |14 23 50.9627792328 -59 15 04.504024116|314.5090453015439 +01.5274079006437|  -2.535 -2.669   |10.71    |~              |    ~     ~          
2822|TYC 8690-449-1                                                        |Star                                  |14 24 55.5638817048 -59 24 28.107643608|314.5826336274047 +01.3325992954817|-21.956 -38.569   |10.54    |~              |    ~     ~          
2823|TYC 8690-468-1                                                        |Star                                  |14 19 59.4895464312 -58 21 38.991791376|314.3446200119791 +02.5350447999539|  -6.026 -4.712   |10.74    |~              |    ~     ~          
2824|TYC 8690-509-1                                                        |Star                                  |14 17 34.1506436184 -59 33 48.555563652|313.6512129158804 +01.5037161624649|  -3.951 -2.230   |9.97     |~              |    ~     ~          
2825|TYC 8690-630-1                                                        |Star                                  |14 20 21.9514080936 -58 44 09.116022300|314.2644004065360 +02.1654352628958|  -4.114 -1.847   |10.74    |~              |    ~     ~          
2826|IRAS 14200-5926                                                       |Star                                  |14 23 43.8001495752 -59 39 57.287768292|314.3500322632446 +01.1441281370292|  -0.760 -3.404   |10.73    |~              |    ~     ~          
2827|TYC 8690-692-1                                                        |Star                                  |14 18 09.8280152688 -59 39 23.889605508|313.6917348887794 +01.3910618127085|  -2.628 -2.407   |10.61    |~              |    ~     ~          
2828|TYC 8690-703-1                                                        |Star                                  |14 16 50.3147320248 -59 50 55.765859820|313.4711836477500 +01.2638957982872| -18.410 -3.386   |10.84    |~              |    ~     ~          
2829|TYC 8690-840-1                                                        |Star                                  |14 17 33.7658781168 -58 26 58.870813344|314.0147165860526 +02.5566115499056| -17.528 -7.780   |10.50    |~              |    ~     ~          
2830|TYC 8690-859-1                                                        |Star                                  |14 17 37.6543439664 -59 58 06.161555676|313.5257895480839 +01.1186607512966| -12.625 -2.518   |10.68    |~              |    ~     ~          
2831|TYC 8690-866-1                                                        |Star                                  |14 22 50.5853246544 -59 33 50.884250400|314.2801909812069 +01.2785204833549|   -3.496 3.192   |10.32    |~              |    ~     ~          
2832|TYC 8690-876-1                                                        |Star                                  |14 17 56.5914132360 -58 19 37.004946060|314.1021229747192 +02.6562421948729|  -2.907 -2.500   |10.78    |~              |    ~     ~          
2833|CD-58 5536                                                            |Star                                  |14 16 13.5934784808 -59 22 37.842606876|313.5503148817583 +01.7352573300368|  -9.266 -1.468   |10.21    |M3             |    ~     ~          
2834|TYC 8690-980-1                                                        |Star                                  |14 18 36.5843805216 -59 37 59.971803960|313.7526277665801 +01.3944934560216|  -4.039 -2.643   |10.73    |~              |    ~     ~          
2835|TYC 8690-1076-1                                                       |Star                                  |14 26 02.5697023152 -59 14 45.801796488|314.7732763564259 +01.4332230947733|   -6.638 2.131   |10.18    |~              |    ~     ~          
2836|TYC 8690-1120-1                                                       |Star                                  |14 19 14.2242919704 -59 36 30.542538168|313.8357154760206 +01.3916255249290| -11.999 -3.946   |9.75     |~              |    ~     ~          
2837|TYC 8690-1190-1                                                       |Star                                  |14 18 47.3061 -59 16 00.163            |313.8954062 +01.7329468            |  -7.706 -4.433   |10.62    |~              |    ~     ~          
2838|TYC 8690-1225-1                                                       |Star                                  |14 19 01.8712913760 -58 29 50.400190500|314.1804008371359 +02.4483586506586|  -4.301 -4.297   |10.82    |~              |    ~     ~          
2839|TYC 8690-1266-1                                                       |Star                                  |14 26 01.2555178032 -59 28 18.698136204|314.6900141471046 +01.2233025968991|  -1.725 -2.649   |10.86    |~              |    ~     ~          
2840|TYC 8690-1336-1                                                       |Star                                  |14 25 36.4822592280 -59 13 38.003793096|314.7280256512682 +01.4706331955438|  -4.548 -2.684   |10.52    |~              |    ~     ~          
2841|TYC 8690-1372-1                                                       |Star                                  |14 18 35.0004773064 -59 02 40.861896432|313.9440832938889 +01.9511680596166|  -3.694 -2.404   |10.24    |~              |    ~     ~          
2842|TYC 8690-1449-1                                                       |Spectroscopic Binary                  |14 20 03.3852380760 -58 26 52.194906060|314.3233935413974 +02.4502405363403|  -4.222 -3.815   |10.68    |~              |    ~     ~          
2843|TYC 8690-1463-1                                                       |Star                                  |14 22 33.7425105072 -58 45 47.568179268|314.5230635883070 +02.0426093462569|  -3.054 -2.329   |10.42    |~              |    ~     ~          
2844|TYC 8690-1497-1                                                       |Star                                  |14 20 01.2111877824 -58 44 00.547791360|314.2229334319288 +02.1827624508294|-19.591 -10.740   |10.31    |~              |    ~     ~          
2845|TYC 8690-1538-1                                                       |Star                                  |14 26 12.0505262928 -59 29 45.397996188|314.7027420751078 +01.1926477073495|  -5.760 -5.889   |10.68    |~              |    ~     ~          
2846|TYC 8690-1660-1                                                       |Pulsating Variable                    |14 20 46.3197410256 -59 25 52.957502076|314.0785773897834 +01.4931535009781|  -1.756 -3.042   |10.98    |~              |    ~     ~          
2847|TYC 8690-1669-1                                                       |Star                                  |14 20 27.8560319640 -58 27 05.362596324|314.3724434684154 +02.4288351783457|  -3.151 -2.462   |9.27     |~              |    ~     ~          
2848|TYC 8690-1777-1                                                       |Star                                  |14 21 16.4194495440 -58 24 35.460832824|314.4863232826241 +02.4321155392938|    0.577 1.019   |10.11    |~              |    ~     ~          
2849|TYC 8690-1808-1                                                       |Star                                  |14 22 00.2670374736 -59 36 59.906165112|314.1624488962592 +01.2657513153699|  -4.760 -7.524   |9.94     |~              |    ~     ~          
2850|TYC 8690-1812-1                                                       |Star                                  |14 19 58.7513740968 -59 03 58.675346892|314.1061719755689 +01.8710309804170|  -0.359 -2.075   |10.95    |~              |    ~     ~          
2851|TYC 8690-1844-1                                                       |Star                                  |14 18 06.9946678152 -58 57 57.496210416|313.9132826339046 +02.0452907227732|  -4.156 -6.914   |10.25    |~              |    ~     ~          
2852|TYC 8690-1896-1                                                       |Star                                  |14 26 38.7968039832 -59 21 04.263498576|314.8075815931373 +01.3074646738913|   -1.156 0.145   |10.34    |~              |    ~     ~          
2853|TYC 8690-1909-1                                                       |Star                                  |14 19 52.5995471760 -58 19 25.956281280|314.3428229610782 +02.5749123684050|  -2.577 -2.438   |9.86     |~              |    ~     ~          
2854|TYC 8690-1938-1                                                       |Star                                  |14 18 45.4419983712 -59 29 55.063884372|313.8148459057655 +01.5154235438233| -10.834 -6.072   |10.62    |~              |    ~     ~          
2855|TYC 8690-1957-1                                                       |Star                                  |14 19 40.0447393584 -58 10 02.020957428|314.3693818188864 +02.7317335540671|  -4.182 -2.213   |10.46    |~              |    ~     ~          
2856|TYC 8690-2020-1                                                       |Star                                  |14 26 24.3692871168 -59 16 02.748018072|314.8089985141180 +01.3966510153865|-24.742 -11.444   |10.38    |~              |    ~     ~          
2857|TYC 8690-2063-1                                                       |Star                                  |14 19 10.6120072896 -58 11 27.037449672|314.3004673583546 +02.7310505679024|      5.1 -13.7   |10.297   |~              |    ~     ~          
2858|TYC 8690-2180-1                                                       |Star                                  |14 18 39.5934270552 -58 55 38.132987988|313.9922458522700 +02.0587273244814|   -1.010 0.129   |10.05    |~              |    ~     ~          
2859|TYC 8690-2330-1                                                       |Star                                  |14 16 29.9058117912 -58 57 00.436337532|313.7211065068446 +02.1282651675449|  -5.751 -1.837   |10.46    |~              |    ~     ~          
2860|CD-58 5529                                                            |Star                                  |14 15 22.2474507792 -59 04 20.672703084|313.5442718649017 +02.0590332532018|  -1.940 -3.704   |10.6     |~              |    ~     ~          
2861|TYC 8690-2392-1                                                       |Star                                  |14 18 44.4687555312 -59 15 05.035727232|313.8947743529471 +01.7493970433379|  -4.259 -0.961   |10.10    |~              |    ~     ~          
2862|TYC 8690-2402-1                                                       |Star                                  |14 19 22.5014056392 -59 38 42.631187748|313.8399407000498 +01.3512213483938| -2.002 -16.181   |10.27    |~              |    ~     ~          
2863|TYC 8690-2416-1                                                       |Star                                  |14 22 44.6836619856 -59 23 06.066639780|314.3303765481795 +01.4509193763613| -10.234 -3.160   |10.57    |~              |    ~     ~          
2864|TYC 8690-2438-1                                                       |Star                                  |14 20 06.6840589416 -59 01 13.125469620|314.1376445776458 +01.9086387154727|  -6.266 -3.344   |10.95    |~              |    ~     ~          
2865|TYC 8690-2448-1                                                       |Star                                  |14 18 44.2781103168 -59 08 53.125034928|313.9286067144588 +01.8470152567361| -5.952 -13.279   |10.19    |~              |    ~     ~          
2866|TYC 8690-2605-1                                                       |Star                                  |14 21 34.7241010128 -58 53 25.698679908|314.3597415918620 +01.9667422125048| -13.063 -2.659   |10.71    |~              |    ~     ~          
2867|TYC 8690-2689-1                                                       |Star                                  |14 23 22.9192422792 -59 04 40.767841020|314.5132937593612 +01.7106786760771|-24.964 -24.767   |10.46    |~              |    ~     ~          
2868|TYC 8690-2703-1                                                       |Star                                  |14 22 05.0979836472 -58 52 18.043827024|314.4276707998188 +01.9620184860003|  -1.947 -1.875   |10.66    |~              |    ~     ~          
2869|TYC 8690-2736-1                                                       |High Proper Motion Star               |14 21 31.9407286248 -59 11 09.107205756|314.2532972675438 +01.6911106438912| -63.052 -7.729   |10.57    |~              |    ~     ~          
2870|TYC 8690-2808-1                                                       |Star                                  |14 22 16.152432 -59 08 40.45200        |314.356195749 +01.697578298        |      -1.3 -6.9   |10.557   |~              |    ~     ~          
2871|GSC 08690-02880                                                       |Double or Multiple Star               |14 20 15.8315565768 -58 49 22.549099296|314.2226046480555 +02.0879079493961|  -4.145 -4.623   |10.798   |~              |    ~     ~          
2872|TYC 8691-129-1                                                        |Star                                  |14 26 43.1202410352 -59 23 51.582773292|314.7994393075807 +01.2607943613990|  -8.326 -0.591   |10.71    |~              |    ~     ~          
2873|TYC 8691-1759-1                                                       |Star                                  |14 27 35.7458570568 -59 13 49.211643864|314.9642548240510 +01.3764233103659|  -6.907 -8.621   |10.78    |~              |    ~     ~          
2874|TYC 9005-144-1                                                        |Star                                  |14 15 46.0399414488 -60 03 41.930956332|313.2756429972489 +01.1056137315696|-30.555 -23.705   |10.31    |~              |    ~     ~          
2875|TYC 9005-315-1                                                        |Star                                  |14 16 13.7025976104 -60 02 42.472643676|313.3354482628919 +01.1027843284025|  -3.970 -3.817   |10.86    |~              |    ~     ~          
2876|TYC 9005-794-1                                                        |Star                                  |14 15 53.4325821816 -60 15 07.258386348|313.2291596900201 +00.9203701452453|   7.011 -1.337   |10.35    |~              |    ~     ~          
2877|TYC 9005-1030-1                                                       |Star                                  |14 16 25.6158106008 -60 13 04.470148128|313.3031733983069 +00.9312568407516|  -7.860 -7.256   |10.73    |~              |    ~     ~          
2878|TYC 9006-1902-1                                                       |Star                                  |14 18 53.1655225704 -60 03 02.584342080|313.6472080071105 +00.9891385812182|  -4.194 -5.195   |10.61    |~              |    ~     ~          
2879|HD 124946                                                             |Star                                  |14 18 30.8054628768 -60 13 02.871016104|313.5482563409009 +00.8471250295631|  -7.978 -8.020   |10.03    |B9.5V          |    ~     ~          
2880|HD 126477                                                             |Star                                  |14 27 58.1338943664 -59 28 20.841928284|314.9205864326554 +01.1335712312314|  -9.238 -8.598   |9.89     |B8/9III/IV     |    ~     ~          
2881|HD 125767                                                             |Star                                  |14 23 43.1747989824 -60 12 46.126296756|314.1580189341478 +00.6320335653410|-36.532 -12.624   |7.72     |K3III          |    ~     ~          
2882|HD 126357                                                             |beta Cep Variable                     |14 27 08.7344355960 -59 44 11.279134428|314.7277976034591 +00.9252645658571|  -5.067 -2.809   |9.26     |B1III          |    ~     ~          
2883|NGC 5606 2                         CD-59 5257                         |Star                                  |14 27 44.0711003880 -59 37 59.743837488|314.8344539783821 +00.9945604225518|  -5.016 -2.863   |9.48     |B1IV           |    ~     ~          
2884|NGC 5606 1                         HD 126449                          |Star                                  |14 27 46.7435232072 -59 37 56.601697728|314.8400166710256 +00.9933292404538|  -4.879 -2.879   |8.78     |B0/1(III)      |    ~     ~          
2885|UCAC4 152-136892                                                      |Pulsating Variable                    |14 27 45.1032271992 -59 38 03.464172276|314.8361045857654 +00.9928080895389|  -4.944 -2.916   |10.62    |~              |    ~     ~          
2886|NGC 5606 4                         CD-59 5259                         |Pulsating Variable                    |14 27 55.5158658696 -59 37 30.770398776|314.8598441329416 +00.9932958310836|  -4.960 -2.856   |9.98     |B0IV           |    ~     ~          
2887|NGC 5606 3                         CD-59 5260                         |Pulsating Variable                    |14 27 57.3562970232 -59 38 07.571192676|314.8597362086114 +00.9823634104773|  -4.976 -2.808   |9.92     |B0IV           |    ~     ~          
2888|CPD-59 5589                                                           |Star                                  |14 28 21.9002927784 -59 35 57.636028572|314.9210681700441 +00.9971131418553|  -4.895 -2.868   |10.89    |OB-            |    ~     ~          
2889|HD 126577                                                             |Asymptotic Giant Branch Star Candidate|14 28 33.0213619776 -59 40 26.686073748|314.9155405237389 +00.9189877808984|  -5.059 -2.951   |8.39     |M2/3           |    ~     ~          
2890|V* V416 Cen                                                           |Eclipsing Binary                      |14 15 45.2707217904 -60 43 53.342549364|313.0596760786631 +00.4715387233717|   -6.491 5.397   |10.66    |~              |    ~     ~          
2891|[SLN74] 1902                                                          |Long-Period Variable                  |14 16 26.7439817400 -60 25 05.191575168|313.2407864963118 +00.7410087820819|   -3.460 0.072   |10.55    |M7/8           |    ~     ~          
2892|CPD-59 5539                                                           |Star                                  |14 23 51.8242996224 -59 46 25.434781500|314.3281874621714 +01.0372074415357| -27.091 -8.472   |10.30    |~              |    ~     ~          
2893|CD-59 5231                                                            |Star                                  |14 25 13.0885110240 -59 40 56.690585040|314.5201223774712 +01.0626502769274|  -5.480 -8.080   |10.09    |~              |    ~     ~          
2894|CD-59 5232                                                            |Star                                  |14 25 14.8857305952 -59 52 39.516279564|314.4544867398269 +00.8787429311483|  -4.440 -5.699   |9.33     |~              |    ~     ~          
2895|CD-59 5238                                                            |Star                                  |14 25 36.8984320608 -59 44 45.943614780|314.5443038148105 +00.9853589451635|   7.056 -7.573   |9.78     |~              |    ~     ~          
2896|CD-59 5152                                                            |Star                                  |14 15 27.9820335768 -60 20 47.276224368|313.1491587890966 +00.8476880726060| -12.779 -5.993   |9.95     |~              |    ~     ~          
2897|CD-59 5186                                                            |Star                                  |14 19 39.4506478944 -60 30 05.242159044|313.5873542973257 +00.5322730053938| -24.779 -9.735   |10.33    |~              |    ~     ~          
2898|HD 126528                                                             |Star                                  |14 28 14.6265524568 -60 07 44.905538460|314.7134580971727 +00.5094429423846|-26.485 -17.448   |8.86     |G3IV           |    ~     ~          
2899|HD 126671                                                             |Star                                  |14 29 12.3058708128 -59 52 25.082139540|314.9189262676188 +00.7031163522517|  -1.281 -3.029   |10.29    |B7/8(V)        |    ~     ~          
2900|HD 126746                                                             |Double or Multiple Star               |14 29 38.453 -60 08 32.23              |314.870397 +00.433329              |      11.9 -6.0   |9.4      |F7V            |    ~     ~          
2901|V* V1349 Cen                                                          |Carbon Star                           |14 26 28.0851233376 -60 02 10.951823472|314.5405900951935 +00.6760125437904|  -3.843 -3.565   |10.2     |C              |    ~     ~          
2902|HD 124602                                                             |Star                                  |14 16 46.9290814440 -61 11 03.003290808|313.0320089324090 +00.0028057986729|  -3.583 -3.007   |8.26     |G2Ib/II        |    ~     ~          
2903|HD 124788                                                             |Pulsating Variable                    |14 17 41.3352503328 -60 47 19.049717940|313.2647040156225 +00.3410306491521|  -3.363 -3.434   |9.04     |O9/B0(Vn)      |    ~     ~          
