C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
77  |BD-03 3605                                                            |Star                                  |14 17 13.6143724776 -04 02 59.776219788|339.8076529339472 +52.5691716535744|  -8.370 13.758   |10.00    |~              |    ~     ~          
78  |TYC 4979-369-1                                                        |Star                                  |14 16 20.8337308560 -02 36 33.298770240|340.8017578611143 +53.8995270535397|    7.294 1.437   |10.244   |~              |    ~     ~          
79  |TYC 4979-298-1                                                        |Star                                  |14 16 47.1626348064 -02 37 56.210252304|340.9358346156192 +53.8202327323018|  -25.617 1.183   |10.341   |~              |    ~     ~          
80  |BD-03 3602                                                            |Star                                  |14 16 47.4525979248 -04 29 44.019027276|339.2680143477127 +52.2497434442017|  9.855 -19.327   |10.538   |~              |    ~     ~          
81  |HD 125673                                                             |Star                                  |14 21 05.8432087440 -02 29 50.787647160|342.5670043907817 +53.3307281179514|    7.407 4.297   |8.74     |K0III          |    ~     ~          
82  |V* NO Vir                                                             |Long-Period Variable                  |14 21 34.9635282144 -02 23 08.183971932|342.8405988832559 +53.3535438433815|-15.228 -14.893   |8.52     |M5III          |    ~     ~          
83  |BD-01 2947                                                            |Star                                  |14 23 39.4396316472 -02 25 38.680770540|343.5077210265093 +53.0211529997900|-37.657 -19.923   |9.38     |K2             |    ~     ~          
84  |HD 126273                                                             |Variable Star                         |14 24 35.8399626096 -02 20 34.336199904|343.9066601519292 +52.9533215645235|  -29.142 5.192   |7.20     |M1III          |    ~     ~          
85  |BD-02 3820                                                            |Star                                  |14 19 06.1403830848 -03 32 49.359811020|340.9050842662767 +52.7381975732377|-18.831 -11.582   |10.19    |G0             |    ~     ~          
86  |BD-02 3825                                                            |Star                                  |14 21 07.4182491840 -03 00 40.287970008|342.0919246469999 +52.9033137287655| -21.328 -0.606   |10.37    |G0             |    ~     ~          
87  |HD 125923                                                             |Star                                  |14 22 38.1383769480 -03 10 53.843016936|342.4471709108404 +52.5494379360471|  39.671 29.911   |9.13     |G8V            |    ~     ~          
88  |BD-02 3836                                                            |Star                                  |14 23 06.6832370496 -02 52 04.262511468|342.9026948568994 +52.7396149480702|   2.246 -3.989   |9.52     |K2             |    ~     ~          
89  |BD-02 3843                                                            |Spectroscopic Binary                  |14 25 44.3672802792 -03 00 09.780861312|343.6551693229785 +52.2508847137442|-109.755 -10.227  |10.06    |F8             |    ~     ~          
90  |BD-03 3609                                                            |Spectroscopic Binary                  |14 19 27.6646265208 -04 06 20.035054476|340.5269549623417 +52.2215554231245|    1.016 1.378   |9.87     |M3             |    ~     ~          
91  |HD 125905                                                             |Star                                  |14 22 31.8132993648 -03 43 37.382132820|341.9081581222187 +52.1139011114078|   5.610 17.159   |9.30     |A1/2IV         |    ~     ~          
92  |BD-03 3620                                                            |Star                                  |14 24 10.2494845032 -03 54 16.571010924|342.2942305617261 +51.7366485225805| -18.722 14.294   |9.24     |K2             |    ~     ~          
93  |BD-03 3621                                                            |Star                                  |14 24 40.6558182312 -04 04 23.232625968|342.3084665598613 +51.5261885913069|  -35.698 5.810   |9.78     |F0             |    ~     ~          
94  |HD 126292                                                             |Star                                  |14 24 46.8175884960 -04 01 33.361072752|342.3853733231006 +51.5505653678786|    0.266 7.292   |8.95     |F0V            |    ~     ~          
95  |HD 126482                                                             |Star                                  |14 25 57.8181636144 -03 42 46.994908788|343.0630036305450 +51.6389400002579|  -23.380 3.940   |8.14     |A9V            |    ~     ~          
96  |BD-03 3610                                                            |Star                                  |14 20 10.9192434048 -04 15 19.291842360|340.6393742126152 +51.9979919108120|-35.430 -11.387   |9.88     |K0             |    ~     ~          
97  |HD 125982                                                             |High Proper Motion Star               |14 22 58.2692151336 -04 25 25.281285348|341.4267973243730 +51.4745527920882|  3.110 -87.773   |9.22     |G5V            |    ~     ~          
