C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:33:38

dec< 0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2679

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
33  |* eta02 For                                                                                              |High Proper Motion Star           |02 50 14.7836640936 -35 50 37.023226332|239.4128429486190 -63.3375285044657|  51.003 18.217   |5.92     |K0III            |    ~     ~    |    1|  130.302   pc  |  -2.5672     +2.5672    |paral   |2020yCat.1350....0G
34  |CD-35 972                                                                                                |Star                              |02 49 05.2381207032 -34 45 01.176732288|237.0831600873115 -63.7550652822804| -4.134 -30.722   |10.58    |~                |    ~     ~    |    1|  405.762   pc  |  -3.0953     +3.0953    |paral   |2020yCat.1350....0G
35  |CD-36 1061                                                                                               |High Proper Motion Star           |02 49 07.4421340392 -36 10 23.409951420|240.2332584471637 -63.4967201939049|-37.468 -37.861   |10.85    |~                |    ~     ~    |    1|  191.744   pc  |  -0.4191     +0.4191    |paral   |2020yCat.1350....0G
36  |CD-36 1064                                                                                               |Star                              |02 49 27.8114818128 -36 14 24.773268444|240.3494367189912 -63.4161625226188|  11.040 13.716   |10.91    |~                |    ~     ~    |    1|  321.895   pc  |  -1.6061     +1.6061    |paral   |2020yCat.1350....0G
37  |CD-34 1022                                                                                               |Star                              |02 49 56.6406 -34 22 29.292            |236.1872524 -63.6346397            |    -10.20 0.60   |10.59    |~                |    ~     ~    |    0|                |                         |        |                   
38  |CD-35 980                                                                                                |Star                              |02 50 06.0484178544 -34 47 01.670769276|237.0869585052218 -63.5442553379158|   10.468 0.216   |10.15    |~                |    ~     ~    |    1|  946.790   pc  | -12.6394    +12.6394    |paral   |2020yCat.1350....0G
39  |CD-35 981                                                                                                |Spectroscopic Binary              |02 50 13.3790327976 -34 40 06.623369184|236.8227282361203 -63.5364262854165|-10.818 -57.411   |10.96    |~                |    ~     ~    |    1|  228.222   pc  |  -5.9013     +5.9013    |paral   |2020yCat.1350....0G
40  |CD-36 1065                                                                                               |Star                              |02 49 35.4739361832 -36 01 20.794277424|239.8608554075338 -63.4338931845922|   5.677 -2.813   |10.63    |~                |    ~     ~    |    1|  909.008   pc  |  -9.4198     +9.4198    |paral   |2020yCat.1350....0G
41  |CD-34 1024                                                                                               |Star                              |02 50 14.2859330424 -34 00 37.492624224|235.3560983291734 -63.6214564303705|   18.134 1.084   |9.95     |~                |    ~     ~    |    1|  576.469   pc  |  -3.9213     +3.9213    |paral   |2020yCat.1350....0G
42  |AKARI-IRC-V1 J0249473-351229                                                                             |Long-Period Variable Candidate    |02 49 47.3644142040 -35 12 29.363170140|238.0500920494691 -63.5404108141070|  13.652 13.296   |10.54    |~                |    ~     ~    |    1|  560.758   pc  | -12.012     +12.012     |paral   |2020yCat.1350....0G
43  |HD 18588                                                                                                 |Spectroscopic Binary              |02 58 19.1733188400 -33 09 04.287472056|233.1311111720066 -62.0278948919737|  15.684 22.142   |8.09     |A3/4IV           |    ~     ~    |    1|  307.484   pc  |  -5.8052     +5.8052    |paral   |2020yCat.1350....0G
44  |HD 18671                                                                                                 |Star                              |02 59 10.0946127576 -32 54 46.559735856|232.6014543809155 -61.8655362861357|  13.473 -1.160   |8.10     |K1III            |    ~     ~    |    1|  586.854   pc  |  -6.2680     +6.2680    |paral   |2020yCat.1350....0G
45  |HD 18252                                                                                                 |Spectroscopic Binary              |02 54 49.5549671544 -33 31 29.489332512|234.0604006232741 -62.7253460935395|  13.143 12.816   |6.88     |A3mA5-F0         |    ~     ~    |    1|   70.051   pc  |  -0.7964     +0.7964    |paral   |2020yCat.1350....0G
46  |CD-34 1029                                                                                               |Star                              |02 50 55.2347285064 -34 28 30.931477428|236.3489915066222 -63.4214515368531|      -4.8 -2.6   |10.09    |G0               |    ~     ~    |    0|                |                         |        |                   
47  |CD-34 1054                                                                                               |Spectroscopic Binary              |02 56 31.5653618064 -34 14 40.443274608|235.5348895914272 -62.3017855301959|   -0.926 1.663   |9.58     |K0               |    ~     ~    |    1|  507.871   pc  | -15.8900    +15.8900    |ST-L    |2020AJ....160...83S
48  |HD 18468                                                                                                 |High Proper Motion Star           |02 57 08.2167283104 -33 50 51.610298640|234.6588304966374 -62.2165993417676|  52.231 26.082   |9.32     |F6V              |    ~     ~    |    1|  122.877   pc  |  -0.2235     +0.2235    |paral   |2020yCat.1350....0G
49  |HD 18501                                                                                                 |High Proper Motion Star           |02 57 24.1476890544 -34 11 09.889256652|235.3683191208783 -62.1279585020574|   2.809 70.266   |9.31     |F5V              |    ~     ~    |    1|  176.538   pc  |  -0.4488     +0.4488    |paral   |2020yCat.1350....0G
50  |CD-34 1067                                                                                               |Star                              |02 58 47.3094870456 -33 55 30.851849244|234.7549942314372 -61.8680807436687| -14.549 22.429   |10.12    |F0               |    ~     ~    |    1|  166.157   pc  |  -6.7060     +6.7060    |paral   |2020yCat.1350....0G
51  |HD 18660                                                                                                 |Star                              |02 59 01.3515591432 -34 11 20.655263580|235.3013802449573 -61.7943958495216|   8.130 -8.049   |6.68     |K5/M0III         |    ~     ~    |    1|  315.537   pc  |  -1.9714     +1.9714    |paral   |2020yCat.1350....0G
52  |CD-35 983                                                                                                |High Proper Motion Star           |02 50 56.7883911072 -34 49 25.235292828|237.1173827670384 -63.3666567290630|  67.887 19.551   |10.166   |F8               |    ~     ~    |    1|  212.595   pc  |  -2.4410     +2.4410    |ST-L    |2020AJ....160...83S
53  |HD 18073                                                                                                 |Star                              |02 53 08.9302743816 -35 02 28.492985112|237.4457924179922 -62.8880597244138|  -14.849 8.940   |8.19     |K0III            |    ~     ~    |    1|  345.495   pc  |  -2.1605     +2.1605    |paral   |2020yCat.1350....0G
54  |HD 18083                                                                                                 |High Proper Motion Star           |02 53 16.6424853360 -34 29 18.958805808|236.2357029852961 -62.9382855084929| 157.989 86.532   |8.10     |G0/1V            |    ~     ~    |    1|   54.800   pc  |  -0.0607     +0.0607    |paral   |2020yCat.1350....0G
55  |HD 18260                                                                                                 |Star                              |02 54 53.3266910592 -34 32 40.080917220|236.2647121447855 -62.6019448468827|-25.833 -14.283   |9.41     |F7V              |    ~     ~    |    1|  167.218   pc  |  -0.4054     +0.4054    |paral   |2020yCat.1350....0G
56  |CD-35 1006                                                                                               |High Proper Motion Star           |02 55 48.6676788504 -35 20 50.315536572|237.9284958575347 -62.3048327045079|-56.466 -25.211   |9.638    |F8               |    ~     ~    |    1|  109.576   pc  |  -0.6011     +0.6011    |ST-L    |2020AJ....160...83S
57  |CD-35 1007                                                                                               |Star                              |02 56 01.6532138256 -35 24 34.765631136|238.0468916751633 -62.2519166956991|  -1.699 -8.255   |9.57     |K0               |    ~     ~    |    1|  616.865   pc  |  -4.9087     +4.9087    |paral   |2020yCat.1350....0G
