C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:33:38

dec< 0&rah >=2.75&rah< 3.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2679

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1111|NGC 1148                           NGC 1148                                                              |Galaxy towards a Group of Galaxies|02 57 04.3683644352 -07 41 08.291601924|185.6245422222865 -54.4627864509462|            ~ ~   |     ~   |~                |0.750 0.465    |    1|   73       Mpc |                         |        |2007ApJS..173..185G
1112|BD-08 540                                                                                                |Star                              |02 52 58.1657066736 -07 24 28.924281360|184.1674027533831 -55.0993211890261|   2.106 -5.248   |9.99     |~                |    ~     ~    |    1|  185.415   pc  |  -0.8526     +0.8526    |paral   |2020yCat.1350....0G
1113|BD-08 545                                                                                                |Star                              |02 54 31.1351624832 -07 46 30.369694512|185.0846811785938 -55.0206031616959|  14.653 -9.568   |10.97    |~                |    ~     ~    |    1| 1053.297   pc  | -18.8604    +18.8604    |paral   |2020yCat.1350....0G
1114|BD-08 546                                                                                                |Star                              |02 54 40.9874003688 -08 00 55.991176272|185.4619574173814 -55.1338402085199|  -2.910 -4.472   |10.77    |~                |    ~     ~    |    1|  309.205   pc  |  -1.6923     +1.6923    |paral   |2020yCat.1350....0G
1115|BD-07 517                                                                                                |High Proper Motion Star           |02 55 02.8071269424 -07 00 17.968248648|184.1697032922781 -54.4451729946745|101.194 -119.604  |10.754   |~                |    ~     ~    |    1|  140.139   pc  |  -1.9230     +1.9230    |ST-L    |2020AJ....160...83S
1116|BD-07 523                                                                                                |Star                              |02 57 13.7394925536 -07 19 59.961824724|185.1836327129862 -54.2187413831337|  -9.610 -1.036   |10.763   |~                |    ~     ~    |    1|  952.248   pc  | -76.0700    +76.0700    |ST-L    |2020AJ....160...83S
1117|BD-08 555                                                                                                |Star                              |02 57 32.5455579576 -07 32 43.170658044|185.5529260645514 -54.2853352639887|  -22.077 2.767   |10.74    |~                |    ~     ~    |    1|  246.907   pc  |  -1.0547     +1.0547    |paral   |2020yCat.1350....0G
1118|BD-08 551                                                                                                |Star                              |02 56 16.4444433504 -07 30 12.312559692|185.1686262999404 -54.5101144971384|  2.413 -38.635   |10.73    |~                |    ~     ~    |    1|  198.177   pc  |  -0.5498     +0.5498    |paral   |2020yCat.1350....0G
1119|TYC 5287-766-1                                                                                           |Star                              |02 55 16.5685641576 -07 35 45.935256300|185.0359371991289 -54.7628159458126|  13.533 12.510   |10.808   |~                |    ~     ~    |    1|  497.339   pc  | -15.6800    +15.6800    |ST-L    |2020AJ....160...83S
1120|TYC 4706-10-1                                                                                            |Star                              |02 59 26.6741516616 -06 51 44.823012660|185.1173060614599 -53.4960360014840|  -1.096 -3.900   |10.62    |~                |    ~     ~    |    1|  870.853   pc  | -12.2100    +12.2100    |paral   |2020yCat.1350....0G
1121|TYC 4705-24-1                                                                                            |Star                              |02 49 34.6759703784 -06 36 44.689180428|182.1576568888348 -55.2548196275123| -0.832 -12.988   |10.607   |~                |    ~     ~    |    1|  888.554   pc  | -28.8100    +28.8100    |ST-L    |2020AJ....160...83S
1122|TYC 5286-525-1                                                                                           |Star                              |02 49 12.0614854680 -07 54 53.685673920|183.8506849644583 -56.1465671323622| 30.336 -18.203   |10.988   |~                |    ~     ~    |    1|  550.586   pc  | -22.1700    +22.1700    |ST-L    |2020AJ....160...83S
1123|BD-06 539                                                                                                |Star                              |02 45 31.5639832632 -06 20 46.748368140|180.6492613490556 -55.8514317726237|   3.688 -5.965   |9.54     |F0               |    ~     ~    |    1|  212.934   pc  |  -0.7935     +0.7935    |paral   |2020yCat.1350....0G
1124|BD-06 544                                                                                                |Star                              |02 47 35.4765389496 -06 10 42.874779468|181.0161196455283 -55.3528513188950|  4.933 -14.656   |10.320   |~                |    ~     ~    |    1|  323.704   pc  |  -6.8930     +6.8930    |ST-L    |2020AJ....160...83S
1125|HD 17515                                                                                                 |Double or Multiple Star           |02 48 23.4487452 -06 14 11.770485      |181.3200640268 -55.2392351963      |   -12.75 -2.71   |8.83     |F6V              |0.0050  0.0    |    0|                |                         |        |                   
1126|HD 17525                                                                                                 |Star                              |02 48 27.7961059752 -06 11 17.405261484|181.2757820638991 -55.1941569439889| 13.607 -28.197   |8.09     |K0III            |    ~     ~    |    1|  282.574   pc  |  -3.4015     +3.4015    |paral   |2020yCat.1350....0G
1127|HD 17296                                                                                                 |Star                              |02 46 35.0372406864 -04 40 25.810957632|178.7634414314793 -54.5443504820593|  6.960 -29.363   |9.593    |G6V              |    ~     ~    |    1|  154.469   pc  |  -1.5490     +1.5490    |ST-L    |2020AJ....160...83S
1128|HD 17337                                                                                                 |Star                              |02 46 48.7518001200 -04 34 31.340517744|178.7043656573599 -54.4358980157699|  -15.570 4.026   |9.851    |F0V              |    ~     ~    |    1|  301.802   pc  |  -9.0280     +9.0280    |ST-L    |2020AJ....160...83S
1129|HD 17501                                                                                                 |High Proper Motion Star           |02 48 20.7499100232 -04 53 00.034381500|179.5368240742371 -54.3589063970734|-30.879 -115.404  |8.18     |G8/K0(IV)        |    ~     ~    |    1|   98.982   pc  |  -0.6918     +0.6918    |ST-L    |2020AJ....160...83S
1130|HD 17514                                                                                                 |Star                              |02 48 22.6208667072 -04 55 15.050232624|179.5937293649228 -54.3780870978421| 15.827 -28.521   |7.77     |G8/K0III         |    ~     ~    |    1|  292.483   pc  |  -4.9959     +4.9959    |paral   |2020yCat.1350....0G
1131|BD-06 537                                                                                                |Double or Multiple Star           |02 45 15.712 -05 28 58.94              |179.424769 -55.331040              |      6.4 -13.9   |9.58     |G0               |    ~     ~    |    0|                |                         |        |                   
1132|BD-06 538                                                                                                |Star                              |02 45 20.7333821208 -05 43 44.590948068|179.7728835252371 -55.4789976456078| 20.859 -25.224   |9.786    |F8               |    ~     ~    |    1|  174.694   pc  |  -2.3830     +2.3830    |ST-L    |2020AJ....160...83S
1133|HD 17385                                                                                                 |Star                              |02 47 13.1459437872 -05 46 08.495147244|180.3661215149156 -55.1552241693161| -25.938 -0.335   |8.33     |F0V              |    ~     ~    |    1|  137.289   pc  |  -0.5372     +0.5372    |paral   |2020yCat.1350....0G
1134|HD 17524                                                                                                 |Star                              |02 48 29.2509633192 -05 44 18.347653572|180.6866129714555 -54.8968971670336| -10.090 -9.372   |7.22     |K0III            |    ~     ~    |    1|  212.897   pc  |  -1.0470     +1.0470    |paral   |2020yCat.1350....0G
1135|HD 17338                                                                                                 |High Proper Motion Star           |02 46 47.1564696264 -05 49 45.947115588|180.3218192574276 -55.2761236134141|  46.106 76.861   |8.20     |G0/1V            |    ~     ~    |    1|   64.542   pc  |  -0.1175     +0.1175    |paral   |2020yCat.1350....0G
1136|BD-06 541                                                                                                |Star                              |02 46 55.2415851168 -05 54 25.949087784|180.4634799212092 -55.3019179871471|   29.739 8.045   |9.97     |F2               |    ~     ~    |    1|  247.604   pc  |  -1.4959     +1.4959    |paral   |2020yCat.1350....0G
1137|NGC 1080                           NGC 1080                                                              |Galaxy                            |02 45 09.9533896152 -04 42 38.720917008|178.3975468082250 -54.8297818864772|            ~ ~   |     ~   |~                |0.607 0.473    |    0|                |                         |        |                   
1138|BD-06 536                                                                                                |High Proper Motion Star           |02 45 14.4603257160 -06 00 36.297774324|180.1155984176619 -55.6842517525579| 84.103 -29.811   |10.50    |~                |    ~     ~    |    1|  179.102   pc  |  -0.6031     +0.6031    |paral   |2020yCat.1350....0G
1139|BD-05 513                                                                                                |Star                              |02 45 50.9883005428 -04 32 27.674894370|178.3813284794737 -54.5894367928567| -1.994 -12.638   |10.74    |~                |    ~     ~    |    0|                |                         |        |                   
1140|BD-06 545                                                                                                |Star                              |02 47 47.9374206480 -05 50 08.956224960|180.6196997433340 -55.0901389681023|  11.645 -1.934   |10.61    |~                |    ~     ~    |    1|  871.764   pc  | -14.5915    +14.5915    |paral   |2020yCat.1350....0G
1141|BD-06 546                                                                                                |High Proper Motion Star           |02 47 51.7613870544 -05 29 21.397300476|180.1826066657227 -54.8505590711919| 73.096 -28.759   |10.70    |~                |    ~     ~    |    1|  110.049   pc  |  -0.1841     +0.1841    |paral   |2020yCat.1350....0G
1142|BD-05 520                                                                                                |Star                              |02 48 22.9970148936 -04 29 03.479353620|179.0400997218521 -54.0850688175201|  3.420 -13.122   |10.887   |~                |    ~     ~    |    1|  295.605   pc  |  -5.8720     +5.8720    |ST-L    |2020AJ....160...83S
1143|BD-05 522                                                                                                |Star                              |02 48 38.7152904984 -04 26 55.981884984|179.0700533365810 -54.0129000379255|   5.315 -1.914   |10.990   |~                |    ~     ~    |    1|  328.605   pc  |  -6.8210     +6.8210    |ST-L    |2020AJ....160...83S
1144|BD-04 469                                                                                                |Star                              |02 47 52.2080437680 -04 21 45.078649992|178.7397522845580 -54.0977240362416| -6.953 -48.630   |10.08    |~                |    ~     ~    |    1|  158.932   pc  |  -0.4799     +0.4799    |paral   |2020yCat.1350....0G
1145|BD-05 523                                                                                                |High Proper Motion Star           |02 48 41.1953538144 -04 38 42.583126596|179.3301998280500 -54.1367295897869| 22.970 -44.648   |9.935    |~                |    ~     ~    |    1|  221.286   pc  |  -2.6450     +2.6450    |ST-L    |2020AJ....160...83S
1146|BD-05 517                                                                                                |Star                              |02 46 48.5924405088 -04 46 11.410394448|178.9512111795710 -54.5673166121266| 28.156 -17.494   |10.585   |~                |    ~     ~    |    1|  640.844   pc  | -30.9000    +30.9000    |ST-L    |2020AJ....160...83S
1147|TYC 4705-1003-1                                                                                          |Star                              |02 45 35.4469148352 -06 02 28.359131100|180.2586302356880 -55.6392877586356| -9.994 -14.626   |10.827   |~                |    ~     ~    |    1| 1238.900   pc  |-110.8000   +110.8000    |ST-L    |2020AJ....160...83S
1148|TYC 4705-1005-1                                                                                          |Star                              |02 47 19.4907066216 -05 34 42.935357532|180.1459109309528 -55.0100723520141|  -14.744 8.059   |10.81    |~                |    ~     ~    |    1|  262.764   pc  |  -1.6364     +1.6364    |paral   |2020yCat.1350....0G
1149|BD-06 543                                                                                                |Double or Multiple Star           |02 47 29.972688 -06 00 50.57928        |180.770699457 -55.262978310        |     38.1 -34.7   |10.11    |~                |    ~     ~    |    0|                |                         |        |                   
1150|HD 17913                                                                                                 |Star                              |02 52 31.9020867432 -06 03 18.606126060|182.2265491473265 -54.3341672359872|  11.719 -1.313   |9.05     |K1III(w)         |    ~     ~    |    1|  500.375   pc  |  -6.9354     +6.9354    |paral   |2020yCat.1350....0G
1151|BD-06 580                                                                                                |Star                              |02 59 28.9072400808 -05 59 50.543762496|183.9881274353407 -52.9561201505182|   3.768 -5.564   |10.50    |~                |    ~     ~    |    1| 1084.716   pc  | -19.1787    +19.1787    |paral   |2020yCat.1350....0G
1152|HD 17559                                                                                                 |Star                              |02 49 02.6061679172 -04 13 29.410382181|178.9017306351645 -53.7888136164055|  5.099 -14.260   |6.91     |M0III            |    ~     ~    |    1|  404.0241  pc  |  -8.1291     +8.1291    |paral   |2018yCat.1345....0G
1153|HD 17556                                                                                                 |Star                              |02 48 55.7953186176 -05 10 09.361773696|180.0701017054162 -54.4397784437632| 28.452 -39.049   |7.89     |F0/2V            |    ~     ~    |    1|  175.580   pc  |  -1.1746     +1.1746    |paral   |2020yCat.1350....0G
1154|HD 17665                                                                                                 |High Proper Motion Star           |02 50 01.6082843472 -04 42 50.180608008|179.7963523285907 -53.9335130154722| 91.673 -36.789   |8.73     |F3V              |    ~     ~    |    1|  118.378   pc  |  -0.2663     +0.2663    |paral   |2020yCat.1350....0G
1155|HD 17699                                                                                                 |Star                              |02 50 21.4589135120 -04 59 11.130182793|180.2366450279380 -54.0520107288863| -18.490 -0.127   |7.19     |A1V              |    ~     ~    |    1|  173.94    pc  |  -1.1012     +1.1012    |paral   |2020yCat.1350....0G
1156|BD-06 553                                                                                                |High Proper Motion Star           |02 49 00.2230409904 -05 36 23.990973408|180.6594684308178 -54.7135703600319|  1.848 -82.008   |10.11    |~                |    ~     ~    |    1|  147.850   pc  |  -0.3804     +0.3804    |paral   |2020yCat.1350....0G
1157|BD-06 554                                                                                                |Star                              |02 49 20.2616154936 -05 51 57.647086956|181.0941809192702 -54.8197241963255| 25.034 -11.108   |9.57     |K0               |    ~     ~    |    1|  222.010   pc  |  -0.7738     +0.7738    |paral   |2020yCat.1350....0G
1158|BD-04 474                                                                                                |High Proper Motion Star           |02 48 45.5755396728 -04 22 20.919365472|179.0063345771561 -53.9404717541844| 43.806 -31.393   |10.439   |~                |    ~     ~    |    1|  510.043   pc  | -17.1400    +17.1400    |ST-L    |2020AJ....160...83S
1159|BD-05 525                                                                                                |Star                              |02 49 30.6828534432 -05 14 35.991398832|180.3298012097334 -54.3797885038010|   6.952 -7.989   |10.813   |~                |    ~     ~    |    1|  224.250   pc  |  -3.4210     +3.4210    |ST-L    |2020AJ....160...83S
1160|BD-05 526                                                                                                |Star                              |02 49 57.4456612128 -04 49 00.735394980|179.9078209908774 -54.0147260972728| -5.923 -16.940   |10.35    |~                |    ~     ~    |    1|  179.782   pc  |  -0.6691     +0.6691    |paral   |2020yCat.1350....0G
1161|BD-06 560                                                                                                |Star                              |02 50 19.3805825304 -05 55 17.021816868|181.4423703131517 -54.6690220661321|   35.452 9.596   |9.83     |~                |    ~     ~    |    1|  192.315   pc  |  -0.5252     +0.5252    |paral   |2020yCat.1350....0G
1162|BD-05 529                                                                                                |Star                              |02 50 46.4702266440 -04 26 47.290316532|179.6677955914425 -53.6165171815982|   38.095 5.612   |10.10    |~                |    ~     ~    |    1|  221.789   pc  |  -6.6013     +6.6013    |paral   |2020yCat.1350....0G
1163|BD-05 530                                                                                                |High Proper Motion Star           |02 50 48.3937111680 -04 36 10.432165140|179.8740718879899 -53.7144781265573| 25.548 -54.622   |10.15    |~                |    ~     ~    |    1|   92.007   pc  |  -0.1490     +0.1490    |paral   |2020yCat.1350....0G
1164|BD-06 555                                                                                                |Star                              |02 49 26.2147894320 -05 53 13.242382836|181.1497064813954 -54.8146039081466|-27.854 -10.316   |10.122   |~                |    ~     ~    |    1|  164.688   pc  |  -1.8000     +1.8000    |ST-L    |2020AJ....160...83S
1165|HD 18030                                                                                                 |Star                              |02 53 43.4100714576 -04 14 51.167883804|180.2336679823842 -52.9342448183548| 21.001 -23.009   |7.66     |G8IV             |    ~     ~    |    1|  257.991   pc  |  -6.0835     +6.0835    |paral   |2020yCat.1350....0G
1166|HD 18182                                                                                                 |Chemically Peculiar Star          |02 55 11.0938072080 -04 18 59.871586536|180.7164111515451 -52.7053321759435|   9.683 -9.452   |8.97     |G8/K0III         |    ~     ~    |    1|  493.243   pc  |  -4.3792     +4.3792    |paral   |2020yCat.1350....0G
1167|BD-04 504                                                                                                |High Proper Motion Star           |02 57 12.4674979632 -04 07 12.198270288|181.0139409127931 -52.1952973308856|  50.220 -3.198   |9.37     |G8               |    ~     ~    |    1|  350.821   pc  |  -8.6100     +8.6100    |ST-L    |2020AJ....160...83S
1168|HD 18530                                                                                                 |Spectroscopic Binary              |02 58 39.7170523546 -04 12 31.471938497|181.5074319001599 -51.9776314219214|  -0.983 -7.393   |7.92     |A5II/III(m)      |    ~     ~    |    1|  123.831   pc  |  -0.9507     +0.9507    |paral   |2018yCat.1345....0G
1169|HD 18618                                                                                                 |High Proper Motion Star           |02 59 34.5001927992 -04 06 58.945110732|181.6322033634403 -51.7443419461098|224.446 -13.822   |7.78     |F8V              |    ~     ~    |    1|   69.794   pc  |  -0.1228     +0.1228    |paral   |2020yCat.1350....0G
1170|HD 17809                                                                                                 |Star                              |02 51 28.5028099440 -04 31 22.440727236|179.9593147698476 -53.5367236172921|   3.507 -5.431   |8.78     |M1/2III          |    ~     ~    |    1|  670.511   pc  | -15.2859    +15.2859    |paral   |2020yCat.1350....0G
1171|HD 17976                                                                                                 |Star                              |02 53 12.7033698096 -05 14 57.099056604|181.3618771926017 -53.6860521984098|-27.087 -16.805   |7.24     |K0III            |    ~     ~    |    1|  205.588   pc  |  -0.9130     +0.9130    |paral   |2020yCat.1350....0G
1172|HD 18205                                                                                                 |Star                              |02 55 19.1032812168 -04 42 37.544726448|181.2459883648984 -52.9372134720107|  12.366 22.258   |9.16     |G8/K0III/IV      |    ~     ~    |    1|  447.688   pc  |  -4.5697     +4.5697    |paral   |2020yCat.1350....0G
1173|BD-05 546                                                                                                |Star                              |02 56 41.3717844264 -05 21 07.119944856|182.4273060627506 -53.0891176971210|  16.281 -3.053   |8.52     |K2               |    ~     ~    |    1|  786.349   pc  | -14.4693    +14.4693    |paral   |2020yCat.1350....0G
1174|BD-05 551                                                                                                |Star                              |02 57 34.8751090968 -05 21 29.394177768|182.6700833180680 -52.9219000718587| -14.507 -8.134   |9.20     |K2               |    ~     ~    |    1|  286.287   pc  |  -5.0240     +5.0240    |ST-L    |2020AJ....160...83S
1175|HD 18452                                                                                                 |High Proper Motion Star           |02 57 57.5425062000 -04 43 27.585703344|181.9653617617656 -52.4443108454508|   84.305 0.625   |8.99     |F5V              |    ~     ~    |    1|  163.698   pc  |  -0.8173     +0.8173    |paral   |2020yCat.1350....0G
1176|HD 18572                                                                                                 |Star                              |02 59 08.4114851784 -04 47 00.075288264|182.3484504572321 -52.2563670557988|   0.012 -7.109   |8.02     |B9.5V            |    ~     ~    |    1|  218.145   pc  |  -2.0891     +2.0891    |paral   |2020yCat.1350....0G
1177|HD 17822                                                                                                 |High Proper Motion Star           |02 51 31.0042176446 -05 44 28.755809418|181.5360040101772 -54.3260760602553| 50.713 -33.273   |9.38     |G1V              |    ~     ~    |    1|  144.449   pc  |  -6.6530     +6.6530    |ST-L    |2020AJ....160...83S
1178|BD-06 562                                                                                                |Star                              |02 51 37.293 -05 40 29.91              |181.478105 -54.263308              |      6.4 -11.6   |10.681   |~                |    ~     ~    |    1|  638.489   pc  | -27.9800    +27.9800    |ST-L    |2020AJ....160...83S
1179|HD 17953                                                                                                 |Star                              |02 52 58.3646526480 -05 36 38.573772480|181.7643150913895 -53.9649994625781|   3.111 -1.282   |8.40     |K2III            |    ~     ~    |    1|  569.768   pc  |  -8.8301     +8.8301    |paral   |2020yCat.1350....0G
1180|BD-06 575                                                                                                |Red Giant Branch star Candidate   |02 56 41.7621505632 -05 40 12.398820276|182.8389181425199 -53.2900849413355|    0.870 2.236   |9.65     |K0               |    ~     ~    |    1|  545.019   pc  |  -4.8121     +4.8121    |paral   |2020yCat.1350....0G
1181|BD-06 577                                                                                                |Star                              |02 58 16.7447468928 -05 38 39.007170924|183.2199746065981 -52.9683660227816|   11.680 7.784   |10.91    |~                |    ~     ~    |    1|  188.303   pc  |  -0.6985     +0.6985    |paral   |2020yCat.1350....0G
1182|BD-06 581                                                                                                |High Proper Motion Star           |02 59 52.3228413744 -05 38 44.153804292|183.6335021538835 -52.6607979026113|-11.936 -103.789  |10.66    |~                |    ~     ~    |    1|  100.837   pc  |  -0.1647     +0.1647    |paral   |2020yCat.1350....0G
1183|BD-06 564                                                                                                |Red Giant Branch star Candidate   |02 52 33.5180550000 -05 53 13.796166048|182.0127431101063 -54.2215312949459|    6.709 8.163   |9.81     |~                |    ~     ~    |    1|  310.887   pc  |  -1.8170     +1.8170    |paral   |2020yCat.1350....0G
1184|BD-04 493                                                                                                |High Proper Motion Star           |02 54 08.7182586960 -04 10 58.328954616|180.2682037731558 -52.8125548429433| 68.294 -56.671   |10.69    |~                |    ~     ~    |    1|  219.111   pc  |  -0.8306     +0.8306    |paral   |2020yCat.1350....0G
1185|BD-04 482                                                                                                |Star                              |02 51 21.7059289680 -04 08 57.837406200|179.4597976431460 -53.3093514935068|   9.022 -5.276   |10.912   |~                |    ~     ~    |    1|  327.881   pc  |  -6.7950     +6.7950    |ST-L    |2020AJ....160...83S
1186|BD-05 531                                                                                                |High Proper Motion Star           |02 51 24.9571993920 -05 13 17.313780720|180.8330417202992 -54.0074663236038| 63.076 -16.219   |10.085   |~                |    ~     ~    |    1|  258.890   pc  |  -3.8760     +3.8760    |ST-L    |2020AJ....160...83S
1187|BD-05 534                                                                                                |High Proper Motion Star           |02 52 07.7205830232 -04 56 42.805789764|180.6757269410078 -53.6925018381562|102.209 -22.729   |10.84    |~                |    ~     ~    |    1|  126.458   pc  |  -1.0430     +1.0430    |ST-L    |2020AJ....160...83S
1188|BD-06 569                                                                                                |Red Giant Branch star Candidate   |02 53 18.1990510344 -05 24 37.859907852|181.5947403650140 -53.7730385920523|  4.265 -17.663   |10.02    |~                |    ~     ~    |    1|  711.997   pc  |  -8.9221     +8.9221    |paral   |2020yCat.1350....0G
1189|BD-05 537                                                                                                |Star                              |02 53 37.4176953648 -05 03 24.790583448|181.2275395257747 -53.4832190409001|  4.746 -16.542   |10.67    |~                |    ~     ~    |    1|  539.753   pc  |  -5.1566     +5.1566    |paral   |2020yCat.1350....0G
1190|BD-06 570                                                                                                |Star                              |02 53 40.9443815424 -05 24 31.167496620|181.6952639387642 -53.6997587469554|  5.747 -13.413   |10.04    |~                |    ~     ~    |    1| 1490.757   pc  | -38.2245    +38.2245    |paral   |2020yCat.1350....0G
1191|BD-05 538                                                                                                |Star                              |02 54 02.4259619664 -05 06 44.745755400|181.4116438679743 -53.4402811115118|  -4.829 -6.897   |10.76    |~                |    ~     ~    |    1|  884.956   pc  | -15.8979    +15.8979    |paral   |2020yCat.1350....0G
1192|BD-05 539                                                                                                |Star                              |02 54 08.0385983136 -05 12 15.229216656|181.5545088024614 -53.4819364612452|  9.772 -48.597   |10.95    |~                |    ~     ~    |    1|  316.326   pc  |  -2.8918     +2.8918    |paral   |2020yCat.1350....0G
1193|BD-05 540                                                                                                |Star                              |02 54 19.8569941824 -04 32 41.767905588|180.7710967147365 -53.0157147963855|    6.908 0.432   |9.48     |~                |    ~     ~    |    1|  506.150   pc  |  -6.4559     +6.4559    |paral   |2020yCat.1350....0G
1194|BD-04 494                                                                                                |Star                              |02 54 34.2054407112 -04 24 03.725445024|180.6555665739655 -52.8763815467682| 10.072 -10.250   |10.13    |~                |    ~     ~    |    1| 1262.786   pc  | -33.9656    +33.9656    |paral   |2020yCat.1350....0G
1195|BD-05 545                                                                                                |Star                              |02 55 36.9745982640 -04 52 56.966237760|181.5433380935179 -52.9923143498868|    1.187 0.550   |10.198   |~                |    ~     ~    |    1|  333.864   pc  |  -9.2760     +9.2760    |ST-L    |2020AJ....160...83S
1196|BD-04 500                                                                                                |Star                              |02 56 02.5395900408 -04 17 40.445518704|180.9194159710793 -52.5293036495767| 27.332 -23.507   |10.60    |~                |    ~     ~    |    1|  289.218   pc  |  -2.0159     +2.0159    |paral   |2020yCat.1350....0G
1197|BD-05 547                                                                                                |High Proper Motion Star           |02 57 05.5861480776 -04 30 21.065112612|181.4629410930138 -52.4680120012683|  138.402 0.186   |10.968   |~                |    ~     ~    |    1|  163.595   pc  |  -1.5410     +1.5410    |ST-L    |2020AJ....160...83S
1198|BD-04 503                                                                                                |Star                              |02 57 11.6743512432 -04 22 53.058477216|181.3346012654435 -52.3680133754023| -4.974 -41.689   |10.24    |~                |    ~     ~    |    1|  219.611   pc  |  -0.8633     +0.8633    |paral   |2020yCat.1350....0G
1199|BD-05 550                                                                                                |Star                              |02 57 33.2278965312 -05 07 27.711751548|182.3644825429761 -52.7781999395294|  28.228 -3.264   |10.389   |~                |    ~     ~    |    1|  170.270   pc  |  -2.0100     +2.0100    |ST-L    |2020AJ....160...83S
1200|BD-05 555                                                                                                |Star                              |02 59 10.2923725296 -04 59 00.231857916|182.6085827668682 -52.3779906461158|    6.005 3.466   |10.24    |~                |    ~     ~    |    1| 1162.926   pc  | -23.9374    +23.9374    |paral   |2020yCat.1350....0G
1201|BD-06 578                                                                                                |Star                              |02 59 12.6760689552 -05 51 46.566444564|183.7440994714904 -52.9249525508673|   40.864 0.893   |10.75    |~                |    ~     ~    |    1|  197.636   pc  |  -0.5664     +0.5664    |paral   |2020yCat.1350....0G
1202|BD-05 556                                                                                                |High Proper Motion Star           |02 59 15.2476307520 -05 15 42.052901580|182.9829299716269 -52.5387189408754| 41.863 -29.926   |10.63    |K1IV             |    ~     ~    |    1|  246.585   pc  |  -1.1796     +1.1796    |paral   |2020yCat.1350....0G
1203|BD-04 509                                                                                                |Star                              |02 59 18.0710325864 -04 21 00.259125120|181.8496200838162 -51.9474057577275|  3.534 -12.785   |10.63    |~                |    ~     ~    |    1|  857.192   pc  | -13.2260    +13.2260    |paral   |2020yCat.1350....0G
1204|BD-05 557                                                                                                |High Proper Motion Star           |02 59 27.7734803688 -05 24 54.574076340|183.2327159758788 -52.5953236477615| 70.845 -47.386   |10.29    |~                |    ~     ~    |    1|   79.656   pc  |  -0.1263     +0.1263    |paral   |2020yCat.1350....0G
1205|BD-05 558                                                                                                |Star                              |02 59 43.7028942936 -05 02 07.243405224|182.8184997380377 -52.3039498373683|  -7.090 -9.471   |9.87     |~                |    ~     ~    |    1|  747.719   pc  |  -9.5603     +9.5603    |paral   |2020yCat.1350....0G
1206|HD 18131                                                                                                 |Rotating Variable                 |02 54 38.8273538856 -05 19 50.946069432|181.8554715550489 -53.4659398719078| 30.765 -22.221   |7.31     |K0IV+DA:         |    ~     ~    |    1|  113.810   pc  |  -3.3962     +3.3962    |paral   |2020yCat.1350....0G
1207|TYC 4706-824-1                                                                                           |Star                              |02 59 02.8980235128 -05 17 06.102270276|182.9593313005948 -52.5931684452060|  15.643 -9.721   |10.78    |~                |    ~     ~    |    1| 1065.530   pc  | -21.0041    +21.0041    |paral   |2020yCat.1350....0G
1208|TYC 4706-786-1                                                                                           |High Proper Motion Star           |02 59 20.5236604344 -05 44 50.601157476|183.6283586541897 -52.8273334191235| 47.972 -21.778   |10.67    |~                |    ~     ~    |    1|  372.953   pc  |  -2.0169     +2.0169    |paral   |2020yCat.1350....0G
1209|TYC 4706-591-1                                                                                           |Star                              |02 59 05.9347534224 -05 33 54.678305412|183.3309505857931 -52.7601436013170|  3.188 -23.946   |10.44    |~                |    ~     ~    |    1|  380.662   pc  | -13.5050    +13.5050    |paral   |2020yCat.1350....0G
1210|TYC 4706-962-1                                                                                           |Star                              |02 52 22.7679032256 -06 08 20.682804840|182.2959859001740 -54.4168551369935|   23.235 9.024   |10.743   |~                |    ~     ~    |    1|  388.375   pc  |  -9.6830     +9.6830    |ST-L    |2020AJ....160...83S
1211|BD-04 465                                                                                                |Star                              |02 46 29.1343972560 -04 10 22.649642184|178.1021775971109 -54.2231183757422|  23.859 24.744   |10.124   |~                |    ~     ~    |    1|  202.123   pc  |  -5.0740     +5.0740    |ST-L    |2020AJ....160...83S
1212|BD-04 471                                                                                                |High Proper Motion Star           |02 48 14.5595143296 -04 09 37.458344556|178.5928500895755 -53.8927380854544|  5.321 -79.850   |10.039   |~                |    ~     ~    |    1|  900.457   pc  | -48.2900    +48.2900    |ST-L    |2020AJ....160...83S
1213|HD 17370                                                                                                 |Star                              |02 47 08.2599741744 -03 13 35.261806800|177.1239565017427 -53.4555257909363|  25.783 10.646   |8.96     |K0III            |    ~     ~    |    1|  434.329   pc  |  -3.7540     +3.7540    |paral   |2020yCat.1350....0G
1214|HD 17403                                                                                                 |Star                              |02 47 25.3707703488 -03 17 48.554825640|177.2919606390726 -53.4525691491971| 15.615 -10.611   |8.32     |G8IV             |    ~     ~    |    1|  459.728   pc  |  -5.1147     +5.1147    |paral   |2020yCat.1350....0G
