C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:48:36

dec >=0&rah >=22.5&rah< 22.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5857

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
33  |HD 214294                                                                                                |Star                                |22 36 30.1268098704 +43 52 04.684065960|098.7149753269862 -12.5679178651121|   0.142 -3.466   |10.79    |A2                   |    ~     ~          |    1|  591.471   pc  |  -8.9559     +8.9559  |paral   |2020yCat.1350....0G
34  |HD 214330                                                                                                |Star                                |22 36 41.5074522768 +44 07 17.649264324|098.8764993440156 -12.3664151321164|  28.545 -6.035   |9.70     |G5                   |    ~     ~          |    1|  218.407   pc  |  -0.5867     +0.5867  |paral   |2020yCat.1350....0G
35  |HD 214346                                                                                                |Star                                |22 36 47.3931104496 +44 13 56.933572512|098.9493809420115 -12.2795756349578|   13.415 0.592   |10.11    |A0                   |    ~     ~          |    1|  333.845   pc  |  -2.4074     +2.4074  |paral   |2020yCat.1350....0G
36  |HD 214359                                                                                                |Star                                |22 36 57.1228239000 +43 46 16.262216112|098.7365631723302 -12.6924578450832|  -7.380 -1.686   |9.38     |K2                   |    ~     ~          |    1|  568.020   pc  |  -4.3235     +4.3235  |paral   |2020yCat.1350....0G
37  |BD+43 4253                                                                                               |Star                                |22 37 20.0598458280 +44 00 42.384804012|098.9218389079903 -12.5194409115347|  29.692 12.483   |9.81     |K5                   |    ~     ~          |    1|  655.222   pc  |  -5.5811     +5.5811  |paral   |2020yCat.1350....0G
38  |BD+43 4254                                                                                               |Star                                |22 37 29.9002365888 +43 48 39.935888712|098.8444632197808 -12.7077055475863|  -4.563 -8.735   |9.56     |K5                   |    ~     ~          |    1|  633.914   pc  |  -5.4651     +5.4651  |paral   |2020yCat.1350....0G
39  |HD 214711                                                                                                |Star                                |22 39 23.7753252360 +43 34 09.878687688|099.0250503230495 -13.0886685845664|  -2.500 -6.652   |10.57    |A0                   |    ~     ~          |    1|  850.412   pc  | -20.8282    +20.8282  |paral   |2020yCat.1350....0G
40  |HD 214834                                                                                                |Double or Multiple Star             |22 40 13.617672 +43 31 59.13732        |099.140699522 -13.194924885        |        9.5 2.1   |10.17    |A3                   |    ~     ~          |    0|                |                       |        |                   
41  |BD+42 4434                                                                                               |High Proper Motion Star             |22 32 23.5251792552 +43 17 29.668627428|097.7571716247888 -12.6805370321893|  64.233 -3.994   |8.65     |F5                   |    ~     ~          |    1|  135.437   pc  |  -0.2770     +0.2770  |paral   |2020yCat.1350....0G
42  |HD 213854                                                                                                |Spectroscopic Binary                |22 33 43.1967807216 +43 29 07.324269648|098.0715499265086 -12.6397014410487|    7.386 9.789   |8.06     |K5                   |    ~     ~          |    1|  629.208   pc  |  -6.1365     +6.1365  |paral   |2020yCat.1350....0G
43  |BD+42 4444                                                                                               |Double or Multiple Star             |22 34 11.1329187840 +43 39 52.628567220|098.2401776278342 -12.5294429154104|  12.417 10.349   |10.352   |K0                   |    ~     ~          |    1|  543.095   pc  | -18.5525    +18.5525  |paral   |2020yCat.1350....0G
44  |HD 213946                                                                                                |Star                                |22 34 13.8 +43 40 57                   |098.2567 -12.5182                  |            ~ ~   |8.8      |A3                   |    ~     ~          |    0|                |                       |        |                   
45  |HD 214098                                                                                                |Star                                |22 35 18.1085794680 +43 40 51.865442796|098.4264327194585 -12.6186945916633|  -0.306 -4.647   |8.32     |B8                   |    ~     ~          |    1|  612.933   pc  | -13.0363    +13.0363  |paral   |2020yCat.1350....0G
46  |BD+42 4450                                                                                               |Star                                |22 35 47.7373534344 +43 21 52.498512720|098.3398982072987 -12.9365900926293|  10.868 -1.188   |9.67     |A0                   |    ~     ~          |    1|  403.568   pc  |  -2.3941     +2.3941  |paral   |2020yCat.1350....0G
47  |HD 214179                                                                                                |Pulsating Variable                  |22 35 54.4811858616 +43 41 26.372609268|098.5280833752134 -12.6662833319806|  -0.637 -4.382   |9.62     |A0                   |    ~     ~          |    1|  625.782   pc  |  -9.0852     +9.0852  |paral   |2020yCat.1350....0G
48  |AG+43 2140                                                                                               |Long-Period Variable Candidate      |22 36 42.5947924224 +43 32 25.779399252|098.5781940036863 -12.8693263681544| -18.268 -0.001   |8.82     |~                    |    ~     ~          |    1|  813.405   pc  | -13.8942    +13.8942  |paral   |2020yCat.1350....0G
49  |HD 214396                                                                                                |Spectroscopic Binary                |22 36 57.7674254928 +43 35 57.350488452|098.6492146481907 -12.8418000063700|-26.892 -27.119   |7.50     |K0                   |    ~     ~          |    1|  222.628   pc  |  -5.0505     +5.0505  |paral   |2020yCat.1350....0G
50  |HD 214420                                                                                                |Star                                |22 37 17.6094867528 +43 41 50.161986132|098.7529104006550 -12.7873979526143|    6.054 2.302   |9.09     |A3                   |    ~     ~          |    1|  566.636   pc  |  -4.2382     +4.2382  |paral   |2020yCat.1350....0G
51  |HD 214445                                                                                                |Star                                |22 37 26.8633939848 +43 37 41.163434544|098.7418661542650 -12.8611953209690| -7.614 -13.560   |9.27     |K0                   |    ~     ~          |    1|  408.697   pc  |  -2.1046     +2.1046  |paral   |2020yCat.1350....0G
52  |* 6 Lac                                                                                                  |Spectroscopic Binary                |22 30 29.2600453 +43 07 24.156435      |097.3638705125 -12.6423173889      |    -1.98 -5.36   |4.511    |B2IV                 |    ~     ~          |    1|  293.7720  pc  | -24.4580    +24.4580  |paral   |2018yCat.1345....0G
53  |HD 213370                                                                                                |Star                                |22 30 09.4698157152 +42 51 39.733821648|097.1695792718218 -12.8334876748081|-17.563 -13.195   |8.29     |A2                   |    ~     ~          |    1|  260.247   pc  |  -2.0115     +2.0115  |paral   |2020yCat.1350....0G
54  |HD 214153                                                                                                |Pulsating Variable                  |22 35 37.0290748416 +43 07 12.619021404|098.1832675827455 -13.1302592125569|   7.305 -0.540   |9.55     |A2                   |    ~     ~          |    1|  453.124   pc  |  -3.9011     +3.9011  |paral   |2020yCat.1350....0G
55  |BD+42 4460                                                                                               |Star                                |22 37 24.6615098232 +43 10 19.021230660|098.4998230013821 -13.2517373963241|    8.131 0.854   |9.36     |A2                   |    ~     ~          |    1|  623.247   pc  |  -5.9819     +5.9819  |paral   |2020yCat.1350....0G
56  |TYC 3209-912-1                                                                                           |Star                                |22 33 14.1769088952 +43 06 14.181057072|097.7921724476029 -12.9207723291062|  -3.549 -2.385   |10.31    |~                    |    ~     ~          |    1|  710.934   pc  |  -5.7619     +5.7619  |paral   |2020yCat.1350....0G
57  |TYC 3209-913-1                                                                                           |Star                                |22 34 03.4526192784 +43 06 21.548794248|097.9249628262088 -12.9964562961893|  -0.860 -4.328   |10.68    |~                    |    ~     ~          |    1|  587.993   pc  |  -6.1195     +6.1195  |paral   |2020yCat.1350....0G
58  |TYC 3209-944-1                                                                                           |Star                                |22 33 31.8392360328 +43 05 53.006226972|097.8362299126941 -12.9536078202473|  -6.630 -3.873   |10.57    |~                    |    ~     ~          |    1| 1544.402   pc  | -30.7688    +30.7688  |paral   |2020yCat.1350....0G
59  |TYC 3209-954-1                                                                                           |Star                                |22 32 17.9491933368 +43 06 11.841829920|097.6418737079922 -12.8324999686984|  -6.726 -8.453   |9.99     |~                    |    ~     ~          |    1|  576.203   pc  |  -4.3161     +4.3161  |paral   |2020yCat.1350....0G
