C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:45:55

dec >=0&rah >=10.0&rah< 10.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2625

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
45  |BD+81 325                                                                                                                                                                                                                                            |Star                              |10 09 00.4501642128 +80 20 54.635798148|130.5179961658658 +34.2502311611830| -13.665 -6.368    |9.61     |K5                  |    ~     ~    |    1|  881.446   pc  |  -8.9349     +8.9349  |paral   |2020yCat.1350....0G
46  |NGC 3057                           NGC 3057                                                                                                                                                                                                          |Low Surface Brightness Galaxy     |10 05 39.306 +80 17 08.40              |130.692339 +34.195108              |            ~ ~    |     ~   |~                   |0.593 0.403    |    1|   19.14    Mpc |  -2.67       +2.67    |T-F     |2020ApJ...902..145K
47  |BD+80 308                                                                                                                                                                                                                                            |Star                              |10 06 00.2896451952 +79 52 34.180970232|131.0331057292291 +34.4930330005774|  26.598 -7.322    |9.48     |F5                  |    ~     ~    |    1|  176.997   pc  |  -0.3603     +0.3603  |paral   |2020yCat.1350....0G
48  |BD+80 309                                                                                                                                                                                                                                            |High Proper Motion Star           |10 11 51.9050014944 +80 05 02.262744204|130.6358617167243 +34.5245654488943|  -49.934 3.782    |10.23    |G0                  |    ~     ~    |    1|  110.705   pc  |  -0.1581     +0.1581  |paral   |2020yCat.1350....0G
49  |BD+80 310                                                                                                                                                                                                                                            |Star                              |10 11 42.3202476072 +79 52 19.954733196|130.8204003591774 +34.6722566931851|  -0.742 -4.771    |9.52     |K0                  |    ~     ~    |    1|  647.249   pc  |  -4.7339     +4.7339  |paral   |2020yCat.1350....0G
50  |HD 87224                                                                                                                                                                                                                                             |Spectroscopic Binary              |10 09 19.8781906848 +79 02 46.274711136|131.6212235418396 +35.1851035649956|  -3.107 10.537    |9.20     |G0                  |    ~     ~    |    1|  321.750   pc  |  -2.9918     +2.9918  |paral   |2020yCat.1350....0G
51  |BD+79 327                                                                                                                                                                                                                                            |Spectroscopic Binary              |10 10 08.6211883320 +78 44 52.343341368|131.8458364830968 +35.4236830085033|-46.671 -28.791    |9.48     |F5                  |    ~     ~    |    1|  144.096   pc  |  -1.1773     +1.1773  |paral   |2020yCat.1350....0G
52  |NGC 3197                           NGC 3197                                                                                                                                                                                                          |Galaxy                            |10 14 27.7032728568 +77 49 12.963025092|132.4570043832515 +36.2378785456960|            ~ ~    |     ~   |~                   |0.633 0.545    |    0|                |                       |        |                   
53  |TYC 4545-681-1                                                                                                                                                                                                                                       |High Proper Motion Star           |10 11 07.3767764232 +78 25 34.418529264|132.0828355194555 +35.6856478746992|-123.637 -66.584   |10.84    |~                   |    ~     ~    |    1|   47.836   pc  |  -0.0286     +0.0286  |paral   |2020yCat.1350....0G
54  |TYC 4545-1463-1                                                                                                                                                                                                                                      |Star                              |10 06 31.1259477696 +78 55 12.954611100|131.8463427820149 +35.1776870950167|  -1.215 -3.263    |10.14    |~                   |    ~     ~    |    1|  896.379   pc  |  -9.1598     +9.1598  |paral   |2020yCat.1350....0G
55  |TYC 4545-1987-1                                                                                                                                                                                                                                      |Spectroscopic Binary              |10 04 41.0338961184 +78 40 57.641167956|132.1316808574602 +35.2779654155446|   -2.476 7.212    |10.19    |~                   |    ~     ~    |    1|  905.141   pc  | -73.0798    +73.0798  |paral   |2020yCat.1350....0G
56  |TYC 4548-149-1                                                                                                                                                                                                                                       |Star                              |10 05 20.7979656936 +80 04 43.004872524|130.8822017487979 +34.3308372799322|    1.876 3.625    |10.26    |~                   |    ~     ~    |    1| 1083.776   pc  | -12.5679    +12.5679  |paral   |2020yCat.1350....0G
57  |TYC 4548-164-1                                                                                                                                                                                                                                       |Star                              |10 12 48.2203470192 +80 01 48.778012704|130.6454396521932 +34.5914078253174|  4.069 -21.725    |10.36    |~                   |    ~     ~    |    1|  282.438   pc  |  -1.2763     +1.2763  |paral   |2020yCat.1350....0G
58  |TYC 4548-225-1                                                                                                                                                                                                                                       |Star                              |10 04 42.3127550784 +80 08 59.941687164|130.8436955194829 +34.2612685568316|   -3.678 3.266    |9.95     |~                   |    ~     ~    |    1|  584.522   pc  |  -5.0908     +5.0908  |paral   |2020yCat.1350....0G
59  |TYC 4548-270-1                                                                                                                                                                                                                                       |Star                              |10 12 04.4498524320 +80 08 44.347663464|130.5761794608651 +34.4862602241020|  14.245 34.894    |10.29    |~                   |    ~     ~    |    1|  190.538   pc  |  -0.4574     +0.4574  |paral   |2020yCat.1350....0G
60  |TYC 4548-285-1                                                                                                                                                                                                                                       |Star                              |10 03 09.5174480472 +80 13 46.266439980|130.8300225357752 +34.1586143649099| -26.943 -4.563    |10.43    |~                   |    ~     ~    |    1|  384.689   pc  |  -1.9534     +1.9534  |paral   |2020yCat.1350....0G
61  |HD 85927                                                                                                                                                                                                                                             |High Proper Motion Star           |10 00 29.8130127048 +77 49 51.416515560|133.0774995946761 +35.6995161838923|-20.640 -74.399    |9.30     |G                   |    ~     ~    |    1|  166.990   pc  |  -0.3402     +0.3402  |paral   |2020yCat.1350....0G
62  |TYC 4545-2119-1                                                                                                                                                                                                                                      |Star                              |10 01 35.5794119064 +78 00 26.019947340|132.8692677475046 +35.6237508735767| 25.268 -32.229    |10.71    |G5                  |    ~     ~    |    1|  162.927   pc  |  -0.5575     +0.5575  |paral   |2020yCat.1350....0G
63  |BD+78 332                                                                                                                                                                                                                                            |Star                              |10 02 16.1327874456 +77 47 25.532312208|133.0371142414282 +35.7960394546928|    4.081 6.073    |9.72     |F2                  |    ~     ~    |    1|  395.116   pc  |  -2.7164     +2.7164  |paral   |2020yCat.1350....0G
64  |BD+78 335                                                                                                                                                                                                                                            |Star                              |10 04 14.1660003600 +77 59 41.647974972|132.7657465236457 +35.7330732007883|  -7.040 -3.461    |10.30    |K0                  |    ~     ~    |    1|  668.494   pc  |  -5.2285     +5.2285  |paral   |2020yCat.1350....0G
65  |BD+78 331                                                                                                                                                                                                                                            |Star                              |10 01 31.7550980352 +77 19 48.091373940|133.4914896438877 +36.0756959896038|-22.985 -15.894    |10.11    |G5                  |    ~     ~    |    1|  394.368   pc  |  -1.6641     +1.6641  |paral   |2020yCat.1350....0G
66  |BD+78 333                                                                                                                                                                                                                                            |Star                              |10 02 16.1093869728 +77 27 49.987746432|133.3352114321944 +36.0158784266035| -7.620 -24.598    |9.54     |K0                  |    ~     ~    |    1|  701.951   pc  |  -6.5534     +6.5534  |paral   |2020yCat.1350....0G
67  |BD+78 334                                                                                                                                                                                                                                            |Star                              |10 02 19.4001605832 +77 35 10.954344408|133.2207520641440 +35.9356736532989|    4.505 3.542    |9.91     |G5                  |    ~     ~    |    1|  660.328   pc  |  -5.4940     +5.4940  |paral   |2020yCat.1350....0G
68  |BD+78 336                                                                                                                                                                                                                                            |Star                              |10 09 06.3887395464 +77 34 30.271400076|132.9219004561088 +36.2091296968062|   2.909 -0.285    |10.39    |A0                  |    ~     ~    |    1|  467.902   pc  |  -9.1952     +9.1952  |paral   |2020yCat.1350....0G
69  |AG+77 317                                                                                                                                                                                                                                            |Long-Period Variable              |10 11 17.0098297608 +77 32 53.627375472|132.8438920260895 +36.3116287443354|  -2.527 -1.404    |10.62    |M:                  |    ~     ~    |    1| 2608.923   pc  |-104.1391   +104.1391  |paral   |2020yCat.1350....0G
70  |HD 87632                                                                                                                                                                                                                                             |Star                              |10 10 58.4594355744 +77 28 46.199653176|132.9191517291316 +36.3480564510756|  -1.824 -2.148    |9.01     |A0                  |    ~     ~    |    1|  268.947   pc  |  -3.6311     +3.6311  |paral   |2020yCat.1350....0G
71  |TYC 4542-1162-1                                                                                                                                                                                                                                      |Star                              |10 00 53.3510215560 +77 26 41.253014976|133.4147338069470 +35.9730377577323| -0.512 -20.832    |10.21    |~                   |    ~     ~    |    1|  395.679   pc  |  -1.8474     +1.8474  |paral   |2020yCat.1350....0G
72  |TYC 4545-565-1                                                                                                                                                                                                                                       |Spectroscopic Binary              |10 03 13.6231789032 +78 32 52.277279676|132.3123197956047 +35.3180941926012|  15.757 -8.472    |10.89    |~                   |    ~     ~    |    1|  257.765   pc  | -10.0329    +10.0329  |paral   |2020yCat.1350....0G
73  |BD+77 397                                                                                                                                                                                                                                            |Spectroscopic Binary              |10 14 50.5548511464 +77 17 03.718387572|132.9044684357066 +36.6353947881460|-25.106 -29.911    |9.74     |F2                  |    ~     ~    |    1|  215.086   pc  |  -4.8945     +4.8945  |paral   |2020yCat.1350....0G
74  |BD+77 391                                                                                                                                                                                                                                            |Star                              |10 02 04.9614171744 +76 38 04.358715036|134.1086964232216 +36.5628930711333|   7.307 -1.593    |10.38    |G5                  |    ~     ~    |    1|  815.993   pc  |  -8.3231     +8.3231  |paral   |2020yCat.1350....0G
75  |BD+77 392                                                                                                                                                                                                                                            |High Proper Motion Star           |10 04 53.0472727056 +76 23 42.752181444|134.1939528234702 +36.8444596007176|-55.936 -65.225    |9.60     |F8                  |    ~     ~    |    1|  111.216   pc  |  -0.1410     +0.1410  |paral   |2020yCat.1350....0G
76  |BD+77 393                                                                                                                                                                                                                                            |Star                              |10 07 04.7977628544 +76 37 34.067553960|133.8735408244605 +36.7818627748502| -31.943 -5.855    |9.74     |F2                  |    ~     ~    |    1|  263.525   pc  |  -1.3611     +1.3611  |paral   |2020yCat.1350....0G
77  |TYC 4542-2304-1                                                                                                                                                                                                                                      |High Proper Motion Star           |10 11 14.0335268856 +76 22 07.287179448|133.8977043619041 +37.1349762896404|-58.166 -49.269    |10.13    |F8                  |    ~     ~    |    1|  145.637   pc  |  -0.2269     +0.2269  |paral   |2020yCat.1350....0G
78  |HD 87715                                                                                                                                                                                                                                             |High Proper Motion Star           |10 11 13.4011936056 +76 21 43.646487156|133.9041640345268 +37.1390982893782|-58.135 -48.992    |9.70     |G0                  |    ~     ~    |    1|  145.296   pc  |  -0.2322     +0.2322  |paral   |2020yCat.1350....0G
79  |BD+77 396                                                                                                                                                                                                                                            |Star                              |10 12 55.9964281680 +77 03 22.617627048|133.1985711193384 +36.7226962912373|  -1.091 -3.019    |10.13    |K4                  |    ~     ~    |    1|  950.751   pc  | -13.6493    +13.6493  |paral   |2020yCat.1350....0G
80  |HD 86056                                                                                                                                                                                                                                             |Star                              |10 00 36.5738883096 +76 02 49.773862500|134.7304000477912 +36.8858042219602| -28.044 -2.196    |7.98     |K2                  |    ~     ~    |    1|  483.092   pc  |  -3.5940     +3.5940  |paral   |2020yCat.1350....0G
81  |TYC 4542-1514-1                                                                                                                                                                                                                                      |Star                              |10 01 07.6965252144 +75 55 59.286912240|134.8122097051632 +36.9843483881900|  -9.016 -1.411    |10.36    |G5                  |    ~     ~    |    0|                |                       |        |                   
82  |BD+76 372                                                                                                                                                                                                                                            |Star                              |10 01 11.3890337424 +76 10 00.716778624|134.5890555606246 +36.8333328243660|  -7.134 -7.704    |10.34    |K2                  |    ~     ~    |    1|  562.240   pc  |  -3.7934     +3.7934  |paral   |2020yCat.1350....0G
83  |TYC 4542-9-1                                                                                                                                                                                                                                         |Star                              |10 02 55.7764072608 +75 53 27.863843532|134.7611356572205 +37.0944512299609|   -6.076 0.720    |10.50    |G5                  |    ~     ~    |    1|  933.794   pc  | -44.6449    +44.6449  |paral   |2020yCat.1350....0G
84  |BD+76 373                                                                                                                                                                                                                                            |Star                              |10 03 48.9113281824 +75 55 23.477058480|134.6861159775403 +37.1133638340065|-11.007 -12.953    |9.96     |K2                  |    ~     ~    |    1|  531.887   pc  |  -3.1968     +3.1968  |paral   |2020yCat.1350....0G
85  |BD+76 374                                                                                                                                                                                                                                            |Star                              |10 07 33.7932086424 +76 00 05.393553804|134.4213701240859 +37.2286185915292|  -5.287 38.772    |10.35    |G5                  |    ~     ~    |    1|  146.677   pc  |  -0.2345     +0.2345  |paral   |2020yCat.1350....0G
86  |HD 87480                                                                                                                                                                                                                                             |Star                              |10 09 35.1757788000 +75 47 30.438828780|134.5080917551157 +37.4618825567229|-14.694 -19.552    |9.03     |F5                  |    ~     ~    |    1|  268.204   pc  |  -0.8920     +0.8920  |paral   |2020yCat.1350....0G
87  |HIP 50063                                                                                                                                                                                                                                            |Star                              |10 13 17.2297046760 +76 09 54.313358112|133.9738034719753 +37.3643983011360|  -5.615 -5.653    |10.54    |F2                  |    ~     ~    |    1|  413.856   pc  |  -4.1963     +4.1963  |paral   |2020yCat.1350....0G
88  |HD 88081                                                                                                                                                                                                                                             |High Proper Motion Star           |10 13 35.9311376016 +76 02 22.287153084|134.0699486525239 +37.4658127828458|-60.645 -46.151    |9.57     |F5                  |    ~     ~    |    1|  131.893   pc  |  -0.2035     +0.2035  |paral   |2020yCat.1350....0G
