C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
33  |BD+83 244                                                                                                                                   |Star                                |09 22 28.8419748528 +82 53 10.778477316|129.5133983546844 +31.3299295024447|    8.993 5.276   |10.08    |K0             |    ~     ~    |    1|  558.316   pc  |  -4.0835     +4.0835  |paral   |2020yCat.1350....0G
34  |HD 79125                                                                                                                                    |Star                                |09 24 19.3578026208 +82 54 22.672595952|129.4561526769689 +31.3653053493101|    1.434 2.846   |8.59     |A5             |    ~     ~    |    1|  438.347   pc  |  -2.9783     +2.9783  |paral   |2020yCat.1350....0G
35  |TYC 4631-1374-1                                                                                                                             |Star                                |09 29 29.7517604976 +83 32 55.678717896|128.7426604165333 +31.1125906906587|-11.691 -17.356   |10.94    |~              |    ~     ~    |    1|  272.472   pc  |  -0.8241     +0.8241  |paral   |2020yCat.1350....0G
36  |GSC 04631-01556                                                                                                                             |Double or Multiple Star             |09 15 02.9580520104 +83 10 41.859636888|129.3753955855950 +30.9805516411078| -20.957 -4.817   |10.783   |~              |    ~     ~    |    1|  272.829   pc  |  -0.8337     +0.8337  |paral   |2020yCat.1350....0G
37  |TYC 4635-247-1                                                                                                                              |High Proper Motion Star             |09 19 33.7263127512 +84 28 00.538056336|128.0503618584543 +30.3672609734738|-98.707 -109.110  |10.90    |~              |    ~     ~    |    1|  312.432   pc  |  -1.2104     +1.2104  |paral   |2020yCat.1350....0G
38  |TYC 4635-467-1                                                                                                                              |Star                                |09 17 44.1757870968 +84 23 10.149127548|128.1565509789710 +30.3761144413979|   8.295 -2.847   |10.63    |~              |    ~     ~    |    1| 1285.017   pc  | -23.2829    +23.2829  |paral   |2020yCat.1350....0G
39  |HD 78437                                                                                                                                    |High Proper Motion Star             |09 19 58.3117226928 +82 36 45.553226580|129.8307139008065 +31.4180405247974|-70.742 -51.417   |7.92     |F8             |    ~     ~    |    1|   71.628   pc  |  -0.0929     +0.0929  |paral   |2020yCat.1350....0G
40  |BD+83 246                                                                                                                                   |Star                                |09 25 25.9297445976 +82 42 46.168562484|129.6182037080048 +31.5050172892956|-19.276 -14.072   |10.84    |G5             |    ~     ~    |    1|  367.094   pc  |  -1.6306     +1.6306  |paral   |2020yCat.1350....0G
41  |HD 79868                                                                                                                                    |Star                                |09 28 08.9598976632 +82 41 18.119552784|129.5826444274341 +31.5894486861316| -4.454 -19.827   |8.17     |F5             |    ~     ~    |    1|   98.732   pc  |  -0.1764     +0.1764  |paral   |2020yCat.1350....0G
42  |HD 78605                                                                                                                                    |Star                                |09 20 36.4281121296 +82 20 27.444403248|130.0820602611655 +31.5863431212301|-20.325 -22.557   |8.65     |F0             |    ~     ~    |    1|  190.865   pc  |  -1.6830     +1.6830  |paral   |2020yCat.1350....0G
