C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:35:45

dec< 0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3999

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1418|BD-08 5579                                                                                               |Star                                |21 07 17.2289061456 -08 13 04.038407076|041.5837268133374 -33.8665848937409|-34.568 -13.025   |10.07    |~              |    ~     ~    |    1|  114.063   pc  |  -0.8734     +0.8734    |ST-L    |2020AJ....160...83S
1419|HD 201056                                                                                                |Double or Multiple Star             |21 07 24.9789043266 -08 09 51.420063233|041.6586415948293 -33.8704772870145|   22.064 5.007   |8.29     |A2/3           |0.0133  0.0    |    1|  230.0702  pc  | -20.5060    +20.5060    |paral   |2018yCat.1345....0G
1420|HD 201038                                                                                                |Double or Multiple Star             |21 07 26.2715876232 -08 14 05.652852612|041.5859669173787 -33.9075730018886|-21.590 -10.190   |7.02     |A1V            |0.0017  0.0    |    1|  140.272   pc  |  -3.4138     +3.4138    |paral   |2020yCat.1350....0G
1421|BD-08 5582                                                                                               |Double or Multiple Star             |21 07 27.2936481072 -08 09 35.744400396|041.6685748813521 -33.8769648965885|    2.355 6.167   |9.957    |~              |    ~     ~    |    1|  391.674   pc  | -21.4900    +21.4900    |ST-L    |2020AJ....160...83S
1422|BD-08 5587                                                                                               |Star                                |21 08 01.9217137776 -08 05 24.421978536|041.8223429868415 -33.9718103840763|  10.312 -9.321   |10.819   |~              |    ~     ~    |    1|  303.878   pc  |  -6.8150     +6.8150    |ST-L    |2020AJ....160...83S
1423|HD 201258                                                                                                |High Proper Motion Star             |21 08 37.1720923392 -08 13 40.937402856|041.7550161544929 -34.1642939279513|  64.564 16.884   |8.12     |F5V            |    ~     ~    |    1|   72.928   pc  |  -0.1580     +0.1580    |paral   |2020yCat.1350....0G
1424|HD 201402                                                                                                |Star                                |21 09 31.5693743256 -08 07 05.258464968|041.9977981031456 -34.3130591332180|-15.494 -20.807   |10.005   |G2/3V          |    ~     ~    |    1|  255.219   pc  |  -4.2570     +4.2570    |ST-L    |2020AJ....160...83S
1425|BD-08 5560                                                                                               |Star                                |21 04 02.6768073960 -07 59 56.284212624|041.3763912302399 -33.0529408685683| -9.868 -24.871   |10.63    |~              |    ~     ~    |    1|  346.476   pc  |  -1.8847     +1.8847    |paral   |2020yCat.1350....0G
1426|BD-08 5556                                                                                               |Star                                |21 03 16.1140700640 -07 56 20.754100536|041.3349546806257 -32.8547178284395|  -0.007 -5.696   |10.58    |~              |    ~     ~    |    1|  337.064   pc  |  -2.8403     +2.8403    |paral   |2020yCat.1350....0G
1427|BD-08 5592                                                                                               |Star                                |21 09 27.2057653128 -08 12 35.324056584|041.8891908763077 -34.3392377146300|  -7.687 -5.390   |10.52    |~              |    ~     ~    |    1|  848.427   pc  | -30.2500    +30.2500    |ST-L    |2020AJ....160...83S
1428|HD 200357                                                                                                |Double or Multiple Star             |21 03 13.6305 -06 09 42.764            |043.1927310 -32.0178593            |       0.4 -6.3   |9.33     |K1IV           |    ~     ~    |    0|                |                         |        |                   
1429|HD 200454                                                                                                |High Proper Motion Star             |21 03 40.5484259400 -06 14 33.447404760|043.1710532142105 -32.1542963867535|  0.850 -52.583   |8.99     |F6V            |    ~     ~    |    1|  209.135   pc  |  -0.7304     +0.7304    |paral   |2020yCat.1350....0G
1430|BD-06 5663                                                                                               |High Proper Motion Star             |21 03 58.2875409664 -06 08 25.114358851|043.3186104299673 -32.1705604609065|-345.512 -279.700 |10.48    |K5V            |    ~     ~    |    1|   48.9455  pc  |  -0.0404     +0.0404    |paral   |2020yCat.1350....0G
1431|HD 200726                                                                                                |Star                                |21 05 22.5321690456 -06 08 38.808567132|043.5106742484496 -32.4795547798452|    2.252 7.190   |9.90     |G8(V)          |    ~     ~    |    1|  617.778   pc  | -17.4500    +17.4500    |ST-L    |2020AJ....160...83S
1432|HD 200807                                                                                                |Star                                |21 05 49.7006314152 -06 08 35.188279296|043.5751738538519 -32.5781023652190|-15.124 -12.211   |9.68     |K1(III)        |    ~     ~    |    1|  535.733   pc  |  -4.1329     +4.1329    |paral   |2020yCat.1350....0G
1433|HD 200865                                                                                                |Star                                |21 06 17.1108565080 -06 15 58.753489284|043.5104721454180 -32.7365491706922| -6.982 -20.691   |8.84     |K3III          |    ~     ~    |    1|  292.432   pc  |  -1.7616     +1.7616    |paral   |2020yCat.1350....0G
1434|HD 200878                                                                                                |High Proper Motion Star             |21 06 23.0376073416 -06 10 58.358974728|043.6116148177639 -32.7185022438925| 19.498 -92.652   |10.00    |G0V            |    ~     ~    |    1|  105.957   pc  |  -0.1740     +0.1740    |paral   |2020yCat.1350....0G
1435|HD 201311                                                                                                |Star                                |21 08 56.0094878328 -06 19 46.734280536|043.8172802706032 -33.3455945547010|-22.130 -24.090   |8.23     |A5III          |    ~     ~    |    1|  201.853   pc  |  -7.9004     +7.9004    |paral   |2020yCat.1350....0G
1436|BD-06 5691                                                                                               |Star                                |21 09 35.6582050272 -06 22 21.154332720|043.8657850264092 -33.5103952758854|   9.704 -0.870   |9.91     |~              |    ~     ~    |    1|  609.570   pc  |  -6.6512     +6.6512    |paral   |2020yCat.1350....0G
1437|BD-07 5478                                                                                               |Star                                |21 04 16.5583766928 -06 56 31.892439336|042.5229500257692 -32.6148095513269|-22.316 -11.245   |10.13    |~              |    ~     ~    |    1|  437.369   pc  |  -2.9268     +2.9268    |paral   |2020yCat.1350....0G
1438|HD 200567                                                                                                |Star                                |21 04 24.7018584792 -07 02 55.199406804|042.4298060410939 -32.6943146226193| 14.543 -14.187   |8.33     |K0III          |    ~     ~    |    1|  317.874   pc  |  -2.1623     +2.1623    |paral   |2020yCat.1350....0G
1439|BD-07 5480                                                                                               |Star                                |21 04 29.7515029128 -06 25 49.897101216|043.0890568068813 -32.4226632947206| 16.246 -22.130   |10.07    |~              |    ~     ~    |    1|  324.781   pc  |  -2.0042     +2.0042    |paral   |2020yCat.1350....0G
1440|HD 200646                                                                                                |Star                                |21 04 54.4432630200 -06 44 57.848129736|042.8124092065547 -32.6629539085291| 30.240 -13.673   |9.61     |G5/6V          |    ~     ~    |    1|  168.381   pc  |  -0.5756     +0.5756    |paral   |2020yCat.1350....0G
1441|HD 200727                                                                                                |Star                                |21 05 25.8491568864 -07 00 07.418078424|042.6193508060986 -32.8961238963944|  19.683 -1.129   |9.999    |G8V            |    ~     ~    |    1|  220.179   pc  |  -3.2580     +3.2580    |ST-L    |2020AJ....160...83S
1442|HD 200782                                                                                                |Star                                |21 05 43.5655438032 -07 17 39.957054036|042.3517463128113 -33.0973023289205| -11.880 -6.806   |9.29     |K2III          |    ~     ~    |    1|  387.687   pc  |  -3.6072     +3.6072    |paral   |2020yCat.1350....0G
1443|HD 200846                                                                                                |Star                                |21 06 14.2672743120 -06 41 25.321295796|043.0591802342566 -32.9267004600189|   3.432 -0.633   |9.19     |G8III          |    ~     ~    |    1|  548.246   pc  |  -5.3201     +5.3201    |paral   |2020yCat.1350....0G
1444|BD-07 5488                                                                                               |Star                                |21 06 39.7146489792 -07 24 17.575563096|042.3638788525246 -33.3540807021289|   7.244 -7.692   |9.80     |M0             |    ~     ~    |    1| 1059.322   pc  | -22.7799    +22.7799    |paral   |2020yCat.1350....0G
1445|HD 200967                                                                                                |High Proper Motion Star             |21 06 55.2674961792 -06 26 43.257921828|043.4120431086498 -32.9605589309718| 35.187 -46.703   |9.32     |K1III          |    ~     ~    |    1|  236.726   pc  |  -1.0928     +1.0928    |paral   |2020yCat.1350....0G
1446|HD 201008                                                                                                |Star                                |21 07 05.4134424144 -07 12 15.219148140|042.6356773879087 -33.3545497630069| 10.902 -14.438   |9.39     |K1/2(III)      |    ~     ~    |    1|  570.483   pc  |  -7.7457     +7.7457    |paral   |2020yCat.1350....0G
1447|HD 201037                                                                                                |Star                                |21 07 16.9081582392 -07 10 52.148581932|042.6866903301634 -33.3857813626316|-25.049 -12.447   |9.53     |F5V            |    ~     ~    |    1|  154.064   pc  |  -0.5625     +0.5625    |paral   |2020yCat.1350....0G
1448|BD-07 5494                                                                                               |Star                                |21 07 21.0109310592 -06 34 11.788336056|043.3412858062423 -33.1134066564004|  -4.870 -3.703   |10.29    |~              |    ~     ~    |    1|  340.043   pc  | -11.9700    +11.9700    |ST-L    |2020AJ....160...83S
1449|BD-07 5495                                                                                               |Star                                |21 07 24.0469385136 -06 44 46.258411056|043.1627838731597 -33.2076897617990| -7.626 -13.619   |10.368   |~              |    ~     ~    |    1|  718.374   pc  | -32.7600    +32.7600    |ST-L    |2020AJ....160...83S
1450|HD 201142                                                                                                |Star                                |21 08 00.0 -07 25 00                   |042.5365 -33.6532                  |            ~ ~   |9.8      |G5             |    ~     ~    |    0|                |                         |        |                   
1451|BD-07 5497                                                                                               |Spectroscopic Binary                |21 08 00.4657937976 -06 39 29.311459344|043.3406576858584 -33.2990039985344|-33.068 -60.283   |10.199   |~              |    ~     ~    |    1|  129.643   pc  |  -1.4300     +1.4300    |ST-L    |2020AJ....160...83S
1452|HD 201178                                                                                                |Star                                |21 08 08.6782208880 -07 06 30.026058372|042.8838952213860 -33.5408506308908|  4.617 -15.487   |10.09    |G8/K0          |    ~     ~    |    1|  526.177   pc  | -10.4654    +10.4654    |paral   |2020yCat.1350....0G
1453|HD 201275                                                                                                |Star                                |21 08 33.1744992264 -06 48 03.806639532|043.2663044268259 -33.4857922889277|  19.398 -3.340   |10.165   |F2V            |    ~     ~    |    1|  236.558   pc  |  -3.2160     +3.2160    |ST-L    |2020AJ....160...83S
1454|HD 201284                                                                                                |Star                                |21 08 44.6497134912 -06 59 11.250135204|043.0968787523947 -33.6149799907766|   -4.337 7.723   |8.09     |K0III          |    ~     ~    |    1|  437.694   pc  |  -4.6361     +4.6361    |paral   |2020yCat.1350....0G
1455|HD 201366                                                                                                |Star                                |21 09 19.0924122216 -07 22 50.599072020|042.7581470906397 -33.9255136526387| -10.262 -7.228   |10.12    |F2/3(III)      |    ~     ~    |    1|  286.726   pc  |  -5.4210     +5.4210    |ST-L    |2020AJ....160...83S
1456|BD-07 5503                                                                                               |Star                                |21 09 42.0380394528 -06 45 36.397671192|043.4712101815800 -33.7175928277522|-11.449 -10.657   |10.694   |~              |    ~     ~    |    1|  694.769   pc  | -28.4700    +28.4700    |ST-L    |2020AJ....160...83S
1457|BD-07 5505                                                                                               |Star                                |21 10 35.5642045920 -06 55 13.209480228|043.4271747255710 -33.9884612424002| 22.704 -11.044   |10.70    |~              |    ~     ~    |    1|  165.537   pc  |  -1.7150     +1.7150    |ST-L    |2020AJ....160...83S
1458|HD 200341                                                                                                |Star                                |21 03 11.4231767040 -07 47 37.962951576|041.4779355276615 -32.7709120889116|  24.248 -0.559   |9.10     |F7V            |    ~     ~    |    1|  183.305   pc  |  -0.6216     +0.6216    |paral   |2020yCat.1350....0G
1459|HD 200728                                                                                                |Double or Multiple Star             |21 05 23.2585407840 -07 43 51.158210160|041.8432839635948 -33.2251390542155|  0.689 -11.815   |9.91     |G8III          |    ~     ~    |    1|  661.251   pc  |+120.177      +5         |ST-L    |2017AJ....153...75K
1460|BD-08 5574                                                                                               |Star                                |21 06 41.2738508640 -07 27 32.204591064|042.3101422441148 -33.3849088300579| -13.255 -7.802   |10.23    |K5             |    ~     ~    |    1|  742.225   pc  |  -9.8060     +9.8060    |paral   |2020yCat.1350....0G
1461|HD 200990                                                                                                |Star                                |21 07 04.1253814608 -07 34 56.721963792|042.2315463625587 -33.5258244138924|  -8.078 -9.151   |10.134   |F5/6IV         |    ~     ~    |    1|  204.702   pc  |  -2.4290     +2.4290    |ST-L    |2020AJ....160...83S
1462|HD 201009                                                                                                |Star                                |21 07 07.3680485760 -07 45 09.388101600|042.0579266017977 -33.6164652423382| -6.783 -12.915   |8.84     |K3/4(III)      |    ~     ~    |    1|  530.701   pc  |  -8.1395     +8.1395    |paral   |2020yCat.1350....0G
1463|HD 201529                                                                                                |Star                                |21 10 25.7838751848 -07 42 31.126708692|042.5626616532362 -34.3220394833610| 17.439 -28.199   |8.67     |G2V            |    ~     ~    |    1|   87.455   pc  |  -0.1927     +0.1927    |paral   |2020yCat.1350....0G
1464|HD 201588                                                                                                |High Proper Motion Star             |21 10 48.3147484584 -07 38 29.785272360|042.6869593009807 -34.3732119019418|234.990 -31.644   |8.71     |G1/2V          |    ~     ~    |    1|   54.833   pc  |  -0.0773     +0.0773    |paral   |2020yCat.1350....0G
1465|HD 200897                                                                                                |Double or Multiple Star             |21 06 30.0058570344 -07 52 59.329883856|041.8335129466969 -33.5398446596095| 51.993 -17.679   |10.11    |G6IV/V         |    ~     ~    |    1|   98.630   pc  |  -1.8678     +1.8678    |paral   |2020yCat.1350....0G
1466|HD 201100                                                                                                |Star                                |21 07 47.0679834744 -07 51 06.929932500|042.0430229882438 -33.8076941843490|   -6.535 4.672   |9.76     |F3/5V          |    ~     ~    |    1|  231.619   pc  |  -3.2410     +3.2410    |ST-L    |2020AJ....160...83S
1467|BD-08 5595                                                                                               |Star                                |21 09 43.3604145696 -07 51 11.134135584|042.3094873088603 -34.2338782738055|   -3.074 3.249   |10.15    |G0             |    ~     ~    |    1|  704.855   pc  | -31.1400    +31.1400    |ST-L    |2020AJ....160...83S
1468|BD-06 5658                                                                                               |Star                                |21 03 10.3658598768 -06 13 07.394831292|043.1261181007605 -32.0328400308769|   6.657 -8.198   |10.38    |~              |    ~     ~    |    1| 1367.241   pc  | -34.2091    +34.2091    |paral   |2020yCat.1350....0G
1469|BD-08 5569                                                                                               |Star                                |21 06 05.0387984016 -07 55 18.187175712|041.7355779756774 -33.4661131121381|   -0.140 2.818   |10.27    |~              |    ~     ~    |    1|  632.111   pc  |  -6.9924     +6.9924    |paral   |2020yCat.1350....0G
1470|BD-07 5487                                                                                               |Star                                |21 06 23.8169835288 -07 23 59.560599228|042.3326353149184 -33.2935956877872|  -2.307 -1.354   |10.267   |~              |    ~     ~    |    1|  745.309   pc  | -31.9600    +31.9600    |ST-L    |2020AJ....160...83S
1471|BD-07 5504                                                                                               |Star                                |21 10 33.8400272904 -07 16 33.566065968|043.0442708174390 -34.1495071920183|  16.423 15.546   |10.18    |~              |    ~     ~    |    1|  328.828   pc  |  -1.6652     +1.6652    |paral   |2020yCat.1350....0G
1472|BD-07 5506                                                                                               |Star                                |21 10 45.9521563848 -07 22 01.821306792|042.9752334818517 -34.2364488184072|  -10.050 2.081   |10.891   |~              |    ~     ~    |    1|  420.788   pc  | -11.6000    +11.6000    |ST-L    |2020AJ....160...83S
1473|BD-08 5557                                                                                               |Star                                |21 03 16.9374493080 -07 29 42.145755936|041.8056545421835 -32.6534830313889|   8.148 -6.338   |10.63    |~              |    ~     ~    |    1| 3224.766   pc  |-168.4657   +168.4657    |paral   |2020yCat.1350....0G
1474|TYC 5204-25-1                                                                                            |Star                                |21 03 35.6618453520 -06 52 17.797858608|042.5031524677107 -32.4322715057254|  -4.576 -9.534   |10.83    |~              |    ~     ~    |    1| 1578.283   pc  | -35.8701    +35.8701    |paral   |2020yCat.1350....0G
1475|BD-07 5477                                                                                               |Star                                |21 03 45.3925929216 -07 22 07.337920116|042.0033343022208 -32.6992633003581|  -0.019 -8.076   |10.83    |~              |    ~     ~    |    1|  708.767   pc  |  -8.2386     +8.2386    |paral   |2020yCat.1350....0G
1476|BD-08 5563                                                                                               |Star                                |21 04 19.7784608880 -07 34 00.175655244|041.8726744081676 -32.9168153774912|   5.720 -5.971   |10.50    |~              |    ~     ~    |    1| 1219.363   pc  | -25.2764    +25.2764    |paral   |2020yCat.1350....0G
1477|TYC 5204-610-1                                                                                           |Star                                |21 04 20.8683310200 -07 26 46.926126564|042.0022245468127 -32.8651457666652|   8.123 -6.330   |10.96    |~              |    ~     ~    |    1| 1410.039   pc  | -38.7701    +38.7701    |paral   |2020yCat.1350....0G
1478|BD-06 5668                                                                                               |Star                                |21 05 30.2122212552 -06 16 00.627254004|043.4004700569748 -32.5658079263688|  -6.818 -2.417   |10.112   |~              |    ~     ~    |    1|  874.753   pc  | -59.6800    +59.6800    |ST-L    |2020AJ....160...83S
1479|BD-08 5572                                                                                               |Star                                |21 06 23.8637009424 -07 40 26.182426548|042.0420129762455 -33.4208153163218|   11.187 2.430   |10.64    |~              |    ~     ~    |    1|  846.883   pc  | -13.1250    +13.1250    |paral   |2020yCat.1350....0G
1480|TYC 5204-318-1                                                                                           |Star                                |21 06 33.7653210024 -06 57 19.736734824|042.8252858218895 -33.1224960760906| -1.455 -11.851   |10.99    |~              |    ~     ~    |    1| 1792.757   pc  | -72.9573    +72.9573    |paral   |2020yCat.1350....0G
1481|BD-08 5578                                                                                               |Star                                |21 07 13.6527935184 -07 54 10.118992320|041.9122075137188 -33.7087912145810|  -3.082 -1.319   |10.507   |~              |    ~     ~    |    1|  801.604   pc  | -27.7700    +27.7700    |ST-L    |2020AJ....160...83S
1482|BD-08 5585                                                                                               |Star                                |21 07 45.2170596792 -07 26 49.208589204|042.4701005390146 -33.6132525662266|  15.663 10.547   |10.456   |~              |    ~     ~    |    1|  488.332   pc  | -15.3500    +15.3500    |ST-L    |2020AJ....160...83S
1483|TYC 5771-106-1                                                                                           |Star                                |21 08 02.4879021288 -07 35 04.308135828|042.3636185747339 -33.7403418272657|  19.914 13.649   |10.735   |~              |    ~     ~    |    1|  797.703   pc  | -34.4600    +34.4600    |ST-L    |2020AJ....160...83S
1484|BD-08 5590                                                                                               |Star                                |21 08 51.5943527424 -07 41 29.095575036|042.3629235587355 -33.9695794549822|    7.975 3.132   |10.581   |~              |    ~     ~    |    1|  863.225   pc  | -37.2600    +37.2600    |ST-L    |2020AJ....160...83S
1485|TYC 5205-738-1                                                                                           |Star                                |21 10 56.8060904736 -06 29 28.891579632|043.9325682302399 -33.8624139491752|  10.368 -1.937   |10.90    |~              |    ~     ~    |    1| 1124.606   pc  | -23.3977    +23.3977    |paral   |2020yCat.1350....0G
1486|TYC 5205-1380-1                                                                                          |Star                                |21 10 58.9385441928 -06 16 34.582681920|044.1651265997716 -33.7675114599104|  -4.879 -0.519   |10.72    |~              |    ~     ~    |    1| 1055.186   pc  | -27.9468    +27.9468    |paral   |2020yCat.1350....0G
1487|HD 199880                                                                                                |Star                                |21 00 04.5252629328 -06 13 19.766049420|042.6957280268749 -31.3557382685800|-14.105 -25.532   |9.32     |G6V            |    ~     ~    |    1|  496.574   pc  |  -4.5618     +4.5618    |paral   |2020yCat.1350....0G
1488|HD 199896                                                                                                |High Proper Motion Star             |21 00 14.7245986272 -07 25 40.810983780|041.4651814117457 -31.9546440519619| 79.999 -89.104   |9.21     |G5V            |    ~     ~    |    1|  124.670   pc  |  -0.6481     +0.6481    |paral   |2020yCat.1350....0G
1489|BD-07 5469                                                                                               |Star                                |21 00 53.1458593008 -07 22 11.032136652|041.6124894233728 -32.0686478620105|  14.832 -5.813   |9.769    |K5             |    ~     ~    |    1|  609.050   pc  | -25.6000    +25.6000    |ST-L    |2020AJ....160...83S
1490|BD-07 5470                                                                                               |Star                                |21 01 11.9066018400 -06 46 00.596042256|042.2843674666911 -31.8574830472653|  4.944 -13.051   |10.77    |~              |    ~     ~    |    1|  565.579   pc  |  -4.0305     +4.0305    |paral   |2020yCat.1350....0G
1491|BD-07 5471                                                                                               |Star                                |21 01 24.8704471248 -07 05 33.397721016|041.9739719619816 -32.0566106924173|  -2.018 12.441   |10.25    |~              |    ~     ~    |    1|  439.464   pc  |  -4.7703     +4.7703    |paral   |2020yCat.1350....0G
1492|HD 200109                                                                                                |Star                                |21 01 34.9381541856 -07 19 44.315102316|041.7493860440289 -32.2029965581502|   8.163 -5.854   |9.51     |G8IV/V         |    ~     ~    |    1|  811.491   pc  |  -9.2192     +9.2192    |paral   |2020yCat.1350....0G
1493|BD-07 5473                                                                                               |Star                                |21 01 37.5 -06 29 20                   |042.6318 -31.8209                  |            ~ ~   |9.5      |~              |    ~     ~    |    0|                |                         |        |                   
1494|HD 199975                                                                                                |Star                                |21 00 41.1741355680 -07 47 39.122830536|041.1404262565473 -32.2198389986527|   -5.800 0.093   |9.70     |F6V            |    ~     ~    |    1|  367.978   pc  | -18.4200    +18.4200    |ST-L    |2020AJ....160...83S
1495|BD-07 5465                                                                                               |Star                                |21 00 28.9414397424 -07 20 45.348461520|041.5829489925357 -31.9689311676961|  3.402 -14.756   |10.099   |~              |    ~     ~    |    1| 1131.140   pc  |-110.1000   +110.1000    |ST-L    |2020AJ....160...83S
1496|BD-08 5548                                                                                               |Star                                |21 01 53.2726645824 -07 46 34.361660532|041.3207764400379 -32.4761589990168|    6.554 1.629   |10.593   |~              |    ~     ~    |    1|  908.147   pc  | -36.8800    +36.8800    |ST-L    |2020AJ....160...83S
1497|BD-07 5474                                                                                               |Star                                |21 02 13.1066586504 -07 21 30.245774508|041.8047913547615 -32.3564588236186|   48.111 9.572   |10.95    |~              |    ~     ~    |    1|  145.372   pc  |  -1.9140     +1.9140    |ST-L    |2020AJ....160...83S
1498|TYC 5204-910-1                                                                                           |Star                                |21 00 56.8165877232 -06 19 39.158654340|042.7061880645971 -31.5964281242038| -11.560 -5.196   |10.752   |~              |    ~     ~    |    1|  978.096   pc  | -42.7800    +42.7800    |ST-L    |2020AJ....160...83S
1499|TYC 5204-333-1                                                                                           |Star                                |21 02 07.0460471928 -07 20 43.009773072|041.8048512206298 -32.3281849763276|   22.948 1.238   |10.97    |~              |    ~     ~    |    1|  285.027   pc  |  -5.1430     +5.1430    |ST-L    |2020AJ....160...83S
1500|BD-08 5551                                                                                               |Star                                |21 02 27.5781510648 -07 59 24.983958336|041.1718451152419 -32.7000418373628|  15.515 -3.609   |10.503   |~              |    ~     ~    |    1|  298.534   pc  |  -5.6330     +5.6330    |ST-L    |2020AJ....160...83S
1501|BD-08 5547                                                                                               |Star                                |21 01 21.3805505496 -08 00 22.392469044|041.0069764203407 -32.4643286264327|  -6.016 -7.667   |10.59    |~              |    ~     ~    |    1|  302.508   pc  |  -1.3269     +1.3269    |paral   |2020yCat.1350....0G
1502|TYC 5205-1030-1                                                                                          |Star                                |21 09 38.0129202840 -06 22 36.763820040|043.8667830023225 -33.5210340496168|    7.666 0.776   |10.70    |A4             |    ~     ~    |    1| 1031.353   pc  | -24.2521    +24.2521    |paral   |2020yCat.1350....0G
1503|TYC 5204-54-1                                                                                            |Star                                |21 06 35.2784362848 -06 51 44.457034968|042.9269668363130 -33.0843137311718|-18.079 -12.247   |10.74    |~              |    ~     ~    |    1|  249.246   pc  |  -1.0685     +1.0685    |paral   |2020yCat.1350....0G
1504|TYC 5204-358-1                                                                                           |Star                                |21 06 48.1550929968 -07 14 20.132994264|042.5590936695617 -33.3076560894155|-15.518 -10.181   |10.62    |~              |    ~     ~    |    1|  860.807   pc  | -14.5234    +14.5234    |paral   |2020yCat.1350....0G
1505|TYC 5204-442-1                                                                                           |High Proper Motion Star             |21 00 38.0726066304 -07 22 44.107309056|041.5689680400804 -32.0176283545427|  58.386 16.487   |10.79    |~              |    ~     ~    |    1|  195.206   pc  |  -0.9298     +0.9298    |paral   |2020yCat.1350....0G
1506|TYC 5204-572-1                                                                                           |Star                                |21 04 13.9989319176 -07 03 29.085710112|042.3953864900552 -32.6595582629071| 13.474 -25.863   |10.89    |~              |    ~     ~    |    1|  257.705   pc  |  -3.5066     +3.5066    |paral   |2020yCat.1350....0G
1507|TYC 5204-641-1                                                                                           |Star                                |21 01 39.5298817680 -07 09 33.556711032|041.9374150642427 -32.1412555891895|  -0.227 -3.446   |10.884   |~              |    ~     ~    |    1|  378.132   pc  | -10.3100    +10.3100    |ST-L    |2020AJ....160...83S
1508|TYC 5204-1093-1                                                                                          |Star                                |21 01 13.2372252936 -06 09 53.192338524|042.9123475442661 -31.5797231153925| 21.618 -16.814   |10.95    |~              |    ~     ~    |    1|  211.954   pc  |  -1.4016     +1.4016    |paral   |2020yCat.1350....0G
1509|TYC 5204-1096-1                                                                                          |Star                                |21 05 05.3951182512 -06 25 55.412073516|043.1700777083934 -32.5534753415966|-18.155 -28.153   |10.965   |~              |    ~     ~    |    1|  213.045   pc  |  -2.5680     +2.5680    |ST-L    |2020AJ....160...83S
1510|TYC 5204-1205-1                                                                                          |Star                                |21 05 20.4265074192 -06 17 29.865659388|043.3517829848592 -32.5418706562572|   14.313 8.408   |10.566   |~              |    ~     ~    |    1|  231.509   pc  |  -3.1110     +3.1110    |ST-L    |2020AJ....160...83S
1511|TYC 5205-3-1                                                                                             |Chemically Peculiar Star            |21 11 08.1572902656 -07 27 34.880362524|042.9282171337082 -34.3608207431539|-21.399 -11.258   |10.74    |A3mF3          |    ~     ~    |    1|  523.095   pc  | -41.8651    +41.8651    |paral   |2020yCat.1350....0G
1512|TYC 5205-1290-1                                                                                          |Star                                |21 08 38.2740752736 -06 36 29.852606160|043.4818587699199 -33.4132884217329|   1.043 -1.321   |10.881   |~              |    ~     ~    |    1| 1073.810   pc  | -59.5500    +59.5500    |ST-L    |2020AJ....160...83S
1513|TYC 5770-1250-1                                                                                          |Star                                |21 00 59.2371018048 -07 31 04.798275096|041.4708361802853 -32.1593223005993|   2.926 10.562   |10.73    |~              |    ~     ~    |    1|  320.771   pc  |  -6.5140     +6.5140    |ST-L    |2020AJ....160...83S
1514|TYC 5770-1509-1                                                                                          |Star                                |21 02 07.3748235336 -07 35 25.378634688|041.5480964749290 -32.4424917254109|    5.513 1.924   |10.90    |~              |    ~     ~    |    1|  527.847   pc  | -21.0200    +21.0200    |ST-L    |2020AJ....160...83S
1515|TYC 5771-12-1                                                                                            |Star                                |21 09 29.6874479640 -07 53 16.192820940|042.2406688655094 -34.1999200467826|  20.477 17.639   |10.98    |~              |    ~     ~    |    1|  216.389   pc  |  -2.4911     +2.4911    |paral   |2020yCat.1350....0G
1516|TYC 5771-36-1                                                                                            |Star                                |21 05 34.8539666568 -07 53 04.190933292|041.7065409754195 -33.3383756104693|  12.589 -2.814   |10.780   |~              |    ~     ~    |    1|  264.389   pc  |  -7.2250     +7.2250    |ST-L    |2020AJ....160...83S
1517|TYC 5771-216-1                                                                                           |Spectroscopic Binary                |21 05 00.0818691120 -07 48 22.021059132|041.7107957836349 -33.1748793349321|  6.939 -24.599   |10.844   |~              |    ~     ~    |    1|  911.301   pc  |-102.6000   +102.6000    |ST-L    |2020AJ....160...83S
1518|TYC 5771-663-1                                                                                           |Star                                |21 09 00.3560184432 -08 09 28.377175248|041.8834333802843 -34.2170238686824|   7.717 -7.409   |10.88    |~              |    ~     ~    |    1|  234.869   pc  |  -0.7778     +0.7778    |paral   |2020yCat.1350....0G
1519|V* OQ Aqr                                                                                                |Long-Period Variable                |21 06 09.0980987184 -08 11 12.350621652|041.4622483851753 -33.6025709047267|  1.083 -12.926   |10.67    |~              |    ~     ~    |    1| 1265.66    pc  | -56.7073    +56.7073    |paral   |2020yCat.1350....0G
1520|HD 201824                                                                                                |Spectroscopic Binary                |21 12 17.5834473576 -08 21 24.856045164|042.1229906289856 -35.0307459948715|  19.534 10.663   |8.94     |GpBa           |    ~     ~    |    1|  485.413   pc  |  -5.9613     +5.9613    |paral   |2020yCat.1350....0G
1521|HD 201897                                                                                                |Star                                |21 12 42.9000389832 -08 09 32.487577380|042.3962117638283 -35.0321710586973| -0.479 -40.221   |8.55     |F5V            |    ~     ~    |    1|  163.407   pc  |  -0.4566     +0.4566    |paral   |2020yCat.1350....0G
