C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:35:45

dec< 0&rah >=21.0&rah< 21.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3999

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
54  |HD 199810                                                                                                |High Proper Motion Star             |21 00 40.4282501042 -35 17 30.828084644|008.3718086189035 -40.6702291059147| 63.863 -65.747   |6.75     |K1IV           |    ~     ~    |    1|   63.099   pc  |  -0.1345     +0.1345    |paral   |2020yCat.1350....0G
55  |HD 199903                                                                                                |High Proper Motion Star             |21 01 04.8137346960 -34 57 50.675235120|008.8147457021552 -40.7098877571184|29.608 -100.502   |8.829    |G3V            |    ~     ~    |    1|   59.593   pc  |  -0.2709     +0.2709    |ST-L    |2020AJ....160...83S
56  |HD 199918                                                                                                |High Proper Motion Star             |21 01 13.3714622208 -35 11 02.837847084|008.5318464322925 -40.7675523447530|-182.242 -61.300  |7.66     |G3V            |    ~     ~    |    1|   42.458   pc  |  -0.8442     +0.8442    |paral   |2020yCat.1350....0G
57  |CD-35 14519                                                                                              |Star                                |21 01 59.7387608112 -34 39 09.317457072|009.2556019197101 -40.8544574535704| 22.429 -25.578   |9.862    |G5             |    ~     ~    |    1|  462.890   pc  | -13.2400    +13.2400    |ST-L    |2020AJ....160...83S
58  |CD-35 14521                                                                                              |Star                                |21 02 15.7174332168 -34 58 42.632279580|008.8377535362553 -40.9517805265761|   3.661 -6.748   |10.110   |F2             |    ~     ~    |    1|  583.426   pc  | -20.8700    +20.8700    |ST-L    |2020AJ....160...83S
59  |HD 200143                                                                                                |High Proper Motion Star             |21 02 41.2087192440 -34 48 46.550270088|009.0702760889736 -41.0165485487182|97.027 -197.288   |9.69     |G8V            |    ~     ~    |    1|   53.496   pc  |  -0.1753     +0.1753    |ST-L    |2020AJ....160...83S
60  |CD-33 15351                                                                                              |Star                                |21 02 25.9391044272 -33 21 01.875395988|010.9750702096945 -40.7561814539139| -0.501 -20.839   |10.354   |~              |    ~     ~    |    1|  743.602   pc  | -26.0000    +26.0000    |ST-L    |2020AJ....160...83S
61  |HD 199992                                                                                                |Star                                |21 01 45.9659298552 -35 28 15.684916692|008.1741080821084 -40.9136473447355| 15.080 -17.671   |9.09     |K1III          |    ~     ~    |    1|  457.373   pc  |  -3.9955     +3.9955    |paral   |2020yCat.1350....0G
62  |HD 200235                                                                                                |Star                                |21 03 18.0337462872 -35 24 19.396479456|008.3111821731033 -41.2158276751800|  40.418 -9.092   |9.88     |F5V            |    ~     ~    |    1|  158.663   pc  |  -1.6650     +1.6650    |ST-L    |2020AJ....160...83S
63  |V* CI Mic                                                                                                |alpha2 CVn Variable                 |21 05 34.8826296120 -35 42 07.666501248|007.9899378680760 -41.7111118639379| 25.926 -21.615   |9.07     |ApSrEuCr       |    ~     ~    |    1|  287.472   pc  | -12.1729    +12.1729    |paral   |2020yCat.1350....0G
