C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:45:56

Vmag< 11&dec< 0&rah >=1.0&rah< 1.25
-----------------------------------

Number of objects : 2309

 #  |                                                                                                                                                                                           identifier                                                                                                                                                                                            |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
1321|BD-01 161                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 14 31.0942402440 -00 50 09.112388676|135.7831871604362 -63.1302790249170|  25.004 -9.983   |10.5     |G5                    |    ~     ~    
1322|* 38 Cet                                                                                                                                                                                                                                                                                                                                                                                         |High Proper Motion Star       |01 14 49.1725004760 -00 58 25.659970248|136.0078772212937 -63.2503923340255|-14.263 205.414   |5.69     |F3V                   |    ~     ~    
1323|HD 6967                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 10 05.8947146808 -01 35 56.771664756|133.6515180348177 -64.0817869689343|-39.126 -108.452  |8.72     |G1V                   |    ~     ~    
1324|HD 7089                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 11 12.7885631088 -01 16 27.664750488|134.1506386764407 -63.7145246593308| -7.928 -24.379   |8.32     |F3V                   |    ~     ~    
1325|BD-02 180                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 13 20.9288599920 -01 43 45.596478000|135.5326897035023 -64.0637175892437|131.764 -247.092  |10.06    |K0                    |    ~     ~    
1326|HD 7108                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 11 16.0872373392 -01 59 18.618640944|134.4683748984206 -64.4151651373077|131.951 -53.712   |8.76     |G2V                   |    ~     ~    
1327|HD 7320                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 13 18.8219321928 -01 51 43.721751960|135.5721822330305 -64.1956995337029|-200.870 -86.574  |8.95     |G5V                   |    ~     ~    
1328|HD 7396                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 04.7858030904 -02 06 51.398171856|136.1204364215629 -64.4046955524122|  29.789 -0.329   |8.05     |F6V                   |    ~     ~    
1329|V* AN Cet                                                                                                                                                                                                                                                                                                                                                                                        |Long-Period Variable          |01 14 14.8222703832 -02 10 46.134507936|136.2460702640971 -64.4599956625751|   62.017 1.072   |8.55     |M4III                 |    ~     ~    
1330|* 34 Cet                                                                                                                                                                                                                                                                                                                                                                                         |High Proper Motion Star       |01 11 43.5081366480 -02 15 03.880880496|134.8400268558314 -64.6527459013438|-59.156 -21.815   |5.918    |K3III                 |    ~     ~    
1331|BD-02 183                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 45.2512395768 -02 03 18.756819900|135.9086173029281 -64.3632381926834| 10.351 -15.398   |10.70    |~                     |    ~     ~    
1332|TYC 4681-173-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 10 51.8385443136 -00 21 29.953193796|133.6150018135219 -62.8264342857384|   25.929 1.695   |10.9     |~                     |    ~     ~    
1333|BD-01 158                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 58.7869520040 -01 03 38.444980896|135.0401074003123 -63.4248697507431|  7.365 -29.023   |10.86    |~                     |    ~     ~    
1334|BD-02 182                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 41.8891798320 -01 14 45.572659908|135.5141891387176 -63.5726238732259| -5.271 -15.515   |10.18    |~                     |    ~     ~    
1335|BD-00 188                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 14 19.3812839904 -00 12 04.500455256|135.4072812982841 -62.5173807359804| 60.228 -56.466   |10.36    |~                     |    ~     ~    
1336|BD-02 187                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 14 29.1718959858 -01 25 42.202920368|136.0303293305813 -63.7124509286420|  -25.576 1.879   |10.53    |~                     |    ~     ~    
1337|TYC 4681-240-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 14 54.4122188856 -00 53 09.942103860|136.0161191914400 -63.1600933910087|-23.044 -33.187   |10.17    |~                     |    ~     ~    
1338|TYC 4681-188-1                                                                                                                                                                                                                                                                                                                                                                                   |High Proper Motion Star       |01 14 04.8348281856 -01 02 39.989875956|135.6361488192358 -63.3563114394912|60.939 -167.200   |10.65    |~                     |    ~     ~    
1339|TYC 4681-137-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 13 00.2560517520 -01 28 41.457296424|135.2305139567142 -63.8337635908313| 33.708 -25.869   |10.99    |~                     |    ~     ~    
1340|TYC 4681-147-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 10 05.0089149048 -01 13 48.480725604|133.5053023196267 -63.7184487735738|  1.376 -12.716   |10.72    |~                     |    ~     ~    
1341|TYC 4681-331-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 14 27.8613844176 -01 42 08.956850328|136.1442114712091 -63.9819693194814|-16.046 -23.622   |10.51    |~                     |    ~     ~    
1342|TYC 4681-336-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 12 17.7853219128 -00 36 14.026720068|134.4824386482725 -63.0069202574949|   1.135 -2.792   |10.8     |~                     |    ~     ~    
1343|TYC 4681-518-1                                                                                                                                                                                                                                                                                                                                                                                   |High Proper Motion Star       |01 14 10.3047720744 -02 37 47.223842916|136.4204385598569 -64.9044800150352| 46.424 -48.418   |10.92    |~                     |    ~     ~    
1344|TYC 4681-845-1                                                                                                                                                                                                                                                                                                                                                                                   |High Proper Motion Star       |01 07 46.7360493144 -00 53 22.378528572|132.1082861292609 -63.4697776370796|  77.320 20.560   |10.9     |~                     |    ~     ~    
1345|HD 6768                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 07 43.4584063248 -43 47 28.781348532|292.8261585446805 -73.0159292585500|  15.255 -6.215   |8.31     |F3/5IV/V              |    ~     ~    
1346|HD 6912                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 08 59.8230928416 -43 46 42.013862760|292.0507062195511 -72.9770130778273|   6.220 -2.506   |9.63     |K2/3(III)             |    ~     ~    
1347|HD 6936                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 09 15.8116910304 -44 26 17.802796488|292.4040938147244 -72.3237831028675|-14.568 -22.514   |10.154   |G                     |    ~     ~    
1348|CD-45 379                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 09 44.0 -44 31 24                   |292.2005 -72.2217                  |            ~ ~   |9.3      |F7V                   |    ~     ~    
1349|HD 7039                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 08.1130786488 -44 04 36.509521476|291.6174843964641 -72.6383598974616| 13.323 -11.796   |9.33     |K0/1(III)             |    ~     ~    
1350|HD 7040                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 04.7611690584 -44 29 43.529605260|291.9826105106091 -72.2343780093849|   27.019 9.613   |9.47     |F2V                   |    ~     ~    
1351|CD-45 389                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 10 47.4712853664 -44 45 44.415079812|291.7907302336654 -71.9448953254989| -8.968 -24.246   |10.418   |~                     |    ~     ~    
1352|HD 7261                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 12 08.9654481672 -44 29 49.229890836|290.8152991156458 -72.1407516919075|   20.864 9.514   |9.617    |F7V                   |    ~     ~    
1353|HD 7324                                                                                                                                                                                                                                                                                                                                                                                          |Spectroscopic Binary          |01 12 46.3688786496 -45 38 59.914059900|291.4198331733176 -70.9984068944037|    1.429 1.214   |9.56     |K2/3                  |    ~     ~    
1354|HD 7534                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 43.3682377896 -45 48 13.819669452|290.5417803232963 -70.7601476647450|  21.061 24.540   |9.38     |K2/3(III)             |    ~     ~    
1355|HD 7186                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 11 28.3468750272 -43 43 38.582631804|290.5311008157340 -72.9152249483973| -18.820 31.713   |9.45     |G2V                   |    ~     ~    
1356|CD-44 349                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 14 00.5753944440 -43 30 36.152705520|288.8190429778659 -72.9943150603505|30.557 -122.832   |10.48    |G0                    |    ~     ~    
1357|CD-44 344                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 50.0491605576 -43 46 11.647298532|289.7675260633808 -72.8072794021421| 11.501 -18.174   |10.33    |G0                    |    ~     ~    
1358|CD-45 410                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 14 33.5417064456 -44 28 10.563371040|289.4471735078493 -72.0482964504645|  18.042 -7.743   |9.99     |~                     |    ~     ~    
1359|HD 7533                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 40.5357911736 -45 16 04.058203548|290.1092054587820 -71.2774677089021|   3.743 13.126   |8.92     |F3V                   |    ~     ~    
1360|CD-44 341                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 16.7120342928 -43 44 07.650270600|290.0618033877947 -72.8682158583722|   27.004 2.645   |10.821   |~                     |    ~     ~    
1361|CD-44 348                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 43.0899850608 -43 47 23.745474780|289.2705209578136 -72.7424616989321|  13.158 -9.235   |10.19    |~                     |    ~     ~    
1362|HD 7109                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 32.3849357064 -49 42 50.891779944|294.9743610352526 -67.1179390195217|   3.806 -1.553   |8.53     |K0IIICNII             |    ~     ~    
1363|HD 7124                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 10 40.4932604184 -49 37 33.592050192|294.8755826646691 -67.2002575334993|   22.664 7.390   |9.53     |A4V                   |    ~     ~    
1364|HD 7248                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 11 52.7949896640 -50 35 23.718379128|294.8705994810004 -66.2171651432359|  35.356 -0.661   |9.05     |G8III/IV              |    ~     ~    
1365|HD 7456                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 13 48.7800205056 -50 39 20.100205908|294.1617324366216 -66.0899494712308|166.467 -81.137   |8.44     |G3V                   |    ~     ~    
1366|HD 7455                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 42.4884038568 -50 39 31.051033020|294.2033945289216 -66.0905266896575|   13.176 6.484   |8.43     |F5V                   |    ~     ~    
1367|CD-52 244                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 14 01.9346904624 -51 34 54.215631300|294.5546680976883 -65.1774512939268|-73.536 -102.234  |10.41    |~                     |    ~     ~    
1368|CD-50 318                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 10 18.086976 -49 39 07.00200        |295.041458573 -67.186311664        |      42.2 39.7   |10.91    |~                     |    ~     ~    
1369|CD-50 319                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 10 27.3339449856 -49 48 08.667759024|295.0516444367850 -67.0338529811040|  13.126 -8.394   |10.81    |~                     |    ~     ~    
1370|CD-51 303                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 11 42.5504926272 -50 41 07.124536392|294.9824676058893 -66.1289044464335|  77.805 -8.420   |10.307   |~                     |    ~     ~    
1371|CD-50 330                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 55.6843653552 -50 17 10.973103180|294.3098336779962 -66.4805755897051|  29.102 15.614   |10.20    |~                     |    ~     ~    
1372|CD-51 307                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 49.4844883944 -50 53 54.316068720|294.6616397081445 -65.8850239618895|   6.057 -3.274   |10.588   |~                     |    ~     ~    
1373|CD-51 309                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 13 05.5627919088 -50 48 46.649508336|294.5173203322311 -65.9600293506398| 42.786 -62.938   |10.57    |~                     |    ~     ~    
1374|CD-50 327                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 12 14.5332812376 -49 58 04.227790008|294.4149044154362 -66.8149649840433|  -8.443 13.537   |10.34    |F5                    |    ~     ~    
1375|HD 7313                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 12 30.1007501400 -49 52 26.908835484|294.2616977235774 -66.8980181608618|   19.208 6.747   |9.04     |K1III                 |    ~     ~    
1376|HD 7431                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 13 33.9547658520 -50 06 39.600430164|293.9654405493032 -66.6302528832452| 13.463 -13.107   |9.86     |F3V                   |    ~     ~    
1377|HD 7515                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 21.8156788800 -50 15 05.352821028|293.7298537019500 -66.4651674038848|-14.659 -34.442   |9.40     |G2/3V                 |    ~     ~    
1378|CD-50 339                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 14 33.2242890288 -49 54 12.246146964|293.4574444345892 -66.7974619459683| 153.335 35.305   |10.64    |G5                    |    ~     ~    
1379|HD 7571                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 51.5913781104 -50 13 11.309714400|293.5183077038648 -66.4781748007794|   10.545 1.468   |10.00    |A2IV                  |    ~     ~    
1380|HD 7516                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 14 20.7663308472 -50 24 58.750495956|293.8279089622245 -66.3050589150943|   -2.007 1.447   |7.36     |K1III                 |    ~     ~    
1381|CD-49 343                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 12 54.3677875656 -49 15 22.964515308|293.7572548839677 -67.4876808858085|   51.389 6.634   |10.86    |~                     |    ~     ~    
1382|CD-50 331                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 13 16.7209933992 -49 46 33.164489064|293.8959055873755 -66.9674341310509|-25.700 -18.828   |10.369   |~                     |    ~     ~    
1383|CD-49 353                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 14 58.8886144944 -49 17 38.784811956|292.9207111775972 -67.3739844478884| -51.909 46.383   |10.98    |~                     |    ~     ~    
1384|TYC 8038-652-1                                                                                                                                                                                                                                                                                                                                                                                   |Star                          |01 14 00.2769789048 -51 30 45.375754896|294.5302624884695 -65.2459467225509|  13.787 -4.852   |10.80    |~                     |    ~     ~    
1385|TYC 8038-727-1                                                                                                                                                                                                                                                                                                                                                                                   |High Proper Motion Star       |01 11 31.2294905832 -50 44 13.970123340|295.0795798043506 -66.0837514681820|  54.409 13.597   |10.892   |~                     |    ~     ~    
1386|CD-47 316                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 03 22.7972656704 -47 17 53.357104536|297.0899668223074 -69.6944080509744|     24.0 -13.9   |9.66     |K0                    |    ~     ~    
1387|HD 6630                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 06 23.4249717480 -47 35 42.680149404|295.7785749704149 -69.3248459135572| 48.825 -11.142   |7.79     |A5(III/IVm)           |    ~     ~    
1388|CD-48 261                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 41.4264914880 -47 50 41.420902668|296.6835770371794 -69.1223117107160|  24.438 26.014   |10.30    |G5                    |    ~     ~    
1389|HD 6672                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 06 46.4487643896 -48 04 40.756471932|295.8232467865648 -68.8380327856069|  58.037 -5.606   |9.16     |K1/2III               |    ~     ~    
1390|HD 6641                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 06 26.7345578160 -48 26 11.648210388|296.1311121519316 -68.4930299828177| 20.077 -10.316   |9.973    |G2V                   |    ~     ~    
1391|CD-49 322                                                                                                                                                                                                                                                                                                                                                                                        |High Proper Motion Star       |01 08 41.9896239456 -48 56 33.354498876|295.3729321391506 -67.9315257151690|  80.683 85.776   |10.09    |G0                    |    ~     ~    
1392|HD 6897                                                                                                                                                                                                                                                                                                                                                                                          |High Proper Motion Star       |01 08 49.8871575240 -48 46 02.185719132|295.2319291430982 -68.1001120330382|  57.789 -9.982   |9.962    |F7V                   |    ~     ~    
1393|CD-48 257                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 04 13.4403488520 -47 32 46.445190396|296.7826129986754 -69.4290630616973|   12.139 0.503   |10.408   |~                     |    ~     ~    
1394|CD-48 270                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 05 46.8446019504 -47 37 01.082349444|296.0757339933657 -69.3198943611488| 27.059 -13.544   |10.97    |~                     |    ~     ~    
1395|CD-48 274                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 07 05.2008221232 -47 58 23.064761028|295.6316172436215 -68.9327552339707|  5.196 -21.941   |10.66    |~                     |    ~     ~    
1396|CD-49 315                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 07 44.7589772352 -49 03 41.389586424|295.8368803255638 -67.8414845960852|   7.146 11.714   |9.95     |~                     |    ~     ~    
1397|CD-48 278                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 07 54.1826672304 -48 12 55.327765392|295.3757165023741 -68.6705981822220|-28.987 -28.850   |10.784   |~                     |    ~     ~    
1398|CD-49 324                                                                                                                                                                                                                                                                                                                                                                                        |Star                          |01 08 51.5667628200 -49 06 27.040378032|295.3826871008635 -67.7645904656725|   25.061 4.896   |10.553   |~                     |    ~     ~    
1399|* bet Phe                                                                                                                                                                                                                                                                                                                                                                                        |Double or Multiple Star       |01 06 05.03952 -46 43 06.2785          |295.50618941 -70.19810350          |   -80.81 34.97   |3.30     |G8III                 |    ~     ~    
1400|HD 6938                                                                                                                                                                                                                                                                                                                                                                                          |Star                          |01 09 12.2957637792 -47 07 50.886013728|294.1988048256349 -69.6950374404803|  -19.778 0.612   |9.280    |K3III                 |    ~     ~    
