C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:35:56

dec< 0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
5010|CD-48 4161                                                                                               |Star                                  |08 50 53.5815166656 -49 04 36.530026140|268.2582486341539 -03.1095609682207|  -10.075 0.686   |9.58     |~                  |    ~     ~    |    1|  873.362   pc  | -10.5261    +10.5261    |paral   |2020yCat.1350....0G
5011|CD-49 3885                                                                                               |Star                                  |08 50 57.7425083736 -49 41 31.364776536|268.7418006094501 -03.4911247983795|   -5.240 2.235   |9.55     |~                  |    ~     ~    |    1| 1218.769   pc  | -21.6868    +21.6868    |paral   |2020yCat.1350....0G
5012|CD-48 4231                                                                                               |Star                                  |08 54 28.8770764224 -49 24 17.573713776|268.8856374358754 -02.8685409540539| -11.007 10.528   |10.14    |~                  |    ~     ~    |    1|  913.492   pc  | -11.1819    +11.1819    |paral   |2020yCat.1350....0G
5013|CD-48 4262                                                                                               |Star                                  |08 56 40.2100152840 -49 18 52.602698304|269.0470973953692 -02.5381412655900| -10.553 -4.623   |10.15    |~                  |    ~     ~    |    1|  985.416   pc  | -14.8570    +14.8570    |paral   |2020yCat.1350....0G
5014|HD 75200                                                                                                 |Star                                  |08 46 37.4553865944 -48 20 23.023150944|267.2407095432769 -03.1928695964382| -5.350 -13.272   |8.85     |F3V                |    ~     ~    |    1|  294.299   pc  |  -2.2952     +2.2952    |paral   |2020yCat.1350....0G
5015|CD-47 4352                                                                                               |Double or Multiple Star               |08 47 02.9611719216 -48 16 45.135005196|267.2376230232964 -03.0998648076816| -13.361 14.998   |10.214   |A0                 |    ~     ~    |    1|  581.497   pc  |  -5.5117     +5.5117    |paral   |2020yCat.1350....0G
5016|CD-48 4102                                                                                               |Star                                  |08 47 02.4607858032 -48 27 57.433539528|267.3827027263442 -03.2177339146718|   -8.120 9.990   |9.94     |~                  |    ~     ~    |    1|  696.282   pc  |  -9.9386     +9.9386    |paral   |2020yCat.1350....0G
5017|CD-50 3558                                                                                               |Star                                  |08 46 14.7589019736 -51 07 47.322708708|269.3908853574927 -04.9786162057751|   -7.232 0.534   |10.48    |B9                 |    ~     ~    |    1|  716.743   pc  |  -6.9352     +6.9352    |paral   |2020yCat.1350....0G
5018|CD-47 4326                                                                                               |S Star                                |08 45 28.7678465928 -48 24 32.177942748|267.1763214460756 -03.3847019403649|   -9.777 8.121   |10.489   |S3*2               |    ~     ~    |    1| 1140.771   pc  | -21.4724    +21.4724    |paral   |2020yCat.1350....0G
5019|V* II Vel                                                                                                |Eclipsing Binary                      |08 52 25.0 -49 14 04                   |268.5388 -03.0177                  |            ~ ~   |9.53     |~                  |    ~     ~    |    0|                |                         |        |                   
5020|CD-47 4373                                                                                               |Star                                  |08 48 18.7222055160 -48 13 00.706638432|267.3209752979849 -02.8970225213094|   -4.726 5.002   |10.70    |~                  |    ~     ~    |    1| 2020.610   pc  |-154.3323   +154.3323    |paral   |2020yCat.1350....0G
5021|NGC 2670 3                         CD-48 4083                                                            |Star                                  |08 45 29.4724756824 -48 49 59.282469840|267.5105242039138 -03.6467601120923|   -5.266 3.720   |10.67    |~                  |    ~     ~    |    1| 1447.807   pc  | -22.2191    +22.2191    |paral   |2020yCat.1350....0G
5022|NGC 2670 4                         CD-48 4087                                                            |Star                                  |08 45 36.9511666416 -48 46 26.456470572|267.4768925695846 -03.5939430788652|   -5.242 3.694   |11.14    |~                  |    ~     ~    |    1| 1533.507   pc  | -31.5120    +31.5120    |paral   |2020yCat.1350....0G
5023|TYC 8155-3230-1                                                                                          |Star                                  |08 48 17.9955648696 -48 19 17.248481148|267.4011651894216 -02.9643319395836|   -4.175 5.662   |9.99     |~                  |    ~     ~    |    1| 1688.619   pc  | -33.0766    +33.0766    |paral   |2020yCat.1350....0G
5024|TYC 8155-5720-1                                                                                          |Star                                  |08 47 27.7339600656 -48 40 52.698020340|267.5946223530803 -03.2981451388950| -16.934 18.749   |10.73    |~                  |    ~     ~    |    1|  372.884   pc  |  -1.4738     +1.4738    |paral   |2020yCat.1350....0G
5025|TYC 8155-6257-1                                                                                          |Star                                  |08 46 15.5135182680 -48 34 28.285686372|267.3866326453135 -03.3867289125322| -11.645 -1.586   |10.46    |~                  |    ~     ~    |    1|  792.519   pc  | -39.3810    +39.3810    |paral   |2020yCat.1350....0G
5026|TYC 8155-6385-1                                                                                          |Star                                  |08 45 31.2378792816 -48 30 14.340989592|267.2551626217338 -03.4384260012030| -12.282 11.169   |10.21    |~                  |    ~     ~    |    1|  480.584   pc  |  -2.8177     +2.8177    |paral   |2020yCat.1350....0G
5027|TYC 8156-3107-1                                                                                          |Star                                  |08 51 40.8307351464 -48 40 52.321470888|268.0348052810580 -02.7581680818363|   -9.514 7.419   |10.78    |~                  |    ~     ~    |    1|  795.039   pc  |  -7.6483     +7.6483    |paral   |2020yCat.1350....0G
5028|TYC 8159-37-1                                                                                            |Star                                  |08 47 06.0860151504 -48 45 50.774879880|267.6220193259080 -03.3963720134938|  -2.575 24.022   |10.70    |~                  |    ~     ~    |    1|  586.786   pc  |  -5.1648     +5.1648    |paral   |2020yCat.1350....0G
5029|TYC 8159-678-1                                                                                           |Star                                  |08 48 27.9324727728 -50 29 43.639050192|269.1133763756696 -04.3086730559125|   -7.059 6.413   |10.97    |~                  |    ~     ~    |    1|  684.182   pc  |  -6.4130     +6.4130    |paral   |2020yCat.1350....0G
5030|CD-48 4096                                                                                               |Star                                  |08 46 30.5734988400 -48 49 24.079259820|267.6073913276305 -03.5095064308612|   -6.370 4.785   |10.71    |~                  |    ~     ~    |    1| 1664.170   pc  | -33.7875    +33.7875    |paral   |2020yCat.1350....0G
5031|TYC 8159-766-1                                                                                           |Star                                  |08 48 01.0657662744 -50 16 18.079919904|268.8936904668391 -04.2239864773310| -14.857 18.257   |10.19    |~                  |    ~     ~    |    1|  741.785   pc  |  -7.4833     +7.4833    |paral   |2020yCat.1350....0G
5032|TYC 8159-834-1                                                                                           |Star                                  |08 45 20.7867210624 -50 36 50.428388340|268.8965090649081 -04.7699306810090|  -7.763 11.842   |10.84    |~                  |    ~     ~    |    1|  410.206   pc  |  -2.4736     +2.4736    |paral   |2020yCat.1350....0G
5033|TYC 8159-851-1                                                                                           |Star                                  |08 48 21.7279660824 -49 10 59.316359844|268.0790387056931 -03.4977714102509|   -9.727 4.810   |10.86    |~                  |    ~     ~    |    1|  277.093   pc  |  -0.8983     +0.8983    |paral   |2020yCat.1350....0G
5034|TYC 8159-864-1                                                                                           |Star                                  |08 45 48.3053931888 -50 22 20.316046008|268.7516575802900 -04.5628181879402| -12.371 -2.608   |10.52    |~                  |    ~     ~    |    1|  270.717   pc  |  -0.9674     +0.9674    |paral   |2020yCat.1350....0G
5035|TYC 8159-872-1                                                                                           |Star                                  |08 45 29.4711503280 -50 37 11.787832956|268.9154580889671 -04.7555866275692|   -5.480 3.934   |10.77    |~                  |    ~     ~    |    1| 1424.704   pc  | -28.4170    +28.4170    |paral   |2020yCat.1350....0G
5036|TYC 8159-1028-1                                                                                          |Star                                  |08 46 17.9814365736 -50 26 54.770856000|268.8607006028225 -04.5484566770159|    6.542 1.386   |10.01    |~                  |    ~     ~    |    1|  572.672   pc  |  -4.3946     +4.3946    |paral   |2020yCat.1350....0G
5037|TYC 8159-1238-1                                                                                          |Star                                  |08 48 22.4721375384 -50 34 50.748762684|269.1709069958300 -04.3734479007885| -11.727 13.866   |10.74    |~                  |    ~     ~    |    1|  466.810   pc  | -14.9051    +14.9051    |paral   |2020yCat.1350....0G
5038|TYC 8159-1325-1                                                                                          |Star                                  |08 48 31.2457418568 -49 27 42.480767880|268.3125326208775 -03.6527242603680|   3.713 -7.553   |10.98    |~                  |    ~     ~    |    1|  496.574   pc  |  -2.5152     +2.5152    |paral   |2020yCat.1350....0G
5039|TYC 8159-1462-1                                                                                          |Star                                  |08 47 22.6862335224 -50 34 43.183934868|269.0699593678745 -04.4955021764515|   1.492 22.454   |10.63    |~                  |    ~     ~    |    0|                |                         |        |                   
5040|TYC 8159-1569-1                                                                                          |Star                                  |08 46 49.3684571736 -49 20 20.979428676|268.0433515275803 -03.7912792179437|   -4.405 4.832   |10.56    |~                  |    ~     ~    |    1| 1722.356   pc  | -50.1340    +50.1340    |paral   |2020yCat.1350....0G
5041|TYC 8159-1729-1                                                                                          |Star                                  |08 46 43.2466011624 -49 11 42.768307284|267.9202290908917 -03.7144433783571| -24.031 10.234   |10.87    |~                  |    ~     ~    |    1|  312.461   pc  |  -1.1813     +1.1813    |paral   |2020yCat.1350....0G
5042|TYC 8159-2027-1                                                                                          |Star                                  |08 45 31.5024146400 -49 26 51.438869592|267.9966635476325 -04.0240568337683|   -2.120 4.364   |10.07    |~                  |    ~     ~    |    1|  481.139   pc  |  -2.8705     +2.8705    |paral   |2020yCat.1350....0G
5043|TYC 8159-2566-1                                                                                          |Star                                  |08 48 20.0420904456 -49 58 23.238782436|268.6923709244657 -03.9972908893835|  -3.029 11.899   |10.61    |~                  |    ~     ~    |    1|  528.933   pc  |  -3.5531     +3.5531    |paral   |2020yCat.1350....0G
5044|TYC 8160-84-1                                                                                            |Star                                  |08 50 06.4295740488 -50 21 52.641257508|269.1764834835648 -04.0231837951935|   -6.208 1.305   |10.31    |~                  |    ~     ~    |    1| 1111.852   pc  | -14.9582    +14.9582    |paral   |2020yCat.1350....0G
5045|TYC 8160-90-1                                                                                            |Star                                  |08 50 49.9340414160 -50 22 54.008926212|269.2630276975973 -03.9444272215734|  -7.438 10.357   |10.65    |~                  |    ~     ~    |    1|  284.649   pc  |  -0.7616     +0.7616    |paral   |2020yCat.1350....0G
5046|TYC 8160-130-1                                                                                           |Spectroscopic Binary                  |08 50 07.9305840168 -50 20 24.601799724|269.1600061345268 -04.0046414414150|   -3.562 5.452   |10.98    |~                  |    ~     ~    |    1|  536.797   pc  |  -3.8900     +3.8900    |paral   |2020yCat.1350....0G
5047|TYC 8160-150-1                                                                                           |Star                                  |08 50 58.0134040584 -50 25 28.360630416|269.3099046969036 -03.9549948642981|   4.967 -6.784   |10.84    |~                  |    ~     ~    |    1|  447.708   pc  |  -2.3853     +2.3853    |paral   |2020yCat.1350....0G
5048|TYC 8160-151-1                                                                                           |Star                                  |08 49 02.4554180616 -49 58 18.772929264|268.7629981810084 -03.9080968478655|    1.184 3.334   |10.78    |~                  |    ~     ~    |    1|  856.091   pc  |  -7.9885     +7.9885    |paral   |2020yCat.1350....0G
5049|TYC 8160-606-1                                                                                           |Star                                  |08 50 55.4163046992 -50 03 30.874255164|269.0218137124331 -03.7283739104963|  -6.433 -3.575   |10.47    |~                  |    ~     ~    |    1|  627.904   pc  |  -5.0860     +5.0860    |paral   |2020yCat.1350....0G
5050|TYC 8160-824-1                                                                                           |Star                                  |08 53 05.1976455864 -48 58 41.770181640|268.4116328133520 -02.7696400028382| 15.035 -19.965   |10.74    |~                  |    ~     ~    |    1|  397.883   pc  |  -1.7256     +1.7256    |paral   |2020yCat.1350....0G
5051|TYC 8160-1067-1                                                                                          |Star                                  |08 51 26.6345750520 -50 35 49.756616484|269.4918886820358 -04.0058574391181| -19.001 -6.612   |10.70    |~                  |    ~     ~    |    1|  482.253   pc  |  -2.5117     +2.5117    |paral   |2020yCat.1350....0G
5052|TYC 8160-1077-1                                                                                          |Star                                  |08 50 40.7343986856 -50 32 20.185673604|269.3695573766274 -04.0629029740485| -21.381 27.663   |10.79    |~                  |    ~     ~    |    1|  359.324   pc  |  -1.4332     +1.4332    |paral   |2020yCat.1350....0G
5053|TYC 8160-1118-1                                                                                          |High Proper Motion Star               |08 54 01.0741484664 -49 00 07.750774764|268.5280327692186 -02.6677013598989|  21.594 78.849   |10.57    |~                  |    ~     ~    |    1|  202.700   pc  |  -0.4972     +0.4972    |paral   |2020yCat.1350....0G
5054|TYC 8160-1192-1                                                                                          |Star                                  |08 51 26.7857918088 -48 45 55.999255824|268.0753621577079 -02.8416259957332|  -11.048 4.306   |10.61    |~                  |    ~     ~    |    1| 1515.152   pc  | -36.0422    +36.0422    |paral   |2020yCat.1350....0G
5055|TYC 8160-1488-1                                                                                          |Star                                  |08 57 22.5639736608 -49 37 55.016244084|269.3632117960047 -02.6570097090588| -13.815 -4.748   |10.89    |~                  |    ~     ~    |    1|  483.255   pc  | -14.6660    +14.6660    |paral   |2020yCat.1350....0G
5056|TYC 8160-1603-1                                                                                          |Star                                  |08 52 46.7098906488 -49 42 25.574124132|268.9406862868191 -03.2742195701209|   -3.760 3.074   |10.35    |~                  |    ~     ~    |    1| 1436.575   pc  | -24.1459    +24.1459    |paral   |2020yCat.1350....0G
5057|TYC 8160-1667-1                                                                                          |Star                                  |08 52 11.1152034048 -49 01 17.507868888|268.3503988145507 -02.9110168252149|   1.121 -0.710   |10.42    |~                  |    ~     ~    |    1|  977.231   pc  | -10.2183    +10.2183    |paral   |2020yCat.1350....0G
5058|TYC 8160-1697-1                                                                                          |Star                                  |08 57 14.4250412280 -49 26 31.359292224|269.2044356068471 -02.5502844506246|   -4.816 5.568   |10.41    |~                  |    ~     ~    |    1| 1627.604   pc  | -28.6102    +28.6102    |paral   |2020yCat.1350....0G
5059|TYC 8160-1710-1                                                                                          |Star                                  |08 51 29.5589475144 -49 45 38.942357148|268.8495412905036 -03.4685802076751|  18.618 -3.423   |10.71    |~                  |    ~     ~    |    1|  286.254   pc  |  -4.4904     +4.4904    |paral   |2020yCat.1350....0G
5060|TYC 8160-1734-1                                                                                          |Star                                  |08 51 48.9060211320 -49 39 01.293973128|268.7973643152611 -03.3580991655263|  -5.192 -2.120   |10.81    |~                  |    ~     ~    |    1|  894.775   pc  | -25.6999    +25.6999    |paral   |2020yCat.1350....0G
5061|TYC 8160-1739-1                                                                                          |Star                                  |08 54 05.7679515336 -49 40 58.889489412|269.0588353960530 -03.0951481145293|   -1.563 2.947   |10.56    |~                  |    ~     ~    |    1| 1388.310   pc  | -30.6458    +30.6458    |paral   |2020yCat.1350....0G
5062|TYC 8160-2046-1                                                                                          |Star                                  |08 53 08.6868185952 -49 36 40.882572072|268.9048936950138 -03.1674288665656|   5.766 -6.935   |10.34    |~                  |    ~     ~    |    1|  774.833   pc  |  -7.8048     +7.8048    |paral   |2020yCat.1350....0G
5063|TYC 8160-2117-1                                                                                          |Star                                  |08 51 01.3325143584 -50 04 04.190650500|269.0390401124970 -03.7220049762547|  2.485 -13.069   |10.91    |~                  |    ~     ~    |    1|  369.576   pc  |  -1.4342     +1.4342    |paral   |2020yCat.1350....0G
5064|TYC 8160-2154-1                                                                                          |Star                                  |08 55 08.3206001448 -50 00 27.711053604|269.4160686900561 -03.1753116894558|   -7.648 0.137   |10.69    |~                  |    ~     ~    |    1|  834.098   pc  |  -8.0008     +8.0008    |paral   |2020yCat.1350....0G
5065|TYC 8163-876-1                                                                                           |Star                                  |08 45 59.5883673936 -51 02 29.123225052|269.2965935985856 -04.9548493835344| -11.768 10.172   |10.46    |~                  |    ~     ~    |    1|  800.192   pc  |  -6.7873     +6.7873    |paral   |2020yCat.1350....0G
5066|TYC 8163-946-1                                                                                           |Star                                  |08 47 06.9987502608 -50 45 44.962071264|269.1880888621287 -04.6426164192566|   0.271 -1.539   |10.60    |~                  |    ~     ~    |    1|  529.045   pc  | -30.9556    +30.9556    |paral   |2020yCat.1350....0G
5067|TYC 8163-1250-1                                                                                          |Star                                  |08 45 52.3818140952 -51 00 16.016124996|269.2557269013051 -04.9467143860703|   -4.543 6.513   |10.47    |~                  |    ~     ~    |    1|  374.350   pc  |  -4.2602     +4.2602    |paral   |2020yCat.1350....0G
5068|NGC 2670 2                         HD 75212                                                              |Star                                  |08 46 42.3696450000 -48 45 59.309085780|267.5831052022295 -03.4487107792922|  -11.731 1.897   |8.42     |B8/9V              |    ~     ~    |    1|  375.813   pc  |  -3.2767     +3.2767    |paral   |2020yCat.1350....0G
5069|CD-50 3545                                                                                               |Star                                  |08 45 37.1994226080 -51 03 40.715808840|269.2757423713739 -05.0131841359625|   -8.112 5.714   |9.96     |~                  |    ~     ~    |    1|  556.081   pc  |  -4.9785     +4.9785    |paral   |2020yCat.1350....0G
5070|TYC 8163-1487-1                                                                                          |Star                                  |08 45 52.7285175360 -51 08 42.372779676|269.3670267496691 -05.0332627342410|    8.666 5.899   |10.83    |~                  |    ~     ~    |    1|  332.734   pc  |  -1.1403     +1.1403    |paral   |2020yCat.1350....0G
5071|TYC 8163-1585-1                                                                                          |Star                                  |08 45 20.6232846000 -51 08 34.352658888|269.3130643125002 -05.0977524380266|   -0.221 0.396   |10.81    |~                  |    ~     ~    |    1|  398.438   pc  |  -2.3495     +2.3495    |paral   |2020yCat.1350....0G
5072|HD 77143                                                                                                 |Star                                  |08 58 39.7148990832 -50 20 43.937958120|270.0400038252258 -02.9651962490369| -17.416 14.979   |9.66     |A3/4V              |    ~     ~    |    1|  439.020   pc  |  -2.4671     +2.4671    |paral   |2020yCat.1350....0G
5073|CD-49 4022                                                                                               |Star                                  |08 58 47.0415269592 -50 27 16.313638572|270.1353785736828 -03.0216466222019|   -3.244 2.470   |10.73    |F0                 |    ~     ~    |    1|  874.508   pc  | -10.0949    +10.0949    |paral   |2020yCat.1350....0G
5074|CD-49 4032                                                                                               |Star                                  |08 59 18.4427688556 -50 15 24.243546084|270.0402015216246 -02.8291442557600| -19.589 16.080   |10.55    |F8                 |    ~     ~    |    0|                |                         |        |                   
5075|HD 77272                                                                                                 |Star                                  |08 59 34.8885353688 -50 15 02.013944688|270.0642613364186 -02.7919921867965| -12.967 11.153   |9.44     |A7V                |    ~     ~    |    1|  419.410   pc  |  -2.2340     +2.2340    |paral   |2020yCat.1350....0G
5076|HD 75659                                                                                                 |Star                                  |08 49 10.1721450840 -51 20 35.645268624|269.8451033089123 -04.7547225301425|   -4.760 8.906   |9.22     |A0IV/V             |    ~     ~    |    1|  470.367   pc  |  -3.7833     +3.7833    |paral   |2020yCat.1350....0G
5077|CD-50 3592                                                                                               |Emission-line Star                    |08 49 11.4398973768 -51 21 31.995962352|269.8594007168062 -04.7619950782399|   -6.047 4.864   |10.87    |~                  |    ~     ~    |    1| 1187.085   pc  | -27.7606    +27.7606    |paral   |2020yCat.1350....0G
5078|CD-50 3612                                                                                               |Star                                  |08 51 03.9771237192 -51 11 05.857238724|269.9097467506051 -04.4246658839486|   -3.511 8.750   |10.28    |G0                 |    ~     ~    |    1|  250.507   pc  |  -0.8409     +0.8409    |paral   |2020yCat.1350....0G
5079|CD-50 3614                                                                                               |Star                                  |08 51 11.7048736416 -51 12 52.492982364|269.9455537259210 -04.4278246217299| 15.564 -19.148   |10.76    |~                  |    ~     ~    |    1|  305.904   pc  |  -1.0855     +1.0855    |paral   |2020yCat.1350....0G
5080|CD-50 3619                                                                                               |Star                                  |08 51 28.6492269216 -51 17 51.282248460|270.0380267436801 -04.4462843966050|   -7.624 7.020   |8.95     |K0                 |    ~     ~    |    1|  606.870   pc  |  -4.6773     +4.6773    |paral   |2020yCat.1350....0G
5081|CD-50 3620                                                                                               |Star                                  |08 51 29.7528244896 -51 19 41.644448148|270.0636245526751 -04.4635113348481|   -0.743 3.028   |10.20    |A2                 |    ~     ~    |    1|  783.024   pc  |  -9.6874     +9.6874    |paral   |2020yCat.1350....0G
5082|CD-50 3624                                                                                               |Star                                  |08 51 41.0606693688 -51 10 16.919347008|269.9608223391674 -04.3411540778488|   -4.676 4.246   |10.40    |B5                 |    ~     ~    |    1| 1945.147   pc  | -49.1868    +49.1868    |paral   |2020yCat.1350....0G
5083|HD 76112                                                                                                 |Star                                  |08 52 01.6784580912 -51 09 21.421200276|269.9832167187084 -04.2897612435694| -10.408 10.101   |9.61     |B9III/IV           |    ~     ~    |    1|  605.804   pc  |  -7.8538     +7.8538    |paral   |2020yCat.1350....0G
5084|HD 76201                                                                                                 |Star                                  |08 52 37.9471977504 -51 08 57.048907092|270.0384980123047 -04.2123552632539|   0.167 -2.363   |9.42     |A0                 |    ~     ~    |    1|  328.310   pc  |  -2.4144     +2.4144    |paral   |2020yCat.1350....0G
5085|HD 76213                                                                                                 |Star                                  |08 52 38.6731999008 -51 25 24.525313356|270.2516727411569 -04.3857203475036|  -11.084 9.763   |8.25     |F3IV/V             |    ~     ~    |    1|  441.657   pc  | -12.3279    +12.3279    |paral   |2020yCat.1350....0G
5086|HD 76326                                                                                                 |Star                                  |08 53 24.0558855504 -51 07 43.655431692|270.0999233882739 -04.1065591342064|   -8.063 6.041   |9.52     |B8                 |    ~     ~    |    1| 1127.269   pc  | -26.8125    +26.8125    |paral   |2020yCat.1350....0G
5087|HD 76327                                                                                                 |Star                                  |08 53 24.0583610040 -51 16 24.453756444|270.2114587632867 -04.1990437863191|  -35.014 2.177   |8.56     |F3V                |    ~     ~    |    1|  199.772   pc  |  -0.6306     +0.6306    |paral   |2020yCat.1350....0G
5088|CD-50 3655                                                                                               |Star                                  |08 53 53.0334 -51 00 02.782            |270.0500008 -03.9663210            |   -4.732 0.961   |10.51    |A5                 |    ~     ~    |    0|                |                         |        |                   
5089|HD 76457                                                                                                 |High Proper Motion Star               |08 54 13.5261394656 -51 08 41.997585804|270.1954390644048 -04.0176039591717| -33.538 75.678   |9.01     |F5V                |    ~     ~    |    1|  108.746   pc  |  -0.1395     +0.1395    |paral   |2020yCat.1350....0G
5090|HD 76471                                                                                                 |Star                                  |08 54 17.3288726304 -50 48 47.720393028|269.9468133779443 -03.7970914694316|   -6.268 7.001   |9.34     |A1III/IV           |    ~     ~    |    1| 1285.678   pc  | -23.4721    +23.4721    |paral   |2020yCat.1350....0G
5091|HD 76488                                                                                                 |Star                                  |08 54 22.9154191560 -51 07 52.414059684|270.2006381735181 -03.9899389456200| -13.423 10.017   |9.24     |A2V                |    ~     ~    |    1|  286.656   pc  |  -1.2737     +1.2737    |paral   |2020yCat.1350....0G
5092|CD-50 3663                                                                                               |Star                                  |08 54 35.9436131040 -50 49 28.155318240|269.9869800308198 -03.7667444543753|   -5.542 5.627   |9.31     |K2                 |    ~     ~    |    1| 1675.884   pc  | -35.9499    +35.9499    |paral   |2020yCat.1350....0G
5093|CD-50 3669                                                                                               |Star                                  |08 54 52.2222109848 -51 00 33.740307684|270.1564603438348 -03.8528498848090|   -5.549 3.179   |10.74    |A0                 |    ~     ~    |    1|  786.906   pc  | -10.8364    +10.8364    |paral   |2020yCat.1350....0G
5094|HD 76568                                                                                                 |Be Star                               |08 54 57.8080527192 -50 51 50.367799116|270.0543686942564 -03.7480934196540|   -7.671 6.785   |9.45     |B1(V)nne           |    ~     ~    |    1|  975.039   pc  | -13.3098    +13.3098    |paral   |2020yCat.1350....0G
5095|CD-50 3672                                                                                               |Star                                  |08 54 59.4132297912 -51 01 51.623279580|270.1852135657438 -03.8523370440753|  -16.234 7.257   |10.71    |A0                 |    ~     ~    |    1|  502.008   pc  |  -5.3427     +5.3427    |paral   |2020yCat.1350....0G
5096|HD 76716                                                                                                 |Star                                  |08 55 51.9033819408 -50 51 14.691750912|270.1386826022943 -03.6329338595952|   -9.872 7.446   |8.34     |B9.5V              |    ~     ~    |    1|  713.419   pc  | -15.0145    +15.0145    |paral   |2020yCat.1350....0G
5097|CD-50 3688                                                                                               |Star                                  |08 56 10.7856594600 -50 40 35.320367784|270.0350987878974 -03.4801893826170|   -6.463 1.221   |10.76    |B9                 |    ~     ~    |    1|  982.511   pc  | -12.8389    +12.8389    |paral   |2020yCat.1350....0G
5098|CD-50 3691                                                                                               |High Proper Motion Star               |08 56 29.9632343040 -50 49 02.747589708|270.1755486555315 -03.5328340612510|31.995 -112.718   |9.58     |~                  |    ~     ~    |    1|  155.552   pc  |  -0.2516     +0.2516    |paral   |2020yCat.1350....0G
5099|CD-50 3693                                                                                               |Star                                  |08 56 32.6973207384 -50 33 02.970070308|269.9766920315001 -03.3547076627299|   -5.709 3.635   |10.30    |~                  |    ~     ~    |    1| 1713.502   pc  | -33.4714    +33.4714    |paral   |2020yCat.1350....0G
5100|HD 76821                                                                                                 |Double or Multiple Star               |08 56 31.4972 -50 31 17.077            |269.9521789 -03.3380799            |    -99.5 137.1   |8.86     |F5V                |    ~     ~    |    0|                |                         |        |                   
5101|CD-50 3699                                                                                               |Star                                  |08 56 55.9724947248 -50 29 03.869650500|269.9660628171017 -03.2647020790648|  -2.047 12.786   |9.72     |F2                 |    ~     ~    |    1|  215.174   pc  |  -0.6852     +0.6852    |paral   |2020yCat.1350....0G
5102|CD-50 3701                                                                                               |Pulsating Variable                    |08 57 01.1556727824 -50 33 26.320651740|270.0305573086990 -03.3015463504241|  -8.370 11.506   |9.81     |F0                 |    ~     ~    |    1|  464.447   pc  |  -2.5885     +2.5885    |paral   |2020yCat.1350....0G
5103|CD-50 3703                                                                                               |Star                                  |08 57 00.7127636784 -51 22 06.252651660|270.6483810809340 -03.8284659947840|   -6.995 8.276   |9.86     |K0                 |    ~     ~    |    1|  698.959   pc  |  -5.5694     +5.5694    |paral   |2020yCat.1350....0G
5104|HD 76917                                                                                                 |Double or Multiple Star               |08 57 08.9088614673 -51 04 13.899201137|270.4350680963360 -03.6189972627582|  -4.410 16.475   |7.83     |F5V                |    ~     ~    |    1|  138.5713  pc  |  -7.5906     +7.5906    |paral   |2018yCat.1345....0G
5105|HD 76968                                                                                                 |Variable Star                         |08 57 28.8524478672 -50 44 58.197488784|270.2245559520700 -03.3706952170071|   -1.996 0.421   |7.21     |O9.2Ib             |    ~     ~    |    1| 2253.267   pc  | -98.4979    +98.4979    |paral   |2020yCat.1350....0G
5106|HD 77000                                                                                                 |High Proper Motion Star               |08 57 36.7277117112 -51 08 04.059826260|270.5311427673520 -03.6051640014792|-113.150 29.087   |8.78     |F8V                |    ~     ~    |    1|   93.570   pc  |  -0.1164     +0.1164    |paral   |2020yCat.1350....0G
5107|CD-50 3714                                                                                               |Star                                  |08 57 42.0116698968 -50 30 38.232760464|270.0654145035269 -03.1889542324910|   -7.850 0.403   |10.44    |A0                 |    ~     ~    |    1|  647.459   pc  | -10.8154    +10.8154    |paral   |2020yCat.1350....0G
5108|CD-50 3715                                                                                               |Star                                  |08 57 39.0999 -51 09 19.161            |270.5510664 -03.6140111            |   -8.152 5.064   |10.93    |~                  |    ~     ~    |    0|                |                         |        |                   
5109|2MASS J08575419-5120067                                                                                  |Young Stellar Object                  |08 57 54.1818760440 -51 20 06.756697932|270.7136383827519 -03.7011028868662|   -6.711 6.794   |10.90    |F5                 |    ~     ~    |    1|  466.744   pc  |  -2.8321     +2.8321    |paral   |2020yCat.1350....0G
5110|CD-50 3722                                                                                               |Star                                  |08 58 09.0565238472 -50 52 58.386792756|270.3950058007154 -03.3771084214172| -15.428 -0.440   |10.78    |F8                 |    ~     ~    |    1|  340.739   pc  |  -1.9273     +1.9273    |paral   |2020yCat.1350....0G
5111|CD-50 3723                                                                                               |Star                                  |08 58 11.5180821168 -50 30 37.669702140|270.1162817119490 -03.1295137500513|  -6.081 -7.105   |10.24    |B8                 |    ~     ~    |    1|  509.217   pc  |  -5.7046     +5.7046    |paral   |2020yCat.1350....0G
5112|HD 77120                                                                                                 |High Proper Motion Star               |08 58 30.7257678528 -50 48 24.861768084|270.3745211999952 -03.2843464352872| -29.397 40.709   |7.54     |K2IIICNIb/II       |    ~     ~    |    1|  195.149   pc  |  -0.5979     +0.5979    |paral   |2020yCat.1350....0G
