C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:35:56

dec< 0&rah >=8.75&rah< 9.0&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------|-----|----------------|-------------------------|--------|-------------------
32  |TYC 4864-1430-1                                                                                          |Star                                  |08 46 46.7587705200 -00 03 10.425929508|227.0750879103324 +25.3923787602266|   4.818 12.301   |10.32    |~                  |    ~     ~    |    1|  396.306   pc  |  -2.8428     +2.8428    |paral   |2020yCat.1350....0G
33  |TYC 4864-496-1                                                                                           |Star                                  |08 48 36.1007843904 -00 20 36.439386360|227.6085204459112 +25.6378028409815|   -3.619 9.086   |10.8     |~                  |    ~     ~    |    1| 1151.278   pc  | -18.8213    +18.8213    |paral   |2020yCat.1350....0G
34  |TYC 4864-800-1                                                                                           |Star                                  |08 45 28.6714021632 -00 14 58.694988804|227.0810732324540 +25.0121962178564|   2.918 13.709   |10.6     |~                  |    ~     ~    |    1|  223.444   pc  |  -1.8823     +1.8823    |paral   |2020yCat.1350....0G
35  |TYC 4864-894-1                                                                                           |Star                                  |08 47 54.7323387288 -00 35 42.940565700|227.7514156162069 +25.3612518991081| -14.880 -2.181   |10.7     |~                  |    ~     ~    |    1|  571.331   pc  |  -6.1693     +6.1693    |paral   |2020yCat.1350....0G
36  |TYC 4864-1000-1                                                                                          |Star                                  |08 48 43.2318435360 -00 16 26.990801544|227.5590872802490 +25.6986218888285|   6.322 -8.407   |10.9     |~                  |    ~     ~    |    1|  480.954   pc  | -13.3933    +13.3933    |paral   |2020yCat.1350....0G
37  |TYC 4864-1473-1                                                                                          |Star                                  |08 45 58.9743092280 -01 45 06.555703860|228.5740806916344 +24.3547706341286|   -7.089 4.542   |10.68    |~                  |    ~     ~    |    1| 1550.388   pc  | -36.0555    +36.0555    |paral   |2020yCat.1350....0G
38  |HD 75193                                                                                                 |Star                                  |08 48 26.1989315904 -02 31 15.252204144|229.6453031482422 +24.4806572776859|-19.835 -10.376   |7.31     |K0III              |    ~     ~    |    1|  223.364   pc  |  -1.2972     +1.2972    |paral   |2020yCat.1350....0G
39  |HD 74795                                                                                                 |Star                                  |08 45 58.5113872632 -03 18 09.403384176|230.0234582393198 +23.5482162172656| -25.659 -7.007   |8.73     |K0III              |    ~     ~    |    1|  393.561   pc  |  -3.9807     +3.9807    |paral   |2020yCat.1350....0G
40  |HD 74875                                                                                                 |Star                                  |08 46 29.3471619120 -03 13 08.359561128|230.0189707796059 +23.7012856890191|  -10.668 3.187   |8.20     |K1III              |    ~     ~    |    1|  405.515   pc  |  -4.4893     +4.4893    |paral   |2020yCat.1350....0G
41  |HD 74961                                                                                                 |High Proper Motion Star               |08 47 01.0753521120 -02 35 46.189882572|229.5132114813154 +24.1390122590486|-62.842 -45.323   |8.89     |G5V                |    ~     ~    |    1|   59.966   pc  |  -0.0723     +0.0723    |paral   |2020yCat.1350....0G
42  |BD-02 2690                                                                                               |Star                                  |08 48 04.4476182696 -03 11 03.643950552|230.2135179368024 +24.0563625921803|   7.727 -6.009   |8.95     |F2                 |    ~     ~    |    1|  123.542   pc  |  -0.2839     +0.2839    |paral   |2020yCat.1350....0G
43  |HD 74701                                                                                                 |Star                                  |08 45 24.2481238872 -03 40 53.544197964|230.2936883775929 +23.2282551809503|   3.096 -5.321   |8.33     |A2IV               |    ~     ~    |    1|  225.144   pc  |  -1.5359     +1.5359    |paral   |2020yCat.1350....0G
44  |HD 74913                                                                                                 |Star                                  |08 46 39.5914276896 -03 56 55.883632776|230.7206280595829 +23.3539313716105|  -15.262 1.907   |9.18     |A3IV               |    ~     ~    |    1|  267.108   pc  |  -1.4983     +1.4983    |paral   |2020yCat.1350....0G
45  |HD 74927                                                                                                 |Star                                  |08 46 49.8027989424 -03 35 43.852926552|230.4175938738477 +23.5761551814550| -8.452 -12.783   |8.89     |F0IV               |    ~     ~    |    1|  174.834   pc  |  -0.5869     +0.5869    |paral   |2020yCat.1350....0G
46  |HD 75053                                                                                                 |Star                                  |08 47 33.7621207296 -03 57 16.893388980|230.8556666740574 +23.5420525952987|  -3.370 -2.439   |8.29     |K0III              |    ~     ~    |    1|  375.038   pc  |  -3.6007     +3.6007    |paral   |2020yCat.1350....0G
47  |BD-03 2474                                                                                               |Star                                  |08 47 39.2666362728 -03 48 42.345295920|230.7364422605930 +23.6369975160443|  -1.824 -8.909   |8.78     |K5                 |    ~     ~    |    1|  678.242   pc  | -13.2484    +13.2484    |paral   |2020yCat.1350....0G
48  |HD 75094                                                                                                 |Star                                  |08 47 47.1708970488 -04 02 02.628588732|230.9613002556845 +23.5473591420760| -29.304 -9.471   |8.11     |B9V                |    ~     ~    |    1|  303.297   pc  |  -4.1303     +4.1303    |paral   |2020yCat.1350....0G
49  |BD-02 2693                                                                                               |Star                                  |08 48 43.9646967432 -03 11 20.772731688|230.3125838593291 +24.1937505291083|  -7.153 -9.217   |9.90     |~                  |    ~     ~    |    1|  375.404   pc  |  -3.0299     +3.0299    |paral   |2020yCat.1350....0G
50  |TYC 4868-1276-2                                                                                          |Star                                  |08 45 20.787 -02 36 03.74              |229.280387 +23.779831              |      41.1 -4.7   |6.83     |F5                 |    ~     ~    |    0|                |                         |        |                   
51  |BD-03 2459                                                                                               |Star                                  |08 45 05.2964771832 -03 53 07.280379348|230.4372982417190 +23.0541555661076| -12.402 15.681   |9.40     |~                  |    ~     ~    |    1|  549.300   pc  |  -4.7673     +4.7673    |paral   |2020yCat.1350....0G
52  |BD-02 2686                                                                                               |Star                                  |08 47 27.9745516200 -02 50 25.015896564|229.8054098780087 +24.1072481370964|  4.793 -14.189   |10.56    |~                  |    ~     ~    |    1|  550.661   pc  |  -5.6097     +5.6097    |paral   |2020yCat.1350....0G
53  |BD-02 2691                                                                                               |Star                                  |08 48 05.9699184744 -02 46 10.228182276|229.8298298438654 +24.2790507569221|   1.755 -6.035   |9.99     |~                  |    ~     ~    |    1|  838.364   pc  | -10.0508    +10.0508    |paral   |2020yCat.1350....0G
54  |BD-03 2477                                                                                               |Star                                  |08 48 38.0402261520 -03 39 42.157284300|230.7382342040039 +23.9237540613849|  -5.270 -1.485   |10.34    |~                  |    ~     ~    |    1| 2637.131   pc  |-160.6480   +160.6480    |paral   |2020yCat.1350....0G
55  |BD-03 2479                                                                                               |Star                                  |08 48 42.1090378896 -03 40 44.732500536|230.7641586135812 +23.9289349466814|  -4.244 -1.846   |10.70    |~                  |    ~     ~    |    1|  148.146   pc  |  -0.3753     +0.3753    |paral   |2020yCat.1350....0G
56  |BD-01 2126                                                                                               |Star                                  |08 46 12.9478119384 -02 16 35.587197156|229.0998986659768 +24.1337189427986|   -5.143 3.081   |9.22     |M0                 |    ~     ~    |    1|  979.528   pc  | -24.3707    +24.3707    |paral   |2020yCat.1350....0G
57  |BD-03 2460                                                                                               |Star                                  |08 45 14.1259740504 -03 54 04.098869748|230.4728639871311 +23.0770808998069|  -4.454 -1.028   |9.50     |~                  |    ~     ~    |    1| 1488.317   pc  | -39.2070    +39.2070    |paral   |2020yCat.1350....0G
58  |TYC 4868-71-1                                                                                            |Star                                  |08 46 43.6962821208 -02 36 34.881126192|229.4846235671098 +24.0702025261646| 27.854 -21.346   |10.77    |~                  |    ~     ~    |    1|  201.702   pc  |  -0.6103     +0.6103    |paral   |2020yCat.1350....0G
59  |TYC 4868-126-1                                                                                           |Star                                  |08 48 11.3174351880 -03 04 05.185413624|230.1215458086165 +24.1416837308918| -13.135 16.593   |10.41    |~                  |    ~     ~    |    1|  721.085   pc  |  -9.6713     +9.6713    |paral   |2020yCat.1350....0G
60  |TYC 4868-143-1                                                                                           |Star                                  |08 47 12.6411265252 -03 00 13.389192451|229.9214552000678 +23.9674241840259| -10.770 -0.130   |10.71    |~                  |    ~     ~    |    0|                |                         |        |                   
61  |TYC 4868-211-1                                                                                           |Star                                  |08 47 40.8099257616 -02 06 07.316901576|229.1440909471460 +24.5370345919783|-13.727 -31.975   |10.93    |~                  |    ~     ~    |    1|  210.093   pc  |  -0.7459     +0.7459    |paral   |2020yCat.1350....0G
62  |TYC 4868-219-1                                                                                           |Star                                  |08 46 20.6320134624 -02 40 23.846942820|229.4894082169845 +23.9551291918092|  -7.141 12.306   |10.93    |~                  |    ~     ~    |    1|  655.738   pc  |  -7.1379     +7.1379    |paral   |2020yCat.1350....0G
63  |TYC 4868-324-1                                                                                           |Star                                  |08 47 24.4625996160 -03 05 22.141220532|230.0296019612150 +23.9644498068477|-12.731 -45.999   |10.18    |~                  |    ~     ~    |    1|  300.066   pc  |  -1.8098     +1.8098    |paral   |2020yCat.1350....0G
64  |TYC 4868-555-1                                                                                           |Star                                  |08 45 55.1889879888 -02 29 57.270347052|229.2664677767781 +23.9550648793497|  0.050 -10.666   |10.36    |~                  |    ~     ~    |    1|  355.543   pc  |  -1.8582     +1.8582    |paral   |2020yCat.1350....0G
65  |TYC 4868-589-1                                                                                           |Star                                  |08 48 20.0958090288 -02 24 03.555089604|229.5182811119072 +24.5214689842766| -15.644 -0.194   |10.95    |~                  |    ~     ~    |    1|  477.920   pc  |  -3.7687     +3.7687    |paral   |2020yCat.1350....0G
66  |TYC 4868-689-1                                                                                           |Star                                  |08 46 12.6364815432 -03 32 27.902581800|230.2785128173605 +23.4732497864175|-20.583 -10.333   |10.63    |~                  |    ~     ~    |    1|  758.208   pc  |  -8.2208     +8.2208    |paral   |2020yCat.1350....0G
67  |TYC 4868-761-1                                                                                           |Star                                  |08 46 23.7597190152 -02 37 58.218192516|229.4590087318862 +23.9872894219479|-22.853 -11.828   |10.76    |~                  |    ~     ~    |    1|  468.889   pc  |  -3.1220     +3.1220    |paral   |2020yCat.1350....0G
68  |TYC 4868-885-1                                                                                           |Star                                  |08 47 49.1944785552 -03 04 22.638803268|230.0732052753832 +24.0607581754927| -15.671 12.060   |10.35    |~                  |    ~     ~    |    1|  883.626   pc  | -14.2105    +14.2105    |paral   |2020yCat.1350....0G
69  |TYC 4868-892-1                                                                                           |Star                                  |08 47 51.5869432872 -02 52 48.396107604|229.8988996845676 +24.1702015368718|  -6.528 -4.333   |10.43    |~                  |    ~     ~    |    1|  784.991   pc  | -10.1675    +10.1675    |paral   |2020yCat.1350....0G
70  |TYC 4868-946-1                                                                                           |Star                                  |08 45 13.7883496416 -03 30 03.523298760|230.1015105378406 +23.2858768896454|  -6.844 -2.627   |10.98    |~                  |    ~     ~    |    1|  510.673   pc  |  -4.6159     +4.6159    |paral   |2020yCat.1350....0G
71  |TYC 4868-1114-1                                                                                          |Star                                  |08 47 51.6389818608 -03 25 43.806909036|230.4105103419902 +23.8825450080561| -11.176 -7.821   |10.59    |~                  |    ~     ~    |    1|  489.884   pc  |  -4.2238     +4.2238    |paral   |2020yCat.1350....0G
72  |TYC 4868-1129-1                                                                                          |Star                                  |08 48 05.0432918112 -03 43 09.225935076|230.7124154340825 +23.7768689179969|  -6.386 -3.544   |10.71    |~                  |    ~     ~    |    1|  994.728   pc  | -25.2318    +25.2318    |paral   |2020yCat.1350....0G
73  |TYC 4872-57-1                                                                                            |Star                                  |08 46 19.8107201520 -04 00 53.960617872|230.7345560298616 +23.2491930857541|  -3.768 -0.385   |10.53    |~                  |    ~     ~    |    1| 1331.026   pc  | -29.2319    +29.2319    |paral   |2020yCat.1350....0G
74  |TYC 4872-130-1                                                                                           |Star                                  |08 46 00.1254423720 -03 46 38.259674148|230.4676894620855 +23.3048643997013| -12.712 -7.698   |10.79    |~                  |    ~     ~    |    1|  524.494   pc  |  -4.8967     +4.8967    |paral   |2020yCat.1350....0G
75  |TYC 4872-224-1                                                                                           |Star                                  |08 45 25.4896034304 -03 52 21.517350060|230.4735224261038 +23.1322457912813|  -5.316 -2.463   |10.33    |~                  |    ~     ~    |    1|  930.406   pc  | -16.8803    +16.8803    |paral   |2020yCat.1350....0G
76  |TYC 4872-327-1                                                                                           |Star                                  |08 45 14.1333085416 -04 12 27.713018124|230.7559754208887 +22.9156499477843|  -6.662 -0.477   |10.13    |~                  |    ~     ~    |    1|  563.095   pc  |  -9.5123     +9.5123    |paral   |2020yCat.1350....0G
77  |TYC 4872-1064-1                                                                                          |Star                                  |08 46 10.8786632304 -03 50 45.173439852|230.5568094371519 +23.3067808195622|  -9.065 -1.860   |10.42    |~                  |    ~     ~    |    1|  469.219   pc  |  -4.7996     +4.7996    |paral   |2020yCat.1350....0G
78  |V* V500 Hya                                                                                              |RR Lyrae Variable                     |08 47 46.9373059512 -03 39 00.283950180|230.6048303564413 +23.7493991970042|-52.916 -11.781   |10.75    |~                  |    ~     ~    |    1| 1183.01    pc  | -36.9473    +36.9473    |paral   |2020yCat.1350....0G
79  |HD 75233                                                                                                 |Star                                  |08 48 38.1390566448 -04 31 19.652137356|231.5349112013338 +23.4675379812737|   -7.639 0.029   |8.08     |M1III              |    ~     ~    |    1|  599.952   pc  |  -6.6229     +6.6229    |paral   |2020yCat.1350....0G
80  |HD 74658                                                                                                 |Star                                  |08 45 10.2816477168 -04 44 55.931083116|231.2448909546830 +22.6158512847031|-34.164 -21.722   |8.97     |F2/3V              |    ~     ~    |    1|  142.602   pc  |  -0.3721     +0.3721    |paral   |2020yCat.1350....0G
81  |HD 74832                                                                                                 |Star                                  |08 46 11.3500457832 -05 09 03.407249340|231.7598068615779 +22.6166534884394|  -13.889 6.856   |9.775    |K1III              |    ~     ~    |    1|  472.506   pc  | -13.0400    +13.0400    |ST-L    |2020AJ....160...83S
