C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
48  |HD 130238                                                             |Star                           |14 47 12.9046755360 -04 14 03.244789752|349.0814886752011 +47.9899417359058|  0.826 -16.234    |8.47     |F7V            |    ~     ~    
49  |HD 130386                                                             |Chemically Peculiar Star       |14 48 02.2700697288 -05 30 23.856596388|348.1127583790310 +46.8801373578083|-20.062 -16.568    |7.78     |K0II           |    ~     ~    
50  |HD 130220                                                             |Star                           |14 47 03.8120631600 -06 02 04.983703800|347.3523496873829 +46.6229077403971|  5.208 -22.239    |9.07     |F5V            |    ~     ~    
51  |HD 130008                                                             |Star                           |14 45 58.5759510192 -06 18 30.726412308|346.7963735078848 +46.5772967802993| -9.104 -10.493    |9.85     |A8/9V          |    ~     ~    
52  |BD-04 3747                                                            |Star                           |14 46 19.8390671304 -05 17 20.851292652|347.8314338556601 +47.3173729105560|-29.236 -10.586    |10.85    |~              |    ~     ~    
53  |BD-04 3748                                                            |Star                           |14 46 20.5871990832 -04 46 14.991113784|348.3210310440122 +47.7165031521680|-32.483 -16.351    |10.948   |~              |    ~     ~    
54  |BD-05 3949                                                            |Star                           |14 47 10.5955093824 -06 16 11.444245572|347.1704642508152 +46.4218794596468|  -6.817 -7.990    |10.14    |~              |    ~     ~    
55  |BD-05 3950                                                            |Star                           |14 47 37.0238985288 -06 06 35.674336944|347.4396930699738 +46.4780588599245|  1.972 -13.103    |10.52    |~              |    ~     ~    
56  |BD-05 3951                                                            |Star                           |14 47 52.4346033624 -05 47 28.940018676|347.8035515073405 +46.6854275497602|  4.977 -15.780    |10.415   |~              |    ~     ~    
57  |BD-04 3750                                                            |Star                           |14 48 15.8952433344 -05 22 29.135801784|348.2992741024735 +46.9460887318563|-25.672 -12.392    |10.72    |~              |    ~     ~    
58  |BD-04 3751                                                            |Star                           |14 48 34.2737672616 -05 21 45.618079464|348.3966316936156 +46.9068705573853|  9.368 -11.138    |10.37    |~              |    ~     ~    
59  |BD-03 3668                                                            |Spectroscopic Binary           |14 46 04.2198130128 -04 29 55.833106668|348.5009260106999 +47.9695256078229|-42.463 -35.201    |10.745   |K1_Ba2         |    ~     ~    
60  |HD 129850                                                             |High Proper Motion Star        |14 45 05.7523268880 -07 28 39.964500084|345.5104662601184 +45.7884563647042| -52.895 14.032    |10.311   |G0V            |    ~     ~    
61  |HD 129870                                                             |Star                           |14 45 10.7351536656 -06 53 37.079160288|346.0470593807726 +46.2387539477308|  -17.453 2.729    |8.97     |G0V            |    ~     ~    
62  |HD 129888                                                             |Star                           |14 45 17.2183737984 -07 11 27.294991044|345.8153938495020 +45.9871522362707| -34.305 -1.289    |8.20     |A3III/IV       |    ~     ~    
63  |V* GR Vir                                                             |Eclipsing Binary               |14 45 20.2632619872 -06 44 04.131471300|346.2334391196599 +46.3402241033295| -85.437 47.586    |8.00     |G2/3V          |    ~     ~    
64  |HD 129976                                                             |High Proper Motion Star        |14 45 42.7528238616 -07 04 44.349769416|346.0341742272202 +46.0111357157433|-97.509 -12.295    |9.47     |G8IV           |    ~     ~    
65  |HD 130089                                                             |Double or Multiple Star        |14 46 21.607344 -07 22 48.58212        |345.951591604 +45.674696041        |   -155.9 111.7    |9.00     |G1V            |    ~     ~    
66  |HD 130344                                                             |Star                           |14 47 44.4872694624 -07 17 34.308327480|346.4144043516803 +45.5329529389219|  -20.894 2.169    |9.42     |F6V            |    ~     ~    
67  |HD 130485                                                             |Spectroscopic Binary           |14 48 40.6373668656 -07 06 25.289790228|346.8388756772054 +45.5349638197397| -56.652 -6.502    |8.10     |A9/F0V         |    ~     ~    
68  |HD 129889                                                             |Star                           |14 45 18.9989934432 -07 45 19.159846704|345.3318441822024 +45.5345965489124| -28.572 -4.564    |9.966    |K1/2(III)      |    ~     ~    
69  |HD 130048                                                             |Star                           |14 46 13.5030404040 -07 47 49.051476348|345.5507264557961 +45.3649340657732| -8.903 -14.959    |7.13     |K0III          |    ~     ~    
70  |HD 130387                                                             |Star                           |14 48 07.1838504288 -07 50 45.522879864|346.0353958689311 +45.0393741061173| -0.285 -25.534    |9.57     |K2III          |    ~     ~    
71  |BD-06 4074                                                            |High Proper Motion Star        |14 47 28.6597742844 -07 07 16.945564303|346.4923099673931 +45.7082255044507|-296.860 -228.343  |10.66    |K3V            |    ~     ~    
72  |HD 129904                                                             |Star                           |14 45 21.5717933112 -08 27 43.262420688|344.7388430449463 +44.9642956928043| -12.800 11.555    |9.32     |G8III          |    ~     ~    
73  |BD-06 4064                                                            |High Proper Motion Star        |14 45 02.2334373240 -07 35 42.389725704|345.3918884128019 +45.7040004932730|-36.755 -44.277    |10.722   |~              |    ~     ~    
74  |BD-07 3902                                                            |Star                           |14 46 12.7344621072 -08 20 58.838920188|345.0723336412213 +44.9271394847808| -37.008 -9.528    |10.780   |~              |    ~     ~    
75  |BD-06 4072                                                            |Star                           |14 46 33.0009232512 -07 33 30.628198584|345.8488762188049 +45.5048244797664|   -9.942 0.393    |10.47    |~              |    ~     ~    
76  |BD-07 3905                                                            |Star                           |14 46 46.6314502272 -08 09 17.013249396|345.3963467048878 +44.9977241180869|   1.254 -4.624    |10.15    |~              |    ~     ~    
77  |TYC 4998-386-1                                                        |Star                           |14 47 13.7667098760 -07 29 47.502894336|346.0928332501027 +45.4506344273672|  2.367 -12.949    |10.66    |~              |    ~     ~    
78  |TYC 4998-753-1                                                        |Star                           |14 47 52.4380580712 -06 58 24.148342668|346.7342435433728 +45.7635234837799|  -24.296 4.339    |10.75    |~              |    ~     ~    
79  |TYC 4998-923-1                                                        |Star                           |14 46 17.6197648488 -06 26 23.738746344|346.7678011280093 +46.4253236846632|  -21.940 3.265    |10.511   |~              |    ~     ~    
80  |TYC 4998-930-1                                                        |Star                           |14 46 55.8497472168 -06 35 17.326803840|346.8142716298926 +46.2108802419914|  -4.266 -1.285    |10.562   |~              |    ~     ~    
81  |HD 129905                                                             |Star                           |14 45 25.9427632104 -08 33 07.391353608|344.6829631097118 +44.8814380210411| -12.966 -6.268    |10.33    |F2V            |    ~     ~    
82  |HD 130356                                                             |Star                           |14 47 57.3107343096 -08 39 14.908076640|345.2957670366314 +44.4239805146085|   6.860 11.428    |10.24    |G0             |    ~     ~    
83  |HD 129828                                                             |High Proper Motion Star        |14 45 00.4608886248 -09 08 04.687839456|344.0760309420878 +44.4762657183778|  9.851 -79.089    |9.25     |F7V            |    ~     ~    
84  |HD 129851                                                             |Star                           |14 45 06.3031983864 -08 55 47.966789712|344.2737755334790 +44.6265983851651|-27.015 -17.881    |9.19     |F3/5V          |    ~     ~    
85  |HD 129890                                                             |High Proper Motion Star        |14 45 20.1738169248 -09 12 51.225603624|344.1013012052990 +44.3640853491654|-48.714 -11.680    |8.38     |F3V            |    ~     ~    
86  |HD 130239                                                             |Star                           |14 47 15.0948318504 -09 03 34.084884708|344.7600832032013 +44.2058321198263|   -3.460 2.518    |9.75     |G8III          |    ~     ~    
87  |HD 130447                                                             |Star                           |14 48 32.1530281200 -09 09 20.025538056|345.0315809307199 +43.9380785241254|   4.587 -4.685    |8.22     |K0III          |    ~     ~    
88  |HD 130176                                                             |High Proper Motion Star        |14 46 56.5745653608 -09 58 46.991603424|343.9136593994482 +43.5128674489694|-129.895 -108.184  |9.79     |G6(w)          |    ~     ~    
89  |HD 130192                                                             |Star                           |14 47 06.0410365440 -09 45 57.586575276|344.1320219899940 +43.6617688459839| -4.662 -35.242    |9.78     |F5V            |    ~     ~    
90  |HD 130221                                                             |Star                           |14 47 10.6082666544 -09 55 44.911542180|344.0189694921245 +43.5194191856750| -10.172 11.555    |10.22    |G2/3V          |    ~     ~    
91  |HD 130068                                                             |Star                           |14 46 24.1931347368 -10 29 47.976267156|343.3470286765294 +43.1736851144820| -18.433 12.241    |8.66     |K0III          |    ~     ~    
92  |HD 130357                                                             |Star                           |14 47 57.8565899184 -10 29 58.339744656|343.7689992814451 +42.9452047229066|  -16.109 2.590    |9.02     |K2III          |    ~     ~    
93  |BD-08 3828                                                            |Star                           |14 45 07.8313818720 -09 00 41.046687828|344.2128767317850 +44.5574132434883| -40.450 -4.080    |10.31    |~              |    ~     ~    
94  |BD-08 3830                                                            |High Proper Motion Star        |14 46 05.2157457720 -08 48 36.496899864|344.6475267929561 +44.5778904004135|-70.120 -43.457    |10.52    |~              |    ~     ~    
95  |BD-09 3989                                                            |Star                           |14 46 29.9853604680 -09 54 38.321784396|343.8487504265335 +43.6331497463197|  -17.541 0.440    |10.52    |~              |    ~     ~    
96  |BD-09 3992                                                            |Star                           |14 47 06.1451882496 -09 42 30.011222484|344.1799455354465 +43.7078536043992|  -18.725 3.876    |10.79    |~              |    ~     ~    
97  |ASAS J144522-0854.4                                                   |High Proper Motion Star        |14 45 23.0524900272 -08 54 18.045042408|344.3724761038243 +44.6055942263976|-78.432 -52.629    |10.637   |~              |    ~     ~    
98  |TYC 5569-28-1                                                         |Star                           |14 45 53.8568888136 -09 37 20.067737736|343.9195873944307 +43.9534168265778| -12.027 -5.453    |10.99    |~              |    ~     ~    
99  |BD-08 3831                                                            |Star                           |14 46 45.5752547400 -09 32 18.877114572|344.2259333676201 +43.8945543781025| 24.654 -17.970    |10.74    |~              |    ~     ~    
100 |BD-09 3995                                                            |High Proper Motion Star        |14 47 42.1075172856 -10 35 36.753312336|343.6220493719378 +42.9075139960075| -95.832 -0.024    |10.09    |G0             |    ~     ~    
101 |BD-10 3953                                                            |High Proper Motion Star        |14 45 03.8661164544 -10 40 15.646511280|342.8409865217739 +43.2242605195531| 18.495 -72.417    |10.79    |~              |    ~     ~    
102 |HD 129939                                                             |Star                           |14 45 41.9629329552 -11 19 06.621998628|342.5019263423223 +42.6063041424896|   -7.211 9.232    |8.70     |F2V            |    ~     ~    
103 |HD 130049                                                             |Star                           |14 46 17.9356337904 -11 05 28.845573432|342.8439432182360 +42.7060629627306|-28.358 -13.182    |9.14     |A2III          |    ~     ~    
104 |BD-10 3958B                                                           |Star                           |14 46 16.7871057312 -11 05 48.220818576|342.8344844058260 +42.7044181567698|-28.020 -12.515    |10.560   |~              |    ~     ~    
