C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
4373|TYC 1100-1622-1                                                                                                                                                                |Star                           |20 39 22.0183614744 +13 59 16.117101744|058.6164870127276 -16.3562278057162|  12.021 24.596   |10.77    |~                     |    ~     ~    
4374|TYC 1100-1646-1                                                                                                                                                                |Star                           |20 39 41.2374647496 +13 30 06.979483908|058.2429823970160 -16.6937229747998|  -3.369 -2.046   |10.42    |~                     |    ~     ~    
4375|GSC 01100-01675                                                                                                                                                                |Double or Multiple Star        |20 39 07.1319747696 +13 29 01.890032064|058.1464312696709 -16.5894917928242|  74.714 53.012   |9.93     |~                     |    ~     ~    
4376|TYC 1101-8-1                                                                                                                                                                   |Star                           |20 41 27.8789777640 +14 40 53.403284496|059.5122453426750 -16.3828948139081|  -1.992 -2.012   |10.21    |~                     |    ~     ~    
4377|TYC 1101-28-1                                                                                                                                                                  |Star                           |20 42 03.1251106680 +13 41 15.695177136|058.7417897974630 -17.0636907412890|  14.990 16.184   |10.450   |~                     |    ~     ~    
4378|TYC 1101-31-1                                                                                                                                                                  |Star                           |20 41 30.4975602000 +14 52 21.680296140|059.6823698779432 -16.2828414320313|   1.526 -5.880   |10.38    |~                     |    ~     ~    
4379|TYC 1101-35-1                                                                                                                                                                  |Star                           |20 42 49.4545402104 +14 22 51.503627784|059.4496256781559 -16.8244524122671| -4.215 -11.379   |10.12    |~                     |    ~     ~    
4380|TYC 1101-83-1                                                                                                                                                                  |Star                           |20 41 28.8461490024 +13 44 53.495934756|058.7119418089216 -16.9150356801286|   15.897 1.025   |10.52    |~                     |    ~     ~    
4381|TYC 1101-140-1                                                                                                                                                                 |Star                           |20 41 38.8205264808 +13 37 35.555996100|058.6308505761966 -17.0170816431719|-13.128 -10.482   |9.89     |~                     |    ~     ~    
4382|TYC 1101-145-1                                                                                                                                                                 |Star                           |20 41 43.9702815864 +14 07 28.305843096|059.0722679669627 -16.7524824618252|   -8.699 2.782   |10.07    |~                     |    ~     ~    
4383|TYC 1101-228-1                                                                                                                                                                 |Star                           |20 41 42.6727306392 +14 39 49.822796592|059.5324385977584 -16.4419921663353|   7.568 -7.456   |10.94    |~                     |    ~     ~    
4384|TYC 1101-252-1                                                                                                                                                                 |Star                           |20 43 18.7912096992 +13 35 45.120899184|058.8442498825252 -17.3681954018390|  17.786 -4.753   |10.85    |~                     |    ~     ~    
4385|TYC 1101-294-1                                                                                                                                                                 |Star                           |20 41 57.4016897640 +14 27 39.872592108|059.3936615744510 -16.6061273291090|   -5.221 4.963   |10.33    |~                     |    ~     ~    
4386|TYC 1101-295-1                                                                                                                                                                 |Star                           |20 42 51.3461511227 +14 20 05.033340586|059.4144454100872 -16.8570534790799|-10.778 -32.484   |10.62    |~                     |    ~     ~    
4387|TYC 1101-306-1                                                                                                                                                                 |Star                           |20 41 58.1215944216 +14 11 15.556183800|059.1604275467239 -16.7637777897581|  -8.295 -7.671   |10.41    |~                     |    ~     ~    
4388|TYC 1101-344-1                                                                                                                                                                 |Star                           |20 43 30.9973125552 +14 07 18.504296112|059.3267412974928 -17.1099322147458|  -1.913 -0.873   |10.94    |OB-                   |    ~     ~    
4389|TYC 1101-350-1                                                                                                                                                                 |Star                           |20 42 49.4560268496 +14 22 06.983074992|059.4390072098691 -16.8314977027925|    6.262 1.605   |10.21    |~                     |    ~     ~    
4390|TYC 1101-389-1                                                                                                                                                                 |Star                           |20 42 04.4305758504 +13 25 08.511384216|058.5129811194343 -17.2199018294462| -6.230 -11.587   |9.61     |~                     |    ~     ~    
4391|TYC 1101-395-1                                                                                                                                                                 |Star                           |20 41 09.9202997184 +14 42 51.462134496|059.4975116975359 -16.3047007084582|  -3.157 -2.305   |10.56    |~                     |    ~     ~    
4392|TYC 1101-421-1                                                                                                                                                                 |Star                           |20 41 28.7483700360 +13 49 35.792466024|058.7793142794819 -16.8703882456835|   -3.150 4.927   |10.7     |~                     |    ~     ~    
4393|TYC 1101-439-1                                                                                                                                                                 |Star                           |20 42 21.0285764832 +13 13 03.477430704|058.3786615158156 -17.3891498102545|  13.170 -0.717   |10.00    |~                     |    ~     ~    
4394|TYC 1101-449-1                                                                                                                                                                 |Star                           |20 40 53.3497622472 +13 54 17.563719708|058.7622496236422 -16.7080170521824| -7.608 -17.039   |10.85    |~                     |    ~     ~    
4395|TYC 1101-466-1                                                                                                                                                                 |Star                           |20 41 45.0013271016 +13 51 57.654635904|058.8521422229178 -16.9023238362279| -25.949 -2.349   |10.5     |~                     |    ~     ~    
4396|TYC 1101-799-1                                                                                                                                                                 |Star                           |20 44 23.3394873408 +13 24 55.181598120|058.8440516627402 -17.6859746030003|  -9.157 -8.045   |9.30     |~                     |    ~     ~    
4397|TYC 1101-1223-1                                                                                                                                                                |Star                           |20 44 39.6633816672 +13 26 12.619113792|058.9020995602122 -17.7281841575435|   2.779 -7.849   |10.48    |~                     |    ~     ~    
4398|TYC 1101-1292-1                                                                                                                                                                |Star                           |20 44 48.4295267376 +14 08 12.036795756|059.5263822343571 -17.3584343089526|  13.597 -1.485   |10.92    |~                     |    ~     ~    
4399|TYC 1101-1353-1                                                                                                                                                                |Double or Multiple Star        |20 43 42.448800 +13 16 15.40524        |058.620573814 -17.631366326        |       3.3 -2.3   |10.478   |~                     |    ~     ~    
4400|GSC 01101-02049                                                                                                                                                                |Double or Multiple Star        |20 44 35.6587802448 +13 11 42.897425460|058.6836028068563 -17.8520584197001|   9.509 -7.603   |10.550   |~                     |    ~     ~    
4401|TYC 1101-2160-1                                                                                                                                                                |Star                           |20 43 42.9769194192 +14 03 51.486399180|059.3061235496924 -17.1824750447439| 13.728 -11.452   |10.31    |~                     |    ~     ~    
4402|TYC 1101-2361-1                                                                                                                                                                |Star                           |20 44 27.8764050648 +13 44 52.632794292|059.1420338181864 -17.5119021966619|  -3.676 -4.895   |10.64    |~                     |    ~     ~    
4403|TYC 1101-2735-1                                                                                                                                                                |Star                           |20 43 36.5736431832 +13 09 10.363799016|058.5042872576322 -17.6785791661504|   5.284 -1.348   |10.38    |~                     |    ~     ~    
4404|TYC 1633-183-1                                                                                                                                                                 |Star                           |20 39 17.1348587856 +15 10 53.777924436|059.6297998514756 -15.6656750237146|   17.673 2.386   |10.77    |~                     |    ~     ~    
4405|TYC 1633-280-1                                                                                                                                                                 |Star                           |20 38 48.1673581080 +15 18 11.457353268|059.6652942210770 -15.5008318940267| 22.504 -15.412   |10.5     |~                     |    ~     ~    
4406|TYC 1633-450-1                                                                                                                                                                 |Star                           |20 39 51.6103311768 +15 09 39.657607344|059.6938788287986 -15.7915358604286|  15.653 -2.636   |10.34    |~                     |    ~     ~    
4407|TYC 1633-700-1                                                                                                                                                                 |Star                           |20 39 57.5034148560 +15 10 52.269648888|059.7251168121859 -15.7995951739341|-11.715 -13.891   |10.86    |~                     |    ~     ~    
4408|TYC 1633-705-1                                                                                                                                                                 |Star                           |20 37 59.3184219408 +15 19 46.938501084|059.5727389975771 -15.3239736461639|  27.343 10.465   |10.28    |~                     |    ~     ~    
4409|TYC 1633-709-1                                                                                                                                                                 |Star                           |20 38 33.4709079432 +15 16 54.337593288|059.6122658927556 -15.4642778558423|   0.813 -5.159   |10.88    |~                     |    ~     ~    
4410|TYC 1633-775-1                                                                                                                                                                 |Star                           |20 38 49.2195989064 +15 06 03.016878588|059.4946433888597 -15.6188784817367|  -5.414 -2.290   |9.87     |~                     |    ~     ~    
4411|TYC 1634-125-1                                                                                                                                                                 |Star                           |20 42 56.0927597808 +15 04 14.020930920|060.0566069898832 -16.4529293654327|   3.179 -5.101   |10.8     |~                     |    ~     ~    
4412|TYC 1634-159-1                                                                                                                                                                 |Star                           |20 41 07.5729935088 +15 08 07.092125988|059.8524950714116 -16.0574953502301| 16.730 -10.673   |10.44    |~                     |    ~     ~    
4413|TYC 1634-1485-1                                                                                                                                                                |Star                           |20 44 58.1143201320 +15 03 09.977086260|060.3352544607862 -16.8653519825363| -3.688 -15.422   |10.85    |~                     |    ~     ~    
4414|HD 195342                                                                                                                                                                      |High Proper Motion Star        |20 30 05.8964900496 +17 34 54.679198620|060.3935659780440 -12.4927601274992|  82.873 71.354   |7.95     |K0                    |    ~     ~    
4415|HD 352491                                                                                                                                                                      |Star                           |20 30 32.3158140264 +17 37 29.019413316|060.4901828103833 -12.5556219802810| 19.222 -11.611   |8.74     |F0                    |    ~     ~    
4416|TYC 1636-760-1                                                                                                                                                                 |Star                           |20 30 29.4295096776 +17 38 37.638280032|060.4997629319937 -12.5354421997407|   5.831 -1.795   |10.85    |F0                    |    ~     ~    
4417|HD 352492                                                                                                                                                                      |Star                           |20 31 10.0182410736 +17 38 07.429748424|060.5853615983753 -12.6735266339645|   6.055 -3.543   |9.30     |K5                    |    ~     ~    
4418|HD 352495                                                                                                                                                                      |Star                           |20 31 27.3409674192 +17 36 09.635875632|060.5972575013437 -12.7488149685391|  16.757 -0.427   |9.09     |K0                    |    ~     ~    
4419|HD 352488                                                                                                                                                                      |Star                           |20 32 00.7452325440 +17 54 14.041804608|060.9289678377704 -12.6887419100552|-28.832 -28.971   |9.90     |G0                    |    ~     ~    
4420|HD 352489                                                                                                                                                                      |Star                           |20 32 56.0960947368 +17 50 19.413594240|061.0008780209137 -12.9067115457911|    9.297 9.956   |9.93     |K0                    |    ~     ~    
4421|HD 352588                                                                                                                                                                      |Star                           |20 33 32.8337334552 +17 54 07.198034004|061.1389853323963 -12.9910482987426|-17.777 -33.906   |9.10     |G0                    |    ~     ~    
4422|HD 352595                                                                                                                                                                      |High Proper Motion Star        |20 33 47.6870262432 +17 31 28.240029696|060.8536897690565 -13.2532979016111|  50.945 -2.008   |9.42     |G0                    |    ~     ~    
4423|HD 352589                                                                                                                                                                      |Star                           |20 34 00.5572817352 +17 50 29.316631596|061.1517325080853 -13.1159312269108|  -2.641 -1.358   |9.24     |F2                    |    ~     ~    
4424|HD 352598                                                                                                                                                                      |Star                           |20 34 14.7296776320 +17 29 11.775189408|060.8840673197109 -13.3633458354711|  11.537 -7.939   |10.50    |G0                    |    ~     ~    
4425|HD 196037                                                                                                                                                                      |Star                           |20 34 15.4335188376 +17 51 06.786236916|061.1948922030000 -13.1586277410429|  6.658 -18.376   |7.76     |K5                    |    ~     ~    
4426|HD 352590                                                                                                                                                                      |Star                           |20 35 05.0226764424 +17 49 59.413947348|061.2938115320567 -13.3311479768091| -11.888 -7.805   |9.64     |K2                    |    ~     ~    
4427|HD 196363                                                                                                                                                                      |Star                           |20 36 20.4477247944 +17 48 37.278166608|061.4497117100009 -13.5900831592834| 21.861 -11.566   |8.45     |F2                    |    ~     ~    
4428|HD 195378                                                                                                                                                                      |Star                           |20 30 19.1724412248 +17 04 17.394660336|059.9903592501653 -12.8221282667120|    2.321 3.024   |8.66     |A0                    |    ~     ~    
4429|HD 352501                                                                                                                                                                      |Star                           |20 30 41.7008820816 +17 19 42.271128444|060.2601367541019 -12.7526364620116|    8.467 0.040   |8.86     |K5                    |    ~     ~    
4430|HD 195480                                                                                                                                                                      |Star                           |20 31 02.2848251904 +17 04 34.101104160|060.0928902110554 -12.9618397709074|    5.480 2.181   |7.46     |K5                    |    ~     ~    
4431|TYC 1632-1611-1                                                                                                                                                                |Star                           |20 31 16.0098754056 +16 28 09.203268180|059.6077713341686 -13.3467997739511|  -1.406 -5.735   |10.45    |G5                    |    ~     ~    
4432|HD 195612                                                                                                                                                                      |Star                           |20 31 52.2522796896 +16 59 30.223690476|060.1357213178244 -13.1739977744225| 17.260 -12.198   |7.23     |B9                    |    ~     ~    
4433|AG+16 2223                                                                                                                                                                     |Spectroscopic Binary           |20 32 03.9909108336 +16 44 34.667156832|059.9511254548825 -13.3523043207020|   8.170 -2.930   |10.65    |K0                    |    ~     ~    
4434|HD 195775                                                                                                                                                                      |Star                           |20 32 43.7443681176 +16 46 02.027641044|060.0632992032893 -13.4699440393182|   6.456 -5.923   |6.96     |B9                    |    ~     ~    
4435|BD+16 4292                                                                                                                                                                     |Star                           |20 32 49.1181797208 +16 57 55.776341232|060.2442510843241 -13.3761969802592|   2.357 -4.479   |9.28     |G0                    |    ~     ~    
4436|HD 195809                                                                                                                                                                      |Star                           |20 32 57.9978384504 +17 13 32.998562832|060.4858092366126 -13.2588385484473|  -5.095 -6.595   |8.97     |A0                    |    ~     ~    
4437|HD 195836                                                                                                                                                                      |Star                           |20 33 08.2574330880 +17 20 58.734710448|060.6145023995643 -13.2227377567317|   1.327 -1.200   |8.72     |A2                    |    ~     ~    
4438|HD 352596                                                                                                                                                                      |Star                           |20 33 36.9488556336 +17 25 45.185678328|060.7481451798025 -13.2719711857199|    5.928 4.522   |9.81     |A7                    |    ~     ~    
4439|BD+16 4303                                                                                                                                                                     |Star                           |20 34 25.2159036384 +17 08 19.902856668|060.6135054874836 -13.5945129947164|  -4.296 -3.671   |9.21     |A0                    |    ~     ~    
4440|HD 352599                                                                                                                                                                      |Double or Multiple Star        |20 34 46.3318 +17 25 38.674            |060.9070827 -13.5003895            |       3.7 -5.0   |10.38    |F8                    |    ~     ~    
4441|BD+16 4307                                                                                                                                                                     |Star                           |20 34 48.6165826224 +16 42 30.227469876|060.3021756340167 -13.9147551876196|  9.094 -24.428   |9.45     |F0                    |    ~     ~    
4442|BD+16 4308                                                                                                                                                                     |Star                           |20 34 59.1480005832 +16 45 09.066148596|060.3641436549689 -13.9244963368911|  7.188 -16.065   |9.71     |A5                    |    ~     ~    
4443|TYC 1637-1344-1                                                                                                                                                                |Star                           |20 35 19.5480385848 +17 08 50.347789368|060.7467422396409 -13.7680339723852|   0.554 -6.744   |9.78     |G5                    |    ~     ~    
4444|BD+16 4311                                                                                                                                                                     |Star                           |20 35 20.0868873552 +17 13 49.528513164|060.8184658255670 -13.7226762162513|  -6.031 -6.771   |9.73     |K5                    |    ~     ~    
4445|BD+16 4312                                                                                                                                                                     |Star                           |20 35 28.0817413704 +17 09 32.729144508|060.7765628754660 -13.7893436671016|  -7.980 -4.692   |10.01    |F2                    |    ~     ~    
4446|HD 196345                                                                                                                                                                      |Star                           |20 36 15.8932137216 +16 48 53.020719000|060.5957025052965 -14.1415934260881|  13.206 14.534   |6.570    |K2                    |    ~     ~    
4447|BD+16 4316                                                                                                                                                                     |Star                           |20 36 35.2156737816 +17 08 52.669924008|060.9235299060787 -14.0156423888882|   8.653 25.162   |8.83     |F8                    |    ~     ~    
4448|HD 196410                                                                                                                                                                      |Star                           |20 36 40.7459083272 +16 42 48.897671436|060.5678456495892 -14.2806338226376|   -9.748 9.622   |8.36     |A0                    |    ~     ~    
4449|HD 196492                                                                                                                                                                      |Star                           |20 37 13.9005723384 +16 33 06.588265176|060.5079984963848 -14.4814409136719|   6.998 -4.201   |8.74     |A0                    |    ~     ~    
4450|BD+15 4183                                                                                                                                                                     |Star                           |20 31 26.5769158488 +16 15 45.081449244|059.4557850530582 -13.4973141895167| -1.951 -11.603   |9.57     |K0                    |    ~     ~    
4451|BD+15 4207                                                                                                                                                                     |Star                           |20 35 38.4371050056 +16 12 45.538700184|059.9962083154398 -14.3590136329277| -6.860 -27.910   |8.82     |K0                    |    ~     ~    
4452|HD 352498                                                                                                                                                                      |Star                           |20 33 14.2233687264 +17 27 30.236274792|060.7204659014897 -13.1809444233451|  -1.627 -2.335   |9.99     |M                     |    ~     ~    
4453|HD 352493                                                                                                                                                                      |Star                           |20 31 43.9693089432 +17 40 36.639346800|060.6982117460480 -12.7616781485383|  -0.690 -9.868   |10.588   |G5                    |    ~     ~    
4454|HD 352487                                                                                                                                                                      |High Proper Motion Star        |20 32 10.6099717344 +17 53 50.630975304|060.9460786568874 -12.7247075340500|-28.735 -62.670   |10.65    |G0                    |    ~     ~    
4455|HD 352376                                                                                                                                                                      |Star                           |20 30 20.3051946288 +17 52 20.619614460|060.6727509850739 -12.3772051189381|    4.914 0.257   |10.48    |K2                    |    ~     ~    
4456|TYC 1633-1459-1                                                                                                                                                                |Star                           |20 33 13.6667463048 +16 36 32.343107904|059.9976995206971 -13.6576606208596|   0.427 -3.216   |10.599   |K4V                   |    ~     ~    
4457|TYC 1637-1282-1                                                                                                                                                                |Star                           |20 36 46.3151871408 +17 04 11.876782908|060.8833249485320 -14.0963664342919| -1.225 -16.711   |10.750   |K4V                   |    ~     ~    
4458|HD 352500                                                                                                                                                                      |Star                           |20 31 19.2034127688 +17 24 13.084902720|060.4097850460626 -12.8339045637856|    6.409 8.037   |9.60     |K0                    |    ~     ~    
4459|HD 352502                                                                                                                                                                      |Star                           |20 31 48.5581655856 +17 19 27.773937228|060.4098006223618 -12.9750026980843|  -1.602 -4.864   |9.93     |K0                    |    ~     ~    
4460|HD 352504                                                                                                                                                                      |Star                           |20 33 02.4554493336 +17 19 45.219072252|060.5838106585834 -13.2152005782481|  24.008 -2.149   |10.59    |F5                    |    ~     ~    
4461|HD 352503                                                                                                                                                                      |Star                           |20 33 08.3760925944 +17 26 04.257295548|060.6867435169026 -13.1752403396699|   8.856 -0.346   |9.45     |G5                    |    ~     ~    
4462|HD 352597                                                                                                                                                                      |Star                           |20 33 28.6668719208 +17 16 49.339356132|060.6028103000807 -13.3288548351071|    5.822 5.118   |9.86     |A2                    |    ~     ~    
4463|HD 352601                                                                                                                                                                      |Star                           |20 36 08.1609712152 +17 19 47.780401404|061.0146414537188 -13.8235863316797|  14.682 -1.095   |10.22    |F5                    |    ~     ~    
4464|HD 352697                                                                                                                                                                      |Star                           |20 37 06.4833792984 +17 20 55.217443308|061.1665979618890 -14.0035970598022|   10.481 5.876   |9.83     |K0                    |    ~     ~    
4465|HD 352378                                                                                                                                                                      |Star                           |20 30 02.5166891400 +17 42 12.110902524|060.4889396117064 -12.4135683144453|   12.773 1.104   |10.16    |K0                    |    ~     ~    
4466|HD 352377                                                                                                                                                                      |Star                           |20 30 15.8022003696 +17 45 16.482307500|060.5626334402201 -12.4285197999563| -1.664 -13.024   |10.08    |G0                    |    ~     ~    
4467|HD 352374                                                                                                                                                                      |Star                           |20 30 25.4854648776 +18 03 20.495702016|060.8398036830070 -12.2912582073409| 28.302 -37.994   |10.47    |G0                    |    ~     ~    
4468|HD 352484                                                                                                                                                                      |Red Giant Branch star          |20 30 39.8744749320 +18 02 54.975192540|060.8665957759543 -12.3423897890820|   4.288 -1.640   |10.57    |K0                    |    ~     ~    
4469|HD 352497                                                                                                                                                                      |Star                           |20 33 15.8705970384 +17 41 50.813269512|060.9267913102105 -13.0512936731537| -13.409 -8.308   |9.97     |K5                    |    ~     ~    
4470|HD 352594                                                                                                                                                                      |Star                           |20 35 03.4596442416 +17 40 24.914493192|061.1552145306809 -13.4167275812494| -15.353 11.987   |10.04    |K0                    |    ~     ~    
4471|HD 352592                                                                                                                                                                      |Star                           |20 35 48.7658604456 +17 48 31.659556032|061.3747089293543 -13.4877053291306|   23.387 1.667   |10.54    |F8                    |    ~     ~    
4472|BD+15 4179                                                                                                                                                                     |High Proper Motion Star        |20 30 14.9892254544 +16 07 35.679877176|059.1756014913144 -13.3352775071958|   71.585 5.152   |9.82     |F2                    |    ~     ~    
4473|HD 195630                                                                                                                                                                      |Spectroscopic Binary           |20 31 56.5605580272 +16 05 47.190597000|059.3830226098274 -13.6896082470040|  15.787 16.186   |8.58     |K0                    |    ~     ~    
4474|HD 195822                                                                                                                                                                      |Star                           |20 33 07.5296437944 +16 01 12.521392464|059.4816409731402 -13.9678200217535|   10.079 0.984   |8.37     |A0                    |    ~     ~    
4475|BD+15 4205                                                                                                                                                                     |Star                           |20 35 29.0398891920 +15 56 02.839446996|059.7368242829600 -14.4850560186976|  -7.634 -8.484   |9.00     |K0                    |    ~     ~    
4476|BD+15 4206                                                                                                                                                                     |Star                           |20 35 32.3283687696 +16 00 38.803435092|059.8098844764221 -14.4527264024992|   4.676 -3.165   |9.77     |G5                    |    ~     ~    
4477|BD+15 4214                                                                                                                                                                     |Star                           |20 36 50.0375136816 +16 03 21.604731120|060.0300692818035 -14.6839671708858|   7.409 -7.334   |9.45     |F8                    |    ~     ~    
4478|IRAS 20332+1636                                                                                                                                                                |Star                           |20 35 30.3562831584 +16 47 18.649464540|060.4673061503241 -14.0068022308141|  -2.598 -3.946   |10.62    |~                     |    ~     ~    
4479|IRAS 20343+1559                                                                                                                                                                |Star                           |20 36 41.5929083496 +16 09 59.212456884|060.1044023670834 -14.5935865689971|   2.408 -0.415   |10.19    |~                     |    ~     ~    
4480|SV* SON 10709                                                                                                                                                                  |Variable Star                  |20 36 47.4170588064 +15 56 44.270607912|059.9298351623116 -14.7377522122840|  -3.196 -7.396   |10.22    |~                     |    ~     ~    
4481|StKM 1-1801                                                                                                                                                                    |Star                           |20 36 26.7908945088 +17 21 12.024083088|061.0778819855614 -13.8712054745504|  -0.056 -0.678   |10.73    |K4/5                  |    ~     ~    
4482|PSR J2033+1736                                                                                                                                                                 |Pulsar                         |20 33 16.9140266736 +17 37 48.047177388|060.8720851452677 -13.0928265149216|    5.174 1.321   |10.50    |~                     |    ~     ~    
4483|BD+15 4180                                                                                                                                                                     |Star                           |20 30 41.5303185072 +15 53 26.348558532|059.0348378918119 -13.5548615480854|   -0.546 1.563   |9.10     |M0                    |    ~     ~    
4484|HD 195481                                                                                                                                                                      |Double or Multiple Star        |20 31 06.1146616 +15 48 27.468490      |059.0202874266 -13.6829356090      |    -5.49 -5.90   |6.844    |A2V                   |0.0033  0.0    
4485|HD 195613                                                                                                                                                                      |Star                           |20 31 54.9172684344 +15 54 46.765017900|059.2225788532105 -13.7866001316696|   3.508 -1.771   |7.75     |G5                    |    ~     ~    
4486|HD 195669                                                                                                                                                                      |Star                           |20 32 10.2297109272 +15 52 57.462055644|059.2319195546279 -13.8544589204456| -5.761 -15.245   |7.67     |G5                    |    ~     ~    
4487|BD+15 4191                                                                                                                                                                     |Star                           |20 32 53.3335309752 +15 43 51.434315004|059.2018000622188 -14.0825232018011|  -4.062 -4.077   |10.49    |K0                    |    ~     ~    
4488|BD+15 4192                                                                                                                                                                     |Star                           |20 32 55.3920926184 +15 45 05.155332372|059.2240629164430 -14.0779181476644|  26.353 12.162   |9.86     |F0                    |    ~     ~    
4489|BD+15 4193                                                                                                                                                                     |Star                           |20 32 59.1466676664 +15 54 15.430597776|059.3633398510048 -14.0048786239995| -0.354 -21.530   |8.90     |K0                    |    ~     ~    
4490|BD+15 4199a                                                                                                                                                                    |Spectroscopic Binary           |20 33 58.5778853784 +15 43 18.046774236|059.3449857804789 -14.3045378537478|   4.943 13.521   |10.62    |G5                    |    ~     ~    
4491|HD 195942                                                                                                                                                                      |Star                           |20 33 51.6942629352 +15 46 47.542385568|059.3787391960969 -14.2490538961508|  21.138 14.577   |8.37     |kA3hA5mF2             |    ~     ~    
4492|HD 196007                                                                                                                                                                      |High Proper Motion Star        |20 34 08.5696260024 +15 49 34.959196632|059.4576208603301 -14.2789787454538|  30.023 56.708   |7.61     |G5                    |    ~     ~    
4493|BD+15 4211                                                                                                                                                                     |Star                           |20 36 06.6104603976 +15 42 43.709357628|059.6350682647072 -14.7345833680675|   0.442 -8.441   |9.72     |K2                    |    ~     ~    
4494|BD+15 4213                                                                                                                                                                     |Star                           |20 36 41.0595711576 +15 36 47.531975940|059.6311977259356 -14.9045134341545|   4.740 -3.517   |10.05    |A5                    |    ~     ~    
4495|TYC 1632-1177-1                                                                                                                                                                |Star                           |20 30 33.3818330448 +16 39 02.164786344|059.6646318508661 -13.1042732956174|  -2.852 -1.676   |10.34    |~                     |    ~     ~    
4496|TYC 1632-1251-1                                                                                                                                                                |Star                           |20 31 52.0707401592 +16 35 13.024681116|059.7909038202003 -13.4003315889783|    7.901 4.139   |10.42    |~                     |    ~     ~    
4497|TYC 1632-1363-1                                                                                                                                                                |Star                           |20 30 41.0657410008 +16 49 35.508678708|059.8320126368678 -13.0314245013354|-14.411 -41.820   |9.62     |~                     |    ~     ~    
4498|TYC 1632-1420-1                                                                                                                                                                |Star                           |20 30 41.0641914048 +16 38 58.563763764|059.6813628172742 -13.1302733405055|   0.862 -5.533   |9.96     |~                     |    ~     ~    
