C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
68  |TYC 3166-1674-1                                                                                                                                                                |Star                           |20 44 35.1050211936 +38 08 35.291316048|079.0300965695810 -02.8698345719616| -8.805 -33.994   |9.92     |~                     |    ~     ~    
69  |TYC 3166-1703-1                                                                                                                                                                |Star                           |20 44 58.2762038280 +37 43 41.102497524|078.7513432325610 -03.1869787203575|-10.671 -17.171   |10.56    |~                     |    ~     ~    
70  |TYC 3166-1743-1                                                                                                                                                                |Pulsating Variable             |20 42 49.4720502048 +37 42 24.030641844|078.4717010440049 -02.8664973085500|   1.375 -1.567   |10.29    |~                     |    ~     ~    
71  |TYC 3166-1760-1                                                                                                                                                                |Star                           |20 43 14.5022473872 +37 48 39.968083260|078.6049210659718 -02.8670767547233|  -0.108 -4.575   |10.18    |~                     |    ~     ~    
72  |TYC 3166-1766-1                                                                                                                                                                |Star                           |20 40 46.0594441560 +37 43 16.954872420|078.2334656790662 -02.5362547380540|  1.334 -11.828   |10.97    |~                     |    ~     ~    
73  |TYC 3166-1775-1                                                                                                                                                                |Star                           |20 44 38.9262607464 +38 16 53.885022780|079.1466623376180 -02.7937828953782|  -0.366 -1.754   |9.93     |~                     |    ~     ~    
74  |BD+39 4244                                                                                                                                                                     |Star                           |20 34 52.3702091520 +39 53 36.513270348|079.2680664229161 -00.3076387189712| -3.692 -12.438   |8.74     |K0                    |    ~     ~    
75  |BD+39 4246                                                                                                                                                                     |Star                           |20 35 15.1212163680 +39 54 05.541667488|079.3181035389739 -00.3610294298559|  -3.717 -5.186   |8.98     |K2                    |    ~     ~    
76  |BD+39 4253                                                                                                                                                                     |Star                           |20 37 13.1872885368 +39 47 51.498654000|079.4624522781769 -00.7251738103737|  -4.095 -9.811   |8.74     |K0                    |    ~     ~    
77  |BD+39 4254                                                                                                                                                                     |Star                           |20 37 25.5882659640 +39 48 21.917302092|079.4931763264437 -00.7516957618870| -3.031 -13.145   |8.27     |K2                    |    ~     ~    
78  |BD+39 4257                                                                                                                                                                     |Star                           |20 37 41.4220748232 +39 36 46.996357392|079.3701370865831 -00.9088657691903|  -9.284 -3.368   |9.11     |K0                    |    ~     ~    
79  |HD 196790                                                                                                                                                                      |Star                           |20 38 13.1226329472 +39 32 49.462257516|079.3792984240166 -01.0298349030256|   3.331 27.857   |8.06     |F8IV                  |    ~     ~    
80  |HD 196810                                                                                                                                                                      |Star                           |20 38 13.0369632528 +39 41 25.982774844|079.4932483481241 -00.9426267976614| -13.823 -7.279   |8.87     |M3                    |    ~     ~    
81  |BD+39 4263                                                                                                                                                                     |Star                           |20 38 28.8898283856 +40 09 56.623717980|079.9017741158483 -00.6946330546242|  -1.650 -2.844   |9.66     |B1III                 |    ~     ~    
