C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3728|TYC 2944-230-1                                                                                                                              |Star                                |07 10 59.2954673952 +38 53 17.948486976|178.6591407609373 +20.1995547618665| -14.117 -1.654   |10.17    |~                 |    ~     ~    |    1|  204.315   pc  |  -0.8265     +0.8265  |paral   |2020yCat.1350....0G
3729|TYC 2944-404-1                                                                                                                              |Star                                |07 12 31.3863097992 +38 21 04.025963052|179.3047974656446 +20.3069975289821|  0.922 -20.520   |10.46    |~                 |    ~     ~    |    1|  362.568   pc  |  -5.6000     +5.6000  |paral   |2020yCat.1350....0G
3730|TYC 2944-816-1                                                                                                                              |Star                                |07 14 31.6504158360 +38 39 09.932542200|179.1358103468371 +20.7757517090080|  -2.946 -4.284   |10.42    |~                 |    ~     ~    |    1|  628.970   pc  |  -7.0417     +7.0417  |paral   |2020yCat.1350....0G
3731|BD+38 1714                                                                                                                                  |Double or Multiple Star             |07 14 22.3084144176 +38 07 55.130224188|179.6521264783404 +20.5787817534411|  3.390 -17.213   |10.689   |~                 |    ~     ~    |    1|  493.657   pc  | -18.6184    +18.6184  |paral   |2020yCat.1350....0G
3732|TYC 2944-1226-1                                                                                                                             |Star                                |07 14 22.1054939064 +38 08 50.072268372|179.6364757054329 +20.5831041717529| -1.162 -16.209   |10.68    |~                 |    ~     ~    |    1|  471.342   pc  |  -6.8204     +6.8204  |paral   |2020yCat.1350....0G
3733|TYC 2944-1557-1                                                                                                                             |Star                                |07 12 05.2517724360 +38 56 35.467514736|178.6781846360438 +20.4195856573869|  4.758 -16.255   |10.41    |~                 |    ~     ~    |    1|  320.852   pc  |  -2.6869     +2.6869  |paral   |2020yCat.1350....0G
3734|TYC 2944-1690-1                                                                                                                             |Star                                |07 14 31.5101717112 +39 11 51.414037764|178.5831206131022 +20.9493723180422|  5.477 -27.603   |10.32    |~                 |    ~     ~    |    1|  273.112   pc  |  -1.0741     +1.0741  |paral   |2020yCat.1350....0G
3735|TYC 2947-177-1                                                                                                                              |Star                                |07 08 36.5614444560 +40 34 31.378969524|176.8000600786813 +20.3158263796139| 10.481 -37.901   |10.89    |~                 |    ~     ~    |    1|  220.497   pc  |  -0.9092     +0.9092  |paral   |2020yCat.1350....0G
3736|TYC 2947-358-1                                                                                                                              |Star                                |07 09 28.0080380328 +40 16 12.520814952|177.1643719092845 +20.3716736297445|  -1.191 -5.480   |10.55    |~                 |    ~     ~    |    1|  847.170   pc  | -13.9951    +13.9951  |paral   |2020yCat.1350....0G
3737|TYC 2947-553-1                                                                                                                              |Star                                |07 07 47.8803047664 +40 55 18.090321168|176.3976886918635 +20.2822740670790|   -4.564 0.037   |9.68     |~                 |    ~     ~    |    1|  964.041   pc  | -16.2641    +16.2641  |paral   |2020yCat.1350....0G
3738|TYC 2947-577-1                                                                                                                              |Star                                |07 08 18.2367312144 +40 12 25.776007524|177.1511364154513 +20.1413237949936|   -5.271 1.769   |10.65    |~                 |    ~     ~    |    1| 1116.944   pc  | -20.0858    +20.0858  |paral   |2020yCat.1350....0G
3739|TYC 2947-732-1                                                                                                                              |Star                                |07 08 53.5054383624 +40 43 56.384180400|176.6599992010884 +20.4171170737751|  -1.073 -3.327   |10.33    |~                 |    ~     ~    |    1| 1525.088   pc  | -49.7741    +49.7741  |paral   |2020yCat.1350....0G
3740|TYC 2947-814-1                                                                                                                              |Star                                |07 08 53.5199960328 +39 40 44.155758864|177.7219946403129 +20.0752393797597|  4.900 -16.164   |10.44    |~                 |    ~     ~    |    1|  720.773   pc  |  -9.1954     +9.1954  |paral   |2020yCat.1350....0G
3741|TYC 2947-892-1                                                                                                                              |Star                                |07 08 37.7901813264 +40 49 30.190247940|176.5493071816199 +20.3999847864600|   -9.974 4.095   |10.54    |~                 |    ~     ~    |    1|  351.506   pc  |  -2.1746     +2.1746  |paral   |2020yCat.1350....0G
3742|TYC 2947-909-1                                                                                                                              |Star                                |07 09 56.1071530608 +39 43 06.451309056|177.7519457326555 +20.2778016056740|-38.956 -11.553   |9.87     |~                 |    ~     ~    |    1|  142.294   pc  |  -1.0266     +1.0266  |paral   |2020yCat.1350....0G
3743|TYC 2947-910-1                                                                                                                              |Spectroscopic Binary                |07 09 28.7351467080 +39 38 12.250252752|177.8038103596931 +20.1681881120569| -5.768 -16.263   |10.90    |~                 |    ~     ~    |    1|  325.860   pc  |  -1.5184     +1.5184  |paral   |2020yCat.1350....0G
3744|TYC 2947-957-1                                                                                                                              |Star                                |07 09 42.4211681352 +40 07 57.607317372|177.3189631051261 +20.3706742409874|   0.688 -4.201   |10.90    |~                 |    ~     ~    |    1|  966.464   pc  | -16.9063    +16.9063  |paral   |2020yCat.1350....0G
3745|TYC 2948-32-1                                                                                                                               |Star                                |07 11 20.9757160968 +40 16 41.899265688|177.2791189012982 +20.7144429140162|  10.318 -3.463   |10.50    |~                 |    ~     ~    |    1|  630.955   pc  |  -8.8379     +8.8379  |paral   |2020yCat.1350....0G
3746|TYC 2948-56-1                                                                                                                               |Star                                |07 11 40.6469316048 +40 15 28.967021568|177.3209367818029 +20.7672851534068|   -1.080 4.094   |10.65    |~                 |    ~     ~    |    1|  745.935   pc  |  -8.1237     +8.1237  |paral   |2020yCat.1350....0G
3747|TYC 2948-70-1                                                                                                                               |Star                                |07 13 52.5094715208 +40 14 19.657811112|177.4821607893124 +21.1591511662481| 15.399 -16.727   |10.93    |~                 |    ~     ~    |    1|  393.314   pc  |  -3.4342     +3.4342  |paral   |2020yCat.1350....0G
3748|TYC 2948-137-1                                                                                                                              |Star                                |07 13 07.2424099800 +40 38 56.181335820|177.0163031540707 +21.1510166317629|-27.174 -10.732   |10.49    |~                 |    ~     ~    |    1|  193.547   pc  |  -0.6069     +0.6069  |paral   |2020yCat.1350....0G
3749|TYC 2948-271-1                                                                                                                              |Star                                |07 14 44.1789102696 +40 00 19.505258388|177.7751420791415 +21.2425410735332|    4.862 1.890   |10.20    |~                 |    ~     ~    |    1|  940.557   pc  | -13.4466    +13.4466  |paral   |2020yCat.1350....0G
3750|TYC 2948-352-1                                                                                                                              |Star                                |07 11 24.4992988488 +40 35 53.608921872|176.9584631629321 +20.8266206483044|  -3.475 -7.609   |10.78    |~                 |    ~     ~    |    1|   78.2466  pc  |  -6.7189     +6.7189  |paral   |2018yCat.1345....0G
3751|TYC 2948-369-1                                                                                                                              |Star                                |07 14 17.8523206512 +40 23 03.482092860|177.3608196869051 +21.2810568894840|   1.982 -2.582   |9.73     |~                 |    ~     ~    |    1|  617.132   pc  |  -7.7694     +7.7694  |paral   |2020yCat.1350....0G
3752|TYC 2948-436-1                                                                                                                              |Star                                |07 13 17.2208526432 +39 57 11.593172124|177.7347366310516 +20.9625621391350|   1.120 -3.180   |10.59    |~                 |    ~     ~    |    1|  593.437   pc  |  -6.6207     +6.6207  |paral   |2020yCat.1350....0G
3753|TYC 2948-449-1                                                                                                                              |Star                                |07 13 50.3849418864 +40 34 09.422370912|177.1431044212424 +21.2558655852382|  3.432 -22.721   |10.26    |~                 |    ~     ~    |    1|  288.068   pc  |  -1.7924     +1.7924  |paral   |2020yCat.1350....0G
3754|TYC 2948-460-1                                                                                                                              |High Proper Motion Star             |07 14 19.0101067464 +40 18 04.442910372|177.4467557305239 +21.2586876158031| -0.502 -51.920   |10.19    |~                 |    ~     ~    |    1|  223.749   pc  |  -0.7860     +0.7860  |paral   |2020yCat.1350....0G
3755|TYC 2948-473-1                                                                                                                              |Star                                |07 14 49.1487841320 +39 38 29.584217688|178.1510817860456 +21.1435858314553| -3.065 -17.547   |10.46    |~                 |    ~     ~    |    1|  234.802   pc  |  -1.1523     +1.1523  |paral   |2020yCat.1350....0G
3756|TYC 2948-505-1                                                                                                                              |Star                                |07 10 13.0930151016 +40 11 20.224288320|177.2957133822588 +20.4812737259051| -1.526 -14.420   |9.83     |~                 |    ~     ~    |    1|  704.077   pc  |  -7.7829     +7.7829  |paral   |2020yCat.1350....0G
3757|TYC 2948-557-1                                                                                                                              |Star                                |07 14 35.7647820984 +39 59 14.750074320|177.7844628569798 +21.2114055797016| -4.388 -10.786   |10.65    |~                 |    ~     ~    |    1|  388.093   pc  |  -3.6299     +3.6299  |paral   |2020yCat.1350....0G
3758|TYC 2948-745-1                                                                                                                              |Star                                |07 14 04.7794446576 +40 28 02.875632636|177.2621581721184 +21.2675238501430| -3.194 -14.835   |10.85    |~                 |    ~     ~    |    1|  563.253   pc  |  -6.1230     +6.1230  |paral   |2020yCat.1350....0G
3759|TYC 2948-812-1                                                                                                                              |Star                                |07 10 54.1911606144 +39 43 56.212411080|177.8023079125889 +20.4583831601324|  -1.264 -1.111   |10.88    |~                 |    ~     ~    |    1| 1920.861   pc  | -68.2595    +68.2595  |paral   |2020yCat.1350....0G
3760|TYC 2948-926-1                                                                                                                              |Star                                |07 12 46.2003984936 +39 56 23.669358576|177.7146605237932 +20.8643563703398|   1.186 -2.019   |10.63    |~                 |    ~     ~    |    1|  301.614   pc  |  -1.3100     +1.3100  |paral   |2020yCat.1350....0G
3761|TYC 2948-1073-1                                                                                                                             |Star                                |07 13 33.5076025368 +40 17 58.320300408|177.4000305884496 +21.1208000079200|   0.611 -8.045   |10.57    |~                 |    ~     ~    |    1| 1190.193   pc  | -27.9062    +27.9062  |paral   |2020yCat.1350....0G
3762|TYC 2948-1175-1                                                                                                                             |Star                                |07 10 50.3184584232 +39 28 27.607141272|178.0584328579938 +20.3631501797330|-11.312 -15.130   |10.86    |~                 |    ~     ~    |    1|  380.909   pc  |  -2.4811     +2.4811  |paral   |2020yCat.1350....0G
3763|TYC 2948-1182-1                                                                                                                             |Star                                |07 13 46.5441848688 +40 09 27.233675028|177.5584852863420 +21.1156694835716|-36.807 -19.188   |10.63    |~                 |    ~     ~    |    1|  255.807   pc  |  -1.1844     +1.1844  |paral   |2020yCat.1350....0G
3764|TYC 2948-1195-1                                                                                                                             |Star                                |07 12 35.2301666520 +39 32 01.231022580|178.1145216438889 +20.7015604193941|  -0.718 -4.735   |10.04    |~                 |    ~     ~    |    1| 1381.979   pc  | -46.6007    +46.6007  |paral   |2020yCat.1350....0G
3765|TYC 2446-1385-1                                                                                                                             |Star                                |07 09 00.5308506144 +35 20 48.729513624|182.0494548614809 +18.6265859085767|  4.190 -28.261   |10.36    |~                 |    ~     ~    |    1|  212.585   pc  |  -0.7095     +0.7095  |paral   |2020yCat.1350....0G
3766|HD 54823                                                                                                                                    |High Proper Motion Star             |07 11 52.0243551264 +35 14 26.064113280|182.3694718064874 +19.1362517327450| -6.467 -58.136   |8.99     |G5                |    ~     ~    |    1|   82.286   pc  |  -0.1977     +0.1977  |paral   |2020yCat.1350....0G
3767|BD+38 1694                                                                                                                                  |Star                                |07 09 14.5364008320 +37 56 33.085609836|179.4870698450808 +19.5629185864729|  -1.958 -6.872   |10.23    |B8V               |    ~     ~    |    1|  516.182   pc  | -16.4396    +16.4396  |paral   |2020yCat.1350....0G
3768|BD+38 1700                                                                                                                                  |Star                                |07 10 15.3661171968 +37 56 34.882734444|179.5577757613663 +19.7513853545577|  -1.625 -1.920   |9.25     |K0                |    ~     ~    |    1|  688.326   pc  |  -8.0071     +8.0071  |paral   |2020yCat.1350....0G
3769|HD 53925                                                                                                                                    |Star                                |07 08 36.2421702192 +37 26 42.349724304|179.9380181835225 +19.2756914527438| -6.594 -14.371   |6.185    |K1III             |    ~     ~    |    1|  251.496   pc  |  -2.2011     +2.2011  |paral   |2020yCat.1350....0G
3770|HD 54452                                                                                                                                    |Star                                |07 10 32.5795523160 +37 23 18.186915480|180.1329094579660 +19.6187176772133| 20.665 -26.539   |9.15     |G5                |    ~     ~    |    1|  194.746   pc  |  -0.8192     +0.8192  |paral   |2020yCat.1350....0G
3771|BD+36 1568                                                                                                                                  |Red Giant Branch star               |07 08 17.3114314440 +36 17 04.849505808|181.0677334859298 +18.8171955311075|   2.130 -3.763   |10.61    |K2                |    ~     ~    |    1| 1442.793   pc  | -41.8412    +41.8412  |paral   |2020yCat.1350....0G
3772|HD 54159                                                                                                                                    |Eclipsing Binary                    |07 09 25.7192553768 +36 33 47.685761496|180.8751137644123 +19.1286752887711|  0.346 -15.775   |6.78     |A0                |    ~     ~    |    1|  305.213   pc  |  -5.3471     +5.3471  |paral   |2020yCat.1350....0G
3773|HD 54453                                                                                                                                    |Star                                |07 10 36.0366275256 +36 34 01.288652232|180.9567032347945 +19.3510649227673| -8.817 -24.334   |9.94     |F8                |    ~     ~    |    1|  313.509   pc  |  -1.6807     +1.6807  |paral   |2020yCat.1350....0G
3774|HD 54482                                                                                                                                    |High Proper Motion Star             |07 10 34.9795023936 +36 03 19.333949436|181.4646046989276 +19.1724268155243|  8.551 -61.669   |8.92     |G5                |    ~     ~    |    1|  231.455   pc  |  -0.9054     +0.9054  |paral   |2020yCat.1350....0G
3775|HD 53816                                                                                                                                    |Double or Multiple Star             |07 08 02.7240466682 +35 51 41.609195125|181.4683433247913 +18.6235731115053|-47.087 -63.870   |8.560    |F8                |0.0033  0.0    |    1|   93.7128  pc  |  -7.4832     +7.4832  |paral   |2018yCat.1345....0G
3776|BD+36 1569B                                                                                                                                 |Star                                |07 08 50.1680036976 +35 54 04.905991008|181.4880210611729 +18.7875583200580|   0.315 -5.868   |10.67    |A0                |    ~     ~    |    1|  862.366   pc  | -21.1948    +21.1948  |paral   |2020yCat.1350....0G
3777|HD 54014                                                                                                                                    |Star                                |07 08 49.9272997272 +35 53 55.685953032|181.4902579324314 +18.7859046228417|   0.164 -5.712   |9.29     |A0                |    ~     ~    |    1|  838.153   pc  | -17.8435    +17.8435  |paral   |2020yCat.1350....0G
3778|HD 54320                                                                                                                                    |Star                                |07 09 58.3382389584 +35 51 10.375972020|181.6205577627086 +18.9865440866599|  -0.584 -9.698   |8.94     |K0                |    ~     ~    |    1|  700.869   pc  |  -9.9226     +9.9226  |paral   |2020yCat.1350....0G
3779|HD 53959                                                                                                                                    |Star                                |07 08 32.3800268760 +35 23 01.424354928|181.9775985387600 +18.5499752601522|   0.821 -4.426   |9.94     |F                 |    ~     ~    |    1|  778.877   pc  | -12.8610    +12.8610  |paral   |2020yCat.1350....0G
3780|HD 54349                                                                                                                                    |Star                                |07 10 03.6495855936 +35 26 37.196655720|182.0328304294896 +18.8612844428339|   3.956 -8.423   |9.32     |K0                |    ~     ~    |    1|  546.866   pc  |  -4.4261     +4.4261  |paral   |2020yCat.1350....0G
3781|HD 54533                                                                                                                                    |Star                                |07 10 50.3748125808 +36 32 38.045023512|180.9970928659169 +19.3882918109910| -4.351 -10.830   |9.43     |K                 |    ~     ~    |    1|  442.204   pc  |  -3.1092     +3.1092  |paral   |2020yCat.1350....0G
3782|BD+38 1713                                                                                                                                  |Star                                |07 14 07.8338319624 +37 46 15.851536752|179.9998698557209 +20.4162383077854|   0.174 -3.389   |10.02    |G0                |    ~     ~    |    1| 1616.031   pc  | -38.9122    +38.9122  |paral   |2020yCat.1350....0G
3783|HD 54560                                                                                                                                    |Star                                |07 11 00.9276074328 +37 17 46.686872364|180.2585434581961 +19.6761472424096| 12.104 -15.457   |8.21     |K0                |    ~     ~    |    1|  303.933   pc  |  -2.3186     +2.3186  |paral   |2020yCat.1350....0G
3784|BD+37 1672                                                                                                                                  |Star                                |07 11 07.7585585712 +36 50 11.053509072|180.7262447212949 +19.5423004622443| -1.257 -11.718   |9.66     |K0                |    ~     ~    |    1|  537.086   pc  |  -4.1538     +4.1538  |paral   |2020yCat.1350....0G
3785|BD+37 1673                                                                                                                                  |Star                                |07 11 33.6289958688 +37 39 49.065440652|179.9291591519914 +19.9010079072366|  2.375 -34.008   |9.82     |F2                |    ~     ~    |    1|  225.759   pc  |  -2.1610     +2.1610  |paral   |2020yCat.1350....0G
3786|BD+37 1678                                                                                                                                  |Star                                |07 13 07.7752989552 +37 37 17.271780672|180.0811509883207 +20.1800653571803|  -1.349 27.782   |9.78     |F2                |    ~     ~    |    1|  177.117   pc  |  -0.4706     +0.4706  |paral   |2020yCat.1350....0G
3787|HD 55332                                                                                                                                    |Star                                |07 14 08.3729216424 +37 01 44.745921264|180.7474791620856 +20.1736432444963| 21.738 -14.853   |9.46     |K0                |    ~     ~    |    1|  529.914   pc  |  -4.2402     +4.2402  |paral   |2020yCat.1350....0G
3788|BD+37 1682                                                                                                                                  |High Proper Motion Star             |07 14 27.5717272920 +37 20 12.666790572|180.4602576313389 +20.3354035041717|  48.986 18.045   |10.53    |K0                |    ~     ~    |    1|  131.815   pc  |  -0.2867     +0.2867  |paral   |2020yCat.1350....0G
3789|BD+37 1684                                                                                                                                  |Star                                |07 14 57.7755890880 +37 17 26.131634376|180.5419427229956 +20.4147424277724|  -3.447 -0.638   |9.91     |K2                |    ~     ~    |    1| 1250.156   pc  | -25.0063    +25.0063  |paral   |2020yCat.1350....0G
3790|HD 54532                                                                                                                                    |Star                                |07 10 52.3611427296 +36 36 24.818907240|180.9367024168240 +19.4159995664308|  0.464 -15.646   |8.85     |K0                |    ~     ~    |    1|  650.872   pc  |  -8.5151     +8.5151  |paral   |2020yCat.1350....0G
3791|BD+36 1580                                                                                                                                  |Star                                |07 11 22.4178070080 +35 55 21.700440084|181.6547565295589 +19.2770392511746|   0.140 -4.307   |9.97     |K2                |    ~     ~    |    1| 1472.754   pc  | -34.9210    +34.9210  |paral   |2020yCat.1350....0G
3792|HD 54896                                                                                                                                    |Eclipsing Binary                    |07 12 18.5350432200 +36 07 37.562398284|181.5195804801623 +19.5246003845042|-16.810 -14.009   |7.78     |A2                |    ~     ~    |    1|  115.500   pc  |  -4.2075     +4.2075  |paral   |2020yCat.1350....0G
3793|HD 54984                                                                                                                                    |Star                                |07 12 44.7914856240 +36 39 58.338425664|181.0124757145417 +19.7898044421708|   19.249 6.142   |8.97     |K0                |    ~     ~    |    1|  357.334   pc  |  -2.4133     +2.4133  |paral   |2020yCat.1350....0G
3794|HD 55050                                                                                                                                    |Star                                |07 13 01.2467558184 +36 26 15.917639496|181.2607801348502 +19.7647649160255|  4.858 -20.710   |9.25     |K0                |    ~     ~    |    1|  633.874   pc  | -17.0362    +17.0362  |paral   |2020yCat.1350....0G
3795|HD 55382                                                                                                                                    |High Proper Motion Star             |07 14 14.9855290992 +36 02 43.902184416|181.7420499821535 +19.8659732791886|  11.784 51.707   |9.61     |G5                |    ~     ~    |    1|  172.709   pc  |  -1.6853     +1.6853  |paral   |2020yCat.1350....0G
3796|HD 54651                                                                                                                                    |Star                                |07 11 17.1496539600 +35 38 08.234371716|181.9337336325285 +19.1615661095235|  5.751 -27.526   |9.27     |K0                |    ~     ~    |    1|  328.235   pc  |  -2.2840     +2.2840  |paral   |2020yCat.1350....0G
3797|HD 55179                                                                                                                                    |Star                                |07 13 27.4262928816 +35 41 19.715220960|182.0409059143169 +19.5941269234911|-20.651 -41.343   |8.75     |F2                |    ~     ~    |    1|  144.915   pc  |  -0.4011     +0.4011  |paral   |2020yCat.1350....0G
3798|HD 55354                                                                                                                                    |Star                                |07 14 08.7571304736 +35 32 51.263570184|182.2324612680881 +19.6777698197015|  25.096 18.310   |7.72     |K0                |    ~     ~    |    1|   89.713   pc  |  -0.1835     +0.1835  |paral   |2020yCat.1350....0G
3799|BD+35 1580                                                                                                                                  |Star                                |07 14 35.0239350936 +35 17 38.930329896|182.5177736902926 +19.6755022095130|    4.112 6.085   |10.29    |F8                |    ~     ~    |    1|  336.236   pc  |  -2.1593     +2.1593  |paral   |2020yCat.1350....0G
3800|IRAS 07099+3537                                                                                                                             |Star                                |07 13 16.4179210944 +35 32 33.780664176|182.1731691283264 +19.5092788518012|  -1.655 -4.528   |9.90     |~                 |    ~     ~    |    1| 1902.588   pc  | -68.0530    +68.0530  |paral   |2020yCat.1350....0G
3801|TYC 2446-20-1                                                                                                                               |Star                                |07 10 55.6592758080 +35 26 36.664407132|182.0978293501024 +19.0267829515863|  -3.139 -5.798   |9.83     |~                 |    ~     ~    |    1|  744.491   pc  | -10.9745    +10.9745  |paral   |2020yCat.1350....0G
3802|TYC 2446-104-1                                                                                                                              |Star                                |07 09 01.9086653928 +35 24 37.381777200|181.9884135810569 +18.6532430930758|   0.324 -2.601   |9.84     |~                 |    ~     ~    |    1| 2093.364   pc  | -56.9682    +56.9682  |paral   |2020yCat.1350....0G
3803|TYC 2446-260-1                                                                                                                              |Star                                |07 08 08.4837990288 +35 26 25.596799008|181.8914983947435 +18.4939714779802|  7.929 -31.531   |10.29    |~                 |    ~     ~    |    1|  776.277   pc  |  -8.9186     +8.9186  |paral   |2020yCat.1350....0G
3804|TYC 2446-524-1                                                                                                                              |Star                                |07 09 05.4933742224 +35 30 38.683724112|181.8936782300445 +18.6997833090125| -12.436 -4.934   |10.20    |~                 |    ~     ~    |    1|  348.724   pc  |  -1.8363     +1.8363  |paral   |2020yCat.1350....0G
3805|TYC 2446-1241-1                                                                                                                             |Star                                |07 10 29.5472511504 +35 34 40.715623344|181.9319621223491 +18.9903217633260|  -1.960 -8.741   |10.47    |~                 |    ~     ~    |    1|  390.686   pc  |  -2.6711     +2.6711  |paral   |2020yCat.1350....0G
3806|2MASS J07095513+3714394                                                                                                                     |Red Giant Branch star               |07 09 55.1441919096 +37 14 39.459720300|180.2323309458658 +19.4532739063577| -1.823 -20.310   |10.09    |~                 |    ~     ~    |    1|  772.857   pc  | -10.9905    +10.9905  |paral   |2020yCat.1350....0G
3807|TYC 2450-152-1                                                                                                                              |Star                                |07 11 19.8056516160 +36 19 35.470955172|181.2494091396441 +19.4069225091475|  -5.834 -5.909   |10.08    |~                 |    ~     ~    |    1|  211.291   pc  |  -0.7322     +0.7322  |paral   |2020yCat.1350....0G
3808|TYC 2450-336-1                                                                                                                              |Star                                |07 09 20.8238756472 +36 21 06.900429132|181.0790856528950 +19.0405139184220| 18.772 -14.976   |9.85     |~                 |    ~     ~    |    1|  225.109   pc  |  -0.9527     +0.9527  |paral   |2020yCat.1350....0G
3809|TYC 2450-373-1                                                                                                                              |Star                                |07 10 30.0415627968 +37 03 37.876048092|180.4573803109977 +19.5000396690584|   0.996 -3.139   |10.14    |~                 |    ~     ~    |    1|  877.886   pc  | -36.9928    +36.9928  |paral   |2020yCat.1350....0G
3810|2MASS J07101006+3632283                                                                                                                     |Red Giant Branch star               |07 10 10.0702999104 +36 32 28.234489056|180.9509725537390 +19.2605530897181|  -3.637 -5.772   |10.00    |~                 |    ~     ~    |    1| 1126.761   pc  | -25.3918    +25.3918  |paral   |2020yCat.1350....0G
3811|TYC 2450-433-1                                                                                                                              |Star                                |07 07 32.7852288000 +37 01 48.998834112|180.2740373998606 +18.9357310623126|   2.097 -2.560   |10.35    |~                 |    ~     ~    |    1|  835.981   pc  | -10.2034    +10.2034  |paral   |2020yCat.1350....0G
3812|2MASS J07081248+3656395                                                                                                                     |Red Giant Branch star               |07 08 12.4848490992 +36 56 39.583982148|180.4075110420129 +19.0301498474548|   3.413 -2.511   |10.54    |~                 |    ~     ~    |    1| 1383.509   pc  | -31.3912    +31.3912  |paral   |2020yCat.1350....0G
3813|TYC 2450-629-1                                                                                                                              |Star                                |07 07 47.4531754128 +37 00 38.777858028|180.3111887750584 +18.9748078172316|   2.691 -7.827   |10.99    |~                 |    ~     ~    |    1|  616.713   pc  | -29.6661    +29.6661  |paral   |2020yCat.1350....0G
3814|TYC 2450-707-1                                                                                                                              |Star                                |07 11 46.8670401960 +37 03 19.187095608|180.5540774755355 +19.7387593828901|      -13.6 3.3   |10.39    |~                 |    ~     ~    |    0|                |                       |        |                   
3815|TYC 2450-708-1                                                                                                                              |Star                                |07 11 33.7256492112 +36 36 20.406045564|180.9877854943275 +19.5457093361569|  -3.222 -2.641   |10.93    |~                 |    ~     ~    |    1| 1346.257   pc  | -55.2785    +55.2785  |paral   |2020yCat.1350....0G
3816|TYC 2450-720-1                                                                                                                              |Star                                |07 10 38.1201725328 +36 30 55.347715296|181.0106799717100 +19.3399912919212| -1.016 -25.026   |10.86    |~                 |    ~     ~    |    1|  467.486   pc  | -12.4570    +12.4570  |paral   |2020yCat.1350....0G
3817|TYC 2450-938-1                                                                                                                              |Star                                |07 09 49.2607428864 +36 42 50.973445800|180.7535765152593 +19.2543523800276|  -0.134 -3.222   |10.65    |~                 |    ~     ~    |    1|  967.492   pc  | -15.2575    +15.2575  |paral   |2020yCat.1350....0G
3818|TYC 2450-948-1                                                                                                                              |Star                                |07 11 42.0611776704 +35 49 19.048063980|181.7791155949461 +19.3047761187369|  36.195 19.910   |10.80    |~                 |    ~     ~    |    1|  116.371   pc  |  -0.1950     +0.1950  |paral   |2020yCat.1350....0G
3819|TYC 2450-956-1                                                                                                                              |Horizontal Branch Star              |07 10 10.9550008344 +36 27 59.538222936|181.0263252557313 +19.2377784024145|  -5.468 -8.364   |10.41    |~                 |    ~     ~    |    1|  713.470   pc  | -10.5880    +10.5880  |paral   |2020yCat.1350....0G
3820|TYC 2450-961-1                                                                                                                              |Star                                |07 08 20.1790047936 +37 02 30.040424988|180.3201044284334 +19.0876581370876|-11.149 -15.216   |10.82    |~                 |    ~     ~    |    1|  332.369   pc  |  -2.2094     +2.2094  |paral   |2020yCat.1350....0G
3821|TYC 2450-997-1                                                                                                                              |Star                                |07 08 06.0907275864 +37 03 23.751012780|180.2882494280681 +19.0487849302474|    0.706 5.154   |10.09    |~                 |    ~     ~    |    1|  873.744   pc  | -12.9019    +12.9019  |paral   |2020yCat.1350....0G
3822|TYC 2450-1000-1                                                                                                                             |Star                                |07 11 09.1715189976 +35 56 23.430736428|181.6214442896340 +19.2409514993524|   -4.144 2.088   |9.88     |~                 |    ~     ~    |    1| 1059.883   pc  | -16.5133    +16.5133  |paral   |2020yCat.1350....0G
3823|TYC 2450-1042-1                                                                                                                             |Star                                |07 09 03.0876061608 +36 35 46.828080744|180.8146656046134 +19.0689536817822| -9.291 -24.781   |10.42    |~                 |    ~     ~    |    1|  156.348   pc  |  -0.3911     +0.3911  |paral   |2020yCat.1350....0G
3824|TYC 2450-1083-1                                                                                                                             |Star                                |07 08 07.5618949704 +36 56 34.401434532|180.4029716146672 +19.0142621679815|-15.820 -22.280   |10.38    |~                 |    ~     ~    |    1|  248.868   pc  |  -4.6204     +4.6204  |paral   |2020yCat.1350....0G
3825|TYC 2450-1091-1                                                                                                                             |Star                                |07 09 14.2144339440 +36 50 21.597648864|180.5866219771934 +19.1873008497302| -3.120 -18.181   |10.69    |~                 |    ~     ~    |    1|  873.744   pc  | -12.6729    +12.6729  |paral   |2020yCat.1350....0G
3826|TYC 2450-1135-1                                                                                                                             |Star                                |07 09 27.9227210280 +36 59 20.856624936|180.4540720207226 +19.2814342388928|  -3.548 -9.515   |10.82    |~                 |    ~     ~    |    1|  310.810   pc  |  -1.7292     +1.7292  |paral   |2020yCat.1350....0G
3827|TYC 2450-1143-1                                                                                                                             |Star                                |07 07 35.6505637104 +37 04 12.006189048|180.2380892489530 +18.9583757077868|   3.336 -3.179   |10.41    |~                 |    ~     ~    |    1|  393.066   pc  |  -2.9201     +2.9201  |paral   |2020yCat.1350....0G
