C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
32  |BD+83 169                                                                                                                                   |Star                                |07 02 04.7104368696 +83 14 42.463530132|130.5256498928503 +27.2373132280248|    2.786 8.523   |10.47    |F2                |    ~     ~    |    1|  175.122   pc  |  -1.6101     +1.6101  |paral   |2020yCat.1350....0G
33  |BD+83 170                                                                                                                                   |Star                                |07 04 13.2568138296 +83 23 11.177210616|130.3673056340185 +27.3009134738166|  -8.583 13.034   |9.25     |F8                |    ~     ~    |    1|  150.478   pc  |  -1.0439     +1.0439  |paral   |2020yCat.1350....0G
34  |BD+83 171                                                                                                                                   |Star                                |07 03 55.2174990960 +83 13 38.720978220|130.5461950653774 +27.2913573643817| -4.347 -41.360   |10.78    |G2V               |    ~     ~    |    1|  237.857   pc  |  -0.6223     +0.6223  |paral   |2020yCat.1350....0G
35  |BD+83 173                                                                                                                                   |Star                                |07 04 44.8378446480 +82 50 30.800073048|130.9802325317149 +27.3139935775306| -2.129 -22.528   |10.26    |A2                |    ~     ~    |    1|  333.489   pc  |  -1.5459     +1.5459  |paral   |2020yCat.1350....0G
36  |BD+83 174                                                                                                                                   |Star                                |07 07 52.7561783328 +83 10 41.423283732|130.6013787977574 +27.4085950620917|  -4.721 13.477   |10.40    |F2                |    ~     ~    |    1|  299.061   pc  |  -6.9940     +6.9940  |paral   |2020yCat.1350....0G
37  |BD+83 175                                                                                                                                   |Star                                |07 09 18.8895662520 +83 06 37.852056504|130.6769665039542 +27.4523206185585|  -3.702 -4.072   |10.17    |K0                |    ~     ~    |    1| 1314.924   pc  | -20.0567    +20.0567  |paral   |2020yCat.1350....0G
38  |BD+83 176                                                                                                                                   |Star                                |07 09 58.8822285000 +83 15 56.549540772|130.5016918275173 +27.4692734276682|   4.630 -0.338   |10.28    |F8                |    ~     ~    |    1|  403.698   pc  |  -6.4700     +6.4700  |paral   |2020yCat.1350....0G
39  |HD 50338                                                                                                                                    |Star                                |07 10 36.8052094872 +83 00 53.221703580|130.7840361915322 +27.4932810644208|   9.219 10.750   |8.86     |K0                |    ~     ~    |    1|  352.299   pc  |  -1.7004     +1.7004  |paral   |2020yCat.1350....0G
40  |HD 50969                                                                                                                                    |Star                                |07 13 10.3508278944 +82 59 37.122444924|130.8055669613582 +27.5717291103111|   2.177 -3.266   |8.03     |K0                |    ~     ~    |    1|  373.246   pc  |  -2.6887     +2.6887  |paral   |2020yCat.1350....0G
41  |BD+82 186                                                                                                                                   |Star                                |07 00 03.6487489200 +82 31 14.112695892|131.3385311526882 +27.1590365182879|  24.475 28.303   |10.65    |F8                |    ~     ~    |    1|  234.379   pc  |  -0.7251     +0.7251  |paral   |2020yCat.1350....0G
42  |BD+82 187                                                                                                                                   |Star                                |07 01 52.8746990040 +82 39 59.650417116|131.1761013466767 +27.2213081834310|  -2.559 -5.082   |10.05    |A5                |    ~     ~    |    1|  290.715   pc  |  -1.0818     +1.0818  |paral   |2020yCat.1350....0G
43  |HD 48745                                                                                                                                    |Star                                |07 01 00.8291060088 +82 15 31.589974692|131.6337097535153 +27.1831095197817|  -4.441 -1.251   |8.37     |K2                |    ~     ~    |    1|  508.104   pc  |  -4.6987     +4.6987  |paral   |2020yCat.1350....0G
44  |HD 49173                                                                                                                                    |Star                                |07 04 02.3403308040 +82 36 23.714069976|131.2447978170631 +27.2894850201930| -4.162 -12.952   |8.97     |A2                |    ~     ~    |    1|  318.806   pc  |  -1.7482     +1.7482  |paral   |2020yCat.1350....0G
45  |BD+82 190                                                                                                                                   |Star                                |07 04 58.0864944672 +82 14 55.831023312|131.6477499589120 +27.3161380977945|    -12.4 -24.8   |9.72     |F5                |    ~     ~    |    0|                |                       |        |                   
46  |BD+82 192                                                                                                                                   |Star                                |07 14 20.7749430672 +82 36 32.911317360|131.2378553959866 +27.6209412724048|  38.191 16.605   |10.91    |G5                |    ~     ~    |    1|  105.520   pc  |  -0.1203     +0.1203  |paral   |2020yCat.1350....0G
47  |BD+82 193                                                                                                                                   |Star                                |07 14 36.7780438416 +82 36 14.928496560|131.2431632312042 +27.6296853728742|  38.468 17.038   |10.86    |G5                |    ~     ~    |    1|  105.434   pc  |  -0.1301     +0.1301  |paral   |2020yCat.1350....0G
48  |HD 49967                                                                                                                                    |Star                                |07 06 18.1968044400 +81 52 18.677743644|132.0726041629217 +27.3586717811530| -5.932 -14.855   |8.61     |K2                |    ~     ~    |    1|  649.098   pc  |  -8.7636     +8.7636  |paral   |2020yCat.1350....0G
49  |BD+81 229                                                                                                                                   |Star                                |07 07 45.1199999160 +81 45 03.241526364|132.2091518270934 +27.4095663120909| -10.732 -3.408   |9.52     |F2                |    ~     ~    |    1|  248.398   pc  |  -0.9008     +0.9008  |paral   |2020yCat.1350....0G
50  |HD 51184                                                                                                                                    |Star                                |07 11 02.5327170216 +81 34 57.928027656|132.3982229742401 +27.5293165418441|   2.030 19.584   |8.64     |K2                |    ~     ~    |    1|  893.975   pc  | -15.1047    +15.1047  |paral   |2020yCat.1350....0G
51  |BD+81 234                                                                                                                                   |Star                                |07 10 55.7488983576 +81 21 54.013130820|132.6438086843967 +27.5269371390722|  -0.294 -1.195   |9.35     |K2                |    ~     ~    |    1|  703.037   pc  |  -5.7334     +5.7334  |paral   |2020yCat.1350....0G
52  |BD+81 235                                                                                                                                   |Star                                |07 14 20.1023174856 +81 19 11.384416992|132.6927155406542 +27.6557371830807|  -2.184 -3.087   |9.53     |K2                |    ~     ~    |    1|  597.693   pc  |  -5.2514     +5.2514  |paral   |2020yCat.1350....0G
53  |TYC 4538-370-1                                                                                                                              |Star                                |07 06 23.5790872896 +81 47 13.890135012|132.1679579072678 +27.3611409327493|   -1.881 0.398   |10.73    |~                 |    ~     ~    |    1|  536.366   pc  |  -4.0564     +4.0564  |paral   |2020yCat.1350....0G
54  |TYC 4538-1214-1                                                                                                                             |Star                                |07 10 05.0603441208 +81 45 41.763296736|132.1969096428910 +27.4931502932929|  -2.855 -1.719   |10.64    |~                 |    ~     ~    |    1| 1004.924   pc  | -14.9461    +14.9461  |paral   |2020yCat.1350....0G
55  |TYC 4618-467-1                                                                                                                              |Spectroscopic Binary                |07 07 14.3584509384 +82 41 58.976746728|131.1404339112447 +27.3921758535180|   3.340 -3.055   |10.92    |~                 |    ~     ~    |    1| 1003.210   pc  | -27.5762    +27.5762  |paral   |2020yCat.1350....0G
56  |TYC 4618-650-1                                                                                                                              |Star                                |07 13 45.0866616168 +83 00 24.032960460|130.7902183173987 +27.5889284923664| -4.272 -13.190   |10.82    |~                 |    ~     ~    |    1|  321.657   pc  |  -1.8934     +1.8934  |paral   |2020yCat.1350....0G
57  |HD 49780                                                                                                                                    |Star                                |07 03 56.8297115496 +81 00 58.860431640|133.0335547891939 +27.2563171107370| -11.502 -7.241   |9.13     |G0                |    ~     ~    |    1|  347.524   pc  |  -1.4251     +1.4251  |paral   |2020yCat.1350....0G
58  |BD+81 230                                                                                                                                   |Star                                |07 06 05.3682153000 +80 51 35.155125144|133.2118277512638 +27.3371669059240|  -4.088 -3.110   |9.88     |K5                |    ~     ~    |    1|  819.739   pc  |  -8.3997     +8.3997  |paral   |2020yCat.1350....0G
59  |BD+81 232                                                                                                                                   |Spectroscopic Binary                |07 09 28.2120179328 +81 01 53.592393180|133.0198820448715 +27.4719343836179|  1.132 -14.383   |9.86     |F8                |    ~     ~    |    1|  217.576   pc  |  -0.9894     +0.9894  |paral   |2020yCat.1350....0G
60  |BD+80 222                                                                                                                                   |High Proper Motion Star             |07 00 15.3254546496 +80 42 20.832280380|133.3765866204928 +27.0988080791422|-26.864 -43.752   |9.51     |F5                |    ~     ~    |    1|  128.698   pc  |  -0.1872     +0.1872  |paral   |2020yCat.1350....0G
61  |BD+80 225                                                                                                                                   |Star                                |07 03 55.8343865112 +80 00 14.034583404|134.1717429840284 +27.2245205883077|  3.540 -18.953   |9.41     |F0                |    ~     ~    |    1|  355.631   pc  |  -1.8339     +1.8339  |paral   |2020yCat.1350....0G
62  |BD+80 224                                                                                                                                   |Star                                |07 01 27.4931396928 +79 49 56.906316588|134.3592261213939 +27.1093241507164|  1.685 -12.287   |9.99     |F8                |    ~     ~    |    1|  389.590   pc  |  -1.6999     +1.6999  |paral   |2020yCat.1350....0G
