C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
5316 |HD 345142                                                             |Star                           |19 50 30.5182136688 +21 39 17.652928860|058.8345351159972 -02.4405269982571|   0.498 -7.129  |8.98     |F2                     |    ~     ~    
5317 |HD 187712                                                             |Spectroscopic Binary           |19 50 41.5471909584 +22 06 46.380562704|059.2509764957315 -02.2444901613587| -5.391 -17.159  |7.33     |G5                     |    ~     ~    
5318 |HD 345143                                                             |Star                           |19 51 07.7263523232 +21 41 10.893765192|058.9349709775449 -02.5485974800749|-20.493 -29.004  |10.14    |K2                     |    ~     ~    
5319 |HD 345136                                                             |Star                           |19 51 46.8609056808 +21 43 43.280950260|059.0486862293341 -02.6574031477663|  -1.895 -7.674  |10.34    |B8                     |    ~     ~    
5320 |HD 188000                                                             |Spectroscopic Binary           |19 52 14.1681241728 +22 02 07.031651568|059.3665700725401 -02.5917420000017|   12.476 3.023  |8.47     |A2                     |    ~     ~    
5321 |HD 344955                                                             |Star                           |19 45 12.2717614680 +20 54 50.332568904|057.5710535691999 -01.7467370810539|  -8.698 -1.183  |8.30     |K0                     |    ~     ~    
5322 |HD 344955B                                                            |Star                           |19 45 11.8533616176 +20 54 49.439965464|057.5700240954842 -01.7454507732245|  -9.114 -0.405  |9.45     |~                      |    ~     ~    
5323 |HD 344956                                                             |Star                           |19 45 14.4142686144 +20 51 22.910777712|057.5253058145330 -01.7827708237302|   3.016 -2.765  |9.14     |A0                     |    ~     ~    
5324 |HD 186904                                                             |Star                           |19 46 19.4061659136 +20 55 34.958015796|057.7127132643795 -01.9666871535071| 11.949 -13.178  |8.57     |F0                     |    ~     ~    
5325 |HD 350473                                                             |Star                           |19 46 34.1002252848 +20 32 32.284642884|057.4089927532538 -02.2089048502357|  -1.788 -3.528  |10.96    |F2                     |    ~     ~    
5326 |HD 345061                                                             |Star                           |19 48 36.2070472176 +20 48 35.212533156|057.8800824204974 -02.4856293573950|   3.174 -0.172  |10.54    |A0                     |    ~     ~    
5327 |HD 345062                                                             |Star                           |19 48 39.6589742184 +20 48 23.373750240|057.8840343972670 -02.4988955286701| -11.116 -9.914  |9.76     |K0                     |    ~     ~    
5328 |HD 350604                                                             |Star                           |19 49 40.6477040544 +20 38 42.534043476|057.8649510809275 -02.7855269887341|   7.550 -7.877  |9.69     |F2                     |    ~     ~    
5329 |HD 350605                                                             |High Proper Motion Star        |19 49 49.1160565680 +20 36 58.759143012|057.8568004531957 -02.8285983119754|-35.500 -40.418  |8.93     |G5                     |    ~     ~    
5330 |HD 187690                                                             |Star                           |19 50 33.2456571768 +20 34 38.897583852|057.9106229297424 -02.9966614896850|    4.713 2.755  |8.21     |B9                     |    ~     ~    
5331 |HD 345153                                                             |Star                           |19 50 57.5563023168 +21 18 38.228717016|058.5910558977989 -02.7057796946218|  13.588 11.887  |9.41     |F8                     |    ~     ~    
5332 |HD 345152                                                             |Pulsating Variable             |19 51 17.3560136808 +21 18 43.907660748|058.6315555691392 -02.7711484552998|  -0.759 -3.965  |10.26    |B9                     |    ~     ~    
5333 |HD 350613                                                             |Star                           |19 51 24.6418668864 +20 25 31.632941964|057.8815166561585 -03.2466614984502|  -0.876 -4.574  |10.68    |B8                     |    ~     ~    
5334 |HD 187958                                                             |Star                           |19 51 58.1152894296 +20 55 03.868593132|058.3724278026076 -03.1083780772377|   7.022 -4.220  |7.81     |A0                     |    ~     ~    
5335 |BD+20 4267                                                            |S Star                         |19 45 50.8687559280 +20 36 07.641467964|057.3761956186340 -02.0329921865761|  -2.862 -6.486  |10.67    |Swk                    |    ~     ~    
5336 |HD 350347                                                             |Star                           |19 45 32.9220751776 +20 39 13.883027328|057.3859532577209 -01.9465109978563|-15.950 -43.408  |10.77    |F8                     |    ~     ~    
5337 |HD 345157                                                             |Pulsating Variable             |19 51 40.1122751952 +21 06 45.031821516|058.5045305129707 -02.9488937820857|   5.738 -2.689  |10.35    |F0                     |    ~     ~    
5338 |HD 345156                                                             |Star                           |19 51 01.1469262848 +21 03 58.238163108|058.3874151852687 -02.8420661504329|   3.408 -2.538  |10.90    |K                      |    ~     ~    
5339 |HD 345146                                                             |Hot Subdwarf Candidate         |19 51 13.2999920328 +21 27 26.681034060|058.7486837348310 -02.6837010758411|   1.554 -3.654  |10.20    |B8                     |    ~     ~    
5340 |HD 345140                                                             |Star                           |19 50 21.1570994640 +21 45 23.477107608|058.9037261029862 -02.3576991782925|    3.123 2.211  |10.90    |A2                     |    ~     ~    
5341 |HD 345138                                                             |Star                           |19 51 15.4476322008 +21 44 39.076855836|059.0000255641035 -02.5448889845621|  -5.075 -4.282  |10.73    |A0                     |    ~     ~    
5342 |HD 345135                                                             |Star                           |19 52 06.4687261152 +21 45 06.317497152|059.1073023986281 -02.7109076073577|  -4.100 -1.849  |10.26    |K5                     |    ~     ~    
5343 |HD 345131                                                             |Star                           |19 51 56.9414706888 +22 05 24.291505968|059.3797359514501 -02.5065682729037|  -0.975 -2.339  |10.98    |F2                     |    ~     ~    
5344 |HD 345128                                                             |Star                           |19 50 24.8490420048 +21 59 44.084498280|059.1170755376778 -02.2485759973646| -5.950 -12.289  |9.92     |K7                     |    ~     ~    
5345 |HD 345054                                                             |Star                           |19 48 55.6658330520 +21 15 55.144446264|058.3118371914105 -02.3208389926402| 10.396 -37.318  |10.98    |F8                     |    ~     ~    
5346 |HD 345047                                                             |Spectroscopic Binary           |19 47 18.7351784880 +21 18 28.434760236|058.1587085527534 -01.9744041374671|  1.627 -12.656  |10.64    |A2                     |    ~     ~    
5347 |HD 345040                                                             |Star                           |19 47 54.7365860208 +21 38 58.361502516|058.5243724302421 -01.9229103312314|   1.285 -0.244  |10.69    |B8                     |    ~     ~    
5348 |HD 345038                                                             |Star                           |19 47 43.5632711136 +21 41 39.679450800|058.5412745401241 -01.8629566541472|    9.179 1.498  |10.14    |K2                     |    ~     ~    
5349 |HD 345036                                                             |Star                           |19 49 17.9079438360 +21 50 47.434310880|058.8571823561861 -02.1011696070885|  19.656 -0.531  |10.58    |G0                     |    ~     ~    
5350 |HD 345032                                                             |Star                           |19 49 58.6412844336 +22 04 35.126735052|059.1353468685759 -02.1203245976491|   2.440 -8.963  |10.63    |G0                     |    ~     ~    
5351 |HD 345025                                                             |Star                           |19 47 34.3721744976 +22 00 59.882518188|058.8018605861789 -01.6698598790193|   1.091 -4.258  |10.89    |A7                     |    ~     ~    
5352 |HD 344958                                                             |Star                           |19 46 29.9466057360 +20 57 31.487024376|057.7613219481458 -01.9859272266041|  -0.747 -2.348  |10.72    |A3                     |    ~     ~    
5353 |HD 344954                                                             |Star                           |19 45 04.7493991224 +20 51 21.047698764|057.5060349193922 -01.7504382291684| -8.465 -11.820  |10.65    |F8                     |    ~     ~    
5354 |HD 344947                                                             |Star                           |19 46 29.1678163200 +21 10 27.853869432|057.9464344163313 -01.8750688508584|-35.942 -11.093  |10.85    |G0                     |    ~     ~    
5355 |HD 344945                                                             |Star                           |19 47 02.6657351208 +21 12 02.549402208|058.0346036362684 -01.9743826304273|   2.410 -2.401  |10.41    |A0                     |    ~     ~    
5356 |HD 344937                                                             |Star                           |19 46 15.4598087208 +21 32 04.551883548|058.2314239263486 -01.6482931497939|  -0.313 -1.600  |10.78    |A5                     |    ~     ~    
5357 |HD 344931                                                             |Star                           |19 46 22.7140720916 +21 41 57.868767297|058.3881401147062 -01.5898835324584|    3.966 8.341  |10.46    |A3                     |    ~     ~    
5358 |HD 344930                                                             |Star                           |19 46 00.4029521112 +21 40 11.491817988|058.3192129041608 -01.5299841410082| 24.162 -24.839  |10.89    |G5                     |    ~     ~    
5359 |HD 344928                                                             |Double or Multiple Star        |19 45 40.635552 +21 42 55.88712        |058.320369672 -01.440871858        |       0.0 -4.9  |10.177   |A3                     |    ~     ~    
5360 |HD 344918                                                             |Star                           |19 46 30.8284171896 +22 02 02.804305920|058.6934490819677 -01.4489455143545|   5.064 -4.726  |10.99    |F5                     |    ~     ~    
5361 |HD 344952                                                             |Star                           |19 45 17.1882469992 +21 06 10.124965152|057.7442142191794 -01.6688591687106|    6.994 2.866  |10.77    |K0                     |    ~     ~    
5362 |HD 350346                                                             |Star                           |19 45 41.1233703888 +20 41 30.292015236|057.4347873926017 -01.9552255208466|   7.566 -2.160  |10.43    |F8                     |    ~     ~    
5363 |HD 344949                                                             |Star                           |19 45 45.2065519920 +21 13 30.387897516|057.9046504627199 -01.7018895544825|  -0.852 -3.156  |10.77    |A0                     |    ~     ~    
5364 |HD 344948                                                             |Spectroscopic Binary           |19 45 49.0573750344 +21 11 28.438917180|057.8828166787307 -01.7318055012065|   34.275 8.171  |10.25    |G                      |    ~     ~    
5365 |HD 344944                                                             |Star                           |19 46 17.8413982224 +21 17 23.862428556|058.0243520856384 -01.7790284437871|   16.576 3.072  |10.43    |G5                     |    ~     ~    
5366 |HD 344959                                                             |Star                           |19 46 36.6198746928 +21 01 48.828725184|057.8362229172280 -01.9724972963708|   0.122 -5.399  |10.00    |A3                     |    ~     ~    
5367 |HD 344946                                                             |Star                           |19 46 59.5631063208 +21 05 34.627321212|057.9353306509270 -02.0181272329904| -2.447 -13.953  |9.97     |K0                     |    ~     ~    
5368 |HD 345048                                                             |Star                           |19 47 24.9269841072 +21 17 16.905348168|058.1536322791586 -02.0051748768337|  -1.127 -4.862  |10.63    |A0                     |    ~     ~    
5369 |HD 345060                                                             |Star                           |19 47 53.2269753312 +20 50 22.380681372|057.8213313417678 -02.3260731596704|    6.089 5.851  |9.738    |G0                     |    ~     ~    
5370 |HD 350477                                                             |Star                           |19 48 01.1713767816 +20 29 20.347642968|057.5338435490586 -02.5294301180289|   10.255 4.512  |10.11    |M                      |    ~     ~    
5371 |HD 345059                                                             |Star                           |19 48 28.1029261562 +20 54 12.454164780|057.9450886350341 -02.4111095282832| -4.527 -21.368  |10.88    |F8                     |    ~     ~    
5372 |HD 350479                                                             |Star                           |19 48 52.0588762608 +20 31 33.122185068|057.6659910450159 -02.6823125681936|   6.487 10.849  |10.70    |F2                     |    ~     ~    
5373 |HD 350478                                                             |Star                           |19 49 03.0011929584 +20 37 56.965507932|057.7796959762511 -02.6652918056007|-22.573 -30.870  |10.14    |G0                     |    ~     ~    
5374 |HD 345063                                                             |Star                           |19 49 07.2839690496 +20 48 05.013463644|057.9340380880119 -02.5943325755516|    8.682 3.893  |10.00    |A5                     |    ~     ~    
5375 |HD 345058                                                             |Star                           |19 49 10.5408244272 +21 01 34.033361628|058.1345330216340 -02.4916477458175|  -9.076 16.407  |9.99     |G5                     |    ~     ~    
5376 |HD 345056                                                             |Star                           |19 49 20.2974471072 +21 08 50.257435452|058.2583625826402 -02.4630718193579|  -0.730 -6.522  |10.22    |A0                     |    ~     ~    
5377 |HD 350603                                                             |Star                           |19 49 32.6477251608 +20 39 22.955471532|057.8588421969969 -02.7529424806564|   2.477 -7.614  |10.89    |A0                     |    ~     ~    
5378 |HD 350602                                                             |Star                           |19 49 50.5871923224 +20 41 27.497220864|057.9241560575457 -02.7957412746432|    0.767 1.227  |9.69     |K0                     |    ~     ~    
5379 |HD 345154                                                             |Star                           |19 50 12.5516079288 +21 19 06.534936372|058.5090175890074 -02.5513020309345|  -13.156 3.283  |10.47    |F2                     |    ~     ~    
5380 |HD 350608                                                             |Star                           |19 50 22.5190979400 +20 35 37.700410560|057.9034661406770 -02.9523182541525|-16.575 -13.467  |10.55    |F8                     |    ~     ~    
5381 |HD 350609                                                             |Star                           |19 50 43.3575594744 +20 34 41.728739448|057.9313473420339 -03.0302499510618|  -1.713 -4.737  |10.42    |B5                     |    ~     ~    
5382 |HD 345151                                                             |Star                           |19 51 53.2260354720 +21 14 51.881307684|058.6470420079380 -02.9238258404702| -0.092 -11.294  |10.93    |F2                     |    ~     ~    
5383 |HD 345158                                                             |Star                           |19 52 10.0151089008 +21 10 09.886151244|058.6128678218478 -03.0198693028572|  -5.491 -4.312  |10.57    |A0                     |    ~     ~    
5384 |HD 345159                                                             |Star                           |19 52 27.3936767160 +21 03 53.185219092|058.5572637417389 -03.1313555106335|    9.140 7.906  |10.10    |A3                     |    ~     ~    
5385 |HD 345160                                                             |Star                           |19 52 28.9489584624 +20 53 49.081352640|058.4158312718197 -03.2222068549984|   0.966 -6.937  |9.80     |K5                     |    ~     ~    
5386 |HD 344929                                                             |Star                           |19 45 41.7378365160 +21 44 59.295760116|058.3521846734208 -01.4273895554828| -6.868 -23.552  |10.75    |G                      |    ~     ~    
5387 |HD 344919                                                             |Star                           |19 45 45.9148252368 +22 02 44.209561200|058.6163378097438 -01.2931269783468|  1.112 -10.965  |9.81     |F0                     |    ~     ~    
5388 |HD 344934                                                             |Star                           |19 46 47.9230720824 +21 46 27.936274908|058.5020629241815 -01.6365669972111|  -0.360 -4.783  |10.51    |B8                     |    ~     ~    
5389 |HD 345046                                                             |Star                           |19 47 24.9327201456 +21 22 08.824490076|058.2237535351740 -01.9643793208018|   3.113 11.325  |9.60     |K0                     |    ~     ~    
5390 |HD 345039                                                             |Star                           |19 47 47.9086010799 +21 40 10.124372608|058.5282609940139 -01.8900256555203|    8.979 0.438  |9.88     |A2                     |    ~     ~    
5391 |HD 345044                                                             |Star                           |19 48 10.4099829984 +21 31 30.769860720|058.4475942371345 -02.0380532372194|  -1.185 -5.146  |10.33    |K0                     |    ~     ~    
5392 |HD 345023                                                             |Star                           |19 48 11.5511757504 +22 07 31.829379708|058.9683495788582 -01.7389182473147|   2.062 -2.784  |9.58     |K5                     |    ~     ~    
5393 |BD+21 3923                                                            |Star                           |19 48 30.1308361464 +21 32 22.686109296|058.4986581187570 -02.0967579149765|    4.600 2.817  |10.23    |~                      |    ~     ~    
5394 |HD 345051                                                             |Star                           |19 48 40.5141194016 +21 25 30.572978088|058.4201374879400 -02.1893245210871|   0.326 -3.801  |10.56    |A2                     |    ~     ~    
5395 |BD+21 3934                                                            |Star                           |19 49 56.771376 +21 27 35.55900        |058.599909932 -02.426822924        |       0.4 -5.3  |10.687   |~                      |    ~     ~    
5396 |HD 345037                                                             |Star                           |19 49 57.4582964160 +21 49 55.629375636|058.9223443741992 -02.2403303013522|  -1.667 -3.989  |9.79     |K7                     |    ~     ~    
5397 |HD 345141                                                             |Star                           |19 50 02.5355129688 +21 38 29.408066268|058.7679180459812 -02.3539605642755|   24.645 1.170  |10.41    |G0                     |    ~     ~    
5398 |HD 345139                                                             |Star                           |19 50 13.3997857680 +21 47 07.950717240|058.9134960692758 -02.3171048931493|  10.942 -7.434  |10.14    |A5                     |    ~     ~    
5399 |HD 345145                                                             |Star                           |19 50 30.1144768656 +21 24 42.243162552|058.6240702622003 -02.5626856865401|-14.133 -20.584  |9.71     |G5                     |    ~     ~    
5400 |HD 345147                                                             |Star                           |19 51 18.1973041488 +21 26 05.953872156|058.7390368648334 -02.7114627199152|-23.241 -38.218  |10.65    |G0                     |    ~     ~    
5401 |HD 345137                                                             |Star                           |19 51 33.8291646696 +21 46 20.034771168|059.0604518468674 -02.5918185716864|  -0.403 -4.566  |10.20    |B5                     |    ~     ~    
5402 |HD 345132                                                             |Star                           |19 52 18.1803016272 +21 58 50.025895788|059.3273991321535 -02.6330184837933|  -0.924 -2.810  |9.75     |A2                     |    ~     ~    
5403 |TYC 1627-730-1                                                        |Spectroscopic Binary           |19 48 56.3949013248 +21 38 25.536578172|058.6371490225236 -02.1336309783577|  -6.286 -5.676  |10.95    |~                      |    ~     ~    
5404 |HD 345052                                                             |Star                           |19 49 18.8115071352 +21 28 28.845594588|058.5380517636610 -02.2924164192414|  -2.700 -5.581  |9.87     |K7                     |    ~     ~    
5405 |IRAS 19475+2204                                                       |Star                           |19 49 46.1077126824 +22 11 47.452565148|059.2143502693863 -02.0177168385810|  -2.798 -6.437  |10.99    |~                      |    ~     ~    
5406 |IRAS 19478+2145                                                       |Long-Period Variable Candidate |19 49 58.3724559528 +21 52 47.145514548|058.9652281919324 -02.2192080221918|  -5.291 -2.732  |10.86    |~                      |    ~     ~    
5407 |IRAS 19484+2148                                                       |Star                           |19 50 36.6881901912 +21 55 55.065342360|059.0855070303665 -02.3203051798854|  -3.041 -4.753  |9.99     |~                      |    ~     ~    
5408 |TYC 1623-1342-1                                                       |Star                           |19 51 51.6017579016 +20 32 02.387904108|058.0287428214970 -03.2820212308711|  -1.683 -5.441  |10.92    |~                      |    ~     ~    
5409 |HD 345055                                                             |Star                           |19 49 47.7335741448 +21 10 32.885624748|058.3370005456597 -02.5405695179103|  -2.748 -6.448  |10.78    |B8Iab                  |    ~     ~    
5410 |HD 350359                                                             |Double or Multiple Star        |19 45 17.232 +20 22 48.22              |057.118079 -02.030430              |      -3.5 -0.7  |10.62    |G5                     |    ~     ~    
5411 |HD 350348                                                             |Star                           |19 46 10.5690264024 +20 29 57.515910972|057.3256892797515 -02.1510198324414|  -2.974 -6.822  |9.42     |A0                     |    ~     ~    
5412 |HD 186931                                                             |Star                           |19 46 29.3379129048 +20 24 03.430838844|057.2772920183698 -02.2637340811656|    8.102 4.576  |8.53     |B8                     |    ~     ~    
5413 |HD 350475                                                             |Star                           |19 46 59.7126841992 +20 22 54.374153088|057.3202800108115 -02.3759669753131|  -1.929 -0.564  |9.87     |M0                     |    ~     ~    
5414 |HD 350481                                                             |Star                           |19 48 56.8721773800 +20 24 42.091690896|057.5768315890992 -02.7561873252235|    7.946 2.992  |9.49     |F0                     |    ~     ~    
5415 |V* V394 Vul                                                           |Eclipsing Binary               |19 49 02.6706385008 +20 25 30.638772588|057.5999334272773 -02.7689180014451|  -3.128 -3.465  |8.73     |A3                     |    ~     ~    
5416 |HD 186961                                                             |Star                           |19 46 40.0829387952 +20 20 56.023166040|057.2532963289826 -02.3261568241369|  -1.595 -7.096  |8.83     |A                      |    ~     ~    
5417 |HD 187400                                                             |Star                           |19 49 06.7214754456 +20 19 02.217802512|057.5147092466617 -02.8370784078125|   7.531 -8.579  |8.63     |~                      |    ~     ~    
5418 |AG+20 2130                                                            |Star                           |19 50 41.3914619136 +20 18 24.559618644|057.6932210910309 -03.1613897716402|  -0.327 -5.253  |9.7      |G5                     |    ~     ~    
5419 |HD 350616                                                             |Star                           |19 50 41.9541649320 +20 18 29.215679256|057.6954546735193 -03.1626283385869|  -0.329 -6.007  |9.06     |B9                     |    ~     ~    
5420 |HD 187730                                                             |Spectroscopic Binary           |19 50 45.0725270808 +20 12 41.132542248|057.6182009009067 -03.2221921974463|  -9.167 12.389  |6.72     |A2                     |    ~     ~    
5421 |HD 350615                                                             |Star                           |19 50 52.1811810528 +20 21 21.860483148|057.7571499296727 -03.1727173514525|   9.643 -3.044  |9.23     |G5                     |    ~     ~    
5422 |HD 187883                                                             |Double or Multiple Star        |19 51 34.8274029096 +20 08 38.058614412|057.6589506227456 -03.4241051257612|   15.833 0.463  |9.32     |A                      |    ~     ~    
5423 |HD 350620                                                             |Star                           |19 49 56.1329011968 +20 12 13.580551620|057.5144593318417 -03.0611064991417|    3.998 1.727  |10.90    |K5                     |    ~     ~    
5424 |HD 350614                                                             |Double or Multiple Star        |19 51 38.606688 +20 17 04.91208        |057.787914858 -03.365219902        |      -1.9 -4.9  |10.63    |F5                     |    ~     ~    
5425 |HD 350482                                                             |High Proper Motion Star        |19 48 49.5201724080 +20 20 11.546550528|057.4973710449815 -02.7693436630463| -6.229 -63.637  |10.32    |G0                     |    ~     ~    
5426 |HD 350484                                                             |Star                           |19 48 10.9476302136 +20 17 16.721477520|057.3792891693570 -02.6636828636848|    9.954 1.619  |10.39    |K0                     |    ~     ~    
5427 |HD 350626                                                             |Star                           |19 51 31.1031189600 +20 13 04.455614316|057.7153616398046 -03.3739353683246|  24.328 -0.845  |10.38    |G5                     |    ~     ~    
5428 |HD 350474                                                             |Star                           |19 46 16.5687373447 +20 22 00.075142012|057.2225956284768 -02.2377652436950|  -7.633 -7.078  |10.29    |A2                     |    ~     ~    
5429 |TYC 1623-55-1                                                         |Star                           |19 50 17.9731792608 +20 36 22.520693304|057.9052083092751 -02.9307234044456|  -1.738 -2.966  |10.34    |~                      |    ~     ~    
5430 |TYC 1623-83-1                                                         |Star                           |19 48 18.5177084016 +20 18 20.846058732|057.4096160824849 -02.6802581595239|  7.595 -17.885  |10.56    |~                      |    ~     ~    
5431 |TYC 1623-1162-1                                                       |Star                           |19 50 27.7596424176 +20 12 12.572634420|057.5769641574869 -03.1678726458155|   4.805 -0.837  |10.33    |~                      |    ~     ~    
5432 |TYC 1623-1573-2                                                       |Star                           |19 51 34.9967579928 +20 08 40.414895052|057.6598526924451 -03.4243427256124|   16.516 0.893  |9.73     |~                      |    ~     ~    
5433 |TYC 1627-65-1                                                         |Star                           |19 49 29.9847043632 +21 45 06.620860908|058.7991702159410 -02.1894005157954|   1.904 -3.143  |10.66    |~                      |    ~     ~    
5434 |HD 345019                                                             |Star                           |19 48 17.6186226216 +22 21 18.418863708|059.1784463107592 -01.6431826526712|  -9.163 -1.274  |10.83    |F8                     |    ~     ~    
5435 |HD 345018                                                             |High Proper Motion Star        |19 48 58.8461547192 +22 18 52.935289056|059.2239266124677 -01.8007068326734| 48.946 -38.118  |10.38    |G5                     |    ~     ~    
5436 |HD 345015                                                             |High Proper Motion Star        |19 48 39.9809090712 +22 26 05.986661676|059.2909575932051 -01.6771568504917|-55.746 -19.337  |10.76    |G5                     |    ~     ~    
5437 |HD 345016                                                             |Star                           |19 49 15.3483881040 +22 21 22.704129900|059.2920362979773 -01.8344934823438|   0.387 -5.823  |10.42    |A0                     |    ~     ~    
5438 |HD 345022                                                             |Star                           |19 47 42.3089588592 +22 09 08.238784284|058.9345265661195 -01.6279613070059|   1.394 -2.764  |10.97    |A0                     |    ~     ~    
5439 |HD 344916                                                             |Double or Multiple Star        |19 46 12.614208 +22 17 40.74612        |058.883523513 -01.257340290        |     -0.7 -14.8  |10.840   |G0                     |    ~     ~    
5440 |TYC 1627-1565-1                                                       |Star                           |19 47 27.1018209768 +21 34 13.633972392|058.4020497922320 -01.8702892027508|  -2.716 -6.348  |10.76    |~                      |    ~     ~    
5441 |TYC 1627-1589-1                                                       |High Proper Motion Star        |19 47 30.2619908208 +21 36 13.940119620|058.4371061944058 -01.8640400647906|-36.699 -46.919  |10.98    |~                      |    ~     ~    
5442 |TYC 1627-1646-1                                                       |Star                           |19 46 56.0059778160 +22 14 37.128149916|058.9235054968023 -01.4276276328662| -7.347 -10.915  |10.55    |~                      |    ~     ~    
5443 |TYC 1627-1734-1                                                       |Star                           |19 48 06.6799747200 +21 18 35.022356208|058.2541051634764 -02.1342556203530|  -0.030 -3.701  |10.91    |~                      |    ~     ~    
5444 |TYC 1627-1743-1                                                       |Star                           |19 47 52.7792840880 +21 48 41.428151784|058.6604944382748 -01.8347053829578|   -0.259 1.473  |10.45    |~                      |    ~     ~    
5445 |IRAS 19445+2131                                                       |Star                           |19 46 41.1390775752 +21 38 55.664722752|058.3801991367576 -01.6769951361151|  11.473 -0.911  |10.20    |~                      |    ~     ~    
5446 |TYC 1627-2790-1                                                       |Star                           |19 47 46.2250003368 +20 39 04.581341352|057.6447843545972 -02.3973256868539| -0.189 -11.474  |10.52    |~                      |    ~     ~    
5447 |TYC 1628-3829-1                                                       |Star                           |19 52 10.0179830784 +20 55 37.804926072|058.4042001816680 -03.1434257960015| -5.792 -14.513  |10.97    |~                      |    ~     ~    
5448 |TYC 2139-198-1                                                        |Star                           |19 48 20.7805200216 +22 42 32.315534676|059.4901030066701 -01.4749352567378|  -1.633 -5.177  |10.62    |~                      |    ~     ~    
5449 |TYC 2139-513-1                                                        |Star                           |19 46 36.6651155568 +22 40 13.819394496|059.2551154683226 -01.1486195005153|  12.298 -9.845  |10.61    |~                      |    ~     ~    
5450 |HD 344901                                                             |Pulsating Variable             |19 46 24.5996322144 +22 48 02.789784036|059.3444600509540 -01.0430710357733|  -1.850 -6.093  |10.517   |A0                     |    ~     ~    
5451 |TYC 2139-2086-1                                                       |Star                           |19 45 09.3642781968 +22 57 54.801441756|059.3419130945758 -00.7107344033667|  -1.635 -4.958  |10.49    |~                      |    ~     ~    
5452 |HD 344895                                                             |Star                           |19 45 20.0879282712 +22 58 10.581215124|059.3663066309683 -00.7441521825433|   14.674 5.656  |10.49    |G5                     |    ~     ~    
5453 |HD 344896                                                             |Star                           |19 45 10.8267317256 +22 53 25.239614496|059.2798941083955 -00.7530726474775|  -0.712 -7.724  |10.48    |A0                     |    ~     ~    
5454 |HD 345119                                                             |Double or Multiple Star        |19 51 44.2301592216 +22 39 28.246225248|059.8433912518454 -02.1746964038660|  -2.150 -8.633  |10.846   |A3                     |    ~     ~    
5455 |TYC 2140-2326-1                                                       |Star                           |19 51 30.3752040888 +22 37 41.470127652|059.7906633753538 -02.1440024231484|  -2.723 -6.388  |10.62    |~                      |    ~     ~    
5456 |HD 345121                                                             |Star                           |19 52 34.3119103608 +22 21 35.602651872|059.6856074859602 -02.4926376904298| 35.021 -30.740  |9.46     |G0                     |    ~     ~    
5457 |HD 345122                                                             |Be Star                        |19 52 51.4207044456 +22 14 22.645163652|059.6159469856477 -02.6108367827480|  -1.598 -2.482  |9.80     |B3Ve                   |    ~     ~    
5458 |HD 345224                                                             |Star                           |19 53 24.2016626592 +22 11 14.849022840|059.6359305113328 -02.7461600133464| -6.951 -13.843  |8.93     |G5                     |    ~     ~    
5459 |HD 188235                                                             |Star                           |19 53 25.8708070896 +22 19 00.291802584|059.7503676001323 -02.6854080299401|   6.070 -1.784  |8.16     |B9                     |    ~     ~    
5460 |HD 345223                                                             |Star                           |19 53 27.8854346568 +22 11 37.728643776|059.6486875944180 -02.7551048148662|  -0.237 -4.505  |10.10    |B8                     |    ~     ~    
5461 |HD 345221                                                             |Star                           |19 53 08.8457650296 +22 29 38.461857108|059.8690927611318 -02.5382375555219|   10.598 7.832  |9.91     |F8                     |    ~     ~    
5462 |HD 345149                                                             |Star                           |19 52 34.8062651424 +21 32 41.813506032|058.9853902825208 -02.9108728623532|   10.281 2.784  |9.57     |F2                     |    ~     ~    
5463 |HD 188308                                                             |Star                           |19 53 48.6565268952 +22 07 05.985737364|059.6249727737427 -02.8626303437840|   8.237 -4.568  |8.58     |A0                     |    ~     ~    
5464 |HD 188402                                                             |Star                           |19 54 11.0905014048 +21 37 19.321914360|059.2430250039765 -03.1918072879749|   11.486 7.287  |9.26     |M2                     |    ~     ~    
5465 |HD 345229                                                             |Star                           |19 54 13.4663247888 +22 01 59.037804372|059.6009581234210 -02.9886121954161|   2.872 -6.550  |9.33     |A2                     |    ~     ~    
5466 |HD 350724                                                             |Star                           |19 52 32.9503539552 +20 44 27.292707240|058.2893785325910 -03.3152493482331|  -4.022 -5.705  |9.15     |M0                     |    ~     ~    
5467 |HD 188188                                                             |Star                           |19 53 11.7398915016 +21 09 28.470455172|058.7256642523160 -03.2319316384143|  -0.410 -4.539  |8.43     |B5                     |    ~     ~    
5468 |HD 188261                                                             |Double or Multiple Star        |19 53 32.5392462552 +21 17 19.660943580|058.8797009452404 -03.2343338707905|  -2.631 -7.262  |8.38     |A0                     |0.0117  0.0    
5469 |HD 350730                                                             |Star                           |19 53 39.3669819144 +20 29 14.470242360|058.2036327837708 -03.6674684979878|    6.289 3.127  |10.04    |A                      |    ~     ~    
5470 |HD 350731                                                             |Eclipsing Binary               |19 53 45.2647718088 +20 30 33.206337864|058.2342659449903 -03.6760498792522|   0.970 -7.224  |9.60     |B9                     |    ~     ~    
