C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
104  |HD 226442                                                             |Rotating Variable              |19 53 52.9626752808 +42 14 24.579110580|076.9557354865686 +07.4244237469574|  -6.546 -5.835  |10.86    |A2III                  |    ~     ~    
105  |BD+42 3512                                                            |Star                           |19 53 53.9584245384 +42 31 44.112125892|077.2090832440434 +07.5668964425582|    7.173 1.581  |9.31     |K0                     |    ~     ~    
106  |HD 226454                                                             |delta Sct Variable             |19 54 04.9840933392 +42 17 30.001125120|077.0194300263190 +07.4182936291578|    0.543 5.161  |10.522   |A9V                    |    ~     ~    
107  |HD 187140                                                             |Star                           |19 46 35.4873141336 +42 08 18.771680796|076.1923921272044 +08.5482054925674|   0.042 -3.425  |9.02     |A0                     |    ~     ~    
108  |HD 187342                                                             |Star                           |19 47 41.2317938856 +42 19 06.526868268|076.4511675114563 +08.4586547661028|  7.991 -13.847  |7.63     |K5                     |    ~     ~    
109  |HD 225904                                                             |Star                           |19 48 12.5736049728 +42 11 21.592184712|076.3850394222126 +08.3112013890697|  -2.446 -7.242  |10.10    |~                      |    ~     ~    
110  |HD 226235                                                             |Rotating Variable              |19 51 40.8356589816 +42 08 27.684869892|076.6632761162254 +07.7280033947162|  -0.879 -7.143  |10.92    |~                      |    ~     ~    
111  |HD 226317                                                             |Horizontal Branch Star         |19 52 24.3301705008 +42 11 21.422980392|076.7730714992400 +07.6356267934007| -2.316 -12.275  |10.44    |K0                     |    ~     ~    
112  |BD+41 3530                                                            |Chemically Peculiar Star       |19 53 44.2128118584 +42 22 50.325013056|077.0645710071541 +07.5183280810599|-38.628 141.389  |9.16     |F5                     |    ~     ~    
113  |V* V1154 Cyg                                                          |Classical Cepheid Variable     |19 48 15.4661680536 +43 07 36.960514968|077.2166126825784 +08.7616492610777|  -1.499 -3.692  |9.14     |G0                     |    ~     ~    
114  |V* DF Cyg                                                             |RV Tauri Variable              |19 48 53.9450982768 +43 02 14.539346592|077.1954495161869 +08.6157176386253|  -2.675 -2.553  |10.80    |G6/7Ib/IIa             |    ~     ~    
115  |HD 188874                                                             |delta Sct Variable             |19 55 24.3772549128 +43 29 47.941603512|078.1928088444321 +07.8159003991851|    2.712 0.397  |10.69    |A2                     |    ~     ~    
116  |HD 188873                                                             |Eruptive Variable              |19 55 22.4509626264 +43 45 18.047768796|078.4151368162956 +07.9511235810511|   5.408 13.652  |8.94     |K2                     |    ~     ~    
117  |HD 188890                                                             |Rotating Variable              |19 55 32.5555122072 +44 00 22.912479540|078.6498486422887 +08.0515036534045|-15.541 -29.831  |10.49    |B9IV                   |    ~     ~    
118  |HD 189038                                                             |Star                           |19 56 12.1083909144 +43 39 29.601761364|078.4070050871220 +07.7731500272453|    6.462 2.935  |9.44     |K1IV                   |    ~     ~    
119  |HD 189129                                                             |Eruptive Variable              |19 56 38.6568204120 +43 43 44.829361668|078.5095778063263 +07.7400756060844|  31.186 12.805  |9.33     |F3V                    |    ~     ~    
120  |HD 189161                                                             |gamma Dor Variable             |19 56 54.2205305136 +43 31 14.118080772|078.3522793351659 +07.5938349753119|    0.505 3.502  |9.80     |A0                     |    ~     ~    
121  |HD 189210                                                             |Rotating Variable              |19 56 59.7428905824 +43 45 08.303780376|078.5622335830135 +07.6971313755623|    8.705 4.111  |9.98     |G1.5V                  |    ~     ~    
122  |HD 189347                                                             |delta Sct Variable             |19 57 46.4228112816 +43 26 59.567433468|078.3718908654430 +07.4220007315641|    9.680 6.779  |9.81     |A3                     |    ~     ~    
123  |HD 189453                                                             |High Proper Motion Star        |19 58 10.7389725720 +43 42 50.153921460|078.6386867641156 +07.4936178821791|-120.040 -87.273 |9.28     |G5V                    |    ~     ~    
124  |HD 189612                                                             |Star                           |19 59 02.5448590056 +43 35 45.698350380|078.6171159755301 +07.2991069236788|  -3.831 -8.578  |9.00     |K0                     |    ~     ~    
125  |HD 189686                                                             |Star                           |19 59 30.4436651208 +43 34 44.841995256|078.6460670189231 +07.2181723153018| -1.550 -12.889  |9.96     |G5                     |    ~     ~    
126  |HD 189727                                                             |Star                           |19 59 41.7472978464 +43 36 16.190254980|078.6856828432784 +07.2019610660092|    3.420 3.086  |8.56     |B9                     |    ~     ~    
127  |HD 188611A                                                            |Eclipsing Binary               |19 54 12.1350051552 +42 33 39.939685812|077.2654339961023 +07.5348334916913|   -0.092 1.816  |9.09     |A5IV                   |    ~     ~    
128  |HD 188630                                                             |Star                           |19 54 20.0307564168 +43 21 23.355124452|077.9716372217436 +07.9136716352588|   -1.330 1.406  |10.52    |A                      |    ~     ~    
129  |BD+42 3525                                                            |Star                           |19 55 30.4145694624 +42 48 34.031257164|077.6037020614799 +07.4530551046994|   -0.233 0.194  |9.88     |A0                     |    ~     ~    
130  |BD+42 3526                                                            |Star                           |19 55 41.5296963072 +43 01 22.106565516|077.8066486551509 +07.5316897247116|    4.812 8.513  |8.33     |K0                     |    ~     ~    
131  |BD+42 3527                                                            |Star                           |19 55 44.7359291256 +43 08 43.283794272|077.9182767036089 +07.5852461636298|  -3.265 -5.007  |10.23    |B9IV                   |    ~     ~    
132  |BD+42 3529                                                            |Star                           |19 55 54.5961069312 +42 51 18.101370384|077.6810553194220 +07.4123938461530|  -28.792 5.523  |8.87     |F5                     |    ~     ~    
133  |BD+42 3531                                                            |Star                           |19 56 14.1098012160 +43 18 01.358658036|078.0986941654784 +07.5867848002514|  -4.293 20.197  |10.30    |G5                     |    ~     ~    
134  |BD+42 3532                                                            |Star                           |19 56 24.6372043728 +43 13 43.988846376|078.0528568653528 +07.5230150205795|-13.274 -23.229  |9.08     |K0                     |    ~     ~    
135  |BD+42 3536                                                            |Star                           |19 57 05.4981843240 +43 13 19.029784476|078.1103856063161 +07.4126300528250|   -0.949 1.201  |8.74     |G5                     |    ~     ~    
136  |BD+42 3537                                                            |Star                           |19 57 16.7998375632 +42 38 18.249479124|077.6219037252918 +07.0856668750227|  -1.422 -4.236  |9.53     |A5                     |    ~     ~    
137  |HD 189300                                                             |Star                           |19 57 28.3802090856 +43 16 46.815735360|078.1961334827954 +07.3822498882310|  7.892 -22.537  |9.42     |K                      |    ~     ~    
138  |BD+42 3541                                                            |Star                           |19 57 30.8046201024 +43 03 11.970947844|078.0035965366791 +07.2605196741539|    2.911 2.596  |9.39     |K2                     |    ~     ~    
139  |V* V1582 Cyg                                                          |Eclipsing Binary               |19 57 50.2735281504 +43 19 49.831284072|078.2743625523565 +07.3510721787465|    0.831 2.805  |9.09     |K2                     |    ~     ~    
140  |BD+42 3546                                                            |Spectroscopic Binary           |19 58 37.6366996368 +43 01 02.349181272|078.0773201526575 +07.0671945826582| 20.474 -22.920  |9.59     |F9IV-V                 |    ~     ~    
141  |V* V393 Cyg                                                           |Eclipsing Binary               |19 58 48.2529382224 +43 17 44.186383608|078.3347761803185 +07.1821797563353|  -0.615 -2.368  |9.55     |B9.5III                |    ~     ~    
142  |HD 225841                                                             |Star                           |19 47 31.3461339600 +41 59 51.713466684|076.1531087702693 +08.3287042241267|   -2.965 1.569  |9.82     |~                      |    ~     ~    
143  |HD 226000                                                             |Eruptive Variable              |19 49 16.7123523960 +42 02 21.367826700|076.3512889822456 +08.0648206535917|    0.523 1.215  |9.48     |K2III                  |    ~     ~    
144  |HD 226016                                                             |delta Sct Variable             |19 49 29.8488795648 +41 51 45.444351996|076.2163229362295 +07.9423542009574|    2.434 0.518  |10.11    |B9.5Vn                 |    ~     ~    
145  |HD 226135                                                             |delta Sct Variable             |19 50 38.3989236096 +42 01 23.169507600|076.4631860240946 +07.8370170776870|    4.771 3.771  |10.08    |F0IV                   |    ~     ~    
146  |HD 226136                                                             |Eruptive Variable              |19 50 41.2431539976 +41 53 48.367268988|076.3568525177932 +07.7667356986391|   2.636 -4.936  |9.016    |K5                     |    ~     ~    
147  |HD 226146                                                             |Horizontal Branch Star         |19 50 43.7591429472 +42 04 20.919388728|076.5147724404758 +07.8470836825119|  3.012 -15.600  |9.542    |~                      |    ~     ~    
