C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:38:16

dec< 0&rah >=21.25&rah< 21.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3626

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
39  |CD-37 14238                                                           |Star                              |21 21 25.4346489384 -36 59 55.812392556|006.5771326610299 -44.9974852336924|   4.661 33.968     |10.57    |~              |    ~     ~    |    1|  193.353   pc  |  -4.4950     +4.4950    |ST-L    |2020AJ....160...83S
40  |CD-37 14240                                                           |Star                              |21 21 40.8467804976 -36 50 46.601721492|006.7966199035282 -45.0403609565410| -9.925 -15.491     |10.46    |~              |    ~     ~    |    1|  380.633   pc  |  -2.0863     +2.0863    |paral   |2020yCat.1350....0G
41  |CD-36 14760                                                           |High Proper Motion Star           |21 22 29.2935 -36 00 25.506            |007.9974377 -45.1501533            |    103.0 -74.1     |10.407   |~              |    ~     ~    |    1|  165.815   pc  | +25.816      +6         |ST-L    |2017AJ....153...75K
42  |CD-35 14733                                                           |Star                              |21 22 11.8540446312 -35 22 18.561698904|008.8886238609028 -45.0439252846572|  23.595 -6.962     |9.997    |G5             |    ~     ~    |    1|  172.328   pc  |  -1.7680     +1.7680    |ST-L    |2020AJ....160...83S
43  |CD-35 14690                                                           |Star                              |21 17 35.7642923856 -34 32 35.288834460|009.9238423612998 -44.0284774644282| 11.116 -34.709     |10.32    |~              |    ~     ~    |    1|  423.998   pc  |  -3.2539     +3.2539    |paral   |2020yCat.1350....0G
44  |HD 202208                                                             |High Proper Motion Star           |21 15 25.2351977568 -36 39 39.418596648|006.9413506636660 -43.7770359195536| 70.349 -73.352     |9.27     |F6V            |    ~     ~    |    1|  119.018   pc  |  -0.2961     +0.2961    |paral   |2020yCat.1350....0G
45  |HD 202440                                                             |Star                              |21 16 52.4125140168 -36 46 34.964182344|006.8103470013910 -44.0756972216195|-18.032 -10.063     |9.93     |F7/8V          |    ~     ~    |    1|  315.827   pc  |  -6.6970     +6.6970    |ST-L    |2020AJ....160...83S
46  |HD 202542                                                             |Star                              |21 17 37.5201041112 -36 53 19.432186152|006.6681172698956 -44.2333034264938| -8.495 -21.243     |9.84     |K0/1(III)      |    ~     ~    |    1|  492.999   pc  |  -7.7775     +7.7775    |paral   |2020yCat.1350....0G
47  |HD 203057                                                             |Star                              |21 20 51.7960309560 -37 04 40.960581744|006.4568621690681 -44.8900398237441| -15.242 19.457     |9.803    |G3V            |    ~     ~    |    1|  151.750   pc  |  -1.5130     +1.5130    |ST-L    |2020AJ....160...83S
48  |HD 203227                                                             |Star                              |21 22 00.0147276587 -37 33 15.894292462|005.7992634345139 -45.1388868952101|    6.272 0.522     |9.10     |F0V            |    ~     ~    |    1|  178.932   pc  |  -1.5304     +1.5304    |paral   |2020yCat.1350....0G
49  |CD-37 14225                                                           |Star                              |21 20 34.8313226712 -37 13 03.140602824|006.2561065476195 -44.8411801672244| -11.991 -8.008     |10.633   |~              |    ~     ~    |    1|  397.703   pc  |  -9.5910     +9.5910    |ST-L    |2020AJ....160...83S
50  |CD-38 14508                                                           |High Proper Motion Star           |21 21 37.1094473808 -37 33 48.883705704|005.7816602492670 -45.0636969711801|87.734 -120.662     |10.03    |~              |    ~     ~    |    1|   63.831   pc  |  -0.0701     +0.0701    |paral   |2020yCat.1350....0G
51  |TYC 7480-324-1                                                        |Star                              |21 16 26.2828013880 -35 19 37.274084112|008.8077032500627 -43.8700792138176| 27.433 -17.399     |10.935   |~              |    ~     ~    |    1|  428.365   pc  | -12.0400    +12.0400    |ST-L    |2020AJ....160...83S
52  |TYC 7480-830-1                                                        |Star                              |21 16 03.4382634456 -35 28 32.302303968|008.5925382230030 -43.8066677257274|   4.612 -2.535     |10.16    |~              |    ~     ~    |    1|  751.880   pc  |  -8.7060     +8.7060    |paral   |2020yCat.1350....0G
53  |TYC 7484-186-1                                                        |Star                              |21 15 43.9482031680 -36 38 52.030358592|006.9659377652694 -43.8384461560847|   5.076 -3.733     |10.831   |~              |    ~     ~    |    1| 1508.430   pc  |-150.0000   +150.0000    |ST-L    |2020AJ....160...83S
54  |TYC 7484-1026-1                                                       |Star                              |21 16 11.7517905120 -36 17 37.786633368|007.4653303290524 -43.9044541914812| -11.076 -7.824     |10.913   |~              |    ~     ~    |    1|  351.514   pc  | -12.7800    +12.7800    |ST-L    |2020AJ....160...83S
55  |TYC 7485-73-1                                                         |Star                              |21 21 34.9870291272 -35 53 23.358662988|008.1446634969221 -44.9591321871536| -4.082 -10.554     |10.92    |~              |    ~     ~    |    1| 2083.333   pc  | -87.2396    +87.2396    |paral   |2020yCat.1350....0G
56  |TYC 7485-206-1                                                        |Star                              |21 20 12.2930952552 -35 39 16.485962832|008.4451644982931 -44.6624131694723|  19.763 -4.420     |10.81    |~              |    ~     ~    |    1|  323.373   pc  |  -1.6731     +1.6731    |paral   |2020yCat.1350....0G
57  |L 497-49                                                              |High Proper Motion Star           |21 21 41.5498006968 -37 25 05.451036024|005.9882522023518 -45.0718485756684|151.419 -97.675     |10.88    |~              |    ~     ~    |    1|  144.830   pc  |  -1.2720     +1.2720    |ST-L    |2020AJ....160...83S
58  |TYC 7485-948-1                                                        |Star                              |21 20 50.9210629848 -37 13 55.061811120|006.2396824945602 -44.8952374204308|   11.098 0.729     |10.48    |~              |    ~     ~    |    1|  520.673   pc  | -15.2500    +15.2500    |ST-L    |2020AJ....160...83S
59  |TYC 7979-106-1                                                        |Star                              |21 21 49.1588787096 -37 32 01.142838132|005.8264656116209 -45.1021583731883| -3.383 -22.389     |10.36    |~              |    ~     ~    |    1| 2221.235   pc  | -98.6777    +98.6777    |paral   |2020yCat.1350....0G
60  |CD-36 14773                                                           |Star                              |21 23 41.5130022456 -35 41 08.115433476|008.4773657533088 -45.3709228041675| 46.131 -12.244     |10.38    |F8             |    ~     ~    |    1|  256.095   pc  |  -1.2068     +1.2068    |paral   |2020yCat.1350....0G
61  |HD 203817                                                             |High Proper Motion Star           |21 25 33.6535664880 -35 35 03.756095376|008.6596998287807 -45.7426204922352| 38.318 -44.851     |8.86     |G2/3V          |    ~     ~    |    1|  113.880   pc  |  -0.4669     +0.4669    |paral   |2020yCat.1350....0G
62  |CD-36 14764                                                           |High Proper Motion Star           |21 22 46.5185989608 -35 59 03.595695864|008.0352886583292 -45.2065236742742| 46.689 -26.817     |9.43     |F8             |    ~     ~    |    1|  229.595   pc  |  -0.7591     +0.7591    |paral   |2020yCat.1350....0G
63  |CD-36 14790                                                           |High Proper Motion Star           |21 25 21.9590527992 -35 51 34.459904052|008.2625372232726 -45.7215524194375|  3.006 -62.298     |9.81     |G2             |    ~     ~    |    1|  127.900   pc  |  -0.2650     +0.2650    |paral   |2020yCat.1350....0G
64  |CD-37 14249                                                           |Star                              |21 23 02.5271429472 -36 42 54.034480044|007.0039908680477 -45.3052434476182|    1.152 0.026     |9.43     |K2             |    ~     ~    |    1|  712.301   pc  | -12.7351    +12.7351    |paral   |2020yCat.1350....0G
65  |HD 203490                                                             |High Proper Motion Star           |21 23 37.9486291968 -37 06 38.680996428|006.4499024818981 -45.4431943653769| 32.035 -41.008     |9.18     |G8IV           |    ~     ~    |    1|  384.882   pc  |  -3.0960     +3.0960    |paral   |2020yCat.1350....0G
66  |CD-37 14267                                                           |High Proper Motion Star           |21 24 59.2938769296 -37 15 51.382175508|006.2475451036012 -45.7196406559803|  0.461 -63.586     |10.332   |G2             |    ~     ~    |    1|  200.654   pc  |  -4.3680     +4.3680    |ST-L    |2020AJ....160...83S
67  |CD-37 14247                                                           |Star                              |21 22 41.6332271328 -36 52 48.279090972|006.7644173891389 -45.2445401250660|-17.565 -24.853     |10.64    |~              |    ~     ~    |    1|  255.572   pc  |  -4.7270     +4.7270    |ST-L    |2020AJ....160...83S
68  |CD-37 14256                                                           |Star                              |21 23 39.9930415200 -37 01 31.976491296|006.5716555238716 -45.4459553379822|  14.483 13.794     |10.65    |~              |    ~     ~    |    1|  357.322   pc  |  -3.3835     +3.3835    |paral   |2020yCat.1350....0G
69  |CD-37 14269                                                           |Star                              |21 25 05.0901946992 -36 54 54.607737060|006.7483183473217 -45.7237089967085|-10.382 -41.051     |10.61    |~              |    ~     ~    |    1|  189.603   pc  |  -3.2050     +3.2050    |ST-L    |2020AJ....160...83S
70  |CD-36 14789                                                           |Spectroscopic Binary              |21 25 16.0829345304 -36 26 51.874575864|007.4197509762186 -45.7368227825347|  41.601 -5.286     |10.57    |~              |    ~     ~    |    1|  282.781   pc  |  -6.9490     +6.9490    |paral   |2020yCat.1350....0G
71  |CD-36 14765                                                           |Star                              |21 23 09.0687612384 -35 47 53.008344204|008.3067070706938 -45.2694863619521|   4.223 -2.669     |10.40    |~              |    ~     ~    |    1| 1359.619   pc  | -44.3656    +44.3656    |paral   |2020yCat.1350....0G
72  |CD-37 14263                                                           |Star                              |21 24 24.9997280784 -36 53 06.629407440|006.7820919926700 -45.5888516786378|-17.981 -12.035     |10.28    |~              |    ~     ~    |    1|  656.017   pc  | -20.4500    +20.4500    |ST-L    |2020AJ....160...83S
73  |CD-36 14793                                                           |Star                              |21 25 48.8995429488 -35 44 55.557069540|008.4295314629557 -45.8051830361399| 17.115 -42.782     |9.96     |G              |    ~     ~    |    1|  205.069   pc  |  -1.7452     +1.7452    |paral   |2020yCat.1350....0G
74  |CD-36 14809                                                           |Spectroscopic Binary              |21 27 01.3386943392 -35 33 24.739827876|008.7280204399195 -46.0372567408625|-43.152 -13.040     |9.70     |F5             |    ~     ~    |    1|  235.217   pc  |  -0.9627     +0.9627    |paral   |2020yCat.1350....0G
75  |HD 203849                                                             |Star                              |21 25 49.7637345576 -35 50 11.899438800|008.3040030967162 -45.8137902362171|-11.522 -12.623     |7.74     |G8III          |    ~     ~    |    1|  262.640   pc  |  -1.4762     +1.4762    |paral   |2020yCat.1350....0G
76  |HD 203969                                                             |High Proper Motion Star           |21 26 28.3250864112 -36 26 35.071569888|007.4448636286258 -45.9783739366873| 47.553 -36.818     |7.78     |K2III          |    ~     ~    |    1|  162.549   pc  |  -1.3422     +1.3422    |paral   |2020yCat.1350....0G
77  |CD-36 14811                                                           |Star                              |21 27 09.8561766072 -35 56 17.259896076|008.1822290005615 -46.0898901810480|  -6.108 -6.661     |9.60     |K              |    ~     ~    |    1| 1049.538   pc  | -22.3611    +22.3611    |paral   |2020yCat.1350....0G
78  |CD-36 14816                                                           |Star                              |21 27 55.0227641784 -36 14 18.969847332|007.7611526539735 -46.2583956603477|    9.054 8.125     |9.753    |F2             |    ~     ~    |    1|  269.184   pc  |  -5.0010     +5.0010    |ST-L    |2020AJ....160...83S
79  |CD-36 14822                                                           |Star                              |21 28 50.2526535744 -36 16 32.924990928|007.7208566052441 -46.4456002222449|   19.958 1.672     |10.451   |K0             |    ~     ~    |    1|  748.836   pc  | -37.0500    +37.0500    |ST-L    |2020AJ....160...83S
80  |HD 204097                                                             |Star                              |21 27 22.4329627248 -37 06 25.355282220|006.5001232256708 -46.1883125582705|   2.961 -3.536     |8.44     |K4/5III        |    ~     ~    |    1|  776.639   pc  | -15.8030    +15.8030    |paral   |2020yCat.1350....0G
81  |HD 204109                                                             |Star                              |21 27 26.7405786576 -36 50 19.255453800|006.8882956584690 -46.1919844186365|  9.802 -11.127     |8.16     |K0III          |    ~     ~    |    1|  469.087   pc  |  -5.4351     +5.4351    |paral   |2020yCat.1350....0G
82  |HD 204334                                                             |High Proper Motion Star           |21 28 53.8643994960 -37 24 15.364475784|006.0841677943268 -46.5011039314723| 73.297 -49.016     |7.69     |K2III          |    ~     ~    |    1|  171.641   pc  |  -0.6864     +0.6864    |paral   |2020yCat.1350....0G
83  |CD-37 14307                                                           |Spectroscopic Binary              |21 29 41.5451809944 -36 51 29.690781516|006.8854307928797 -46.6418797743110| 25.460 -27.648     |10.001   |G0             |    ~     ~    |    1|  191.938   pc  |  -4.8960     +4.8960    |ST-L    |2020AJ....160...83S
84  |HD 204475                                                             |High Proper Motion Star           |21 29 49.6746348816 -37 41 33.345605076|005.6711806908643 -46.6924068721193|-64.213 -74.234     |7.25     |F5V            |    ~     ~    |    1|   78.908   pc  |  -0.4570     +0.4570    |paral   |2020yCat.1350....0G
85  |CPD-36 9394                                                           |Star                              |21 26 16.1516073624 -35 32 12.171640272|008.7421221155561 -45.8830555575498|  -28.990 6.764     |9.61     |~              |    ~     ~    |    1|  439.889   pc  |  -3.2121     +3.2121    |paral   |2020yCat.1350....0G
86  |CD-36 14800                                                           |High Proper Motion Star           |21 26 24.4042370592 -36 22 49.829101896|007.5337737071575 -45.9619770963267| 67.650 -19.624     |10.43    |~              |    ~     ~    |    1|  191.696   pc  |  -0.9481     +0.9481    |paral   |2020yCat.1350....0G
87  |CD-36 14804                                                           |Star                              |21 26 42.5537581752 -36 14 50.379932328|007.7298887874510 -46.0156731289624|  24.707 -8.902     |10.68    |~              |    ~     ~    |    1|  328.709   pc  |  -1.7936     +1.7936    |paral   |2020yCat.1350....0G
88  |CD-37 14285                                                           |Star                              |21 27 10.2432195168 -37 10 33.641726088|006.3984396970048 -46.1504036806972|   4.640 -0.893     |10.567   |~              |    ~     ~    |    1|  683.617   pc  | -28.7300    +28.7300    |ST-L    |2020AJ....160...83S
89  |CD-37 14295                                                           |Star                              |21 28 17.1397286712 -37 00 10.235373804|006.6605616081844 -46.3662267406742| 14.116 -12.269     |9.949    |~              |    ~     ~    |    1|  161.430   pc  |  -1.4780     +1.4780    |ST-L    |2020AJ....160...83S
90  |CD-37 14297                                                           |Star                              |21 28 42.6201260424 -36 57 39.031045308|006.7259654518788 -46.4494317716326|   0.386 -7.246     |10.41    |~              |    ~     ~    |    1|  283.527   pc  |  -1.5756     +1.5756    |paral   |2020yCat.1350....0G
91  |CD-37 14298                                                           |Star                              |21 28 49.3214834688 -36 46 05.779834356|007.0065353163357 -46.4643743548363|  3.888 -18.768     |9.762    |~              |    ~     ~    |    1|  548.959   pc  | -17.7400    +17.7400    |ST-L    |2020AJ....160...83S
92  |CPD-37 9046                                                           |Star                              |21 29 38.2732637520 -36 55 30.304044588|006.7875837491786 -46.6333625999532|   2.180 -5.478     |10.993   |~              |    ~     ~    |    1|  530.178   pc  | -18.1500    +18.1500    |ST-L    |2020AJ....160...83S
93  |CD-37 14273                                                           |Star                              |21 25 46.0489044600 -36 38 08.209046796|007.1581740289793 -45.8467889522116|  15.181 -2.674     |10.15    |~              |    ~     ~    |    1|  690.560   pc  |  -8.5360     +8.5360    |paral   |2020yCat.1350....0G
