C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:38:16

dec< 0&rah >=21.25&rah< 21.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3626

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1724|TYC 5195-576-1                                                        |High Proper Motion Star           |21 24 00.9519103152 -00 00 35.705462436|052.6248828100318 -33.3517248982915|130.084 -36.372     |9.53     |~              |    ~     ~    |    1|  107.556   pc  |  -0.2337     +0.2337    |paral   |2020yCat.1350....0G
1725|BD-02 5526                                                            |Star                              |21 24 19.8888049608 -01 52 24.231288756|050.7841589660156 -34.4213129659296|   -0.397 2.367     |10.35    |~              |    ~     ~    |    1|  758.725   pc  |  -9.7863     +9.7863    |paral   |2020yCat.1350....0G
1726|TYC 5195-152-1                                                        |Star                              |21 24 26.7761873928 -00 27 04.171963932|052.2511350413018 -33.6821428858636|   -4.555 3.901     |9.84     |~              |    ~     ~    |    1|  658.198   pc  | -45.7485    +45.7485    |paral   |2020yCat.1350....0G
1727|HD 203905                                                             |Star                              |21 25 11.1069718104 -00 15 08.867225484|052.5723348678933 -33.7290257350402|   2.143 -4.279     |9.45     |A0V            |    ~     ~    |    1|  741.730   pc  | -12.8738    +12.8738    |paral   |2020yCat.1350....0G
1728|HD 203978                                                             |Star                              |21 25 34.9312966680 -00 13 54.952517820|052.6581905128442 -33.8010069518556|  7.612 -13.858     |7.61     |K5III          |    ~     ~    |    1|  505.408   pc  |  -5.7218     +5.7218    |paral   |2020yCat.1350....0G
1729|HD 204379                                                             |Star                              |21 28 11.5063355040 -00 16 11.757113328|053.0511589564127 -34.3676931826314| -15.621 -8.317     |9.68     |F7/8IV/V       |    ~     ~    |    1|  267.745   pc  |  -7.0612     +7.0612    |paral   |2020yCat.1350....0G
1730|BD-00 4225                                                            |Star                              |21 29 48.6421159344 -00 19 30.528916140|053.2654817569401 -34.7360596120371|-10.311 -43.737     |9.95     |G0             |    ~     ~    |    1|  233.149   pc  |  -0.9839     +0.9839    |paral   |2020yCat.1350....0G
1731|HD 203906                                                             |High Proper Motion Star           |21 25 09.8521224192 -00 40 51.187432800|052.1359477078989 -33.9575107112401| 65.237 -20.151     |9.42     |G5V            |    ~     ~    |    1|  147.669   pc  |  -0.3096     +0.3096    |paral   |2020yCat.1350....0G
1732|HD 203962                                                             |Star                              |21 25 29.4556345944 -00 56 44.567694132|051.9203914238834 -34.1694468021872|  -4.373 -3.162     |8.93     |F5V            |    ~     ~    |    1|  265.006   pc  |  -1.2360     +1.2360    |paral   |2020yCat.1350....0G
1733|HD 203979                                                             |Star                              |21 25 33.4733350440 -00 59 06.645025392|051.8911553875431 -34.2048423341766|   6.967 12.056     |8.84     |F6/7V          |    ~     ~    |    1|  200.200   pc  |  -0.8216     +0.8216    |paral   |2020yCat.1350....0G
1734|HD 204052                                                             |Star                              |21 26 06.1117030704 -00 35 30.033137256|052.3798744231571 -34.1059621566457| -9.124 -24.221     |9.24     |G8IV           |    ~     ~    |    1|  263.227   pc  |  -1.0463     +1.0463    |paral   |2020yCat.1350....0G
1735|BD-01 4168                                                            |Star                              |21 27 52.9418492640 -00 28 33.153199140|052.7910415046646 -34.4158827344569|  24.889 -3.728     |9.78     |K0             |    ~     ~    |    1|  849.979   pc  | -16.6167    +16.6167    |paral   |2020yCat.1350....0G
1736|BD-02 5535                                                            |Star                              |21 25 46.1018430984 -01 29 33.153611100|051.4072147942205 -34.5220203329169|  5.619 -22.243     |9.83     |G0             |    ~     ~    |    1|  282.119   pc  |  -1.1859     +1.1859    |paral   |2020yCat.1350....0G
1737|HD 204080                                                             |Star                              |21 26 20.5814023872 -01 41 36.658096800|051.2942960613367 -34.7508921754393|  3.856 -14.074     |8.70     |M2/3           |    ~     ~    |    1|  865.801   pc  | -14.9922    +14.9922    |paral   |2020yCat.1350....0G
1738|HD 204235                                                             |Star                              |21 27 14.5886566776 -01 43 49.697198364|051.4029279891215 -34.9606842522020| -1.224 -17.062     |9.40     |G8/K0(III)     |    ~     ~    |    1|  502.159   pc  |  -4.1859     +4.1859    |paral   |2020yCat.1350....0G
1739|BD-02 5548                                                            |Horizontal Branch Star            |21 29 04.4160052176 -01 33 51.357069648|051.8747654416060 -35.2571184942046|  -1.603 -4.167     |9.88     |K0             |    ~     ~    |    1|  560.570   pc  |  -5.2164     +5.2164    |paral   |2020yCat.1350....0G
1740|NGC 7069                           NGC 7069                           |LINER-type Active Galaxy Nucleus  |21 28 05.889 -01 38 48.79              |051.629037 -35.096164              |            ~ ~     |     ~   |~              |0.793 0.524    |    1|   77.27    Mpc |                         |        |2016AJ....152...50T
1741|IRAS 21238-0130                                                       |Long-Period Variable Candidate    |21 26 23.3677755816 -01 17 05.660963124|051.7210199805771 -34.5414717798244|  -9.383 -0.447     |10.86    |~              |    ~     ~    |    1| 1611.6     pc  | -90.3849    +90.3849    |paral   |2020yCat.1350....0G
1742|BD-02 5538                                                            |Star                              |21 26 18.9629213904 -01 36 06.120456228|051.3842807810812 -34.6960685702618|    2.241 3.255     |10.235   |~              |    ~     ~    |    1|  186.700   pc  |  -2.4570     +2.4570    |ST-L    |2020AJ....160...83S
1743|TYC 5195-450-1                                                        |Star                              |21 26 53.0563270200 -01 01 26.767226964|052.0685249463479 -34.5048350645498|-15.244 -20.517     |10.10    |~              |    ~     ~    |    1|  629.189   pc  | -18.1400    +18.1400    |ST-L    |2020AJ....160...83S
1744|TYC 5195-331-1                                                        |Star                              |21 26 57.5989187952 -01 07 02.473501836|051.9857252440856 -34.5711820061839|    8.773 2.418     |10.044   |~              |    ~     ~    |    1|  269.899   pc  |  -4.4190     +4.4190    |ST-L    |2020AJ....160...83S
1745|TYC 5195-345-1                                                        |Star                              |21 27 34.8274090248 -00 04 55.261163352|053.1394808833738 -34.1367406062277| -10.569 -7.727     |10.3     |~              |    ~     ~    |    1|  899.523   pc  | -13.4318    +13.4318    |paral   |2020yCat.1350....0G
1746|BD-00 4224                                                            |Star                              |21 29 33.2520566400 -00 18 04.285437660|053.2468345810161 -34.6693451047599|-21.228 -17.171     |10.12    |~              |    ~     ~    |    1|  258.846   pc  |  -1.2529     +1.2529    |paral   |2020yCat.1350....0G
1747|TYC 5195-499-1                                                        |Horizontal Branch Star            |21 29 43.6826618640 -01 16 43.399030404|052.2771819935372 -35.2402004108022|-18.840 -11.635     |10.93    |~              |    ~     ~    |    1|  790.576   pc  | -10.8752    +10.8752    |paral   |2020yCat.1350....0G
1748|TYC 5195-9-1                                                          |Star                              |21 29 45.8609576136 -00 19 18.959310696|053.2609771993038 -34.7246182631959|    1.458 3.266     |10.23    |~              |    ~     ~    |    1|  357.846   pc  |  -8.3491     +8.3491    |paral   |2020yCat.1350....0G
1749|BD-00 4216                                                            |Star                              |21 26 05.532 -00 09 48.20              |052.811198 -33.870304              |     3.90 -7.20     |10.4     |~              |    ~     ~    |    0|                |                         |        |                   
1750|TYC 5195-97-1                                                         |Star                              |21 25 02.6338278600 -00 08 38.684079168|052.6583334213895 -33.6402970995932|  -1.466 -0.895     |10.29    |~              |    ~     ~    |    1|  787.278   pc  |  -9.7929     +9.7929    |paral   |2020yCat.1350....0G
1751|TYC 5195-173-1                                                        |Star                              |21 25 28.4350528632 -00 37 47.120052000|052.2383758090355 -33.9948444699226| -3.673 -17.579     |9.84     |~              |    ~     ~    |    1|  391.742   pc  |  -4.9568     +4.9568    |paral   |2020yCat.1350....0G
1752|TYC 5195-198-1                                                        |Star                              |21 26 00.2480509560 -00 01 54.309390528|052.9292527914323 -33.7797807254771|  -5.857 -0.707     |10.5     |~              |    ~     ~    |    1|  396.983   pc  |  -3.1677     +3.1677    |paral   |2020yCat.1350....0G
1753|TYC 5195-204-1                                                        |Star                              |21 24 11.4124753728 -00 05 20.118526584|052.5740622999999 -33.4313543542873|  -13.530 4.353     |10.6     |~              |    ~     ~    |    1|  315.288   pc  |  -1.6502     +1.6502    |paral   |2020yCat.1350....0G
1754|TYC 5195-266-1                                                        |Star                              |21 25 57.0489955176 -00 39 22.379772852|052.2896570963036 -34.1093333720203|  -8.132 -1.384     |10.4     |~              |    ~     ~    |    1|  226.999   pc  |  -0.8502     +0.8502    |paral   |2020yCat.1350....0G
1755|TYC 5195-308-1                                                        |Star                              |21 29 58.2178209432 -00 27 10.874227572|053.1622414792601 -34.8397635349768|   0.085 -2.449     |10.8     |~              |    ~     ~    |    1|  805.867   pc  | -14.4171    +14.4171    |paral   |2020yCat.1350....0G
1756|TYC 5195-309-1                                                        |Star                              |21 25 25.2072650112 -00 11 57.186211848|052.6645436880262 -33.7492012484251|   18.131 4.234     |10.07    |~              |    ~     ~    |    1|  508.466   pc  |  -4.1366     +4.1366    |paral   |2020yCat.1350....0G
1757|TYC 5195-376-1                                                        |Spectroscopic Binary              |21 27 47.0587950408 -00 39 56.538007128|052.5819578121798 -34.4990358176028|-46.098 -49.719     |10.9     |~              |    ~     ~    |    1|  236.518   pc  |  -1.1020     +1.1020    |paral   |2020yCat.1350....0G
1758|TYC 5195-394-1                                                        |Spectroscopic Binary              |21 23 45.9961116000 -00 36 14.499802800|051.9862009027647 -33.6221244937349| 63.083 -35.452     |10.15    |~              |    ~     ~    |    1|   85.173   pc  |  -1.1636     +1.1636    |paral   |2020yCat.1350....0G
1759|TYC 5195-448-1                                                        |Star                              |21 27 31.2220577544 -00 36 22.364125668|052.5987873503687 -34.4112834317065|-17.359 -16.759     |10.5     |~              |    ~     ~    |    1|  262.151   pc  |  -1.4913     +1.4913    |paral   |2020yCat.1350....0G
1760|TYC 5195-458-1                                                        |Star                              |21 27 55.4761635408 -00 57 13.992065316|052.3114516453059 -34.6852890482658|-11.902 -25.098     |10.7     |~              |    ~     ~    |    1|  383.112   pc  | -13.1364    +13.1364    |paral   |2020yCat.1350....0G
1761|TYC 5195-504-1                                                        |Star                              |21 27 44.9226190032 -01 07 29.416604376|052.1077110504951 -34.7410442787090| -7.360 -22.486     |10.66    |~              |    ~     ~    |    1|  127.641   pc  |  -1.2089     +1.2089    |paral   |2020yCat.1350....0G
1762|TYC 5195-511-1                                                        |Star                              |21 27 30.3707212248 -01 05 19.388846868|052.1047281307029 -34.6705209946209|-42.217 -21.458     |10.94    |~              |    ~     ~    |    1|  252.947   pc  |  -0.9341     +0.9341    |paral   |2020yCat.1350....0G
1763|TYC 5195-522-1                                                        |Star                              |21 22 41.2115566968 -00 39 57.339233388|051.7489536843777 -33.4282913824252| -8.988 -27.172     |10.59    |~              |    ~     ~    |    1|  479.478   pc  | -16.4148    +16.4148    |paral   |2020yCat.1350....0G
1764|TYC 5195-525-1                                                        |Spectroscopic Binary              |21 26 07.0628218872 -01 33 35.026914276|051.3951043491939 -34.6317339678787|   5.766 -3.189     |10.68    |~              |    ~     ~    |    1|  568.828   pc  |  -5.2741     +5.2741    |paral   |2020yCat.1350....0G
1765|TYC 5195-529-1                                                        |Star                              |21 27 58.3550015208 -00 53 05.794225620|052.3897487883994 -34.6578926576322| -2.062 -14.313     |10.7     |~              |    ~     ~    |    1|  931.880   pc  | -12.3313    +12.3313    |paral   |2020yCat.1350....0G
1766|TYC 5195-752-1                                                        |Horizontal Branch Star            |21 28 36.2440827096 -00 41 15.875539224|052.6953894441503 -34.6827744962013|-10.630 -12.271     |10.18    |~              |    ~     ~    |    1|  733.460   pc  |  -9.4144     +9.4144    |paral   |2020yCat.1350....0G
1767|TYC 5195-905-1                                                        |Star                              |21 26 18.5345754216 -01 44 23.117511480|051.2411814497543 -34.7684009469270|  3.980 -21.367     |10.380   |~              |    ~     ~    |    1|  338.504   pc  |  -6.6040     +6.6040    |ST-L    |2020AJ....160...83S
1768|TYC 5195-1171-1                                                       |Star                              |21 24 33.7518396792 -01 38 16.800547704|051.0629183423616 -34.3450216245747| -11.962 -8.984     |10.92    |~              |    ~     ~    |    1|  412.660   pc  |  -2.9630     +2.9630    |paral   |2020yCat.1350....0G
1769|TYC 5195-1310-1                                                       |Star                              |21 25 29.5333743720 -01 30 33.257983644|051.3452681731109 -34.4726757164021|   5.196 -8.756     |10.533   |~              |    ~     ~    |    1|  511.495   pc  | -20.9000    +20.9000    |ST-L    |2020AJ....160...83S
1770|TYC 5199-153-1                                                        |Star                              |21 24 14.7199887024 -01 58 01.566105060|050.6739901012398 -34.4527445924855| -5.928 -13.329     |10.913   |~              |    ~     ~    |    1|  295.759   pc  |  -9.1060     +9.1060    |ST-L    |2020AJ....160...83S
1771|CD-86 126                                                             |Long-Period Variable Candidate    |21 21 53.5676444208 -86 27 54.990280368|306.1407301185757 -29.2489957013601|   1.329 -2.962     |8.62     |M2/3(III)      |    ~     ~    |    1| 1045.15    pc  | -20.099     +20.099     |paral   |2020yCat.1350....0G
1772|CD-87 102                                                             |High Proper Motion Star           |21 22 54.4394045256 -87 02 54.776988240|305.5935006783135 -28.9147757846504|127.074 -86.504     |8.94     |G5             |    ~     ~    |    1|   71.377   pc  |  -0.0667     +0.0667    |paral   |2020yCat.1350....0G
1773|HD 198477                                                             |Spectroscopic Binary              |21 23 09.85224 -87 03 08.2099          |305.58782714 -28.91519969          |  116.74 -81.55     |8.74     |G6/K0(III)+G   |    ~     ~    |    0|                |                         |        |                   
1774|CPD-87 300                                                            |Star                              |21 17 29.2731412656 -87 18 17.312659092|305.4016178760496 -28.7102118315171| 12.037 -13.123     |10.44    |~              |    ~     ~    |    1|  223.594   pc  |  -0.7199     +0.7199    |paral   |2020yCat.1350....0G
1775|TYC 9532-1071-1                                                       |Star                              |21 19 08.7770864160 -87 47 50.956359000|304.9341274760775 -28.4372802528565|   -0.384 2.668     |10.75    |~              |    ~     ~    |    1|  882.846   pc  |  -8.6515     +8.6515    |paral   |2020yCat.1350....0G
1776|TYC 9532-90-1                                                         |Star                              |21 19 39.2723306568 -86 35 57.063349248|306.0390872317443 -29.1431474465065|   1.251 13.059     |10.62    |~              |    ~     ~    |    1|  189.811   pc  |  -0.4143     +0.4143    |paral   |2020yCat.1350....0G
1777|TYC 9532-89-1                                                         |Star                              |21 24 57.4463649480 -86 35 49.054445484|305.9878501193185 -29.2078933625042|   0.460 -4.390     |10.30    |~              |    ~     ~    |    1|  165.799   pc  |  -0.3436     +0.3436    |paral   |2020yCat.1350....0G
1778|PM J21281-8808                                                        |High Proper Motion Star           |21 28 09.7339275888 -88 08 11.521808916|304.5723534507323 -28.2959860870806|-107.574 67.748     |10.945   |~              |    ~     ~    |    1|   32.208   pc  |  -0.0237     +0.0237    |paral   |2020yCat.1350....0G
1779|V* DI Oct                                                             |Long-Period Variable              |21 23 06.7432373376 -85 38 19.463242344|306.8941942845603 -29.7525432214558|   -8.118 4.663     |7.29     |K5             |    ~     ~    |    1|  479.019   pc  |  -3.5796     +3.5796    |paral   |2020yCat.1350....0G
1780|HD 200752                                                             |High Proper Motion Star           |21 26 31.7977002888 -85 43 22.013967072|306.7722937019508 -29.7543046861455|167.973 -61.742     |8.85     |K0IV/V         |    ~     ~    |    1|  112.472   pc  |  -0.1822     +0.1822    |paral   |2020yCat.1350....0G
1781|ASAS J212703-8541.9                                                   |Rotating Variable                 |21 26 58.2134724312 -85 42 06.401163240|306.7859141904651 -29.7735158220078|  -10.491 9.633     |10.15    |G9IV           |    ~     ~    |    1|  234.182   pc  |  -4.8940     +4.8940    |ST-L    |2020AJ....160...83S
1782|TYC 9528-1301-1                                                       |Star                              |21 23 10.3009910688 -85 37 36.062853024|306.9046589143884 -29.7605482183129| 15.847 -20.087     |10.997   |~              |    ~     ~    |    1|  142.997   pc  |  -1.4630     +1.4630    |ST-L    |2020AJ....160...83S
1783|HD 200307                                                             |Star                              |21 15 55.5741520056 -83 15 57.206828844|309.2732334574602 -30.9546891999513| -8.271 -11.471     |7.59     |K1III          |    ~     ~    |    1|  278.211   pc  |  -1.1533     +1.1533    |paral   |2020yCat.1350....0G
1784|HD 200774                                                             |Star                              |21 18 53.0616083064 -83 31 00.423623280|308.9745810615846 -30.8872596700805| 17.472 -10.021     |9.78     |G8/K0(III)     |    ~     ~    |    1|  534.445   pc  |  -3.1991     +3.1991    |paral   |2020yCat.1350....0G
1785|HD 201487                                                             |Star                              |21 22 48.0774599880 -83 16 50.278403352|309.1278143241411 -31.1134983189867|   19.645 8.763     |9.75     |B9.5IV/V       |    ~     ~    |    1|  448.375   pc  | -11.2900    +11.2900    |ST-L    |2020AJ....160...83S
1786|HD 202460                                                             |Star                              |21 28 15.9810742008 -83 10 18.287942808|309.1220340015529 -31.3079168240638|  16.370 -5.213     |8.67     |G8/K0III       |    ~     ~    |    1|  305.083   pc  |  -1.5916     +1.5916    |paral   |2020yCat.1350....0G
1787|HD 201112                                                             |Star                              |21 21 10.2764535384 -83 35 12.625386324|308.8649914521508 -30.9009221528737|   2.117 -7.950     |9.92     |K              |    ~     ~    |    1|  372.349   pc  |  -6.6000     +6.6000    |ST-L    |2020AJ....160...83S
1788|HD 201191                                                             |Star                              |21 23 08.9888882568 -84 16 10.720123464|308.1792335031853 -30.5524140642642|   23.324 6.690     |8.12     |G8III          |    ~     ~    |    1|  249.109   pc  |  -1.1294     +1.1294    |paral   |2020yCat.1350....0G
1789|HD 199692                                                             |High Proper Motion Star           |21 18 00.5122764696 -85 12 04.284416484|307.3737969969691 -29.9220377794459| 60.390 -19.888     |7.01     |K0III          |    ~     ~    |    1|  176.175   pc  |  -1.6640     +1.6640    |ST-L    |2020AJ....160...83S
1790|HD 200204                                                             |High Proper Motion Star           |21 19 25.4275628160 -84 45 23.011139052|307.7765336982452 -30.2000759455796| 92.059 -68.990     |7.75     |F6/7V          |    ~     ~    |    1|   62.590   pc  |  -0.0650     +0.0650    |paral   |2020yCat.1350....0G
1791|HD 200526                                                             |Star                              |21 23 40.0125887712 -85 17 18.053347020|307.2135419041525 -29.9674662087811| 13.100 -25.815     |7.89     |A2/3V          |    ~     ~    |    1|  166.636   pc  |  -0.5720     +0.5720    |paral   |2020yCat.1350....0G
1792|HD 200221                                                             |Star                              |21 22 26.2898832600 -85 32 26.393130708|306.9944593595415 -29.7995850287611|   -4.013 5.798     |8.19     |A2             |    ~     ~    |    1|  180.375   pc  |  -0.5921     +0.5921    |paral   |2020yCat.1350....0G
1793|IRAS 21097-8301                                                       |Star                              |21 18 15.7363084296 -82 48 40.769557092|309.6720473783632 -31.2629765161288|  5.382 -13.762     |10.55    |~              |    ~     ~    |    1| 1228.954   pc  | -28.2431    +28.2431    |paral   |2020yCat.1350....0G
1794|CPD-83 710                                                            |Star                              |21 15 57.6077801640 -82 34 21.596464092|309.9528734923255 -31.3317892902352|    0.549 1.506     |10.22    |~              |    ~     ~    |    1|   88.291   pc  |  -0.2682     +0.2682    |paral   |2020yCat.1350....0G
1795|TYC 9524-2286-1                                                       |Star                              |21 24 27.4151219784 -82 57 02.074802400|309.4109291890391 -31.3432552963011|  2.507 -17.669     |10.846   |~              |    ~     ~    |    1|  347.085   pc  |  -6.5550     +6.5550    |ST-L    |2020AJ....160...83S
1796|TYC 9528-399-1                                                        |Star                              |21 15 01.8765425880 -85 42 53.197392096|306.9231034103084 -29.5841974688824|  14.871 -7.574     |10.83    |~              |    ~     ~    |    1|  327.461   pc  |  -1.2653     +1.2653    |paral   |2020yCat.1350....0G
1797|CD-83 268                                                             |Star                              |21 24 48.3182175240 -82 34 40.315765908|309.7612813595762 -31.5662157308210|  -23.689 9.282     |9.92     |K0             |    ~     ~    |    1|  281.128   pc  |  -0.8377     +0.8377    |paral   |2020yCat.1350....0G
1798|HD 201292                                                             |Star                              |21 19 44.1198059712 -82 12 19.347740280|310.2336729321064 -31.6370401520235|   11.846 9.333     |8.19     |A3II           |    ~     ~    |    1|  209.026   pc  |  -1.2889     +1.2889    |paral   |2020yCat.1350....0G
1799|CD-82 354                                                             |Double or Multiple Star           |21 25 44.3503661304 -82 00 41.239927404|310.2859823446468 -31.9164815434909| 16.100 -16.746     |9.989    |K0             |    ~     ~    |    1|  273.823   pc  |  -1.1322     +1.1322    |paral   |2020yCat.1350....0G
1800|HD 202680                                                             |Star                              |21 27 46.3922268624 -81 57 55.927988676|310.2820623537208 -32.0008634699523| -17.010 -4.020     |8.48     |F6V            |    ~     ~    |    1|  188.708   pc  |  -1.9657     +1.9657    |paral   |2020yCat.1350....0G
1801|CPD-82 849                                                            |BY Dra Variable                   |21 18 47.1432910536 -81 45 17.928858276|310.6979748126570 -31.8562602745563|   5.201 26.959     |10.852   |K0V            |    ~     ~    |    1|  108.228   pc  |  -1.2370     +1.2370    |ST-L    |2020AJ....160...83S
1802|CD-79 845                                                             |High Proper Motion Star           |21 18 55.8396567408 -79 28 21.114642540|312.9781587686950 -33.0848252112400|-144.975 12.882     |10.18    |K0             |    ~     ~    |    1|   73.791   pc  |  -0.0561     +0.0561    |paral   |2020yCat.1350....0G
1803|CD-79 848                                                             |Star                              |21 22 45.0585 -79 10 10.694            |313.1716214 -33.3960790            |  2.734 -17.757     |9.853    |~              |    ~     ~    |    1|  213.043   pc  |  -2.1930     +2.1930    |ST-L    |2020AJ....160...83S
1804|CD-80 784                                                             |Star                              |21 18 10.4804646528 -79 47 24.232610256|312.6778212655195 -32.8885619671913|   12.795 2.761     |9.76     |M0             |    ~     ~    |    1|  502.993   pc  |  -2.9348     +2.9348    |paral   |2020yCat.1350....0G
1805|HD 201230                                                             |Double or Multiple Star           |21 17 08.26002 -80 20 41.6879          |312.14538789 -32.55808591          |   12.84 -11.14     |7.55     |B9/9.5V        |    ~     ~    |    0|                |                         |        |                   
1806|CD-80 785                                                             |Double or Multiple Star           |21 20 46.070904 -80 08 07.33704        |312.258420769 -32.799998224        |      22.5 24.4     |9.845    |G5             |    ~     ~    |    1|  109.919   pc  | +14.425      +5         |ST-L    |2017AJ....153...75K
1807|HD 202046                                                             |Spectroscopic Binary              |21 22 14.9016298248 -80 06 50.274322452|312.2388452264777 -32.8649383065439|240.433 -106.100    |7.66     |G8IV           |    ~     ~    |    1|   89.217   pc  |  -0.8031     +0.8031    |paral   |2020yCat.1350....0G
1808|CD-80 787                                                             |Star                              |21 24 24.9450506424 -80 07 45.763815072|312.1626837869345 -32.9341437208708|-27.619 -20.432     |10.254   |G0             |    ~     ~    |    1|  168.517   pc  |  -1.5660     +1.5660    |ST-L    |2020AJ....160...83S
1809|HD 202733                                                             |Star                              |21 26 11.1656604288 -80 09 08.548785144|312.0896145215772 -32.9842725079937|   4.473 -5.122     |9.34     |K0/1III        |    ~     ~    |    1|  531.208   pc  |  -3.3015     +3.3015    |paral   |2020yCat.1350....0G
1810|HD 203203                                                             |Star                              |21 28 50.5374393840 -79 55 32.611953720|312.2354956050465 -33.2070413123148| 10.032 -16.514     |7.35     |K0II/III       |    ~     ~    |    1|  205.529   pc  |  -0.6336     +0.6336    |paral   |2020yCat.1350....0G
1811|CD-81 795                                                             |Star                              |21 16 52.2683887800 -81 01 53.374981080|311.4625894425495 -32.1853334738110|  23.202 -8.258     |10.162   |F8             |    ~     ~    |    1|  184.475   pc  |  -1.8320     +1.8320    |ST-L    |2020AJ....160...83S
1812|CD-81 797                                                             |Star                              |21 18 51.4273598688 -80 31 37.220761992|311.9173895039274 -32.5218233069386| -1.693 -13.534     |10.16    |G5             |    ~     ~    |    1|  295.603   pc  |  -4.2540     +4.2540    |ST-L    |2020AJ....160...83S
1813|CD-81 798                                                             |Star                              |21 20 28.8066708936 -80 49 06.631862124|311.5844456792376 -32.4198591286301| -9.004 -34.213     |10.01    |K5             |    ~     ~    |    1|  620.925   pc  |  -4.6651     +4.6651    |paral   |2020yCat.1350....0G
1814|CD-81 799                                                             |Spectroscopic Binary              |21 22 37.4774600520 -80 33 06.361084800|311.7929906646525 -32.6384102453204| -12.341 10.786     |10.553   |G0             |    ~     ~    |    1|  226.491   pc  |  -3.1880     +3.1880    |ST-L    |2020AJ....160...83S
1815|HD 202378                                                             |Star                              |21 24 13.9772232096 -80 31 41.837254032|311.7728139669993 -32.7064549786018|    8.153 4.328     |9.30     |F0V            |    ~     ~    |    1|  221.123   pc  |  -4.4000     +4.4000    |ST-L    |2020AJ....160...83S
1816|HD 202401                                                             |Spectroscopic Binary              |21 24 46.8487057560 -80 52 16.905948636|311.4202173273363 -32.5332698848279|  45.066 28.762     |9.725    |G3V            |    ~     ~    |    1|  178.118   pc  |  -3.6720     +3.6720    |ST-L    |2020AJ....160...83S
1817|HD 202707                                                             |Star                              |21 26 35.2124579568 -80 40 56.923974984|311.5570888882028 -32.6994707640723| -29.539 15.044     |8.13     |G0V            |    ~     ~    |    1|  116.492   pc  |  -0.2388     +0.2388    |paral   |2020yCat.1350....0G
1818|CD-80 781                                                             |High Proper Motion Star           |21 15 43.4096008728 -80 24 03.524651100|312.1255939294695 -32.4783333706102| -50.842 25.434     |10.684   |~              |    ~     ~    |    1|  227.424   pc  |  -3.7380     +3.7380    |ST-L    |2020AJ....160...83S
1819|CD-81 796                                                             |High Proper Motion Star           |21 18 49.8713170440 -81 14 56.219650620|311.1979877151933 -32.1323809901097|-49.509 -19.139     |10.70    |~              |    ~     ~    |    1|   96.763   pc  |  -0.5284     +0.5284    |ST-L    |2020AJ....160...83S
1820|CPD-79 1139                                                           |Star                              |21 20 16.4138665920 -78 38 09.399628320|313.7893679780108 -33.5793755110380| 19.346 -28.858     |10.887   |A5             |    ~     ~    |    1|  395.367   pc  |  -7.9390     +7.9390    |ST-L    |2020AJ....160...83S
1821|CD-79 849                                                             |Star                              |21 27 03.4093611768 -79 03 43.829851896|313.1460488731415 -33.6250029574048| 27.244 -18.872     |9.55     |M2             |    ~     ~    |    1|  816.727   pc  | -14.7416    +14.7416    |paral   |2020yCat.1350....0G
1822|CD-79 850                                                             |Star                              |21 27 48.9452180784 -79 17 02.715655596|312.9010733545285 -33.5308776629688|  2.372 -25.677     |10.34    |~              |    ~     ~    |    1|  619.963   pc  |  -3.9204     +3.9204    |paral   |2020yCat.1350....0G
1823|CD-77 1063                                                            |High Proper Motion Star           |21 18 51.0537546000 -77 10 57.528544044|315.3354693838604 -34.2662134990138|  76.586 -0.205     |10.192   |G5             |    ~     ~    |    1|  191.315   pc  |  -2.5540     +2.5540    |ST-L    |2020AJ....160...83S
1824|CD-77 1066                                                            |Star                              |21 23 57.7367335920 -76 45 16.873313184|315.6001158926707 -34.7337361038819| 28.655 -29.631     |10.090   |F8             |    ~     ~    |    1|  252.205   pc  |  -5.0040     +5.0040    |ST-L    |2020AJ....160...83S
1825|HD 202290                                                             |Star                              |21 21 17.9701402416 -77 15 38.937168612|315.1702042761801 -34.3424015492506| 23.658 -22.011     |8.98     |F2V            |    ~     ~    |    1|  152.158   pc  |  -2.6880     +2.6880    |paral   |2020yCat.1350....0G
1826|CD-77 1067                                                            |Star                              |21 24 51.7569092520 -77 03 35.978529096|315.2519151705133 -34.6162151962360|  -18.785 3.106     |9.71     |K0             |    ~     ~    |    1|  584.894   pc  | -19.1800    +19.1800    |ST-L    |2020AJ....160...83S
1827|HD 203214                                                             |High Proper Motion Star           |21 27 06.9890286528 -77 02 16.381696308|315.1926008887525 -34.7347767461452| 78.276 -51.178     |9.31     |F6V            |    ~     ~    |    1|  112.754   pc  |  -0.7572     +0.7572    |ST-L    |2020AJ....160...83S
1828|CD-78 966                                                             |Star                              |21 23 32.0881936536 -77 31 00.150229236|314.8288423301164 -34.3124864641463| 17.030 -21.924     |9.782    |K0             |    ~     ~    |    1|  575.915   pc  | -12.6000    +12.6000    |ST-L    |2020AJ....160...83S
