C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:53:35

dec< 0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8404

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
33  |CD-44 12031                                                                                              |Star                           |17 45 20.4606890136 -44 04 24.439353096|346.9726748593733 -07.7766374130962| -2.982 -13.782     |10.28    |F0              |    ~     ~          |    1|  542.064   pc  | -11.5477    +11.5477    |paral   |2020yCat.1350....0G
34  |HD 161027                                                                                                |Double or Multiple Star        |17 45 25.978464 -44 23 20.39316        |346.706738600 -07.951109325        |     -6.9 -24.8     |9.752    |G6/8(IV)        |    ~     ~          |    0|                |                         |        |                   
35  |HD 161142                                                                                                |Star                           |17 46 04.0392399696 -44 44 53.718415224|346.4516430235798 -08.2304747011266|   1.720 -4.066     |10.26    |B9IV            |    ~     ~          |    1| 1016.880   pc  | -24.7137    +24.7137    |paral   |2020yCat.1350....0G
36  |HD 161157                                                                                                |Star                           |17 46 08.7442098168 -44 36 33.617043648|346.5798703533141 -08.1722972989825|  15.222 -4.508     |8.83     |G8/K2(IVw)p     |    ~     ~          |    1|  208.646   pc  |  -0.8315     +0.8315    |paral   |2020yCat.1350....0G
37  |HD 161189                                                                                                |Star                           |17 46 19.2584681136 -44 07 37.806003192|347.0160063830418 -07.9555092936251|  -3.857 14.956     |9.37     |F3V             |    ~     ~          |    1|  173.283   pc  |  -0.5225     +0.5225    |paral   |2020yCat.1350....0G
38  |HD 161280                                                                                                |Star                           |17 46 48.3157250496 -44 41 21.935497596|346.5697998102139 -08.3139803903263|   3.650 -7.801     |9.61     |G8(III)         |    ~     ~          |    1|  442.087   pc  |  -4.2215     +4.2215    |paral   |2020yCat.1350....0G
39  |HD 161279                                                                                                |Star                           |17 46 47.2896010896 -44 29 49.532870256|346.7361295772546 -08.2144431277622|  -8.506 -2.596     |9.22     |G8III           |    ~     ~          |    1|  256.819   pc  |  -1.0685     +1.0685    |paral   |2020yCat.1350....0G
40  |HD 161414                                                                                                |Long-Period Variable           |17 47 40.7144367888 -44 42 44.169691068|346.6286693097422 -08.4596248702449|-11.791 -11.468     |10.21    |M3              |    ~     ~          |    1|  912.076   pc  | -22.6272    +22.6272    |paral   |2020yCat.1350....0G
41  |HD 161455                                                                                                |Double or Multiple Star        |17 47 51.5433714447 -44 32 37.036351679|346.7924571716542 -08.4028480711207|-14.062 -21.960     |8.34     |K1III           |    ~     ~          |    1|  288.717   pc  | -11.345     +11.345     |paral   |2020yCat.1350....0G
42  |CD-44 12072                                                                                              |Star                           |17 47 55.3979935008 -44 08 22.096502556|347.1516053714287 -08.2100426968756| -17.661 -8.642     |9.75     |K5              |    ~     ~          |    1|  481.788   pc  |  -4.1782     +4.1782    |paral   |2020yCat.1350....0G
