C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:17:26

dec >=0&rah >=14.0&rah< 14.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2283

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
49  |BD+78 476                                                                                                                                   |Star                                |14 04 02.3838485256 +78 05 14.109618336|118.2274003026549 +38.3698358514155|   -6.566 2.981  |8.87     |K2             |    ~     ~    |    1|  613.723   pc  |  -4.9719     +4.9719  |paral   |2020yCat.1350....0G
50  |* 4 UMi                                                                                                                                     |Spectroscopic Binary                |14 08 50.9261147184 +77 32 51.035212788|117.6727305674207 +38.7792474581623| -30.815 33.335  |4.805    |K3-IIIbFe-0.5  |    ~     ~    |    1|  252.6146  pc  | -18.2381    +18.2381  |paral   |2018yCat.1345....0G
51  |BD+78 479                                                                                                                                   |Star                                |14 12 19.5904155360 +77 44 49.718171400|117.5516179065415 +38.5233185416113|   8.061 -9.320  |10.51    |F5             |    ~     ~    |    1|  199.279   pc  |  -0.5997     +0.5997  |paral   |2020yCat.1350....0G
52  |HD 123897                                                                                                                                   |Star                                |14 05 21.8691535944 +76 58 53.897127492|117.6314650836318 +39.3759386554868| -10.435 23.449  |7.82     |A2             |    ~     ~    |    1|  194.299   pc  |  -4.0810     +4.0810  |paral   |2020yCat.1350....0G
53  |BD+77 531                                                                                                                                   |Star                                |14 09 20.4895148952 +77 09 48.361023864|117.4527893627034 +39.1241909139635|-15.902 -11.282  |8.96     |K0             |    ~     ~    |    1|  218.183   pc  |  -0.5141     +0.5141  |paral   |2020yCat.1350....0G
54  |TYC 4561-389-1                                                                                                                              |Star                                |14 12 39.1974141336 +79 28 56.682539508|118.3878386349548 +36.9189552823903|   2.233 -3.723  |10.58    |K5/8           |    ~     ~    |    1| 1942.879   pc  | -50.2046    +50.2046  |paral   |2020yCat.1350....0G
55  |TYC 4561-1665-1                                                                                                                             |Star                                |14 12 53.2647352704 +78 42 48.827912148|117.9995239039092 +37.6230611658224|   2.017 -2.000  |10.58    |~              |    ~     ~    |    1| 1066.098   pc  | -10.9110    +10.9110  |paral   |2020yCat.1350....0G
56  |NGC 5547                           NGC 5547                                                                                                 |Pair of Galaxies                    |14 09 45.527 +78 36 03.87              |118.124429 +37.786022              |            ~ ~  |     ~   |~              |0.423 0.322    |    0|                |                       |        |                   
57  |TYC 4558-1166-1                                                                                                                             |Star                                |14 11 26.8808596896 +76 50 34.572717276|117.1511974236987 +39.3735824594335|  -5.251 -2.319  |10.78    |~              |    ~     ~    |    1|  367.769   pc  |  -1.4337     +1.4337  |paral   |2020yCat.1350....0G
58  |TYC 4561-317-1                                                                                                                              |Star                                |14 12 56.2157210760 +79 10 13.499039892|118.2211088263140 +37.2014639885777|  2.916 -19.074  |10.42    |~              |    ~     ~    |    1|  258.345   pc  |  -1.3348     +1.3348  |paral   |2020yCat.1350....0G
