C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1527|CD-46 109                                                                                                |High Proper Motion Star             |00 26 11.9981701248 -45 25 34.427972352|316.6528970449246 -71.0236906316605| 41.402 -54.793   |10.491   |~              |    ~     ~    |    1|  275.126   pc  |  -4.2390     +4.2390    |ST-L    |2020AJ....160...83S
1528|CD-46 110                                                                                                |Star                                |00 26 24.4518441216 -46 07 29.172551088|315.9254643252023 -70.3668401579738|    2.325 8.233   |10.708   |~              |    ~     ~    |    1|  330.050   pc  |  -6.3880     +6.3880    |ST-L    |2020AJ....160...83S
1529|CD-47 119                                                                                                |Star                                |00 28 07.1378806728 -46 29 40.999094556|314.7827998793101 -70.0932707419222|  46.571 18.076   |10.11    |~              |    ~     ~    |    1|  316.817   pc  |  -1.3048     +1.3048    |paral   |2020yCat.1350....0G
1530|CD-45 130                                                                                                |Spectroscopic Binary                |00 28 11.9137436472 -45 07 46.279061148|315.8772567165562 -71.4100605749372|  17.871 -0.208   |10.92    |~              |    ~     ~    |    1|  471.943   pc  | -17.3952    +17.3952    |paral   |2020yCat.1350....0G
1531|CD-46 125                                                                                                |Star                                |00 29 05.3327924448 -45 51 32.368953060|314.8007059064643 -70.7507711582778|  -23.169 5.117   |10.797   |~              |    ~     ~    |    1|  175.564   pc  |  -1.8060     +1.8060    |ST-L    |2020AJ....160...83S
1532|CD-46 128                                                                                                |Star                                |00 29 22.4785928568 -45 53 15.935806500|314.6323432834402 -70.7359856452032|   19.888 4.135   |10.47    |~              |    ~     ~    |    1|  666.045   pc  |  -6.4768     +6.4768    |paral   |2020yCat.1350....0G
1533|CD-46 133                                                                                                |High Proper Motion Star             |00 29 48.1837145736 -45 55 12.290261268|314.3889357245414 -70.7238804382266| -4.749 -53.375   |10.385   |~              |    ~     ~    |    1|  195.277   pc  |  -2.3080     +2.3080    |ST-L    |2020AJ....160...83S
1534|CD-46 134                                                                                                |Star                                |00 29 59.4152541624 -46 11 42.123140628|314.0862625972535 -70.4659233056779|   33.134 1.938   |9.64     |~              |    ~     ~    |    1|  847.795   pc  | -37.3400    +37.3400    |ST-L    |2020AJ....160...83S
1535|CD-45 143                                                                                                |High Proper Motion Star             |00 29 47.8349544600 -45 16 42.744672804|314.9016514499724 -71.3434075563117|-11.629 -51.800   |10.604   |~              |    ~     ~    |    1|  141.782   pc  |  -7.0980     +7.0980    |ST-L    |2020AJ....160...83S
1536|TYC 8023-466-1                                                                                           |Star                                |00 24 49.3439461920 -46 04 28.606955880|316.7499790559050 -70.3329545552143|-11.788 -36.987   |10.943   |~              |    ~     ~    |    1|  308.638   pc  |  -4.9350     +4.9350    |ST-L    |2020AJ....160...83S
1537|TYC 8023-525-1                                                                                           |Star                                |00 29 28.4293832904 -46 33 40.500583776|314.0712188162113 -70.0890654193554|  -9.929 -5.534   |10.499   |~              |    ~     ~    |    1|  882.087   pc  | -38.5800    +38.5800    |ST-L    |2020AJ....160...83S
1538|TYC 8023-619-1                                                                                           |Star                                |00 28 22.4022252240 -45 13 57.419253552|315.6941120013586 -71.3197689919970|  -2.057 -5.287   |10.92    |~              |    ~     ~    |    1|  927.988   pc  | -12.3146    +12.3146    |paral   |2020yCat.1350....0G
1539|TYC 8023-671-1                                                                                           |High Proper Motion Star             |00 29 23.1487223496 -46 58 31.809117288|313.8147210572556 -69.6840309930088| 56.946 -27.548   |10.731   |~              |    ~     ~    |    1|  139.192   pc  |  -2.0170     +2.0170    |ST-L    |2020AJ....160...83S
1540|TYC 8023-676-1                                                                                           |Star                                |00 26 31.3687099440 -47 14 42.811712304|314.9574337507988 -69.2970282274629|   17.666 7.389   |10.30    |~              |    ~     ~    |    1| 1204.819   pc  | -22.6448    +22.6448    |paral   |2020yCat.1350....0G
1541|TYC 8023-866-1                                                                                           |Star                                |00 29 27.1256902320 -46 18 14.730951240|314.2731291290182 -70.3370021655010|   4.290 -3.103   |10.750   |~              |    ~     ~    |    1| 1875.410   pc  |-172.3000   +172.3000    |ST-L    |2020AJ....160...83S
1542|TYC 8023-888-1                                                                                           |Star                                |00 29 41.7631444584 -46 52 45.617981844|313.7345176775391 -69.7902458127667|   22.698 2.940   |10.430   |~              |    ~     ~    |    1|  852.599   pc  | -37.7800    +37.7800    |ST-L    |2020AJ....160...83S
1543|TYC 9134-496-1                                                                                           |Star                                |00 28 20.9587446984 -68 11 41.514840564|306.1824059888181 -48.7874103609360| -15.065 -0.185   |10.926   |~              |    ~     ~    |    1|  293.578   pc  |  -4.2390     +4.2390    |ST-L    |2020AJ....160...83S
1544|HD 2100                                                                                                  |Star                                |00 24 40.9395641328 -64 52 58.224082116|307.5386676104471 -52.0054336687817| -6.589 -16.138   |9.43     |K4/5(III)      |    ~     ~    |    1| 1113.090   pc  | -21.0625    +21.0625    |paral   |2020yCat.1350....0G
1545|HD 2147                                                                                                  |High Proper Motion Star             |00 25 05.6101396056 -64 46 15.770934372|307.4989765486581 -52.1229663026661| 83.431 -18.898   |10.20    |G0/2IV         |    ~     ~    |    1|  171.990   pc  |  -0.3638     +0.3638    |paral   |2020yCat.1350....0G
1546|HD 2166                                                                                                  |Star                                |00 25 11.6755630440 -64 50 18.627685260|307.4635020049068 -52.0582240517590| -13.646 -2.434   |9.28     |K5IV/V         |    ~     ~    |    1|  595.877   pc  |  -5.1485     +5.1485    |paral   |2020yCat.1350....0G
1547|HD 2204                                                                                                  |Star                                |00 25 24.9082845528 -64 50 19.044176604|307.4258638368501 -52.0619708743705|  -6.115 -0.457   |9.83     |F6V            |    ~     ~    |    1|  397.741   pc  |  -2.1199     +2.1199    |paral   |2020yCat.1350....0G
1548|HD 2251                                                                                                  |High Proper Motion Star             |00 25 47.6188524792 -64 56 18.196827648|307.3351142647296 -51.9700670536365|  63.586 28.369   |9.17     |K1III          |    ~     ~    |    1|  358.822   pc  |  -1.9699     +1.9699    |paral   |2020yCat.1350....0G
1549|HD 2148                                                                                                  |High Proper Motion Star             |00 25 06.5474891544 -65 23 56.362315488|307.3286803727032 -51.5039102217661| 42.813 -30.308   |8.61     |F6V            |    ~     ~    |    1|  132.305   pc  |  -4.8593     +4.8593    |paral   |2020yCat.1350....0G
1550|CD-66 21                                                                                                 |High Proper Motion Star             |00 25 10.5818926320 -65 21 03.959985636|307.3301804527030 -51.5523002774436|  53.143 -7.533   |9.63     |~              |    ~     ~    |    1|  537.779   pc  |  -3.3837     +3.3837    |paral   |2020yCat.1350....0G
1551|CD-66 22                                                                                                 |Star                                |00 25 30.9298792968 -65 47 11.484498984|307.1619703934199 -51.1282935566866| 29.960 -10.103   |10.53    |~              |    ~     ~    |    1|  301.595   pc  |  -1.2098     +1.2098    |paral   |2020yCat.1350....0G
1552|HD 2492                                                                                                  |Star                                |00 28 03.0533002296 -66 10 55.162408656|306.6619728679343 -50.7765477463338|  22.729 21.829   |9.31     |G3IV           |    ~     ~    |    1|  141.277   pc  |  -0.7066     +0.7066    |paral   |2020yCat.1350....0G
1553|CD-67 22                                                                                                 |Star                                |00 27 47.4191257128 -66 26 56.169717144|306.6422941218283 -50.5086122753718|   44.741 4.688   |9.98     |~              |    ~     ~    |    1|  548.656   pc  | -14.7000    +14.7000    |ST-L    |2020AJ....160...83S
1554|CD-67 21                                                                                                 |Star                                |00 26 30.2545774392 -66 20 31.222084488|306.8676198415550 -50.5952834459873|   4.878 10.065   |9.92     |~              |    ~     ~    |    1|  624.922   pc  |  -4.2567     +4.2567    |paral   |2020yCat.1350....0G
1555|HD 2352                                                                                                  |High Proper Motion Star             |00 26 45.9059991240 -64 36 23.896812780|307.2544676839491 -52.3140477314913| 124.321 28.784   |9.884    |G5/8           |    ~     ~    |    1|  118.522   pc  |  -0.7179     +0.7179    |ST-L    |2020AJ....160...83S
1556|HD 2516                                                                                                  |High Proper Motion Star             |00 28 19.9409844240 -64 43 46.765306020|306.9532813213099 -52.2178123964804| 85.746 -13.454   |7.74     |A9IV           |    ~     ~    |    1|  144.783   pc  |  -2.1820     +2.1820    |ST-L    |2020AJ....160...83S
1557|HD 2617                                                                                                  |High Proper Motion Star             |00 29 15.8559411936 -65 15 21.733846056|306.6733506632957 -51.7108343665610| 100.091 20.238   |8.82     |G0V            |    ~     ~    |    1|  128.187   pc  |  -0.1955     +0.1955    |paral   |2020yCat.1350....0G
1558|HD 2514                                                                                                  |Double or Multiple Star             |00 28 14.46338 -65 54 43.9112          |306.69295235 -51.04632305          |   -15.87 -9.51   |9.07     |A3mA7-F0       |    ~     ~    |    0|                |                         |        |                   
1559|CD-66 25                                                                                                 |High Proper Motion Star             |00 28 21.9509194992 -65 54 25.880620968|306.6740394652040 -51.0530970488708|  86.279 -4.232   |9.858    |~              |    ~     ~    |    1|  248.745   pc  |  -3.7560     +3.7560    |ST-L    |2020AJ....160...83S
1560|HD 2700                                                                                                  |Star                                |00 29 56.4430849440 -66 09 51.656511600|306.3667204046320 -50.8202944742477|   7.350 -7.214   |9.10     |K1III          |    ~     ~    |    1|  481.533   pc  |  -3.0144     +3.0144    |paral   |2020yCat.1350....0G
1561|CPD-65 34                                                                                                |Star                                |00 28 14.24 -64 47 14.7                |306.95583 -52.15919                |            ~ ~   |10.5     |~              |    ~     ~    |    0|                |                         |        |                   
1562|CD-65 17                                                                                                 |Star                                |00 27 34.2189581160 -65 17 14.170774920|306.9488451800823 -51.6544282158830|-38.041 -14.326   |10.136   |~              |    ~     ~    |    1|  211.474   pc  |  -3.2100     +3.2100    |ST-L    |2020AJ....160...83S
1563|CD-65 18                                                                                                 |Star                                |00 28 14.1993374280 -64 47 17.746419948|306.9557464881748 -52.1583444491675| -33.906 -2.425   |10.447   |~              |    ~     ~    |    1|  233.766   pc  |  -2.9630     +2.9630    |ST-L    |2020AJ....160...83S
1564|CPD-65 30                                                                                                |High Proper Motion Star             |00 26 47.5432313277 -64 32 46.134292456|307.2652230809088 -52.3742506702942|132.332 -143.114  |10.205   |~              |    ~     ~    |    1|   58.894   pc  |  -2.4350     +2.4350    |ST-L    |2020AJ....160...83S
1565|CPD-65 33                                                                                                |Star                                |00 27 59.9186694072 -64 51 23.203480356|306.9801754835689 -52.0871777844718|  -38.786 6.208   |10.93    |~              |    ~     ~    |    1|   76.376   pc  |  -0.3302     +0.3302    |ST-L    |2020AJ....160...83S
1566|CPD-66 30                                                                                                |Star                                |00 28 14.1047143152 -65 35 21.654156192|306.7678957911339 -51.3657402555969|    5.547 4.854   |10.845   |~              |    ~     ~    |    1|  719.954   pc  | -24.8800    +24.8800    |ST-L    |2020AJ....160...83S
1567|TYC 8847-16-1                                                                                            |Spectroscopic Binary                |00 29 21.2714677368 -67 16 48.790393104|306.2258070147707 -49.7065592315492| -9.580 -28.048   |10.65    |~              |    ~     ~    |    1|  223.115   pc  |  -3.7684     +3.7684    |paral   |2020yCat.1350....0G
1568|CD-65 13                                                                                                 |Star                                |00 25 15.3400272096 -64 24 46.114609680|307.5684186862016 -52.4791035115548|-12.847 -12.791   |10.88    |~              |    ~     ~    |    1|  320.461   pc  |  -1.5610     +1.5610    |paral   |2020yCat.1350....0G
1569|CPD-65 37                                                                                                |High Proper Motion Star             |00 29 01.0287605640 -64 26 14.884752156|306.9033680721956 -52.5175529853602| 51.714 -36.871   |10.34    |~              |    ~     ~    |    1|  242.166   pc  |  -0.6334     +0.6334    |paral   |2020yCat.1350....0G
1570|CPD-65 32                                                                                                |Star                                |00 27 48.5121362160 -64 21 38.271303288|307.1342824828315 -52.5743930237276|   12.876 7.350   |10.57    |~              |    ~     ~    |    1|  293.990   pc  |  -4.4300     +4.4300    |ST-L    |2020AJ....160...83S
1571|HD 1985                                                                                                  |Double or Multiple Star             |00 23 42.7613052024 -62 25 30.234015984|308.4395582332186 -54.4057109698400| 209.674 84.541   |7.60     |G8IV           |0.0117  0.0    |    1|   90.302   pc  |  -0.1900     +0.1900    |paral   |2020yCat.1350....0G
1572|HD 2122                                                                                                  |High Proper Motion Star             |00 24 57.1553596248 -63 57 01.792415952|307.7505928499336 -52.9292552186074|-70.623 -44.413   |8.80     |F7V            |    ~     ~    |    1|   79.412   pc  |  -0.0977     +0.0977    |paral   |2020yCat.1350....0G
1573|HD 2227                                                                                                  |Star                                |00 25 37.9935371040 -64 00 34.180124904|307.6121529947531 -52.8836357750648| -13.218 -5.077   |7.94     |G8III          |    ~     ~    |    1|  276.663   pc  |  -1.7146     +1.7146    |paral   |2020yCat.1350....0G
1574|CD-62 13                                                                                                 |High Proper Motion Star             |00 22 11.6390394504 -62 01 29.211091140|308.8708246428651 -54.7649801466674|  82.857 37.903   |10.25    |~              |    ~     ~    |    1|  162.573   pc  |  -0.4123     +0.4123    |paral   |2020yCat.1350....0G
1575|CPD-64 25                                                                                                |Star                                |00 23 55.9196664235 -63 34 49.823575014|308.0429354495917 -53.2739386930132| 18.445 -27.392   |10.78    |~              |    ~     ~    |    0|                |                         |        |                   
1576|CPD-64 26                                                                                                |Star                                |00 24 17.6031462408 -63 31 34.846764312|307.9927209213004 -53.3343704712460|   3.031 -4.308   |10.307   |~              |    ~     ~    |    1|  476.412   pc  | -11.4500    +11.4500    |ST-L    |2020AJ....160...83S
1577|CPD-63 36                                                                                                |Star                                |00 23 39.0508653216 -63 15 34.417152396|308.1916886666616 -53.5840038067272|    1.111 3.548   |10.536   |~              |    ~     ~    |    1|  856.998   pc  | -30.7100    +30.7100    |ST-L    |2020AJ....160...83S
1578|HD 2121                                                                                                  |High Proper Motion Star             |00 24 57.9634833912 -62 12 22.854211056|308.2610192624284 -54.6471537683652|112.079 -16.725   |8.14     |F3V            |    ~     ~    |    1|  131.884   pc  |  -0.3705     +0.3705    |paral   |2020yCat.1350....0G
1579|HD 2184                                                                                                  |Star                                |00 25 23.6363876064 -62 06 49.605016644|308.2041275542205 -54.7470720867498|  29.153 -3.551   |9.46     |F3V            |    ~     ~    |    1|  173.937   pc  |  -0.4115     +0.4115    |paral   |2020yCat.1350....0G
1580|CPD-63 41                                                                                                |Star                                |00 26 54.2564402352 -62 52 31.698105744|307.6887171431160 -54.0256099034486| -15.393 -5.613   |10.458   |~              |    ~     ~    |    1|  309.013   pc  |  -4.7810     +4.7810    |ST-L    |2020AJ....160...83S
1581|HD 2419                                                                                                  |Star                                |00 27 21.9874894680 -62 53 19.012373160|307.5966343161906 -54.0210824500843|-22.463 -10.394   |9.32     |K1III/IV       |    ~     ~    |    1|  466.723   pc  |  -2.9843     +2.9843    |paral   |2020yCat.1350....0G
1582|HD 2532                                                                                                  |Spectroscopic Binary                |00 28 26.2400601696 -63 42 22.548550788|307.1840199888198 -53.2316856286893|  14.995 -2.630   |9.74     |G6/8(IV)       |    ~     ~    |    1|  430.281   pc  | -18.8900    +18.8900    |ST-L    |2020AJ....160...83S
1583|HD 2699                                                                                                  |Star                                |00 29 53.3110187808 -64 12 27.749828772|306.8025466342558 -52.7582931517394|   17.333 5.308   |10.17    |K0/2III        |    ~     ~    |    1|  669.210   pc  |  -4.8367     +4.8367    |paral   |2020yCat.1350....0G
1584|CPD-64 36                                                                                                |Star                                |00 29 36.9284872176 -63 23 33.037438884|307.0430186500370 -53.5612059118023|   2.190 -4.363   |10.85    |~              |    ~     ~    |    1|  371.982   pc  |  -1.8680     +1.8680    |paral   |2020yCat.1350....0G
1585|CPD-62 39                                                                                                |Star                                |00 29 45.1631728464 -62 04 53.459907600|307.3398483270058 -54.8607550628380|-10.746 -18.672   |10.59    |~              |    ~     ~    |    1|  358.796   pc  |  -1.9568     +1.9568    |paral   |2020yCat.1350....0G
1586|TYC 8841-128-1                                                                                           |Star                                |00 23 50.4068593008 -61 46 09.283230876|308.6249637013768 -55.0529053364901|    3.946 0.078   |10.68    |~              |    ~     ~    |    1| 1403.115   pc  | -39.7684    +39.7684    |paral   |2020yCat.1350....0G
1587|CPD-63 38                                                                                                |Spectroscopic Binary                |00 26 17.3297294304 -63 12 28.309447728|307.7134037844322 -53.6862905746081|    3.170 1.918   |10.684   |~              |    ~     ~    |    1| 1845.400   pc  |-157.0000   +157.0000    |ST-L    |2020AJ....160...83S
1588|CPD-64 31                                                                                                |Star                                |00 26 51.0659432352 -64 02 31.406066232|307.3853817642148 -52.8730774001871| -13.693 -4.952   |10.645   |~              |    ~     ~    |    1|  872.261   pc  | -30.3000    +30.3000    |ST-L    |2020AJ....160...83S
1589|CPD-63 42                                                                                                |High Proper Motion Star             |00 26 57.0639610128 -63 16 13.328324868|307.5721447141432 -53.6367153188440|  55.648 76.055   |10.40    |~              |    ~     ~    |    1|  111.887   pc  |  -0.1878     +0.1878    |paral   |2020yCat.1350....0G
1590|CPD-64 33                                                                                                |Star                                |00 27 25.8953265000 -63 45 06.745257324|307.3560654568282 -53.1696789612656|  10.669 -8.840   |10.580   |~              |    ~     ~    |    1| 1777.610   pc  |-161.8000   +161.8000    |ST-L    |2020AJ....160...83S
1591|TYC 8841-5-1                                                                                             |Star                                |00 24 02.9006329320 -62 29 09.982928976|308.3548489093302 -54.3528167107496|  12.516 -7.478   |10.478   |~              |    ~     ~    |    1|  919.340   pc  | -37.7000    +37.7000    |ST-L    |2020AJ....160...83S
1592|TYC 8841-712-1                                                                                           |Star                                |00 29 33.3491637504 -61 57 37.590871644|307.4105537186979 -54.9771211427234|   6.041 12.373   |10.95    |~              |    ~     ~    |    1|  469.439   pc  |  -2.4902     +2.4902    |paral   |2020yCat.1350....0G
1593|TYC 8844-121-1                                                                                           |Star                                |00 25 00.3120864912 -63 41 05.315520156|307.8164965336637 -53.1920387457664|  24.802 -4.315   |10.902   |~              |    ~     ~    |    1|  337.543   pc  |  -5.9050     +5.9050    |ST-L    |2020AJ....160...83S
1594|TYC 8844-602-1                                                                                           |Star                                |00 29 03.4012131264 -64 22 29.549097660|306.9111195126095 -52.5801144065373|   9.638 -6.713   |10.96    |~              |    ~     ~    |    1|  366.448   pc  |  -1.7323     +1.7323    |paral   |2020yCat.1350....0G
1595|V* S Tuc                                                                                                 |Mira Variable                       |00 23 07.6788522792 -61 40 17.057494128|308.8020522175626 -55.1330169483405|  -0.855 -5.615   |8.20     |M3e            |    ~     ~    |    0|                |                         |        |                   
1596|CD-62 15                                                                                                 |Star                                |00 24 26.7731610480 -61 41 39.776678304|308.5258861989238 -55.1397405721032|  4.099 -34.622   |9.80     |~              |    ~     ~    |    1| 1720.282   pc  | -39.9515    +39.9515    |paral   |2020yCat.1350....0G
1597|HD 2270                                                                                                  |Star                                |00 26 06.0216253608 -61 32 18.739195260|308.2352229367520 -55.3280508617221| 34.334 -12.440   |8.98     |K2III          |    ~     ~    |    1|  377.958   pc  |  -1.9999     +1.9999    |paral   |2020yCat.1350....0G
1598|CD-62 19                                                                                                 |Star                                |00 26 33.9365417736 -61 33 46.585701036|308.1319411923622 -55.3134833459653| 40.393 -11.572   |10.359   |~              |    ~     ~    |    1|  127.125   pc  |  -0.2149     +0.2149    |paral   |2020yCat.1350....0G
1599|HD 2662                                                                                                  |Star                                |00 29 41.5857113616 -61 29 05.914886604|307.5059251042069 -55.4497429010364|  -1.405 -6.300   |9.71     |F7V            |    ~     ~    |    1|  174.734   pc  |  -0.3878     +0.3878    |paral   |2020yCat.1350....0G
1600|HD 1505                                                                                                  |High Proper Motion Star             |00 18 55.5724518264 -59 07 55.069335984|310.6917053920409 -57.5037878149917|-62.393 -94.947   |9.44     |G5V            |    ~     ~    |    1|   94.401   pc  |  -0.1221     +0.1221    |paral   |2020yCat.1350....0G
1601|CD-59 46                                                                                                 |Star                                |00 20 41.6372569296 -59 01 34.818324996|310.3242971099599 -57.6584808422068|  17.345 -5.473   |10.56    |~              |    ~     ~    |    1|  462.153   pc  | -23.5900    +23.5900    |ST-L    |2020AJ....160...83S
1602|HD 1542                                                                                                  |High Proper Motion Star             |00 19 24.2821905096 -59 41 27.416902704|310.3437835496902 -56.9739528099525| 67.060 -83.194   |7.97     |K0IIICNIV/V    |    ~     ~    |    1|  190.869   pc  |  -0.6667     +0.6667    |paral   |2020yCat.1350....0G
1603|CD-60 49                                                                                                 |Star                                |00 21 43.5843123480 -59 33 22.661207136|309.8715117827437 -57.1698443847785|   28.009 7.987   |9.984    |~              |    ~     ~    |    1|  185.400   pc  |  -2.9900     +2.9900    |ST-L    |2020AJ....160...83S
1604|CD-61 47                                                                                                 |Star                                |00 20 49.8669571968 -61 05 07.929292848|309.4837465105262 -55.6516701978495| 34.198 -18.211   |10.39    |~              |    ~     ~    |    1|  168.840   pc  |  -1.4210     +1.4210    |ST-L    |2020AJ....160...83S
1605|CD-61 48                                                                                                 |Star                                |00 21 28.9895643432 -61 05 30.909778836|309.3447510693277 -55.6618049271730|   28.220 5.935   |10.32    |~              |    ~     ~    |    1|  559.034   pc  |  -4.3128     +4.3128    |paral   |2020yCat.1350....0G
1606|CD-61 50                                                                                                 |Star                                |00 22 03.5515804344 -60 29 21.665345316|309.4428334367596 -56.2659677892401|-11.041 -16.573   |10.528   |~              |    ~     ~    |    1|  867.156   pc  | -29.8100    +29.8100    |ST-L    |2020AJ....160...83S
1607|HD 1818                                                                                                  |Star                                |00 22 10.0029058680 -61 17 50.688035952|309.1284303417257 -55.4772832670799|  32.800 11.934   |7.83     |K2III          |    ~     ~    |    1|  331.620   pc  |  -1.7486     +1.7486    |paral   |2020yCat.1350....0G
1608|HD 1840                                                                                                  |High Proper Motion Star             |00 22 29.2766658576 -60 37 20.984138220|309.3014636941116 -56.1462979415415| 47.610 -14.417   |9.993    |F5V            |    ~     ~    |    1|  278.735   pc  |  -4.0710     +4.0710    |ST-L    |2020AJ....160...83S
1609|HD 1860                                                                                                  |High Proper Motion Star             |00 22 34.1773037760 -61 02 05.417186928|309.1368153048544 -55.7442721524642|   69.844 7.051   |7.29     |A0V            |    ~     ~    |    1|  139.398   pc  |  -1.5293     +1.5293    |paral   |2020yCat.1350....0G
1610|HD 1839                                                                                                  |High Proper Motion Star             |00 22 30.4083147864 -59 01 20.730907164|309.8998451756563 -57.7127175218388| 73.695 -45.109   |9.632    |G2V            |    ~     ~    |    1|  130.244   pc  |  -0.8571     +0.8571    |ST-L    |2020AJ....160...83S
1611|CD-59 64                                                                                                 |Star                                |00 24 50.0625931920 -59 05 22.061860908|309.3259462294035 -57.7073041367793| 21.504 -23.092   |9.71     |~              |    ~     ~    |    1|  572.443   pc  |  -4.0961     +4.0961    |paral   |2020yCat.1350....0G
1612|CD-59 71                                                                                                 |Star                                |00 26 35.7327169128 -58 57 30.512563308|308.9542350606629 -57.8783577454856|  11.296 -5.365   |9.78     |~              |    ~     ~    |    1|  524.973   pc  | -12.7300    +12.7300    |ST-L    |2020AJ....160...83S
1613|HD 2351                                                                                                  |Star                                |00 26 57.3293651856 -58 54 38.002477104|308.8844909379630 -57.9338492295281|  31.093 -3.782   |9.16     |K1III          |    ~     ~    |    1|  336.780   pc  |  -1.7580     +1.7580    |paral   |2020yCat.1350....0G
1614|HD 2385                                                                                                  |Spectroscopic Binary                |00 27 14.8440910800 -59 12 43.296939828|308.7151256707070 -57.6437765411984|   -9.353 6.117   |9.529    |F2III          |    ~     ~    |    1|  207.776   pc  |  -4.7600     +4.7600    |ST-L    |2020AJ....160...83S
1615|HD 2417                                                                                                  |Star                                |00 27 28.2827592120 -58 57 11.081333880|308.7469961365395 -57.9037637278044|   37.621 0.771   |9.02     |K0III          |    ~     ~    |    1|  437.464   pc  | -13.0326    +13.0326    |paral   |2020yCat.1350....0G
1616|CD-59 76                                                                                                 |Star                                |00 28 38.4248839896 -59 11 05.509206096|308.3951740219974 -57.7009136344750|   -1.141 2.623   |9.805    |~              |    ~     ~    |    1|  664.339   pc  | -23.7800    +23.7800    |ST-L    |2020AJ....160...83S
1617|HD 2491                                                                                                  |Spectroscopic Binary                |00 28 10.7605514208 -59 19 20.823099168|308.4608497940752 -57.5554267753475|  23.096 -9.980   |9.69     |F5IV/V         |    ~     ~    |    1|  406.944   pc  |  -8.4880     +8.4880    |ST-L    |2020AJ....160...83S
1618|CD-60 50                                                                                                 |Star                                |00 22 27.5159775456 -60 05 31.974505908|309.5021998561136 -56.6648292946786|   -6.770 9.989   |10.548   |~              |    ~     ~    |    1|  258.982   pc  |  -3.3760     +3.3760    |ST-L    |2020AJ....160...83S
1619|CPD-60 27                                                                                                |Star                                |00 22 34.1598672768 -59 56 18.634518312|309.5347542454466 -56.8181200661414|  7.330 -13.341   |9.979    |~              |    ~     ~    |    1|  569.787   pc  | -14.4300    +14.4300    |ST-L    |2020AJ....160...83S
1620|HD 1913                                                                                                  |Star                                |00 23 01.1029761696 -60 17 02.558161536|309.3081971847427 -56.4909888985377|   17.393 0.034   |10.153   |A3mA7-A8       |    ~     ~    |    1|  324.871   pc  |  -5.4630     +5.4630    |ST-L    |2020AJ....160...83S
1621|CD-60 62                                                                                                 |Star                                |00 26 10.3228231944 -60 14 27.533412384|308.6262089982764 -56.6070596611489|   8.301 -3.787   |9.65     |~              |    ~     ~    |    1|  678.610   pc  |  -7.1840     +7.1840    |paral   |2020yCat.1350....0G
1622|HD 2281                                                                                                  |Spectroscopic Binary                |00 26 14.5480656216 -59 47 15.667913760|308.7584652921844 -57.0546297998121|-63.764 -47.496   |9.38     |K0IV/V         |    ~     ~    |    1|  152.077   pc  |  -3.6981     +3.6981    |paral   |2020yCat.1350....0G
1623|HD 2340                                                                                                  |Star                                |00 26 49.1407566768 -59 52 40.653590628|308.5981192073495 -56.9786303635150| -15.350 -6.102   |8.90     |K0III          |    ~     ~    |    1|  433.144   pc  |  -2.4577     +2.4577    |paral   |2020yCat.1350....0G
1624|HD 2418                                                                                                  |Star                                |00 27 26.8232209728 -60 10 38.529266808|308.3625922420391 -56.6972043299182|  -2.902 14.021   |9.921    |F6V            |    ~     ~    |    1|  190.941   pc  |  -1.9460     +1.9460    |ST-L    |2020AJ....160...83S
1625|HD 2430                                                                                                  |Star                                |00 27 32.4882406368 -60 03 38.116731528|308.3775155249400 -56.8142907150759|  -0.716 -2.705   |9.32     |K2/3III        |    ~     ~    |    1|  348.384   pc  |  -1.5778     +1.5778    |paral   |2020yCat.1350....0G
1626|HD 2440                                                                                                  |Star                                |00 27 39.2554467936 -60 16 49.370764044|308.2849180010365 -56.5999963558635|  42.769 -7.153   |8.91     |K1/2III        |    ~     ~    |    1|  387.567   pc  |  -2.2982     +2.2982    |paral   |2020yCat.1350....0G
1627|HD 2698                                                                                                  |Star                                |00 29 59.2247141496 -59 47 39.547515876|307.9015635598862 -57.1264746562538|    9.050 7.301   |8.12     |G8III          |    ~     ~    |    1|  312.022   pc  |  -2.3658     +2.3658    |paral   |2020yCat.1350....0G
1628|CD-61 65                                                                                                 |Star                                |00 25 55.7936565744 -60 32 12.510842928|308.5841484730639 -56.3106337743818|  -1.994 10.359   |10.202   |~              |    ~     ~    |    1|  816.556   pc  | -30.9400    +30.9400    |ST-L    |2020AJ....160...83S
1629|HD 2408                                                                                                  |Star                                |00 27 23.0267125824 -61 05 03.871054176|308.1026916503207 -55.8016966661106|   2.328 -8.613   |9.73     |F5(IV)         |    ~     ~    |    1|  439.020   pc  |  -2.5249     +2.5249    |paral   |2020yCat.1350....0G
