C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
42  |CD-45 71                                                                                                 |Spectroscopic Binary                |00 18 07.4204793672 -44 42 46.464359400|321.5509666006029 -71.1915089592691|59.990 -102.410   |9.83     |G5             |    ~     ~    |    1|  103.943   pc  |  -0.6955     +0.6955    |ST-L    |2020AJ....160...83S
43  |HD 1806                                                                                                  |High Proper Motion Star             |00 22 19.2777396720 -44 38 56.587375824|319.4648853728899 -71.5327453098957| 65.444 -18.562   |8.87     |F8V            |    ~     ~    |    1|  174.432   pc  |  -0.5355     +0.5355    |paral   |2020yCat.1350....0G
44  |CD-45 88                                                                                                 |Star                                |00 20 54.6443082672 -44 38 18.706157196|320.2131830202872 -71.4512715604313| 44.754 -19.622   |10.89    |~              |    ~     ~    |    1|  248.404   pc  |  -0.8577     +0.8577    |paral   |2020yCat.1350....0G
45  |CD-45 70                                                                                                 |Star                                |00 17 54.3023409672 -44 44 08.499580404|321.6329204671009 -71.1550672374123|   0.436 -0.309   |10.108   |~              |    ~     ~    |    1|  290.118   pc  | -16.2700    +16.2700    |ST-L    |2020AJ....160...83S
46  |CD-45 82                                                                                                 |Star                                |00 19 53.5549592544 -44 40 46.439131260|320.6905104218210 -71.3450594598458|  27.145 -2.841   |10.57    |~              |    ~     ~    |    1|  508.104   pc  |  -3.3046     +3.3046    |paral   |2020yCat.1350....0G
47  |CD-44 48                                                                                                 |Star                                |00 16 32.0 -44 17 36                   |322.8980 -71.4569                  |            ~ ~   |6.69     |~              |    ~     ~    |    0|                |                         |        |                   
48  |TYC 7527-892-1                                                                                           |Star                                |00 20 41.8326630912 -42 08 53.108960064|323.6463860952857 -73.7212471270033|  -0.735 -7.403   |10.60    |~              |    ~     ~    |    1|  351.729   pc  |  -2.1774     +2.1774    |paral   |2020yCat.1350....0G
49  |TYC 7530-200-1                                                                                           |Star                                |00 19 29.3051464296 -44 04 15.072967632|321.6532966961623 -71.8775257461225|  22.217 -2.389   |10.646   |~              |    ~     ~    |    1|  807.083   pc  | -39.6600    +39.6600    |ST-L    |2020AJ....160...83S
50  |TYC 7530-340-1                                                                                           |Spectroscopic Binary                |00 17 30.2116627920 -43 50 23.075345400|323.0078813431505 -71.9415781659252| 18.110 -12.367   |10.917   |~              |    ~     ~    |    1|  208.010   pc  |  -2.3780     +2.3780    |ST-L    |2020AJ....160...83S
51  |HD 1837                                                                                                  |Star                                |00 22 40.3553837112 -42 12 50.058183564|322.3566005868388 -73.8121108902793|   42.793 0.619   |10.00    |F3/5V          |    ~     ~    |    1|  434.953   pc  |  -2.5351     +2.5351    |paral   |2020yCat.1350....0G
