C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:54:04

dec< 0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6353

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
48  |TYC 4913-863-1                                                                                           |Star                               |10 45 42.5027 -00 01 24.539            |249.6832833 +49.3937994            |  -37.588 4.018   |10.9     |~                |    ~     ~    |    0|                |                         |        |                   
49  |TYC 4914-149-1                                                                                           |Star                               |10 50 17.8543978248 -01 41 40.692404688|252.7262802069959 +48.9998454994826| 34.177 -25.096   |10.94    |~                |    ~     ~    |    1|  169.874   pc  |  -0.9234     +0.9234    |paral   |2020yCat.1350....0G
50  |TYC 4914-259-1                                                                                           |Star                               |10 52 09.7902372816 -01 33 03.212510400|253.0979375960424 +49.4230115559197|-10.890 -27.251   |10.77    |~                |    ~     ~    |    1|  316.987   pc  |  -1.5273     +1.5273    |paral   |2020yCat.1350....0G
51  |TYC 4916-217-1                                                                                           |Star                               |10 48 00.7095784776 -02 32 27.609761868|252.9693607871323 +47.9916398218689|   7.556 -4.263   |10.517   |~                |    ~     ~    |    1|  907.269   pc  | -48.9700    +48.9700    |ST-L    |2020AJ....160...83S
52  |HD 93729                                                                                                 |High Proper Motion Star            |10 49 18.7941220392 -02 46 34.098947796|253.5647101606538 +48.0397717698105| 83.443 -94.024   |8.65     |K0V              |    ~     ~    |    1|   41.539   pc  |  -0.0519     +0.0519    |paral   |2020yCat.1350....0G
53  |AG-02 618                                                                                                |Spectroscopic Binary               |10 49 15.5328268176 -02 45 06.328847520|253.5250906459136 +48.0485482546059|   0.646 -5.293   |10.90    |F8               |    ~     ~    |    1|  945.626   pc  | -22.1764    +22.1764    |paral   |2020yCat.1350....0G
54  |HD 93832                                                                                                 |Star                               |10 49 52.9207670616 -02 41 50.212070304|253.6417001195519 +48.1938812401300|  -10.986 4.152   |8.57     |K0III            |    ~     ~    |    1|  320.174   pc  |  -2.0297     +2.0297    |paral   |2020yCat.1350....0G
55  |V* VY Sex                                                                                                |Eclipsing Binary                   |10 50 29.7198219744 -02 41 43.074331944|253.8094845236789 +48.2986554340156|-22.067 -90.757   |9.01     |G2V              |    ~     ~    |    1|  121.255   pc  |  -0.2999     +0.2999    |paral   |2020yCat.1350....0G
56  |HD 93638                                                                                                 |Star                               |10 48 32.1899225352 -03 15 19.123019388|253.8332027895465 +47.5553328999238|   2.173 10.027   |8.37     |F5V              |    ~     ~    |    1|   80.997   pc  |  -0.1784     +0.1784    |paral   |2020yCat.1350....0G
57  |BD-02 3223                                                                                               |Star                               |10 48 35.2432734048 -03 26 09.542352660|254.0270222049277 +47.4302206526925|  -1.053 -2.335   |9.42     |K0               |    ~     ~    |    1| 1007.252   pc  | -34.5964    +34.5964    |paral   |2020yCat.1350....0G
58  |BD-02 3224                                                                                               |Star                               |10 48 44.2182270816 -03 40 52.386972780|254.3106144254126 +47.2733183194139| -13.578 -0.009   |9.36     |K2               |    ~     ~    |    1|  577.901   pc  | -26.5840    +26.5840    |paral   |2020yCat.1350....0G
59  |BD-02 3228                                                                                               |Star                               |10 49 34.7015138736 -02 59 48.999902496|253.8602787784705 +47.9214781423347| 18.704 -20.411   |9.37     |K5               |    ~     ~    |    1|  440.800   pc  | -13.8151    +13.8151    |paral   |2020yCat.1350....0G
60  |HD 93879                                                                                                 |Star                               |10 50 08.0998815816 -03 12 14.328559008|254.2211777598960 +47.8613906390997| 35.335 -28.027   |8.41     |K0III            |    ~     ~    |    1|  273.635   pc  |  -1.7147     +1.7147    |paral   |2020yCat.1350....0G
61  |HD 94014                                                                                                 |High Proper Motion Star            |10 51 05.4081454560 -03 05 33.600197652|254.3746977064427 +48.1036244115756|-54.616 -10.976   |5.941    |K4/5III          |    ~     ~    |    1|  163.816   pc  |  -1.0010     +1.0010    |paral   |2020yCat.1350....0G
62  |HD 94122                                                                                                 |High Proper Motion Star            |10 51 42.7167933192 -03 39 34.476678900|255.1101953059247 +47.7831000025473|-157.540 88.410   |9.234    |F7/8V            |    ~     ~    |    1|   91.513   pc  |  -0.1742     +0.1742    |paral   |2020yCat.1350....0G
63  |BD-02 3239                                                                                               |Star                               |10 51 48.4097096136 -03 32 12.051816360|255.0155687940981 +47.8909396241266| 28.062 -19.140   |9.45     |K1               |    ~     ~    |    1|  297.309   pc  |  -4.6495     +4.6495    |paral   |2020yCat.1350....0G
64  |BD-03 2996                                                                                               |Star                               |10 47 57.4878513384 -04 01 42.048978996|254.4393384859550 +46.8853047111675|-13.363 -41.845   |9.58     |K3               |    ~     ~    |    1|  211.188   pc  |  -3.0000     +3.0000    |ST-L    |2020AJ....160...83S
65  |BD-03 3002                                                                                               |High Proper Motion Star            |10 50 30.1840605816 -03 57 07.259344308|255.0615163642617 +47.3643201051006| -49.342 17.084   |9.945    |G8               |    ~     ~    |    1|  228.370   pc  |  -3.6100     +3.6100    |ST-L    |2020AJ....160...83S
66  |HD 94149                                                                                                 |Star                               |10 51 54.9387416472 -04 07 13.063218600|255.6170191457725 +47.4697824001929|  -3.782 -4.307   |8.28     |M1III            |    ~     ~    |    1|  584.556   pc  |  -8.8502     +8.8502    |paral   |2020yCat.1350....0G
67  |BD-02 3229                                                                                               |Spectroscopic Binary               |10 49 35.5807959912 -03 22 57.714662532|254.2497720148411 +47.6380764411610|   2.063 -1.738   |9.823    |~                |    ~     ~    |    1|  415.922   pc  | -12.0700    +12.0700    |ST-L    |2020AJ....160...83S
68  |HD 93313                                                                                                 |Star                               |10 46 21.9478294320 -04 37 38.193930264|254.5909731580788 +46.1743895503348| -19.178 -5.718   |9.27     |G6/8IV           |    ~     ~    |    1|  767.048   pc  | -10.6494    +10.6494    |paral   |2020yCat.1350....0G
69  |BD-03 2997                                                                                               |High Proper Motion Star            |10 48 38.6608011240 -04 41 24.198136152|255.2665171864680 +46.5042000767024|-44.999 -28.713   |10.03    |F2               |    ~     ~    |    1|  203.314   pc  |  -0.6531     +0.6531    |paral   |2020yCat.1350....0G
70  |BD-03 3003                                                                                               |Star                               |10 50 45.9730281408 -04 44 18.370100796|255.8936465726399 +46.8149710640040|   3.655 -3.663   |9.20     |G0               |    ~     ~    |    1|   98.416   pc  |  -0.1569     +0.1569    |paral   |2020yCat.1350....0G
71  |HD 94042                                                                                                 |Star                               |10 51 13.4107326672 -04 21 19.903285440|255.6524338168409 +47.1790325716332|  -18.304 9.181   |8.97     |F5V              |    ~     ~    |    1|  229.785   pc  |  -0.9927     +0.9927    |paral   |2020yCat.1350....0G
72  |HD 94058                                                                                                 |Star                               |10 51 18.4538409384 -04 44 11.428506060|256.0412344071600 +46.9044710733229|  -8.668 -3.706   |7.14     |K1III            |    ~     ~    |    1|  344.744   pc  |  -8.3669     +8.3669    |paral   |2020yCat.1350....0G
73  |HD 93293                                                                                                 |Double or Multiple Star            |10 46 14.729664 -04 58 44.50404        |254.896041874 +45.891948307        |     74.4 -25.5   |9.51     |G5V              |    ~     ~    |    0|                |                         |        |                   
74  |BD-04 2961                                                                                               |High Proper Motion Star            |10 51 00.5952 -05 06 06.937            |256.3060791 +46.5787608            |    -33.5 -65.4   |10.30    |K4               |    ~     ~    |    1|   44.508   pc  | +12.889     +75         |ST-L    |2017AJ....153...75K
75  |BD-02 3212                                                                                               |Star                               |10 45 20.2037626104 -03 16 37.744555656|252.9898145144217 +46.9977462103446|  -4.969 -2.789   |9.45     |~                |    ~     ~    |    1|  893.648   pc  | -56.0700    +56.0700    |ST-L    |2020AJ....160...83S
76  |BD-04 2939                                                                                               |Star                               |10 45 44.9849390424 -05 16 26.756488488|255.0443188144129 +45.5893013701741|  -7.102 14.817   |9.73     |~                |    ~     ~    |    1|  551.086   pc  |  -5.0413     +5.0413    |paral   |2020yCat.1350....0G
77  |BD-02 3215                                                                                               |Star                               |10 46 18.3150655152 -03 01 05.614237272|252.9899929846061 +47.3519953656860| 14.692 -28.459   |10.839   |~                |    ~     ~    |    1|  724.700   pc  | -38.8900    +38.8900    |ST-L    |2020AJ....160...83S
78  |BD-03 2990                                                                                               |Star                               |10 46 20.6618012472 -04 10 19.375381092|254.1439459650654 +46.5090882283827|  4.669 -11.558   |9.783    |~                |    ~     ~    |    1|  404.357   pc  | -11.4400    +11.4400    |ST-L    |2020AJ....160...83S
79  |BD-02 3216                                                                                               |Star                               |10 46 21.4005570624 -03 25 28.757763228|253.4107587805330 +47.0627856999904|  -13.010 9.969   |10.95    |~                |    ~     ~    |    1|  534.874   pc  |  -3.9194     +3.9194    |paral   |2020yCat.1350....0G
80  |BD-03 2992                                                                                               |High Proper Motion Star            |10 46 48.7930016520 -04 42 40.290646644|254.7917955574249 +46.1860582481279|  13.388 70.986   |9.89     |~                |    ~     ~    |    1|   77.560   pc  |  -0.1973     +0.1973    |paral   |2020yCat.1350....0G
81  |BD-02 3218                                                                                               |Star                               |10 46 51.2673811896 -03 05 25.474705332|253.2108252188965 +47.3925167562075|   2.464 -6.438   |10.66    |~                |    ~     ~    |    1|  530.082   pc  | -15.7915    +15.7915    |paral   |2020yCat.1350....0G
82  |BD-04 2947                                                                                               |Star                               |10 46 52.8319504224 -05 02 51.400426200|255.1315826465922 +45.9454775575729| -20.974 11.652   |9.681    |~                |    ~     ~    |    1|  785.011   pc  | -50.1400    +50.1400    |ST-L    |2020AJ....160...83S
83  |BD-03 2993                                                                                               |Star                               |10 47 29.7704731392 -03 47 00.991380732|254.0739303858954 +46.9898185762342| 11.671 -10.608   |10.895   |~                |    ~     ~    |    1| 1112.500   pc  | -53.8800    +53.8800    |ST-L    |2020AJ....160...83S
84  |BD-04 2949                                                                                               |Star                               |10 47 36.1496502048 -05 20 02.025383676|255.5970406092943 +45.8488559520501| -2.304 -35.298   |10.438   |~                |    ~     ~    |    1|  186.283   pc  |  -4.6480     +4.6480    |ST-L    |2020AJ....160...83S
85  |BD-02 3220                                                                                               |High Proper Motion Star            |10 47 59.0224785840 -03 18 35.456937228|253.7368423564420 +47.4220271060786| -31.123 88.197   |10.16    |~                |    ~     ~    |    1|  133.474   pc  |  -0.3723     +0.3723    |paral   |2020yCat.1350....0G
86  |BD-04 2951                                                                                               |Spectroscopic Binary               |10 48 05.6946868704 -04 55 47.795770992|255.3468440904468 +46.2336283838899| -5.094 -10.289   |10.812   |~                |    ~     ~    |    1| 1332.200   pc  |-123.6000   +123.6000    |ST-L    |2020AJ....160...83S
87  |BD-03 2998                                                                                               |Star                               |10 48 43.4605460112 -03 51 25.460862984|254.4801795891278 +47.1404096175972|-37.725 -11.427   |9.72     |~                |    ~     ~    |    1|  124.117   pc  |  -0.3774     +0.3774    |paral   |2020yCat.1350....0G
88  |BD-02 3225                                                                                               |Star                               |10 48 54.6970914840 -02 58 27.231013380|253.6542027390988 +47.8259938684171| -2.049 -14.525   |10.52    |~                |    ~     ~    |    1|  239.774   pc  |  -0.9831     +0.9831    |paral   |2020yCat.1350....0G
89  |BD-03 3000                                                                                               |High Proper Motion Star            |10 49 59.7159972936 -04 15 47.720887812|255.2244118859923 +47.0470556813786|-67.205 -88.188   |9.74     |~                |    ~     ~    |    1|   64.391   pc  |  -0.0663     +0.0663    |paral   |2020yCat.1350....0G
90  |BD-04 2956                                                                                               |Star                               |10 50 16.0000937784 -04 52 47.511826608|255.8911006632663 +46.6265935374691|  -0.879 -1.918   |10.224   |~                |    ~     ~    |    1|  202.485   pc  |  -3.4770     +3.4770    |ST-L    |2020AJ....160...83S
91  |BD-02 3232                                                                                               |Star                               |10 50 30.5363462928 -03 17 33.796777884|254.4130542872727 +47.8578420353834|   2.397 -9.337   |10.343   |~                |    ~     ~    |    1|  419.964   pc  | -10.6500    +10.6500    |ST-L    |2020AJ....160...83S
92  |BD-04 2958                                                                                               |High Proper Motion Star            |10 50 35.7053143296 -05 07 04.609933500|256.2071029985323 +46.4994415663932| -80.355 -7.324   |10.280   |~                |    ~     ~    |    1|  230.198   pc  |  -4.3480     +4.3480    |ST-L    |2020AJ....160...83S
93  |BD-02 3233                                                                                               |High Proper Motion Star            |10 50 44.2708106304 -03 37 30.754040952|254.8057672310426 +47.6478454130904| -53.243 -4.247   |10.85    |~                |    ~     ~    |    1|  283.712   pc  |  -1.2315     +1.2315    |paral   |2020yCat.1350....0G
94  |BD-04 2960                                                                                               |High Proper Motion Star            |10 50 52.9341 -05 15 35.981            |256.4199811 +46.4378685            |    -77.8 -21.3   |10.33    |~                |    ~     ~    |    0|                |                         |        |                   
95  |BD-02 3234                                                                                               |High Proper Motion Star            |10 50 59.4895629744 -03 37 26.458629636|254.8748882630251 +47.6907379690122|  -93.630 8.475   |10.77    |~                |    ~     ~    |    1|   99.197   pc  |  -0.5683     +0.5683    |ST-L    |2020AJ....160...83S
96  |BD-02 3235                                                                                               |Star                               |10 51 02.2740938616 -03 28 24.206536164|254.7390220554937 +47.8110595844345| -9.722 -20.248   |10.68    |~                |    ~     ~    |    0|                |                         |        |                   
97  |BD-04 2965                                                                                               |Star                               |10 51 39.1137288264 -05 09 11.823885108|256.5317193425977 +46.6432914842193|   -0.192 7.342   |9.651    |~                |    ~     ~    |    1|  123.425   pc  |  -0.9308     +0.9308    |ST-L    |2020AJ....160...83S
98  |BD-03 3007                                                                                               |Star                               |10 52 07.7007850632 -04 19 59.056456548|255.8820554954205 +47.3436438937614| -35.322 -4.200   |10.28    |~                |    ~     ~    |    1|  169.120   pc  |  -2.6200     +2.6200    |ST-L    |2020AJ....160...83S
99  |BD-04 2943                                                                                               |Star                               |10 46 24.0467672088 -04 49 32.135819844|254.7908842429183 +46.0322878056466|   -7.767 4.924   |10.45    |~                |    ~     ~    |    1|  931.359   pc  | -18.4762    +18.4762    |paral   |2020yCat.1350....0G
100 |BD-04 2945                                                                                               |Star                               |10 46 49.0859305752 -05 01 35.413028760|255.0947254958801 +45.9510028782029|  -6.613 -5.734   |9.93     |~                |    ~     ~    |    1| 1477.105   pc  | -53.0187    +53.0187    |paral   |2020yCat.1350....0G
