C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
4046|HD 140095                                                             |Star                           |15 44 20.5574738448 -54 02 03.181253316|326.6514307575247 +00.6763198917438|-25.643 -14.508     |9.81     |G2/3V              |    ~     ~          
4047|TYC 8696-83-1                                                         |Star                           |15 43 00.2452458000 -54 00 27.523160604|326.5114362726396 +00.8168906309603|-25.482 -10.634     |9.62     |~                  |    ~     ~          
4048|TYC 8696-375-1                                                        |Star                           |15 43 22.4451592344 -53 56 37.459149540|326.5934541476206 +00.8347250631000|  -1.005 -5.686     |10.91    |~                  |    ~     ~          
4049|TYC 8696-441-1                                                        |Pulsating Variable             |15 42 22.4095977792 -53 50 04.373361024|326.5422228827513 +01.0108857204490|  -2.617 -7.426     |10.83    |~                  |    ~     ~          
4050|TYC 8696-1475-1                                                       |Star                           |15 43 16.8665823696 -53 46 03.538780356|326.6894073203826 +00.9830173487365| -9.536 -18.637     |10.31    |~                  |    ~     ~          
4051|TYC 8696-1887-1                                                       |Star                           |15 44 19.2274500840 -53 51 22.704667056|326.7573003302834 +00.8193451100283| -3.777 -13.145     |10.84    |~                  |    ~     ~          
4052|TYC 8696-1997-1                                                       |Star                           |15 43 48.7038623256 -53 36 56.450131740|326.8441346706597 +01.0560350728688| -4.176 -10.047     |10.60    |~                  |    ~     ~          
4053|TYC 8696-2169-1                                                       |Star                           |15 44 17.9441081568 -53 32 52.320341004|326.9428180516562 +01.0657956148363|  -0.245 -2.254     |10.80    |~                  |    ~     ~          
4054|TYC 8696-2197-1                                                       |Star                           |15 43 24.1990011840 -53 41 14.721131040|326.7524655987735 +01.0358187874267|   0.097 -7.943     |10.07    |~                  |    ~     ~          
4055|TYC 8696-2263-1                                                       |Star                           |15 44 56.7958429704 -53 46 47.876187144|326.8771090952840 +00.8234040497317|  -2.303 -4.395     |10.27    |~                  |    ~     ~          
4056|TYC 8696-2431-1                                                       |Star                           |15 44 12.4878802262 -53 45 53.222331581|326.7999309119269 +00.9020155835044|  -2.538 -2.071     |9.87     |~                  |    ~     ~          
4057|TYC 8696-2749-1                                                       |Star                           |15 44 59.1926257536 -53 21 44.463488832|327.1371661783487 +01.1502491361426|-10.524 -16.262     |9.80     |~                  |    ~     ~          
4058|TYC 8696-2825-1                                                       |Star                           |15 44 33.9863492664 -53 22 33.558458556|327.0792106324522 +01.1777331120225|    7.654 6.550     |10.60    |~                  |    ~     ~          
4059|HD 138048                                                             |Star                           |15 31 28.3828500960 -47 11 33.723317544|329.0702600893918 +07.3943396838263|  -2.365 -5.164     |9.00     |ApSi(Cr)           |    ~     ~          
4060|HD 138260                                                             |Star                           |15 32 52.4502795528 -47 24 58.553304372|329.1350463888816 +07.0745453255767|   7.806 -6.068     |9.03     |F0V                |    ~     ~          
4061|HD 137958                                                             |Star                           |15 30 58.8805127448 -47 55 13.219797180|328.5796135215642 +06.8472513043278| -5.975 -17.517     |6.84     |G3II/III           |    ~     ~          
4062|CD-47 10060                                                           |Star                           |15 31 38.2383718320 -47 52 15.703341168|328.6987502703580 +06.8242581293530| -13.051 -5.687     |10.31    |A3                 |    ~     ~          
4063|HD 138178                                                             |Star                           |15 32 19.1033916096 -48 01 48.816137460|328.6998875429755 +06.6284307332735|-20.155 -11.523     |8.97     |K1III              |    ~     ~          
4064|HD 138164                                                             |Star                           |15 32 16.6028289744 -47 28 14.084584140|329.0203763898861 +07.0888727548957|-25.011 -27.363     |8.76     |F3IV               |    ~     ~          
4065|HD 138177                                                             |High Proper Motion Star        |15 32 23.8187972280 -47 37 53.416018632|328.9431532481656 +06.9459238756922|-47.587 -46.244     |9.02     |G3IV               |    ~     ~          
4066|CD-47 10078                                                           |High Proper Motion Star        |15 32 45.7485380040 -47 59 57.215144904|328.7789106177558 +06.6106857254987|-47.771 -24.526     |9.80     |F5                 |    ~     ~          
4067|HD 138287                                                             |Star                           |15 33 07.1644093512 -47 48 44.225359380|328.9372026318641 +06.7281884710945|  -2.710 -2.328     |8.60     |K0/1III+A          |    ~     ~          
4068|HD 138362                                                             |High Proper Motion Star        |15 33 33.2545722048 -47 32 16.129898376|329.1579892909181 +06.9088332770957|-47.359 -69.136     |7.13     |F0IV               |    ~     ~          
4069|CD-47 10102                                                           |Star                           |15 34 09.4839840480 -47 44 35.269464876|329.1205714642533 +06.6827370601571|  -9.339 -5.307     |10.24    |A3                 |    ~     ~          
4070|HD 138585                                                             |Star                           |15 34 55.0525343712 -47 47 02.570243316|329.2006607825584 +06.5748745204226|-17.598 -19.942     |9.16     |F6/7V              |    ~     ~          
4071|CD-47 10115                                                           |Star                           |15 35 05.5695152856 -47 30 44.780621364|329.3851441163510 +06.7775280733674|  -4.768 -4.185     |10.53    |A0                 |    ~     ~          
4072|HD 138770                                                             |Star                           |15 36 02.5659411240 -47 39 29.681663364|329.4292082008270 +06.5653913675249|  -2.429 -4.147     |10.12    |B9II               |    ~     ~          
4073|HD 138893                                                             |Star                           |15 36 47.5719561744 -47 34 23.898614484|329.5823857352345 +06.5592727271909| -11.075 -4.180     |8.89     |A0V                |    ~     ~          
4074|CD-47 10053                                                           |Star                           |15 31 19.7035262928 -48 11 32.039094228|328.4699102139905 +06.5914789341433| -4.303 -32.731     |9.76     |G0                 |    ~     ~          
4075|CD-47 10063                                                           |Star                           |15 31 45.4362989112 -48 17 56.277815856|328.4667602345156 +06.4631030878552|  -3.457 -2.895     |10.21    |B8                 |    ~     ~          
4076|HD 138128                                                             |Star                           |15 31 54.9432881760 -48 18 42.330365856|328.4809920446642 +06.4374533816624|-32.389 -22.612     |8.73     |K1III              |    ~     ~          
4077|CD-47 10080                                                           |High Proper Motion Star        |15 32 48.6583629072 -48 10 21.438585336|328.6843515769482 +06.4647197513620|-106.592 -45.194    |9.79     |G5                 |    ~     ~          
4078|HD 137817                                                             |Star                           |15 30 03.7557446568 -48 28 22.268908452|328.1344401864711 +06.4822827423784|  -4.442 -3.580     |9.77     |B8II               |    ~     ~          
4079|CD-47 10045                                                           |Star                           |15 30 55.0270868520 -48 05 52.942811712|328.4679289913523 +06.7079915866757|-13.832 -10.329     |10.35    |~                  |    ~     ~          
4080|CD-46 10135                                                           |Star                           |15 31 51.1462349496 -47 11 32.074308852|329.1235832661951 +07.3574910335990| -9.508 -10.444     |10.16    |~                  |    ~     ~          
4081|CD-47 10098                                                           |Star                           |15 33 51.9874958208 -48 04 45.547188096|328.8831620467579 +06.4382316762025|  -1.357 -1.504     |9.87     |~                  |    ~     ~          
4082|TYC 8299-73-1                                                         |Spectroscopic Binary           |15 30 09.9234385464 -48 20 28.614672780|328.2242552622087 +06.5804636259858| -81.505 14.614     |10.43    |~                  |    ~     ~          
4083|TYC 8299-306-1                                                        |Star                           |15 32 13.3331590032 -47 16 55.216845264|329.1228418876521 +07.2479630568731|-15.969 -19.692     |10.83    |~                  |    ~     ~          
4084|TYC 8299-405-1                                                        |Star                           |15 30 22.9006956864 -47 54 14.504213520|328.5061604398729 +06.9182806201334|  -3.724 -5.077     |10.94    |~                  |    ~     ~          
4085|TYC 8299-591-1                                                        |Star                           |15 33 27.8007362208 -48 07 58.133297820|328.7967573927867 +06.4339309375599| -7.879 -13.929     |10.34    |~                  |    ~     ~          
4086|TYC 8299-953-1                                                        |Star                           |15 31 06.9763069656 -47 55 34.356529416|328.5948400582985 +06.8294497021366|  -15.00 -22.40     |10.7     |~                  |    ~     ~          
4087|TYC 8299-1440-1                                                       |Star                           |15 33 18.7399721352 -47 19 35.860669608|329.2483873641787 +07.1043401939935|  -6.691 -0.727     |10.67    |~                  |    ~     ~          
4088|TYC 8299-1773-1                                                       |Star                           |15 31 06.1771913976 -47 43 44.303059884|328.7072943525055 +06.9920676149413|  -1.504 -0.695     |10.76    |~                  |    ~     ~          
4089|TYC 8299-1908-1                                                       |Star                           |15 31 43.7486862576 -47 16 59.690172504|329.0533437674469 +07.2953105856988|  -4.970 -9.343     |10.78    |~                  |    ~     ~          
4090|TYC 8299-2241-1                                                       |Star                           |15 33 23.1505212456 -47 40 41.991582576|329.0523387182948 +06.8111198514034|  -4.954 -0.380     |10.60    |~                  |    ~     ~          
4091|TYC 8299-2812-1                                                       |Spectroscopic Binary           |15 30 25.7470005096 -48 29 44.692283472|328.1713866503159 +06.4287558154955|-16.454 -18.546     |10.99    |~                  |    ~     ~          
4092|TYC 8300-1212-1                                                       |Star                           |15 35 27.3793630536 -47 40 30.939762432|329.3387813137255 +06.6097591500477|  -3.433 -2.303     |10.76    |~                  |    ~     ~          
4093|TYC 8300-2008-1                                                       |Star                           |15 34 20.9443582848 -47 25 26.873614416|329.3346743397062 +06.9227388810546|-12.951 -13.948     |10.76    |~                  |    ~     ~          
4094|TYC 8300-2063-1                                                       |Star                           |15 33 50.7649486296 -47 27 46.551372084|329.2423095294245 +06.9409342110115|  -2.929 -7.660     |10.97    |~                  |    ~     ~          
4095|HD 138474                                                             |Star                           |15 34 15.4271314560 -48 05 26.906482284|328.9297349370649 +06.3908326644610| -10.520 -3.150     |8.83     |K0III              |    ~     ~          
4096|HD 138676                                                             |Double or Multiple Star        |15 35 28.3951975872 -47 50 57.403628808|329.2381431660471 +06.4673036657339| 59.693 -77.790     |8.80     |G8IV/V             |0.0050  0.0          
4097|HD 138795                                                             |Star                           |15 36 15.6460167000 -48 09 06.234832800|329.1661407596109 +06.1452628285080|  -6.052 -6.135     |9.65     |B9IV               |    ~     ~          
4098|HD 138959                                                             |Star                           |15 37 15.8712949776 -48 07 19.052451696|329.3196867241651 +06.0702867082860| -10.242 -4.093     |9.59     |A3III              |    ~     ~          
4099|HD 139065                                                             |Star                           |15 37 59.4749475792 -48 00 09.400657032|329.4892018648105 +06.0942530847343|  -5.578 -4.743     |10.22    |B9V                |    ~     ~          
4100|HD 139296                                                             |Double or Multiple Star        |15 39 17.5660 -47 51 04.452            |329.7559945 +06.0856656            |     -8.6 -11.3     |9.46     |G8(IV)             |    ~     ~          
4101|HD 138397                                                             |Star                           |15 33 44.6422032384 -48 10 05.143911672|328.8143971408806 +06.3779904815789| -3.933 -11.719     |9.82     |F2V                |    ~     ~          
4102|HD 138531                                                             |Star                           |15 34 39.0135760896 -48 20 59.643242988|328.8308365522695 +06.1423320624427|  -7.228 -7.966     |8.67     |M0(III)            |    ~     ~          
4103|CD-47 10112                                                           |Star                           |15 34 48.0542247672 -48 18 43.479396792|328.8735232650851 +06.1583490173056|   1.854 -3.288     |9.93     |F8                 |    ~     ~          
4104|HD 138637                                                             |Star                           |15 35 17.4592894536 -48 21 42.393907980|328.9105997996047 +06.0703474434517| -10.179 -3.637     |9.15     |A8III              |    ~     ~          
4105|HD 138657                                                             |Star                           |15 35 19.8270524016 -48 14 34.089593136|328.9861636055666 +06.1628281543814|-18.286 -45.411     |9.44     |A1/2mA7-A7         |    ~     ~          
4106|HD 138825                                                             |Double or Multiple Star        |15 36 30.7178 -48 15 40.943            |329.1350706 +06.0320449            |      -3.7 -9.7     |10.18    |A5IV/V             |    ~     ~          
4107|CD-48 10009                                                           |Star                           |15 30 16.9524759456 -49 22 29.308218240|327.6458086926909 +05.7215138423039|    1.116 1.264     |9.70     |K0                 |    ~     ~          
4108|CD-48 10016                                                           |Star                           |15 30 34.7924938200 -48 53 14.851539672|327.9662213774597 +06.0933987188120|  -0.776 -5.633     |10.61    |B8/A0              |    ~     ~          
4109|HD 138012                                                             |Star                           |15 31 20.4617981904 -49 03 25.882879176|327.9711619867758 +05.8827167497456|-17.240 -11.209     |9.08     |K1/2(III)          |    ~     ~          
4110|CD-48 10027                                                           |Star                           |15 31 24.0203054376 -49 10 30.755458380|327.9109476654331 +05.7805668197626|  -3.448 -7.645     |10.58    |~                  |    ~     ~          
4111|CD-48 10035                                                           |Star                           |15 31 50.2532932728 -49 05 03.271652808|328.0223632584716 +05.8137914009478|  -4.443 -5.752     |10.45    |B8/A0              |    ~     ~          
4112|HD 138139                                                             |High Proper Motion Star        |15 32 06.6036920784 -48 57 10.766194812|328.1351419298458 +05.8952556617126|-53.557 -83.070     |9.47     |G0/2V              |    ~     ~          
4113|CD-48 10043                                                           |Star                           |15 32 09.6665400768 -49 06 39.960972936|328.0502865625352 +05.7613060680664|  -3.695 -8.497     |9.95     |G5                 |    ~     ~          
4114|CD-48 10078                                                           |Star                           |15 34 28.3449962640 -48 37 32.867877108|328.6446224407673 +05.9357053320899|  -0.586 -1.836     |10.34    |~                  |    ~     ~          
4115|HD 138586                                                             |alpha2 CVn Variable            |15 34 56.7888807600 -48 39 06.458982804|328.6932008553860 +05.8688147553391| -4.692 -10.558     |9.01     |ApSi(Sr)           |    ~     ~          
4116|IRAS 15303-4822                                                       |Star                           |15 33 55.3492481328 -48 32 42.169991568|328.6177250493622 +06.0543470458793|  -3.998 -7.374     |10.62    |~                  |    ~     ~          
4117|CPD-48 7636                                                           |Emission-line Star             |15 34 53.5555586616 -48 39 25.600579848|328.6828184441408 +05.8697142413573|  -5.843 -1.809     |9.87     |~                  |    ~     ~          
4118|CD-48 10048                                                           |Star                           |15 32 40.6947140520 -48 44 58.801930728|328.3299904310900 +06.0071435406732|  -8.745 -7.655     |10.49    |~                  |    ~     ~          
4119|CD-47 10138                                                           |Star                           |15 36 33.7332658392 -47 39 56.966940936|329.4957695666975 +06.5076477416876| -8.625 -18.565     |9.96     |~                  |    ~     ~          
4120|HD 139235                                                             |Star                           |15 38 57.4330856712 -48 08 17.921896620|329.5381719738794 +05.8891128207312| -3.924 -10.348     |10.12    |A0IV/V             |    ~     ~          
4121|CD-47 10184                                                           |Pulsating Variable             |15 39 40.9450740456 -48 05 12.657876396|329.6666281283358 +05.8579218897050| -8.187 -10.495     |10.37    |A0                 |    ~     ~          
4122|HD 139526                                                             |Star                           |15 40 33.1007064696 -48 01 08.225514732|329.8243718713927 +05.8249657632531|  -2.611 -4.449     |9.91     |B9V                |    ~     ~          
4123|CD-47 10215                                                           |Star                           |15 41 24.1904862216 -47 59 58.010006328|329.9503841069230 +05.7546450925861|  -5.604 -4.699     |10.39    |B8                 |    ~     ~          
4124|CD-47 10177                                                           |Pulsating Variable             |15 39 16.2235403520 -48 19 05.139065676|329.4722052655248 +05.7137990748968|  -3.243 -2.985     |10.69    |G0                 |    ~     ~          
4125|HD 139297                                                             |Star                           |15 39 16.7051519448 -48 17 34.791172044|329.4883640956780 +05.7331151795048|  -9.707 -1.520     |9.49     |F2/3(V)            |    ~     ~          
4126|CD-47 10180                                                           |Star                           |15 39 17.7679237680 -48 21 09.696764376|329.4548566698904 +05.6835103209984|  -6.594 -4.612     |10.20    |F8                 |    ~     ~          
4127|CD-47 10195                                                           |Star                           |15 40 23.3031621768 -48 22 05.509468560|329.5914248891390 +05.5623198021012|   27.357 3.799     |10.49    |G0                 |    ~     ~          
4128|HD 139546                                                             |Star                           |15 40 42.7807602408 -48 11 29.926984668|329.7415021092843 +05.6708541128062|  -2.990 -6.675     |8.87     |B7IV               |    ~     ~          
4129|CD-47 10224                                                           |Star                           |15 42 00.5854028568 -48 09 51.266997108|329.9312600033283 +05.5621396461660|  -0.195 -2.152     |10.46    |B9                 |    ~     ~          
4130|HD 139771                                                             |Star                           |15 42 02.8075027248 -48 17 09.350113668|329.8621337906451 +05.4615807232685|  -4.110 -7.525     |8.46     |B8IV               |    ~     ~          
4131|HD 139962                                                             |Star                           |15 43 06.0891413592 -48 20 25.881882324|329.9687881828980 +05.3117279928034|  -3.581 -4.290     |10.08    |B9IV/V             |    ~     ~          
4132|HD 329893                                                             |Star                           |15 44 57.8496266904 -48 18 51.509821608|330.2309499531340 +05.1432424811161|    3.372 7.642     |9.52     |G5                 |    ~     ~          
4133|HD 138129                                                             |Star                           |15 32 03.6891357216 -49 10 24.063577428|328.0008142251728 +05.7198622584802|  -6.807 -4.420     |9.61     |A1IV/V             |    ~     ~          
4134|HD 138149                                                             |Star                           |15 32 11.9469609984 -49 07 37.131964140|328.0461780391959 +05.7447481727211|  -8.678 -7.388     |9.88     |A3/5III(m)         |    ~     ~          
4135|HD 138347                                                             |Star                           |15 33 29.0935565304 -49 00 02.566329588|328.2922364042821 +05.7257098980335| -7.226 -10.024     |7.73     |K1II/IIICNIb/II    |    ~     ~          
4136|CD-48 10060                                                           |Star                           |15 33 32.0988539904 -48 56 49.139638692|328.3303409847821 +05.7646589087374|    3.885 3.404     |9.82     |~                  |    ~     ~          
4137|CD-48 10059                                                           |Star                           |15 33 32.1497305104 -48 58 20.162237988|328.3156848563446 +05.7440031570824| -7.712 -10.766     |10.44    |~                  |    ~     ~          
4138|CD-48 10062                                                           |Star                           |15 33 38.4611318688 -49 13 00.591568860|328.1869188714196 +05.5349878828785| -10.819 -8.481     |10.82    |~                  |    ~     ~          
4139|CD-48 10064                                                           |Star                           |15 33 43.7338234104 -49 20 14.716501404|328.1282021220662 +05.4285395352777|  -0.998 -2.159     |10.33    |G0                 |    ~     ~          
4140|HD 138417                                                             |Star                           |15 33 57.1335614976 -48 49 45.930694044|328.4551633465222 +05.8203568457465|-12.250 -11.104     |9.21     |F0V                |    ~     ~          
4141|HD 138432                                                             |Pulsating Variable             |15 34 00.9050753520 -48 59 47.692183164|328.3657325434432 +05.6784759843604| -13.130 -9.984     |8.47     |A3III/IV           |    ~     ~          
4142|CD-48 10071                                                           |Star                           |15 34 17.5580243064 -49 13 44.640033924|328.2666628219130 +05.4630924330518| -9.296 -12.421     |10.91    |A3                 |    ~     ~          
4143|CD-48 10073                                                           |Spectroscopic Binary           |15 34 18.3247781520 -49 10 53.916019428|328.2961508831622 +05.5003981881293|-11.921 -22.042     |9.77     |~                  |    ~     ~          
4144|CD-48 10075                                                           |High Proper Motion Star        |15 34 22.3035683712 -48 52 55.146778824|328.4807037704254 +05.7374212517935|-34.699 -36.473     |10.40    |G0                 |    ~     ~          
4145|CD-48 10085                                                           |Spectroscopic Binary           |15 35 07.2724356576 -49 14 11.459122332|328.3725481296870 +05.3780063239903|-31.997 -24.719     |10.89    |F8                 |    ~     ~          
4146|CD-48 10090                                                           |Star                           |15 35 22.2325385712 -49 11 06.861889356|328.4358709796114 +05.3957010756828| -11.073 -9.464     |10.96    |B8/A0              |    ~     ~          
4147|CD-48 10092                                                           |Star                           |15 35 38.5720465752 -49 03 16.924370040|328.5490520548946 +05.4752660765561|   1.039 -4.139     |9.79     |K5                 |    ~     ~          
4148|CD-48 10094                                                           |Star                           |15 35 41.7440152728 -48 47 28.634223372|328.7115654608213 +05.6833559131098|  -3.574 -2.270     |10.50    |F5                 |    ~     ~          
4149|HD 138784                                                             |Star                           |15 36 10.4326800168 -48 28 57.857289852|328.9582270693582 +05.8863795078251|  -5.555 -7.786     |10.27    |A                  |    ~     ~          
4150|HD 138785                                                             |Star                           |15 36 12.7660182456 -48 42 47.966550624|328.8269136048347 +05.6962649099662|   -0.776 1.976     |7.77     |K4III              |    ~     ~          
4151|CD-48 10108                                                           |Star                           |15 36 42.6330691248 -49 10 49.408343580|328.6165928970794 +05.2708229535909| -13.026 -7.707     |9.15     |~                  |    ~     ~          
4152|CD-48 10114                                                           |Star                           |15 36 55.7499771120 -48 49 06.054754044|328.8604189368277 +05.5418161065843|  -7.609 -0.027     |9.93     |K0                 |    ~     ~          
4153|CD-48 10115                                                           |Star                           |15 37 00.4815961128 -49 16 59.194334352|328.5950429227716 +05.1592485523302| -14.509 -2.756     |10.15    |K0                 |    ~     ~          
4154|HD 138928                                                             |Star                           |15 37 11.2974406368 -49 13 30.742072680|328.6532342414253 +05.1885631053864|  -1.082 -1.658     |9.83     |B2/3III/IV         |    ~     ~          
4155|CD-48 10117                                                           |Star                           |15 37 15.1999225104 -49 13 37.501126788|328.6607165181096 +05.1807678704532|-11.930 -11.451     |10.36    |~                  |    ~     ~          
4156|CD-48 10121                                                           |Star                           |15 37 14.5304999592 -48 39 17.265444012|328.9994364116607 +05.6431601528418|  -32.388 3.247     |10.60    |G0                 |    ~     ~          
4157|HD 138976                                                             |High Proper Motion Star        |15 37 27.5089252056 -49 18 12.218536620|328.6424540916517 +05.0994502907621|-32.928 -37.204     |9.43     |F2V                |    ~     ~          
4158|CD-48 10126                                                           |Star                           |15 37 31.1277053904 -49 07 02.171429688|328.7611120138589 +05.2435819854476| -6.583 -14.689     |10.14    |~                  |    ~     ~          
4159|CD-48 10127                                                           |Star                           |15 37 33.5350137648 -49 03 23.697361188|328.8025369311293 +05.2885767150175|  -7.230 -9.776     |10.66    |F8                 |    ~     ~          
4160|CD-48 10130                                                           |Star                           |15 37 46.4155611792 -48 36 01.390280760|329.1029092003296 +05.6349256393860|  -4.429 -3.431     |10.47    |~                  |    ~     ~          
4161|CD-48 10134                                                           |Star                           |15 37 54.9416175048 -48 39 38.157485184|329.0859696459333 +05.5725343487004|-21.982 -18.027     |10.19    |~                  |    ~     ~          
4162|CD-48 10135                                                           |Star                           |15 38 01.3440556752 -49 10 21.381293712|328.7947359689949 +05.1501815085316|  -1.473 -4.000     |10.73    |B8/A0              |    ~     ~          
4163|CD-48 10136                                                           |Star                           |15 38 03.0305249760 -49 03 31.876135344|328.8662874100335 +05.2389672134051|-11.552 -10.311     |10.98    |G                  |    ~     ~          
4164|CD-48 10144                                                           |Star                           |15 38 18.8756597064 -48 44 51.356860836|329.0871815199067 +05.4634521933911|  -0.531 -5.328     |9.71     |K0                 |    ~     ~          
4165|CD-48 10147                                                           |Star                           |15 38 26.7653532696 -48 25 57.945817308|329.2930473204009 +05.7034840387165| -15.956 -6.400     |10.79    |F0                 |    ~     ~          
4166|HD 139261                                                             |Variable Star                  |15 39 06.3945975744 -48 36 49.590234900|329.2727654812365 +05.4929651527646|  -3.351 -5.298     |7.83     |M0/1III            |    ~     ~          
4167|CD-48 10155                                                           |Star                           |15 39 08.9818285488 -49 02 36.767654844|329.0207144862906 +05.1440092259136| 11.040 -21.426     |10.73    |G0                 |    ~     ~          
4168|HD 139367                                                             |Star                           |15 39 48.1103913096 -49 04 00.866574156|329.0926638819849 +05.0613941430280|  -5.231 -5.285     |9.09     |B8II               |    ~     ~          
4169|CD-48 10171                                                           |Star                           |15 39 55.6604730432 -48 41 17.910077964|329.3371013098873 +05.3520964173046|    -8.40 -3.70     |10.75    |F2                 |    ~     ~          
4170|CD-48 10172                                                           |High Proper Motion Star        |15 39 59.9678166360 -49 11 16.310565204|329.0459014004588 +04.9451802881801|-31.277 -46.406     |10.03    |~                  |    ~     ~          
4171|CD-48 10174                                                           |Star                           |15 40 07.8814184520 -48 36 54.825558228|329.4081658473571 +05.3903883187541|  -0.378 -2.691     |10.60    |~                  |    ~     ~          
4172|HD 139433                                                             |Star                           |15 40 11.0098722552 -49 01 09.714500076|329.1715310631886 +05.0619554351548|  -4.316 -6.844     |9.85     |B9.5Vn             |    ~     ~          
4173|CD-48 10178                                                           |Spectroscopic Binary           |15 40 17.6801873016 -49 04 31.339733700|329.1524164467738 +05.0062233070410|-10.896 -11.174     |10.43    |B8/A0              |    ~     ~          
4174|CD-48 10179                                                           |Star                           |15 40 18.8237229216 -48 26 28.607385156|329.5373497200687 +05.5113520292707|  -8.124 -3.867     |10.31    |~                  |    ~     ~          
4175|HD 139467                                                             |Star                           |15 40 19.3367322312 -48 25 07.380305004|329.5521087289819 +05.5285360728774|  -7.755 -8.433     |9.50     |A1/2IV             |    ~     ~          
4176|CD-48 10181                                                           |Star                           |15 40 31.1776048488 -48 45 28.334875068|329.3735723850773 +05.2378543419101|  -6.404 -4.029     |10.62    |A2                 |    ~     ~          
4177|CD-48 10182                                                           |Star                           |15 40 44.2767238848 -48 35 56.179787820|329.4984932487628 +05.3431423669469|   3.778 -2.596     |10.89    |G0                 |    ~     ~          
4178|CD-48 10190                                                           |Star                           |15 41 05.9679720192 -49 07 53.629356180|329.2241334015021 +04.8821121207486|  -1.521 -2.838     |9.09     |K2                 |    ~     ~          
4179|CD-48 10195                                                           |Star                           |15 41 13.1991895800 -49 12 44.343101160|329.1910713721812 +04.8057975259684|  -3.606 -0.046     |10.43    |A7                 |    ~     ~          
4180|CD-48 10199                                                           |Star                           |15 41 33.9305313264 -48 41 27.188630808|329.5523274549665 +05.1873644925227|  -3.128 19.374     |10.24    |G0                 |    ~     ~          
4181|HD 139680                                                             |Star                           |15 41 37.2156331080 -48 56 54.483926820|329.4033222424298 +04.9766480612847| -11.705 -6.622     |9.72     |A2III/IV           |    ~     ~          
4182|CPD-48 7794                                                           |Star                           |15 41 43.3748479656 -49 13 43.881277944|329.2467678289274 +04.7430530296407|  -4.264 -2.851     |10.15    |~                  |    ~     ~          
4183|CD-48 10202                                                           |Star                           |15 41 44.2495943496 -49 14 12.560331336|329.2438412779470 +04.7352670355210|  -3.314 -9.097     |10.45    |A0                 |    ~     ~          
4184|HD 139715                                                             |Star                           |15 41 48.8506974432 -48 50 21.125284944|329.4951041817546 +05.0444370788395|  -1.325 -1.452     |9.18     |F0IV/V             |    ~     ~          
4185|HD 139772                                                             |Spectroscopic Binary           |15 42 07.0997531184 -49 24 14.384248632|329.1920175908871 +04.5645910485287|-19.351 -23.164     |8.87     |F2V                |    ~     ~          
4186|CD-48 10216                                                           |Star                           |15 42 17.6260039944 -49 23 22.775998740|329.2235153898533 +04.5587210616948|   15.451 7.497     |10.6     |A7                 |    ~     ~          
4187|HD 139828                                                             |Star                           |15 42 25.7337518640 -49 13 03.180043236|329.3457141302653 +04.6822987399847|  -1.972 -6.791     |6.94     |K3III              |    ~     ~          
4188|HD 139870                                                             |Star                           |15 42 33.7553185056 -48 41 30.977786400|329.6831706516998 +05.0868955801026|-10.587 -12.634     |8.35     |K1III              |    ~     ~          
4189|CD-48 10224                                                           |Star                           |15 42 45.6371454048 -48 56 04.025243220|329.5613991810868 +04.8743891255692|  -1.339 -3.904     |10.95    |B8                 |    ~     ~          
4190|HD 139930                                                             |Eclipsing Binary               |15 43 00.5162881992 -49 01 29.110426680|329.5387754576256 +04.7779432225526| -6.472 -27.927     |8.90     |F6V                |    ~     ~          
4191|HD 139963                                                             |Star                           |15 43 12.8407534968 -48 51 15.027527736|329.6697635435232 +04.8928295049293|   -3.880 0.077     |8.45     |K0III              |    ~     ~          
4192|CD-48 10233B                                                          |Long-Period Variable           |15 43 14.7409770214 -48 52 32.311103856|329.6607989184621 +04.8726253845655|  -5.774 -3.709     |8.6      |~                  |    ~     ~          
4193|HD 139985                                                             |Star                           |15 43 16.2607042944 -48 52 31.303165728|329.6642863119801 +04.8703126688082|  -1.562 -9.870     |8.73     |A5V                |    ~     ~          
4194|CD-48 10234                                                           |Star                           |15 43 14.2188817488 -48 34 17.431693320|329.8454943621363 +05.1147930150583|  -5.164 -0.858     |9.92     |K0                 |    ~     ~          
4195|HD 140001                                                             |Star                           |15 43 19.6255266576 -48 26 45.178280880|329.9341974225869 +05.2053470899966|  -3.348 -4.054     |9.93     |A0IV               |    ~     ~          
4196|CD-48 10239                                                           |High Proper Motion Star        |15 43 33.1929781320 -49 11 34.553711796|329.5070479004626 +04.5902517500329|-95.581 -69.085     |10.60    |K0                 |    ~     ~          
4197|HD 140108                                                             |Star                           |15 44 03.8308626120 -49 12 44.917987896|329.5613949969939 +04.5238872428231|  -8.391 -4.050     |8.94     |A0V                |    ~     ~          
4198|CD-48 10245                                                           |Star                           |15 44 10.0733461056 -49 09 13.600779048|329.6108658846349 +04.5599791824793|  -1.996 -3.690     |10.61    |A                  |    ~     ~          
