C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
51  |HD 138618                                                             |Star                           |15 34 36.8615242536 -37 50 24.130542120|335.1553617011051 +14.6178991886721|  -0.373 -4.491     |9.47     |K2(III)            |    ~     ~          
52  |HD 138890                                                             |Star                           |15 36 20.4418583928 -37 42 21.153972456|335.5200810108165 +14.5190368750521| -12.257 -9.681     |10.42    |G8(III)            |    ~     ~          
53  |HD 138994                                                             |Spectroscopic Binary           |15 36 53.4913585944 -38 10 51.031892460|335.3121383741307 +14.0754343612886|-24.859 -36.934     |8.19     |F2V                |0.0067  0.0          
54  |HD 138723                                                             |Pulsating Variable             |15 35 15.2364658320 -38 32 59.052586488|334.8188255957332 +13.9751575181938|  -1.867 -8.688     |10.00    |A7/8V              |    ~     ~          
55  |HD 138875                                                             |Double or Multiple Star        |15 36 15.4444310 -38 50 47.144759      |334.7958037738 +13.6203906251      |    9.80 -36.69     |8.52     |F6V                |0.0067  0.0          
56  |CD-36 10267                                                           |Star                           |15 33 52.7126941056 -37 04 24.067008732|335.5113099874999 +15.3185288490508|  -7.336 -3.109     |10.98    |~                  |    ~     ~          
57  |CD-37 10348                                                           |Star                           |15 34 39.8521710744 -37 33 15.937468776|335.3410798697588 +14.8401787933381|-26.723 -24.075     |10.57    |~                  |    ~     ~          
58  |CD-37 10350                                                           |Star                           |15 34 54.5055938736 -37 50 53.202214140|335.1982781410744 +14.5765377066733|   5.174 -9.160     |10.70    |~                  |    ~     ~          
59  |CD-36 10291                                                           |Star                           |15 36 11.0527749384 -36 37 11.929430928|336.1765625903062 +15.4010246864653| -9.577 -12.046     |10.40    |~                  |    ~     ~          
60  |CD-36 10266                                                           |Star                           |15 33 45.1260332088 -37 02 51.051921720|335.5064823929772 +15.3543371723586|  -7.289 -3.673     |10.66    |~                  |    ~     ~          
61  |CD-36 10270                                                           |Star                           |15 33 53.0685972024 -36 48 24.634331604|335.6784375083857 +15.5308324669352|  11.771 -3.705     |10.57    |~                  |    ~     ~          
62  |CD-36 10274                                                           |Star                           |15 34 14.5330571424 -37 08 04.824835656|335.5331748874729 +15.2259368087313|   36.749 2.460     |10.48    |~                  |    ~     ~          
63  |CD-37 10354                                                           |Star                           |15 35 03.2172931920 -37 39 54.732535092|335.3357849260173 +14.7052968500977|-31.044 -29.026     |10.98    |~                  |    ~     ~          
64  |CD-36 10283                                                           |Star                           |15 35 08.4342582168 -37 07 33.761894232|335.6866053802227 +15.1249029687249|   -5.385 0.298     |10.36    |~                  |    ~     ~          
65  |CD-36 10285                                                           |Star                           |15 35 17.6265477984 -36 35 40.016305824|336.0452511567040 +15.5297419957555|   1.115 -7.306     |10.81    |~                  |    ~     ~          
66  |CD-36 10288                                                           |Star                           |15 35 34.9854155856 -36 33 23.295291264|336.1170924872787 +15.5247523069121| -17.061 -4.446     |10.57    |~                  |    ~     ~          
67  |CD-38 10495                                                           |Star                           |15 36 09.9262048032 -38 34 05.049812604|334.9539851359649 +13.8531902279284|    0.786 8.690     |9.99     |~                  |    ~     ~          
68  |CD-38 10498                                                           |Star                           |15 36 25.7338041552 -38 49 59.854214460|334.8313573975864 +13.6107123884796|  -17.580 3.742     |10.99    |~                  |    ~     ~          
69  |CD-37 10367                                                           |High Proper Motion Star        |15 36 35.8717416672 -37 56 06.832988304|335.4182941386146 +14.3058132019651|-18.589 -52.232     |10.78    |~                  |    ~     ~          
70  |CD-37 10370                                                           |Star                           |15 36 51.5262384072 -38 20 46.323497472|335.2035673465070 +13.9478091070268|  -0.231 -2.183     |10.25    |~                  |    ~     ~          
71  |HD 139011                                                             |Star                           |15 37 01.4533931880 -37 14 35.777171292|335.9218464231458 +14.8042041029912|  1.878 -31.966     |8.93     |F8V                |    ~     ~          
