C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:17:40

dec >=0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5072

 #  |                                                                                                                     identifier                                                                                                                      |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
3181|TYC 1731-27-1                                                                                                                                                                                                                                        |Star                                |00 32 38.8818870120 +24 50 25.626589116|117.5325064780077 -37.8342240569686|   29.002 1.728   |10.71    |~              |    ~     ~    |    1|  388.546   pc  |  -2.1890     +2.1890  |paral   |2020yCat.1350....0G
3182|TYC 1731-366-1                                                                                                                                                                                                                                       |Star                                |00 32 55.1298876936 +22 52 35.715462852|117.3775112903539 -39.7953499070950|   5.127 -7.143   |9.65     |~              |    ~     ~    |    1|  474.226   pc  |  -3.2609     +3.2609  |paral   |2020yCat.1350....0G
3183|TYC 1731-865-1                                                                                                                                                                                                                                       |Star                                |00 32 19.0249768944 +24 06 54.193804740|117.3507668519065 -38.5493957804153|  -4.346 -9.847   |10.75    |~              |    ~     ~    |    1|  989.315   pc  | -17.4217    +17.4217  |paral   |2020yCat.1350....0G
3184|TYC 1731-917-1                                                                                                                                                                                                                                       |Star                                |00 30 56.4970334328 +24 25 29.212388940|116.9915246554582 -38.2104390074144|   8.781 -3.314   |10.18    |~              |    ~     ~    |    1|  770.416   pc  | -11.9302    +11.9302  |paral   |2020yCat.1350....0G
3185|TYC 1731-953-1                                                                                                                                                                                                                                       |Star                                |00 32 05.0234607024 +24 18 43.097089392|117.3070933697240 -38.3483046263538|  -6.250 -3.915   |10.30    |~              |    ~     ~    |    1|  284.188   pc  |  -4.5631     +4.5631  |paral   |2020yCat.1350....0G
3186|TYC 1731-955-1                                                                                                                                                                                                                                       |Star                                |00 32 00.3714432552 +24 02 23.390476332|117.2512014770118 -38.6174868344673|   4.013 -7.195   |10.69    |~              |    ~     ~    |    1|  369.167   pc  |  -2.4667     +2.4667  |paral   |2020yCat.1350....0G
3187|TYC 1731-1041-1                                                                                                                                                                                                                                      |Pulsating Variable                  |00 30 59.1453363648 +24 01 51.500184060|116.9533772872863 -38.6032406881637|  19.821 -3.896   |10.05    |~              |    ~     ~    |    1|  542.682   pc  |  -5.6545     +5.6545  |paral   |2020yCat.1350....0G
3188|TYC 1731-1178-1                                                                                                                                                                                                                                      |High Proper Motion Star             |00 32 37.0589679120 +22 31 54.228774504|117.2447753043044 -40.1321011112340|-17.898 -61.816   |10.45    |~              |    ~     ~    |    1|  186.505   pc  | -12.0979    +12.0979  |paral   |2020yCat.1350....0G
3189|TYC 1731-1200-1                                                                                                                                                                                                                                      |Star                                |00 33 05.9609143176 +23 03 59.123186856|117.4542103999791 -39.6101964795352| -0.928 -11.946   |9.83     |~              |    ~     ~    |    1| 1060.558   pc  | -24.0704    +24.0704  |paral   |2020yCat.1350....0G
3190|TYC 1731-1277-1                                                                                                                                                                                                                                      |Star                                |00 31 27.4728677352 +23 59 11.639392908|117.0849958449464 -38.6582435109049|-16.902 -22.484   |10.51    |~              |    ~     ~    |    1|  696.427   pc  |  -7.7117     +7.7117  |paral   |2020yCat.1350....0G
3191|TYC 1731-1315-1                                                                                                                                                                                                                                      |High Proper Motion Star             |00 32 39.6528184296 +23 58 30.655012584|117.4339441476798 -38.6960315592983|-42.263 -104.513  |10.32    |~              |    ~     ~    |    1|  107.601   pc  |  -0.2119     +0.2119  |paral   |2020yCat.1350....0G
3192|TYC 1731-1605-1                                                                                                                                                                                                                                      |Star                                |00 30 10.1642928600 +22 35 23.845237332|116.5176749115594 -40.0167548007531| 10.878 -18.076   |10.55    |~              |    ~     ~    |    1|  297.796   pc  |  -1.2948     +1.2948  |paral   |2020yCat.1350....0G
3193|TYC 1731-1650-1                                                                                                                                                                                                                                      |Star                                |00 30 38.9342836344 +22 39 33.949059552|116.6709235370734 -39.9594529809370|-11.429 -19.166   |10.74    |~              |    ~     ~    |    1|  463.371   pc  |  -5.7328     +5.7328  |paral   |2020yCat.1350....0G
3194|TYC 1738-634-1                                                                                                                                                                                                                                       |Star                                |00 33 44.4309185112 +24 14 34.301637852|117.7787587056900 -38.4517448758348| -5.146 -35.248   |10.96    |~              |    ~     ~    |    1|  148.869   pc  |  -0.4410     +0.4410  |paral   |2020yCat.1350....0G
3195|BD+21 64                                                                                                                                                                                                                                             |Carbon Star                         |00 34 16.2267216984 +22 24 48.373123428|117.7284884939264 -40.2847974375635|  10.076 -1.759   |9.65     |C3,3           |    ~     ~    |    1|  761.963   pc  |  -8.1282     +8.1282  |paral   |2020yCat.1350....0G
3196|BD+21 65                                                                                                                                                                                                                                             |Star                                |00 34 17.8232492952 +22 26 49.304878116|117.7403563361488 -40.2518696287558|   0.205 -7.939   |9.19     |K2             |    ~     ~    |    1|  392.388   pc  |  -2.7406     +2.7406  |paral   |2020yCat.1350....0G
3197|HD 3384                                                                                                                                                                                                                                              |Star                                |00 36 55.8619831944 +22 18 12.865000464|118.5215685642676 -40.4439122756856| 20.225 -12.449   |8.86     |G0             |    ~     ~    |    1|  305.018   pc  |  -1.6095     +1.6095  |paral   |2020yCat.1350....0G
3198|BD+21 76                                                                                                                                                                                                                                             |Star                                |00 37 49.1451384792 +22 29 54.888566388|118.8085533110413 -40.2641070209116|  19.267 -8.618   |10.50    |K0             |    ~     ~    |    1|  751.428   pc  |  -9.7119     +9.7119  |paral   |2020yCat.1350....0G
3199|HD 3491                                                                                                                                                                                                                                              |Star                                |00 38 00.7224422544 +22 29 46.722686568|118.8666182767938 -40.2694352423423| -13.947 16.840   |8.61     |G5             |    ~     ~    |    1|  351.952   pc  |  -2.8366     +2.8366  |paral   |2020yCat.1350....0G
3200|TYC 1193-230-1                                                                                                                                                                                                                                       |Star                                |00 37 57.9774152184 +22 29 03.986573532|118.8517351479035 -40.2805556045409| -13.938 16.278   |10.96    |F8             |    ~     ~    |    1|  348.906   pc  |  -4.3338     +4.3338  |paral   |2020yCat.1350....0G
3201|BD+21 83                                                                                                                                                                                                                                             |Star                                |00 39 22.1422960872 +22 20 36.855075732|119.2642743537823 -40.4422144428275|   0.959 -1.322   |9.64     |K2             |    ~     ~    |    1|  553.189   pc  |  -4.7127     +4.7127  |paral   |2020yCat.1350....0G
3202|BD+21 84                                                                                                                                                                                                                                             |Star                                |00 40 39.0157020984 +22 25 03.989347032|119.6582935864756 -40.3853934189808|  5.573 -34.428   |10.79    |F8             |    ~     ~    |    1|  257.414   pc  |  -1.0668     +1.0668  |paral   |2020yCat.1350....0G
3203|BD+21 94                                                                                                                                                                                                                                             |Star                                |00 44 20.1217931112 +22 21 03.988462500|120.7723719767278 -40.4908560216154|   11.146 6.526   |9.32     |K2             |    ~     ~    |    1|  454.133   pc  |  -3.6504     +3.6504  |paral   |2020yCat.1350....0G
3204|BD+21 95                                                                                                                                                                                                                                             |Star                                |00 44 52.7030323752 +22 21 46.376919612|120.9378899771740 -40.4834670127131|-13.355 -30.870   |10.34    |F8             |    ~     ~    |    1|  322.987   pc  |  -3.8807     +3.8807  |paral   |2020yCat.1350....0G
3205|BD+21 86                                                                                                                                                                                                                                             |Star                                |00 42 10.3934432544 +22 11 51.258039972|120.1061275962377 -40.6233375111405|   25.071 3.356   |10.62    |G5             |    ~     ~    |    1|  219.713   pc  |  -1.4530     +1.4530  |paral   |2020yCat.1350....0G
3206|TYC 1194-1983-1                                                                                                                                                                                                                                      |High Proper Motion Star             |00 44 54.8300640840 +22 10 12.210702456|120.9401920907658 -40.6764573935172|  56.107 -5.793   |10.60    |~              |    ~     ~    |    1|  217.037   pc  |  -0.7678     +0.7678  |paral   |2020yCat.1350....0G
3207|AG+24 55                                                                                                                                                                                                                                             |Star                                |00 33 52.766 +24 19 19.70              |117.827837 -38.375533              |     -13.7 -8.0   |9.0      |G0             |    ~     ~    |    0|                |                       |        |                   
3208|BD+23 76                                                                                                                                                                                                                                             |Star                                |00 34 06.4845881736 +24 38 47.237984268|117.9293584212849 -38.0569032841634| -7.830 -24.409   |9.72     |F2             |    ~     ~    |    1|  173.172   pc  |  -0.9087     +0.9087  |paral   |2020yCat.1350....0G
3209|BD+23 77                                                                                                                                                                                                                                             |Star                                |00 34 17.5623728136 +24 41 40.559210088|117.9876093948628 -38.0124936989958| -3.228 -21.705   |9.67     |K0             |    ~     ~    |    1|  215.257   pc  |  -0.6765     +0.6765  |paral   |2020yCat.1350....0G
3210|BD+23 80                                                                                                                                                                                                                                             |Star                                |00 35 27.0869725992 +24 31 03.726941952|118.3028685275458 -38.2103149742575|  30.482 -6.214   |9.04     |K0             |    ~     ~    |    1|  471.921   pc  |  -3.4520     +3.4520  |paral   |2020yCat.1350....0G
3211|HD 3293                                                                                                                                                                                                                                              |Star                                |00 36 09.8047710936 +24 01 31.538882748|118.4607727274070 -38.7136779966661|  19.100 -1.453   |7.25     |K2III          |    ~     ~    |    1|  218.938   pc  |  -5.1289     +5.1289  |paral   |2020yCat.1350....0G
3212|BD+22 84                                                                                                                                                                                                                                             |Star                                |00 33 54.6804328008 +23 37 13.729769220|117.7586845090996 -39.0751523671141|  -9.748 -7.484   |9.74     |M0             |    ~     ~    |    1| 1150.219   pc  | -27.1216    +27.1216  |paral   |2020yCat.1350....0G
3213|HD 3151                                                                                                                                                                                                                                              |Star                                |00 34 55.2179710128 +22 54 09.706408704|117.9781845587848 -39.8101228523716|  0.300 -10.040   |8.910    |F2             |    ~     ~    |    1|  129.830   pc  |  -0.2983     +0.2983  |paral   |2020yCat.1350....0G
3214|BD+22 87                                                                                                                                                                                                                                             |Star                                |00 35 02.6948262696 +23 46 35.683236768|118.1084442897703 -38.9415892287956|   -4.428 3.578   |9.17     |K0             |    ~     ~    |    1|  495.540   pc  |  -4.2236     +4.2236  |paral   |2020yCat.1350....0G
3215|BD+22 88                                                                                                                                                                                                                                             |High Proper Motion Star             |00 35 14.2024858248 +23 43 56.133133572|118.1600653700555 -38.9893310113690| 112.647 25.975   |10.66    |G0             |    ~     ~    |    1|  132.818   pc  |  -0.2946     +0.2946  |paral   |2020yCat.1350....0G
3216|BD+21 63                                                                                                                                                                                                                                             |Star                                |00 33 49.1208105168 +22 47 15.008581392|117.6358510219707 -39.9029929200552|   20.154 6.312   |10.06    |A5             |    ~     ~    |    1|  452.120   pc  |  -4.4153     +4.4153  |paral   |2020yCat.1350....0G
3217|NGC 160                            NGC 160                                                                                                                                                                                                           |Galaxy                              |00 36 04.0982272704 +23 57 28.502827092|118.4264022543708 -38.7793355446978|    0.064 0.167   |     ~   |~              |1.113 0.757    |    1|   82.79    Mpc |                       |        |2016AJ....152...50T
3218|WDS J00339+2419AB                                                                                                                                                                                                                                    |Double or Multiple Star             |00 33 52.83 +24 19 20.6                |117.82817 -38.37531                |            ~ ~   |9.9      |~              |    ~     ~    |    0|                |                       |        |                   
3219|BD+24 89                                                                                                                                                                                                                                             |Star                                |00 38 32.1467784768 +24 51 28.678545252|119.2212637172882 -37.9208054481757|  17.297 20.828   |9.91     |F8             |    ~     ~    |    1|  210.031   pc  |  -1.0058     +1.0058  |paral   |2020yCat.1350....0G
3220|TYC 1738-680-1                                                                                                                                                                                                                                       |Star                                |00 39 43.3978457664 +24 25 00.108846768|119.5296942387696 -38.3776517134646|   24.859 3.351   |10.45    |F2             |    ~     ~    |    1|  306.260   pc  |  -1.7821     +1.7821  |paral   |2020yCat.1350....0G
3221|HD 4105                                                                                                                                                                                                                                              |Star                                |00 43 40.8286875384 +24 53 24.593776440|120.7008824475324 -37.9479757355937| 10.181 -11.433   |8.12     |K0III          |    ~     ~    |    1|  454.442   pc  |  -5.5760     +5.5760  |paral   |2020yCat.1350....0G
3222|BD+23 88                                                                                                                                                                                                                                             |Star                                |00 39 39.4593237048 +24 33 27.086782212|119.5211231061558 -38.2361946413181|  25.020 -2.026   |8.64     |M0             |    ~     ~    |    1|  554.232   pc  |  -7.8329     +7.8329  |paral   |2020yCat.1350....0G
3223|BD+23 90                                                                                                                                                                                                                                             |Star                                |00 39 53.6442535728 +24 25 55.707634056|119.5803281749695 -38.3644713817191|  -1.113 -1.545   |9.75     |K0             |    ~     ~    |    1|  662.076   pc  |  -7.3642     +7.3642  |paral   |2020yCat.1350....0G
3224|HD 3767                                                                                                                                                                                                                                              |Star                                |00 40 29.7308714640 +24 36 15.967462896|119.7665404151287 -38.2000496995367|   -9.715 8.343   |8.01     |K0III-IV       |    ~     ~    |    1|  168.739   pc  |  -0.7460     +0.7460  |paral   |2020yCat.1350....0G
3225|HD 3883                                                                                                                                                                                                                                              |Double or Multiple Star             |00 41 36.0377718120 +24 37 44.448788316|120.0873106347985 -38.1883939276260|105.436 -13.372   |6.046    |kA5hF1mF2      |    ~     ~    |    1|  120.174   pc  |  -1.7662     +1.7662  |paral   |2020yCat.1350....0G
3226|BD+23 83                                                                                                                                                                                                                                             |Star                                |00 36 49.9615305816 +24 16 04.783796760|118.6786167919985 -38.4831045224658|  3.198 -45.938   |10.32    |F8             |    ~     ~    |    1|  202.016   pc  |  -0.6570     +0.6570  |paral   |2020yCat.1350....0G
3227|HD 3411                                                                                                                                                                                                                                              |Star                                |00 37 07.1897660016 +24 00 50.901018588|118.7388997870388 -38.7410100442286|-17.390 -46.687   |6.160    |K2III          |    ~     ~    |    1|  113.270   pc  |  -0.3220     +0.3220  |paral   |2020yCat.1350....0G
3228|BD+23 85                                                                                                                                                                                                                                             |Star                                |00 37 11.9799468144 +24 05 59.676158436|118.7699963789511 -38.6567496143409| 29.477 -31.292   |10.10    |K0             |    ~     ~    |    1|  277.986   pc  |  -1.1128     +1.1128  |paral   |2020yCat.1350....0G
3229|BD+23 92B                                                                                                                                                                                                                                            |Star                                |00 40 19.2867765816 +24 02 59.136814464|119.6772154819039 -38.7517260865858|   40.947 5.952   |9.26     |A3             |    ~     ~    |    1|  220.731   pc  |  -1.1547     +1.1547  |paral   |2020yCat.1350....0G
3230|HD 3743                                                                                                                                                                                                                                              |Star                                |00 40 19.8066624816 +24 03 14.025317724|119.6800413124216 -38.7477061297247|   39.257 5.860   |7.21     |A3             |    ~     ~    |    1|  154.775   pc  |  -4.2161     +4.2161  |paral   |2020yCat.1350....0G
3231|HD 3943                                                                                                                                                                                                                                              |Star                                |00 42 09.5666954160 +24 08 20.746340052|120.2199459937925 -38.6837884339211|  2.607 -21.790   |7.95     |G9III          |    ~     ~    |    1|  314.545   pc  |  -2.5427     +2.5427  |paral   |2020yCat.1350....0G
3232|BD+22 92                                                                                                                                                                                                                                             |High Proper Motion Star             |00 36 28.4047941528 +23 13 50.179155168|118.4745617727303 -39.5115934574181|-20.840 -90.744   |10.31    |F8             |    ~     ~    |    1|  105.546   pc  |  -0.1849     +0.1849  |paral   |2020yCat.1350....0G
3233|BD+22 94                                                                                                                                                                                                                                             |Star                                |00 38 10.9650534840 +23 41 36.514256820|119.0221512254293 -39.0776240660976|  25.072 12.679   |9.99     |F7             |    ~     ~    |    1|  302.737   pc  |  -2.9420     +2.9420  |paral   |2020yCat.1350....0G
3234|HD 3641                                                                                                                                                                                                                                              |High Proper Motion Star             |00 39 23.1424096416 +23 41 06.767156652|119.3755916323804 -39.1032971074266| 52.036 -57.441   |8.71     |F8             |    ~     ~    |    1|   91.768   pc  |  -1.2312     +1.2312  |paral   |2020yCat.1350....0G
3235|BD+22 100                                                                                                                                                                                                                                            |Star                                |00 40 08.2311457848 +22 58 37.567155936|119.5448109051108 -39.8203132490606|-15.605 -23.334   |9.55     |F2             |    ~     ~    |    1|  273.329   pc  |  -1.2028     +1.2028  |paral   |2020yCat.1350....0G
3236|HD 3757                                                                                                                                                                                                                                              |High Proper Motion Star             |00 40 23.0902044504 +23 46 12.838182816|119.6759465075840 -39.0316269282420|  79.256 17.461   |7.96     |K0III          |    ~     ~    |    1|  278.211   pc  |  -1.7183     +1.7183  |paral   |2020yCat.1350....0G
3237|BD+22 102                                                                                                                                                                                                                                            |Star                                |00 40 34.7237082672 +23 09 56.423568924|119.6903671773996 -39.6377167646955|  1.612 -23.708   |10.59    |G0             |    ~     ~    |    1|  238.022   pc  |  -6.5719     +6.5719  |paral   |2020yCat.1350....0G
3238|BD+22 103                                                                                                                                                                                                                                            |Star                                |00 40 41.7655416384 +23 06 26.303823900|119.7212365823648 -39.6974662845156|  -9.618 -7.842   |9.05     |F0             |    ~     ~    |    1|  220.916   pc  |  -1.7667     +1.7667  |paral   |2020yCat.1350....0G
3239|BD+22 104                                                                                                                                                                                                                                            |Star                                |00 41 49.0089495216 +22 49 44.884521120|120.0381259883323 -39.9885480714117|-25.709 -13.195   |9.47     |G5             |    ~     ~    |    1|  371.802   pc  |  -2.4744     +2.4744  |paral   |2020yCat.1350....0G
3240|HD 3961                                                                                                                                                                                                                                              |Star                                |00 42 22.5943307952 +22 49 56.582565492|120.2064790014216 -39.9914071016891|  6.179 -12.618   |8.22     |K0             |    ~     ~    |    1|  401.349   pc  |  -3.6565     +3.6565  |paral   |2020yCat.1350....0G
3241|BD+22 109                                                                                                                                                                                                                                            |High Proper Motion Star             |00 43 44.6081407920 +23 00 50.780316600|120.6264604675698 -39.8231958684970| 14.783 -51.997   |9.85     |G5             |    ~     ~    |    1|  125.467   pc  |  -0.3054     +0.3054  |paral   |2020yCat.1350....0G
3242|BD+22 110                                                                                                                                                                                                                                            |High Proper Motion Star             |00 44 00.8106694920 +23 18 44.381580840|120.7218202725257 -39.5275571643158|-103.416 -90.001  |10.23    |G0             |    ~     ~    |    1|  109.298   pc  |  -0.2891     +0.2891  |paral   |2020yCat.1350....0G
3243|BD+22 112                                                                                                                                                                                                                                            |Double or Multiple Star             |00 44 32.4273687624 +23 42 20.609219340|120.8961849760265 -39.1387576223804|  -4.463 -5.114   |9.97     |G0             |    ~     ~    |    1|  261.274   pc  |  -1.4950     +1.4950  |paral   |2020yCat.1350....0G
3244|HD 3455                                                                                                                                                                                                                                              |Double or Multiple Star             |00 37 36.27370 +22 40 27.8664          |118.75994762 -40.08525542          |    -2.68 -9.02   |9.045    |A0             |    ~     ~    |    0|                |                       |        |                   
3245|BD+21 80                                                                                                                                                                                                                                             |Star                                |00 38 40.5002562312 +22 32 16.435022784|119.0704144943958 -40.2381363644141| -13.385 -8.793   |10.31    |K0             |    ~     ~    |    1|  808.604   pc  | -10.8537    +10.8537  |paral   |2020yCat.1350....0G
3246|NGC 229                            NGC 229                                                                                                                                                                                                           |Galaxy towards a Group of Galaxies  |00 43 04.6672133520 +23 30 32.779683324|120.4542325886000 -39.3224195787899|   2.396 -0.202   |     ~   |~              |0.720 0.230    |    1|   99.14    Mpc |                       |redshift|2007ApJ...655..790C
3247|NGC 228                            NGC 228                                                                                                                                                                                                           |Galaxy towards a Group of Galaxies  |00 42 54.4926517488 +23 30 11.119111272|120.4036925906091 -39.3267832825199|            ~ ~   |     ~   |~              |0.573 0.424    |    1|   98.61    Mpc |                       |redshift|2007ApJ...655..790C
3248|NGC 169                            NGC 169                                                                                                                                                                                                           |Seyfert Galaxy                      |00 36 51.6072915048 +23 59 27.553231968|118.6609088226627 -38.7598380804095|            ~ ~   |13.1     |~              |0.987 0.750    |    1|   97.72    Mpc |                       |        |2016AJ....152...50T
3249|TYC 1193-61-1                                                                                                                                                                                                                                        |Star                                |00 39 11.9132178024 +22 29 22.218296712|119.2245198651234 -40.2941206031495|  11.403 -5.726   |10.90    |~              |    ~     ~    |    1|  391.206   pc  |  -3.3516     +3.3516  |paral   |2020yCat.1350....0G
3250|TYC 1193-314-1                                                                                                                                                                                                                                       |Star                                |00 34 39.9219445992 +22 16 40.255747248|117.8324998351210 -40.4277682181852| -11.587 -7.880   |10.33    |~              |    ~     ~    |    1|  367.175   pc  |  -5.2444     +5.2444  |paral   |2020yCat.1350....0G
3251|TYC 1194-1886-1                                                                                                                                                                                                                                      |Star                                |00 43 25.0776013032 +22 16 11.843889672|120.4893055728613 -40.5637513978890| -2.154 -17.698   |9.68     |~              |    ~     ~    |    1|  375.235   pc  |  -2.2106     +2.2106  |paral   |2020yCat.1350....0G
3252|TYC 1194-1912-1                                                                                                                                                                                                                                      |Star                                |00 43 25.0387944432 +22 25 02.419051260|120.4970437497481 -40.4164868749477|  14.738 -0.012   |10.28    |~              |    ~     ~    |    1|  759.013   pc  |  -7.9502     +7.9502  |paral   |2020yCat.1350....0G
3253|TYC 1738-41-1                                                                                                                                                                                                                                        |Star                                |00 39 51.2211117312 +24 48 02.956181256|119.5954531471009 -37.9958686813022|  -1.440 -5.911   |10.24    |~              |    ~     ~    |    1|  690.226   pc  |  -8.4325     +8.4325  |paral   |2020yCat.1350....0G
3254|TYC 1738-87-1                                                                                                                                                                                                                                        |Star                                |00 43 11.6856613488 +23 28 55.063305192|120.4874151154946 -39.3506570423579|   -5.705 3.658   |10.72    |~              |    ~     ~    |    1|  323.887   pc  |  -3.5457     +3.5457  |paral   |2020yCat.1350....0G
3255|TYC 1738-195-1                                                                                                                                                                                                                                       |High Proper Motion Star             |00 41 27.4327557984 +24 47 37.139909388|120.0561958487196 -38.0223620849487|  62.968 -6.693   |10.23    |~              |    ~     ~    |    1|  188.196   pc  |  -1.0200     +1.0200  |paral   |2020yCat.1350....0G
3256|TYC 1738-196-1                                                                                                                                                                                                                                       |Star                                |00 39 49.7186841744 +24 19 49.268670996|119.5538953264083 -38.4652380429116|  46.083 -1.696   |10.22    |~              |    ~     ~    |    1|  241.249   pc  |  -1.2106     +1.2106  |paral   |2020yCat.1350....0G
3257|TYC 1738-211-1                                                                                                                                                                                                                                       |Star                                |00 35 42.1203033024 +24 38 10.494823380|118.3868854041932 -38.0965903100544|  20.565 -3.355   |10.11    |~              |    ~     ~    |    1|  230.899   pc  |  -1.2635     +1.2635  |paral   |2020yCat.1350....0G
3258|TYC 1738-271-1                                                                                                                                                                                                                                       |Star                                |00 35 00.4208437392 +24 54 01.292965812|118.2139314488292 -37.8208216775815|  -2.159 -0.855   |10.56    |~              |    ~     ~    |    1|  530.054   pc  |  -7.9792     +7.9792  |paral   |2020yCat.1350....0G
3259|TYC 1738-324-1                                                                                                                                                                                                                                       |Star                                |00 44 24.2947963320 +24 53 26.908946916|120.9091161781210 -37.9533151654745|  -11.179 1.520   |10.81    |~              |    ~     ~    |    1|  885.112   pc  | -23.9728    +23.9728  |paral   |2020yCat.1350....0G
3260|TYC 1738-460-1                                                                                                                                                                                                                                       |Star                                |00 40 14.5149924504 +23 51 47.824120296|119.6406102913864 -38.9369030783258| -22.088 -6.370   |9.36     |~              |    ~     ~    |    1|  778.816   pc  | -11.6458    +11.6458  |paral   |2020yCat.1350....0G
3261|TYC 1738-478-1                                                                                                                                                                                                                                       |Star                                |00 41 46.4303052984 +23 38 26.719760508|120.0764828485700 -39.1774056019264| -26.929 -7.769   |10.61    |~              |    ~     ~    |    1|  335.931   pc  |  -2.0539     +2.0539  |paral   |2020yCat.1350....0G
3262|TYC 1738-482-1                                                                                                                                                                                                                                       |Star                                |00 39 01.2609176064 +24 18 54.220060548|119.3181621150690 -38.4695449160760|-16.458 -21.420   |9.90     |~              |    ~     ~    |    1|  613.572   pc  |  -7.0777     +7.0777  |paral   |2020yCat.1350....0G
3263|TYC 1738-484-1                                                                                                                                                                                                                                       |Star                                |00 34 32.8829327256 +24 08 00.924429732|118.0012778202432 -38.5764046308524|   16.542 8.658   |10.85    |~              |    ~     ~    |    1|  434.103   pc  |  -3.2413     +3.2413  |paral   |2020yCat.1350....0G
3264|TYC 1738-523-1                                                                                                                                                                                                                                       |Star                                |00 43 49.0688084904 +24 47 26.104851744|120.7356053792598 -38.0486648168299| -0.362 -16.489   |10.80    |~              |    ~     ~    |    0|                |                       |        |                   
3265|TYC 1738-603-1                                                                                                                                                                                                                                       |Star                                |00 36 14.6050658592 +23 11 56.766082164|118.4031525717337 -39.5389974699774|   11.967 1.888   |10.42    |~              |    ~     ~    |    1|  299.177   pc  |  -1.4590     +1.4590  |paral   |2020yCat.1350....0G
3266|TYC 1738-640-1                                                                                                                                                                                                                                       |Star                                |00 44 10.3062291700 +23 24 08.968340163|120.7731661028713 -39.4387979019116|      36.3 -5.3   |10.36    |~              |    ~     ~    |    0|                |                       |        |                   
3267|TYC 1738-641-1                                                                                                                                                                                                                                       |High Proper Motion Star             |00 33 48.0738071424 +23 10 32.395183572|117.6755058370534 -39.5160097355980|122.515 -50.722   |10.48    |~              |    ~     ~    |    1|   96.888   pc  |  -0.1483     +0.1483  |paral   |2020yCat.1350....0G
3268|TYC 1738-682-1                                                                                                                                                                                                                                       |Star                                |00 34 22.7757533496 +23 46 16.550868288|117.9128636595634 -38.9341861131625|-10.006 -13.299   |10.41    |~              |    ~     ~    |    1|  625.821   pc  | -17.8594    +17.8594  |paral   |2020yCat.1350....0G
3269|TYC 1738-706-1                                                                                                                                                                                                                                       |Star                                |00 42 31.8179438352 +23 08 39.792945804|120.2709634198773 -39.6813334223234| 13.100 -17.826   |10.09    |~              |    ~     ~    |    1| 2254.283   pc  |-100.6195   +100.6195  |paral   |2020yCat.1350....0G
3270|GSC 01738-00712                                                                                                                                                                                                                                      |Double or Multiple Star             |00 35 15.2359519032 +24 55 41.536950996|118.2873885029789 -37.7975492502194|    2.258 0.207   |10.610   |~              |    ~     ~    |    1|  517.464   pc  | -34.0603    +34.0603  |paral   |2020yCat.1350....0G
