C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:17:40

dec >=0&rah >=0.5&rah< 0.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5072

 #  |                                                                                                                     identifier                                                                                                                      |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
71  |TYC 3252-1184-1                                                                                                                                                                                                                                      |Star                                |00 33 09.1452040560 +46 59 22.948251972|119.6934550384686 -15.7670283889001|  -5.007 -5.588   |10.54    |~              |    ~     ~    |    1|  826.378   pc  | -12.0873    +12.0873  |paral   |2020yCat.1350....0G
72  |TYC 3252-1649-1                                                                                                                                                                                                                                      |Star                                |00 30 44.7272666664 +47 25 24.898561968|119.3057952188259 -15.3024229476758| -33.420 -1.000   |10.65    |~              |    ~     ~    |    1|  317.209   pc  |  -1.5496     +1.5496  |paral   |2020yCat.1350....0G
73  |TYC 3252-1893-1                                                                                                                                                                                                                                      |Star                                |00 33 43.0385360232 +47 19 30.226819512|119.8181441725896 -15.4395195187145| -8.522 -18.282   |10.22    |~              |    ~     ~    |    1|  635.405   pc  |  -5.6927     +5.6927  |paral   |2020yCat.1350....0G
74  |TYC 3252-1922-1                                                                                                                                                                                                                                      |Star                                |00 33 43.6307659392 +47 24 31.220196552|119.8260553589307 -15.3562420957274| -3.728 -11.716   |10.37    |~              |    ~     ~    |    1|  225.175   pc  |  -1.2727     +1.2727  |paral   |2020yCat.1350....0G
75  |TYC 3252-2044-1                                                                                                                                                                                                                                      |Star                                |00 30 02.4463441896 +47 33 19.121214456|119.1944073736448 -15.1610979544361|-24.289 -18.275   |10.19    |~              |    ~     ~    |    1|  259.889   pc  |  -1.0401     +1.0401  |paral   |2020yCat.1350....0G
76  |TYC 3252-2224-1                                                                                                                                                                                                                                      |Spectroscopic Binary                |00 32 53.7823682856 +47 20 33.254388744|119.6755636607041 -15.4119098870793|  -15.268 4.823   |10.51    |~              |    ~     ~    |    1|  433.839   pc  |  -3.4444     +3.4444  |paral   |2020yCat.1350....0G
77  |TYC 3253-580-1                                                                                                                                                                                                                                       |Star                                |00 34 43.2478702608 +47 26 52.985880816|120.0027236555692 -15.3285950688794|   8.877 -1.794   |10.91    |~              |    ~     ~    |    1|  929.800   pc  | -12.7086    +12.7086  |paral   |2020yCat.1350....0G
78  |TYC 3253-1146-1                                                                                                                                                                                                                                      |Star                                |00 35 09.1352330904 +47 18 38.304101016|120.0688504108235 -15.4705537335516|  -7.778 -1.173   |10.93    |~              |    ~     ~    |    1|  900.576   pc  | -10.7057    +10.7057  |paral   |2020yCat.1350....0G
79  |TYC 3253-1214-1                                                                                                                                                                                                                                      |Star                                |00 34 01.9126584816 +47 26 17.908666476|119.8815351085069 -15.3303208319165|  11.411 -7.339   |10.53    |~              |    ~     ~    |    1|  322.622   pc  |  -1.6966     +1.6966  |paral   |2020yCat.1350....0G
80  |HD 3803                                                                                                                                                                                                                                              |Star                                |00 41 06.7507028280 +46 58 37.027199820|121.1013153212113 -15.8580915859324|  19.259 -9.749   |8.92     |A5             |    ~     ~    |    1|  383.318   pc  |  -7.5817     +7.5817  |paral   |2020yCat.1350....0G
81  |BD+46 141                                                                                                                                                                                                                                            |Star                                |00 42 04.4572806984 +46 58 28.264817856|121.2716315748763 -15.8670417006181|  4.783 -10.200   |9.02     |F2             |    ~     ~    |    1|  112.005   pc  |  -1.7651     +1.7651  |paral   |2020yCat.1350....0G
82  |BD+46 142                                                                                                                                                                                                                                            |Star                                |00 42 24.0027218808 +47 12 40.200263316|121.3383250877925 -15.6326137853603|-11.682 -11.573   |9.17     |K0             |    ~     ~    |    1|  700.967   pc  |  -8.5004     +8.5004  |paral   |2020yCat.1350....0G
83  |* pi. Cas                                                                                                                                                                                                                                            |Spectroscopic Binary                |00 43 28.0696827024 +47 01 28.364798856|121.5202852355130 -15.8253553151544|-24.570 -36.886   |4.949    |A5V            |    ~     ~    |    1|   53.679   pc  |  -0.3291     +0.3291  |paral   |2020yCat.1350....0G
84  |HD 4117                                                                                                                                                                                                                                              |Double or Multiple Star             |00 44 02.6996144640 +46 57 52.879387752|121.6206163644713 -15.8882348396297| -15.488 -4.973   |8.490    |A5             |    ~     ~    |    0|                |                       |        |                   
85  |BD+45 164                                                                                                                                                                                                                                            |Star                                |00 38 40.8005472984 +46 16 34.101879960|120.6328417108298 -16.5386487755570|  34.553 -9.386   |8.90     |K0             |    ~     ~    |    1|  445.593   pc  |  -3.5740     +3.5740  |paral   |2020yCat.1350....0G
86  |BD+45 169                                                                                                                                                                                                                                            |Star                                |00 39 37.6925689824 +46 43 03.109867428|120.8255197250751 -16.1059107753734|   7.518 10.384   |9.71     |A0             |    ~     ~    |    1|  420.751   pc  | -13.7200    +13.7200  |paral   |2020yCat.1350....0G
87  |BD+45 172                                                                                                                                                                                                                                            |Spectroscopic Binary                |00 39 55.7159878176 +46 33 15.778681020|120.8711474276513 -16.2713070781485|   47.994 5.618   |8.86     |G0             |    ~     ~    |    1|   89.703   pc  |  -2.0278     +2.0278  |paral   |2020yCat.1350....0G
88  |BD+45 186                                                                                                                                                                                                                                            |Star                                |00 44 04.2255919800 +46 43 40.598548212|121.6177964147478 -16.1250039393847|   -1.285 4.022   |9.74     |K0             |    ~     ~    |    1|  733.945   pc  |  -7.2721     +7.2721  |paral   |2020yCat.1350....0G
89  |V* EF And                                                                                                                                                                                                                                            |Mira Variable                       |00 39 43.8707826720 +46 33 20.480771268|120.8358950336448 -16.2684093379522|  18.934 -5.115   |10.12    |M6             |    ~     ~    |    1| 1016.880   pc  | -65.9721    +65.9721  |paral   |2020yCat.1350....0G
