C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:10:40

dec< 0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6795

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1524|HD 178438                                                                                                |Star                                  |19 09 30.8373553272 -22 22 38.810716680|014.5905051145406 -13.7943413074043|  -10.014 0.035   |8.630    |K0III/IV       |    ~     ~    |    1|  254.855   pc  |  -1.2016     +1.2016    |paral   |2020yCat.1350....0G
1525|HD 178671                                                                                                |Star                                  |19 10 26.5485632328 -22 29 18.161386188|014.5757956127220 -14.0354625939718|-13.892 -30.217   |10.80    |G1/2V          |    ~     ~    |    1|  208.381   pc  |  -0.7034     +0.7034    |paral   |2020yCat.1350....0G
1526|HD 177915                                                                                                |Star                                  |19 07 31.9256468400 -22 52 44.832596232|013.9273123855621 -13.5807476757599| 16.103 -19.969   |9.89     |K(2)(III)      |    ~     ~    |    1|  571.527   pc  |  -8.1334     +8.1334    |paral   |2020yCat.1350....0G
1527|HD 177948                                                                                                |Star                                  |19 07 41.5533109776 -23 19 27.945989292|013.5239590386594 -13.7954066156293|  2.500 -20.265   |10.10    |A9/F0V         |    ~     ~    |    1|  384.971   pc  | -12.4342    +12.4342    |paral   |2020yCat.1350....0G
1528|HD 177991                                                                                                |Star                                  |19 07 53.6177627016 -23 08 02.619730788|013.7224092408865 -13.7604030835648| -7.431 -15.141   |8.92     |K1III          |    ~     ~    |    1|  486.523   pc  |  -4.8761     +4.8761    |paral   |2020yCat.1350....0G
1529|HD 178074                                                                                                |Star                                  |19 08 12.6345061920 -23 10 18.293186532|013.7173677676566 -13.8422819147404|  1.660 -17.086   |9.21     |A4IV           |    ~     ~    |    1|  394.322   pc  |  -3.2186     +3.2186    |paral   |2020yCat.1350....0G
1530|HD 178250                                                                                                |Star                                  |19 08 44.4479232096 -23 11 25.023415416|013.7507502830572 -13.9612018369689| -3.830 -13.589   |6.68     |G8III/IV       |    ~     ~    |    1|   80.057   pc  |  -0.1916     +0.1916    |paral   |2020yCat.1350....0G
1531|HD 178271                                                                                                |Star                                  |19 08 55.0765389432 -23 27 45.801224928|013.5108106451839 -14.1084812426812| 15.217 -22.363   |9.55     |G2V            |    ~     ~    |    1|  114.102   pc  |  -6.8299     +6.8299    |paral   |2020yCat.1350....0G
1532|HD 178294                                                                                                |Star                                  |19 08 57.1406279880 -23 44 20.577161796|013.2532481408899 -14.2270322524569| -15.329 -4.288   |9.69     |G6IV/V         |    ~     ~    |    1|  285.584   pc  |  -1.2968     +1.2968    |paral   |2020yCat.1350....0G
1533|HD 178367                                                                                                |Star                                  |19 09 17.6438056608 -23 28 54.285515292|013.5287203099041 -14.1950797204922|   5.672 -3.298   |10.84    |B9II/III       |    ~     ~    |    1|  782.167   pc  | -26.0008    +26.0008    |paral   |2020yCat.1350....0G
1534|HD 178389                                                                                                |Star                                  |19 09 22.3541653152 -23 30 45.741163536|013.5069681725578 -14.2240251195463|    0.031 0.620   |8.27     |K5III          |    ~     ~    |    1|  912.992   pc  | -17.5046    +17.5046    |paral   |2020yCat.1350....0G
1535|HD 178419                                                                                                |Star                                  |19 09 31.2909695064 -23 36 17.213071320|013.4341729151725 -14.2923278441963|  1.457 -13.708   |10.32    |F6/G0(V)       |    ~     ~    |    1|  257.945   pc  |  -1.3706     +1.3706    |paral   |2020yCat.1350....0G
1536|HD 178439                                                                                                |Star                                  |19 09 34.7057165088 -23 11 27.525486480|013.8302888338668 -14.1375488872536|   3.040 -7.123   |7.80     |B8V            |    ~     ~    |    1|  364.910   pc  |  -6.2984     +6.2984    |paral   |2020yCat.1350....0G
1537|HD 178526                                                                                                |Star                                  |19 09 49.3306366560 -23 02 34.455728616|013.9933205568001 -14.1290317023462|  2.577 -17.361   |10.08    |G1/2V          |    ~     ~    |    1|  291.903   pc  |  -1.3207     +1.3207    |paral   |2020yCat.1350....0G
1538|HD 178581                                                                                                |Star                                  |19 10 02.6060619936 -23 30 06.366745836|013.5811539485493 -14.3604258009777|   -3.305 2.936   |10.75    |F3/5           |    ~     ~    |    1|  320.790   pc  |  -1.9964     +1.9964    |paral   |2020yCat.1350....0G
1539|HD 178625                                                                                                |Star                                  |19 10 16.4716919904 -23 04 59.401006968|013.9986346589748 -14.2404801258884|   2.650 -6.653   |9.45     |A8/9V          |    ~     ~    |    1|  415.041   pc  |  -3.6519     +3.6519    |paral   |2020yCat.1350....0G
1540|HD 178672                                                                                                |Star                                  |19 10 29.5002421824 -23 36 08.237558124|013.5286773101598 -14.4948640306158|   4.402 -5.463   |10.84    |A1IV           |    ~     ~    |    1| 1190.334   pc  | -34.9973    +34.9973    |paral   |2020yCat.1350....0G
1541|HD 178197                                                                                                |Star                                  |19 08 35.2143756672 -23 54 17.003884536|013.0620906153453 -14.2171702816219|   4.737 -8.319   |9.97     |K1(III)        |    ~     ~    |    1|  514.007   pc  |  -3.8309     +3.8309    |paral   |2020yCat.1350....0G
1542|HD 178420                                                                                                |Star                                  |19 09 29.8090828320 -23 50 44.294025084|013.2041746053010 -14.3839162995200|   4.484 -3.050   |10.48    |F0IV/V         |    ~     ~    |    1|  465.962   pc  |  -5.6017     +5.6017    |paral   |2020yCat.1350....0G
1543|HD 177992                                                                                                |Star                                  |19 07 54.6866999184 -24 01 38.068711932|012.8823649100945 -14.1252138753701|   9.132 -4.566   |9.96     |M1/2           |    ~     ~    |    1|  839.631   pc  | -21.2904    +21.2904    |paral   |2020yCat.1350....0G
1544|HD 178497                                                                                                |Star                                  |19 09 50.9542749408 -24 10 28.333697124|012.9261943006026 -14.5893791695531|-19.740 -18.653   |9.45     |K1(III)        |    ~     ~    |    1|  683.340   pc  |  -8.2651     +8.2651    |paral   |2020yCat.1350....0G
1545|HD 178604                                                                                                |Star                                  |19 10 13.7685036648 -24 10 57.223131600|012.9543855106939 -14.6720878723726|  -0.348 -3.389   |10.18    |B9V            |    ~     ~    |    1|  675.311   pc  |  -9.9874     +9.9874    |paral   |2020yCat.1350....0G
1546|TYC 6874-22-1                                                                                            |Star                                  |19 07 34.3514752032 -22 35 59.306520804|014.1935464668525 -13.4753886655789|   -0.487 0.922   |10.55    |~              |    ~     ~    |    1|  789.640   pc  |  -9.8518     +9.8518    |paral   |2020yCat.1350....0G
1547|BD-22 4984                                                                                               |Star                                  |19 07 56.0848557864 -22 31 35.905155564|014.2973357380521 -13.5218769745843|    2.705 1.458   |10.32    |~              |    ~     ~    |    1|  256.581   pc  |  -0.9612     +0.9612    |paral   |2020yCat.1350....0G
1548|CD-24 15065                                                                                              |Star                                  |19 09 33.8081259480 -24 04 30.594929592|012.9933393933407 -14.4898713981502|   4.984 -6.264   |10.32    |~              |    ~     ~    |    1| 1084.363   pc  | -21.7531    +21.7531    |paral   |2020yCat.1350....0G
1549|CD-23 15116                                                                                              |Star                                  |19 10 15.1710639696 -23 39 03.838079556|013.4598704055791 -14.4643191143124|   0.508 -2.029   |10.57    |~              |    ~     ~    |    1| 1488.095   pc  | -45.6172    +45.6172    |paral   |2020yCat.1350....0G
1550|HD 178727                                                                                                |Star                                  |19 10 34.2691290264 -21 40 21.059364864|015.3560843125713 -13.7309567468297|  15.218 -8.615   |8.80     |F3V            |    ~     ~    |    1|  234.159   pc  |  -8.1259     +8.1259    |paral   |2020yCat.1350....0G
1551|HD 178900                                                                                                |Star                                  |19 11 19.0086936792 -21 41 10.121163108|015.4159739281784 -13.8946995023594| -0.603 -27.671   |10.09    |F6/7V          |    ~     ~    |    1|  269.360   pc  |  -4.7814     +4.7814    |paral   |2020yCat.1350....0G
1552|HD 179201                                                                                                |Star                                  |19 12 28.0399483800 -21 39 30.175790328|015.5541194121344 -14.1276233544857| 33.193 -22.305   |6.390    |K0III          |    ~     ~    |    1|  142.432   pc  |  -0.5193     +0.5193    |paral   |2020yCat.1350....0G
1553|HD 179693                                                                                                |Star                                  |19 14 22.5821630640 -21 33 21.299436648|015.8363183941886 -14.4917903690126|  -15.110 8.027   |10.69    |F2V            |    ~     ~    |    1|  279.814   pc  |  -1.4563     +1.4563    |paral   |2020yCat.1350....0G
1554|HD 179805                                                                                                |Star                                  |19 14 44.0869820256 -21 37 49.394878068|015.8007072954004 -14.5980878711987|   5.948 -0.096   |10.12    |B2III/IV       |    ~     ~    |    1| 1462.844   pc  | -98.4359    +98.4359    |paral   |2020yCat.1350....0G
1555|HD 178885                                                                                                |Star                                  |19 11 08.4601238640 -21 54 26.303930712|015.1907229902376 -13.9473950717662|  -1.784 -7.460   |9.71     |B9IV           |    ~     ~    |    1|  601.070   pc  | -10.7663    +10.7663    |paral   |2020yCat.1350....0G
1556|HD 178838                                                                                                |Star                                  |19 11 00.3918842280 -22 33 38.439851076|014.5619882347045 -14.1838361549348| 23.795 -20.167   |9.31     |G8/K0III       |    ~     ~    |    1|  552.334   pc  |  -4.5761     +4.5761    |paral   |2020yCat.1350....0G
1557|HD 178933                                                                                                |Spectroscopic Binary                  |19 11 25.6356883680 -22 36 38.004276924|014.5553881441450 -14.2928244608546|  2.717 -46.343   |9.43     |F3V            |    ~     ~    |    1|  190.549   pc  |  -0.7117     +0.7117    |paral   |2020yCat.1350....0G
1558|HD 178962                                                                                                |Star                                  |19 11 30.5544187920 -21 59 55.390373412|015.1403725513212 -14.0625476730328|  -0.077 -1.051   |10.72    |B9III          |    ~     ~    |    1|  901.388   pc  | -35.6688    +35.6688    |paral   |2020yCat.1350....0G
1559|HD 179057                                                                                                |Star                                  |19 11 51.5346628416 -22 05 47.396892120|015.0820762058433 -14.1762564004211|   0.823 -2.015   |10.50    |A2III/IV       |    ~     ~    |    1|  951.928   pc  | -60.7131    +60.7131    |paral   |2020yCat.1350....0G
1560|HD 179113                                                                                                |Star                                  |19 12 05.8174154197 -21 55 41.719366024|015.2637716195080 -14.1585224776125|   6.920 -5.602   |7.87     |K0III          |    ~     ~    |    1|  232.519   pc  |  -4.1290     +4.1290    |ST-L    |2020AJ....160...83S
1561|HD 179133                                                                                                |Star                                  |19 12 10.8189800712 -22 17 38.945921964|014.9266241744629 -14.3242443182130| -6.679 -22.399   |10.85    |B8II/III       |    ~     ~    |    1|  747.272   pc  |  -9.2697     +9.2697    |paral   |2020yCat.1350....0G
1562|HD 179231                                                                                                |Star                                  |19 12 36.8642817456 -22 11 21.523244820|015.0674967215571 -14.3737905969614|  1.741 -14.349   |8.55     |A0V            |    ~     ~    |    1|  224.296   pc  |  -1.4187     +1.4187    |paral   |2020yCat.1350....0G
1563|HD 179296                                                                                                |High Proper Motion Star               |19 12 55.0082269392 -21 59 37.237700004|015.2814451911919 -14.3588237272119|-43.169 -89.213   |10.17    |G8V            |    ~     ~    |    1|   64.678   pc  |  -2.9199     +2.9199    |paral   |2020yCat.1350....0G
1564|HD 179477                                                                                                |Star                                  |19 13 37.8396408264 -22 22 35.763118716|014.9882749575821 -14.6644162423383|   2.374 -1.664   |9.38     |A2mA9-F0/2     |    ~     ~    |    1|  285.919   pc  |  -1.7249     +1.7249    |paral   |2020yCat.1350....0G
1565|HD 179478                                                                                                |Star                                  |19 13 38.8396494168 -22 33 57.782495952|014.8104990273085 -14.7440279798191|  -0.901 -6.104   |7.89     |B8V            |    ~     ~    |    1|  723.014   pc  | -21.6941    +21.6941    |paral   |2020yCat.1350....0G
1566|HD 179519                                                                                                |Star                                  |19 13 44.3709463056 -21 55 33.855001644|015.4248647596484 -14.5060200157256|   29.059 5.301   |9.23     |K0III          |    ~     ~    |    1|  400.288   pc  |  -2.2913     +2.2913    |paral   |2020yCat.1350....0G
1567|HD 179547                                                                                                |Star                                  |19 13 51.8114169696 -22 30 00.786888540|014.8935694252765 -14.7633411970617|   -6.564 2.111   |9.52     |K0III          |    ~     ~    |    1|  459.495   pc  |  -3.2093     +3.2093    |paral   |2020yCat.1350....0G
1568|HD 179545                                                                                                |Star                                  |19 13 51.3933264216 -21 56 38.760209412|015.4191363518065 -14.5381288108759|  0.690 -13.915   |8.71     |B9V            |    ~     ~    |    1|  421.585   pc  |  -4.8344     +4.8344    |paral   |2020yCat.1350....0G
1569|HD 179609                                                                                                |Star                                  |19 14 08.7686433792 -22 03 38.296903176|015.3368784389819 -14.6465257599765|  4.107 -13.386   |6.99     |A0/1V          |    ~     ~    |    1|  117.870   pc  |  -0.3459     +0.3459    |paral   |2020yCat.1350....0G
1570|HD 179662                                                                                                |Star                                  |19 14 14.0911696128 -21 56 47.907742020|015.4532767494117 -14.6194295367802|   3.707 -5.166   |9.89     |G8/K0(III)+(G) |    ~     ~    |    1|  609.922   pc  | -23.3300    +23.3300    |ST-L    |2020AJ....160...83S
1571|HD 179663                                                                                                |Star                                  |19 14 20.9026079520 -22 42 20.036323116|014.7452855774683 -14.9481301662190|   7.297 -8.610   |9.93     |K0/2(III)      |    ~     ~    |    1|  876.817   pc  | -84.3300    +84.3300    |ST-L    |2020AJ....160...83S
1572|HD 179746                                                                                                |Star                                  |19 14 34.1694116400 -22 04 39.038587464|015.3617071271404 -14.7431072393294|   0.399 -7.063   |8.79     |B7III/IV       |    ~     ~    |    1|  688.848   pc  | -13.0965    +13.0965    |paral   |2020yCat.1350....0G
1573|HD 179747                                                                                                |Star                                  |19 14 38.6242287024 -22 30 00.160230240|014.9684556988148 -14.9283694005567|  -13.616 7.184   |10.07    |G8/K1(III)     |    ~     ~    |    1|  445.018   pc  |  -4.4361     +4.4361    |paral   |2020yCat.1350....0G
1574|HD 179828                                                                                                |Star                                  |19 14 51.7553571120 -22 02 18.466332432|015.4269145923195 -14.7895926961931|   0.595 -6.725   |9.82     |B9IV           |    ~     ~    |    1|  665.336   pc  | -13.0146    +13.0146    |paral   |2020yCat.1350....0G
1575|HD 178784                                                                                                |Star                                  |19 10 49.0931531112 -23 03 08.762882652|014.0796607705346 -14.3425487462813|    6.846 1.467   |10.093   |K0/1(III)      |    ~     ~    |    1| 1050.970   pc  | -76.6100    +76.6100    |ST-L    |2020AJ....160...83S
1576|HD 178785                                                                                                |Star                                  |19 10 53.3807146200 -23 28 31.351947096|013.6865563102228 -14.5275370771741| -2.882 -10.541   |10.57    |A0V            |    ~     ~    |    1|  474.046   pc  |  -9.2584     +9.2584    |paral   |2020yCat.1350....0G
1577|HD 179087                                                                                                |Star                                  |19 12 04.1919781608 -23 44 25.907560332|013.5470264312623 -14.8813499299325|   1.902 -7.930   |8.03     |B5/7III        |    ~     ~    |    1|  566.572   pc  | -13.8032    +13.8032    |paral   |2020yCat.1350....0G
1578|CD-23 15143                                                                                              |Star                                  |19 12 13.5178758864 -23 41 23.318126232|013.6098308193102 -14.8937642694848|   -0.258 4.399   |9.73     |~              |    ~     ~    |    1| 1506.478   pc  | -44.2548    +44.2548    |paral   |2020yCat.1350....0G
1579|HD 179134                                                                                                |Star                                  |19 12 11.0157087432 -22 54 05.799919824|014.3527822389870 -14.5696207972695|  37.645 15.741   |9.62     |F2/3V          |    ~     ~    |    1|  156.045   pc  |  -0.4213     +0.4213    |paral   |2020yCat.1350....0G
1580|HD 179135                                                                                                |Star                                  |19 12 16.7624927688 -23 37 22.382867820|013.6784486286372 -14.8784400912426|   1.489 -8.254   |9.73     |B8/9III        |    ~     ~    |    1|  609.125   pc  |  -9.2016     +9.2016    |paral   |2020yCat.1350....0G
1581|HD 179202                                                                                                |Star                                  |19 12 29.8338343464 -23 02 13.980834024|014.2543411327844 -14.6901537092757|  -1.393 -7.342   |8.33     |B5III          |    ~     ~    |    1|  623.053   pc  |  -9.8602     +9.8602    |paral   |2020yCat.1350....0G
1582|HD 179250                                                                                                |Star                                  |19 12 48.6835080024 -23 26 14.443429056|013.9048354871753 -14.9162762722419|  20.965 -7.716   |9.97     |F8/G0V         |    ~     ~    |    1|  178.776   pc  |  -0.9908     +0.9908    |paral   |2020yCat.1350....0G
1583|HD 179297                                                                                                |Star                                  |19 12 54.2957334672 -22 47 56.796553824|014.5187486797200 -14.6806787339258|  -1.582 -8.035   |8.68     |B8/9IV/V       |    ~     ~    |    1|  592.909   pc  | -56.0005    +56.0005    |paral   |2020yCat.1350....0G
1584|HD 179321                                                                                                |Star                                  |19 13 05.8205581632 -23 42 29.152331748|013.6746804021269 -15.0841072517179|  12.469 -7.893   |8.65     |F2V            |    ~     ~    |    1|  226.383   pc  |  -2.2857     +2.2857    |paral   |2020yCat.1350....0G
1585|HD 179351                                                                                                |Star                                  |19 13 08.8868672064 -23 14 09.327382980|014.1278799748393 -14.9067770931272|   9.182 -3.935   |8.96     |K2III          |    ~     ~    |    1|  505.178   pc  |  -3.8281     +3.8281    |paral   |2020yCat.1350....0G
1586|HD 179429                                                                                                |Star                                  |19 13 27.5146285368 -22 49 46.005682656|014.5428892527746 -14.8097245629173|  47.292 -5.568   |10.50    |G2/3V          |    ~     ~    |    1|  157.386   pc  |  -1.4664     +1.4664    |paral   |2020yCat.1350....0G
1587|HD 179548                                                                                                |Star                                  |19 13 58.0495048224 -22 55 54.573997152|014.4943043789087 -14.9581057067759| -13.047 -3.372   |8.01     |K3III          |    ~     ~    |    1|  564.398   pc  | -10.8942    +10.8942    |paral   |2020yCat.1350....0G
1588|HD 179575                                                                                                |Star                                  |19 14 03.4688645688 -23 11 23.497891260|014.2578985229906 -15.0800843787126|   4.874 -1.703   |9.65     |A8V            |    ~     ~    |    1|  255.683   pc  |  -1.2356     +1.2356    |paral   |2020yCat.1350....0G
1589|HD 179610                                                                                                |Star                                  |19 14 06.9952458024 -23 04 00.374699892|014.3803836491966 -15.0434216685703| 13.071 -23.130   |8.92     |G8III          |    ~     ~    |    1|  382.804   pc  |  -2.9601     +2.9601    |paral   |2020yCat.1350....0G
1590|HD 179637                                                                                                |Star                                  |19 14 12.3688632888 -22 56 08.063267388|014.5134612305344 -15.0099792358779|  2.518 -11.052   |10.29    |F2/3V          |    ~     ~    |    1|  331.181   pc  |  -3.4549     +3.4549    |paral   |2020yCat.1350....0G
1591|HD 179638                                                                                                |Star                                  |19 14 12.5791579800 -23 21 12.653065440|014.1167417504051 -15.1771960041020|-21.944 -11.473   |10.54    |F7/8V          |    ~     ~    |    1|  148.095   pc  |  -0.3531     +0.3531    |paral   |2020yCat.1350....0G
1592|HD 179664                                                                                                |Star                                  |19 14 23.6377866648 -23 19 05.764529136|014.1676803148708 -15.2020099798034|   0.728 -0.416   |10.06    |F3V            |    ~     ~    |    1|  481.232   pc  |  -3.4506     +3.4506    |paral   |2020yCat.1350....0G
1593|HD 178934                                                                                                |Star                                  |19 11 28.4084918952 -23 53 45.813736068|013.3432093515696 -14.8182521915939|  8.418 -23.067   |10.35    |G6V            |    ~     ~    |    1|  138.015   pc  |  -0.2952     +0.2952    |paral   |2020yCat.1350....0G
1594|CD-24 15105                                                                                              |Star                                  |19 12 13.5426870120 -23 53 01.078927152|013.4258612839233 -14.9710275309059|   -8.784 1.228   |10.05    |~              |    ~     ~    |    1|  504.363   pc  |  -5.3166     +5.3166    |paral   |2020yCat.1350....0G
1595|HD 179179                                                                                                |Star                                  |19 12 29.4631962768 -23 52 14.195972820|013.4632036579184 -15.0215045220355|  -1.155 -2.635   |10.12    |F5/6IV         |    ~     ~    |    1|  432.620   pc  |  -5.0159     +5.0159    |paral   |2020yCat.1350....0G
1596|HD 179724                                                                                                |Star                                  |19 14 34.5952582056 -23 49 04.545605640|013.7092239102845 -15.4384490971110|  2.882 -11.964   |10.20    |F0V            |    ~     ~    |    1|  367.282   pc  |  -2.6979     +2.6979    |paral   |2020yCat.1350....0G
1597|HD 179157                                                                                                |Star                                  |19 12 21.3186069480 -23 59 14.758259424|013.3394401476173 -15.0394627966564|   1.889 -2.960   |9.56     |B9III/IV       |    ~     ~    |    1|  764.175   pc  | -24.0009    +24.0009    |paral   |2020yCat.1350....0G
1598|HD 179352                                                                                                |Star                                  |19 13 15.0035612976 -24 01 46.493042016|013.3833093355400 -15.2437569212925|    6.017 2.428   |9.45     |K0III          |    ~     ~    |    1|  639.754   pc  | -15.8803    +15.8803    |paral   |2020yCat.1350....0G
1599|HD 179857                                                                                                |Star                                  |19 14 57.6349091664 -22 25 33.282048360|015.0690985960709 -14.9657717236849| -8.011 -17.199   |8.98     |M1III          |    ~     ~    |    1|  668.092   pc  | -13.5689    +13.5689    |paral   |2020yCat.1350....0G
1600|BD-22 4999                                                                                               |Star                                  |19 11 07.9401884088 -22 28 50.374414704|014.6495900955797 -14.1780508058360| -11.452 -6.768   |10.50    |~              |    ~     ~    |    1| 1079.331   pc  | -20.6197    +20.6197    |paral   |2020yCat.1350....0G
1601|BD-22 5002                                                                                               |Star                                  |19 11 29.2325225304 -22 03 37.605409704|015.0800727863066 -14.0829224784238|  -5.438 -4.829   |10.19    |~              |    ~     ~    |    1|  612.257   pc  |  -5.9228     +5.9228    |paral   |2020yCat.1350....0G
1602|CD-23 15132                                                                                              |Star                                  |19 11 39.0419316096 -23 15 22.414460364|013.9663368202847 -14.5996631162407|   -1.817 0.946   |10.50    |~              |    ~     ~    |    1|  738.280   pc  |  -7.2493     +7.2493    |paral   |2020yCat.1350....0G
1603|CD-23 15137                                                                                              |Star                                  |19 11 55.4989990104 -23 22 01.266517416|013.8874809221347 -14.7017420319467|  -1.064 -7.080   |10.37    |~              |    ~     ~    |    1| 1538.935   pc  |-140.6783   +140.6783    |paral   |2020yCat.1350....0G
1604|CD-23 15144                                                                                              |Star                                  |19 12 10.5557393232 -22 49 34.793090508|014.4232702485095 -14.5377565629352| 10.516 -11.928   |10.29    |~              |    ~     ~    |    1|  186.286   pc  |  -0.6489     +0.6489    |paral   |2020yCat.1350....0G
1605|CD-23 15148                                                                                              |Star                                  |19 12 19.7169771000 -23 31 48.645643224|013.7710583180399 -14.8518057122048|    0.058 2.843   |10.22    |~              |    ~     ~    |    1| 1392.564   pc  | -25.2100    +25.2100    |paral   |2020yCat.1350....0G
1606|CD-24 15108                                                                                              |Star                                  |19 12 20.7176296872 -24 03 08.925410124|013.2766810973867 -15.0631942318046|   8.276 -6.220   |10.16    |~              |    ~     ~    |    1|  413.565   pc  |  -2.8050     +2.8050    |paral   |2020yCat.1350....0G
1607|CD-24 15109                                                                                              |Star                                  |19 12 21.0023278320 -24 05 46.193504532|013.2356003450703 -15.0815270588278| 11.553 -13.973   |10.59    |~              |    ~     ~    |    1|  729.874   pc  |  -8.7365     +8.7365    |paral   |2020yCat.1350....0G
1608|BD-22 5009                                                                                               |Star                                  |19 12 31.9901289360 -22 34 08.424802344|014.7008730903463 -14.5096887109714|   5.420 -4.752   |10.33    |~              |    ~     ~    |    1|  966.277   pc  | -15.4059    +15.4059    |paral   |2020yCat.1350....0G
1609|CD-23 15153                                                                                              |Star                                  |19 12 37.2402849864 -23 08 20.900964228|014.1695343662716 -14.7569851445559| -10.799 -5.943   |9.70     |~              |    ~     ~    |    1|  692.137   pc  |  -7.5691     +7.5691    |paral   |2020yCat.1350....0G
1610|BD-21 5294                                                                                               |Star                                  |19 12 38.9088883536 -21 43 47.958547584|015.5042294606617 -14.1951372644157|   17.197 1.321   |9.81     |~              |    ~     ~    |    1|  565.227   pc  |  -4.3130     +4.3130    |paral   |2020yCat.1350....0G
1611|BD-22 5020                                                                                               |Star                                  |19 14 04.3355167800 -22 44 32.565975684|014.6840100452953 -14.9044987768083| -11.299 -2.290   |10.14    |~              |    ~     ~    |    1|  864.080   pc  | -15.9033    +15.9033    |paral   |2020yCat.1350....0G
1612|CD-23 15186                                                                                              |Star                                  |19 14 14.0726592336 -23 12 43.152278436|014.2536240882569 -15.1261458829423|  -4.396 -5.265   |10.57    |~              |    ~     ~    |    1| 1729.505   pc  | -53.8414    +53.8414    |paral   |2020yCat.1350....0G
1613|CPD-22 7391                                                                                              |Star                                  |19 14 45.3390451824 -22 46 33.591149616|014.7172804439968 -15.0623527231249|  -10.890 1.040   |10.55    |~              |    ~     ~    |    1|  719.638   pc  | -28.5100    +28.5100    |ST-L    |2020AJ....160...83S
1614|CPD-24 6647                                                                                              |Star                                  |19 14 50.7863809512 -24 03 43.774690320|013.5015625044870 -15.5914607538084|   4.486 -4.456   |10.38    |~              |    ~     ~    |    1|  345.197   pc  |  -2.0019     +2.0019    |paral   |2020yCat.1350....0G
1615|CD-23 15199                                                                                              |Star                                  |19 14 53.8704211776 -23 27 59.312049840|014.0742136639513 -15.3669448848227|  -3.085 -8.568   |10.46    |~              |    ~     ~    |    1| 1244.091   pc  | -37.1463    +37.1463    |paral   |2020yCat.1350....0G
1616|TYC 6295-242-1                                                                                           |Star                                  |19 08 20.7425551368 -21 40 28.135992036|015.1366480689054 -13.2600088217680| -10.031 -2.946   |10.407   |~              |    ~     ~    |    1|  872.043   pc  | -55.4000    +55.4000    |ST-L    |2020AJ....160...83S
1617|TYC 6295-381-1                                                                                           |Star                                  |19 10 28.7352997752 -22 14 03.522209424|014.8186384855789 -13.9401019093082|  5.035 -14.035   |10.95    |~              |    ~     ~    |    1|  507.692   pc  |  -9.8719     +9.8719    |paral   |2020yCat.1350....0G
1618|TYC 6295-459-1                                                                                           |Star                                  |19 08 11.1998887848 -22 02 13.861898808|014.7811331807593 -13.3750298411582|   4.333 -3.982   |10.70    |~              |    ~     ~    |    1|  256.318   pc  |  -6.0312     +6.0312    |paral   |2020yCat.1350....0G
1619|GSC 06295-01156                                                                                          |Double or Multiple Star               |19 11 36.2022778776 -21 33 39.524307840|015.5616780663199 -13.9045584818713|  27.339 -9.288   |10.564   |~              |    ~     ~    |    1|  364.857   pc  |  -2.1432     +2.1432    |paral   |2020yCat.1350....0G
1620|TYC 6295-1160-1                                                                                          |Star                                  |19 11 52.1071332768 -21 55 46.959925836|015.2402391268644 -14.1106725268960|  -5.630 -6.272   |10.20    |~              |    ~     ~    |    1|  902.853   pc  | -23.1501    +23.1501    |paral   |2020yCat.1350....0G
1621|TYC 6295-1296-1                                                                                          |Star                                  |19 11 17.4098067552 -22 06 42.024788064|015.0127123157835 -14.0619773456250|   9.893 -7.129   |10.72    |~              |    ~     ~    |    1|  518.108   pc  | -17.4752    +17.4752    |paral   |2020yCat.1350....0G
1622|TYC 6295-1298-1                                                                                          |Star                                  |19 11 44.3951025600 -21 43 15.652046676|015.4243506761785 -13.9986629236398| -5.285 -16.757   |10.88    |~              |    ~     ~    |    1|  303.380   pc  |  -1.2057     +1.2057    |paral   |2020yCat.1350....0G
1623|TYC 6295-1510-1                                                                                          |Star                                  |19 11 37.0006942032 -21 45 42.506257068|015.3739507361571 -13.9890999428730|  2.722 -25.971   |10.45    |~              |    ~     ~    |    1|  740.083   pc  |  -8.8731     +8.8731    |paral   |2020yCat.1350....0G
1624|TYC 6295-1550-1                                                                                          |Star                                  |19 11 01.3152973320 -21 58 29.866321380|015.1154645840773 -13.9496658551380|  1.862 -33.881   |10.94    |~              |    ~     ~    |    1|  316.917   pc  |  -1.3961     +1.3961    |paral   |2020yCat.1350....0G
1625|TYC 6295-1908-1                                                                                          |Star                                  |19 11 30.8183488416 -21 52 00.935087772|015.2649470065047 -14.0099686860404|  -4.300 -1.667   |10.45    |~              |    ~     ~    |    1|  932.836   pc  | -15.7503    +15.7503    |paral   |2020yCat.1350....0G
1626|TYC 6308-1600-1                                                                                          |Star                                  |19 12 08.5957820952 -21 37 22.132283016|015.5560887217333 -14.0443615084515| -0.485 -15.184   |10.88    |~              |    ~     ~    |    1|  370.576   pc  |  -1.8127     +1.8127    |paral   |2020yCat.1350....0G
