C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:15:02

Vmag< 11&dec >=0&rah >=17.25&rah< 17.5
--------------------------------------

Number of objects : 4313

 #  |                                                                                                                     identifier                                                                                                                      |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------
2513|TYC 1549-1333-1                                                                                                                                                                                                                                      |Spectroscopic Binary           |17 26 06.4087209456 +21 50 38.744270808|044.5129696506477 +28.0460289606593|   -5.145 0.740    |10.03    |~               |    ~     ~    
2514|TYC 1549-1370-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 20 36.1787845008 +21 05 54.913081704|043.2150099958287 +28.9919394393362| 21.536 -47.732    |10.95    |~               |    ~     ~    
2515|TYC 1549-1471-1                                                                                                                                                                                                                                      |Star                           |17 20 24.5901655776 +22 05 57.066672228|044.2750569536610 +29.3749494479821|  -0.064 -2.357    |10.12    |~               |    ~     ~    
2516|TYC 1549-1585-1                                                                                                                                                                                                                                      |Star                           |17 25 02.2403224776 +21 39 19.523010924|044.2153352141021 +28.2144722906113| -18.741 -8.894    |10.75    |~               |    ~     ~    
2517|TYC 1549-1668-1                                                                                                                                                                                                                                      |Star                           |17 23 24.7237142952 +21 14 23.060176872|043.6239594974646 +28.4261272838368|  9.093 -48.664    |9.98     |~               |    ~     ~    
2518|TYC 1549-1752-1                                                                                                                                                                                                                                      |Star                           |17 24 37.8065156352 +21 15 57.391382340|043.7634854154909 +28.1689553309324| -3.372 -12.013    |10.99    |~               |    ~     ~    
2519|TYC 1549-2068-1                                                                                                                                                                                                                                      |Star                           |17 24 39.6218844024 +21 38 28.411506132|044.1660256840084 +28.2918547655302|   0.507 -7.746    |10.53    |~               |    ~     ~    
2520|TYC 1549-2137-1                                                                                                                                                                                                                                      |Star                           |17 23 18.5095189368 +21 34 00.243529644|043.9637991227527 +28.5614076707783| -2.362 -20.364    |10.94    |~               |    ~     ~    
2521|TYC 1549-2149-1                                                                                                                                                                                                                                      |Star                           |17 20 29.7162926544 +21 33 35.456871492|043.7009667279808 +29.1736919223519|-15.522 -16.519    |10.04    |~               |    ~     ~    
2522|2MASS J17204058+2139497                                                                                                                                                                                                                              |Long-Period Variable           |17 20 40.5918903120 +21 39 49.737605940|043.8293499370971 +29.1694873691013| -3.879 -11.783    |10.50    |~               |    ~     ~    
2523|TYC 1549-2349-1                                                                                                                                                                                                                                      |Star                           |17 22 13.7430189408 +21 30 53.047624752|043.8100320683195 +28.7793739532842|  -1.684 -1.850    |10.80    |~               |    ~     ~    
2524|StKM 1-1471                                                                                                                                                                                                                                          |Star                           |17 25 13.2986564952 +20 23 52.546880328|042.8979516308614 +27.7353607068623|-12.600 -17.349    |10.28    |K4              |    ~     ~    
2525|StKM 1-1480                                                                                                                                                                                                                                          |Star                           |17 27 50.7849427368 +22 17 58.254079344|045.1533645683637 +27.8230181173863|   2.850 -0.682    |10.61    |K5              |    ~     ~    
2526|V* V951 Her                                                                                                                                                                                                                                          |Long-Period Variable Candidate |17 26 23.2565564112 +22 06 35.269140132|044.8211354613247 +28.0757520982449|  5.362 -22.729    |8.81     |M1              |    ~     ~    
2527|BD+21 3123                                                                                                                                                                                                                                           |Star                           |17 26 30.6118108584 +21 24 04.195817532|044.0790606485518 +27.8052094245296| -21.129 -8.573    |9.29     |G0              |    ~     ~    
2528|HD 158210                                                                                                                                                                                                                                            |Star                           |17 27 06.6673422768 +21 43 10.498720008|044.4714221855409 +27.7842749824837| -33.632 -2.674    |8.01     |G0              |    ~     ~    
2529|BD+21 3127                                                                                                                                                                                                                                           |High Proper Motion Star        |17 27 30.4067160360 +21 20 54.837535704|044.1144406894435 +27.5693853713489| -57.951 17.959    |9.20     |G0              |    ~     ~    
2530|BD+21 3133                                                                                                                                                                                                                                           |Star                           |17 28 20.0471512440 +21 23 56.909366160|044.2435147203420 +27.4064576168851|   -3.058 3.774    |9.18     |K0              |    ~     ~    
2531|BD+20 3480                                                                                                                                                                                                                                           |High Proper Motion Star        |17 26 46.7704359336 +20 12 21.001333464|042.8418796763537 +27.3256640616924|-122.002 -60.657   |9.02     |G5              |    ~     ~    
2532|HD 158148                                                                                                                                                                                                                                            |Spectroscopic Binary           |17 26 49.1282232504 +20 04 51.515964804|042.7143538478124 +27.2724443516903|   1.440 15.903    |5.514    |B5V             |    ~     ~    
2533|BD+20 3483                                                                                                                                                                                                                                           |Pulsating Variable             |17 27 38.7704155824 +20 02 01.375278468|042.7429921436934 +27.0741112567730|   9.610 -3.344    |9.96     |F2              |    ~     ~    
2534|BD+20 3485                                                                                                                                                                                                                                           |Spectroscopic Binary           |17 27 52.6497795024 +20 49 48.803185380|043.6015745068594 +27.3067551972061|   3.018 -8.157    |9.04     |F8              |    ~     ~    
2535|HD 158672                                                                                                                                                                                                                                            |High Proper Motion Star        |17 29 43.6128076776 +22 18 17.305829712|045.3266784354166 +27.4160451478519|-55.320 -61.740    |8.60     |K2              |    ~     ~    
2536|HD 158573                                                                                                                                                                                                                                            |High Proper Motion Star        |17 29 12.7916316192 +22 07 56.757767628|045.0982895131861 +27.4686170096485|-35.225 -122.088   |8.00     |G5              |    ~     ~    
2537|BD+22 3155                                                                                                                                                                                                                                           |Star                           |17 29 42.7064460456 +21 57 47.571498072|044.9641532210688 +27.3018950007154| -11.642 27.223    |8.99     |K0              |    ~     ~    
2538|BD+22 3149                                                                                                                                                                                                                                           |Star                           |17 28 53.4723647064 +21 54 36.146118204|044.8340133923699 +27.4621559767172|  1.620 -11.448    |9.62     |K5              |    ~     ~    
2539|BD+21 3134                                                                                                                                                                                                                                           |Star                           |17 28 30.8843936544 +21 40 54.084056124|044.5584801211297 +27.4652369886636|-22.888 -37.746    |8.97     |K2              |    ~     ~    
2540|HD 158417                                                                                                                                                                                                                                            |High Proper Motion Star        |17 28 28.3035672288 +19 57 39.408522984|042.7449750453129 +26.8669720049409|-32.438 -41.021    |8.95     |G0              |    ~     ~    
2541|HD 158611                                                                                                                                                                                                                                            |High Proper Motion Star        |17 29 31.5483011256 +20 32 23.313460380|043.4500178321198 +26.8433446126548|-51.305 -11.831    |8.70     |G5              |    ~     ~    
2542|BD+20 3495                                                                                                                                                                                                                                           |Star                           |17 29 40.9636436088 +20 30 54.411330924|043.4388292030759 +26.8002175199185| 18.979 -39.675    |9.88     |K0              |    ~     ~    
2543|BD+20 3496                                                                                                                                                                                                                                           |Star                           |17 29 49.0961547360 +20 31 14.098157364|043.4572252339333 +26.7725157438151| -6.296 -19.908    |9.97     |F5              |    ~     ~    
2544|BD+19 3319                                                                                                                                                                                                                                           |Star                           |17 28 37.8820833240 +19 38 33.637130304|042.4276780765238 +26.7170255968602|  -4.561 14.211    |9.01     |K0              |    ~     ~    
2545|BD+19 3320                                                                                                                                                                                                                                           |Star                           |17 28 36.9255571248 +19 52 19.620514308|042.6657428657905 +26.8034646728672| -18.098 20.917    |9.49     |F5              |    ~     ~    
2546|HD 158640                                                                                                                                                                                                                                            |Star                           |17 29 38.7452581008 +19 44 39.269915592|042.6303430066933 +26.5312869227832|   10.615 2.765    |8.46     |G5              |    ~     ~    
2547|TYC 1545-163-1                                                                                                                                                                                                                                       |Star                           |17 27 32.4785770464 +20 09 21.117973716|042.8612050440249 +27.1408503673952| -7.487 -14.175    |10.76    |~               |    ~     ~    
2548|TYC 1545-1052-1                                                                                                                                                                                                                                      |Star                           |17 26 24.6253221456 +19 55 10.396916148|042.5061000098781 +27.3041858876671|   -4.979 3.531    |9.85     |~               |    ~     ~    
2549|TYC 1545-1213-1                                                                                                                                                                                                                                      |Star                           |17 27 41.0719442832 +19 56 01.911845004|042.6419870007020 +27.0298438349831|   9.049 -0.154    |10.22    |~               |    ~     ~    
2550|TYC 1545-1759-1                                                                                                                                                                                                                                      |Star                           |17 27 27.4583483160 +19 41 08.843451144|042.3606648136421 +26.9902227979059| -9.282 -13.335    |10.22    |~               |    ~     ~    
2551|TYC 1545-1851-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 27 03.8056717824 +19 45 08.317048392|042.3927293128506 +27.1007503035298| 36.196 -83.971    |10.06    |~               |    ~     ~    
2552|TYC 1546-586-1                                                                                                                                                                                                                                       |Star                           |17 29 26.2648153032 +20 36 57.071357604|043.5214642734900 +26.8896623403051| -6.998 -17.528    |10.86    |~               |    ~     ~    
2553|TYC 1546-860-1                                                                                                                                                                                                                                       |Star                           |17 29 25.6081407960 +19 45 03.509254980|042.6164986062403 +26.5817465191339| -12.087 17.788    |10.28    |~               |    ~     ~    
2554|TYC 1546-1560-1                                                                                                                                                                                                                                      |Star                           |17 28 38.7530663592 +19 51 57.515072004|042.6622200422537 +26.7945707584311|  -18.903 6.688    |10.7     |~               |    ~     ~    
2555|TYC 1546-1626-1                                                                                                                                                                                                                                      |Star                           |17 29 14.9556660264 +19 52 33.422511180|042.7299518162847 +26.6658651997832|   -2.439 3.270    |10.72    |~               |    ~     ~    
2556|TYC 1546-1776-1                                                                                                                                                                                                                                      |Star                           |17 28 32.9455685472 +19 40 18.852656664|042.4503232475991 +26.7456671947803|   -2.783 4.946    |10.85    |~               |    ~     ~    
2557|TYC 1546-1798-1                                                                                                                                                                                                                                      |Star                           |17 29 05.5755031464 +19 39 08.828132328|042.4819553915824 +26.6192892331833|  -7.747 -0.098    |9.84     |~               |    ~     ~    
2558|TYC 1546-1874-1                                                                                                                                                                                                                                      |Star                           |17 28 31.9011187248 +19 34 03.966454776|042.3399959480722 +26.7117393744061|   -4.317 1.314    |9.62     |~               |    ~     ~    
2559|TYC 1546-1932-1                                                                                                                                                                                                                                      |Star                           |17 28 43.7722148760 +19 34 24.489346944|042.3648733776537 +26.6703806553560|   -4.824 1.582    |9.73     |~               |    ~     ~    
2560|TYC 1546-2058-1                                                                                                                                                                                                                                      |Star                           |17 28 42.8578017264 +20 02 39.927910164|042.8552536361913 +26.8438174107984|-12.709 -27.207    |10.11    |~               |    ~     ~    
2561|TYC 1546-2108-1                                                                                                                                                                                                                                      |Star                           |17 28 11.5322626056 +19 36 02.383760124|042.3418517620817 +26.7981854650638|  5.813 -30.560    |10.73    |~               |    ~     ~    
2562|TYC 1549-80-1                                                                                                                                                                                                                                        |Star                           |17 26 28.0923145704 +20 56 34.362084408|043.5899747405373 +27.6545176995948|  12.435 -8.501    |10.81    |~               |    ~     ~    
2563|TYC 1549-696-1                                                                                                                                                                                                                                       |Star                           |17 27 44.1672259344 +21 14 29.353308252|044.0222818251550 +27.4819759590383|   2.851 -6.575    |10.78    |~               |    ~     ~    
2564|TYC 1549-824-1                                                                                                                                                                                                                                       |Star                           |17 27 09.8406424872 +20 59 26.585495700|043.7048013767793 +27.5191817439846|  -5.933 -2.831    |10.35    |~               |    ~     ~    
2565|TYC 1549-1101-1                                                                                                                                                                                                                                      |Star                           |17 26 25.2471229512 +22 00 30.707361288|044.7162603994086 +28.0339399886383|   10.273 2.343    |10.66    |~               |    ~     ~    
2566|TYC 1549-1367-1                                                                                                                                                                                                                                      |Star                           |17 27 42.7863644088 +21 59 00.647427408|044.8057948197197 +27.7439374805593|   4.582 14.383    |10.70    |~               |    ~     ~    
2567|TYC 1549-2092-1                                                                                                                                                                                                                                      |Star                           |17 27 58.8795477576 +21 40 02.121740976|044.4948324661827 +27.5765009617158|   7.469 -5.207    |10.80    |~               |    ~     ~    
2568|2MASS J17273069+2208040                                                                                                                                                                                                                              |Long-Period Variable           |17 27 30.6906482232 +22 08 04.014370428|044.9479989654630 +27.8395274095639|  0.029 -10.084    |10.67    |~               |    ~     ~    
2569|TYC 1549-2290-1                                                                                                                                                                                                                                      |Star                           |17 27 41.6299990992 +21 31 58.239198804|044.3264528270416 +27.5926181885302| -8.309 -12.188    |9.77     |~               |    ~     ~    
2570|TYC 1550-1-1                                                                                                                                                                                                                                         |Star                           |17 29 32.9889495960 +20 49 06.634633152|043.7443812230494 +26.9370498467947| 11.288 -33.318    |10.47    |~               |    ~     ~    
2571|TYC 1550-16-1                                                                                                                                                                                                                                        |Star                           |17 29 55.8878241408 +20 42 36.489623724|043.6662390783110 +26.8152066415049|  -0.124 11.072    |10.64    |~               |    ~     ~    
2572|TYC 1550-197-1                                                                                                                                                                                                                                       |Star                           |17 29 50.3519841720 +20 46 34.864465800|043.7270405488110 +26.8588688728886|  -6.321 -3.754    |10.74    |~               |    ~     ~    
2573|GSC 01550-00270                                                                                                                                                                                                                                      |Double or Multiple Star        |17 28 57.4988951496 +20 45 36.623058120|043.6282321191290 +27.0456948469985| 13.534 -18.695    |10.897   |~               |    ~     ~    
2574|TYC 1550-297-1                                                                                                                                                                                                                                       |Star                           |17 28 21.8148859152 +20 41 23.474428800|043.4990532105490 +27.1508536070881|   -2.031 8.389    |10.64    |~               |    ~     ~    
2575|TYC 1550-1317-1                                                                                                                                                                                                                                      |Star                           |17 28 28.8727618968 +22 12 10.605674772|045.1074878461150 +27.6519891351647|  -4.269 10.187    |9.36     |~               |    ~     ~    
2576|GSC 01550-01391                                                                                                                                                                                                                                      |Double or Multiple Star        |17 29 53.279376 +21 47 03.58332        |044.791263209 +27.201656149        |    -22.9 -10.4    |10.353   |~               |    ~     ~    
2577|TYC 1550-1636-1                                                                                                                                                                                                                                      |Star                           |17 29 57.7997173752 +21 36 30.868703280|044.6128620533175 +27.1241840057786|    6.187 0.221    |10.49    |~               |    ~     ~    
2578|TYC 1550-1703-1                                                                                                                                                                                                                                      |Star                           |17 29 07.7830948248 +21 50 12.506001360|044.7781056262322 +27.3849389521854|  -37.411 5.350    |10.64    |~               |    ~     ~    
2579|TYC 1550-2009-1                                                                                                                                                                                                                                      |Star                           |17 28 35.1737188824 +21 15 51.087839436|044.1242100193872 +27.3043292690511|-14.860 -22.310    |10.38    |~               |    ~     ~    
2580|TYC 1550-2355-1                                                                                                                                                                                                                                      |Star                           |17 28 03.2821461168 +21 59 43.612648548|044.8491682987478 +27.6736635607519|   -9.708 9.955    |10.67    |~               |    ~     ~    
2581|NAME Sarin                         * del Her                                                                                                                                                                                                         |Spectroscopic Binary           |17 15 01.91058 +24 50 21.1451          |046.82408496 +31.42328172          | -21.18 -156.48    |3.13     |A1IVn           |    ~     ~    
2582|TYC 2065-1223-1                                                                                                                                                                                                                                      |Star                           |17 15 15.9911926200 +24 50 17.551546656|046.8420673544451 +31.3722905031038|  1.502 -17.961    |10.36    |~               |    ~     ~    
2583|BD+24 3156                                                                                                                                                                                                                                           |Star                           |17 15 24.7858730424 +24 43 21.189556056|046.7251452366804 +31.3051308510049|   -9.040 2.234    |9.88     |F2              |    ~     ~    
2584|HD 156284                                                                                                                                                                                                                                            |Star                           |17 15 41.4703516656 +23 44 33.931735044|045.6610025538968 +30.9388745504131| -37.546 20.117    |5.975    |K2III           |    ~     ~    
2585|BD+23 3071                                                                                                                                                                                                                                           |Red Giant Branch star          |17 16 07.6012615296 +23 15 37.083904704|045.1658557743343 +30.6900762873868|   3.910 13.406    |9.44     |K0              |    ~     ~    
2586|BD+23 3072                                                                                                                                                                                                                                           |Star                           |17 16 51.0535139448 +23 19 59.428010712|045.3082571670490 +30.5561122413235|-12.932 -29.259    |10.08    |G0              |    ~     ~    
2587|HD 156376                                                                                                                                                                                                                                            |Star                           |17 16 17.6815009872 +22 47 24.158384448|044.6636272860565 +30.5010115828018|   2.553 41.169    |8.31     |G5              |    ~     ~    
2588|BD+22 3111                                                                                                                                                                                                                                           |Star                           |17 17 05.1450825792 +22 20 33.333684576|044.2436084111959 +30.1813781702706|    2.618 5.519    |9.54     |K0              |    ~     ~    
2589|BD+25 3263                                                                                                                                                                                                                                           |Star                           |17 26 09.7586218776 +25 00 13.435717608|047.9140601665365 +29.0761397278284|   -5.756 5.192    |9.48     |A7              |    ~     ~    
2590|BD+25 3235                                                                                                                                                                                                                                           |Star                           |17 18 02.1060726288 +24 56 09.272660928|047.1759049682675 +30.8048075885713| -18.128 -9.982    |10.77    |~               |    ~     ~    
2591|TYC 2078-1764-1                                                                                                                                                                                                                                      |Star                           |17 26 11.3573146152 +24 59 13.599040560|047.8982062241279 +29.0651529445920| -12.259 -3.244    |10.86    |G5              |    ~     ~    
2592|BD+24 3159                                                                                                                                                                                                                                           |Star                           |17 17 15.5706946680 +24 37 03.103875480|046.7598564968230 +30.8737350684634|  -6.305 -5.754    |9.27     |K0              |    ~     ~    
2593|BD+24 3163                                                                                                                                                                                                                                           |Star                           |17 19 23.3674991088 +24 15 29.538377280|046.5398251724771 +30.3008060936344|-13.804 -18.115    |10.29    |F0              |    ~     ~    
2594|BD+24 3164                                                                                                                                                                                                                                           |Star                           |17 19 47.6435848824 +24 48 40.431458196|047.1817483488904 +30.3868613601914|   -4.946 2.141    |9.10     |F8              |    ~     ~    
2595|* 70 Her                                                                                                                                                                                                                                             |Star                           |17 20 54.2059011504 +24 29 57.968807964|046.9304650727155 +30.0498136111564| -19.355 -1.631    |5.12     |A2V             |    ~     ~    
2596|BD+24 3168                                                                                                                                                                                                                                           |Star                           |17 21 07.7743085016 +24 32 02.479885764|046.9871069047691 +30.0119012739495|   11.333 1.594    |9.29     |F0              |    ~     ~    
2597|BD+24 3169                                                                                                                                                                                                                                           |Star                           |17 21 07.4981940240 +24 46 02.070719220|047.2425207502916 +30.0861558258125|   3.230 -1.027    |9.75     |K0              |    ~     ~    
2598|BD+24 3170                                                                                                                                                                                                                                           |Star                           |17 21 37.8902717808 +24 50 30.348670920|047.3658462897248 +30.0003055882514|  14.995 -4.722    |9.72     |G5              |    ~     ~    
2599|BD+24 3171                                                                                                                                                                                                                                           |Star                           |17 22 35.0882082384 +24 05 09.622929732|046.6191539649872 +29.5551087786740|  -1.791 -6.076    |9.46     |F5              |    ~     ~    
2600|BD+24 3175                                                                                                                                                                                                                                           |Star                           |17 23 29.3931140160 +24 25 02.437058388|047.0556888088423 +29.4655567539017|-10.551 -29.577    |9.92     |F8              |    ~     ~    
2601|BD+24 3176                                                                                                                                                                                                                                           |Star                           |17 23 32.4149976120 +23 59 42.283475952|046.6008413856470 +29.3193134127291|    1.103 4.146    |10.88    |M0              |    ~     ~    
2602|BD+24 3177                                                                                                                                                                                                                                           |Star                           |17 23 37.6358317584 +24 31 13.176315804|047.1792500005459 +29.4687013606368| 13.096 -11.807    |9.87     |K2              |    ~     ~    
2603|BD+24 3180                                                                                                                                                                                                                                           |Star                           |17 25 54.6081617928 +24 15 22.095082728|047.0832549632248 +28.8916795861781|  2.974 -12.604    |9.49     |A7              |    ~     ~    
2604|HD 158085                                                                                                                                                                                                                                            |Pulsating Variable             |17 26 13.7805540072 +24 08 04.655923368|046.9788802568427 +28.7834443537321| -13.825 -1.666    |8.30     |A2              |    ~     ~    
2605|V* V350 Her                                                                                                                                                                                                                                          |Long-Period Variable           |17 21 41.6328906000 +24 46 03.781129368|047.2897839362059 +29.9636642992109|    2.579 4.982    |10.29    |M5              |    ~     ~    
2606|BD+24 3172                                                                                                                                                                                                                                           |Star                           |17 22 48.6758 +24 27 55.577            |047.0516226 +29.6272847            |      8.70 1.60    |9.98     |~               |    ~     ~    
2607|BD+24 3161                                                                                                                                                                                                                                           |High Proper Motion Star        |17 17 54.2942207376 +23 53 12.668528760|046.0069483240043 +30.5045127955729|-38.141 -33.700    |9.89     |G5              |    ~     ~    
2608|HD 156593                                                                                                                                                                                                                                            |Star                           |17 17 35.8542888048 +23 05 26.252921616|045.1064324962914 +30.3153175121157|  -2.838 -5.263    |6.220    |K2              |    ~     ~    
2609|BD+23 3076                                                                                                                                                                                                                                           |High Proper Motion Star        |17 18 09.0266211960 +23 00 31.712454396|045.0648124754805 +30.1684270784251|  1.782 126.585    |9.38     |G5              |    ~     ~    
2610|HD 156730                                                                                                                                                                                                                                            |Star                           |17 18 21.1589878968 +23 25 55.663468140|045.5456407580877 +30.2617788279012| -6.514 -41.424    |7.80     |F5              |    ~     ~    
2611|BD+23 3080                                                                                                                                                                                                                                           |Star                           |17 18 44.0171122848 +23 19 25.316107104|045.4596019305919 +30.1440051526005|    3.147 8.044    |9.88     |F5              |    ~     ~    
2612|BD+23 3082                                                                                                                                                                                                                                           |Star                           |17 18 59.4119935296 +23 04 35.811615504|045.2117293065459 +30.0079283939687| -0.803 -16.541    |9.57     |A3              |    ~     ~    
2613|HD 157359                                                                                                                                                                                                                                            |Star                           |17 21 49.6391443392 +23 41 10.718700504|046.1199573414018 +29.5902912107404|   -3.567 0.147    |7.41     |A0              |    ~     ~    
2614|HD 157392                                                                                                                                                                                                                                            |Double or Multiple Star        |17 22 04.5409999 +23 09 40.887663      |045.5712021202 +29.3653260227      |    -9.01 53.37    |8.30     |F5              |0.0033  0.0    
2615|BD+23 3093                                                                                                                                                                                                                                           |S Star                         |17 22 07.1003530080 +23 49 03.314841996|046.2875511105363 +29.5696797811755|   1.758 -0.815    |9.75     |S3.5/2.5        |    ~     ~    
2616|BD+23 3094                                                                                                                                                                                                                                           |Spectroscopic Binary           |17 22 37.9532563056 +22 52 41.079636624|045.3131167346493 +29.1509242179695|   1.623 19.744    |9.35     |F2              |    ~     ~    
2617|BD+23 3098                                                                                                                                                                                                                                           |High Proper Motion Star        |17 23 47.0333870232 +23 16 33.470681736|045.8429596669681 +29.0323302501947| 71.432 -13.173    |9.50     |G0              |    ~     ~    
2618|BD+23 3099                                                                                                                                                                                                                                           |Horizontal Branch Star         |17 23 57.0367895400 +23 31 24.522171132|046.1247975049241 +29.0773686904498| -2.193 -11.917    |9.51     |K0              |    ~     ~    
2619|* 73 Her                                                                                                                                                                                                                                             |High Proper Motion Star        |17 24 06.5870998728 +22 57 37.016126892|045.5307797251438 +28.8572870453662|-43.501 -38.046    |5.720    |A7V             |    ~     ~    
