C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:15:02

Vmag< 11&dec >=0&rah >=17.25&rah< 17.5
--------------------------------------

Number of objects : 4313

 #  |                                                                                                                     identifier                                                                                                                      |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type   |   ang. size   
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|----------------|---------------
90  |TYC 4569-1585-1                                                                                                                                                                                                                                      |Star                           |17 23 53.5836968328 +76 30 16.570738476|108.2373365917740 +31.3869003222066|  -3.247 -2.645    |10.86    |~               |    ~     ~    
91  |TYC 4569-1635-1                                                                                                                                                                                                                                      |High Proper Motion Star        |17 20 39.9422365632 +76 31 16.970374128|108.3137393921497 +31.5642271345784| -26.876 71.386    |10.54    |~               |    ~     ~    
92  |TYC 4572-347-1                                                                                                                                                                                                                                       |Star                           |17 15 09.7322098056 +78 12 43.136181828|110.3135222256223 +31.3670388837305|   6.289 13.465    |10.93    |~               |    ~     ~    
93  |TYC 4572-927-1                                                                                                                                                                                                                                       |Spectroscopic Binary           |17 15 14.5036027776 +77 54 55.096909596|109.9810429949353 +31.4537385477240|   1.135 -9.649    |10.87    |~               |    ~     ~    
94  |TYC 4572-1194-1                                                                                                                                                                                                                                      |Star                           |17 18 29.5618256472 +77 07 20.980628040|109.0318308240158 +31.5181658702926|  7.371 -13.995    |10.42    |~               |    ~     ~    
95  |TYC 4572-1232-1                                                                                                                                                                                                                                      |Star                           |17 15 44.9965240128 +77 17 21.752911824|109.2708308740488 +31.6153119640497|  13.345 10.432    |10.72    |~               |    ~     ~    
96  |TYC 4573-119-1                                                                                                                                                                                                                                       |Star                           |17 24 41.1968500656 +78 13 12.067550220|110.1595120720518 +30.8989394521218|  -9.672 24.505    |10.04    |~               |    ~     ~    
97  |TYC 4573-133-1                                                                                                                                                                                                                                       |Star                           |17 22 02.4221585328 +77 58 42.896281620|109.9315714394025 +31.0957248390400| -14.462 42.789    |10.80    |~               |    ~     ~    
98  |TYC 4573-298-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 29 07.7853812280 +78 08 25.738212588|110.0019823966183 +30.6994841479422|   8.563 89.098    |9.29     |~               |    ~     ~    
99  |TYC 4573-415-1                                                                                                                                                                                                                                       |Star                           |17 21 15.2581324080 +77 43 26.217609384|109.6589403491734 +31.2057698431195|   -4.714 1.508    |9.85     |~               |    ~     ~    
100 |TYC 4573-532-1                                                                                                                                                                                                                                       |Star                           |17 24 47.8269235176 +77 41 07.611647424|109.5564057800717 +31.0344496788882|   1.670 -0.500    |10.94    |~               |    ~     ~    
101 |TYC 4573-661-1                                                                                                                                                                                                                                       |High Proper Motion Star        |17 22 04.2515934024 +78 11 41.787630312|110.1737909933151 +31.0343631415763| -12.855 60.604    |10.62    |~               |    ~     ~    
102 |TYC 4573-703-1                                                                                                                                                                                                                                       |Star                           |17 20 46.1829382104 +78 31 18.506475012|110.5613231901679 +31.0051799377166|   -3.968 7.405    |9.91     |~               |    ~     ~    
103 |TYC 4573-1359-1                                                                                                                                                                                                                                      |Star                           |17 25 27.3084822600 +77 24 13.744231236|109.2281189507390 +31.0729102677521|   0.789 47.987    |9.61     |~               |    ~     ~    
104 |BD+81 584                                                                                                                                                                                                                                            |Star                           |17 19 18.1377822744 +81 06 11.851541316|113.4450161884471 +30.2884062616790| -11.198 37.913    |9.57     |F0              |    ~     ~    
105 |BD+81 585                                                                                                                                                                                                                                            |Star                           |17 18 59.0800374000 +81 22 43.134727044|113.7516180883342 +30.2121150166877|   0.578 26.195    |9.24     |F8              |    ~     ~    
106 |BD+81 586                                                                                                                                                                                                                                            |Star                           |17 19 52.9755963264 +81 04 39.975260412|113.4087598645619 +30.2751227291376| -16.083 15.993    |9.33     |K0              |    ~     ~    
