C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
4090 |TYC 5424-1082-1                                                                                                                             |Star                                  |07 59 02.0129213208 -14 59 53.951536716|234.1249045813216 +07.5786882410095|  -9.395 -8.135   |10.650   |~              |    ~     ~    
4091 |TYC 5424-1176-1                                                                                                                             |Star                                  |07 56 04.1872059456 -14 57 08.480458620|233.7170006856890 +06.9864576370336|  -13.872 4.282   |9.82     |~              |    ~     ~    
4092 |TYC 5982-50-1                                                                                                                               |Star                                  |07 53 50.6547206232 -16 43 32.867670180|234.9800485038157 +05.6242541832154|   -4.711 2.333   |10.58    |~              |    ~     ~    
4093 |TYC 5982-105-1                                                                                                                              |Star                                  |07 55 25.3082239296 -16 20 38.180370444|234.8429369169709 +06.1440207949333| -10.726 11.119   |10.39    |~              |    ~     ~    
4094 |GSC 05982-00189                                                                                                                             |Double or Multiple Star               |07 54 16.022976 -16 21 56.71404        |234.720101066 +05.894448961        |       -4.3 4.1   |10.636   |~              |    ~     ~    
4095 |TYC 5982-195-1                                                                                                                              |Star                                  |07 54 09.3391843824 -16 06 25.333613892|234.4823702377426 +06.0028020881823|   -3.420 3.627   |10.85    |~              |    ~     ~    
4096 |TYC 5982-205-1                                                                                                                              |Star                                  |07 53 14.3549505192 -15 05 07.800053352|233.4839517097200 +06.3297494094728| -37.476 17.295   |10.74    |~              |    ~     ~    
4097 |TYC 5982-299-1                                                                                                                              |Star                                  |07 55 16.7782718400 -16 42 31.775701824|235.1411653692343 +05.9287363616259|  -30.761 5.597   |9.69     |~              |    ~     ~    
4098 |TYC 5982-357-1                                                                                                                              |Star                                  |07 53 53.9345993112 -16 17 41.424986976|234.6136012699022 +05.8543726928309|-20.397 -30.639   |10.50    |~              |    ~     ~    
4099 |TYC 5982-423-1                                                                                                                              |Star                                  |07 54 58.6509208032 -16 00 02.456472564|234.4911247795776 +06.2269073673645|  -11.390 5.254   |10.39    |~              |    ~     ~    
4100 |TYC 5982-427-1                                                                                                                              |Star                                  |07 54 38.9139867120 -15 00 16.743334680|233.5869807801912 +06.6641578310220|   -4.297 1.085   |10.604   |~              |    ~     ~    
4101 |TYC 5982-512-1                                                                                                                              |Star                                  |07 53 15.8967687048 -15 41 18.751216956|234.0104643767966 +06.0302569269302|   -1.607 2.785   |10.21    |~              |    ~     ~    
4102 |TYC 5982-578-1                                                                                                                              |Star                                  |07 53 00.0972581016 -16 08 07.672745796|234.3657671809724 +05.7494770268142|  -0.174 -2.782   |10.53    |~              |    ~     ~    
4103 |TYC 5982-622-1                                                                                                                              |Star                                  |07 54 18.2947214280 -16 16 48.859758300|234.6506895611638 +05.9457192865744|  -20.005 2.025   |10.31    |~              |    ~     ~    
4104 |TYC 5982-636-1                                                                                                                              |Star                                  |07 52 43.3230562752 -15 40 45.845084136|233.9361070752623 +05.9221401155736| -7.358 -11.112   |10.55    |~              |    ~     ~    
4105 |TYC 5982-670-1                                                                                                                              |Star                                  |07 53 20.9905297008 -15 51 53.965691352|234.1738765308965 +05.9585706818994|   -6.317 3.031   |10.8     |~              |    ~     ~    
4106 |TYC 5982-681-1                                                                                                                              |Star                                  |07 52 44.2007700432 -16 26 09.681546408|234.5938868932753 +05.5424930779987|   -1.330 0.440   |10.70    |~              |    ~     ~    
4107 |TYC 5982-697-1                                                                                                                              |Star                                  |07 54 19.6562068176 -16 31 02.581096584|234.8587928796762 +05.8298917579598|   0.213 -7.980   |10.26    |~              |    ~     ~    
4108 |TYC 5982-737-1                                                                                                                              |Star                                  |07 53 39.7170 -16 28 21.360            |234.7385610 +05.7151880            |   0.439 -0.809   |10.49    |~              |    ~     ~    
4109 |TYC 5982-845-1                                                                                                                              |Star                                  |07 55 12.9299579208 -16 30 48.223067004|234.9642281570440 +06.0151168973792|  -10.305 4.007   |10.01    |~              |    ~     ~    
4110 |TYC 5982-958-1                                                                                                                              |Star                                  |07 53 13.2349720008 -15 48 31.811034528|234.1093627736090 +05.9601820202908|  -9.363 -0.774   |10.75    |~              |    ~     ~    
4111 |TYC 5982-1081-1                                                                                                                             |Star                                  |07 52 52.4000613216 -15 23 31.892006868|233.7053774329748 +06.0986747372060|   -9.261 3.241   |10.82    |~              |    ~     ~    
4112 |TYC 5982-1130-1                                                                                                                             |Star                                  |07 52 49.7235904776 -15 26 44.147555628|233.7462700458777 +06.0624234842370|   -2.001 0.940   |10.65    |~              |    ~     ~    
4113 |TYC 5982-1256-1                                                                                                                             |Star                                  |07 52 56.0384345784 -15 17 59.938190844|233.6327593040394 +06.1578609196544|  -2.635 -0.399   |10.06    |~              |    ~     ~    
4114 |TYC 5982-1273-1                                                                                                                             |Star                                  |07 53 00.9763370664 -15 27 08.077095684|233.7749989556713 +06.0980667542843|   -2.483 1.125   |10.55    |~              |    ~     ~    
4115 |TYC 5982-1356-1                                                                                                                             |Star                                  |07 52 53.2924346664 -15 30 27.089906472|233.8072956930454 +06.0435082101249|  -11.160 3.121   |10.93    |~              |    ~     ~    
4116 |TYC 5982-1470-1                                                                                                                             |Star                                  |07 56 50.9767684776 -16 09 24.016319028|234.8568302818284 +06.5342973863010| -6.455 -20.133   |10.32    |~              |    ~     ~    
4117 |TYC 5982-1501-1                                                                                                                             |Star                                  |07 58 00.3710863056 -15 13 23.424406284|234.1918701570009 +07.2506125120606|  -3.928 -0.508   |10.21    |~              |    ~     ~    
4118 |TYC 5982-1543-1                                                                                                                             |Star                                  |07 56 19.7430783480 -15 09 08.399609172|233.9225356414552 +06.9386565285425|-36.255 -17.144   |10.65    |~              |    ~     ~    
4119 |TYC 5982-1569-1                                                                                                                             |Star                                  |07 59 16.1814323664 -15 28 53.475885480|234.5728432454090 +07.3799957365887|  -3.458 -2.615   |10.93    |~              |    ~     ~    
4120 |TYC 5982-1571-1                                                                                                                             |Star                                  |07 56 36.4233640176 -15 22 06.309271596|234.1442643588074 +06.8863358891622| -4.873 -14.152   |10.52    |~              |    ~     ~    
4121 |TYC 5982-1613-1                                                                                                                             |Star                                  |07 57 19.7801878344 -15 06 15.602626872|234.0048708899929 +07.1709110848991|   -3.722 2.720   |9.45     |~              |    ~     ~    
4122 |TYC 5982-1644-1                                                                                                                             |Star                                  |07 55 37.7416027296 -16 14 16.717923168|234.7767149237231 +06.2408000377461|   -6.047 3.363   |10.77    |~              |    ~     ~    
4123 |TYC 5982-1661-1                                                                                                                             |Star                                  |07 56 35.8823261808 -15 02 54.945078468|233.8658581134547 +07.0473393365565|  -1.085 -1.412   |10.047   |~              |    ~     ~    
4124 |TYC 5982-1836-1                                                                                                                             |Star                                  |07 55 34.8324650760 -15 51 44.127030600|234.4454235132591 +06.4221336527063|    1.815 5.840   |10.62    |~              |    ~     ~    
4125 |TYC 5982-1851-1                                                                                                                             |Star                                  |07 56 40.1321172180 -15 16 15.584553161|234.0674677862088 +06.9487963946847| 13.533 -12.166   |10.84    |~              |    ~     ~    
4126 |TYC 5982-1881-1                                                                                                                             |Star                                  |07 56 16.1641898232 -15 02 47.071197636|233.8232868536456 +06.9801485133596|-21.202 -37.994   |10.97    |~              |    ~     ~    
4127 |TYC 5982-1891-1                                                                                                                             |Star                                  |07 58 55.1253748656 -15 05 23.038797516|234.1898088488732 +07.5080873249067|   -9.717 1.730   |10.99    |~              |    ~     ~    
4128 |TYC 5982-1921-1                                                                                                                             |Star                                  |07 57 07.5805138392 -15 16 06.361998528|234.1219072590065 +07.0450240357083|   -4.431 3.370   |10.66    |~              |    ~     ~    
4129 |TYC 5982-1928-1                                                                                                                             |Horizontal Branch Star                |07 58 13.4995841208 -16 00 32.500475460|234.8993624247183 +06.8936999754635|   -2.164 1.543   |10.76    |~              |    ~     ~    
4130 |BD-16 2223                                                                                                                                  |Star                                  |07 58 46.5762262392 -16 41 44.647422864|235.5611742912262 +06.6546281155891|   -2.819 2.477   |10.33    |~              |    ~     ~    
4131 |TYC 5982-2082-1                                                                                                                             |Star                                  |07 56 20.4475230168 -16 25 18.244027848|235.0233529039670 +06.2939165030888|   -5.065 4.868   |10.23    |~              |    ~     ~    
4132 |TYC 5982-2121-1                                                                                                                             |Star                                  |07 56 39.2642695704 -15 24 57.735268416|234.1913909635004 +06.8718895810605|  -16.966 3.974   |10.81    |~              |    ~     ~    
4133 |TYC 5982-2129-1                                                                                                                             |Star                                  |07 56 51.4539154200 -15 37 37.636781772|234.3994024690500 +06.8063452944364| -12.291 -5.177   |10.83    |~              |    ~     ~    
4134 |TYC 5982-2164-1                                                                                                                             |Star                                  |07 57 47.7160496400 -15 45 53.234006940|234.6347389476969 +06.9300139170990|   -7.164 5.358   |10.72    |~              |    ~     ~    
4135 |TYC 5982-2172-1                                                                                                                             |Star                                  |07 57 47.3768003904 -15 51 50.420149740|234.7199066690451 +06.8780773543469|  -1.818 -1.394   |10.43    |~              |    ~     ~    
4136 |TYC 5982-2199-1                                                                                                                             |Star                                  |07 56 27.7038136560 -15 00 24.819218568|233.8128112128226 +07.0402296201159|  -2.648 -1.709   |10.48    |~              |    ~     ~    
4137 |GSC 05982-02216                                                                                                                             |Double or Multiple Star               |07 56 13.1518617624 -15 52 08.192049312|234.5299531747427 +06.5508892178472|  -5.980 -3.583   |10.539   |~              |    ~     ~    
4138 |TYC 5982-2249-1                                                                                                                             |Star                                  |07 57 39.8333437896 -15 16 45.222037392|234.1979326410700 +07.1510024927116|   -8.906 5.016   |10.00    |~              |    ~     ~    
4139 |TYC 5982-2261-1                                                                                                                             |Star                                  |07 59 05.5251069984 -15 31 10.627410144|234.5836921656909 +07.3237255574274|   -2.601 2.327   |10.680   |~              |    ~     ~    
4140 |TYC 5982-2269-1                                                                                                                             |Star                                  |07 57 26.3946362256 -15 39 01.430215200|234.4916618300137 +06.9150033931676|   -2.858 1.812   |10.92    |~              |    ~     ~    
4141 |TYC 5982-2278-1                                                                                                                             |Star                                  |07 57 47.8335650304 -15 58 30.614822580|234.8170364349339 +06.8227503318769|   -5.335 4.758   |10.83    |~              |    ~     ~    
4142 |TYC 5982-2292-1                                                                                                                             |Star                                  |07 58 52.2793458624 -16 20 04.254444276|235.2609627111466 +06.8598597169725|  -0.107 -0.706   |10.43    |~              |    ~     ~    
4143 |TYC 5982-2318-1                                                                                                                             |Star                                  |07 59 12.7309972008 -16 16 24.462258132|235.2505573218450 +06.9613985972245|   -4.204 1.001   |10.27    |~              |    ~     ~    
4144 |TYC 5982-2325-1                                                                                                                             |Star                                  |07 58 07.4960378856 -15 30 25.985015208|234.4526660366697 +07.1299813694339|  -0.356 -0.381   |10.82    |~              |    ~     ~    
4145 |TYC 5982-2331-1                                                                                                                             |Star                                  |07 58 25.8855631080 -15 05 41.019484704|234.1334446687930 +07.4044610153314|   -5.046 3.228   |10.83    |~              |    ~     ~    
4146 |TYC 5982-2482-1                                                                                                                             |Star                                  |07 55 43.1333013552 -16 36 50.688264888|235.1131720098216 +06.0675503774084|   -8.284 1.767   |10.540   |~              |    ~     ~    
4147 |TYC 5982-2490-1                                                                                                                             |Star                                  |07 58 45.4528152816 -16 07 02.214366132|235.0590799362397 +06.9479986411850|   -0.380 2.344   |10.17    |~              |    ~     ~    
4148 |TYC 5982-2567-1                                                                                                                             |Star                                  |07 59 31.7624570328 -15 46 46.512767712|234.8630998092957 +07.2806246387836|   -1.639 2.079   |10.67    |~              |    ~     ~    
4149 |TYC 5982-2651-1                                                                                                                             |Star                                  |07 58 06.9007847400 -16 13 52.026692088|235.0777760189605 +06.7571711077861|  -8.694 -8.009   |10.88    |~              |    ~     ~    
4150 |TYC 5982-2705-1                                                                                                                             |Star                                  |07 58 26.4884165808 -16 49 37.716002400|235.6331514091662 +06.5183254210194|  -1.250 -0.493   |10.90    |~              |    ~     ~    
4151 |TYC 5982-2737-1                                                                                                                             |Star                                  |07 56 07.8781197000 -16 10 52.772441808|234.7895387433546 +06.3734113145299|   -1.259 2.557   |10.74    |~              |    ~     ~    
4152 |TYC 5982-2802-1                                                                                                                             |Star                                  |07 55 37.5243144072 -16 37 56.198898444|235.1174210345694 +06.0390059387417|   -1.207 3.710   |10.99    |~              |    ~     ~    
4153 |TYC 5982-2825-1                                                                                                                             |High Proper Motion Star               |07 57 55.8227734584 -16 34 14.821583088|235.3484801394916 +06.5449551293631|-44.653 -34.490   |10.94    |~              |    ~     ~    
4154 |TYC 5982-2826-1                                                                                                                             |Star                                  |07 56 40.0418315304 -16 40 35.160505212|235.2838217422223 +06.2309908779131|  -31.626 0.103   |10.96    |~              |    ~     ~    
4155 |GSC 05982-02861                                                                                                                             |Double or Multiple Star               |07 58 35.1314178432 -15 42 05.676769224|234.6781422042973 +07.1257218384933|   -2.517 2.002   |10.623   |~              |    ~     ~    
4156 |TYC 5982-2891-1                                                                                                                             |Pulsating Variable                    |07 57 00.1508956104 -16 40 30.672846984|235.3240665432269 +06.3005861869045|   -3.629 1.210   |10.49    |~              |    ~     ~    
4157 |TYC 5982-2908-1                                                                                                                             |Star                                  |07 55 46.3477628400 -16 34 05.218973868|235.0800046988607 +06.1020425960087|  -1.298 -2.563   |10.68    |~              |    ~     ~    
4158 |TYC 5982-2972-1                                                                                                                             |Star                                  |07 57 01.0060391856 -15 53 06.198683892|234.6424336266072 +06.7075997778913|  -9.121 -0.687   |10.59    |~              |    ~     ~    
4159 |TYC 5986-8-1                                                                                                                                |Star                                  |07 53 51.1366362360 -17 16 22.426957812|235.4543258446173 +05.3477776742732| -15.999 -2.383   |10.70    |~              |    ~     ~    
4160 |TYC 5986-15-1                                                                                                                               |Star                                  |07 54 46.8239960496 -17 20 41.414303616|235.6298554015582 +05.5017670710788|   -4.873 1.926   |10.66    |~              |    ~     ~    
4161 |TYC 5986-48-1                                                                                                                               |Star                                  |07 54 10.9282333872 -17 17 54.127343940|235.5166006212323 +05.4025936220138|  -15.030 0.445   |10.98    |~              |    ~     ~    
4162 |TYC 5986-81-1                                                                                                                               |Star                                  |07 54 45.6169337184 -17 11 23.729124588|235.4935079474121 +05.5766239696430|   -5.708 2.969   |10.25    |~              |    ~     ~    
4163 |TYC 5986-203-1                                                                                                                              |Star                                  |07 52 56.0720862312 -17 25 39.045222444|235.4762794356105 +05.0805932624389|   -7.951 3.327   |10.37    |~              |    ~     ~    
4164 |TYC 5986-245-1                                                                                                                              |Star                                  |07 53 04.6761056952 -17 22 26.270820192|235.4474041149064 +05.1372549808594|  -6.534 -2.831   |9.99     |~              |    ~     ~    
4165 |TYC 5986-365-1                                                                                                                              |Pulsating Variable                    |07 52 45.2268910008 -17 10 21.608279472|235.2338223360511 +05.1727378200973|   -2.926 0.576   |10.69    |~              |    ~     ~    
4166 |TYC 5986-769-1                                                                                                                              |Star                                  |07 57 04.5010959552 -17 10 25.754998044|235.7637181907151 +06.0599962414661|   -1.741 2.196   |10.58    |~              |    ~     ~    
4167 |TYC 5986-855-1                                                                                                                              |Star                                  |07 55 56.6150395944 -17 10 26.296066992|235.6247280377555 +05.8277846140988|   -1.300 2.376   |10.63    |~              |    ~     ~    
4168 |TYC 5986-1081-1                                                                                                                             |Star                                  |07 55 17.4633289008 -17 23 18.923080524|235.7301339518687 +05.5842189752549|   -8.079 8.351   |10.83    |~              |    ~     ~    
4169 |TYC 5986-1937-1                                                                                                                             |Star                                  |07 57 12.9054569256 -17 06 44.577464040|235.7279308112305 +06.1202296364275|  -0.582 -1.305   |10.52    |~              |    ~     ~    
4170 |TYC 5986-2119-1                                                                                                                             |Star                                  |07 59 22.3906131840 -17 14 17.930831424|236.1033289512596 +06.4975064172075|  -15.391 0.898   |10.08    |~              |    ~     ~    
4171 |TYC 5986-2425-1                                                                                                                             |Star                                  |07 59 19.5216533232 -16 52 42.226649472|235.7869523969300 +06.6732729670944|   -4.941 2.639   |10.42    |~              |    ~     ~    
4172 |TYC 5986-2643-1                                                                                                                             |Pulsating Variable                    |07 57 49.7392042969 -17 01 27.618147393|235.7276553672427 +06.2913342036484|   -4.639 1.977   |10.49    |~              |    ~     ~    
4173 |TYC 5986-2713-1                                                                                                                             |Star                                  |07 55 47.4353689080 -16 59 08.195215416|235.4431893154731 +05.8926229778373|  -10.473 2.617   |10.21    |~              |    ~     ~    
4174 |TYC 5986-2723-1                                                                                                                             |Star                                  |07 55 37.1971565616 -16 56 36.988461276|235.3859379142482 +05.8789928793028|-16.188 -32.663   |10.47    |~              |    ~     ~    
4175 |HD 64589                                                                                                                                    |Eclipsing Binary                      |07 53 58.7623977120 -17 53 09.125205792|235.9995642913354 +05.0617462920603|   -1.880 0.197   |9.99     |B9.5V          |    ~     ~    
4176 |HD 64637                                                                                                                                    |Star                                  |07 54 09.9069209232 -18 07 47.788400820|236.2329402344042 +04.9752921576489|  -1.099 -0.316   |8.07     |K0III          |    ~     ~    
4177 |HD 64668                                                                                                                                    |Star                                  |07 54 23.4564746880 -17 48 04.978243512|235.9767253519811 +05.1890767236614|   -8.046 3.199   |9.06     |A0V            |    ~     ~    
4178 |HD 64378                                                                                                                                    |Star                                  |07 52 58.5251227824 -18 13 32.056097592|236.1710704912278 +04.6834083545307|   -2.049 0.054   |9.56     |B9III          |    ~     ~    
4179 |BD-17 2217                                                                                                                                  |Star                                  |07 54 02.4296842584 -18 19 50.091779244|236.3909916148627 +04.8474842397381|  -10.932 4.022   |9.92     |~              |    ~     ~    
4180 |HD 64611                                                                                                                                    |Star                                  |07 54 07.1812853616 -18 19 51.723058404|236.4010064341703 +04.8634162980394|  -5.649 -0.256   |6.88     |M1III          |    ~     ~    
4181 |HD 64735                                                                                                                                    |Star                                  |07 54 38.5368732336 -18 15 11.662104024|236.3974406115803 +05.0097956362135|  -6.053 14.313   |8.73     |A1mA7-A8       |    ~     ~    
4182 |HD 64541                                                                                                                                    |Star                                  |07 53 42.5151470928 -18 55 14.754835992|236.8599876931016 +04.4787060335578| -24.249 -5.358   |9.20     |F6V            |    ~     ~    
4183 |HD 64711                                                                                                                                    |Star                                  |07 54 31.5089770248 -19 08 37.335875712|237.1511362960166 +04.5306591011622|  -2.752 -8.341   |9.37     |B9.5V          |    ~     ~    
4184 |HD 64336                                                                                                                                    |Star                                  |07 52 38.8318609824 -19 47 14.322661440|237.4792836277617 +03.8213910966045|   -9.556 3.873   |8.26     |B3V            |    ~     ~    
4185 |HD 64335                                                                                                                                    |Star                                  |07 52 41.2620640296 -19 39 16.407518832|237.3696761512219 +03.8972539015939|  -9.847 -6.948   |8.58     |A3III          |    ~     ~    
4186 |HD 64396                                                                                                                                    |Star                                  |07 53 03.7752246528 -19 25 27.201336924|237.2162164038364 +04.0907316805314|  -16.589 8.824   |9.67     |A2(III)        |    ~     ~    
4187 |HD 64415                                                                                                                                    |Star                                  |07 53 06.2289685656 -19 38 09.894353028|237.4038231535517 +03.9909537015112|   -6.479 2.383   |9.56     |A(7)(III/IV)   |    ~     ~    
4188 |BD-19 2114                                                                                                                                  |Star                                  |07 53 09.7348685640 -19 35 22.274410632|237.3707187173209 +04.0265449433873|   -2.082 1.817   |9.63     |K              |    ~     ~    
4189 |HD 64475                                                                                                                                    |Star                                  |07 53 22.4367023952 -19 22 51.105302544|237.2163381544434 +04.1759306451069|   -6.799 2.858   |9.36     |A0V            |    ~     ~    
4190 |HD 64542                                                                                                                                    |Star                                  |07 53 40.6616434104 -19 31 53.431246704|237.3828658825454 +04.1605694119771|   -5.493 1.244   |8.98     |B9IV           |    ~     ~    
4191 |HD 64638                                                                                                                                    |Star                                  |07 54 05.5035681696 -19 35 42.989435520|237.4878106075664 +04.2117947487099|   -7.633 0.737   |9.47     |F3IV/V         |    ~     ~    
4192 |HD 64655                                                                                                                                    |Star                                  |07 54 14.9415509784 -19 40 49.601849520|237.5801867528626 +04.2000354420516|  -11.491 4.880   |8.87     |B8/9IV         |    ~     ~    
4193 |BD-19 2122                                                                                                                                  |Star                                  |07 53 32.2060622832 -19 45 38.408962644|237.5633659966639 +04.0149646007265|   -0.673 0.943   |10.23    |~              |    ~     ~    
4194 |BD-17 2202                                                                                                                                  |Star                                  |07 52 42.9651423816 -17 43 45.493361292|235.7107259578758 +04.8825081969216|   -2.911 2.312   |9.58     |~              |    ~     ~    
4195 |TYC 5990-1520-1                                                                                                                             |Star                                  |07 52 48.3824484240 -19 24 57.057412176|237.1780815216978 +04.0429623526906|  -7.007 -1.047   |10.52    |~              |    ~     ~    
4196 |BD-19 2110                                                                                                                                  |Spectroscopic Binary                  |07 53 03.5804095512 -19 29 24.055310688|237.2725622159283 +04.0565199034335|  -16.312 5.580   |9.88     |~              |    ~     ~    
4197 |BD-19 2117                                                                                                                                  |Star                                  |07 53 14.5283420712 -19 33 33.643608624|237.3543300300293 +04.0581270008758|   -1.755 4.766   |9.97     |~              |    ~     ~    
4198 |BD-17 2211                                                                                                                                  |Star                                  |07 53 19.2739725072 -18 10 48.846177048|236.1738431579620 +04.7771771237439|   -2.035 4.878   |10.05    |~              |    ~     ~    
4199 |BD-18 2071                                                                                                                                  |Star                                  |07 53 43.1168855328 -18 35 38.030341308|236.5791829613989 +04.6475139363653|   4.064 -4.221   |10.49    |~              |    ~     ~    
4200 |BD-19 2124                                                                                                                                  |Star                                  |07 53 44.6063183784 -19 58 53.453609544|237.7785359253664 +03.9438390525716|   -1.248 4.480   |9.88     |~              |    ~     ~    
4201 |BD-19 2132                                                                                                                                  |Star                                  |07 54 25.4261020896 -19 25 39.704215908|237.3835765863337 +04.3647682157069|  -2.762 -4.488   |9.83     |~              |    ~     ~    
4202 |BD-19 2107                                                                                                                                  |Star                                  |07 52 38.0758300008 -20 03 14.649305472|237.7077511209749 +03.6828470860019|  -1.747 -1.832   |9.39     |~              |    ~     ~    
4203 |HD 64771                                                                                                                                    |Star                                  |07 54 55.4197142088 -18 04 11.881437312|236.2735675668305 +05.1608998481524|   4.764 -1.782   |8.99     |A1V            |    ~     ~    
4204 |HD 65099                                                                                                                                    |Star                                  |07 56 28.2787119336 -17 40 12.074518128|236.1177703892653 +05.6819617609529|  -3.430 -8.191   |9.42     |A7IV           |    ~     ~    
4205 |HD 65281                                                                                                                                    |Star                                  |07 57 25.8508369920 -17 57 39.804441084|236.4866026241069 +05.7285097759186|  -14.439 6.079   |8.77     |A8IV           |    ~     ~    
4206 |BD-17 2249                                                                                                                                  |Star                                  |07 57 42.1477260384 -17 59 35.545785288|236.5477080548367 +05.7673545492543|    1.551 0.477   |9.12     |K7             |    ~     ~    
4207 |HD 65435                                                                                                                                    |Star                                  |07 58 08.1966472656 -17 45 10.823564340|236.3941554930653 +05.9795703546623|  -2.039 -0.381   |8.78     |F5IV           |    ~     ~    
4208 |HD 64855                                                                                                                                    |Star                                  |07 55 16.3423891008 -18 08 29.356164852|236.3778264915785 +05.1955381596791|   -4.855 2.075   |9.75     |B9/A0V         |    ~     ~    
4209 |HD 65202                                                                                                                                    |Star                                  |07 57 02.3715686520 -18 12 28.420509780|236.6512906799292 +05.5218315973548|  -4.528 -2.398   |10.08    |A1V            |    ~     ~    
4210 |HD 65505                                                                                                                                    |Star                                  |07 58 26.7925315224 -18 11 19.182993072|236.8076596811430 +05.8181761325896| -28.126 -7.910   |8.42     |F2V            |    ~     ~    
4211 |HD 64894                                                                                                                                    |Star                                  |07 55 29.1828861696 -19 02 50.646371640|237.1848795826843 +04.7750165938789|  -5.611 -4.921   |6.84     |A3III/IV       |    ~     ~    
4212 |HD 64948                                                                                                                                    |Star                                  |07 55 36.6392474640 -19 05 46.994362044|237.2421902648963 +04.7750898851739|    7.242 8.546   |8.15     |K1/2IIICNII    |    ~     ~    
4213 |HD 65100                                                                                                                                    |Star                                  |07 56 25.2995990232 -19 01 02.525763612|237.2729401607712 +04.9801046090315|   -3.491 2.385   |9.60     |A0V            |    ~     ~    
4214 |HD 65142                                                                                                                                    |Star                                  |07 56 41.2325705064 -18 54 04.579312320|237.2054030620004 +05.0936576642105|  -0.467 -1.658   |8.53     |ApEuCrSr       |    ~     ~    
4215 |HD 65178                                                                                                                                    |Star                                  |07 56 50.9982210816 -18 43 40.495943316|237.0760327470708 +05.2158639957559|   1.351 -5.539   |9.82     |A0V            |    ~     ~    
4216 |HD 65351                                                                                                                                    |Star                                  |07 57 38.3493640896 -19 08 28.013054676|237.5281727638669 +05.1629251829093|   -4.015 1.210   |7.74     |G8III          |    ~     ~    
4217 |HD 65436                                                                                                                                    |Spectroscopic Binary                  |07 58 00.5908470384 -19 16 11.669235780|237.6842911751727 +05.1713726172980|  -7.466 -8.277   |8.11     |G8/K0III/IV    |    ~     ~    
4218 |HD 65531                                                                                                                                    |Star                                  |07 58 24.6336975888 -19 05 48.576888060|237.5846013839029 +05.3418267603716|   -8.064 2.600   |9.76     |A0/1IV/V       |    ~     ~    
4219 |HD 65564                                                                                                                                    |Star                                  |07 58 38.0733266616 -18 39 50.242618872|237.2398614464447 +05.6109391315636|   -9.530 5.443   |9.01     |B9IV/V         |    ~     ~    
4220 |HD 65648                                                                                                                                    |Star                                  |07 59 05.9038108032 -19 20 04.871363892|237.8734251586853 +05.3576317374122|  24.696 -9.974   |8.08     |K3III          |    ~     ~    
4221 |HD 65765                                                                                                                                    |Star                                  |07 59 33.6224527920 -18 43 01.873885548|237.3996528782671 +05.7710053748567|   9.361 17.548   |9.50     |F3V            |    ~     ~    
4222 |HD 65282                                                                                                                                    |Star                                  |07 57 21.3050177784 -19 49 17.356584864|238.0784001004434 +04.7543870766376|  5.416 -17.753   |8.93     |F5V            |    ~     ~    
4223 |HD 65482                                                                                                                                    |Star                                  |07 58 14.1224925456 -19 40 15.182415912|238.0564617656267 +05.0095486926044|  -0.420 -5.593   |8.77     |G8IV           |    ~     ~    
4224 |HD 65506                                                                                                                                    |Star                                  |07 58 18.9689487192 -19 30 38.267778168|237.9286710935134 +05.1087446676980|  -5.346 -5.298   |7.96     |K0III          |    ~     ~    
4225 |HD 65565                                                                                                                                    |Star                                  |07 58 35.0950887312 -19 26 17.965222260|237.8994661559385 +05.2003696891585|   -6.282 5.602   |8.66     |K0III          |    ~     ~    
4226 |BD-19 2173                                                                                                                                  |Star                                  |07 59 15.9250174824 -19 27 49.670406576|238.0048178591442 +05.3243708206987| -18.076 27.724   |9.38     |G0             |    ~     ~    
4227 |HD 65718                                                                                                                                    |Spectroscopic Binary                  |07 59 21.2164399680 -19 27 58.386487464|238.0177264886218 +05.3408870929719|   -4.998 1.438   |7.50     |B9.5V          |    ~     ~    
4228 |BD-18 2078                                                                                                                                  |Star                                  |07 55 00.8424308400 -18 56 44.613723264|237.0398485508463 +04.7312557642760|   -5.317 1.974   |9.35     |M3             |    ~     ~    
