C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
49   |HD 63692                                                                                                                                    |Star                                  |07 50 06.8685698520 -01 40 55.598111076|221.2597034733475 +12.2334696714338| 13.387 -37.261   |7.00     |K0III          |    ~     ~    
50   |HD 63714                                                                                                                                    |Star                                  |07 50 13.9929983280 -01 27 32.120150832|221.0727834788808 +12.3651508498775| -11.181 -0.207   |7.95     |A0V            |    ~     ~    
51   |BD-01 1852                                                                                                                                  |Star                                  |07 50 28.8445238136 -01 58 10.896129588|221.5631893374419 +12.1778545999623|  -1.094 -6.717   |9.44     |G5             |    ~     ~    
52   |HD 63778                                                                                                                                    |Star                                  |07 50 34.2534682824 -01 36 35.216757684|221.2497213770339 +12.3681736549514|  -4.130 -4.806   |7.96     |B9IV           |    ~     ~    
53   |BD-01 1854a                                                                                                                                 |Star                                  |07 50 48.4283667816 -01 30 04.136366664|221.1803177493176 +12.4715802955394|   -1.759 0.855   |10.98    |A2             |    ~     ~    
54   |BD-01 1854                                                                                                                                  |Star                                  |07 50 35.7750092136 -01 38 38.947408980|221.2837879189995 +12.3574918907049|  -4.267 -3.242   |9.35     |A1V            |    ~     ~    
55   |HD 63839                                                                                                                                    |Star                                  |07 50 50.5329499176 -01 21 54.537458076|221.0618082045141 +12.5436009437274|  -6.146 -2.911   |8.24     |K5/M0III       |    ~     ~    
56   |BD-01 1857                                                                                                                                  |Star                                  |07 50 59.1887187768 -01 29 43.795004676|221.1969322316415 +12.5137417377739|  9.243 -30.079   |10.68    |F5V            |    ~     ~    
57   |BD-01 1858                                                                                                                                  |Double or Multiple Star               |07 51 00.0207885360 -01 49 47.139237048|221.5000961185801 +12.3585084815151|-31.045 -38.006   |9.45     |G5III          |0.0083  0.0    
58   |BD-01 1859                                                                                                                                  |Star                                  |07 51 13.0374472104 -01 32 58.459366392|221.2736902795375 +12.5389723186607|  0.074 -13.852   |10.7     |F5V            |    ~     ~    
59   |HD 63937                                                                                                                                    |Star                                  |07 51 20.4176234832 -02 03 46.279493568|221.7513891880254 +12.3226795547473| -17.041 -2.219   |8.17     |K0III          |    ~     ~    
60   |BD-01 1863                                                                                                                                  |Star                                  |07 51 47.1444248832 -01 36 46.977013152|221.3999041259033 +12.6340324131922|  -1.782 -1.847   |10.77    |G5III          |    ~     ~    
61   |BD+00 2103                                                                                                                                  |Star                                  |07 49 45.6063798768 -00 13 33.548727036|219.9010000998873 +12.8409913435568|   -2.139 4.267   |9.71     |K5IV           |    ~     ~    
62   |MSB 31                                                                                                                                      |Carbon Star                           |07 50 04.0498075704 -00 52 55.285179384|220.5317542639245 +12.6007166965318|   -4.674 0.762   |10.05    |C5,5J          |    ~     ~    
63   |BD-01 1831                                                                                                                                  |Star                                  |07 45 39.7198922952 -02 12 06.617427300|221.1903241356271 +11.0074589214469| -12.680 -5.688   |9.37     |M0             |    ~     ~    
64   |BD-01 1838                                                                                                                                  |Star                                  |07 47 34.2350810928 -02 15 00.727519968|221.4636218831263 +11.4046919138809| -10.240 -5.989   |9.79     |A5             |    ~     ~    
65   |HD 63651                                                                                                                                    |Double or Multiple Star               |07 49 58.137 -02 16 21.91              |221.773938 +11.921507              |      9.0 -17.0   |8.77     |F0V            |    ~     ~    
66   |BD-02 2270                                                                                                                                  |Star                                  |07 45 16.8678260448 -02 21 05.260455792|221.2788513438696 +10.8529153359397| -0.052 -22.201   |10.15    |K0             |    ~     ~    
67   |BD-02 2282                                                                                                                                  |Star                                  |07 46 25.0684225608 -02 27 42.080264208|221.5145522065360 +11.0509310870621|  -1.825 -2.813   |9.41     |G5             |    ~     ~    
68   |IRAS 07435-0124                                                                                                                             |Star                                  |07 46 05.9263731744 -01 32 07.533597012|220.6436914466648 +11.4179563743550|   -3.278 1.867   |9.85     |~              |    ~     ~    
69   |TYC 4832-289-1                                                                                                                              |Star                                  |07 45 53.5772997096 -01 21 05.567122512|220.4534546175030 +11.4590764628155|  -0.743 -6.228   |10.87    |~              |    ~     ~    
70   |BD-00 1811                                                                                                                                  |Star                                  |07 45 29.3732936160 -00 34 04.723050648|219.6987023093834 +11.7375047628305|-44.669 -18.868   |9.53     |~              |    ~     ~    
71   |BD-00 1816                                                                                                                                  |Star                                  |07 46 05.2951927776 -00 30 47.237902668|219.7207078325833 +11.8954472730075|  -2.355 -4.282   |9.77     |~              |    ~     ~    
