C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
35  |HD 216363                                                                                                |Star                                  |22 52 50.0383688472 -41 00 13.195927980|355.5874216631700 -61.9906461434472|   11.501 6.501     |8.34     |F0IV/V         |    ~     ~    |    1|  184.751   pc  |  -0.8567     +0.8567    |paral   |2020yCat.1350....0G
36  |CD-41 15068                                                                                              |High Proper Motion Star               |22 53 25.6765401576 -41 17 34.132905888|354.9272641146181 -61.9930627963522|  2.444 -54.097     |10.95    |K0             |    ~     ~    |    1|  286.640   pc  |  -1.2735     +1.2735    |paral   |2020yCat.1350....0G
37  |HD 216568                                                                                                |High Proper Motion Star               |22 54 32.0070682128 -41 49 43.581908388|353.7040459201112 -61.9873682175245|   7.406 57.856     |8.00     |F3/5V          |    ~     ~    |    1|   66.000   pc  |  -0.3557     +0.3557    |ST-L    |2020AJ....160...83S
38  |HD 216302                                                                                                |Star                                  |22 52 32.4873434112 -42 47 17.771331372|352.1432613665634 -61.2757454776492| 19.387 -10.766     |8.45     |A3/4V          |    ~     ~    |    1|  298.989   pc  |  -2.4584     +2.4584    |paral   |2020yCat.1350....0G
39  |CD-43 15182                                                                                              |Star                                  |22 53 09.4544656632 -42 41 41.506425132|352.2285900267290 -61.4166265210632| 18.846 -10.266     |10.40    |~              |    ~     ~    |    1|  300.779   pc  |  -1.7370     +1.7370    |paral   |2020yCat.1350....0G
40  |CD-43 15184                                                                                              |Star                                  |22 53 27.0725328816 -42 43 49.182637944|352.1156677824446 -61.4520046194403|   26.871 4.057     |10.390   |G0             |    ~     ~    |    1|  188.919   pc  | -13.4400    +13.4400    |ST-L    |2020AJ....160...83S
41  |CSI-43-22514                                                                                             |Star                                  |22 54 12.0 -43 01 00                   |351.4515 -61.4616                  |            ~ ~     |9.5      |K3V            |    ~     ~    |    0|                |                         |        |                   
42  |HD 216530                                                                                                |Star                                  |22 54 17.3682404280 -43 00 37.249498152|351.4494889888196 -61.4790914574826|   1.995 27.384     |9.90     |K3V            |    ~     ~    |    1|   46.258   pc  |  -0.0317     +0.0317    |paral   |2020yCat.1350....0G
43  |HD 216642                                                                                                |Star                                  |22 55 09.8508706752 -42 53 29.984951004|351.5385148488298 -61.6737937354057|  -3.074 -1.430     |10.17    |G2/3V          |    ~     ~    |    1|  347.270   pc  |  -2.0743     +2.0743    |paral   |2020yCat.1350....0G
44  |HD 216654                                                                                                |Star                                  |22 55 19.3156978584 -43 26 38.939294148|350.4596846046829 -61.4681357688896|   35.351 2.166     |10.35    |F5V            |    ~     ~    |    1|  197.480   pc  |  -0.7995     +0.7995    |paral   |2020yCat.1350....0G
45  |CD-42 16123                                                                                              |Star                                  |22 54 38.9694809856 -41 44 30.628067100|353.8580695324805 -62.0402934285409|  4.499 -10.495     |10.00    |~              |    ~     ~    |    1|  581.024   pc  |  -5.1313     +5.1313    |paral   |2020yCat.1350....0G
46  |CD-42 16111                                                                                              |Star                                  |22 53 05.1907101120 -41 50 01.451186556|353.9092013721905 -61.7357498041692|   0.360 -8.157     |10.70    |~              |    ~     ~    |    1| 1010.101   pc  | -18.1614    +18.1614    |paral   |2020yCat.1350....0G
47  |CD-42 16113                                                                                              |Star                                  |22 53 10.4825523984 -42 14 59.278240932|353.0847871630975 -61.5933818167876| 17.654 -15.142     |9.99     |~              |    ~     ~    |    1|  827.198   pc  | -11.5639    +11.5639    |paral   |2020yCat.1350....0G
48  |HD 216742                                                                                                |High Proper Motion Star               |22 55 54.3776849712 -41 05 48.319053540|354.9572385648298 -62.4986397981603|  75.399 23.474     |6.73     |K1III          |    ~     ~    |    1|  126.589   pc  |  -0.4086     +0.4086    |paral   |2020yCat.1350....0G
49  |HD 216693                                                                                                |Star                                  |22 55 32.8544141664 -41 53 45.406753404|353.4173056930127 -62.1360828648718|-28.436 -10.379     |8.85     |K0III          |    ~     ~    |    1|  405.285   pc  |  -3.1044     +3.1044    |paral   |2020yCat.1350....0G
50  |HD 216782                                                                                                |Star                                  |22 56 23.7309708960 -42 09 46.756701612|352.7591538514020 -62.1762408760131|  -9.933 -2.572     |9.72     |K1III          |    ~     ~    |    1|  942.193   pc  | -54.4400    +54.4400    |ST-L    |2020AJ....160...83S
51  |CD-42 16146                                                                                              |Spectroscopic Binary                  |22 57 49.2272267208 -42 15 52.586956332|352.3307600820964 -62.3767975439559|  86.750 -5.312     |10.457   |G5             |    ~     ~    |    1|  129.710   pc  |  -1.1790     +1.1790    |ST-L    |2020AJ....160...83S
52  |HD 217025                                                                                                |High Proper Motion Star               |22 58 17.8443586632 -41 51 26.238510468|353.0606733335551 -62.6220544056510|200.973 -43.728     |8.56     |K1IV-V         |    ~     ~    |    1|   36.101   pc  |  -0.1148     +0.1148    |ST-L    |2020AJ....160...83S
53  |V* DF Gru                                                                                                |Eclipsing Binary                      |22 58 31.9529699136 -42 17 16.842912900|352.1679784539409 -62.4873549743052|  3.990 -29.648     |10.274   |F3/5V          |    ~     ~    |    1|  323.300   pc  |  -7.8390     +7.8390    |ST-L    |2020AJ....160...83S
54  |HD 216667                                                                                                |High Proper Motion Star               |22 55 25.1678810088 -42 53 04.022579688|351.5117131612880 -61.7193686673925| 46.985 -20.141     |8.47     |F6V            |    ~     ~    |    1|  119.097   pc  |  -0.3149     +0.3149    |paral   |2020yCat.1350....0G
55  |HD 216743                                                                                                |Star                                  |22 55 56.2447933488 -42 33 08.741486268|352.0707953437540 -61.9421501715838|   32.230 6.487     |7.247    |A3V            |    ~     ~    |    1|  102.392   pc  |  -0.2705     +0.2705    |paral   |2020yCat.1350....0G
56  |HD 216744                                                                                                |Double or Multiple Star               |22 55 57.9668289 -42 45 39.732645      |351.6620813932 -61.8615873287      |   59.63 -23.10     |9.97     |G5/6(V)        |0.0033  0.0    |    1|  136.896   pc  | +14.798      +5         |ST-L    |2017AJ....153...75K
57  |HD 216750                                                                                                |Star                                  |22 56 07.3118842176 -43 08 39.584018580|350.9000637385059 -61.7273700718030| 46.145 -15.715     |8.61     |F5V            |    ~     ~    |    1|  120.926   pc  |  -1.0150     +1.0150    |ST-L    |2020AJ....160...83S
58  |HD 216793                                                                                                |Star                                  |22 56 29.0776987056 -43 18 15.510467160|350.5351174009285 -61.7189542492388| 16.261 -15.476     |10.041   |K0/1(III)      |    ~     ~    |    1|  603.623   pc  | -18.5000    +18.5000    |ST-L    |2020AJ....160...83S
59  |CD-43 15208                                                                                              |Star                                  |22 56 43.4221924920 -42 52 54.545168748|351.3062587969517 -61.9377268852148|   50.229 2.728     |10.782   |F5             |    ~     ~    |    1|  447.037   pc  | -12.3200    +12.3200    |ST-L    |2020AJ....160...83S
60  |HD 216937                                                                                                |Star                                  |22 57 43.3649990448 -42 49 40.191229632|351.2463272249758 -62.1265348640063|   7.716 -2.172     |10.851   |A0/1III/IV     |    ~     ~    |    1|  783.692   pc  | -36.8200    +36.8200    |ST-L    |2020AJ....160...83S
61  |CD-43 15213                                                                                              |Star                                  |22 58 32.8914046008 -42 52 48.529290180|351.0069217385436 -62.2411755076091|  34.900 -5.588     |10.520   |G0             |    ~     ~    |    1|  136.695   pc  |  -1.4170     +1.4170    |ST-L    |2020AJ....160...83S
62  |HD 217026                                                                                                |Star                                  |22 58 14.2762478784 -43 29 29.172503724|349.8843451718165 -61.9239300334600|   2.494 -0.399     |10.328   |K0/1(III)      |    ~     ~    |    1|  645.605   pc  | -33.8300    +33.8300    |ST-L    |2020AJ....160...83S
63  |V* RX Gru                                                                                                |Eclipsing Binary                      |22 58 16.7106524640 -41 49 34.241437704|353.1257877340980 -62.6312144345402|  58.719 17.289     |10.680   |K1V(e)         |    ~     ~    |    1|  144.192   pc  |  -0.3514     +0.3514    |paral   |2020yCat.1350....0G
64  |IC 5267                                                                                                  |Galaxy in Pair of Galaxies            |22 57 13.572 -43 23 46.11              |350.236926 -61.800808              |            ~ ~     |10.47    |~              | 5.75  4.07    |    1|   20.89    Mpc |                         |        |2016AJ....152...50T
65  |CD-42 16131                                                                                              |Star                                  |22 55 25.0516576056 -41 45 19.944921708|353.7147524200013 -62.1676230506260|  3.455 -10.134     |10.604   |~              |    ~     ~    |    1|  370.705   pc  |  -9.2600     +9.2600    |ST-L    |2020AJ....160...83S
66  |CD-42 16147                                                                                              |Star                                  |22 57 57.8695756800 -41 38 43.228609764|353.5376496592719 -62.6486958284228|  24.071 -6.139     |10.61    |~              |    ~     ~    |    1|  517.250   pc  | -30.3667    +30.3667    |paral   |2020yCat.1350....0G
67  |NGC 7412                           NGC 7412                                                              |Galaxy towards a Group of Galaxies    |22 55 45.7654890264 -42 38 31.057726956|351.9249188245539 -61.8763397792753|            ~ ~     |11.38    |~              |1.597 1.341    |    1|    6.2     Mpc |                         |T-F     |2014MNRAS.444..527S
68  |NGC 7412A                          ESO 290-28                                                            |Galaxy                                |22 57 08.9 -42 48 18                   |351.3853 -62.0406                  |            ~ ~     |     ~   |~              | 3.89  2.51    |    1|   13.4     Mpc |                         |        |2007ApJ...661..801O
