C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1251|BD-06 6073                                                                                               |Star                                  |22 48 12.2404101408 -05 31 42.428966952|063.7468233085515 -53.5880998123392|  19.810 -8.028     |10.51    |~              |    ~     ~    |    1|  137.931   pc  |  -0.7514     +0.7514    |paral   |2018yCat.1345....0G
1252|HD 215887                                                                                                |High Proper Motion Star               |22 48 32.7222060837 -05 35 36.470461405|063.7543838694945 -53.6949692241906|-184.258 14.135     |9.592    |F7/8V          |    ~     ~    |    1|   82.201   pc  |  -0.1128     +0.1128    |paral   |2020yCat.1350....0G
1253|HD 216084                                                                                                |Star                                  |22 50 03.8007931368 -05 33 57.539805624|064.2013632935904 -53.9666731328596|   -1.858 0.948     |9.52     |G8IV           |    ~     ~    |    1|  625.117   pc  | -21.5706    +21.5706    |paral   |2020yCat.1350....0G
1254|HD 216112                                                                                                |Star                                  |22 50 14.6534450880 -05 36 12.463334712|064.2019995983587 -54.0252388592809|-13.630 -14.725     |9.01     |K2III          |    ~     ~    |    1|  636.902   pc  |  -9.0053     +9.0053    |paral   |2020yCat.1350....0G
1255|BD-06 6081                                                                                               |Star                                  |22 51 56.5654434192 -05 39 07.179549084|064.6059319765706 -54.3789506160962|  9.461 -26.179     |10.63    |~              |    ~     ~    |    1|  151.627   pc  |  -1.5780     +1.5780    |ST-L    |2020AJ....160...83S
1256|HD 215652                                                                                                |Star                                  |22 46 49.1576498064 -05 56 03.677594532|062.8501496302427 -53.5803997413936|-16.478 -15.131     |9.10     |F2V            |    ~     ~    |    1|  160.465   pc  |  -0.5279     +0.5279    |paral   |2020yCat.1350....0G
1257|BD-06 6069                                                                                               |Star                                  |22 47 23.3723239584 -06 07 45.325825752|062.7456721704847 -53.8133373725381|  -5.432 -8.445     |10.19    |~              |    ~     ~    |    1|  646.580   pc  |  -6.2710     +6.2710    |paral   |2020yCat.1350....0G
1258|HD 215826                                                                                                |Star                                  |22 48 02.9266994016 -06 05 04.176992760|062.9799291054914 -53.9122025355116|  37.742 15.866     |10.13    |G8(IV)         |    ~     ~    |    1|   87.803   pc  |  -0.1257     +0.1257    |paral   |2020yCat.1350....0G
1259|HD 215862                                                                                                |Star                                  |22 48 17.7621561480 -05 46 02.763205968|063.4612031853673 -53.7584188970895|  -4.785 -0.175     |8.09     |K4III          |    ~     ~    |    1|  476.100   pc  |  -5.5761     +5.5761    |paral   |2020yCat.1350....0G
1260|HD 215403                                                                                                |Star                                  |22 45 04.7135311392 -06 21 04.832706492|061.8470786985816 -53.5041156860825|  1.771 -22.665     |10.42    |F2V            |    ~     ~    |    1|  385.000   pc  |  -5.8994     +5.8994    |paral   |2020yCat.1350....0G
1261|HD 215416                                                                                                |Star                                  |22 45 10.2807665904 -06 38 46.603917672|061.4806946990730 -53.7047595367614|  11.059 -2.137     |9.89     |K2/3(III)      |    ~     ~    |    1| 1085.894   pc  | -30.4225    +30.4225    |paral   |2020yCat.1350....0G
1262|HD 215478                                                                                                |High Proper Motion Star               |22 45 26.1240280320 -06 52 11.092399536|061.2508242166091 -53.8939786650417|  96.698 -1.754     |10.26    |G0/1V          |    ~     ~    |    1|  215.955   pc  |  -0.8161     +0.8161    |paral   |2020yCat.1350....0G
1263|BD-07 5854                                                                                               |Star                                  |22 46 31.5940438728 -06 21 05.392741320|062.2248418282804 -53.7857119153455| -13.508 -9.405     |10.62    |~              |    ~     ~    |    1|  679.256   pc  |  -9.3200     +9.3200    |paral   |2020yCat.1350....0G
1264|BD-07 5857                                                                                               |Star                                  |22 46 56.3618331144 -06 46 41.539772748|061.7653079329382 -54.1313831107708|    9.249 1.259     |10.33    |~              |    ~     ~    |    1|  893.256   pc  | -12.6069    +12.6069    |paral   |2020yCat.1350....0G
1265|HD 215718                                                                                                |High Proper Motion Star               |22 47 22.3314954216 -06 43 49.134820368|061.9432842920498 -54.1859722716495|   52.830 5.082     |7.85     |F0/2V          |    ~     ~    |    1|  137.103   pc  |  -1.7575     +1.7575    |paral   |2020yCat.1350....0G
1266|BD-07 5860                                                                                               |Star                                  |22 47 56.3 -06 54 53                   |061.8449 -54.4106                  |            ~ ~     |9.8      |~              |    ~     ~    |    0|                |                         |        |                   
1267|HD 215827                                                                                                |Star                                  |22 48 04.4679369096 -06 33 03.612906036|062.3687977481784 -54.2105660159587| 25.876 -17.710     |9.64     |F3/5IV         |    ~     ~    |    1|  234.957   pc  |  -2.6885     +2.6885    |paral   |2020yCat.1350....0G
1268|BD-07 5863                                                                                               |Star                                  |22 48 42.8525636712 -06 41 46.472583336|062.3447900196875 -54.4253621423552|   2.788 -6.773     |10.89    |~              |    ~     ~    |    1|  967.024   pc  | -14.5881    +14.5881    |paral   |2020yCat.1350....0G
1269|HD 215996                                                                                                |Star                                  |22 49 07.7164530624 -07 07 55.297345512|061.8663788171225 -54.7770558768129|  -3.856 -5.786     |9.65     |K0(III)        |    ~     ~    |    1| 1218.170   pc  |-105.0000   +105.0000    |ST-L    |2020AJ....160...83S
1270|BD-07 5869                                                                                               |Star                                  |22 49 53.6168832240 -06 46 31.002765312|062.5546175665074 -54.7031895862187|   14.950 2.524     |10.35    |~              |    ~     ~    |    1|  340.913   pc  |  -2.4174     +2.4174    |paral   |2020yCat.1350....0G
1271|HD 216133                                                                                                |High Proper Motion Star               |22 50 19.4243064528 -07 05 24.378878724|062.2437198946037 -54.9833015639272|-106.572 103.758    |9.847    |M0.5V          |    ~     ~    |    1|   14.507   pc  |  -0.0041     +0.0041    |paral   |2020yCat.1350....0G
1272|BD-07 5872                                                                                               |Star                                  |22 50 24.3946411416 -06 24 44.396397828|063.1802529592948 -54.5733457977886|   26.837 4.167     |10.79    |~              |    ~     ~    |    1|  278.164   pc  |  -1.6945     +1.6945    |paral   |2020yCat.1350....0G
1273|HD 216143                                                                                                |Chemically Peculiar Star              |22 50 31.0883724288 -06 54 49.554279360|062.5359176443750 -54.9107783339215|-72.185 -106.305    |7.81     |G2/3(IV)(we)   |    ~     ~    |    1|  682.780   pc  | -11.0953    +11.0953    |paral   |2020yCat.1350....0G
1274|BD-07 5875                                                                                               |Star                                  |22 50 43.1879753832 -06 33 11.514737916|063.0768893995949 -54.7227450999739|-11.891 -10.503     |10.40    |~              |    ~     ~    |    1|  793.525   pc  |  -9.7601     +9.7601    |paral   |2020yCat.1350....0G
1275|HD 216163                                                                                                |High Proper Motion Star               |22 50 47.0250142344 -06 58 23.132708832|062.5272721291098 -54.9993219054675| 10.778 -52.838     |9.01     |F2V            |    ~     ~    |    1|  179.205   pc  |  -0.5459     +0.5459    |paral   |2020yCat.1350....0G
1276|HD 216181                                                                                                |High Proper Motion Star               |22 50 51.3997976784 -06 56 58.619683212|062.5789351160489 -54.9987171476184| 11.032 -51.776     |9.679    |F5V            |    ~     ~    |    1|  179.164   pc  |  -2.2720     +2.2720    |ST-L    |2020AJ....160...83S
1277|BD-07 5879                                                                                               |Star                                  |22 51 12.9845543832 -06 38 28.700915388|063.0937710293732 -54.8740016749921| -5.741 -12.941     |10.57    |~              |    ~     ~    |    1|  948.047   pc  | -18.8747    +18.8747    |paral   |2020yCat.1350....0G
1278|HD 216262                                                                                                |High Proper Motion Star               |22 51 38.2725113328 -06 57 58.816105704|062.7687633687009 -55.1601327407567| 70.328 -21.563     |9.905    |F7/8V          |    ~     ~    |    1|  199.187   pc  |  -2.4990     +2.4990    |ST-L    |2020AJ....160...83S
1279|HD 216355                                                                                                |High Proper Motion Star               |22 52 27.2105111640 -06 57 07.284911328|063.0117992315511 -55.3083472153188|17.561 -161.789     |9.11     |G5V            |    ~     ~    |    1|   78.533   pc  |  -0.1283     +0.1283    |paral   |2020yCat.1350....0G
1280|HD 215417                                                                                                |High Proper Motion Star               |22 45 06.7772137560 -07 33 54.794843316|060.2273132617669 -54.2537678746314|  83.860 16.534     |8.60     |F2/3V          |    ~     ~    |    1|  110.125   pc  |  -0.2280     +0.2280    |paral   |2020yCat.1350....0G
1281|HD 215552                                                                                                |Star                                  |22 46 05.6452935048 -07 31 19.013363220|060.5385313160020 -54.4213339440389|  -7.930 -6.683     |9.84     |G8/K0(III)     |    ~     ~    |    1|  470.323   pc  |  -4.5347     +4.5347    |paral   |2020yCat.1350....0G
1282|HD 215751                                                                                                |High Proper Motion Star               |22 47 26.7168483240 -07 26 05.948294496|061.0085499172674 -54.6342714426375|  55.563 -0.912     |9.14     |F7V            |    ~     ~    |    1|  100.838   pc  |  -0.2146     +0.2146    |paral   |2020yCat.1350....0G
1283|HD 215796                                                                                                |Star                                  |22 47 46.5540009888 -07 21 42.018803676|061.1954236061874 -54.6542800738355| -2.943 -13.821     |10.32    |F3V            |    ~     ~    |    1|  254.712   pc  |  -1.4857     +1.4857    |paral   |2020yCat.1350....0G
1284|HD 215828                                                                                                |Star                                  |22 47 57.6530756592 -07 29 14.882222148|061.0717586051756 -54.7675213663807|   7.523 11.359     |9.29     |G8IV           |    ~     ~    |    1|  564.972   pc  |  -5.7136     +5.7136    |paral   |2020yCat.1350....0G
1285|HD 215914                                                                                                |High Proper Motion Star               |22 48 42.2901844224 -07 27 32.139991764|061.3069638267064 -54.8958484579367|114.285 -31.523     |10.186   |G5/6V          |    ~     ~    |    1|  128.488   pc  |  -1.1060     +1.1060    |ST-L    |2020AJ....160...83S
1286|HD 215946                                                                                                |Star                                  |22 48 48.3583008552 -07 15 01.003883400|061.6194175051188 -54.7872623595373|-15.105 -11.286     |9.75     |K0(III)        |    ~     ~    |    1|  598.910   pc  |  -5.0576     +5.0576    |paral   |2020yCat.1350....0G
1287|HD 215997                                                                                                |Star                                  |22 49 10.6713624432 -07 39 39.669739884|061.1536019599515 -55.1122901555747|   6.856 -5.465     |9.703    |M0/1(III)      |    ~     ~    |    1| 1363.740   pc  |-123.1000   +123.1000    |ST-L    |2020AJ....160...83S
1288|HD 216031                                                                                                |Star                                  |22 49 26.2048703016 -07 38 29.558718744|061.2492103165767 -55.1511042249312|  3.313 -10.622     |9.942    |G8III          |    ~     ~    |    1|  745.646   pc  | -28.9300    +28.9300    |ST-L    |2020AJ....160...83S
1289|HD 216125                                                                                                |Star                                  |22 50 14.2395715464 -07 27 35.425009692|061.7137482015998 -55.1958418541989| 18.729 -10.737     |7.98     |A5/6V          |    ~     ~    |    1|  123.559   pc  |  -0.8534     +0.8534    |paral   |2018yCat.1345....0G
1290|* 72 Aqr                                                                                                 |Star                                  |22 50 46.3017367440 -07 18 42.926607396|062.0610202790963 -55.2082887206249|-25.455 -14.144     |7.00     |K0III          |    ~     ~    |    1|  270.599   pc  |  -1.9624     +1.9624    |paral   |2020yCat.1350....0G
1291|HD 216243                                                                                                |Star                                  |22 51 20.9824551960 -07 15 16.236011232|062.2963208777551 -55.2847770261062|   17.652 4.991     |9.45     |K0/1III        |    ~     ~    |    1|  435.066   pc  |  -3.2557     +3.2557    |paral   |2020yCat.1350....0G
1292|HD 216280                                                                                                |Star                                  |22 51 39.5007250296 -07 16 38.697845160|062.3487431856368 -55.3588946066912|  -7.486 -0.913     |10.04    |G6V            |    ~     ~    |    1|  167.640   pc  |  -2.0010     +2.0010    |ST-L    |2020AJ....160...83S
1293|NGC 7393                           NGC 7393                                                              |Emission-line galaxy                  |22 51 38.0993982840 -05 33 26.494908228|064.6442023340089 -54.2592801368583|            ~ ~     |     ~   |~              |1.160 0.557    |    1|   36.64    Mpc |  -3.30       +3.30      |T-F     |2020ApJ...902..145K
1294|BD-07 5859                                                                                               |High Proper Motion Star               |22 47 34.2773743128 -06 59 03.985085472|061.6539907227128 -54.3821902890519|179.156 -68.809     |10.55    |~              |    ~     ~    |    1|  128.649   pc  |  -1.6660     +1.6660    |ST-L    |2020AJ....160...83S
1295|BD-08 5943                                                                                               |Star                                  |22 46 54.2319087432 -07 23 23.125919352|060.9290512239957 -54.5003416949122|  -3.701 -0.603     |9.91     |~              |    ~     ~    |    1| 1418.641   pc  | -36.6283    +36.6283    |paral   |2020yCat.1350....0G
1296|BD-08 5946                                                                                               |High Proper Motion Star               |22 47 12.1901809440 -07 14 21.070587768|061.2122532431115 -54.4669896521304| 70.854 -32.448     |10.28    |~              |    ~     ~    |    1|  339.225   pc  | -13.9239    +13.9239    |paral   |2020yCat.1350....0G
1297|BD-06 6070                                                                                               |Star                                  |22 47 37.5810011424 -05 22 39.742127184|063.7864722112639 -53.3811337268797| 22.159 -10.664     |10.5     |~              |    ~     ~    |    1|  289.243   pc  |  -1.8824     +1.8824    |paral   |2020yCat.1350....0G
1298|BD-08 5953                                                                                               |Star                                  |22 48 38.1205668432 -07 34 30.337667328|061.1288053204902 -54.9533782230103| -8.281 -17.053     |10.73    |~              |    ~     ~    |    1|  150.450   pc  |  -1.5380     +1.5380    |ST-L    |2020AJ....160...83S
1299|BD-07 5867                                                                                               |Star                                  |22 49 23.7929090136 -06 15 01.265916204|063.1224169356508 -54.2765460711700|  26.838 -1.947     |10.755   |~              |    ~     ~    |    1|  191.801   pc  |  -2.4730     +2.4730    |ST-L    |2020AJ....160...83S
1300|TYC 5240-43-1                                                                                            |Star                                  |22 45 32.6749837608 -06 58 06.681421056|061.1465838819606 -53.9759837437173| 29.391 -34.506     |10.55    |~              |    ~     ~    |    1|  242.454   pc  |  -1.1404     +1.1404    |paral   |2020yCat.1350....0G
1301|TYC 5240-344-1                                                                                           |Star                                  |22 46 16.6334742816 -07 06 49.351704804|061.1409032360490 -54.2086026144444|   19.313 5.134     |10.96    |~              |    ~     ~    |    1|  332.138   pc  |  -1.6658     +1.6658    |paral   |2020yCat.1350....0G
1302|TYC 5240-536-1                                                                                           |Star                                  |22 48 27.1329950160 -05 41 04.192995192|063.6111034012900 -53.7353969979943|  -15.940 1.096     |10.84    |~              |    ~     ~    |    1|  373.120   pc  |  -2.2136     +2.2136    |paral   |2020yCat.1350....0G
1303|TYC 5240-1191-1                                                                                          |Star                                  |22 48 46.3054720152 -05 52 49.563059088|063.4413927816625 -53.9216095075959|   4.906 -4.088     |10.811   |~              |    ~     ~    |    1|  464.103   pc  | -14.9700    +14.9700    |ST-L    |2020AJ....160...83S
1304|TYC 5241-967-1                                                                                           |Spectroscopic Binary                  |22 52 22.8979169520 -07 05 04.344092520|062.8110422875557 -55.3779577442229|  30.098 -0.572     |10.84    |~              |    ~     ~    |    1|  284.939   pc  |  -4.7450     +4.7450    |ST-L    |2020AJ....160...83S
1305|TYC 5241-1620-1                                                                                          |Star                                  |22 51 25.6529422968 -07 06 15.381904464|062.5232797346959 -55.2060073486643|   -2.904 2.121     |10.74    |~              |    ~     ~    |    1|  239.590   pc  |  -0.9988     +0.9988    |paral   |2020yCat.1350....0G
1306|TYC 5241-1638-1                                                                                          |Star                                  |22 50 47.2913916960 -07 13 03.022331700|062.1949836056850 -55.1527870581803|   19.672 6.925     |10.971   |~              |    ~     ~    |    1|  355.472   pc  |  -8.8100     +8.8100    |ST-L    |2020AJ....160...83S
1307|TYC 5812-454-1                                                                                           |Star                                  |22 47 40.0498496328 -07 53 57.853040100|060.4265026510723 -54.9600548350706| 11.011 -18.246     |10.75    |~              |    ~     ~    |    1|  224.266   pc  |  -1.1870     +1.1870    |paral   |2020yCat.1350....0G
1308|TYC 5812-726-1                                                                                           |Star                                  |22 45 59.0714073504 -07 53 42.731699424|059.9972373688881 -54.6247170449661|  10.296 -2.884     |10.48    |~              |    ~     ~    |    1|  932.662   pc  | -23.3122    +23.3122    |paral   |2020yCat.1350....0G
1309|HD 216566                                                                                                |Star                                  |22 53 59.0646406032 -08 02 34.039154688|061.9177333584007 -56.2858943208509|   13.163 1.548     |9.31     |K0III          |    ~     ~    |    1|  502.336   pc  |  -4.2898     +4.2898    |paral   |2020yCat.1350....0G
1310|HD 216662                                                                                                |Star                                  |22 54 49.2066623976 -08 00 33.980848308|062.1962543627323 -56.4276712023906|   32.741 7.982     |9.60     |A5/6II         |    ~     ~    |    1|  236.381   pc  |  -3.9320     +3.9320    |ST-L    |2020AJ....160...83S
1311|BD-08 5971                                                                                               |Star                                  |22 53 00.5934974136 -07 56 46.988904084|061.7864232515160 -56.0365868500411|  12.887 -9.097     |10.709   |~              |    ~     ~    |    1|  487.695   pc  | -38.5200    +38.5200    |ST-L    |2020AJ....160...83S
1312|HD 216777                                                                                                |High Proper Motion Star               |22 55 49.9773604202 -07 49 21.386964536|062.7437647684958 -56.5072330844520|551.774 -49.102     |8.01     |G6V            |    ~     ~    |    1|   36.0185  pc  |  -0.0384     +0.0384    |paral   |2020yCat.1350....0G
1313|BD-08 5986                                                                                               |High Proper Motion Star               |22 57 40.3686253176 -08 04 04.259682552|062.9163156978191 -57.0158812077273| 76.862 -35.703     |10.23    |G5             |    ~     ~    |    1|  116.877   pc  |  -1.1270     +1.1270    |ST-L    |2020AJ....160...83S
1314|HD 217218                                                                                                |Star                                  |22 59 17.6681224368 -08 02 35.030446944|063.4182147267759 -57.3119973374738|  26.844 10.446     |9.67     |G8/K0(III)     |    ~     ~    |    1|  396.794   pc  |  -3.3378     +3.3378    |paral   |2020yCat.1350....0G
1315|BD-08 5984                                                                                               |Star                                  |22 56 38.9777902200 -07 50 14.850298680|062.9532514178872 -56.6740467842196|  -2.234 -6.453     |10.430   |~              |    ~     ~    |    1|  532.081   pc  | -19.0400    +19.0400    |ST-L    |2020AJ....160...83S
1316|BD-08 5983                                                                                               |Star                                  |22 56 11.5839421680 -07 55 48.890083728|062.6927488675086 -56.6441614078378|  1.540 -18.984     |10.75    |~              |    ~     ~    |    1|  552.090   pc  |  -5.6389     +5.6389    |paral   |2020yCat.1350....0G
1317|BD-06 6083                                                                                               |Star                                  |22 52 40.6597796232 -05 41 58.679620476|064.7478193975598 -54.5489326654916| -8.667 -33.918     |10.91    |~              |    ~     ~    |    1|  392.974   pc  |  -5.3432     +5.3432    |paral   |2020yCat.1350....0G
1318|HD 216576                                                                                                |Star                                  |22 54 08.5711824480 -05 29 53.104942140|065.4227197704429 -54.6932623425588| 13.262 -10.180     |9.10     |K0III          |    ~     ~    |    1|  463.628   pc  |  -7.3083     +7.3083    |paral   |2020yCat.1350....0G
1319|HD 216503                                                                                                |High Proper Motion Star               |22 53 27.5526514248 -05 59 16.967535432|064.5862571677068 -54.8839753805445|-68.398 -48.866     |6.91     |A2+F/G         |    ~     ~    |    1|  101.150   pc  |  -0.3254     +0.3254    |paral   |2020yCat.1350....0G
1320|HD 216515                                                                                                |Star                                  |22 53 37.8698144688 -06 06 31.493365092|064.4742530382797 -54.9946854307605|  -8.979 -1.933     |8.31     |K1III          |    ~     ~    |    1|  366.596   pc  |  -4.2334     +4.2334    |paral   |2020yCat.1350....0G
1321|BD-06 6089                                                                                               |Star                                  |22 54 02.6024063184 -05 46 11.522914500|065.0384518464715 -54.8524749840120| 20.157 -15.143     |10.51    |~              |    ~     ~    |    1|  199.025   pc  |  -2.9787     +2.9787    |paral   |2020yCat.1350....0G
1322|BD-07 5883                                                                                               |Star                                  |22 52 32.9906446296 -06 27 14.256475704|063.7120120501951 -55.0106536855669|-13.919 -12.520     |10.67    |~              |    ~     ~    |    1|  703.532   pc  | -49.4100    +49.4100    |ST-L    |2020AJ....160...83S
1323|BD-07 5884                                                                                               |Star                                  |22 53 11.8945791360 -06 32 35.442558672|063.7718841532516 -55.1915577369094| -7.699 -13.583     |10.538   |~              |    ~     ~    |    1|  769.384   pc  | -31.9500    +31.9500    |ST-L    |2020AJ....160...83S
1324|BD-07 5885                                                                                               |Star                                  |22 53 30.6392897568 -06 40 34.899428208|063.6789297367461 -55.3363041357523|  -2.429 -2.915     |10.726   |~              |    ~     ~    |    1|  988.729   pc  | -39.9600    +39.9600    |ST-L    |2020AJ....160...83S
1325|* 78 Aqr                                                                                                 |Star                                  |22 54 34.1217841656 -07 12 16.649036964|063.2520730801882 -55.8746978319035|-14.811 -34.596     |6.181    |K2III          |    ~     ~    |    1|  183.786   pc  |  -1.6821     +1.6821    |paral   |2020yCat.1350....0G
1326|BD-07 5887                                                                                               |Star                                  |22 54 36.6379674264 -06 16 47.403964920|064.5213718680529 -55.2910081799566|-12.389 -13.495     |10.451   |~              |    ~     ~    |    1|  263.559   pc  |  -3.6520     +3.6520    |ST-L    |2020AJ....160...83S
1327|HD 216649                                                                                                |Carbon Star                           |22 54 46.4911611576 -06 57 50.622580692|063.6406935065994 -55.7614891727295|   5.437 -7.749     |10.75    |R3             |    ~     ~    |    1| 2023.882   pc  | -61.0319    +61.0319    |paral   |2020yCat.1350....0G
1328|HD 216526                                                                                                |Star                                  |22 53 46.5709381200 -07 23 21.554357532|062.7759073329702 -55.8385186971332|   7.959 15.849     |8.35     |K1III          |    ~     ~    |    1|  301.377   pc  |  -2.5432     +2.5432    |paral   |2020yCat.1350....0G
1329|NGC 7406                           NGC 7406                                                              |Galaxy                                |22 53 56.2335830640 -06 34 44.411275056|063.9296825564563 -55.3555346254136|   -0.096 0.091     |     ~   |~              |0.787 0.393    |    1|   22.70    Mpc |  -5.41       +5.41      |T-F     |2020ApJ...902..145K
1330|BD-06 6091                                                                                               |High Proper Motion Star               |22 54 09.0660826080 -05 52 36.620607648|064.9277773916794 -54.9425329849044|-14.211 -79.493     |10.89    |~              |    ~     ~    |    1|  116.314   pc  |  -0.4992     +0.4992    |paral   |2020yCat.1350....0G
1331|BD-08 5977                                                                                               |Star                                  |22 54 55.6925894136 -07 30 22.479037704|062.9341027396600 -56.1341442480348| -2.003 -20.206     |10.963   |~              |    ~     ~    |    1|  413.883   pc  | -11.3800    +11.3800    |ST-L    |2020AJ....160...83S
1332|BD-06 6094                                                                                               |Star                                  |22 54 58.4981654760 -05 50 29.059067364|065.2078055056584 -55.0746277981724|  12.214 13.037     |10.371   |~              |    ~     ~    |    1|  739.050   pc  | -29.0500    +29.0500    |ST-L    |2020AJ....160...83S
1333|BD-08 5978                                                                                               |Star                                  |22 55 05.3376400368 -07 47 12.123371472|062.5859148906927 -56.3410221041697|  20.375 15.924     |10.73    |~              |    ~     ~    |    1|  504.058   pc  |  -4.5987     +4.5987    |paral   |2020yCat.1350....0G
1334|TYC 5241-302-1                                                                                           |Star                                  |22 54 48.2181199176 -06 37 14.550202200|064.1166092739915 -55.5473644902790|  -3.423 -9.467     |10.931   |~              |    ~     ~    |    1| 1224.450   pc  |-103.9000   +103.9000    |ST-L    |2020AJ....160...83S
1335|* lam Aqr                                                                                                |Long-Period Variable                  |22 52 36.8740445376 -07 34 46.548925356|062.1917780139248 -55.7325517735542|  14.964 32.742     |3.79     |M2.5IIIFe-0.5  |    ~     ~    |    1|  111.907   pc  |  -2.9505     +2.9505    |paral   |2020yCat.1350....0G
1336|HD 216725                                                                                                |Star                                  |22 55 21.2101433520 -05 41 22.820989272|065.5156362114210 -55.0462229188505|  -4.082 -4.786     |7.19     |M1III          |    ~     ~    |    1|  365.257   pc  |  -3.6021     +3.6021    |paral   |2020yCat.1350....0G
1337|HD 217053                                                                                                |Star                                  |22 57 52.2563803248 -05 32 11.512409460|066.4439076306258 -55.4143669591788|-20.426 -39.297     |9.14     |G8IV           |    ~     ~    |    1|  367.417   pc  |  -3.1589     +3.1589    |paral   |2020yCat.1350....0G
1338|HD 217076                                                                                                |High Proper Motion Star               |22 58 09.5971887960 -05 41 07.877965596|066.3322057354343 -55.5672198686214|  78.068 12.699     |8.41     |A9/F0V         |    ~     ~    |    1|  144.375   pc  |  -1.3970     +1.3970    |ST-L    |2020AJ....160...83S
1339|HD 217145                                                                                                |Star                                  |22 58 35.6044995048 -05 40 26.072446692|066.4746468260328 -55.6399357051585| -15.067 -7.277     |8.48     |M2/3III        |    ~     ~    |    1|  607.054   pc  |  -9.2497     +9.2497    |paral   |2020yCat.1350....0G
1340|HD 217039                                                                                                |Star                                  |22 57 49.7420539608 -05 52 06.445501860|065.9932958820139 -55.6269948959857|  -1.801 -5.619     |10.066   |G6/8V          |    ~     ~    |    1|  166.866   pc  |  -2.0060     +2.0060    |ST-L    |2020AJ....160...83S
1341|HD 217146                                                                                                |Star                                  |22 58 38.0006040768 -05 53 35.395008144|066.1956951667888 -55.7931750624940| 32.352 -15.231     |9.78     |G              |    ~     ~    |    1|  182.578   pc  |  -0.9300     +0.9300    |paral   |2020yCat.1350....0G
1342|HD 217287                                                                                                |Star                                  |22 59 45.8496974352 -05 47 54.516514848|066.6553220869331 -55.9399512085587|  7.902 -48.466     |8.78     |G8III          |    ~     ~    |    1|  383.171   pc  |  -3.4209     +3.4209    |paral   |2020yCat.1350....0G
1343|HD 216703                                                                                                |Star                                  |22 55 11.0303025120 -07 13 05.790565992|063.4057716902899 -56.0013984544271|   7.855 -1.362     |9.85     |K2/3(III)      |    ~     ~    |    1|  637.471   pc  |  -9.2246     +9.2246    |paral   |2020yCat.1350....0G
1344|BD-07 5889                                                                                               |Star                                  |22 55 33.1262149488 -06 41 17.730226932|064.2365871863779 -55.7331613422312|   1.508 -5.648     |10.96    |~              |    ~     ~    |    1| 1093.255   pc  | -22.7089    +22.7089    |paral   |2020yCat.1350....0G
1345|BD-07 5890                                                                                               |Star                                  |22 55 43.7041369944 -06 26 11.705117172|064.6275584899334 -55.6041758697729|   27.325 1.583     |10.68    |~              |    ~     ~    |    1|   70.304   pc  |  -0.0761     +0.0761    |paral   |2020yCat.1350....0G
1346|HD 216776                                                                                                |Star                                  |22 55 53.8732173840 -06 29 22.275957912|064.6043627477912 -55.6705341074357|  47.776 -8.631     |8.91     |F7V            |    ~     ~    |    1|  142.029   pc  |  -0.3369     +0.3369    |paral   |2020yCat.1350....0G
1347|HD 216834                                                                                                |Star                                  |22 56 20.4456335448 -06 32 45.015589788|064.6546089385933 -55.7908324570538| -1.412 -17.545     |8.13     |G8IV           |    ~     ~    |    1|  126.403   pc  |  -0.5400     +0.5400    |paral   |2020yCat.1350....0G
1348|BD-07 5894                                                                                               |Star                                  |22 56 53.1558700728 -06 44 25.374550488|064.5461747337502 -56.0199172473352|    6.572 8.890     |10.84    |~              |    ~     ~    |    1|  310.450   pc  |  -6.5110     +6.5110    |ST-L    |2020AJ....160...83S
1349|HD 216905                                                                                                |Star                                  |22 57 04.5808484616 -06 48 56.525100876|064.4978650664765 -56.1046532870082|  19.182 -9.082     |9.35     |K0III          |    ~     ~    |    1|  444.919   pc  |  -3.7611     +3.7611    |paral   |2020yCat.1350....0G
1350|BD-07 5896                                                                                               |Star                                  |22 57 13.2612161376 -07 08 08.186844984|064.0988961332456 -56.3379441750812| -15.663 -1.842     |10.49    |~              |    ~     ~    |    1|  834.168   pc  | -10.6463    +10.6463    |paral   |2020yCat.1350....0G
1351|HD 217020                                                                                                |High Proper Motion Star               |22 57 43.6464161616 -06 35 09.065602284|064.9994427359813 -56.0787596784832|  3.130 -50.143     |8.48     |F2V            |    ~     ~    |    1|  108.233   pc  |  -0.9155     +0.9155    |ST-L    |2020AJ....160...83S
1352|HD 217133                                                                                                |Star                                  |22 58 33.9242634984 -06 27 08.392680216|065.4245916512192 -56.1491965333229|  28.234 -0.290     |9.599    |F3/5V          |    ~     ~    |    1|  171.869   pc  |  -2.0960     +2.0960    |ST-L    |2020AJ....160...83S
