C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
36  |TYC 7926-404-1                                                                                           |Star                                  |19 16 50.4713871168 -41 26 04.329089052|356.4421788434889 -22.0589537528895|  -1.000 -3.102   |10.521   |~               |    ~     ~          |    1|  772.620   pc  | -44.4800    +44.4800    |ST-L    |2020AJ....160...83S
37  |TYC 7926-668-1                                                                                           |Star                                  |19 15 42.9206276376 -42 17 57.224217444|355.4839342271140 -22.1157386958001| -4.563 -14.783   |10.411   |~               |    ~     ~          |    1|  679.858   pc  | -21.1900    +21.1900    |ST-L    |2020AJ....160...83S
38  |TYC 7926-779-1                                                                                           |Star                                  |19 15 02.3212778424 -41 44 41.189612496|356.0141781172706 -21.8304012768878| 10.708 -45.096   |10.86    |~               |    ~     ~          |    1|  120.073   pc  |  -0.2307     +0.2307    |paral   |2020yCat.1350....0G
39  |HD 181345                                                                                                |Star                                  |19 21 55.6203732672 -40 32 51.759388392|357.6651100083233 -22.7137936948746|   6.127 -9.334   |9.87     |F3V             |    ~     ~          |    1|  345.746   pc  |  -2.9526     +2.9526    |paral   |2020yCat.1350....0G
40  |HD 180633                                                                                                |Star                                  |19 18 59.3488631040 -41 18 24.161556888|356.7031112750670 -22.4059349386701|   1.457 -8.227   |8.10     |A0V             |    ~     ~          |    1|  473.642   pc  |  -9.2875     +9.2875    |paral   |2020yCat.1350....0G
41  |HD 180705                                                                                                |Star                                  |19 19 22.5260737296 -41 24 33.494773104|356.6200102805295 -22.5053395049109|  -13.778 5.217   |8.46     |G8III           |    ~     ~          |    1|  158.624   pc  |  -0.5661     +0.5661    |paral   |2020yCat.1350....0G
42  |HD 180704                                                                                                |Star                                  |19 19 23.6276400456 -41 00 30.287829492|357.0356976393356 -22.3907782592879|   11.944 7.100   |8.43     |A8III           |    ~     ~          |    1|  218.617   pc  |  -1.1375     +1.1375    |paral   |2020yCat.1350....0G
43  |HD 180750                                                                                                |Double or Multiple Star               |19 19 39.0316992 -40 48 57.590275      |357.2500019774 -22.3802314622      |  83.44 -122.15   |9.499    |G8V             |0.0033  0.0          |    0|                |                         |        |                   
44  |HD 180804                                                                                                |High Proper Motion Star               |19 19 43.4872905528 -41 27 39.915333612|356.5870971619207 -22.5830881926646|  6.571 -92.923   |10.09    |G3V             |    ~     ~          |    1|  115.912   pc  |  -0.2163     +0.2163    |paral   |2020yCat.1350....0G
45  |HD 180803                                                                                                |Star                                  |19 19 47.9341204944 -41 06 38.741793408|356.9542041432105 -22.4938973481839| -3.171 -10.352   |9.16     |K0/1III         |    ~     ~          |    1|  434.499   pc  |  -3.8324     +3.8324    |paral   |2020yCat.1350....0G
46  |HD 180864                                                                                                |Star                                  |19 20 00.4985900424 -41 15 12.753892656|356.8188996686999 -22.5733973665047|    0.061 8.520   |9.03     |G8IV            |    ~     ~          |    1|  393.949   pc  |  -2.5918     +2.5918    |paral   |2020yCat.1350....0G
47  |HD 181014                                                                                                |Star                                  |19 20 34.0119475512 -41 43 26.037419268|356.3638661594195 -22.8099043043952| -19.677 15.344   |10.71    |G6/8            |    ~     ~          |    1|  303.352   pc  |  -1.7484     +1.7484    |paral   |2020yCat.1350....0G
48  |HD 181174                                                                                                |Star                                  |19 21 15.0475753992 -41 29 33.518807664|356.6440928430156 -22.8658079635029|  11.945 -2.504   |9.99     |A8/9V           |    ~     ~          |    1|  496.870   pc  |  -3.7032     +3.7032    |paral   |2020yCat.1350....0G
49  |HD 181269                                                                                                |Star                                  |19 21 38.7933466704 -41 41 15.736980984|356.4642008069296 -22.9925960234127| -5.631 -10.246   |9.83     |G5/8(V)+A/F     |    ~     ~          |    1|  180.799   pc  |  -0.9839     +0.9839    |paral   |2020yCat.1350....0G
50  |HD 181346                                                                                                |Star                                  |19 22 03.5962223808 -41 22 28.101492876|356.8142681769541 -22.9771540321327|  6.358 -16.202   |9.85     |M1              |    ~     ~          |    1| 1183.712   pc  | -28.5840    +28.5840    |paral   |2020yCat.1350....0G
51  |HD 180905                                                                                                |Star                                  |19 20 09.0593617680 -41 49 47.886369744|356.2294761281601 -22.7661892152235|    3.667 6.591   |10.89    |F2IV            |    ~     ~          |    1|  501.102   pc  |  -3.8419     +3.8419    |paral   |2020yCat.1350....0G
52  |CD-42 14112                                                                                              |High Proper Motion Star               |19 20 56.3552158800 -41 52 48.092510964|356.2231411187409 -22.9211619494752|-68.780 -67.770   |10.36    |F8              |    ~     ~          |    1|  330.469   pc  |  -1.8675     +1.8675    |paral   |2020yCat.1350....0G
53  |V* V1158 Sgr                                                                                             |Mira Variable                         |19 20 12.7864154712 -40 52 37.337960100|357.2208695236178 -22.4998991726781|   1.646 -4.278   |10.57    |M2e             |    ~     ~          |    0|                |                         |        |                   
54  |HD 180572                                                                                                |Star                                  |19 18 56.0299138728 -42 11 51.065731716|355.7772959201166 -22.6556615844650|   10.968 1.529   |9.80     |F5V             |    ~     ~          |    1|  146.927   pc  |  -0.4080     +0.4080    |paral   |2020yCat.1350....0G
55  |HD 180751                                                                                                |High Proper Motion Star               |19 19 33.1257396912 -42 03 54.836158572|355.9504051973118 -22.7272980622530| 74.888 -13.477   |8.00     |G0V             |    ~     ~          |    1|   92.951   pc  |  -0.3084     +0.3084    |paral   |2020yCat.1350....0G
56  |HD 180886                                                                                                |Star                                  |19 20 05.9253756792 -42 25 15.843912024|355.6118638210572 -22.9260281274184|   1.519 -5.079   |9.03     |K4III           |    ~     ~          |    1|  948.407   pc  | -49.3812    +49.3812    |paral   |2020yCat.1350....0G
57  |HD 181040                                                                                                |Star                                  |19 20 44.4110905440 -42 28 07.373285796|355.5986314004227 -23.0530095024802| -40.984 22.940   |8.12     |F7V             |    ~     ~          |    1|  125.516   pc  |  -0.4143     +0.4143    |paral   |2020yCat.1350....0G
58  |HD 181088                                                                                                |Star                                  |19 20 51.2723191080 -41 54 29.499933492|356.1889421698283 -22.9141052838535|  11.009 -5.217   |9.55     |A2IV/V          |    ~     ~          |    1|  380.286   pc  | -11.3525    +11.3525    |paral   |2020yCat.1350....0G
59  |HD 181401                                                                                                |High Proper Motion Star               |19 22 09.5278706664 -42 00 57.700343628|356.1513718335484 -23.1771991623487|-55.195 -31.411   |6.338    |K1III           |    ~     ~          |    1|  106.834   pc  |  -0.1952     +0.1952    |paral   |2020yCat.1350....0G
60  |HD 180603                                                                                                |High Proper Motion Star               |19 19 02.8075165632 -43 04 26.340669552|354.8725886227375 -22.9257523558058| 17.209 -55.667   |10.27    |F5V             |    ~     ~          |    1|  225.271   pc  |  -1.0860     +1.0860    |paral   |2020yCat.1350....0G
61  |HD 180654                                                                                                |Star                                  |19 19 19.2435910 -43 06 19.937808      |354.8550206302 -22.9826317363      |      5.02 8.29   |10.51    |F2V             |    ~     ~          |    0|                |                         |        |                   
62  |HD 180678                                                                                                |Star                                  |19 19 22.0972641912 -43 01 09.798516624|354.9474617906043 -22.9667006595681|    6.084 4.088   |10.054   |K1/2(III)       |    ~     ~          |    1|  587.344   pc  | -15.9700    +15.9700    |ST-L    |2020AJ....160...83S
63  |HD 181347                                                                                                |Star                                  |19 22 04.2889599792 -42 52 37.805837304|355.2461851650776 -23.4020313999232|   -1.067 6.937   |10.151   |F2IV            |    ~     ~          |    1|  768.358   pc  | -36.1300    +36.1300    |ST-L    |2020AJ....160...83S
64  |HD 181348                                                                                                |Star                                  |19 22 04.5265120584 -42 53 14.832188988|355.2356319731844 -23.4055684555013| -0.604 -16.870   |10.15    |G0              |    ~     ~          |    1|  660.546   pc  | -21.1615    +21.1615    |paral   |2020yCat.1350....0G
65  |CD-41 13445                                                                                              |Star                                  |19 18 56.6679882768 -41 20 44.501221248|356.6601409879226 -22.4093873250640|   1.038 -7.519   |10.38    |~               |    ~     ~          |    1|  788.519   pc  | -19.2125    +19.2125    |paral   |2020yCat.1350....0G
66  |CD-43 13288                                                                                              |Star                                  |19 19 39.7781105688 -43 12 16.242842412|354.7708372326642 -23.0703192984525|    1.143 3.864   |10.517   |~               |    ~     ~          |    1| 1139.380   pc  | -80.8500    +80.8500    |ST-L    |2020AJ....160...83S
67  |CD-42 14114                                                                                              |Star                                  |19 21 06.3869028960 -42 22 12.212400396|355.7222382354211 -23.0900220593731|-15.364 -18.181   |10.10    |~               |    ~     ~          |    1|  545.673   pc  | -11.1957    +11.1957    |paral   |2020yCat.1350....0G
68  |CD-42 14115                                                                                              |Star                                  |19 21 09.5091319008 -42 15 29.191803984|355.8419281921844 -23.0676388364902|  -3.513 -5.846   |10.12    |~               |    ~     ~          |    1|  733.084   pc  |  -8.6523     +8.6523    |paral   |2020yCat.1350....0G
69  |CD-41 13474                                                                                              |Star                                  |19 21 26.1095207664 -41 18 27.109618020|356.8472713002367 -22.8455892989310|   5.474 -1.709   |10.43    |~               |    ~     ~          |    1|  727.696   pc  |  -9.4258     +9.4258    |paral   |2020yCat.1350....0G
70  |CD-42 14128                                                                                              |Star                                  |19 22 01.5269300544 -41 53 25.423928844|356.2748204401789 -23.1179240404137|   1.878 -2.717   |10.18    |~               |    ~     ~          |    1| 1730.703   pc  | -45.5290    +45.5290    |paral   |2020yCat.1350....0G
71  |HD 181742                                                                                                |Star                                  |19 23 25.4149423368 -40 18 59.535464076|357.9950697077787 -22.9188392843265|  12.029 -5.970   |9.07     |K0/1III         |    ~     ~          |    1|  379.737   pc  |  -3.4175     +3.4175    |paral   |2020yCat.1350....0G
72  |HD 182708                                                                                                |High Proper Motion Star               |19 27 43.2958137984 -40 05 49.981193412|358.4796007496705 -23.6423119038107|34.985 -115.836   |7.14     |F8V             |    ~     ~          |    1|   71.179   pc  |  -0.1216     +0.1216    |paral   |2020yCat.1350....0G
73  |HD 181670                                                                                                |Star                                  |19 23 10.7126344104 -40 26 20.880691368|357.8529937145507 -22.9097822547925|   3.014 -2.080   |10.25    |F0IV/V          |    ~     ~          |    1|  313.863   pc  |  -1.4185     +1.4185    |paral   |2020yCat.1350....0G
74  |CD-40 13242                                                                                              |Star                                  |19 23 45.2338100400 -40 36 24.752909700|357.7128844974807 -23.0629335141849|  5.334 -24.143   |10.6     |A2              |    ~     ~          |    1|  404.973   pc  |  -3.9361     +3.9361    |paral   |2020yCat.1350....0G
75  |HD 182302                                                                                                |Star                                  |19 25 47.2529841168 -40 16 43.332714300|358.1755836685957 -23.3396074849306| 14.805 -18.493   |9.41     |K1III           |    ~     ~          |    1|  248.102   pc  |  -0.9726     +0.9726    |paral   |2020yCat.1350....0G
76  |HD 182436                                                                                                |Spectroscopic Binary                  |19 26 25.6831596456 -40 14 05.027471628|358.2594205717063 -23.4442307300379|  1.435 -28.808   |10.02    |G6(III)         |    ~     ~          |    1|  533.817   pc  | -21.4576    +21.4576    |paral   |2020yCat.1350....0G
77  |HD 182606                                                                                                |Star                                  |19 27 16.8221108808 -40 26 43.139796324|358.0890830670425 -23.6595031515750| -10.783 -4.069   |9.98     |G5IV            |    ~     ~          |    1|  620.925   pc  |  -6.8628     +6.8628    |paral   |2020yCat.1350....0G
78  |HD 182667                                                                                                |Star                                  |19 27 34.2062570016 -40 31 25.992630300|358.0235621291632 -23.7343951716671|  5.988 -19.215   |9.01     |F6V             |    ~     ~          |    1|  242.736   pc  |  -1.9797     +1.9797    |paral   |2020yCat.1350....0G
79  |HD 182746                                                                                                |Star                                  |19 27 55.6425821928 -40 44 30.154669872|357.8155153746957 -23.8601132402477| 11.164 -22.107   |9.41     |F6V             |    ~     ~          |    1|  222.563   pc  |  -0.8173     +0.8173    |paral   |2020yCat.1350....0G
80  |HD 182881                                                                                                |Star                                  |19 28 28.4266325208 -40 18 01.188807372|358.3106384857172 -23.8371538054895|  8.027 -25.922   |8.90     |G8II/III        |    ~     ~          |    1|  372.884   pc  |  -2.8226     +2.8226    |paral   |2020yCat.1350....0G
81  |HD 182967                                                                                                |Star                                  |19 28 58.5526935552 -40 19 26.839333632|358.3147760481058 -23.9357106092168| 10.032 -10.040   |9.35     |K2/3III         |    ~     ~          |    1|  616.295   pc  |  -5.7353     +5.7353    |paral   |2020yCat.1350....0G
82  |HD 183114                                                                                                |Star                                  |19 29 43.1246720424 -40 40 07.944907764|357.9944658227861 -24.1664519930692|  -2.760 -5.838   |9.31     |K2III           |    ~     ~          |    1|  452.921   pc  | -11.6600    +11.6600    |ST-L    |2020AJ....160...83S
83  |HD 181453                                                                                                |Star                                  |19 22 21.2650303536 -41 01 58.404635976|357.1868653302481 -22.9320539542890|   2.199 21.675   |9.73     |F(5)V           |    ~     ~          |    1|  163.859   pc  |  -0.4940     +0.4940    |paral   |2020yCat.1350....0G
84  |HD 181514                                                                                                |Star                                  |19 22 36.0540942072 -40 57 52.089571944|357.2725640317694 -22.9568769705183|  -2.242 -5.604   |9.96     |A8/9V           |    ~     ~          |    1|  455.373   pc  |  -3.8363     +3.8363    |paral   |2020yCat.1350....0G
