C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
3894|CD-68 2082                                                                                               |Star                                  |19 28 06.7895015952 -68 41 54.681302328|327.0038522551584 -28.4472459484418|  11.699 -8.896   |9.83     |~               |    ~     ~          |    1|  810.438   pc  |  -8.6699     +8.6699    |paral   |2020yCat.1350....0G
3895|TYC 9083-844-1                                                                                           |Star                                  |19 18 14.9015748600 -66 46 42.761634996|329.1009999589664 -27.3871298665805|  -3.343 -3.545   |10.6     |~               |    ~     ~          |    1| 1141.120   pc  | -84.1200    +84.1200    |ST-L    |2020AJ....160...83S
3896|CD-69 1838                                                                                               |Star                                  |19 23 39.9624133920 -68 59 17.628029484|326.6544924254299 -28.0596532759170| 11.989 -13.454   |9.930    |~               |    ~     ~          |    1| 1048.040   pc  | -56.4000    +56.4000    |ST-L    |2020AJ....160...83S
3897|CPD-68 3233                                                                                              |Star                                  |19 26 44.3104425648 -68 37 21.146238552|327.0842788815569 -28.3191618283829|   1.721 -6.492   |10.32    |~               |    ~     ~          |    1| 1548.467   pc  | -44.5982    +44.5982    |paral   |2020yCat.1350....0G
3898|GSC 09083-00265                                                                                          |Double or Multiple Star               |19 18 28.9317474408 -67 17 23.467529868|328.5297927778507 -27.4569951284220|  6.631 -10.837   |10.807   |~               |    ~     ~          |    1|  239.297   pc  |  -2.8080     +2.8080    |ST-L    |2020AJ....160...83S
3899|TYC 9083-1619-1                                                                                          |Star                                  |19 18 34.9878863352 -66 32 46.581419364|329.3649733379889 -27.3979842602360|   2.685 -7.679   |10.84    |~               |    ~     ~          |    1|  694.493   pc  | -31.9100    +31.9100    |ST-L    |2020AJ....160...83S
3900|TYC 9305-547-1                                                                                           |Star                                  |19 23 34.2441610488 -67 44 08.385461556|328.0702714725218 -27.9765919826976|   21.530 0.808   |10.795   |~               |    ~     ~          |    1|  377.517   pc  |  -7.0330     +7.0330    |ST-L    |2020AJ....160...83S
3901|TYC 9305-978-1                                                                                           |High Proper Motion Star               |19 15 03.4414359456 -68 18 38.606423292|327.3520026211352 -27.2284027021327|  5.145 -50.233   |10.671   |~               |    ~     ~          |    1|  254.289   pc  |  -3.2020     +3.2020    |ST-L    |2020AJ....160...83S
3902|TYC 9305-1031-1                                                                                          |Star                                  |19 20 15.1349504280 -68 47 26.037898116|326.8564859849619 -27.7407704655651|  5.359 -24.388   |10.885   |~               |    ~     ~          |    1|  285.137   pc  | -26.0800    +26.0800    |ST-L    |2020AJ....160...83S
3903|TYC 9305-1309-1                                                                                          |Star                                  |19 15 04.5448163280 -68 38 27.563558244|326.9822874460741 -27.2605768230142|   2.404 -9.619   |10.96    |~               |    ~     ~          |    1|  443.912   pc  |  -2.4238     +2.4238    |paral   |2020yCat.1350....0G
3904|CD-66 2293                                                                                               |Star                                  |19 19 36.4554437568 -66 15 42.693219792|329.6949541621918 -27.4730118261359|   -2.214 6.559   |9.92     |~               |    ~     ~          |    1|  997.307   pc  | -14.0242    +14.0242    |paral   |2020yCat.1350....0G
3905|HD 180775                                                                                                |Star                                  |19 22 32.2731243216 -66 10 01.822823148|329.8310755679202 -27.7588636796383|  -2.561 10.399   |8.24     |K3III           |    ~     ~          |    1|  357.756   pc  |  -5.0172     +5.0172    |paral   |2020yCat.1350....0G
3906|HD 180865                                                                                                |High Proper Motion Star               |19 22 49.6663167268 -66 09 07.033273637|329.8509730269117 -27.7867872154960| 2.401 -362.783   |8.92     |K2V             |    ~     ~          |    1|   44.8974  pc  |  -0.0296     +0.0296    |paral   |2020yCat.1350....0G
3907|V* V368 Pav                                                                                              |Spectroscopic Binary                  |19 21 37.2462551376 -66 43 26.118515640|329.1956294040645 -27.7137704091366|  7.918 -18.588   |8.91     |A8/9V           |    ~     ~          |    1|  356.557   pc  |  -6.2804     +6.2804    |paral   |2020yCat.1350....0G
3908|HD 180838                                                                                                |Star                                  |19 22 54.9149207664 -66 35 00.933322884|329.3653631154829 -27.8303234231141|  -8.296 -1.628   |7.91     |K1III           |    ~     ~          |    1|  266.503   pc  |  -3.7260     +3.7260    |ST-L    |2020AJ....160...83S
3909|HD 180910                                                                                                |Star                                  |19 23 17.0997912312 -66 45 47.703905892|329.1659459108648 -27.8806374511618|   4.345 -3.959   |9.67     |K0              |    ~     ~          |    1| 1050.972   pc  | -15.1322    +15.1322    |paral   |2020yCat.1350....0G
3910|HD 180936                                                                                                |High Proper Motion Star               |19 23 16.6129161024 -66 26 38.036856984|329.5260543126232 -27.8552902770392| 34.865 -62.468   |9.75     |F6/7            |    ~     ~          |    1|  187.913   pc  |  -1.8480     +1.8480    |ST-L    |2020AJ....160...83S
3911|HD 181652                                                                                                |Star                                  |19 26 08.1974761248 -66 44 33.269959392|329.2115771487340 -28.1598864290077| 19.907 -18.033   |9.52     |G8/K0(III)      |    ~     ~          |    1|  545.971   pc  |  -3.9049     +3.9049    |paral   |2020yCat.1350....0G
3912|CD-67 2329                                                                                               |Star                                  |19 21 54.9897773304 -66 52 49.873846620|329.0219493482911 -27.7554769633399|  13.598 -4.727   |9.70     |~               |    ~     ~          |    1|  615.946   pc  | -20.2400    +20.2400    |ST-L    |2020AJ....160...83S
3913|CD-67 2333                                                                                               |Star                                  |19 24 48.0236682648 -67 13 32.718234000|328.6553443428882 -28.0608279085070|  -1.403 -1.166   |10.43    |~               |    ~     ~          |    1|  279.369   pc  |  -4.4910     +4.4910    |ST-L    |2020AJ....160...83S
3914|HD 181352                                                                                                |Star                                  |19 25 11.1491997192 -67 31 14.061048744|328.3244790055832 -28.1163996768842|  3.500 -18.083   |9.41     |K2/3            |    ~     ~          |    1|  613.610   pc  |  -5.8360     +5.8360    |paral   |2020yCat.1350....0G
3915|HD 182253                                                                                                |Star                                  |19 29 05.3684188632 -68 37 31.878576048|327.0905448058695 -28.5333345961922|  12.907 32.416   |9.18     |F2V             |    ~     ~          |    1|  176.045   pc  |  -3.2520     +3.2520    |ST-L    |2020AJ....160...83S
3916|HD 182290                                                                                                |Double or Multiple Star               |19 29 19.5508304592 -68 33 17.823931416|327.1716839931476 -28.5524411532330| 15.127 -16.904   |9.20     |K2/3            |0.0033  0.0          |    1|  748.503   pc  |  -9.1882     +9.1882    |paral   |2020yCat.1350....0G
3917|IRAS 19239-6742                                                                                          |Long-Period Variable                  |19 29 06.4227362880 -67 36 45.368666280|328.2424648616012 -28.4948155460169|-12.021 -14.028   |10.686   |~               |    ~     ~          |    1| 2204.586   pc  |-128.7952   +128.7952    |paral   |2020yCat.1350....0G
3918|CD-66 2295                                                                                               |Star                                  |19 21 14.7339410784 -66 17 24.160038504|329.6802042062553 -27.6396451823296|  5.978 -21.685   |10.10    |~               |    ~     ~          |    1|  269.428   pc  |  -4.3940     +4.3940    |ST-L    |2020AJ....160...83S
3919|CD-66 2297                                                                                               |Star                                  |19 21 52.1646651576 -66 18 47.228613660|329.6603590469466 -27.7040879793705|    1.398 7.208   |10.613   |~               |    ~     ~          |    1|  339.922   pc  |  -5.9260     +5.9260    |ST-L    |2020AJ....160...83S
3920|CD-68 2084                                                                                               |Star                                  |19 28 34.1711140344 -68 10 55.668501372|327.5926469596185 -28.4686647450212|  8.916 -25.674   |10.336   |~               |    ~     ~          |    1|  437.931   pc  |  -9.8340     +9.8340    |ST-L    |2020AJ....160...83S
3921|CD-68 2086                                                                                               |Star                                  |19 29 04.6742403696 -68 04 52.779934272|327.7094321719377 -28.5118706383301|    4.503 4.923   |10.394   |~               |    ~     ~          |    1|  292.662   pc  | -13.1100    +13.1100    |ST-L    |2020AJ....160...83S
3922|TYC 9083-685-1                                                                                           |Star                                  |19 23 44.4510810552 -67 03 29.587451796|328.8367331957753 -27.9467789041397|  8.114 -10.853   |10.63    |~               |    ~     ~          |    1| 1106.980   pc  | -55.0100    +55.0100    |ST-L    |2020AJ....160...83S
3923|CPD-68 3229                                                                                              |Star                                  |19 26 05.2769756808 -67 49 10.484522868|327.9914758244005 -28.2191939331738|   -3.273 0.597   |10.862   |~               |    ~     ~          |    1|  580.260   pc  | -21.0400    +21.0400    |ST-L    |2020AJ....160...83S
3924|CD-67 2339                                                                                               |Star                                  |19 26 59.1329704896 -67 33 42.429053196|328.2889272675893 -28.2903550808953|  -0.898 -1.313   |10.43    |~               |    ~     ~          |    1| 1363.200   pc  | -94.0400    +94.0400    |ST-L    |2020AJ....160...83S
3925|CPD-68 3247                                                                                              |Double or Multiple Star               |19 29 40.5472337184 -68 33 17.091549540|327.1731499074727 -28.5844013055200|    2.232 2.915   |10.480   |~               |    ~     ~          |    1|  634.642   pc  | -24.0600    +24.0600    |ST-L    |2020AJ....160...83S
3926|CD-66 2309                                                                                               |High Proper Motion Star               |19 27 11.0367100776 -65 59 42.018682884|330.0657287463921 -28.2154491595835| 35.330 -45.549   |9.62     |~               |    ~     ~          |    1|  442.165   pc  |  -3.7538     +3.7538    |paral   |2020yCat.1350....0G
3927|HD 181433                                                                                                |High Proper Motion Star               |19 25 09.5666936172 -66 28 07.676956827|329.5138068587781 -28.0446191022452|-230.723 235.806  |8.38     |K3III-IV        |    ~     ~          |    1|   26.9898  pc  |  -0.0153     +0.0153    |paral   |2020yCat.1350....0G
3928|HD 182028                                                                                                |Star                                  |19 27 25.6738140312 -66 07 19.097348088|329.9237919127168 -28.2485394736703|  6.900 -10.254   |8.68     |A1V             |    ~     ~          |    1|  233.897   pc  |  -3.6580     +3.6580    |ST-L    |2020AJ....160...83S
3929|HD 182029                                                                                                |Star                                  |19 27 33.2148466944 -66 31 21.421220592|329.4707019569152 -28.2863469354522|   3.100 -8.341   |9.26     |K0/2(III)       |    ~     ~          |    1|  591.226   pc  |  -4.7888     +4.7888    |paral   |2020yCat.1350....0G
3930|HD 182467                                                                                                |High Proper Motion Star               |19 29 32.4933302856 -66 38 10.827806316|329.3542945438413 -28.4899851359933|63.403 -108.487   |9.40     |G8IV            |    ~     ~          |    1|  136.061   pc  |  -0.9671     +0.9671    |ST-L    |2020AJ....160...83S
3931|HD 182485                                                                                                |Star                                  |19 29 45.4157278704 -67 18 30.062327652|328.5915471077569 -28.5434793968251| -1.457 -17.867   |7.70     |G8/K0III        |    ~     ~          |    1|  230.378   pc  |  -0.8651     +0.8651    |paral   |2020yCat.1350....0G
3932|CD-67 2341                                                                                               |Star                                  |19 29 46.8688336200 -67 17 54.119552640|328.6030202333030 -28.5453670636327|   2.214 -8.685   |10.08    |~               |    ~     ~          |    1| 1851.509   pc  | -75.4179    +75.4179    |paral   |2020yCat.1350....0G
3933|CPD-67 3647                                                                                              |High Proper Motion Star               |19 29 48.4165937448 -67 18 51.887951748|328.5848969375566 -28.5485676957255| 19.339 -52.961   |9.32     |F/G             |    ~     ~          |    1|  216.046   pc  |  -2.1960     +2.1960    |ST-L    |2020AJ....160...83S
3934|TYC 9305-184-1                                                                                           |Star                                  |19 28 21.1980219936 -67 54 00.415212984|327.9121227455236 -28.4363625520934|   6.301 -4.525   |10.789   |~               |    ~     ~          |    1| 2353.660   pc  |-268.9000   +268.9000    |ST-L    |2020AJ....160...83S
3935|TYC 9083-1128-1                                                                                          |Star                                  |19 25 34.2165237792 -66 06 43.219092204|329.9204103812939 -28.0602755386841|  -28.923 2.176   |10.770   |~               |    ~     ~          |    1|  862.882   pc  | -41.2600    +41.2600    |ST-L    |2020AJ....160...83S
3936|TYC 9083-1173-1                                                                                          |High Proper Motion Star               |19 23 41.5621111224 -66 42 06.674962500|329.2386321982022 -27.9161918973336| 45.130 -62.798   |10.481   |~               |    ~     ~          |    1|  219.137   pc  |  -2.5230     +2.5230    |ST-L    |2020AJ....160...83S
3937|TYC 9096-12-1                                                                                            |Star                                  |19 28 32.8824575208 -66 31 31.760520600|329.4740654862665 -28.3853835601579| 10.107 -28.710   |10.739   |~               |    ~     ~          |    1|  222.693   pc  |  -2.6270     +2.6270    |ST-L    |2020AJ....160...83S
3938|TYC 9096-396-1                                                                                           |Star                                  |19 28 29.8114893360 -66 38 32.604160488|329.3410732699496 -28.3869020901456|  -0.357 -3.929   |10.909   |~               |    ~     ~          |    1| 1257.260   pc  | -70.7700    +70.7700    |ST-L    |2020AJ....160...83S
3939|TYC 9096-726-1                                                                                           |Star                                  |19 28 36.5958761040 -66 08 44.616985584|329.9053669704182 -28.3693555103172|   12.041 0.224   |10.82    |~               |    ~     ~          |    1|  352.089   pc  |  -6.6000     +6.6000    |ST-L    |2020AJ....160...83S
3940|TYC 9096-754-1                                                                                           |High Proper Motion Star               |19 26 56.1165270192 -66 04 28.436618388|329.9737242028300 -28.1956102210653| -2.064 -51.399   |10.621   |~               |    ~     ~          |    1|  237.574   pc  |  -3.5080     +3.5080    |ST-L    |2020AJ....160...83S
3941|TYC 9096-818-1                                                                                           |Star                                  |19 26 57.7821194904 -66 38 03.154090704|329.3401531621078 -28.2346312352426| 15.285 -46.877   |10.91    |~               |    ~     ~          |    1|  184.682   pc  |  -0.4775     +0.4775    |paral   |2020yCat.1350....0G
3942|TYC 9096-1089-1                                                                                          |Star                                  |19 28 51.8247304656 -66 05 43.352971764|329.9642434378279 -28.3919786047817| 10.252 -21.804   |10.492   |~               |    ~     ~          |    1|  799.031   pc  | -33.4300    +33.4300    |ST-L    |2020AJ....160...83S
3943|TYC 9305-176-1                                                                                           |Star                                  |19 26 27.3170917416 -67 53 36.558846924|327.9098004141379 -28.2577073366575|  21.171 -4.323   |10.862   |~               |    ~     ~          |    1|  233.970   pc  |  -2.9410     +2.9410    |ST-L    |2020AJ....160...83S
3944|HD 179523                                                                                                |Star                                  |19 17 40.7617288776 -65 58 57.850034592|329.9858660316654 -27.2511292658482| 18.047 -29.491   |9.56     |G8IV            |    ~     ~          |    1|  293.565   pc  |  -1.2927     +1.2927    |paral   |2020yCat.1350....0G
3945|HD 179065                                                                                                |Star                                  |19 15 21.3677027640 -63 54 12.481944588|332.2708113803263 -26.7617346087781|   20.613 5.069   |9.40     |F0/2V           |    ~     ~          |    1|  210.773   pc  |  -2.5860     +2.5860    |ST-L    |2020AJ....160...83S
3946|CD-64 1236                                                                                               |Star                                  |19 15 45.3730128744 -64 24 35.780936616|331.7142862613234 -26.8700272973575|   9.261 -6.810   |10.306   |~               |    ~     ~          |    1|  295.467   pc  |  -5.0450     +5.0450    |ST-L    |2020AJ....160...83S
3947|CD-64 1237                                                                                               |Star                                  |19 16 17.3262762192 -64 08 56.019430680|332.0127771493104 -26.8945573636714|   8.248 -6.578   |9.97     |~               |    ~     ~          |    1|  315.097   pc  |  -7.9270     +7.9270    |ST-L    |2020AJ....160...83S
3948|V* V367 Pav                                                                                              |Spectroscopic Binary                  |19 16 05.3979794184 -64 49 19.768499256|331.2604485552043 -26.9562507266484|  -7.235 -5.591   |9.03     |A8/9III/IV(m)   |    ~     ~          |    1|  428.761   pc  |  -3.2171     +3.2171    |paral   |2020yCat.1350....0G
3949|HD 179255                                                                                                |Star                                  |19 16 27.8698097640 -65 28 14.976961464|330.5425178082911 -27.0712712680380| 18.556 -43.493   |9.68     |F5/6V           |    ~     ~          |    1|  289.076   pc  |  -3.3175     +3.3175    |paral   |2020yCat.1350....0G
3950|HD 179419                                                                                                |Be Star                               |19 17 00.5211991800 -65 13 39.730476972|330.8210605164012 -27.1000466100004| -3.758 -24.408   |6.39     |B8IVe           |    ~     ~          |    1|  246.463   pc  |  -2.7699     +2.7699    |paral   |2020yCat.1350....0G
3951|HD 179776                                                                                                |Spectroscopic Binary                  |19 18 30.4465520760 -65 38 56.670925524|330.3691651375721 -27.3007193740540|  10.590 -9.508   |9.06     |K3III           |    ~     ~          |    1| 1162.656   pc  | -24.0615    +24.0615    |paral   |2020yCat.1350....0G
3952|CD-65 2552                                                                                               |Star                                  |19 19 27.2458871496 -65 36 55.282768632|330.4181824553416 -27.3943996518770|  -11.820 2.543   |9.905    |~               |    ~     ~          |    1|  735.341   pc  | -29.5600    +29.5600    |ST-L    |2020AJ....160...83S
3953|HD 180345                                                                                                |Double or Multiple Star               |19 20 45.2526 -65 36 18.537            |330.4444902 -27.5269649            | -0.410 -12.392   |9.84     |K2III           |    ~     ~          |    0|                |                         |        |                   
3954|HD 180736                                                                                                |Star                                  |19 22 18.9390129624 -65 55 58.639845720|330.0925659460406 -27.7164242601107| -2.508 -17.396   |9.69     |F5V             |    ~     ~          |    1|  229.934   pc  |  -2.8670     +2.8670    |ST-L    |2020AJ....160...83S
3955|CD-65 2551                                                                                               |Double or Multiple Star               |19 18 23.0006436696 -64 55 05.495973564|331.1849889715982 -27.2092173270631|  2.393 -21.472   |10.033   |~               |    ~     ~          |    1|  656.383   pc  |  -6.0317     +6.0317    |paral   |2020yCat.1350....0G
3956|TYC 9079-2002-1                                                                                          |Star                                  |19 16 31.7775294264 -64 33 49.149259560|331.5547291003269 -26.9716327264594| -2.634 -18.438   |10.353   |~               |    ~     ~          |    1|  644.719   pc  | -23.6600    +23.6600    |ST-L    |2020AJ....160...83S
3957|TYC 9079-764-1                                                                                           |Star                                  |19 17 06.7676389560 -64 34 10.044102360|331.5567005479479 -27.0344888482519| -0.588 -11.274   |10.511   |~               |    ~     ~          |    1|  839.676   pc  | -27.4400    +27.4400    |ST-L    |2020AJ....160...83S
3958|CPD-63 4511                                                                                              |Star                                  |19 22 58.0179531312 -63 14 17.665676988|333.1270764720532 -27.5226478848595|  5.196 -25.745   |10.07    |~               |    ~     ~          |    1|  350.953   pc  |  -7.0420     +7.0420    |ST-L    |2020AJ....160...83S
3959|HD 181177                                                                                                |High Proper Motion Star               |19 23 36.4944039648 -63 11 30.918263640|333.1877900900718 -27.5894887281583|-84.177 -135.435  |8.03     |G2/3V           |    ~     ~          |    1|   70.364   pc  |  -0.3158     +0.3158    |ST-L    |2020AJ....160...83S
3960|HD 180344                                                                                                |Star                                  |19 20 19.6670891256 -63 28 42.270025008|332.8208134461658 -27.2556950678312|  17.293 -7.870   |9.13     |K0III           |    ~     ~          |    1|  439.174   pc  |  -3.2789     +3.2789    |paral   |2020yCat.1350....0G
3961|HD 181872                                                                                                |Star                                  |19 26 23.1296613624 -63 13 47.856588744|333.1808263859052 -27.9046623405675|  45.840 -0.813   |7.91     |F8V             |    ~     ~          |    1|   49.697   pc  |  -0.0479     +0.0479    |paral   |2020yCat.1350....0G
3962|HD 182162                                                                                                |High Proper Motion Star               |19 27 27.4115175840 -63 12 57.793942152|333.2093248561948 -28.0234917599112|  3.158 -64.072   |9.32     |K3III           |    ~     ~          |    1|  408.948   pc  |  -2.5922     +2.5922    |paral   |2020yCat.1350....0G
3963|HD 180528                                                                                                |Double or Multiple Star               |19 21 03.9381238920 -63 51 56.389879584|332.3981868822402 -27.3808587337618|  6.335 -21.997   |9.490    |F2/3V           |0.0033  0.0          |    1|  887.837   pc  |-317.2000   +317.2000    |ST-L    |2020AJ....160...83S
3964|CD-64 1239                                                                                               |Star                                  |19 21 49.4892544368 -64 16 58.257592464|331.9407838475984 -27.5079541148650|  4.386 -14.698   |10.30    |~               |    ~     ~          |    1|  338.945   pc  |  -9.8300     +9.8300    |ST-L    |2020AJ....160...83S
3965|CD-64 1240                                                                                               |Double or Multiple Star               |19 22 24.4642712856 -64 32 17.875123908|331.6613330849868 -27.5964529525714|  22.219 -0.897   |10.586   |~               |    ~     ~          |    1|  286.213   pc  | -22.5111    +22.5111    |paral   |2020yCat.1350....0G
3966|HD 181463                                                                                                |Star                                  |19 24 49.4520663672 -63 54 54.741077928|332.3905696580191 -27.7972831533116| -9.575 -14.737   |9.742    |G8IV            |    ~     ~          |    1|  535.678   pc  | -14.1900    +14.1900    |ST-L    |2020AJ....160...83S
3967|CD-64 1242                                                                                               |Star                                  |19 26 25.7560672584 -64 00 13.090550184|332.3092841946993 -27.9808319280381|   0.744 -0.325   |10.365   |~               |    ~     ~          |    1|  754.996   pc  | -22.9200    +22.9200    |ST-L    |2020AJ....160...83S
3968|CD-64 1243                                                                                               |Double or Multiple Star               |19 26 50.466576 -64 21 16.57512        |331.917575417 -28.055747087        |      -5.4 10.9   |10.654   |~               |    ~     ~          |    1|  294.885   pc  | +43.139     +15         |ST-L    |2017AJ....153...75K
3969|HD 180579                                                                                                |Star                                  |19 21 37.4999689944 -65 03 19.390941612|331.0715386332850 -27.5643107423695|-12.337 -35.746   |9.29     |K0III           |    ~     ~          |    1|  270.497   pc  |  -1.1561     +1.1561    |paral   |2020yCat.1350....0G
3970|HD 180935                                                                                                |Star                                  |19 23 00.8951156592 -65 11 28.366688868|330.9344157408313 -27.7226148744222|    9.674 6.520   |8.56     |G8III           |    ~     ~          |    1|  306.044   pc  |  -4.8710     +4.8710    |ST-L    |2020AJ....160...83S
3971|HD 181018                                                                                                |Star                                  |19 23 23.1196364616 -65 34 43.689523908|330.5019797164637 -27.7952639674487| 13.135 -13.602   |7.26     |ApSi            |    ~     ~          |    1|  227.731   pc  |  -3.7780     +3.7780    |ST-L    |2020AJ....160...83S
3972|HD 181138                                                                                                |Star                                  |19 23 50.1004525056 -65 24 51.990208560|330.6916401214065 -27.8276310859174|  5.527 -13.594   |8.21     |M1/2III         |    ~     ~          |    1|  645.453   pc  |  -7.8323     +7.8323    |paral   |2020yCat.1350....0G
3973|CD-65 2560                                                                                               |Star                                  |19 24 01.1440 -65 38 49.088            |330.4314070 -27.8661945            | 17.070 -39.614   |9.86     |~               |    ~     ~          |    1|  165.911   pc  |  -1.4800     +1.4800    |ST-L    |2020AJ....160...83S
3974|CD-65 2563                                                                                               |Star                                  |19 24 29.3107 -64 56 03.643            |331.2392600 -27.8544293            |  10.028 -1.994   |10.01    |~               |    ~     ~          |    1|  425.411   pc  |  -9.9610     +9.9610    |ST-L    |2020AJ....160...83S
3975|HD 181379                                                                                                |Double or Multiple Star               |19 24 56.5758 -65 43 45.189            |330.3472980 -27.9676019            |      -0.2 14.2   |9.05     |A7V             |    ~     ~          |    0|                |                         |        |                   
3976|HD 181794                                                                                                |Star                                  |19 26 21.7117010760 -65 11 46.793357340|330.9621316262477 -28.0728472155992|   8.020 -7.613   |7.97     |A0V             |    ~     ~          |    1|  205.457   pc  |  -1.3297     +1.3297    |paral   |2020yCat.1350....0G
3977|HD 181956                                                                                                |Star                                  |19 27 01.2946738680 -65 20 40.577903772|330.8004423676294 -28.1528898873159|  8.625 -29.866   |8.85     |F8V             |    ~     ~          |    1|  288.925   pc  | -13.8323    +13.8323    |paral   |2020yCat.1350....0G
3978|HD 181957                                                                                                |Star                                  |19 27 09.5056147776 -65 40 39.043742268|330.4249383911860 -28.1910253285275| 35.446 -11.860   |8.33     |G8/K0III        |    ~     ~          |    1|  326.648   pc  |  -2.0059     +2.0059    |paral   |2020yCat.1350....0G
3979|CD-65 2569                                                                                               |Star                                  |19 27 27.1117438728 -64 55 07.955525496|331.2858148749581 -28.1660609206530|  8.634 -31.126   |9.84     |~               |    ~     ~          |    1|  292.900   pc  |  -5.2210     +5.2210    |ST-L    |2020AJ....160...83S
3980|HD 182333                                                                                                |Spectroscopic Binary                  |19 28 48.8525458752 -65 41 45.799861056|330.4168827892393 -28.3623155296712|23.129 -102.507   |9.28     |G0V             |    ~     ~          |    1|  162.109   pc  |  -0.5466     +0.5466    |paral   |2020yCat.1350....0G
3981|CPD-65 3801                                                                                              |Star                                  |19 29 17.2210901640 -64 51 15.253609032|331.3751257844620 -28.3555442907150|  6.937 -14.092   |10.210   |~               |    ~     ~          |    1|  159.418   pc  |  -1.4640     +1.4640    |ST-L    |2020AJ....160...83S
3982|HD 182548                                                                                                |Star                                  |19 29 32.6376798648 -64 53 04.371952200|331.3429001742576 -28.3848514493147| 20.441 -11.981   |9.05     |G8III           |    ~     ~          |    1|  245.863   pc  |  -1.0639     +1.0639    |paral   |2020yCat.1350....0G
3983|NGC 6776A                          ESO 104-52                                                            |Galaxy                                |19 25 05.361 -63 41 00.51              |332.654505 -27.804160              |            ~ ~   |     ~   |~               |0.970 0.272          |    0|                |                         |        |                   
3984|NGC 6776                           NAME Pentagon                      NGC 6776                           |Galaxy                                |19 25 19.1485272024 -63 51 36.633840408|332.4583490439160 -27.8462813862352|            ~ ~   |11.99    |~               |1.090 0.785          |    1|   74.4     Mpc |                         |        |2008MNRAS.389.1924F
3985|V* V370 Pav                                                                                              |Long-Period Variable                  |19 24 25.5632083656 -63 21 41.454966456|333.0082158983952 -27.6986204423649|  3.045 -14.639   |8.42     |M4II            |    ~     ~          |    1|  812.216   pc  | -26.4537    +26.4537    |paral   |2020yCat.1350....0G
3986|NGC 6784                           NGC 6784A                          NGC 6784                           |Interacting Galaxies                  |19 26 33.7 -65 37 24                   |330.4812 -28.1258                  |            ~ ~   |     ~   |~               |1.230 0.602          |    1|   78.34    Mpc |                         |        |2016AJ....152...50T
3987|TYC 9079-1173-1                                                                                          |Star                                  |19 17 09.7946072088 -64 21 14.582967120|331.7974982554176 -27.0140815949711|   3.727 -4.771   |10.478   |~               |    ~     ~          |    1|  900.848   pc  | -30.0500    +30.0500    |ST-L    |2020AJ....160...83S
3988|TYC 9079-1381-1                                                                                          |Spectroscopic Binary                  |19 18 07.8425142096 -64 31 09.466802004|331.6270539221320 -27.1372318842544|-10.083 -33.425   |10.845   |~               |    ~     ~          |    1|  302.660   pc  |  -6.9900     +6.9900    |ST-L    |2020AJ....160...83S
3989|TYC 9079-1798-1                                                                                          |Star                                  |19 19 08.1664814040 -64 07 39.632094048|332.0784236424001 -27.2002413026122|  2.253 -28.248   |10.494   |~               |    ~     ~          |    1|  769.917   pc  | -27.3200    +27.3200    |ST-L    |2020AJ....160...83S
3990|TYC 9079-1698-1                                                                                          |Star                                  |19 21 07.5980785104 -64 11 12.421577076|332.0394429225235 -27.4223849330477|  0.183 -17.820   |10.766   |~               |    ~     ~          |    1|  644.970   pc  | -25.8000    +25.8000    |ST-L    |2020AJ....160...83S
3991|CD-65 2555                                                                                               |Star                                  |19 22 10.7844078504 -65 11 53.917487736|330.9172982574730 -27.6360483694227|  2.997 -14.072   |9.62     |~               |    ~     ~          |    1|  752.219   pc  |  -9.6192     +9.6192    |paral   |2020yCat.1350....0G
3992|CD-65 2556                                                                                               |High Proper Motion Star               |19 22 34.8435942936 -64 52 38.303094936|331.2825538895111 -27.6477872782735| 25.159 -68.349   |10.380   |~               |    ~     ~          |    1|  249.399   pc  |  -3.2560     +3.2560    |ST-L    |2020AJ....160...83S
3993|TYC 9075-391-1                                                                                           |High Proper Motion Star               |19 22 57.4160649528 -63 32 32.884615140|332.7858204791258 -27.5541713668572|-14.956 -62.346   |10.427   |~               |    ~     ~          |    1|  159.861   pc  |  -1.3300     +1.3300    |ST-L    |2020AJ....160...83S
3994|TYC 9079-179-1                                                                                           |Star                                  |19 24 02.5810169616 -63 57 47.450735784|332.3272305335506 -27.7165288748096| -4.744 -24.300   |10.625   |~               |    ~     ~          |    1|  671.270   pc  | -26.5900    +26.5900    |ST-L    |2020AJ....160...83S
3995|TYC 9079-678-1                                                                                           |Star                                  |19 24 17.9812878600 -64 53 21.269353668|331.2880780630752 -27.8305207878323|   -6.698 8.335   |10.790   |~               |    ~     ~          |    1|  296.523   pc  |  -4.6360     +4.6360    |ST-L    |2020AJ....160...83S
