C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
3261|TYC 2389-1802-1                                                                                          |Star                           |05 13 12.1686660888 +31 03 20.786053644|174.3555960571137 -04.6836112555285|   -8.001 2.551    |10.85    |~                 |    ~     ~    
3262|TYC 2392-498-1                                                                                           |Star                           |05 04 22.9210127496 +32 26 38.820590664|172.1172830949891 -05.3705307559934|  4.762 -11.279    |10.79    |~                 |    ~     ~    
3263|TYC 2393-35-1                                                                                            |Spectroscopic Binary           |05 07 27.1737920568 +32 17 54.298697280|172.6245499712418 -04.9387609614957|  -2.653 -9.430    |10.81    |~                 |    ~     ~    
3264|GSC 02393-00163                                                                                          |Double or Multiple Star        |05 09 01.8427594872 +32 25 32.066618052|172.7207366556341 -04.5952560721118|-18.290 -23.866    |10.783   |~                 |    ~     ~    
3265|TYC 2393-260-1                                                                                           |Star                           |05 07 21.1633980816 +32 41 52.060813872|172.2901837768016 -04.7175357188279|   8.058 -6.419    |10.60    |~                 |    ~     ~    
3266|TYC 2393-274-1                                                                                           |Star                           |05 07 28.5447912576 +32 46 51.439415844|172.2387044364858 -04.6471617491588| 13.933 -24.046    |10.27    |~                 |    ~     ~    
3267|TYC 2393-502-1                                                                                           |Star                           |05 08 38.0674752336 +32 01 58.230047388|172.9881047364822 -04.8956971716840|  -6.626 -4.713    |10.51    |~                 |    ~     ~    
3268|TYC 2393-1299-1                                                                                          |Star                           |05 10 53.4761433720 +32 40 46.300793196|172.7478043621327 -04.1289103791682|   5.417 -8.916    |10.65    |~                 |    ~     ~    
3269|TYC 2393-1344-1                                                                                          |Star                           |05 11 32.3412474720 +32 29 07.558486656|172.9856482435502 -04.1328791246545|  -0.690 -5.543    |10.79    |~                 |    ~     ~    
3270|TYC 2393-1353-1                                                                                          |Star                           |05 14 51.9623424552 +32 34 10.887876840|173.3280634010662 -03.5146847398723|  7.401 -12.894    |10.4     |~                 |    ~     ~    
3271|HD 282881                                                                                                |Star                           |05 04 05.6245623336 +29 55 22.239770808|174.1062830313174 -06.9358430295186|  8.068 -17.766    |9.92     |F2                |    ~     ~    
3272|HD 32407                                                                                                 |Star                           |05 04 11.1983556624 +29 54 11.060270064|174.1343839002945 -06.9315987336337|  -7.021 -1.322    |8.97     |A                 |    ~     ~    
3273|HD 32429                                                                                                 |Double or Multiple Star        |05 04 26.56642 +29 37 46.8492          |174.38843237 -07.05096550          |    -3.53 -7.82    |8.63     |A0                |    ~     ~    
3274|HD 282887                                                                                                |Star                           |05 04 56.1565946640 +29 36 44.064628524|174.4671335917995 -06.9755325405599|  -3.901 12.702    |9.82     |K2                |    ~     ~    
3275|HD 32520                                                                                                 |Star                           |05 04 58.2876 +29 58 32.399            |174.1784294 -06.7519740            |       -1.7 8.2    |7.87     |K0                |    ~     ~    
3276|HD 32684                                                                                                 |Star                           |05 06 12.8888818488 +29 45 53.773929180|174.5106772323063 -06.6615402071998| 12.436 -34.420    |8.36     |F0                |    ~     ~    
3277|HD 284053                                                                                                |Star                           |05 04 22.0998425376 +28 39 35.568838332|175.1621335702255 -07.6442269417786|-10.521 -12.187    |9.31     |K0                |    ~     ~    
3278|BD+28 741                                                                                                |Double or Multiple Star        |05 04 44.6848838688 +28 41 52.933587792|175.1810137141139 -07.5552221663780|  -2.681 -4.616    |10.11    |F5                |    ~     ~    
3279|HD 32479                                                                                                 |Star                           |05 04 44.5312929816 +28 44 48.481154088|175.1412160192453 -07.5265588265052|   3.004 -8.377    |8.29     |G5                |    ~     ~    
3280|HD 282897                                                                                                |Star                           |05 04 51.1719408816 +29 11 10.620246084|174.8003715354246 -07.2446432701520|   3.979 -9.380    |10.14    |A7                |    ~     ~    
3281|HD 282905                                                                                                |Star                           |05 06 11.4591492432 +28 56 01.761623016|175.1803750688189 -07.1603183234460| 10.104 -16.791    |10.20    |K7                |    ~     ~    
3282|HD 284065                                                                                                |T Tauri Star                   |05 05 59.6596737960 +28 07 16.944153600|175.8135057402985 -07.6777848984236| -2.477 -38.985    |9.963    |G0                |    ~     ~    
3283|HD 240635                                                                                                |Star                           |05 06 42.7770473136 +28 09 20.431029744|175.8804339824062 -07.5298888032893| -8.405 -16.485    |9.59     |A0                |    ~     ~    
3284|HD 282902                                                                                                |Star                           |05 04 25.1439716544 +29 01 42.040850376|174.8709128326679 -07.4150188136717|  -2.202 -1.633    |10.13    |A2                |    ~     ~    
3285|HD 282903                                                                                                |Star                           |05 04 42.2790129792 +29 04 51.162102696|174.8660768620424 -07.3335819657977|   2.812 -7.275    |10.08    |A2                |    ~     ~    
3286|HD 284054                                                                                                |Star                           |05 05 30.4641512136 +28 39 48.797753220|175.3095727731368 -07.4414375566437|   8.384 -9.225    |10.20    |A0                |    ~     ~    
3287|HD 282879                                                                                                |Star                           |05 05 40.3905030792 +29 59 40.450675740|174.2546092170058 -06.6188538888866|  -0.523 -5.628    |10.15    |K0                |    ~     ~    
3288|HD 284069                                                                                                |Star                           |05 04 03.6504812688 +27 32 15.562508712|176.0303332052297 -08.3686910725156| 27.273 -21.713    |9.61     |F0                |    ~     ~    
3289|HD 32480                                                                                                 |Star                           |05 04 37.9639497024 +27 41 45.689271828|175.9781434802065 -08.1725740491515| 25.952 -40.412    |6.606    |F0III             |    ~     ~    
3290|HD 284068                                                                                                |Star                           |05 05 00.3804485712 +27 41 37.366139400|176.0297535247590 -08.1074995779691|  -18.899 3.745    |9.55     |F2                |    ~     ~    
3291|HD 284066                                                                                                |Star                           |05 05 13.0733412408 +27 57 53.958323808|175.8376680724611 -07.9085091199366| -2.878 -39.248    |10.36    |G5                |    ~     ~    
3292|HD 284067                                                                                                |Double or Multiple Star        |05 05 15.436 +27 39 36.10              |176.090477 -08.082868              |    -31.9 -11.0    |9.5      |G0                |    ~     ~    
3293|IRAS 05011+2929                                                                                          |Star                           |05 04 18.3350140752 +29 33 46.926339084|174.4242067497931 -07.1147669521519|   4.845 -8.618    |10.79    |~                 |    ~     ~    
3294|IRAS 05018+2753                                                                                          |Star                           |05 04 56.1203043672 +27 57 09.196322544|175.8102581756137 -07.9660463761925|   12.226 4.266    |10.94    |~                 |    ~     ~    
3295|HD 241076                                                                                                |Star                           |05 09 51.5616028656 +30 17 39.654409380|174.5517321571838 -05.7124073259545|  -2.172 -3.230    |10.93    |F8                |    ~     ~    
3296|HD 241260                                                                                                |Star                           |05 11 01.9312377672 +30 13 09.243944004|174.7624228377959 -05.5517144358889|  9.865 -17.420    |10.61    |K0                |    ~     ~    
3297|HD 33365                                                                                                 |High Proper Motion Star        |05 11 04.7611851144 +30 18 08.783827452|174.7007384759255 -05.4946427600201| -59.396 22.965    |8.50     |K0                |    ~     ~    
3298|HD 241370                                                                                                |Star                           |05 11 49.6646370720 +30 19 46.557377148|174.7737185625387 -05.3478589011239|  -0.462 -1.861    |9.64     |A0                |    ~     ~    
3299|HD 33570                                                                                                 |Star                           |05 12 26.4772009728 +30 13 04.171109232|174.9425786578645 -05.3057495652088|-16.088 -27.905    |8.60     |F8                |    ~     ~    
3300|HD 241464                                                                                                |Star                           |05 12 30.1798113864 +30 16 17.603365872|174.9065933173696 -05.2635511669621|  -1.249 -9.685    |9.70     |A7                |    ~     ~    
3301|HD 33829                                                                                                 |Star                           |05 14 14.4439866000 +30 23 59.526525012|175.0210886662813 -04.8840173953839|   -7.453 2.245    |7.15     |F0                |    ~     ~    
3302|HD 32810                                                                                                 |Double or Multiple Star        |05 07 00.3308590632 +30 04 04.459634580|174.3682303823064 -06.3435549132851|      5.7 -20.5    |8.79     |A2                |    ~     ~    
3303|HD 240787                                                                                                |Star                           |05 07 52.2798405096 +30 10 30.764511120|174.3931877576179 -06.1291900096840|  -4.849 -5.532    |9.77     |G5                |    ~     ~    
3304|HD 241705                                                                                                |Star                           |05 14 02.4405484872 +30 04 07.952602368|175.2663803374910 -05.1114203222492|   0.806 -5.882    |10.37    |A2                |    ~     ~    
3305|HD 241785                                                                                                |Star                           |05 14 33.1611894672 +30 06 53.938193724|175.2932046726520 -04.9944689433619|   2.890 -4.500    |8.52     |M0                |    ~     ~    
3306|HD 240724                                                                                                |Star                           |05 07 22.4216187360 +29 40 30.125797824|174.7340160578646 -06.5126579270735| 12.506 -16.443    |9.95     |K2                |    ~     ~    
3307|HD 240821                                                                                                |Star                           |05 08 04.0743732096 +29 13 23.911962384|175.1905041029355 -06.6584513953270|  -1.625 -8.081    |9.26     |K2                |    ~     ~    
3308|LS V +29 1                                                                                               |Star                           |05 08 44.8662405768 +29 08 13.527440268|175.3487801044514 -06.5896262987643|  -0.737 -2.850    |10.61    |B                 |    ~     ~    
3309|HD 33107                                                                                                 |High Proper Motion Star        |05 09 19.1554700736 +29 35 38.966154324|175.0511909578398 -06.2195504468310|65.267 -141.641    |9.286    |G5                |    ~     ~    
3310|HD 33136                                                                                                 |Star                           |05 09 26.7286194840 +29 56 45.835632492|174.7815439173041 -05.9899802147476| -9.784 -12.784    |9.14     |A3                |    ~     ~    
3311|HD 33185                                                                                                 |Spectroscopic Binary           |05 09 43.7085706680 +29 47 55.092804180|174.9376687422736 -06.0272776967920|   55.227 1.225    |6.66     |F8V               |    ~     ~    
3312|HD 33169                                                                                                 |High Proper Motion Star        |05 09 38.9170058256 +29 47 25.555567128|174.9340763420211 -06.0461121804855|   65.669 1.881    |8.40     |G0                |    ~     ~    
3313|HD 241216                                                                                                |Star                           |05 10 44.7950715432 +29 48 46.918442916|175.0564946251839 -05.8401511981701|   -2.313 1.613    |9.37     |K2                |    ~     ~    
3314|HD 33382                                                                                                 |High Proper Motion Star        |05 11 06.6872936400 +29 47 01.690782828|175.1269586372243 -05.7931831816611| 28.846 -47.162    |8.51     |F5                |    ~     ~    
3315|HD 33413                                                                                                 |Star                           |05 11 18.1465729464 +29 43 47.802571896|175.1952389780552 -05.7911498523448|  4.061 -22.174    |7.11     |A0                |    ~     ~    
3316|HD 241283                                                                                                |Double or Multiple Star        |05 11 19.5712904976 +29 36 59.743301544|175.2906309095990 -05.8533495379995|-10.100 -10.535    |10.285   |F8                |    ~     ~    
3317|HD 33463                                                                                                 |Variable Star                  |05 11 38.3113157256 +29 54 12.829294548|175.0966812085696 -05.6304017668365|  7.895 -21.036    |6.423    |M2III             |    ~     ~    
3318|HD 241395                                                                                                |Star                           |05 11 59.2282850640 +29 30 44.114794812|175.4601980947869 -05.7977904972831|  -4.292 -6.478    |9.43     |M0                |    ~     ~    
3319|HD 33621                                                                                                 |Star                           |05 12 50.8281331800 +29 20 07.646654508|175.7143182463183 -05.7487789186990|   0.090 -3.060    |9.30     |A2                |    ~     ~    
3320|HD 33706                                                                                                 |Double or Multiple Star        |05 13 17.2841594376 +29 58 55.270783416|175.2422223168020 -05.2944566661773|       0.5 -3.1    |9.25     |B9                |    ~     ~    
3321|HD 241652                                                                                                |Star                           |05 13 43.9305996504 +29 27 12.691839024|175.7304403773463 -05.5232905603936|   1.442 -6.274    |8.99     |M0                |    ~     ~    
3322|HD 241801                                                                                                |High Proper Motion Star        |05 14 43.0309369128 +29 18 31.076963424|175.9740051437899 -05.4324375647288| 33.132 -46.514    |9.63     |F8                |    ~     ~    
3323|HD 240789                                                                                                |Star                           |05 07 53.9929285392 +28 57 59.739321672|175.3771152801126 -06.8398541409223|  -0.799 -4.965    |9.85     |M0                |    ~     ~    
3324|HD 32962                                                                                                 |Star                           |05 08 08.7953373504 +28 22 32.661084000|175.8896603555196 -07.1451894314996| -3.724 -47.474    |8.77     |F2                |    ~     ~    
3325|HD 33034                                                                                                 |Star                           |05 08 35.3374905840 +28 16 24.425734008|176.0307673467551 -07.1268550924112|  -1.296 -2.789    |6.98     |A2                |    ~     ~    
3326|HD 33120                                                                                                 |Star                           |05 09 27.1684432152 +29 07 01.206289884|175.4564330498678 -06.4770599545980|   0.104 -0.955    |8.94     |A0                |    ~     ~    
3327|HD 33170                                                                                                 |Star                           |05 09 42.0184543920 +29 08 35.434079124|175.4671326070977 -06.4179554411251|-20.508 -30.600    |8.78     |G0                |    ~     ~    
3328|HD 33325                                                                                                 |Star                           |05 10 44.6232512376 +28 43 39.210134484|175.9406249397625 -06.4769980096738|   0.974 -7.143    |8.27     |A0                |    ~     ~    
3329|HD 33414                                                                                                 |Star                           |05 11 20.7253696440 +28 59 29.559544692|175.8027965053021 -06.2156929517235|  3.886 -15.331    |8.06     |A0                |    ~     ~    
3330|HD 33584                                                                                                 |Star                           |05 12 35.6704219128 +28 56 55.771980756|175.9980162604635 -06.0187574554659|   1.819 -6.332    |8.91     |A0                |    ~     ~    
3331|HD 33787                                                                                                 |Star                           |05 13 56.9057012088 +28 13 26.849867952|176.7649834303745 -06.1975012230148|  40.188 14.851    |9.25     |G5                |    ~     ~    
3332|HD 241752                                                                                                |Star                           |05 14 23.3881608840 +28 51 02.991992184|176.3075487481297 -05.7557089748674|  0.745 -10.609    |10.21    |K0                |    ~     ~    
3333|HD 240676                                                                                                |High Proper Motion Star        |05 06 58.4217216312 +28 09 19.622739960|175.9149447076534 -07.4837098807204| 81.613 -66.798    |9.93     |K0                |    ~     ~    
3334|LEE 175                                                                                                  |Carbon Star                    |05 11 11.8331974368 +29 38 21.196748580|175.2556946493585 -05.8628149158370|   0.632 -3.057    |10.36    |C6,3J             |    ~     ~    
3335|Cl Melotte 25 132                                                                                        |Double or Multiple Star        |05 09 45.47288 +28 02 01.0407          |176.37890112 -07.05936238          |   57.27 -59.04    |8.623    |G7                |    ~     ~    
3336|HD 33204                                                                                                 |Eclipsing Binary               |05 09 45.0937327344 +28 01 49.686514248|176.3806511551260 -07.0623415542637| 58.273 -57.890    |5.997    |A7VAm:            |    ~     ~    
3337|HD 33657                                                                                                 |High Proper Motion Star        |05 12 55.3774564920 +27 46 25.584436884|177.0023132347378 -06.6429612173708|-63.831 -18.612    |9.21     |F8                |    ~     ~    
3338|IRAS 05087+2911                                                                                          |Star                           |05 11 53.6699603160 +29 15 15.942737088|175.6587331847778 -05.9647604663495|  -0.798 -7.909    |10.89    |~                 |    ~     ~    
3339|HD 240766                                                                                                |Spectroscopic Binary           |05 07 40.2553553952 +29 07 36.199659504|175.2172856596656 -06.7854579684647|  13.388 -4.422    |10.56    |F5                |    ~     ~    
3340|1RXS J051111.1+281353                                                                                    |T Tauri Star                   |05 11 10.5428004216 +28 13 50.514120444|176.4022215364562 -06.6905658567374|  6.557 -25.341    |10.69    |K0V               |    ~     ~    
3341|HD 282871                                                                                                |Star                           |05 05 49.0345081992 +30 13 05.983317804|174.0926501310715 -06.4602713102666|  1.272 -16.029    |10.43    |F5                |    ~     ~    
3342|TYC 1853-1452-1                                                                                          |High Proper Motion Star        |05 06 13.8881874984 +27 31 58.577801196|176.3231359833935 -07.9845489995187|28.097 -131.980    |10.52    |~                 |    ~     ~    
3343|TYC 1857-140-1                                                                                           |Star                           |05 08 00.1803302784 +29 53 49.308138672|174.6355634081507 -06.2710943928805|   -4.286 5.142    |9.39     |~                 |    ~     ~    
3344|TYC 1857-305-1                                                                                           |Star                           |05 07 39.4091858040 +29 53 09.497496660|174.5997850127914 -06.3380840799590|   2.024 -6.086    |10.74    |~                 |    ~     ~    
3345|TYC 1857-567-1                                                                                           |Star                           |05 06 30.9546353664 +28 47 14.991749232|175.3416040431052 -07.1900324370745| 16.639 -37.066    |9.65     |~                 |    ~     ~    
3346|TYC 1857-570-1                                                                                           |High Proper Motion Star        |05 07 56.0106733824 +29 27 45.455866560|174.9788326595743 -06.5404776965266| 9.407 -113.153    |9.93     |~                 |    ~     ~    
3347|TYC 1857-609-1                                                                                           |Star                           |05 06 58.6791105384 +29 18 47.919913380|174.9756960707464 -06.7966187582059|  3.425 -16.679    |10.55    |~                 |    ~     ~    
3348|TYC 1857-681-1                                                                                           |Star                           |05 06 34.2629977560 +29 53 21.073104996|174.4564911392782 -06.5254891788816|  -4.461 -7.420    |10.66    |~                 |    ~     ~    
3349|TYC 1857-712-1                                                                                           |Star                           |05 06 37.6139463600 +29 10 37.764136632|175.0402332757407 -06.9390884306075|    0.782 8.030    |10.59    |~                 |    ~     ~    
3350|TYC 1857-777-1                                                                                           |Star                           |05 06 17.1607917432 +29 28 40.282452480|174.7522113692291 -06.8200330132853|   4.695 -3.532    |10.39    |~                 |    ~     ~    
3351|TYC 1857-1041-1                                                                                          |Star                           |05 08 15.4575816600 +28 47 58.417516212|175.5594490925014 -06.8753681662250| -1.139 -17.751    |10.62    |~                 |    ~     ~    
3352|TYC 1857-1108-1                                                                                          |Star                           |05 07 54.5955124872 +28 34 15.931670340|175.6998220959708 -07.0718338325162|     2.70 -3.70    |10.31    |~                 |    ~     ~    
3353|TYC 1857-1376-1                                                                                          |Star                           |05 08 48.0421647144 +29 48 46.214340552|174.8067630229525 -06.1814369224515| -1.973 -10.050    |10.53    |~                 |    ~     ~    
3354|TYC 1857-1592-1                                                                                          |Star                           |05 07 28.1520848952 +28 48 47.560375296|175.4455007317070 -07.0066014763613| -2.091 -13.913    |10.27    |~                 |    ~     ~    
3355|TYC 1858-71-1                                                                                            |Star                           |05 11 33.5749974912 +28 50 28.860011304|175.9529491627107 -06.2654448704881|  -2.088 -0.457    |10.54    |~                 |    ~     ~    
3356|TYC 1858-247-1                                                                                           |Star                           |05 14 17.9569287168 +28 16 15.129346296|176.7715969015437 -06.1074340120568|  -0.249 -1.543    |10.56    |~                 |    ~     ~    
3357|TYC 1858-302-1                                                                                           |Star                           |05 11 45.3299784528 +29 28 04.906603308|175.4666657455908 -05.8645382256126|   0.730 -3.966    |10.91    |~                 |    ~     ~    
3358|TYC 1858-385-1                                                                                           |Star                           |05 11 11.5931777160 +28 53 42.391767264|175.8618994910196 -06.2991010512391|  8.335 -17.906    |10.21    |~                 |    ~     ~    
3359|TYC 1858-460-1                                                                                           |Star                           |05 11 50.8571874048 +29 56 26.742083640|175.0930049358135 -05.5718955125416|   1.411 -6.054    |10.66    |~                 |    ~     ~    
3360|TYC 1858-534-1                                                                                           |Star                           |05 10 22.6557506784 +29 38 55.998000132|175.1427933523102 -06.0013711568310|-26.678 -13.954    |10.29    |~                 |    ~     ~    
3361|TYC 1858-551-1                                                                                           |Star                           |05 12 52.7260040616 +28 53 17.211326460|176.0840615879782 -06.0035074448597| -1.528 -10.210    |10.35    |~                 |    ~     ~    
3362|TYC 1858-590-1                                                                                           |Star                           |05 14 10.5932893800 +29 34 26.034932676|175.6883303636525 -05.3746999330092|   9.049 -8.347    |10.80    |~                 |    ~     ~    
3363|TYC 1858-690-1                                                                                           |Star                           |05 11 16.9125236496 +29 24 38.537899704|175.4527667588629 -05.9817052425546|  -6.427 -6.281    |10.98    |~                 |    ~     ~    
3364|TYC 1858-723-1                                                                                           |Spectroscopic Binary           |05 10 45.9819633336 +28 42 48.191025348|175.9551130879908 -06.4812712525844|-10.946 -53.725    |10.59    |~                 |    ~     ~    
3365|TYC 1858-754-1                                                                                           |Star                           |05 11 19.6973976816 +29 13 02.647261776|175.6163392463126 -06.0866248229753|  -0.380 -2.294    |10.83    |~                 |    ~     ~    
3366|TYC 1858-759-1                                                                                           |High Proper Motion Star        |05 13 18.1993716240 +28 13 16.480182972|176.6845106654223 -06.3149859708988| 59.903 -16.233    |10.35    |~                 |    ~     ~    
3367|TYC 1858-782-1                                                                                           |Star                           |05 13 55.2295848816 +29 49 28.644421296|175.4508555877838 -05.2744683036593|   4.752 -5.986    |10.56    |~                 |    ~     ~    
3368|TYC 1858-795-1                                                                                           |Star                           |05 14 47.3579526840 +28 30 25.025158980|176.6404992704771 -05.8830448866352|  -11.960 5.860    |10.44    |~                 |    ~     ~    
3369|TYC 1858-812-1                                                                                           |Star                           |05 10 09.5112314832 +29 15 33.038923608|175.4318331404491 -06.2688767878899|  7.317 -27.476    |10.32    |~                 |    ~     ~    
3370|TYC 1858-885-1                                                                                           |High Proper Motion Star        |05 10 19.1449153296 +29 34 09.287130576|175.2000923301846 -06.0584469353834|   1.582 77.435    |10.14    |~                 |    ~     ~    
3371|TYC 1858-887-1                                                                                           |Star                           |05 11 55.7431905360 +29 53 47.463567612|175.1394335615159 -05.5834556566966|  7.871 -17.370    |10.6     |~                 |    ~     ~    
3372|TYC 1858-910-1                                                                                           |Spectroscopic Binary           |05 13 09.2384862744 +29 10 56.666355960|175.8785615963022 -05.7834118705430|   8.683 20.421    |9.94     |~                 |    ~     ~    
3373|TYC 1858-942-1                                                                                           |Star                           |05 12 49.9571934072 +29 09 46.851829488|175.8533919950297 -05.8517481089559| 10.323 -19.395    |10.59    |~                 |    ~     ~    
3374|TYC 1858-967-1                                                                                           |Star                           |05 10 31.2763934640 +29 12 18.263513304|175.5226287486793 -06.2365629443049|   7.096 -6.244    |10.21    |~                 |    ~     ~    
3375|TYC 2389-685-1                                                                                           |Star                           |05 09 08.0194650720 +30 03 39.390549732|174.6482353091276 -05.9767181235759|  8.892 -15.681    |10.83    |~                 |    ~     ~    
3376|TYC 2389-887-1                                                                                           |Star                           |05 08 35.6236784616 +30 14 57.215207868|174.4261684141708 -05.9596033006457|   5.305 -3.474    |10.97    |~                 |    ~     ~    
3377|TYC 2389-927-1                                                                                           |Star                           |05 09 01.9798000128 +30 16 59.222293284|174.4550614731051 -05.8630691341852| -5.288 -25.453    |10.43    |~                 |    ~     ~    
3378|TYC 2389-1148-1                                                                                          |Variable Star                  |05 12 21.3512992824 +30 06 34.883491464|175.0199031863304 -05.3838972632254|  0.824 -15.470    |10.96    |~                 |    ~     ~    
3379|TYC 2389-1412-1                                                                                          |Star                           |05 13 56.5111175640 +30 01 07.464886464|175.2948831075883 -05.1579504132450| -6.103 -18.432    |9.92     |~                 |    ~     ~    
3380|TYC 2389-1508-1                                                                                          |Star                           |05 13 40.8926224416 +30 03 51.727229676|175.2247256342095 -05.1772744793657|   0.765 -3.694    |10.72    |~                 |    ~     ~    
3381|TYC 2389-1540-1                                                                                          |Star                           |05 10 22.6529921040 +30 18 08.546446908|174.6113802755891 -05.6172644130702|  4.556 -12.834    |10.31    |~                 |    ~     ~    
3382|TYC 2389-1666-1                                                                                          |Star                           |05 14 37.3576984128 +30 07 46.312342392|175.2901078903856 -04.9737113502033|  -0.921 -3.428    |10.76    |~                 |    ~     ~    
3383|TYC 2389-1708-1                                                                                          |Star                           |05 14 39.8420475264 +30 09 51.623573256|175.2668464296446 -04.9462391951482|   4.007 -4.498    |10.63    |~                 |    ~     ~    
3384|HD 240709                                                                                                |Star                           |05 07 15.8305657680 +29 14 52.871938296|175.0658685923510 -06.7851721713046|   1.924 -5.420    |9.92     |M2                |    ~     ~    
3385|HD 32509                                                                                                 |Young Stellar Object           |05 04 50.1335426736 +26 43 14.786719752|176.7979305377942 -08.7162604333655| 13.895 -31.742    |7.52     |A2e               |    ~     ~    
3386|HD 284074                                                                                                |Star                           |05 04 50.3443496568 +26 52 59.932269336|176.6661060225641 -08.6191163057380|  -14.206 4.585    |9.04     |F2                |    ~     ~    
3387|HD 284080                                                                                                |Star                           |05 05 17.5551769752 +26 25 28.285394088|177.1006069906337 -08.8096404983812| 10.188 -10.589    |9.14     |K0                |    ~     ~    
3388|HD 240622                                                                                                |Double or Multiple Star        |05 06 33.7762512240 +26 29 43.755371484|177.2127321283697 -08.5383711120589| 20.908 -37.532    |8.94     |G0                |0.0017  0.0    
3389|HD 284084                                                                                                |Star                           |05 06 47.0682411648 +26 05 59.513848116|177.5655722337344 -08.7314846346205|  -1.007 -8.987    |9.45     |K0                |    ~     ~    
3390|HD 284072                                                                                                |Star                           |05 06 32.3391439584 +27 22 03.395474652|176.4984799794320 -08.0274300324666|-19.312 -23.727    |10.75    |F8                |    ~     ~    
3391|HD 284075                                                                                                |Young Stellar Object Candidate |05 03 57.9946472640 +26 58 28.909581780|176.4747861505035 -08.7210903249687|   0.770 -5.051    |10.93    |B8                |    ~     ~    
3392|HD 284073                                                                                                |Star                           |05 05 55.1453492472 +26 58 00.173084340|176.7425408934500 -08.3758170765751|   2.169 -3.283    |10.94    |A2                |    ~     ~    
3393|HD 284079                                                                                                |Star                           |05 04 32.9366577216 +26 25 56.095235940|176.9943962699522 -08.9391141639748| 11.372 -22.325    |10.20    |F8                |    ~     ~    
3394|HD 284082                                                                                                |Star                           |05 06 21.4309611360 +26 38 21.992859312|177.0677820327821 -08.4905201561679|   22.497 2.655    |10.59    |F2                |    ~     ~    
3395|HD 240596                                                                                                |High Proper Motion Star        |05 06 10.4686937376 +25 05 25.040832504|178.3101275052175 -09.4369079591870|-23.854 -48.857    |9.56     |G5                |    ~     ~    
3396|HD 284094                                                                                                |Star                           |05 04 01.8402672552 +24 55 21.502169328|178.1567300638515 -09.9279850113655|-28.838 -17.388    |10.25    |F2                |    ~     ~    
3397|HD 284097                                                                                                |Star                           |05 05 07.0050613536 +24 44 22.726907232|178.4543514751454 -09.8372168179464|    6.101 2.747    |10.96    |A0                |    ~     ~    
3398|HD 284096                                                                                                |Star                           |05 05 25.9871661072 +24 45 51.188781276|178.4771490765121 -09.7647040615649|   0.175 -7.911    |10.23    |A0                |    ~     ~    
3399|HD 284095                                                                                                |Spectroscopic Binary           |05 05 35.8314273960 +24 52 01.536868740|178.4150372293785 -09.6740325480844|  -6.727 -4.296    |10.28    |G0                |    ~     ~    
3400|IRAS 05012+2453                                                                                          |Star                           |05 04 17.4990691104 +24 58 03.914948028|178.1553335653294 -09.8535998210044|  -3.366 -2.820    |10.65    |M1                |    ~     ~    
3401|HD 32656                                                                                                 |Star                           |05 05 53.4112986744 +26 25 47.757271656|177.1762946752743 -08.6985882252749|   0.740 -8.638    |6.61     |~                 |    ~     ~    
3402|HD 33137                                                                                                 |Star                           |05 09 19.0262624112 +27 17 55.506760692|176.9213739719860 -07.5693176768690|-25.720 -39.641    |8.74     |K2                |    ~     ~    
3403|HD 241665                                                                                                |High Proper Motion Star        |05 13 45.1463913600 +27 14 23.861235804|177.5477815632535 -06.8021034250378|  7.599 -50.876    |9.72     |G0                |    ~     ~    
3404|BD+26 786                                                                                                |Star                           |05 06 55.8163911624 +26 41 12.563929140|177.1055050572512 -08.3591963157691|  -1.235 -9.541    |10.93    |M0                |    ~     ~    
3405|HD 32835                                                                                                 |Spectroscopic Binary           |05 07 05.1485560800 +26 59 45.298259052|176.8739619086023 -08.1488753558044|   2.524 -5.922    |7.71     |F5V               |    ~     ~    
3406|HD 32963                                                                                                 |High Proper Motion Star        |05 07 55.7640826464 +26 19 40.674925236|177.5317304091500 -08.3896472180554|-69.896 -66.118    |7.59     |G5IV              |    ~     ~    
3407|HD 240889                                                                                                |High Proper Motion Star        |05 08 19.1305236576 +26 26 50.831727360|177.4857027736432 -08.2488999063738| 63.904 -90.679    |10.99    |G0                |    ~     ~    
3408|HD 241106                                                                                                |Star                           |05 09 52.1471638128 +26 29 32.440423956|177.6540583749097 -07.9413272591557|   0.289 -0.651    |9.87     |A0                |    ~     ~    
3409|HD 241123                                                                                                |High Proper Motion Star        |05 10 02.4780625824 +26 43 58.547960580|177.4795952138035 -07.7695901480718| 30.091 -45.923    |9.26     |K5                |    ~     ~    
3410|HD 241138                                                                                                |Double or Multiple Star        |05 10 04.5121635504 +26 45 12.756783168|177.4671682880565 -07.7514079222498| 30.043 -46.407    |9.11     |G5                |0.0017  0.0    
3411|HD 33622                                                                                                 |Double or Multiple Star        |05 12 37.7266088688 +26 15 27.363162672|178.2094188168154 -07.5747969449063|  2.699 -55.700    |8.40     |F8                |    ~     ~    
