C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
79  |BD+48 1200                                                                                               |Star                           |05 01 41.1985939584 +49 05 03.339686364|158.5908981273196 +04.3578011969329|  -0.229 -1.689    |10.61    |~                 |    ~     ~    
80  |TYC 3348-131-1                                                                                           |Star                           |05 01 39.1478928168 +48 41 23.103199752|158.9007693119453 +04.1124983457684| -7.333 -19.773    |10.68    |~                 |    ~     ~    
81  |TYC 3348-173-1                                                                                           |Star                           |05 01 25.5445082184 +48 39 29.297611116|158.9029309060925 +04.0635532357705|    1.687 5.619    |10.31    |~                 |    ~     ~    
82  |TYC 3348-209-1                                                                                           |Star                           |05 02 27.7392180168 +48 42 20.167271136|158.9698633294365 +04.2280846659673|  7.649 -15.655    |10.74    |~                 |    ~     ~    
83  |TYC 3348-226-1                                                                                           |Star                           |05 00 39.2741452800 +48 07 35.503797612|159.2455354953381 +03.6367641776695|   1.373 -4.008    |10.08    |~                 |    ~     ~    
84  |TYC 3348-363-1                                                                                           |Star                           |05 03 40.3903242168 +47 05 47.588095968|160.3740810038470 +03.4112789747743|   3.338 -7.514    |10.69    |~                 |    ~     ~    
85  |TYC 3348-457-1                                                                                           |Star                           |05 00 18.7586709528 +48 23 37.354117164|158.9991844525884 +03.7558755867831|  -0.832 -3.343    |10.61    |~                 |    ~     ~    
86  |TYC 3348-493-1                                                                                           |Star                           |05 01 34.5756781584 +48 21 12.742591968|159.1598646151692 +03.8971047964477|    2.713 3.450    |9.77     |~                 |    ~     ~    
87  |TYC 3348-566-1                                                                                           |Star                           |05 01 36.0563234952 +48 31 28.149067812|159.0267314794073 +04.0048038713279|    2.233 0.560    |10.28    |~                 |    ~     ~    
88  |TYC 3348-718-1                                                                                           |Star                           |05 00 08.8852740480 +48 20 25.385822052|159.0245122906006 +03.7015459915969|   1.899 -0.946    |10.88    |~                 |    ~     ~    
89  |TYC 3348-772-1                                                                                           |Star                           |05 02 44.1571129848 +48 21 47.134049544|159.2700161561741 +04.0556238057462|  -5.188 -1.707    |10.92    |~                 |    ~     ~    
90  |TYC 3348-804-1                                                                                           |Star                           |05 00 58.9267959552 +48 15 58.318535160|159.1685082680020 +03.7655229197947|-11.804 -10.663    |10.53    |~                 |    ~     ~    
91  |TYC 3348-825-1                                                                                           |Star                           |05 02 44.5553986992 +46 55 21.131540580|160.4158401178219 +03.1795279620890|  4.791 -16.477    |10.85    |~                 |    ~     ~    
92  |TYC 3348-839-1                                                                                           |Star                           |05 03 01.5500481936 +46 55 27.688887696|160.4438869229275 +03.2190000190002|  -1.577 -6.157    |10.42    |~                 |    ~     ~    
93  |TYC 3348-873-1                                                                                           |Star                           |05 00 40.4852266992 +47 20 33.162398124|159.8676125617865 +03.1582001933892|   0.263 -2.898    |10.05    |~                 |    ~     ~    
94  |TYC 3348-928-1                                                                                           |Star                           |05 03 15.3881584272 +48 06 16.611984108|159.5285964059626 +03.9673765078589|  -1.315 -3.332    |10.98    |~                 |    ~     ~    
95  |TYC 3348-949-1                                                                                           |Star                           |05 00 12.2775972336 +48 28 07.132684836|158.9288963663618 +03.7877784997370|  3.741 -11.095    |10.67    |~                 |    ~     ~    
96  |TYC 3348-989-1                                                                                           |Star                           |05 00 54.6075115464 +47 48 15.706273500|159.5267542897830 +03.4729319535822|  4.294 -23.315    |9.94     |~                 |    ~     ~    
97  |TYC 3348-1030-1                                                                                          |Star                           |05 01 46.7976545880 +47 54 30.139778376|159.5338298535068 +03.6519812559641| -11.583 20.426    |10.76    |~                 |    ~     ~    
98  |TYC 3348-1171-1                                                                                          |Star                           |05 02 23.4688519800 +47 30 43.562964204|159.9112127519842 +03.4915554086952|   2.182 -2.743    |10.36    |~                 |    ~     ~    
99  |TYC 3348-1203-1                                                                                          |Star                           |05 00 11.4240948600 +47 33 06.362671284|159.6519069395743 +03.2221908337984|   0.047 -2.439    |10.69    |~                 |    ~     ~    
100 |TYC 3348-1277-1                                                                                          |High Proper Motion Star        |05 02 06.5180808096 +47 58 41.770270200|159.5120326066612 +03.7382488155991| 44.062 -81.497    |9.38     |~                 |    ~     ~    
101 |TYC 3348-1329-1                                                                                          |Star                           |05 02 29.5873568712 +48 13 14.002509756|159.3587457608956 +03.9368240738013|   0.821 -6.563    |10.20    |~                 |    ~     ~    
102 |TYC 3349-31-1                                                                                            |Star                           |05 05 11.7895091424 +48 42 44.781892668|159.2382210309330 +04.5912779454778|   5.714 -1.697    |10.83    |~                 |    ~     ~    
103 |TYC 3349-73-1                                                                                            |Star                           |05 05 20.1797907888 +48 42 46.011850020|159.2518707877792 +04.6099088733954|   2.891 -9.832    |10.51    |~                 |    ~     ~    
104 |TYC 3349-103-1                                                                                           |Star                           |05 04 51.6493007952 +48 35 23.048900808|159.3029823115058 +04.4731175676982|  -6.681 -8.007    |10.79    |~                 |    ~     ~    
105 |TYC 3349-408-1                                                                                           |Star                           |05 05 35.9965552368 +48 22 23.367941616|159.5504044392900 +04.4405565841322| -15.694 -7.928    |10.83    |~                 |    ~     ~    
106 |TYC 3349-468-1                                                                                           |Star                           |05 08 42.9691469280 +48 06 12.572106336|160.0782927616074 +04.6956021975007|   3.908 -3.128    |10.68    |~                 |    ~     ~    
107 |TYC 3349-529-1                                                                                           |Star                           |05 05 00.0499843896 +48 31 39.670450212|159.3666532321329 +04.4542121600881| -2.986 -34.147    |10.30    |~                 |    ~     ~    
108 |TYC 3349-689-1                                                                                           |Star                           |05 06 58.7575801944 +48 30 28.131423948|159.5798119749684 +04.7043861584075| -5.745 -10.471    |10.15    |~                 |    ~     ~    
109 |TYC 3349-832-1                                                                                           |Star                           |05 07 48.0234205368 +48 09 36.553611564|159.9414205149998 +04.6064546338705|  2.940 -31.475    |10.81    |~                 |    ~     ~    
110 |TYC 3349-965-1                                                                                           |High Proper Motion Star        |05 04 09.2308682544 +48 17 09.673774584|159.4747795575239 +04.1962666025113| 15.205 -90.420    |10.52    |~                 |    ~     ~    
111 |TYC 3349-990-1                                                                                           |Star                           |05 04 16.3563268992 +47 40 14.858550516|159.9779476229733 +03.8399459517069|      8.7 -25.3    |10.90    |~                 |    ~     ~    
112 |TYC 3349-1161-1                                                                                          |Star                           |05 09 18.6974195640 +47 25 01.925119380|160.6921019151635 +04.3691035283940| 13.648 -32.194    |10.25    |~                 |    ~     ~    
113 |TYC 3349-1172-1                                                                                          |Star                           |05 05 16.1269746144 +47 33 09.420583752|160.1739717613680 +03.9024258964624|   2.062 -4.517    |10.94    |~                 |    ~     ~    
114 |TYC 3349-1174-1                                                                                          |Star                           |05 05 57.4592763144 +47 58 14.393477064|159.9090077580060 +04.2463950096233|   1.619 -6.459    |9.89     |~                 |    ~     ~    
