C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
3336|TYC 2235-527-1                                                                                           |Star                                |23 07 19.9725209304 +23 47 04.199201340|094.2480044952979 -33.2242419572239|  -6.123 -0.920  |10.56    |~                   |    ~     ~    |    1|  715.103   pc  | -11.0968    +11.0968  |paral   |2020yCat.1350....0G
3337|TYC 2235-535-1                                                                                           |High Proper Motion Star             |23 08 42.3521665848 +23 52 01.530413868|094.6264605730877 -33.2968265776813| 66.282 -18.411  |10.66    |~                   |    ~     ~    |    1|  191.891   pc  |  -0.7180     +0.7180  |paral   |2020yCat.1350....0G
3338|TYC 2235-638-1                                                                                           |Star                                |23 04 57.0691593048 +23 49 45.080584680|093.6996224810622 -32.9282428691193| 28.801 -14.611  |10.47    |~                   |    ~     ~    |    1|  283.198   pc  |  -1.1950     +1.1950  |paral   |2020yCat.1350....0G
3339|TYC 2235-741-1                                                                                           |Star                                |23 08 02.4201776952 +22 44 10.799681136|093.8307688093191 -34.2265594879017|   36.205 2.008  |10.72    |~                   |    ~     ~    |    1|  185.584   pc  |  -1.0573     +1.0573  |paral   |2020yCat.1350....0G
3340|TYC 2235-775-1                                                                                           |Star                                |23 08 58.2710224392 +22 47 22.828844580|094.0904362871206 -34.2797246061624|   6.487 -1.290  |10.15    |~                   |    ~     ~    |    1|  635.728   pc  |  -6.2643     +6.2643  |paral   |2020yCat.1350....0G
3341|TYC 2235-792-1                                                                                           |Star                                |23 07 36.2101823280 +23 46 18.651257652|094.3064351287926 -33.2643083583434|  4.255 -11.450  |10.46    |~                   |    ~     ~    |    1|  812.018   pc  | -12.0665    +12.0665  |paral   |2020yCat.1350....0G
3342|TYC 2235-919-1                                                                                           |Star                                |23 04 04.1801553768 +23 54 26.914457916|093.5331373380230 -32.7633872141718|  46.914 -9.601  |10.05    |~                   |    ~     ~    |    1|  215.941   pc  |  -0.6715     +0.6715  |paral   |2020yCat.1350....0G
3343|TYC 2235-933-1                                                                                           |Star                                |23 07 15.2474263824 +23 50 27.030898104|094.2604009699157 -33.1660074794833|    8.204 0.516  |10.70    |~                   |    ~     ~    |    1|  966.837   pc  | -17.8542    +17.8542  |paral   |2020yCat.1350....0G
3344|TYC 2235-955-1                                                                                           |Star                                |23 05 30.2666635056 +24 16 57.409586976|094.0870243935526 -32.5885224858416|   4.146 -4.235  |10.42    |~                   |    ~     ~    |    1|  306.335   pc  |  -1.5390     +1.5390  |paral   |2020yCat.1350....0G
3345|TYC 2235-1010-1                                                                                          |Star                                |23 08 47.9771111712 +23 34 04.702849572|094.4836665903692 -33.5720219197292|   14.576 0.861  |10.96    |~                   |    ~     ~    |    1|  528.011   pc  |  -5.1577     +5.1577  |paral   |2020yCat.1350....0G
3346|TYC 2235-1108-1                                                                                          |Star                                |23 04 40.2724269312 +23 35 41.519477652|093.4993557671864 -33.1037806335261|-11.830 -16.566  |10.73    |~                   |    ~     ~    |    1|  842.815   pc  | -11.6495    +11.6495  |paral   |2020yCat.1350....0G
3347|TYC 2235-1331-1                                                                                          |Star                                |23 08 48.3228391776 +23 35 23.300043648|094.4971886478366 -33.5532751122626|   23.963 8.512  |10.81    |~                   |    ~     ~    |    1|  319.377   pc  |  -1.9482     +1.9482  |paral   |2020yCat.1350....0G
3348|TYC 2235-1340-1                                                                                          |Star                                |23 06 23.3560662792 +23 22 55.538784192|093.7933120419639 -33.4780440276537|   0.263 -5.832  |10.61    |~                   |    ~     ~    |    1|  869.187   pc  | -42.8361    +42.8361  |paral   |2020yCat.1350....0G
3349|TYC 2236-380-1                                                                                           |Star                                |23 11 50.9769678264 +24 20 43.395627192|095.6504961762469 -33.1969660312790|   8.923 -4.009  |10.38    |~                   |    ~     ~    |    1|  815.528   pc  |  -9.9098     +9.9098  |paral   |2020yCat.1350....0G
3350|GSC 02236-00385                                                                                          |Double or Multiple Star             |23 13 01.0420754832 +24 14 24.702940536|095.8793636470292 -33.4097564977208| 15.786 -24.773  |10.114   |~                   |    ~     ~    |    1|  181.650   pc  |  -0.7490     +0.7490  |paral   |2020yCat.1350....0G
3351|TYC 2236-408-1                                                                                           |Spectroscopic Binary                |23 14 50.5173198960 +23 26 09.301042824|095.9015241854306 -34.3156285626614|   2.103 -3.469  |10.64    |~                   |    ~     ~    |    1|  621.659   pc  | -23.6900    +23.6900  |paral   |2020yCat.1350....0G
3352|TYC 2236-516-1                                                                                           |Star                                |23 11 07.5179942472 +23 51 33.434724096|095.2116825128236 -33.5566009173433| -11.077 -9.029  |10.50    |~                   |    ~     ~    |    1|  771.486   pc  | -13.3323    +13.3323  |paral   |2020yCat.1350....0G
3353|TYC 2236-634-1                                                                                           |Star                                |23 13 42.6458748480 +22 39 10.350057384|095.1951389751907 -34.9011748274375|   19.992 3.222  |10.76    |~                   |    ~     ~    |    1|  719.166   pc  |  -9.5682     +9.5682  |paral   |2020yCat.1350....0G
3354|TYC 2236-774-1                                                                                           |High Proper Motion Star             |23 11 54.8383789776 +24 11 48.527520432|095.5865771938572 -33.3363690490833|-19.033 -47.121  |10.94    |~                   |    ~     ~    |    1|  101.128   pc  |  -0.1636     +0.1636  |paral   |2020yCat.1350....0G
3355|TYC 2236-1102-1                                                                                          |Star                                |23 12 53.8705733184 +23 51 17.874252648|095.6442645566949 -33.7425941630936|-11.197 -17.965  |10.82    |~                   |    ~     ~    |    1|  675.128   pc  |  -6.1533     +6.1533  |paral   |2020yCat.1350....0G
3356|TYC 2236-1166-1                                                                                          |Star                                |23 14 45.5640785808 +23 18 17.143192152|095.8108061376053 -34.4249613159235|  14.443 -6.430  |10.85    |~                   |    ~     ~    |    1|  602.918   pc  |  -7.7791     +7.7791  |paral   |2020yCat.1350....0G
3357|TYC 2236-1208-1                                                                                          |Pulsating Variable                  |23 10 33.2425293384 +23 15 16.686246744|094.7402476036806 -34.0354102241424|   22.113 6.933  |10.71    |~                   |    ~     ~    |    1|  437.809   pc  | -43.7215    +43.7215  |paral   |2020yCat.1350....0G
3358|TYC 2236-1219-1                                                                                          |Star                                |23 14 59.4962466240 +23 53 01.866266052|096.1765157677291 -33.9283359194523| -8.408 -12.566  |10.55    |~                   |    ~     ~    |    1|  707.164   pc  | -19.5031    +19.5031  |paral   |2020yCat.1350....0G
3359|TYC 2236-1229-1                                                                                          |Star                                |23 10 14.6609136048 +23 28 57.631378944|094.7898599576503 -33.8001259545674|  -1.751 -3.151  |10.33    |~                   |    ~     ~    |    1| 1034.447   pc  | -16.9073    +16.9073  |paral   |2020yCat.1350....0G
3360|TYC 2236-1343-1                                                                                          |Spectroscopic Binary                |23 12 09.7553257464 +23 09 40.717671768|095.0867177833252 -34.2866453666402|   5.338 -7.199  |10.76    |~                   |    ~     ~    |    1|  766.225   pc  | -14.5014    +14.5014  |paral   |2020yCat.1350....0G
3361|TYC 2236-1362-1                                                                                          |Star                                |23 12 26.1966794664 +24 08 49.222528188|095.6875727403515 -33.4342395006623|   8.170 -3.432  |10.69    |~                   |    ~     ~    |    1|  561.199   pc  |  -5.4485     +5.4485  |paral   |2020yCat.1350....0G
3362|TYC 2236-1383-1                                                                                          |Star                                |23 11 36.7983930312 +23 22 11.501599080|095.0648582397578 -34.0435789941380|-28.887 -10.626  |10.96    |~                   |    ~     ~    |    1|  844.381   pc  | -13.6179    +13.6179  |paral   |2020yCat.1350....0G
3363|TYC 2239-648-1                                                                                           |Star                                |23 07 45.1316304096 +24 39 19.407345480|094.8299396396712 -32.4971568517566|  18.018 -6.025  |10.33    |~                   |    ~     ~    |    1|  349.394   pc  |  -1.8678     +1.8678  |paral   |2020yCat.1350....0G
3364|TYC 2239-1130-1                                                                                          |High Proper Motion Star             |23 04 32.2707272136 +24 24 15.057065700|093.9250866313490 -32.3773560760547|-60.402 -132.954 |9.93     |~                   |    ~     ~    |    1|   86.805   pc  |  -0.1175     +0.1175  |paral   |2020yCat.1350....0G
3365|TYC 2239-1248-1                                                                                          |Star                                |23 05 59.8261413360 +24 24 43.722163692|094.2767552494638 -32.5269036491845|   2.518 -5.516  |10.86    |~                   |    ~     ~    |    1|  592.698   pc  |  -6.3232     +6.3232  |paral   |2020yCat.1350....0G
3366|TYC 2239-1437-1                                                                                          |Star                                |23 08 30.4067935320 +24 29 27.645363276|094.9209282455341 -32.7220542917537|-10.324 -45.631  |10.95    |~                   |    ~     ~    |    1|  146.929   pc  |  -0.3497     +0.3497  |paral   |2020yCat.1350....0G
3367|TYC 2240-338-1                                                                                           |Star                                |23 11 58.6222767462 +24 28 13.134912135|095.7482158743266 -33.0982020340282|   14.731 1.038  |10.95    |~                   |    ~     ~    |    0|                |                       |        |                   
3368|TYC 2240-424-1                                                                                           |Star                                |23 12 59.5353380736 +24 47 17.772676152|096.1630987570406 -32.9157892035887|   -5.542 1.228  |10.66    |~                   |    ~     ~    |    1|  787.836   pc  |  -9.1241     +9.1241  |paral   |2020yCat.1350....0G
3369|TYC 2240-1385-1                                                                                          |Star                                |23 10 18.7973531712 +24 39 46.553371884|095.4487038377020 -32.7561495674769| -10.012 -6.335  |9.61     |~                   |    ~     ~    |    1|  620.617   pc  |  -5.1227     +5.1227  |paral   |2020yCat.1350....0G
3370|HD 217424                                                                                                |Star                                |23 00 19.8493939104 +24 39 56.802674556|093.0837247485239 -31.6880460973420|  -7.253 -9.852  |9.72     |A2                  |    ~     ~    |    1|  364.312   pc  | -10.2330    +10.2330  |paral   |2020yCat.1350....0G
3371|BD+23 4661                                                                                               |Star                                |23 01 15.2221324296 +24 36 06.982317468|093.2628215827345 -31.8457588289998|   7.995 -7.557  |9.14     |K0                  |    ~     ~    |    1|  717.360   pc  |  -9.3658     +9.3658  |paral   |2020yCat.1350....0G
3372|BD+26 4544                                                                                               |Star                                |23 00 22.9507225176 +26 48 35.965129284|094.2997348777139 -29.8156386681740|   3.506 -8.432  |9.63     |F5                  |    ~     ~    |    1|  404.809   pc  |  -3.2282     +3.2282  |paral   |2020yCat.1350....0G
3373|BD+26 4545                                                                                               |Star                                |23 00 28.8843550488 +27 03 59.291462592|094.4629283283201 -29.6007517042839|-27.362 -27.910  |9.05     |F5                  |    ~     ~    |    1|  202.753   pc  |  -3.3545     +3.3545  |paral   |2020yCat.1350....0G
3374|BD+26 4556                                                                                               |Star                                |23 03 37.2817079928 +27 17 44.024434584|095.2960881915761 -29.7271521237981|    2.081 4.760  |10.92    |G0                  |    ~     ~    |    1| 1139.601   pc  | -22.3375    +22.3375  |paral   |2020yCat.1350....0G
3375|HD 217492                                                                                                |Spectroscopic Binary                |23 00 47.8890710136 +26 30 07.843911840|094.2241459132175 -30.1304153034073| 30.684 -18.216  |8.76     |F8                  |    ~     ~    |    1|  193.840   pc  |  -0.6726     +0.6726  |paral   |2020yCat.1350....0G
3376|V* V416 Peg                                                                                              |Eclipsing Binary                    |23 01 05.9083689384 +26 46 52.687115472|094.4459289716226 -29.9170136952678| -7.076 -16.642  |8.38     |A5                  |    ~     ~    |    1|  292.116   pc  |  -4.8895     +4.8895  |paral   |2020yCat.1350....0G
3377|BD+25 4859                                                                                               |Star                                |23 00 34.5496147104 +25 56 43.326420468|093.8641404541301 -30.5952113733235| 25.686 -10.237  |10.14    |G0                  |    ~     ~    |    1|  155.502   pc  |  -0.3675     +0.3675  |paral   |2020yCat.1350....0G
3378|BD+25 4865                                                                                               |Star                                |23 02 40.7198860488 +26 10 18.341545476|094.4718961473658 -30.6213413358923|  9.569 -14.472  |9.24     |K0                  |    ~     ~    |    1|  461.170   pc  |  -3.5730     +3.5730  |paral   |2020yCat.1350....0G
3379|BD+24 4695                                                                                               |High Proper Motion Star             |23 00 26.6588817456 +24 49 48.334211328|093.2041022955897 -31.5570648635180|  54.374 20.942  |9.99     |F8                  |    ~     ~    |    1|  207.009   pc  |  -0.6856     +0.6856  |paral   |2020yCat.1350....0G
3380|HD 217853                                                                                                |Star                                |23 03 19.5032348136 +25 31 29.142071256|094.2646139177645 -31.2602084124626|  9.475 -15.581  |8.98     |K5                  |    ~     ~    |    1|  301.595   pc  |  -1.6828     +1.6828  |paral   |2020yCat.1350....0G
3381|NGC 7466                           NGC 7466                                                              |Active Galaxy Nucleus               |23 02 03.4724376888 +27 03 09.223962084|094.8111503027943 -29.7792637477918|            ~ ~  |14.42    |~                   |0.793 0.397    |    1|   79.07    Mpc |  -4.98       +4.98    |T-F     |2020ApJ...902..145K
3382|TYC 2238-758-1                                                                                           |Star                                |23 00 41.7391926024 +25 49 26.807386656|093.8238221907565 -30.7144851451335|  0.811 -16.249  |10.76    |~                   |    ~     ~    |    1|  321.234   pc  |  -1.8471     +1.8471  |paral   |2020yCat.1350....0G
3383|TYC 2238-1311-1                                                                                          |Star                                |23 01 00.1674449712 +25 07 02.973588672|093.4971886860299 -31.3670172619949|  -4.320 -5.720  |10.87    |~                   |    ~     ~    |    1|  315.060   pc  |  -2.0150     +2.0150  |paral   |2020yCat.1350....0G
3384|TYC 2238-1495-1                                                                                          |Star                                |23 01 04.0093555224 +25 04 02.745698124|093.4837292041454 -31.4178552370127| -0.140 -12.678  |10.60    |~                   |    ~     ~    |    1| 1522.765   pc  | -81.1585    +81.1585  |paral   |2020yCat.1350....0G
3385|GSC 02239-00035                                                                                          |Double or Multiple Star             |23 01 38.8737610992 +24 53 08.468454012|093.5161819777820 -31.6405791932173|-16.281 -27.540  |10.733   |~                   |    ~     ~    |    1|  400.689   pc  |  -2.7615     +2.7615  |paral   |2020yCat.1350....0G
3386|TYC 2239-62-1                                                                                            |High Proper Motion Star             |23 02 36.1730570160 +26 08 05.773499592|094.4342472091445 -30.6457504306803|  28.304 67.506  |10.71    |~                   |    ~     ~    |    1|  140.501   pc  |  -0.2547     +0.2547  |paral   |2020yCat.1350....0G
3387|TYC 2239-130-1                                                                                           |Star                                |23 03 33.6157071984 +25 18 17.957295900|094.1976122091335 -31.4789513843307|-10.793 -12.316  |10.31    |~                   |    ~     ~    |    1|  651.466   pc  |  -7.3423     +7.3423  |paral   |2020yCat.1350....0G
3388|TYC 2239-720-1                                                                                           |Star                                |23 01 38.9188484736 +24 46 44.867990244|093.4559884028101 -31.7340169673394|-14.943 -17.468  |10.75    |~                   |    ~     ~    |    1|  470.234   pc  | -11.7636    +11.7636  |paral   |2020yCat.1350....0G
3389|TYC 2239-741-1                                                                                           |Star                                |23 01 55.7534740536 +25 15 30.837140496|093.7918272490636 -31.3441809616217|   7.721 -3.366  |10.40    |~                   |    ~     ~    |    1|  262.495   pc  |  -1.3092     +1.3092  |paral   |2020yCat.1350....0G
3390|TYC 2239-817-1                                                                                           |Star                                |23 01 46.2817426272 +25 43 54.976771416|094.0198467363752 -30.9114547202083|   9.357 -7.202  |10.48    |~                   |    ~     ~    |    1| 1311.647   pc  | -48.5158    +48.5158  |paral   |2020yCat.1350....0G
3391|TYC 2239-931-1                                                                                           |Star                                |23 01 57.6036009744 +25 31 13.561858848|093.9455352732754 -31.1175785658542|  31.556 -6.160  |10.42    |~                   |    ~     ~    |    1|  604.485   pc  |  -7.8196     +7.8196  |paral   |2020yCat.1350....0G
3392|TYC 2239-1392-1                                                                                          |Star                                |23 01 57.5751958512 +25 24 19.767916080|093.8811907047233 -31.2184776170560|-20.427 -16.653  |10.78    |~                   |    ~     ~    |    1|  594.424   pc  |  -6.1128     +6.1128  |paral   |2020yCat.1350....0G
3393|TYC 2242-328-1                                                                                           |Star                                |23 00 45.8079934392 +26 54 14.247929376|094.4374354414992 -29.7735761162908|  11.402 -7.956  |9.56     |~                   |    ~     ~    |    1|  266.624   pc  |  -1.2796     +1.2796  |paral   |2020yCat.1350....0G
3394|TYC 2242-664-1                                                                                           |Star                                |23 01 11.9474060448 +27 02 52.392484140|094.6145400771114 -29.6930381352800|  -6.362 -8.776  |10.84    |~                   |    ~     ~    |    1| 1295.505   pc  | -33.7345    +33.7345  |paral   |2020yCat.1350....0G
3395|TYC 2242-1313-1                                                                                          |Star                                |23 00 10.7210505192 +26 42 21.876339528|094.1963505052341 -29.8851219186572|  36.032 11.265  |10.53    |~                   |    ~     ~    |    1|  288.317   pc  |  -1.8039     +1.8039  |paral   |2020yCat.1350....0G
3396|TYC 2242-1550-1                                                                                          |Star                                |23 00 03.9097264416 +26 19 51.182146560|093.9625847832769 -30.2020856211152|   -4.784 3.878  |10.88    |~                   |    ~     ~    |    1| 1747.030   pc  | -52.1911    +52.1911  |paral   |2020yCat.1350....0G
3397|TYC 2242-1619-1                                                                                          |High Proper Motion Star             |23 00 33.2548961568 +26 34 49.046770128|094.2119167765678 -30.0357307714273|   50.499 5.180  |10.60    |~                   |    ~     ~    |    1|  268.810   pc  |  -1.1056     +1.1056  |paral   |2020yCat.1350....0G
3398|TYC 2243-491-1                                                                                           |Star                                |23 01 30.7359966792 +26 32 17.066329152|094.4063527666626 -30.1749542469071|   5.789 -1.195  |10.85    |~                   |    ~     ~    |    1|  167.149   pc  |  -0.4386     +0.4386  |paral   |2020yCat.1350....0G
3399|TYC 2243-588-1                                                                                           |Star                                |23 01 25.7050730904 +26 50 00.114174708|094.5491979746965 -29.9061483551218|-18.833 -26.066  |10.84    |~                   |    ~     ~    |    1|  331.290   pc  |  -1.7012     +1.7012  |paral   |2020yCat.1350....0G
3400|TYC 2243-803-1                                                                                           |Star                                |23 02 14.6109898872 +26 37 22.563195492|094.6194076494435 -30.1776472918441|   -1.950 5.437  |10.49    |~                   |    ~     ~    |    1|  524.219   pc  | -14.3723    +14.3723  |paral   |2020yCat.1350....0G
3401|TYC 2243-918-1                                                                                           |Star                                |23 01 33.0666250416 +26 21 17.313941376|094.3143453965493 -30.3403191064831| -26.828 -6.038  |10.53    |~                   |    ~     ~    |    1|  130.047   pc  |  -0.2486     +0.2486  |paral   |2020yCat.1350....0G
3402|TYC 2243-1169-1                                                                                          |Star                                |23 01 34.3055571240 +27 11 13.540835148|094.7743800148244 -29.6096204307085|  -2.216 -9.387  |10.85    |~                   |    ~     ~    |    1|  954.107   pc  | -13.5638    +13.5638  |paral   |2020yCat.1350....0G
3403|GSC 02243-01233                                                                                          |Double or Multiple Star             |23 03 42.791376 +26 42 04.69728        |094.997504126 -30.262586709        |       4.1 -5.4  |10.871   |~                   |    ~     ~    |    0|                |                       |        |                   
3404|TYC 2243-1269-1                                                                                          |Star                                |23 02 42.5981983800 +26 54 38.522436084|094.8820996242939 -29.9727732862314|  3.477 -10.001  |10.06    |~                   |    ~     ~    |    1| 1277.955   pc  | -28.5805    +28.5805  |paral   |2020yCat.1350....0G
3405|TYC 2243-1286-1                                                                                          |Star                                |23 02 37.8093175392 +26 21 12.339519048|094.5603780520812 -30.4560743883956| -8.624 -17.033  |10.53    |~                   |    ~     ~    |    1|  355.986   pc  |  -3.1048     +3.1048  |paral   |2020yCat.1350....0G
3406|TYC 2243-1422-1                                                                                          |Star                                |23 01 54.1899818544 +26 55 34.807334160|094.7075069938498 -29.8743242694385| 24.612 -24.965  |10.51    |~                   |    ~     ~    |    1|  209.039   pc  |  -1.0007     +1.0007  |paral   |2020yCat.1350....0G
3407|TYC 2243-1604-1                                                                                          |Spectroscopic Binary                |23 02 48.5157685104 +26 21 44.072950644|094.6060930825350 -30.4671537043801|  -6.757 -2.676  |10.92    |~                   |    ~     ~    |    1| 1706.193   pc  | -52.6908    +52.6908  |paral   |2020yCat.1350....0G
3408|TYC 2243-1795-1                                                                                          |Star                                |23 02 46.2889593480 +26 24 47.761316712|094.6254806775537 -30.4182333138915|-14.717 -15.224  |10.73    |~                   |    ~     ~    |    1|  734.484   pc  |  -7.7683     +7.7683  |paral   |2020yCat.1350....0G
3409|NGC 7527                           NGC 7527                                                              |Galaxy towards a Group of Galaxies  |23 13 41.7946169208 +24 54 08.215745616|096.3937370378618 -32.8837034585939|            ~ ~  |     ~   |~                   |0.770 0.570    |    1|  108.51    Mpc |                       |redshift|2007ApJ...655..790C
3410|HD 218140                                                                                                |Star                                |23 05 20.8132806480 +26 58 56.368580700|095.5219235146924 -30.1823457261823| 18.353 -11.141  |8.93     |F0                  |    ~     ~    |    1|  219.785   pc  |  -1.0192     +1.0192  |paral   |2020yCat.1350....0G
3411|BD+25 4867                                                                                               |Star                                |23 04 32.5587922440 +26 27 57.827146896|095.0607492249624 -30.5571240674384|    2.587 4.535  |10.09    |K0                  |    ~     ~    |    1|  661.288   pc  |  -6.6907     +6.6907  |paral   |2020yCat.1350....0G
3412|HIP 113962                                                                                               |Star                                |23 04 44.8994330568 +25 49 37.293993480|094.7616247047289 -31.1441108342969|  -4.321 -2.369  |10.70    |K0                  |    ~     ~    |    1|  943.663   pc  | -12.2889    +12.2889  |paral   |2020yCat.1350....0G
3413|BD+25 4869                                                                                               |Star                                |23 05 13.8713523768 +25 49 08.069461356|094.8695749925985 -31.2019243778774|  13.042 -3.363  |10.45    |F5                  |    ~     ~    |    1|  290.520   pc  |  -1.3167     +1.3167  |paral   |2020yCat.1350....0G
3414|V* KU Peg                                                                                                |RS CVn Variable                     |23 05 29.2735048704 +26 00 33.459393312|095.0325569920407 -31.0600948551869|  52.279 -3.441  |7.66     |G9IV(e)             |    ~     ~    |    1|  248.139   pc  |  -2.5491     +2.5491  |paral   |2020yCat.1350....0G
3415|HD 217937                                                                                                |Spectroscopic Binary                |23 03 55.4092132704 +25 10 06.563428896|094.2067860807925 -31.6380661691707|  15.672 -3.655  |9.11     |K2                  |    ~     ~    |    1|  225.357   pc  |  -2.2244     +2.2244  |paral   |2020yCat.1350....0G
3416|HD 218098                                                                                                |High Proper Motion Star             |23 05 07.5770337888 +25 25 00.676151364|094.6255446619151 -31.5465941319705|106.026 -33.905  |8.89     |K0                  |    ~     ~    |    1|  126.165   pc  |  -0.3008     +0.3008  |paral   |2020yCat.1350....0G
3417|BD+24 4703                                                                                               |Double or Multiple Star             |23 03 53.009736 +25 12 09.01116        |094.216299912 -31.603815261        |       49.8 0.4  |10.03    |~                   |    ~     ~    |    0|                |                       |        |                   
3418|BD+26 4563                                                                                               |Star                                |23 06 54.6571241328 +27 15 21.652681428|096.0244437477376 -30.0976716624867|  27.738 27.947  |10.16    |G0                  |    ~     ~    |    1|  306.354   pc  |  -1.4547     +1.4547  |paral   |2020yCat.1350....0G
3419|BD+26 4566                                                                                               |Spectroscopic Binary                |23 07 43.0032136776 +27 23 40.956232272|096.2813288196801 -30.0546821978897|    7.785 1.562  |9.68     |G5                  |    ~     ~    |    1|  500.701   pc  |  -5.3901     +5.3901  |paral   |2020yCat.1350....0G
3420|TYC 2243-1163-1                                                                                          |Star                                |23 07 45.6176394576 +26 23 13.568771652|095.7632080640885 -30.9580672238060|  20.239 -3.270  |10.98    |F0                  |    ~     ~    |    1|  385.609   pc  |  -2.1412     +2.1412  |paral   |2020yCat.1350....0G
3421|BD+26 4567                                                                                               |Star                                |23 07 48.7982008296 +26 57 45.078291828|096.0782164522821 -30.4502390475654| -3.141 -11.181  |9.39     |K2                  |    ~     ~    |    1|  450.065   pc  |  -3.3017     +3.3017  |paral   |2020yCat.1350....0G
3422|HD 218610                                                                                                |Star                                |23 09 09.6593228832 +26 54 46.721846628|096.3640661341735 -30.6292963697228|  -4.124 -0.226  |7.62     |K2III               |    ~     ~    |    1|  608.791   pc  | -10.1922    +10.1922  |paral   |2020yCat.1350....0G
3423|TYC 2244-1134-1                                                                                          |Star                                |23 10 12.9031833144 +26 23 17.451791412|096.3372636449324 -31.2040591690959|    8.106 9.462  |10.88    |K0                  |    ~     ~    |    1|  572.279   pc  | -13.5586    +13.5586  |paral   |2020yCat.1350....0G
3424|HD 218881                                                                                                |Star                                |23 11 16.3272894768 +26 47 55.552071984|096.7966205955468 -30.9402030787868|  23.697 -3.031  |8.85     |F2                  |    ~     ~    |    1|  216.015   pc  |  -0.7979     +0.7979  |paral   |2020yCat.1350....0G
3425|BD+26 4576                                                                                               |Star                                |23 11 29.0961930384 +27 08 15.032173164|097.0190215602566 -30.6564753803904|  -2.065 -7.366  |9.83     |G5                  |    ~     ~    |    1|  619.886   pc  |  -5.8023     +5.8023  |paral   |2020yCat.1350....0G
3426|BD+26 4577                                                                                               |Star                                |23 11 29.8795461864 +27 32 01.406960916|097.2225974719398 -30.3012090880124|   42.282 0.548  |10.37    |F8                  |    ~     ~    |    1|  261.924   pc  |  -1.6396     +1.6396  |paral   |2020yCat.1350....0G
3427|BD+26 4578                                                                                               |Star                                |23 11 34.7814481344 +26 52 35.120711820|096.9081911979922 -30.9004933263595|   7.291 -4.320  |9.58     |K0                  |    ~     ~    |    1|  580.889   pc  |  -4.7240     +4.7240  |paral   |2020yCat.1350....0G
3428|BD+26 4583                                                                                               |Star                                |23 12 25.4040797232 +27 10 26.039598924|097.2559833326104 -30.7145727152886| -7.217 -14.179  |10.19    |K2                  |    ~     ~    |    1|  678.334   pc  |  -6.5339     +6.5339  |paral   |2020yCat.1350....0G
3429|BD+26 4584                                                                                               |High Proper Motion Star             |23 12 55.5606967176 +27 16 14.214152856|097.4217785300080 -30.6756711808107|  64.485 37.735  |9.77     |G0                  |    ~     ~    |    1|  109.665   pc  |  -0.1780     +0.1780  |paral   |2020yCat.1350....0G
3430|BD+26 4585                                                                                               |Spectroscopic Binary                |23 12 59.0321891112 +26 49 00.100895988|097.2068071738281 -31.0906081977747|   20.379 7.600  |8.93     |G0                  |    ~     ~    |    1|  223.874   pc  |  -0.9422     +0.9422  |paral   |2020yCat.1350....0G
3431|BD+25 4881                                                                                               |Star                                |23 08 16.9904 +26 41 43.894            |096.0471056 -30.7358214            |       8.2 -4.1  |10.29    |G0                  |    ~     ~    |    0|                |                       |        |                   
3432|BD+25 4882                                                                                               |Star                                |23 08 27.2639347008 +26 32 08.401185420|096.0030348637861 -30.8957808965598|   27.392 9.833  |8.83     |G5                  |    ~     ~    |    1|  258.338   pc  |  -1.1346     +1.1346  |paral   |2020yCat.1350....0G
3433|HD 218601                                                                                                |Star                                |23 09 02.1974830608 +26 18 56.401319808|096.0233659963558 -31.1509022215441|  -1.159 -6.087  |8.81     |A2                  |    ~     ~    |    1|  793.336   pc  | -17.8744    +17.8744  |paral   |2020yCat.1350....0G
3434|HD 218806                                                                                                |Star                                |23 10 42.4265444592 +26 31 22.921258692|096.5225291044976 -31.1320538883767| 47.814 -14.427  |7.11     |A2                  |    ~     ~    |    1|   89.938   pc  |  -0.2095     +0.2095  |paral   |2020yCat.1350....0G
3435|CCDM J23107+2631BC                                                                                       |Double or Multiple Star             |23 10 38.20 +26 31 35.9                |096.50789 -31.12185                |            ~ ~  |10.3     |~                   |    ~     ~    |    0|                |                       |        |                   
3436|HD 218815                                                                                                |Star                                |23 10 50.1321917616 +26 21 49.365803088|096.4702398792034 -31.2876481386191| -9.322 -32.220  |8.28     |F0                  |    ~     ~    |    1|  148.166   pc  |  -1.9363     +1.9363  |paral   |2020yCat.1350....0G
3437|BD+25 4892                                                                                               |Star                                |23 10 59.7077876328 +26 26 50.941004820|096.5510641548625 -31.2283107640542|  40.157 27.882  |9.27     |G5                  |    ~     ~    |    1|  486.571   pc  |  -4.5930     +4.5930  |paral   |2020yCat.1350....0G
3438|BD+25 4893                                                                                               |Star                                |23 11 30.2254455192 +26 38 23.492625792|096.7694252981968 -31.1056821100532| 27.988 -21.002  |9.59     |G0                  |    ~     ~    |    1|  191.483   pc  |  -0.5867     +0.5867  |paral   |2020yCat.1350....0G
