C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:52:28

dec >=0&rah >=23.0&rah< 23.25&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5341

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
49  |BD+45 4144                                                                                               |Star                                |23 07 05.5534188288 +46 07 46.528350600|104.7051113857046 -13.0166671206496|  -1.597 -6.609  |10.11    |A0                  |    ~     ~    |    1|  500.050   pc  |  -3.9258     +3.9258  |paral   |2020yCat.1350....0G
50  |BD+45 4146                                                                                               |Star                                |23 07 11.2299454344 +46 07 51.688973208|104.7211104355091 -13.0219355042945|   1.019 -1.476  |9.87     |G5                  |    ~     ~    |    1|  835.352   pc  |  -8.3738     +8.3738  |paral   |2020yCat.1350....0G
51  |HD 218407                                                                                                |Eclipsing Binary                    |23 07 17.9993119296 +46 04 05.327603220|104.7136052826596 -13.0873780413056|  -0.789 -2.920  |6.654    |B2V                 |    ~     ~    |    1|  519.319   pc  |  -9.3313     +9.3313  |paral   |2020yCat.1350....0G
52  |BD+45 4157                                                                                               |Star                                |23 10 09.6769410288 +46 02 24.775561248|105.1704257529846 -13.3096494904168|    3.970 4.568  |9.23     |K5                  |    ~     ~    |    1|  874.508   pc  | -12.4657    +12.4657  |paral   |2020yCat.1350....0G
53  |BD+45 4159                                                                                               |Star                                |23 10 22.1471509296 +45 59 31.503471540|105.1852299703113 -13.3680542465892|  -3.438 -4.929  |9.97     |A0                  |    ~     ~    |    1|  506.406   pc  |  -6.3855     +6.3855  |paral   |2020yCat.1350....0G
54  |HD 218032                                                                                                |Star                                |23 04 15.8505702744 +45 28 53.488217496|103.9716740749602 -13.4079661506770|  13.907 -7.382  |8.90     |F5                  |    ~     ~    |    1|  217.019   pc  |  -0.6688     +0.6688  |paral   |2020yCat.1350....0G
55  |BD+44 4323                                                                                               |Star                                |23 04 55.9076151816 +45 38 11.168133540|104.1466299298208 -13.3148033976992|  -7.556 -8.827  |9.63     |A0                  |    ~     ~    |    1|  517.732   pc  |  -4.3960     +4.3960  |paral   |2020yCat.1350....0G
56  |BD+44 4329                                                                                               |Star                                |23 06 33.0041871408 +45 28 59.661316488|104.3484918664403 -13.5700710285132| -14.163 -8.866  |10.23    |K0                  |    ~     ~    |    1|  599.628   pc  |  -4.6382     +4.6382  |paral   |2020yCat.1350....0G
57  |BD+44 4333                                                                                               |Pulsating Variable                  |23 07 44.4879734544 +45 42 19.620284436|104.6366667037640 -13.4504801871095|   1.089 -1.396  |10.74    |A5                  |    ~     ~    |    1|  862.664   pc  |  -9.6000     +9.6000  |paral   |2020yCat.1350....0G
58  |BD+44 4334                                                                                               |Spectroscopic Binary                |23 07 51.1341793608 +45 21 05.298379884|104.5092232155341 -13.7826479136670|  13.530 13.239  |9.64     |F0                  |    ~     ~    |    1|  271.488   pc  | -24.0871    +24.0871  |paral   |2020yCat.1350....0G
59  |BD+44 4335                                                                                               |Star                                |23 08 15.8689981896 +44 52 40.494382356|104.3827537468760 -14.2457774063345|  -1.165 -3.931  |9.71     |A0                  |    ~     ~    |    1|  643.252   pc  |  -7.6548     +7.6548  |paral   |2020yCat.1350....0G
60  |BD+44 4342                                                                                               |Star                                |23 10 33.5505434856 +45 05 58.128929268|104.8575798408547 -14.2026752868681|   -6.237 7.238  |8.21     |K0                  |    ~     ~    |    1|  266.078   pc  |  -1.3664     +1.3664  |paral   |2020yCat.1350....0G
61  |BD+44 4343                                                                                               |Star                                |23 10 36.2691298680 +45 13 59.805053328|104.9191089969440 -14.0826498061609|  -3.723 -3.511  |8.61     |K0                  |    ~     ~    |    1|  349.626   pc  |  -2.2736     +2.2736  |paral   |2020yCat.1350....0G
62  |BD+44 4348                                                                                               |Star                                |23 11 34.6327968504 +45 46 50.135887632|105.2999571238477 -13.6446081795161|  24.220 -7.994  |10.25    |F5                  |    ~     ~    |    1|  395.789   pc  |  -3.0077     +3.0077  |paral   |2020yCat.1350....0G
63  |HD 219040                                                                                                |Double or Multiple Star             |23 12 15.0493 +44 49 28.414            |105.0320113 -14.5722406            |      -1.3 -3.3  |8.63     |A2                  |    ~     ~    |    0|                |                       |        |                   
