C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
42  |BD-04 786                                                                                                                                   |Star                                  |04 15 54.0566745816 -04 27 07.098162336|197.3583677056191 -36.3273929048109| -6.216 -23.877     |9.81     |K2              |    ~     ~    |    1|  319.754   pc  |  -1.5132     +1.5132    |paral   |2020yCat.1350....0G
43  |BD-04 789                                                                                                                                   |Long-Period Variable                  |04 16 30.0129771144 -04 24 28.473957468|197.4059042444886 -36.1764510545661|   -1.998 2.098     |9.11     |G2              |    ~     ~    |    1| 1258.178   pc  | -41.9498    +41.9498    |paral   |2020yCat.1350....0G
44  |BD-04 793                                                                                                                                   |Star                                  |04 18 01.8200550720 -04 31 11.893230948|197.7651968005533 -35.9051639362804| -2.019 -31.863     |10.23    |G0              |    ~     ~    |    1|  228.441   pc  |  -1.0124     +1.0124    |paral   |2020yCat.1350....0G
45  |HD 27284                                                                                                                                    |Chemically Peculiar Star              |04 18 25.7730700680 -04 31 30.139713912|197.8328590010894 -35.8219904347592| -8.661 -11.752     |9.33     |A3mA8-F0        |    ~     ~    |    1|  344.645   pc  |  -9.8020     +9.8020    |ST-L    |2020AJ....160...83S
46  |BD-05 859                                                                                                                                   |High Proper Motion Star               |04 15 34.7663741688 -04 43 56.331055776|197.6075231660120 -36.5391182424884|  42.952 28.399     |9.50     |K0              |    ~     ~    |    1|  405.910   pc  |  -3.9708     +3.9708    |paral   |2020yCat.1350....0G
47  |BD-05 860                                                                                                                                   |Star                                  |04 15 35.8036731480 -04 49 57.207932940|197.7177730303483 -36.5862949641935|    4.370 4.972     |9.38     |M4              |    ~     ~    |    1|  753.750   pc  | -10.2265    +10.2265    |paral   |2020yCat.1350....0G
48  |BD-05 874                                                                                                                                   |Star                                  |04 18 10.7883672048 -04 54 53.829595008|198.2096507194184 -36.0727079445094| 32.681 -20.776     |9.39     |G8              |    ~     ~    |    1|   98.252   pc  |  -0.1380     +0.1380    |paral   |2020yCat.1350....0G
49  |BD-03 724                                                                                                                                   |Star                                  |04 15 00.7195953264 -03 19 24.251980152|196.0199216620636 -35.9346516659575|   21.395 3.547     |9.95     |~               |    ~     ~    |    1|  597.764   pc  | -20.4746    +20.4746    |paral   |2020yCat.1350....0G
50  |BD-03 726                                                                                                                                   |Star                                  |04 15 13.2108047808 -03 34 58.803671964|196.3272300090459 -36.0254705657715| -5.199 -33.097     |10.482   |~               |    ~     ~    |    1|  296.146   pc  |  -7.3090     +7.3090    |ST-L    |2020AJ....160...83S
51  |BD-04 785                                                                                                                                   |Star                                  |04 15 26.1050530128 -03 51 00.174284136|196.6441962062537 -36.1179449570808|   7.678 -3.290     |10.08    |~               |    ~     ~    |    1|  336.856   pc  |  -7.0990     +7.0990    |ST-L    |2020AJ....160...83S
52  |BD-04 787                                                                                                                                   |Star                                  |04 15 56.7037490736 -03 41 33.146249100|196.5588403305331 -35.9276097316508|   7.378 -1.093     |10.99    |~               |    ~     ~    |    1|  254.686   pc  |  -1.8032     +1.8032    |paral   |2020yCat.1350....0G
53  |BD-02 847                                                                                                                                   |Double or Multiple Star               |04 16 20.6219996664 -02 36 37.553871708|195.4877484655197 -35.2776383205755|  -9.966 -5.299     |10.175   |~               |    ~     ~    |    1|  549.350   pc  | -16.8000    +16.8000    |ST-L    |2020AJ....160...83S
54  |BD-04 790                                                                                                                                   |Star                                  |04 16 42.1318102032 -04 30 22.758374592|197.5425913399173 -36.1832898991079| 26.333 -16.376     |10.067   |~               |    ~     ~    |    1|  270.096   pc  | -15.3500    +15.3500    |ST-L    |2020AJ....160...83S
55  |BD-03 733                                                                                                                                   |Star                                  |04 17 05.9781079800 -03 04 23.243372580|196.0918967264264 -35.3595329257477|   5.592 -1.798     |10.332   |~               |    ~     ~    |    1|  401.566   pc  | -10.9600    +10.9600    |ST-L    |2020AJ....160...83S
56  |BD-03 736                                                                                                                                   |Star                                  |04 17 34.0652691864 -02 41 15.978495948|195.7648439473275 -35.0582841018509|-30.867 -18.727     |9.87     |~               |    ~     ~    |    1|  299.994   pc  |  -1.3589     +1.3589    |paral   |2020yCat.1350....0G
57  |BD-04 792                                                                                                                                   |Star                                  |04 17 37.9378038120 -03 41 36.278697948|196.8276637610669 -35.5676313021532|  -5.179 -0.394     |10.181   |~               |    ~     ~    |    1|  306.499   pc  |  -5.7830     +5.7830    |ST-L    |2020AJ....160...83S
58  |BD-02 856                                                                                                                                   |Star                                  |04 17 38.5318985088 -02 37 49.195180128|195.7170536808990 -35.0123085620870| 14.741 -18.445     |10.191   |~               |    ~     ~    |    1|  201.351   pc  |  -2.5600     +2.5600    |ST-L    |2020AJ....160...83S
59  |BD-03 737                                                                                                                                   |Spectroscopic Binary                  |04 18 17.2249719336 -03 13 27.096066732|196.4388613422101 -35.1850540397232|    7.601 4.175     |10.456   |~               |    ~     ~    |    1|  426.448   pc  | -14.0300    +14.0300    |ST-L    |2020AJ....160...83S
60  |BD-02 859                                                                                                                                   |High Proper Motion Star               |04 18 29.8915249128 -02 37 59.673148248|195.8568548598722 -34.8318429284321|-58.418 -31.223     |9.98     |~               |    ~     ~    |    1|   54.253   pc  |  -0.0492     +0.0492    |paral   |2020yCat.1350....0G
61  |BD-04 796                                                                                                                                   |Star                                  |04 18 32.0915418888 -04 04 03.185672124|197.3644579375630 -35.5665021851354|    5.246 0.955     |9.89     |~               |    ~     ~    |    1|  566.251   pc  |  -5.1303     +5.1303    |paral   |2020yCat.1350....0G
62  |BD-03 731                                                                                                                                   |Star                                  |04 16 28.0466508480 -03 08 16.323951228|196.0585852938739 -35.5279406154367|  -0.317 -6.818     |10.766   |~               |    ~     ~    |    1|  948.720   pc  | -34.9800    +34.9800    |ST-L    |2020AJ....160...83S
63  |BD-04 791                                                                                                                                   |Star                                  |04 16 52.0224536448 -04 24 22.097355300|197.4617587795437 -36.0968979719153| 18.954 -12.764     |10.382   |~               |    ~     ~    |    1|  154.150   pc  |  -1.6010     +1.6010    |ST-L    |2020AJ....160...83S
64  |TYC 4729-400-1                                                                                                                              |Star                                  |04 17 55.7125317480 -02 37 27.517660932|195.7566192637367 -34.9482842396107|   -0.119 0.661     |10.83    |~               |    ~     ~    |    1| 1172.608   pc  | -20.9001    +20.9001    |paral   |2020yCat.1350....0G
65  |TYC 4729-451-1                                                                                                                              |Star                                  |04 16 47.2921896096 -04 50 01.555375956|197.9059818829616 -36.3309843016357| -0.602 -10.132     |10.605   |~               |    ~     ~    |    1|  436.879   pc  | -12.6500    +12.6500    |ST-L    |2020AJ....160...83S
66  |TYC 4729-711-1                                                                                                                              |Star                                  |04 18 43.0524240288 -04 51 16.801230636|198.2286486332566 -35.9266275785220|  30.072 -0.096     |10.918   |~               |    ~     ~    |    1| 1082.270   pc  | -55.7800    +55.7800    |ST-L    |2020AJ....160...83S
67  |TYC 4729-1162-1                                                                                                                             |Star                                  |04 16 00.4192143288 -03 28 47.822192184|196.3444066127108 -35.8041775118873|   -1.037 2.491     |10.79    |~               |    ~     ~    |    1|  309.377   pc  |  -1.4357     +1.4357    |paral   |2020yCat.1350....0G
68  |BD-05 864                                                                                                                                   |Star                                  |04 16 15.7646029968 -05 21 18.833749308|198.3845607461184 -36.7066440735530|   20.966 3.471     |9.59     |F8              |    ~     ~    |    1|  141.317   pc  |  -4.6032     +4.6032    |paral   |2020yCat.1350....0G
69  |BD-05 865                                                                                                                                   |Star                                  |04 16 17.1272250024 -05 34 59.494792980|198.6344747134317 -36.8157873440244|-22.970 -23.532     |9.65     |F8              |    ~     ~    |    1|   99.408   pc  |  -3.2080     +3.2080    |ST-L    |2020AJ....160...83S
70  |HD 27216                                                                                                                                    |Star                                  |04 17 45.0456356544 -05 08 47.797612872|198.3911988372572 -36.2815296310649| -19.345 45.629     |8.92     |F6V             |    ~     ~    |    1|   90.185   pc  |  -0.1464     +0.1464    |paral   |2020yCat.1350....0G
71  |HD 27312                                                                                                                                    |Star                                  |04 18 35.0038811376 -05 05 12.654602052|198.4560099326357 -36.0721967426780|  -6.080 -1.727     |9.702    |A9V             |    ~     ~    |    1|  176.162   pc  |  -1.1885     +1.1885    |paral   |2018yCat.1345....0G
72  |BD-06 857                                                                                                                                   |Star                                  |04 15 20.6 -06 30 10                   |199.4914 -37.4745                  |            ~ ~     |9.3      |~               |    ~     ~    |    0|                |                         |        |                   
73  |HD 27179                                                                                                                                    |Star                                  |04 17 19.2218237400 -06 28 19.825900608|199.7602595020968 -37.0314490148971| -15.511 -5.658     |5.932    |K0II            |    ~     ~    |    1|  240.321   pc  |  -1.6806     +1.6806    |paral   |2020yCat.1350....0G
74  |BD-06 864                                                                                                                                   |Star                                  |04 18 06.7772682432 -06 18 22.570569324|199.6999616752493 -36.7785148269585|  -1.898 -0.551     |9.84     |~               |    ~     ~    |    1|  640.697   pc  |  -7.4710     +7.4710    |paral   |2020yCat.1350....0G
75  |BD-06 867                                                                                                                                   |Star                                  |04 18 38.7490918128 -06 13 58.511186652|199.7011966907836 -36.6271409459560| 11.190 -23.060     |9.56     |~               |    ~     ~    |    1|  562.398   pc  |  -7.2114     +7.2114    |paral   |2020yCat.1350....0G
76  |HD 26948                                                                                                                                    |Spectroscopic Binary                  |04 15 18.3357540024 -07 14 02.161999212|200.2921839459031 -37.8389017220304|  -4.304 -2.698     |9.15     |A0mA5-F0/2      |    ~     ~    |    1|  233.193   pc  |  -1.3649     +1.3649    |paral   |2020yCat.1350....0G
77  |BD-07 782                                                                                                                                   |Star                                  |04 16 05.2 -06 50 01                   |199.9688 -37.4752                  |            ~ ~     |9.8      |~               |    ~     ~    |    0|                |                         |        |                   
