C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
1401|CD-23 1943                                                                                                                                  |Double or Multiple Star               |04 27 32.691 -23 12 29.01              |220.932667 -41.312996              |       2.8 32.0     |9.6      |F5              |    ~     ~    |    0|                |                         |        |                   
1402|HD 28425                                                                                                                                    |Star                                  |04 28 07.5531006816 -22 42 48.978815508|220.3544951523208 -41.0428108667142|    1.012 8.700     |9.18     |K4/M0           |    ~     ~    |    1|  992.556   pc  | -17.5360    +17.5360    |paral   |2020yCat.1350....0G
1403|HD 28438                                                                                                                                    |Star                                  |04 28 14.5665482544 -22 46 04.644070536|220.4338272388901 -41.0328201697769|   -1.274 7.035     |7.02     |K0III           |    ~     ~    |    1|  279.666   pc  |  -1.4626     +1.4626    |paral   |2020yCat.1350....0G
1404|HD 28451                                                                                                                                    |Eclipsing Binary                      |04 28 15.0997081848 -23 06 06.098000436|220.8585965107542 -41.1269705121290|   17.250 9.671     |8.98     |A1III           |    ~     ~    |    1|  297.495   pc  |  -2.1506     +2.1506    |paral   |2020yCat.1350....0G
1405|CD-23 1953                                                                                                                                  |Star                                  |04 28 15.4358518080 -23 11 43.355499252|220.9783197408335 -41.1524354432923|-14.262 -11.023     |10.694   |~               |    ~     ~    |    1|  450.701   pc  | -34.0500    +34.0500    |ST-L    |2020AJ....160...83S
1406|HD 28598                                                                                                                                    |Star                                  |04 29 36.6396546264 -23 03 05.061759660|220.9133720242174 -40.8131005331028|  15.430 14.536     |8.99     |F2V             |    ~     ~    |    1|  223.624   pc  | -12.0768    +12.0768    |paral   |2020yCat.1350....0G
1407|BD-21 846                                                                                                                                   |Star                                  |04 21 18.2257797264 -21 04 39.367752492|217.6337117145714 -42.0603843542618|-25.659 -36.466     |10.39    |~               |    ~     ~    |    1|  139.617   pc  |  -1.0100     +1.0100    |ST-L    |2020AJ....160...83S
1408|BD-21 847                                                                                                                                   |Star                                  |04 21 18.7010201976 -21 37 19.793583552|218.3335508846291 -42.2255653950505|-14.521 -38.340     |10.207   |~               |    ~     ~    |    1|  278.517   pc  |  -3.8850     +3.8850    |ST-L    |2020AJ....160...83S
1409|BD-21 850                                                                                                                                   |Star                                  |04 22 30.1434186240 -21 10 56.412895836|217.8840604434336 -41.8271013590711|   5.919 11.656     |10.79    |~               |    ~     ~    |    1|  161.760   pc  |  -0.4658     +0.4658    |paral   |2020yCat.1350....0G
1410|BD-21 855                                                                                                                                   |Star                                  |04 23 31.6805649792 -21 21 40.352894856|218.2108594449378 -41.6549807715432|   5.272 -8.666     |9.851    |~               |    ~     ~    |    1|  586.049   pc  | -18.5500    +18.5500    |ST-L    |2020AJ....160...83S
1411|BD-22 815                                                                                                                                   |Star                                  |04 23 46.1560023720 -22 13 56.153028684|219.3469456711629 -41.8640229480050|    1.506 9.051     |10.446   |~               |    ~     ~    |    1|  184.828   pc  |  -1.7360     +1.7360    |ST-L    |2020AJ....160...83S
1412|BD-21 860                                                                                                                                   |Double or Multiple Star               |04 25 09.9018088632 -21 25 30.209684700|218.4482834762396 -41.3119858688307|   9.236 -5.488     |10.517   |~               |    ~     ~    |    1|  601.310   pc  | -26.6400    +26.6400    |ST-L    |2020AJ....160...83S
1413|BD-21 867                                                                                                                                   |Eclipsing Binary                      |04 25 58.6044876456 -21 28 57.171960624|218.5981442205913 -41.1498939660955|  15.716 25.912     |10.86    |~               |    ~     ~    |    1|  212.927   pc  |  -6.0890     +6.0890    |ST-L    |2020AJ....160...83S
1414|BD-21 874                                                                                                                                   |Double or Multiple Star               |04 27 15.8836257744 -21 35 00.558506328|218.8471712646753 -40.8957186825545|  12.515 -8.909     |10.531   |~               |    ~     ~    |    1|  432.395   pc  |  -4.2254     +4.2254    |paral   |2020yCat.1350....0G
1415|CD-23 1944                                                                                                                                  |Star                                  |04 27 34.5921238392 -22 46 48.334697256|220.3901326220795 -41.1833147859272|  12.417 -6.798     |10.63    |~               |    ~     ~    |    0|                |                         |        |                   
1416|BD-22 831                                                                                                                                   |Star                                  |04 28 15.4919547408 -21 47 05.973378504|219.1937461753061 -40.7373742734642|    7.015 7.700     |10.62    |~               |    ~     ~    |    1|  547.025   pc  | -19.3900    +19.3900    |ST-L    |2020AJ....160...83S
1417|CPD-22 543                                                                                                                                  |Star                                  |04 29 10.2547653888 -22 35 06.558308016|220.2851718768914 -40.7746917869323|   7.822 -3.945     |10.595   |~               |    ~     ~    |    1|  332.898   pc  |  -5.7700     +5.7700    |ST-L    |2020AJ....160...83S
1418|BD-21 890                                                                                                                                   |Star                                  |04 29 41.3471327448 -21 36 27.670727520|219.1051574914314 -40.3667158012664|    6.196 2.449     |10.779   |~               |    ~     ~    |    1|  515.445   pc  | -21.5000    +21.5000    |ST-L    |2020AJ....160...83S
1419|CPD-22 520                                                                                                                                  |Star                                  |04 23 26.3777995272 -22 40 37.969875012|219.8894042579124 -42.0667407303155|   16.649 1.059     |10.468   |~               |    ~     ~    |    1| 1232.930   pc  | -77.6600    +77.6600    |ST-L    |2020AJ....160...83S
1420|BD-21 862                                                                                                                                   |High Proper Motion Star               |04 25 21.7167040464 -21 14 00.620554704|218.2247302453984 -41.2092491773097|  62.873 37.976     |10.573   |~               |    ~     ~    |    1|  146.893   pc  |  -1.1430     +1.1430    |ST-L    |2020AJ....160...83S
1421|CD-23 1935                                                                                                                                  |Star                                  |04 27 03.6787903704 -22 47 55.370231700|220.3681310887036 -41.3023723120603|  7.488 -19.954     |10.59    |~               |    ~     ~    |    1|  338.811   pc  |  -2.1466     +2.1466    |paral   |2020yCat.1350....0G
1422|CPD-23 527                                                                                                                                  |Star                                  |04 27 08.2453782864 -22 50 22.496453412|220.4269548766480 -41.2973865661083|  19.272 -3.098     |10.96    |~               |    ~     ~    |    1|  379.968   pc  |  -2.1801     +2.1801    |paral   |2020yCat.1350....0G
1423|CPD-23 528                                                                                                                                  |Star                                  |04 27 12.7015991784 -22 52 09.505873956|220.4714039994665 -41.2895764259615|  -2.836 16.934     |10.73    |~               |    ~     ~    |    1|  324.465   pc  |  -1.9897     +1.9897    |paral   |2020yCat.1350....0G
1424|BD-22 829                                                                                                                                   |Star                                  |04 27 37.1096259696 -22 36 22.623335892|220.1730201822706 -41.1234891677752|  43.485 -6.509     |10.85    |~               |    ~     ~    |    1|  173.013   pc  |  -0.3712     +0.3712    |paral   |2020yCat.1350....0G
1425|CD-23 1969                                                                                                                                  |Chemically Peculiar Star              |04 29 29.8454443920 -22 55 22.341080172|220.7408404514372 -40.8010224333033|   27.867 9.290     |10.863   |~               |    ~     ~    |    1| 1982.090   pc  |-250.9000   +250.9000    |ST-L    |2020AJ....160...83S
1426|CD-23 1972                                                                                                                                  |Star                                  |04 29 39.1535591712 -22 46 49.631219616|220.5745722971276 -40.7255154055079| -12.742 -6.408     |10.855   |~               |    ~     ~    |    1|  447.586   pc  | -10.3300    +10.3300    |ST-L    |2020AJ....160...83S
1427|BD-21 844                                                                                                                                   |Star                                  |04 20 29.7660604656 -21 19 27.021487152|217.8718761540681 -42.3155204063657|   1.723 -0.812     |10.02    |~               |    ~     ~    |    1| 1036.484   pc  | -14.7179    +14.7179    |paral   |2020yCat.1350....0G
1428|TYC 5896-35-1                                                                                                                               |Star                                  |04 24 37.5250205712 -21 29 15.877054428|218.4764824354336 -41.4507142928804|  0.413 -11.417     |10.304   |~               |    ~     ~    |    1|  855.176   pc  | -26.8600    +26.8600    |ST-L    |2020AJ....160...83S
1429|TYC 5896-1106-1                                                                                                                             |Star                                  |04 25 30.3046131336 -20 55 39.218333124|217.8525882039735 -41.0820319215483|    7.812 1.931     |10.790   |~               |    ~     ~    |    1|  936.921   pc  | -34.7000    +34.7000    |ST-L    |2020AJ....160...83S
1430|TYC 5896-1331-1                                                                                                                             |Star                                  |04 20 22.4328219744 -21 31 43.771766808|218.1238918111254 -42.4050410943770|   9.645 -1.588     |10.85    |~               |    ~     ~    |    1|  451.732   pc  |  -2.7140     +2.7140    |paral   |2020yCat.1350....0G
1431|TYC 5896-1717-1                                                                                                                             |Star                                  |04 18 46.4601162072 -21 23 26.002082220|217.7913518922619 -42.7175031149663|   -3.041 0.414     |10.525   |~               |    ~     ~    |    1| 1545.330   pc  |-114.5000   +114.5000    |ST-L    |2020AJ....160...83S
1432|TYC 5897-155-1                                                                                                                              |Star                                  |04 29 40.6392492432 -21 30 30.534825384|218.9801874077969 -40.3388034499345|    2.009 5.028     |10.63    |~               |    ~     ~    |    1|  850.268   pc  |  -9.6876     +9.6876    |paral   |2020yCat.1350....0G
1433|TYC 5897-319-1                                                                                                                              |Star                                  |04 27 19.9980059064 -21 38 08.299892076|218.9193055255384 -40.8964888380135|-28.206 -25.276     |10.62    |~               |    ~     ~    |    1|  123.355   pc  |  -0.2146     +0.2146    |paral   |2020yCat.1350....0G
1434|TYC 5897-963-1                                                                                                                              |Star                                  |04 29 30.1084308600 -21 32 10.853230344|218.9984746186083 -40.3862223500337|   -2.030 2.500     |10.534   |~               |    ~     ~    |    1|  301.247   pc  |  -4.9540     +4.9540    |ST-L    |2020AJ....160...83S
1435|TYC 5897-1238-1                                                                                                                             |High Proper Motion Star               |04 28 10.3282763496 -21 10 23.100285936|218.4182699303363 -40.5679595248288| 15.345 115.550     |10.52    |~               |    ~     ~    |    1|  109.123   pc  |  -0.5930     +0.5930    |paral   |2020yCat.1350....0G
1436|TYC 6457-1672-1                                                                                                                             |High Proper Motion Star               |04 24 36.3601264152 -23 05 36.330060696|220.5294306177964 -41.9283330370940|  1.232 -51.836     |10.87    |~               |    ~     ~    |    1|  133.067   pc  |  -0.8997     +0.8997    |ST-L    |2020AJ....160...83S
1437|TYC 6457-1828-1                                                                                                                             |Star                                  |04 22 55.5983339832 -22 56 55.226363424|220.1945925476617 -42.2577650356862| -2.615 -16.804     |10.93    |~               |    ~     ~    |    1|  345.507   pc  |  -1.7548     +1.7548    |paral   |2020yCat.1350....0G
1438|TYC 6457-2314-1                                                                                                                             |Star                                  |04 22 23.9112271848 -23 10 32.834036856|220.4429403203960 -42.4384539485981|   2.718 -1.024     |10.79    |~               |    ~     ~    |    1| 2188.184   pc  | -82.3562    +82.3562    |paral   |2020yCat.1350....0G
1439|TYC 6457-2453-1                                                                                                                             |Star                                  |04 23 59.2970989416 -22 58 53.274364392|220.3307384451753 -42.0328095898897|    8.465 4.051     |10.766   |~               |    ~     ~    |    1|  532.138   pc  | -14.0400    +14.0400    |ST-L    |2020AJ....160...83S
1440|TYC 6464-1903-1                                                                                                                             |Star                                  |04 29 58.1674788336 -23 34 33.042423720|221.6090685442256 -40.8829318564079|    5.095 5.606     |10.774   |~               |    ~     ~    |    1|  361.816   pc  |  -6.5590     +6.5590    |ST-L    |2020AJ....160...83S
1441|TYC 6464-2061-1                                                                                                                             |Star                                  |04 29 29.9939354544 -23 06 04.583277648|220.9668492225905 -40.8518110545519| -7.076 -11.778     |10.77    |~               |    ~     ~    |    1|  818.666   pc  | -10.4553    +10.4553    |paral   |2020yCat.1350....0G
1442|TYC 6464-2231-1                                                                                                                             |Star                                  |04 29 40.3962196752 -23 30 19.849479876|221.4945445750750 -40.9283507233616|-14.359 -27.200     |10.937   |~               |    ~     ~    |    1|  290.890   pc  |  -4.2560     +4.2560    |ST-L    |2020AJ....160...83S
1443|CD-23 1885                                                                                                                                  |Asymptotic Giant Branch Star Candidate|04 22 03.1881616392 -22 41 06.365721516|219.7751802169031 -42.3752694513244| -4.730 -14.577     |10.21    |M6              |    ~     ~    |    1|  658.241   pc  | -17.4612    +17.4612    |paral   |2020yCat.1350....0G
1444|HD 27710A                                                                                                                                   |High Proper Motion Star               |04 21 31.325 -25 43 43.02              |223.734333 -43.297811              |     48.4 -52.6     |7.22     |F1V             |    ~     ~    |    0|                |                         |        |                   
1445|HD 27710B                                                                                                                                   |High Proper Motion Star               |04 21 31.313 -25 43 42.55              |223.734144 -43.297823              |     48.4 -52.6     |6.52     |F3V             |    ~     ~    |    0|                |                         |        |                   
1446|CD-26 1643                                                                                                                                  |High Proper Motion Star               |04 21 33.4705729704 -25 43 09.290669844|223.7245142317729 -43.2877328620917| 42.836 -56.338     |8.26     |~               |    ~     ~    |    1|   54.566   pc  |  -0.0563     +0.0563    |paral   |2020yCat.1350....0G
1447|HD 27802                                                                                                                                    |Star                                  |04 22 24.0291929832 -25 54 33.175734948|224.0401311115712 -43.1493538591035|  7.726 -17.155     |9.50     |G3/5IV          |    ~     ~    |    1|  107.483   pc  |  -0.1502     +0.1502    |paral   |2020yCat.1350....0G
1448|CD-26 1659                                                                                                                                  |Star                                  |04 23 39.7689059880 -25 57 08.870368716|224.1906297117324 -42.8841928270431|   7.132 -0.978     |9.899    |~               |    ~     ~    |    1|  683.087   pc  | -19.5700    +19.5700    |ST-L    |2020AJ....160...83S
1449|CD-26 1686                                                                                                                                  |Star                                  |04 27 49.6964667504 -26 08 35.249360496|224.7467265228924 -42.0220220822783|   5.879 19.339     |10.45    |~               |    ~     ~    |    1|  129.061   pc  |  -0.2065     +0.2065    |paral   |2020yCat.1350....0G
1450|CD-25 1852                                                                                                                                  |High Proper Motion Star               |04 21 17.6155323288 -25 41 42.120484584|223.6724533139157 -43.3396416879881|-87.988 -130.222    |10.058   |~               |    ~     ~    |    1|   81.032   pc  |  -0.3498     +0.3498    |ST-L    |2020AJ....160...83S
1451|HD 27468                                                                                                                                    |Star                                  |04 19 14.4047583120 -23 24 48.732692364|220.4795938830721 -43.2011978180956|   8.587 36.646     |8.98     |F2V             |    ~     ~    |    1|  132.217   pc  |  -0.2692     +0.2692    |paral   |2020yCat.1350....0G
1452|HD 27452                                                                                                                                    |Star                                  |04 18 54.9131169192 -24 09 16.609192488|221.4333600098401 -43.4723054189914| 15.711 -21.684     |8.41     |K2III           |    ~     ~    |    1|  258.799   pc  |  -1.5271     +1.5271    |paral   |2020yCat.1350....0G
1453|CD-24 2235                                                                                                                                  |Star                                  |04 19 04.7858335104 -24 27 26.221818564|221.8495931685078 -43.5151703502541|   8.617 -1.914     |9.72     |~               |    ~     ~    |    1|  982.704   pc  | -12.9405    +12.9405    |paral   |2020yCat.1350....0G
1454|CD-24 2243                                                                                                                                  |Star                                  |04 19 30.4492513704 -24 16 12.685350864|221.6357577823893 -43.3723830163608|   -2.885 9.608     |9.63     |~               |    ~     ~    |    1|  570.874   pc  |  -4.3996     +4.3996    |paral   |2020yCat.1350....0G
1455|CD-24 2249                                                                                                                                  |Star                                  |04 20 07.3221710640 -24 15 25.850849508|221.6690258539306 -43.2338137574736|  -1.665 -1.740     |9.67     |~               |    ~     ~    |    1|  548.306   pc  |  -4.3893     +4.3893    |paral   |2020yCat.1350....0G
1456|HD 27600                                                                                                                                    |Spectroscopic Binary                  |04 20 24.2362945656 -24 38 40.445785788|222.2055210787519 -43.2725717384415|  -5.674 -9.274     |8.94     |K2III           |    ~     ~    |    1|  719.321   pc  | -43.7740    +43.7740    |paral   |2020yCat.1350....0G
1457|CD-25 1837                                                                                                                                  |Star                                  |04 19 14.2510974312 -25 22 32.542379724|223.0896833716969 -43.7118582921427| -3.529 -22.128     |10.55    |~               |    ~     ~    |    1|  327.708   pc  |  -1.6216     +1.6216    |paral   |2020yCat.1350....0G
1458|HD 27517                                                                                                                                    |High Proper Motion Star               |04 19 41.6734487064 -24 53 16.430277768|222.4727693771226 -43.4903185506187|  50.012 19.224     |9.12     |F3V             |    ~     ~    |    1|  164.785   pc  |  -0.4616     +0.4616    |paral   |2020yCat.1350....0G
1459|HD 27518                                                                                                                                    |Star                                  |04 19 42.4079846784 -25 01 29.360290584|222.6564383854394 -43.5220975419934|   12.639 0.446     |6.853    |K3III           |    ~     ~    |    1|  229.684   pc  |  -0.8335     +0.8335    |paral   |2020yCat.1350....0G
1460|HD 27643                                                                                                                                    |Star                                  |04 20 44.9379966264 -24 43 35.389272900|222.3418392413929 -43.2178472319229|   8.618 11.713     |8.61     |K1/2III         |    ~     ~    |    1|  688.848   pc  |  -8.2090     +8.2090    |paral   |2020yCat.1350....0G
1461|CD-24 2254                                                                                                                                  |High Proper Motion Star               |04 20 32.8343086272 -24 32 29.746343436|222.0804827042186 -43.2145363303497| 87.222 105.511     |10.48    |~               |    ~     ~    |    1|  139.476   pc  |  -0.3190     +0.3190    |paral   |2020yCat.1350....0G
1462|CD-23 1940                                                                                                                                  |Spectroscopic Binary                  |04 27 16.2415012728 -23 32 59.628712596|221.3463657237269 -41.4694808658356|   3.920 -1.660     |9.55     |~               |    ~     ~    |    1|  572.770   pc  |  -5.0194     +5.0194    |paral   |2020yCat.1350....0G
1463|CD-23 1955                                                                                                                                  |Star                                  |04 28 22.4868025872 -23 42 59.618562444|221.6533363927963 -41.2728754751437|    6.641 0.541     |9.79     |~               |    ~     ~    |    1|  594.424   pc  |  -4.3814     +4.3814    |paral   |2020yCat.1350....0G
1464|CD-24 2261                                                                                                                                  |Star                                  |04 21 04.5087108144 -23 44 16.000199700|221.0635526278867 -42.8852996596782|    1.885 6.199     |10.134   |~               |    ~     ~    |    1|  805.664   pc  | -25.1300    +25.1300    |ST-L    |2020AJ....160...83S
1465|CD-24 2287                                                                                                                                  |Star                                  |04 22 31.6673587824 -23 45 16.351542108|221.2085095577487 -42.5699550141601|  13.581 14.404     |10.26    |~               |    ~     ~    |    1|  263.685   pc  |  -1.0777     +1.0777    |paral   |2020yCat.1350....0G
1466|HD 27964                                                                                                                                    |Star                                  |04 23 54.5470978104 -23 44 13.360193124|221.3025253864381 -42.2610769197631|  14.875 13.734     |8.93     |K1/2III         |    ~     ~    |    1|  633.673   pc  |  -6.5050     +6.5050    |paral   |2020yCat.1350....0G
1467|CD-24 2324                                                                                                                                  |High Proper Motion Star               |04 25 31.7561861760 -23 50 44.077316784|221.5797269675940 -41.9342264201711|-18.718 -82.322     |10.41    |~               |    ~     ~    |    1|  154.036   pc  |  -0.7782     +0.7782    |paral   |2020yCat.1350....0G
1468|CD-24 2330                                                                                                                                  |Star                                  |04 26 04.6642936584 -23 49 04.323447840|221.5900022226165 -41.8060041978750|    3.513 4.406     |10.319   |~               |    ~     ~    |    1| 1112.430   pc  | -58.4300    +58.4300    |ST-L    |2020AJ....160...83S
1469|HD 28480                                                                                                                                    |Pulsating Variable                    |04 28 28.8278712240 -23 52 47.489463948|221.8710850858026 -41.2947055583684|   -4.181 4.708     |9.15     |A9V             |    ~     ~    |    1|  191.740   pc  |  -0.5073     +0.5073    |paral   |2020yCat.1350....0G
1470|HD 27679                                                                                                                                    |Variable Star                         |04 21 10.3269201336 -24 32 20.975774928|222.1277189995208 -43.0766496119327|  38.037 -7.633     |9.43     |G2V             |    ~     ~    |    1|   84.570   pc  |  -0.3831     +0.3831    |ST-L    |2020AJ....160...83S
1471|HD 27724                                                                                                                                    |High Proper Motion Star               |04 21 32.2336757544 -24 17 30.628006260|221.8309935434962 -42.9317791470887| -20.383 62.112     |9.09     |G8V             |    ~     ~    |    1|  196.363   pc  |  -0.5552     +0.5552    |paral   |2020yCat.1350....0G
1472|CD-24 2278                                                                                                                                  |Star                                  |04 21 54.9336449688 -24 41 57.719232528|222.3991106044423 -42.9548291914925|  17.493 -2.483     |10.689   |~               |    ~     ~    |    1|  245.945   pc  |  -3.2850     +3.2850    |ST-L    |2020AJ....160...83S
1473|CD-24 2284                                                                                                                                  |High Proper Motion Star               |04 22 29.1036549336 -24 25 55.596477180|222.0929372912045 -42.7603548916130|135.650 -79.369     |10.30    |~               |    ~     ~    |    1|   81.683   pc  |  -0.0894     +0.0894    |paral   |2020yCat.1350....0G
1474|CD-24 2297                                                                                                                                  |Star                                  |04 23 14.8733182152 -24 37 19.539024096|222.4041020027536 -42.6424405840214|  -0.901 -5.293     |10.280   |~               |    ~     ~    |    1|  791.998   pc  | -27.1800    +27.1800    |ST-L    |2020AJ....160...83S
1475|CD-24 2300                                                                                                                                  |Double or Multiple Star               |04 23 39.966936 -24 07 42.00816        |221.791848241 -42.420379130        |       7.6 10.6     |10.342   |F8              |    ~     ~    |    0|                |                         |        |                   
1476|CD-24 2302                                                                                                                                  |Spectroscopic Binary                  |04 23 47.1470644656 -24 26 12.268858488|222.2046348884358 -42.4759002266372|    3.022 3.373     |10.244   |~               |    ~     ~    |    1|  486.510   pc  | -13.1000    +13.1000    |ST-L    |2020AJ....160...83S
1477|CD-24 2311                                                                                                                                  |Star                                  |04 24 25.4374750872 -24 03 01.574729928|221.7531380384735 -42.2328574869909|  39.178 20.249     |10.50    |~               |    ~     ~    |    1|  198.039   pc  |  -0.7844     +0.7844    |paral   |2020yCat.1350....0G
1478|CD-24 2312                                                                                                                                  |Star                                  |04 24 42.6518770632 -24 11 35.647441620|221.9626090488849 -42.2081105340522| 14.674 -14.743     |9.835    |~               |    ~     ~    |    1|  470.677   pc  | -11.2200    +11.2200    |ST-L    |2020AJ....160...83S
1479|HD 28104                                                                                                                                    |High Proper Motion Star               |04 25 06.8329703208 -24 19 03.117926568|222.1573242192742 -42.1527175841465| 27.844 -50.420     |9.731    |K0III           |    ~     ~    |    1|  368.865   pc  |  -6.5360     +6.5360    |ST-L    |2020AJ....160...83S
1480|CD-24 2335                                                                                                                                  |Star                                  |04 26 11.1682212768 -24 11 57.808895028|222.0919739488128 -41.8856433954462|   0.114 -9.195     |9.983    |~               |    ~     ~    |    1|  488.408   pc  | -14.5700    +14.5700    |ST-L    |2020AJ....160...83S
1481|HD 28230                                                                                                                                    |Star                                  |04 26 19.9392570048 -24 24 50.430468600|222.3817901132587 -41.9108421572096|  17.693 30.044     |9.85     |F8/G0V          |    ~     ~    |    1|  186.270   pc  |  -2.2000     +2.2000    |ST-L    |2020AJ....160...83S
1482|CD-24 2353                                                                                                                                  |High Proper Motion Star               |04 27 31.6646915064 -24 02 10.855150116|221.9924755637793 -41.5468537744472|-14.450 -64.118     |10.17    |~               |    ~     ~    |    1|  815.262   pc  |  -9.7039     +9.7039    |paral   |2020yCat.1350....0G
1483|HD 28368                                                                                                                                    |Double or Multiple Star               |04 27 31.65387 -24 27 26.3955          |222.53472584 -41.66008042          |  -36.62 -56.19     |9.15     |G0V             |    ~     ~    |    0|                |                         |        |                   
1484|HD 28409                                                                                                                                    |Star                                  |04 27 49.2011587536 -23 58 29.089554924|221.9376121320996 -41.4658472921517|   7.395 15.948     |9.50     |F8/G0V          |    ~     ~    |    1|  196.394   pc  |  -0.4937     +0.4937    |paral   |2020yCat.1350....0G
1485|CD-24 2360                                                                                                                                  |High Proper Motion Star               |04 27 49.9000516560 -24 09 46.460116476|222.1803198531783 -41.5144028096476|-19.317 -51.831     |10.49    |~               |    ~     ~    |    1|  183.442   pc  |  -0.5014     +0.5014    |paral   |2020yCat.1350....0G
1486|CD-24 2366                                                                                                                                  |Star                                  |04 28 19.1128246296 -24 29 36.849558660|222.6453988229580 -41.4962192481712|   3.549 -3.447     |10.216   |~               |    ~     ~    |    1| 1168.470   pc  | -66.0400    +66.0400    |ST-L    |2020AJ....160...83S
1487|CD-25 1850                                                                                                                                  |High Proper Motion Star               |04 20 50.7084890952 -25 00 11.281054680|222.7167419748443 -43.2670310841370| 45.875 -24.857     |10.26    |~               |    ~     ~    |    1|  198.511   pc  |  -0.4965     +0.4965    |paral   |2020yCat.1350....0G
1488|CD-25 1859                                                                                                                                  |Double or Multiple Star               |04 22 46.8662043600 -25 14 58.284612348|223.1938852689386 -42.9046935492390|  -4.072 -7.727     |10.168   |~               |    ~     ~    |    1|  744.158   pc  |  -7.3652     +7.3652    |paral   |2020yCat.1350....0G
1489|HD 27881                                                                                                                                    |Variable Star                         |04 23 05.6628417600 -24 53 31.702191900|222.7468853135405 -42.7457126527982| 16.862 -16.900     |5.796    |K5III           |    ~     ~    |    1|  142.851   pc  |  -1.7468     +1.7468    |paral   |2020yCat.1350....0G
1490|CD-25 1863                                                                                                                                  |Star                                  |04 23 08.1294410976 -25 17 56.897485584|223.2867388145134 -42.8395064365718| 17.315 -20.185     |10.229   |~               |    ~     ~    |    1|  265.560   pc  |  -3.6520     +3.6520    |ST-L    |2020AJ....160...83S
1491|HD 27905                                                                                                                                    |High Proper Motion Star               |04 23 20.1625364208 -25 23 41.997271740|223.4287140511520 -42.8194790410294|35.637 -268.220     |7.81     |G3V             |    ~     ~    |    1|   40.139   pc  |  -0.0256     +0.0256    |paral   |2020yCat.1350....0G
1492|CD-25 1876                                                                                                                                  |Star                                  |04 25 35.9097359016 -24 54 02.896182036|222.9558374917883 -42.1991078932247| 33.886 -24.147     |9.998    |~               |    ~     ~    |    1|  641.320   pc  | -19.2900    +19.2900    |ST-L    |2020AJ....160...83S
1493|CD-25 1877                                                                                                                                  |Star                                  |04 25 35.0554689960 -25 29 26.414572740|223.7259374249833 -42.3516500183972|    6.794 4.928     |10.364   |~               |    ~     ~    |    1| 1232.230   pc  | -74.7500    +74.7500    |ST-L    |2020AJ....160...83S
1494|HD 28324                                                                                                                                    |Star                                  |04 27 06.0788390568 -25 00 35.129722356|223.2157599667782 -41.8980354932540|   37.752 5.544     |9.28     |G6IV            |    ~     ~    |    1|  478.286   pc  |  -3.5686     +3.5686    |paral   |2020yCat.1350....0G
1495|CD-25 1889                                                                                                                                  |Star                                  |04 27 27.1163263632 -24 51 51.593903856|223.0547954981985 -41.7836407224125|  -3.330 -8.293     |10.47    |~               |    ~     ~    |    1|  346.909   pc  |  -1.7570     +1.7570    |paral   |2020yCat.1350....0G
1496|CD-25 1890                                                                                                                                  |Eclipsing Binary                      |04 27 35.2005854544 -25 13 52.017270024|223.5409026435397 -41.8485105950809|   47.485 5.234     |10.37    |~               |    ~     ~    |    1|  255.487   pc  |  -5.4438     +5.4438    |paral   |2020yCat.1350....0G
1497|CD-25 1896                                                                                                                                  |Star                                  |04 28 02.7681302952 -25 38 08.515665240|224.1016032892978 -41.8500391140360| -5.559 -22.996     |10.65    |~               |    ~     ~    |    1|  310.617   pc  |  -1.2639     +1.2639    |paral   |2020yCat.1350....0G
1498|HD 28521                                                                                                                                    |Star                                  |04 28 54.1365188400 -25 11 41.535660336|223.5958052359771 -41.5515618282422|  15.916 -1.464     |7.79     |K0IV            |    ~     ~    |    1|  262.460   pc  |  -1.8943     +1.8943    |paral   |2020yCat.1350....0G
1499|HD 28562                                                                                                                                    |Star                                  |04 29 09.5687276232 -25 36 15.442947468|224.1448990412210 -41.5991837334637|  -6.287 -7.591     |9.80     |A9V             |    ~     ~    |    1|  309.864   pc  |  -5.7120     +5.7120    |ST-L    |2020AJ....160...83S
1500|CD-25 1906                                                                                                                                  |Star                                  |04 29 22.3646562720 -25 23 34.735145496|223.8879113029268 -41.4992960800880|  24.777 -3.794     |9.952    |~               |    ~     ~    |    1|  489.740   pc  | -12.2800    +12.2800    |ST-L    |2020AJ....160...83S
1501|HD 28426                                                                                                                                    |Spectroscopic Binary                  |04 28 03.1893431808 -25 59 32.114001444|224.5663308058271 -41.9364149648311|   5.348 23.103     |8.88     |K0III           |    ~     ~    |    1|  463.929   pc  |  -6.6076     +6.6076    |paral   |2020yCat.1350....0G
1502|CD-25 1869                                                                                                                                  |Star                                  |04 23 26.7139525104 -25 30 45.740467836|223.5925184179021 -42.8247186026148|   0.947 -1.531     |10.77    |~               |    ~     ~    |    1|  687.844   pc  | -29.6600    +29.6600    |ST-L    |2020AJ....160...83S
