C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
67  |CD-43 11841                                                                                              |Star                                  |17 35 05.4070286112 -43 42 16.833882168|346.3203727194820 -06.0081832041652| -2.251 -13.787   |10.47    |A2               |    ~     ~    |    1|  535.733   pc  |  -5.5680     +5.5680    |paral   |2020yCat.1350....0G
68  |HD 159164                                                                                                |Star                                  |17 35 14.4807759648 -43 42 25.629108084|346.3329557378173 -06.0326034240323|   0.636 -4.280   |10.27    |A0               |    ~     ~    |    1|  813.008   pc  | -14.7399    +14.7399    |paral   |2020yCat.1350....0G
69  |HD 159259                                                                                                |Star                                  |17 35 46.8360634920 -43 09 05.515036884|346.8580353219285 -05.8193128957026|  -0.431 -1.938   |10.01    |B8Ib             |    ~     ~    |    1| 1050.641   pc  | -25.7196    +25.7196    |paral   |2020yCat.1350....0G
70  |HD 159283                                                                                                |Star                                  |17 35 54.1145278056 -43 17 23.251850196|346.7522200962629 -05.9116404046641|  -3.232 -6.708   |9.33     |K2/3(III)        |    ~     ~    |    1|  394.228   pc  |  -2.9374     +2.9374    |paral   |2020yCat.1350....0G
71  |HD 159296                                                                                                |Star                                  |17 35 58.1461660128 -43 24 41.616929376|346.6550971231106 -05.9867745607796| -6.284 -15.947   |9.46     |A0/1IV           |    ~     ~    |    1|  709.522   pc  | -29.2488    +29.2488    |paral   |2020yCat.1350....0G
72  |HD 159343                                                                                                |Double or Multiple Star               |17 36 20.1353 -43 44 05.023            |346.4152165 -06.2147028            |     -3.80 1.40   |10.10    |A2/3II/III       |    ~     ~    |    0|                |                         |        |                   
73  |HD 159363                                                                                                |Star                                  |17 36 22.6120461576 -43 36 58.084579008|346.5203084149516 -06.1580970657714| -4.936 -21.694   |10.40    |A0               |    ~     ~    |    1|  496.697   pc  | -12.1380    +12.1380    |paral   |2020yCat.1350....0G
74  |CD-43 11861                                                                                              |Star                                  |17 36 24.5544257760 -43 17 09.241447992|346.8048837879278 -05.9877666008523|    0.783 1.395   |10.47    |A0               |    ~     ~    |    1| 1305.313   pc  | -34.5880    +34.5880    |paral   |2020yCat.1350....0G
75  |HD 159401                                                                                                |Star                                  |17 36 35.3519712024 -43 38 25.110552732|346.5201946547184 -06.2034920598857| 19.907 -10.115   |9.38     |F3/5(V)          |    ~     ~    |    1|  185.815   pc  |  -4.9650     +4.9650    |paral   |2020yCat.1350....0G
76  |HD 159435                                                                                                |Star                                  |17 36 49.2608240376 -43 41 28.641038388|346.4990441482602 -06.2660576328956|  -2.249 -3.990   |10.27    |B9/A0Ib/II       |    ~     ~    |    1|  730.994   pc  | -18.7558    +18.7558    |paral   |2020yCat.1350....0G
77  |HD 159457                                                                                                |Star                                  |17 36 59.1866936400 -43 50 49.605962208|346.3819222965502 -06.3738614173144|  -1.222 -9.686   |10.53    |A8/9V            |    ~     ~    |    1|  350.717   pc  |  -3.9238     +3.9238    |paral   |2020yCat.1350....0G
78  |HD 323697                                                                                                |Star                                  |17 30 15.2507108040 -42 10 49.690727328|347.1281164737338 -04.4399711959857|   1.396 -1.072   |10.91    |B9               |    ~     ~    |    1| 1449.065   pc  | -35.9064    +35.9064    |paral   |2020yCat.1350....0G
79  |HD 323696                                                                                                |Star                                  |17 30 27.1199967264 -42 08 59.902154628|347.1738288147055 -04.4539972482888|  -3.118 -9.088   |10.39    |F0               |    ~     ~    |    1|  778.877   pc  |  -8.6751     +8.6751    |paral   |2020yCat.1350....0G
80  |HD 324055                                                                                                |Star                                  |17 37 11.7796307365 -42 22 36.671002621|347.6563097610530 -05.6276438803996|   3.981 -7.392   |10.47    |F5               |    ~     ~    |    0|                |                         |        |                   
81  |HD 324052                                                                                                |Star                                  |17 36 20.0046327360 -42 11 54.714704748|347.7228535160905 -05.3976862611331|  4.973 -20.761   |10.94    |F8               |    ~     ~    |    1|  227.785   pc  |  -1.1934     +1.1934    |paral   |2020yCat.1350....0G
82  |HD 324051                                                                                                |Star                                  |17 36 45.0533384112 -42 09 19.865974320|347.8007770072102 -05.4402842302270|   -4.314 1.146   |10.88    |B8               |    ~     ~    |    1| 1151.941   pc  | -41.5341    +41.5341    |paral   |2020yCat.1350....0G
83  |CD-43 11791                                                                                              |Star                                  |17 32 20.9552429808 -44 03 46.531293048|345.7500156183189 -05.7837530197269|  -1.016 -4.378   |10.56    |A0               |    ~     ~    |    1|  950.209   pc  | -27.9898    +27.9898    |paral   |2020yCat.1350....0G
84  |CD-43 11791s                                                                                             |Star                                  |17 32 21.1441120080 -44 04 02.371698948|345.7465993911777 -05.7866041097373|  15.039 -3.519   |10.69    |~                |    ~     ~    |    0|                |                         |        |                   
85  |HD 158888                                                                                                |Star                                  |17 33 52.3973057592 -44 04 36.183191592|345.8863733158307 -06.0219408809308|   2.417 -7.538   |8.14     |B5V              |    ~     ~    |    1|  704.374   pc  | -17.3650    +17.3650    |paral   |2020yCat.1350....0G
86  |HD 159165                                                                                                |Star                                  |17 35 14.5248187032 -44 03 13.833421128|346.0379856856255 -06.2175370563752|   1.590 -9.253   |8.76     |B8II             |    ~     ~    |    1|  692.377   pc  | -13.5666    +13.5666    |paral   |2020yCat.1350....0G
