C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:50:14

dec< 0&rah >=17.5&rah< 17.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 8094

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-------------------------|--------|-------------------
2873|HD 159454                                                                                                |Star                                  |17 35 35.5155501552 -20 59 57.429280428|005.5528376289544 +06.1179279277284|  3.049 -16.721   |9.29     |F3V              |    ~     ~    |    1|  146.789   pc  |  -0.4180     +0.4180    |paral   |2020yCat.1350....0G
2874|HD 159453                                                                                                |Star                                  |17 35 39.3522777432 -20 48 35.186462136|005.7222097909374 +06.2061401267246|   4.052 -3.889   |8.88     |A1III            |    ~     ~    |    1|  197.550   pc  |  -0.9327     +0.9327    |paral   |2020yCat.1350....0G
2875|HD 159507                                                                                                |Star                                  |17 35 54.6847006392 -20 16 12.716401800|006.2140660469442 +06.4422191143279|   1.065 -0.634   |9.23     |K0III/IV         |    ~     ~    |    1|  408.213   pc  |  -3.0328     +3.0328    |paral   |2020yCat.1350....0G
2876|HD 159548                                                                                                |Star                                  |17 36 09.0041877624 -20 22 11.041234320|006.1590642844720 +06.3419693126232|    0.244 1.413   |8.99     |G8/K0III(w)      |    ~     ~    |    1|  662.910   pc  |  -8.9648     +8.9648    |paral   |2020yCat.1350....0G
2877|HD 159591                                                                                                |Star                                  |17 36 23.2268211312 -20 58 38.061913800|005.6708610976507 +05.9724591640261|  -6.862 -3.386   |8.45     |K5(III)          |    ~     ~    |    1|  456.246   pc  |  -4.9750     +4.9750    |paral   |2020yCat.1350....0G
2878|HD 159663                                                                                                |Double or Multiple Star               |17 36 46.2526 -20 57 22.487            |005.7365606 +05.9076782            |      4.8 -10.2   |8.04     |A2V              |    ~     ~    |    0|                |                         |        |                   
2879|HD 159721                                                                                                |Star                                  |17 37 03.7145964144 -20 42 33.521981220|005.9833163618704 +05.9809284719235|-26.396 -14.384   |9.93     |G8/K1            |    ~     ~    |    1|  198.495   pc  |  -0.6304     +0.6304    |paral   |2020yCat.1350....0G
2880|HD 158512                                                                                                |Star                                  |17 30 36.1826365296 -21 57 15.023910312|004.1153201414645 +06.5844506908120| -3.332 -17.229   |9.95     |K1(III)          |    ~     ~    |    1|  521.349   pc  |  -4.6207     +4.6207    |paral   |2020yCat.1350....0G
2881|HD 158596                                                                                                |alpha2 CVn Variable                   |17 31 03.4621524 -21 29 07.037487      |004.5699161754 +06.7491669341      |   -9.69 -11.51   |9.53     |ApSi             |0.0067  0.0    |    0|                |                         |        |                   
2882|HD 158680                                                                                                |Double or Multiple Star               |17 31 29.4776983128 -21 33 40.334965992|004.5603717504680 +06.6233021246215|  -3.506 -7.235   |9.40     |G5V              |    ~     ~    |    0|                |                         |        |                   
2883|HD 158701                                                                                                |Star                                  |17 31 35.0055788328 -21 12 39.786604560|004.8689509134226 +06.7940214418115|  22.210 -9.275   |10.09    |G5V              |    ~     ~    |    1|  137.711   pc  |  -0.3926     +0.3926    |paral   |2020yCat.1350....0G
2884|HD 158815                                                                                                |High Proper Motion Star               |17 32 07.4307806400 -21 13 10.122872232|004.9300832272781 +06.6833491541891|  8.928 -61.522   |9.70     |G1V              |    ~     ~    |    1|  141.914   pc  |  -0.3464     +0.3464    |paral   |2020yCat.1350....0G
2885|HD 158882                                                                                                |Star                                  |17 32 39.7257290088 -21 52 24.501458208|004.4430688998979 +06.2259778233585|    1.347 5.737   |8.18     |G8III            |    ~     ~    |    1|  218.207   pc  |  -1.1570     +1.1570    |paral   |2020yCat.1350....0G
2886|HD 158939                                                                                                |Star                                  |17 32 50.6425365888 -21 34 18.232629564|004.7218741701373 +06.3526030895161| -3.242 -11.513   |10.50    |A0V              |    ~     ~    |    1|  376.932   pc  |  -2.8273     +2.8273    |paral   |2020yCat.1350....0G
2887|HD 158962                                                                                                |High Proper Motion Star               |17 33 01.3100356416 -21 49 52.552262928|004.5240163135604 +06.1783000485669|45.085 -198.173   |8.81     |G6V              |    ~     ~    |    1|   53.058   pc  |  -0.1886     +0.1886    |paral   |2020yCat.1350....0G
2888|HD 159012                                                                                                |Star                                  |17 33 09.8189932176 -21 45 40.719891420|004.6011508514779 +06.1881211876648|  -2.336 -4.941   |9.57     |A1/2IV           |    ~     ~    |    1|  341.822   pc  |  -2.5822     +2.5822    |paral   |2020yCat.1350....0G
2889|HD 159054                                                                                                |Star                                  |17 33 20.5721800944 -21 18 16.677507096|005.0113288821370 +06.3980448355011|  5.632 -39.378   |9.28     |G2/3V            |    ~     ~    |    1|  114.402   pc  |  -0.2317     +0.2317    |paral   |2020yCat.1350....0G
2890|HD 159159                                                                                                |Star                                  |17 33 59.1668097744 -21 11 25.024275924|005.1892691947994 +06.3327314714411| 21.627 -12.056   |9.42     |K0(III)          |    ~     ~    |    1|  396.983   pc  |  -3.2622     +3.2622    |paral   |2020yCat.1350....0G
2891|HD 159211                                                                                                |Star                                  |17 34 20.1744521592 -21 50 22.894023660|004.6814030825365 +05.9163525501255|-18.068 -36.729   |9.85     |F3V              |    ~     ~    |    1|  229.605   pc  |  -6.3104     +6.3104    |paral   |2020yCat.1350....0G
2892|HD 159231                                                                                                |Pulsating Variable                    |17 34 21.9492030408 -21 07 04.147937220|005.2985069475208 +06.2966720832997|   2.445 -2.582   |10.61    |A3               |    ~     ~    |    1|  458.316   pc  |  -3.7390     +3.7390    |paral   |2020yCat.1350....0G
2893|HD 159322                                                                                                |Star                                  |17 34 59.0592618312 -21 12 53.940368412|005.2933222710791 +06.1228728875325| -4.005 -19.119   |9.14     |K4               |    ~     ~    |    1|  413.070   pc  |  -3.8391     +3.8391    |paral   |2020yCat.1350....0G
2894|HD 159338                                                                                                |Pulsating Variable                    |17 35 01.8940631208 -21 29 15.012915000|005.0674786949635 +05.9681191717393|   1.477 -5.931   |9.71     |F0V              |    ~     ~    |    1|  480.123   pc  |  -4.5182     +4.5182    |paral   |2020yCat.1350....0G
2895|HD 159339                                                                                                |Star                                  |17 35 07.2652465944 -21 52 08.742287028|004.7543309114159 +05.7467496205062| -2.648 -12.681   |10.11    |K0/1(III)        |    ~     ~    |    1|  385.936   pc  |  -2.5321     +2.5321    |paral   |2020yCat.1350....0G
2896|BD-21 4657                                                                                               |Star                                  |17 35 15.4204672944 -21 53 17.580530904|004.7550109909918 +05.7098783252735|  1.406 -14.598   |9.78     |~                |    ~     ~    |    1|  363.557   pc  |  -2.4849     +2.4849    |paral   |2020yCat.1350....0G
2897|HD 159375                                                                                                |Star                                  |17 35 15.8107170840 -21 54 08.310487968|004.7438474258104 +05.7010773263401|-10.308 -11.826   |9.57     |K0               |    ~     ~    |    1|  364.830   pc  |  -2.8084     +2.8084    |paral   |2020yCat.1350....0G
2898|HD 159471                                                                                                |Star                                  |17 35 48.8182242816 -21 45 46.203879204|004.9308451786399 +05.6675109913322|  -4.445 12.622   |9.81     |G8/K1            |    ~     ~    |    1|  849.979   pc  | -13.3656    +13.3656    |paral   |2020yCat.1350....0G
2899|HD 159487                                                                                                |Star                                  |17 35 48.8858657688 -21 12 01.647892656|005.4094084841596 +05.9668402076020|    2.468 9.482   |8.65     |K1/2(III)        |    ~     ~    |    1|  449.317   pc  |  -5.0673     +5.0673    |paral   |2020yCat.1350....0G
2900|HD 159592                                                                                                |High Proper Motion Star               |17 36 23.1423757608 -21 57 40.656161088|004.8331316022635 +05.4494620347233| -26.931 46.133   |10.09    |G3/5V            |    ~     ~    |    1|  139.464   pc  |  -2.1181     +2.1181    |paral   |2020yCat.1350....0G
2901|HD 159763                                                                                                |Star                                  |17 37 17.9227034952 -21 42 48.083528556|005.1572111394648 +05.4017741514158|  -0.345 -6.209   |10.45    |A9/F0III         |    ~     ~    |    1|  484.449   pc  |  -4.9754     +4.9754    |paral   |2020yCat.1350....0G
2902|HD 159780                                                                                                |Star                                  |17 37 19.9840114536 -21 32 20.855961060|005.3098250513584 +05.4874390936894|  -0.072 -8.095   |9.72     |B9IV             |    ~     ~    |    1|  559.159   pc  |  -8.7544     +8.7544    |paral   |2020yCat.1350....0G
2903|HD 158702                                                                                                |Emission-line Star                    |17 31 35.3030953896 -22 02 57.070078296|004.1591705001206 +06.3409484192526|  -3.131 -8.684   |10.18    |B5/7II           |    ~     ~    |    1|  726.006   pc  | -10.4890    +10.4890    |paral   |2020yCat.1350....0G
2904|HD 158858                                                                                                |Star                                  |17 32 31.2377681448 -22 02 32.383938048|004.2821681375317 +06.1627267336547|  -0.083 -3.129   |10.15    |A2III(+A)        |    ~     ~    |    1|  542.535   pc  |  -6.7993     +6.7993    |paral   |2020yCat.1350....0G
2905|HD 159013                                                                                                |Pulsating Variable                    |17 33 14.0864021088 -22 05 51.190870704|004.3248699746789 +05.9935472601003|  -0.934 -6.293   |9.36     |A8III            |    ~     ~    |    1|  454.897   pc  |  -9.0015     +9.0015    |paral   |2020yCat.1350....0G
2906|* 52 Oph                                                                                                 |alpha2 CVn Variable                   |17 35 18.5001243240 -22 02 37.775976180|004.6291953913569 +05.6167084112471|  -1.045 -9.873   |6.481    |ApSi             |    ~     ~    |    1|  251.807   pc  |  -2.9104     +2.9104    |paral   |2020yCat.1350....0G
2907|HD 159781                                                                                                |Star                                  |17 37 26.9127321168 -22 04 41.615227092|004.8651764208362 +05.1786623314115|   0.158 -1.433   |10.09    |A0IV             |    ~     ~    |    1|  628.022   pc  |  -7.5333     +7.5333    |paral   |2020yCat.1350....0G
2908|HD 158662                                                                                                |Star                                  |17 31 23.5034633184 -22 16 34.877137620|003.9421040306502 +06.2565203109395|   4.989 -0.438   |9.00     |K1III            |    ~     ~    |    1|  571.821   pc  |  -8.0110     +8.0110    |paral   |2020yCat.1350....0G
2909|V* V2374 Oph                                                                                             |Long-Period Variable                  |17 33 34.5742277448 -22 10 18.018069168|004.3047305338782 +05.8870338322871|-12.124 -10.234   |7.78     |K4/5III          |    ~     ~    |    1|  248.120   pc  |  -1.3482     +1.3482    |paral   |2020yCat.1350....0G
2910|HD 159191                                                                                                |Star                                  |17 34 12.3822382800 -22 13 20.439399180|004.3404148346389 +05.7367602958743| -8.579 -10.209   |9.41     |B8IV             |    ~     ~    |    1|  492.223   pc  | -12.3080    +12.3080    |paral   |2020yCat.1350....0G
2911|HD 159361                                                                                                |High Proper Motion Star               |17 35 12.2844374928 -22 19 01.047870120|004.3843692701824 +05.4910208499592|-16.617 -48.128   |10.26    |G0V              |    ~     ~    |    1|  234.604   pc  |  -1.3099     +1.3099    |paral   |2020yCat.1350....0G
2912|HD 159377                                                                                                |Star                                  |17 35 17.2725003048 -22 09 55.625855292|004.5233466890385 +05.5557386545307|    4.876 1.133   |10.66    |A5/7             |    ~     ~    |    1|  445.434   pc  |  -4.0674     +4.0674    |paral   |2020yCat.1350....0G
2913|BD-19 4647                                                                                               |High Proper Motion Star               |17 31 07.8378067800 -19 49 55.907055228|005.9829322797098 +07.6253426766316|  8.085 -67.901   |10.49    |F8               |    ~     ~    |    1|  107.825   pc  |  -0.2674     +0.2674    |paral   |2020yCat.1350....0G
2914|BD-20 4793                                                                                               |Star                                  |17 33 46.3204146408 -20 30 55.691345952|005.7362939066524 +06.7358657594158|  -0.355 -4.190   |10.31    |F8               |    ~     ~    |    1|  665.646   pc  | -10.1466    +10.1466    |paral   |2020yCat.1350....0G
2915|BD-21 4630                                                                                               |Star                                  |17 31 31.7265190488 -21 31 20.031358152|004.5981427531245 +06.6369858260822|   -2.149 1.520   |9.91     |~                |    ~     ~    |    1|  424.827   pc  |  -3.9525     +3.9525    |paral   |2020yCat.1350....0G
2916|BD-20 4794                                                                                               |Star                                  |17 33 52.5542353392 -20 09 09.573908904|006.0583116284645 +06.9090494209767|   0.351 -1.520   |9.53     |~                |    ~     ~    |    1| 1481.262   pc  | -58.5835    +58.5835    |paral   |2020yCat.1350....0G
2917|BD-20 4796                                                                                               |Star                                  |17 34 12.7573470888 -20 34 26.869518660|005.7418369988666 +06.6173320490197|  -5.510 -0.837   |10.05    |~                |    ~     ~    |    1|  914.913   pc  | -24.1912    +24.1912    |paral   |2020yCat.1350....0G
2918|BD-20 4809                                                                                               |Star                                  |17 35 35.9437240368 -20 17 36.736805292|006.1550124461055 +06.4918837917522|  -6.730 -6.839   |10.09    |~                |    ~     ~    |    1|  457.938   pc  |  -3.4602     +3.4602    |paral   |2020yCat.1350....0G
2919|BD-20 4811                                                                                               |Star                                  |17 35 40.2834620160 -21 05 29.908289256|005.4841409977315 +06.0530659026434|-22.251 -14.893   |9.80     |~                |    ~     ~    |    1|  424.592   pc  |  -3.7498     +3.7498    |paral   |2020yCat.1350....0G
2920|BD-22 4377                                                                                               |Star                                  |17 36 27.5839751496 -22 21 18.395508168|004.5075177969437 +05.2252336263512|   9.879 -0.884   |9.87     |~                |    ~     ~    |    1|  648.046   pc  |  -9.7432     +9.7432    |paral   |2020yCat.1350....0G
2921|BD-21 4666                                                                                               |Star                                  |17 36 29.0799314688 -21 17 56.308579692|005.4089924311029 +05.7822622247038|    0.930 1.207   |10.34    |~                |    ~     ~    |    1|  584.488   pc  |  -8.8139     +8.8139    |paral   |2020yCat.1350....0G
2922|BD-21 4667                                                                                               |Star                                  |17 37 03.3845378496 -21 48 01.141314480|005.0531869885856 +05.4032850440280|  -2.898 19.104   |10.17    |~                |    ~     ~    |    1|  574.185   pc  |  -6.4289     +6.4289    |paral   |2020yCat.1350....0G
2923|BD-20 4819                                                                                               |Star                                  |17 37 03.6282319944 -20 40 26.999324004|006.0131095584709 +05.9998316499423|  -1.018 -8.855   |9.93     |~                |    ~     ~    |    1|  564.717   pc  |  -5.0706     +5.0706    |paral   |2020yCat.1350....0G
2924|CPD-20 6607                                                                                              |Star                                  |17 37 26.3146539456 -20 14 47.543790444|006.4251409428802 +06.1509601166532| -6.459 -10.925   |9.79     |~                |    ~     ~    |    1|  657.981   pc  |  -8.9186     +8.9186    |paral   |2020yCat.1350....0G
2925|TYC 6243-270-1                                                                                           |Star                                  |17 34 28.7290255896 -20 27 01.889108496|005.8805602618362 +06.6305690753099|    0.332 2.982   |10.15    |~                |    ~     ~    |    1|  835.911   pc  | -13.6954    +13.6954    |paral   |2020yCat.1350....0G
2926|BD-21 4652                                                                                               |Star                                  |17 34 47.4081077952 -21 51 51.191518140|004.7172230905846 +05.8142531997131|   5.329 -0.849   |10.43    |~                |    ~     ~    |    1| 1130.838   pc  | -25.4480    +25.4480    |paral   |2020yCat.1350....0G
2927|BD-21 4660                                                                                               |Star                                  |17 35 40.9361863968 -21 18 34.995228192|005.2998948085352 +05.9347920591011|    2.255 0.981   |10.16    |~                |    ~     ~    |    1| 1448.855   pc  | -83.1276    +83.1276    |paral   |2020yCat.1350....0G
2928|BD-21 4672                                                                                               |Star                                  |17 37 25.0391804184 -21 11 10.358338704|005.6209413329395 +05.6578913965149|  -4.363 -9.302   |10.10    |~                |    ~     ~    |    1|  776.458   pc  | -20.9202    +20.9202    |paral   |2020yCat.1350....0G
2929|TYC 6243-88-1                                                                                            |Star                                  |17 33 14.0427764160 -19 39 07.732240884|006.4036467971413 +07.3038226141606|   4.872 -0.980   |10.90    |~                |    ~     ~    |    1|  518.726   pc  |  -4.2514     +4.2514    |paral   |2020yCat.1350....0G
2930|TYC 6243-152-1                                                                                           |Star                                  |17 33 28.6146842160 -20 22 35.180555844|005.8174118824738 +06.8686067963709|   1.076 -1.171   |10.39    |~                |    ~     ~    |    1|  571.690   pc  |  -6.7327     +6.7327    |paral   |2020yCat.1350....0G
2931|CPD-19 6229                                                                                              |Star                                  |17 30 39.2037652728 -19 39 21.098169288|006.0720679561276 +07.8148224113776| -5.712 -23.479   |10.64    |F8               |    ~     ~    |    1|  338.146   pc  |  -2.2869     +2.2869    |paral   |2020yCat.1350....0G
2932|TYC 6247-42-1                                                                                            |Star                                  |17 35 54.0795287496 -21 12 27.182422188|005.4141671103594 +05.9459848248754|  -0.148 -8.964   |10.98    |~                |    ~     ~    |    1|  490.822   pc  |  -6.5526     +6.5526    |paral   |2020yCat.1350....0G
2933|BD-20 4789                                                                                               |Star                                  |17 33 12.0744821664 -20 53 07.901449476|005.3496171599970 +06.6505889228012|   -2.692 1.166   |10.91    |F2               |    ~     ~    |    1|  284.051   pc  |  -1.3152     +1.3152    |paral   |2020yCat.1350....0G
2934|TYC 6247-83-1                                                                                            |Star                                  |17 35 34.7248772880 -20 51 43.069496580|005.6681169884747 +06.1936268445847|   0.674 -1.831   |10.81    |~                |    ~     ~    |    1|  565.835   pc  | -13.7673    +13.7673    |paral   |2020yCat.1350....0G
2935|TYC 6247-108-1                                                                                           |Star                                  |17 33 36.4453573176 -20 46 29.737391016|005.4948199923477 +06.6296555343935| 14.772 -32.992   |10.52    |~                |    ~     ~    |    1|  540.833   pc  |  -5.2650     +5.2650    |paral   |2020yCat.1350....0G
2936|TYC 6247-153-1                                                                                           |Star                                  |17 31 14.5073551608 -22 01 33.301006392|004.1352103362228 +06.4211074340341|  -0.744 -6.228   |10.48    |~                |    ~     ~    |    1|  373.357   pc  |  -2.1746     +2.1746    |paral   |2020yCat.1350....0G
2937|TYC 6247-161-1                                                                                           |Star                                  |17 31 31.6505173056 -21 52 44.367373704|004.2956530907290 +06.4447225338764| -10.043 -7.454   |10.87    |~                |    ~     ~    |    1|  659.500   pc  |  -7.3070     +7.3070    |paral   |2020yCat.1350....0G
2938|TYC 6247-195-1                                                                                           |Star                                  |17 35 23.4475785864 -21 56 11.395564260|004.7306367512366 +05.6578616785277|  -6.222 -3.909   |10.51    |~                |    ~     ~    |    1|  620.810   pc  |  -6.8602     +6.8602    |paral   |2020yCat.1350....0G
2939|TYC 6247-213-1                                                                                           |Star                                  |17 32 08.1029541120 -21 39 46.897981776|004.5552278120479 +06.4423898329865|  -3.282 -4.912   |10.70    |~                |    ~     ~    |    1|  565.547   pc  |  -8.2520     +8.2520    |paral   |2020yCat.1350....0G
2940|CPD-21 6403                                                                                              |Star                                  |17 32 22.6424629512 -21 25 32.701588896|004.7870127967410 +06.5226142343728|  1.363 -12.064   |10.81    |F0               |    ~     ~    |    1|  239.596   pc  |  -1.0161     +1.0161    |paral   |2020yCat.1350....0G
2941|TYC 6256-1455-1                                                                                          |Star                                  |17 36 43.1349443040 -20 01 12.878446620|006.5284557723857 +06.4140155381582| -13.234 -0.409   |10.60    |~                |    ~     ~    |    1|  249.209   pc  |  -1.2297     +1.2297    |paral   |2020yCat.1350....0G
2942|TYC 6256-1586-1                                                                                          |Star                                  |17 37 24.4530573288 -20 08 20.208431076|006.5131426718178 +06.2140061423504|   -6.599 3.974   |10.3     |~                |    ~     ~    |    1|  520.644   pc  |  -5.1232     +5.1232    |paral   |2020yCat.1350....0G
2943|TYC 6256-1628-1                                                                                          |Star                                  |17 37 22.8850581744 -20 05 51.737296488|006.5451017698414 +06.2410092980207| -7.914 -12.789   |10.58    |~                |    ~     ~    |    1|  104.759   pc  |  -0.2118     +0.2118    |paral   |2020yCat.1350....0G
2944|TYC 6260-1564-1                                                                                          |Star                                  |17 36 36.9940891584 -20 53 24.163799640|005.7737550210622 +05.9733466983310| -2.478 -16.376   |9.87     |~                |    ~     ~    |    1|  558.036   pc  |  -5.2627     +5.2627    |paral   |2020yCat.1350....0G
2945|BD-20 4783                                                                                               |Long-Period Variable Candidate        |17 31 11.9563472616 -20 14 42.945332136|005.6403735807065 +07.3896723102851| -8.064 -12.954   |10.45    |M5               |    ~     ~    |    1|  427.991   pc  |  -8.1696     +8.1696    |paral   |2020yCat.1350....0G
2946|HD 159950                                                                                                |Spectroscopic Binary                  |17 38 08.6019797832 -19 58 28.034330664|006.7454135575001 +06.1540629661272|  0.039 -11.476   |8.59     |K5/M0(III)       |    ~     ~    |    1|  489.213   pc  |  -6.1268     +6.1268    |paral   |2020yCat.1350....0G
2947|HD 159819                                                                                                |Double or Multiple Star               |17 37 32.096 -20 03 15.40              |006.601351 +06.233347              |      -2.8 -6.0   |9.1      |A0V              |    ~     ~    |    0|                |                         |        |                   
2948|** HU 752C                                                                                               |Star                                  |17 37 35.5 -20 03 15                   |006.6085 +06.2221                  |            ~ ~   |10.9     |~                |    ~     ~    |    0|                |                         |        |                   
2949|HD 159820                                                                                                |Star                                  |17 37 30.8081023200 -20 41 22.286401620|006.0564026968876 +05.9018144971174| -5.893 -17.672   |8.34     |G8III/IV         |    ~     ~    |    1|  164.612   pc  |  -0.5690     +0.5690    |paral   |2020yCat.1350....0G
2950|HD 159841                                                                                                |Double or Multiple Star               |17 37 39.4661 -21 02 21.736            |005.7759567 +05.6880827            |  2.260 -12.965   |9.77     |A0II/III         |    ~     ~    |    0|                |                         |        |                   
2951|HD 159880                                                                                                |Star                                  |17 37 50.5292583360 -20 40 03.491300388|006.1159449746561 +05.8481385914762|   0.947 -5.998   |9.47     |B8/9V            |    ~     ~    |    1|  602.700   pc  |  -7.1923     +7.1923    |paral   |2020yCat.1350....0G
2952|HD 159931                                                                                                |Star                                  |17 38 08.8296101544 -20 33 21.776860008|006.2490866525797 +05.8464825059380|  -20.348 4.884   |9.63     |K0/1III          |    ~     ~    |    1|  398.676   pc  |  -2.6226     +2.6226    |paral   |2020yCat.1350....0G
2953|HD 160063                                                                                                |Star                                  |17 38 45.6080014680 -20 57 37.565934984|005.9798975163102 +05.5113581580879|  -1.283 -3.732   |9.49     |B8Ib/II          |    ~     ~    |    1|  678.104   pc  |  -8.4148     +8.4148    |paral   |2020yCat.1350....0G
2954|HD 160088                                                                                                |Star                                  |17 38 48.8745413784 -20 44 23.977400136|006.1748209832086 +05.6168009197884| 26.460 -10.341   |9.37     |A9/F0V           |    ~     ~    |    1|  159.274   pc  |  -0.4744     +0.4744    |paral   |2020yCat.1350....0G
2955|HD 160187                                                                                                |Star                                  |17 39 17.8817528208 -20 42 32.390850852|006.2611262796786 +05.5370440832278|    2.621 0.509   |9.24     |B9V              |    ~     ~    |    1|  636.173   pc  |  -7.4872     +7.4872    |paral   |2020yCat.1350....0G
2956|HD 159842                                                                                                |Star                                  |17 37 42.0820574472 -21 15 22.926874500|005.5963765489565 +05.5645829461932|    1.607 9.731   |8.58     |F3IV/V           |    ~     ~    |    1|  306.692   pc  |  -3.1322     +3.1322    |paral   |2020yCat.1350....0G
2957|HD 159893                                                                                                |Double or Multiple Star               |17 38 01.8507579744 -21 30 28.873818540|005.4226944028116 +05.3662908227973| 11.702 -16.303   |10.10    |F3/5V            |    ~     ~    |    1|  209.183   pc  |  -3.6144     +3.6144    |paral   |2020yCat.1350....0G
2958|HD 159912                                                                                                |Star                                  |17 38 08.1571854336 -21 34 34.721176872|005.3774911512608 +05.3094104430270| -25.956 10.537   |9.20     |F5V              |    ~     ~    |    1|  144.716   pc  |  -0.5655     +0.5655    |paral   |2020yCat.1350....0G
2959|HD 159977                                                                                                |Star                                  |17 38 22.5130857864 -21 23 44.957958216|005.5609013141969 +05.3576379953558| 22.573 -14.525   |9.73     |F6V              |    ~     ~    |    1|  354.346   pc  | -31.7293    +31.7293    |paral   |2020yCat.1350....0G
2960|HD 159978                                                                                                |Star                                  |17 38 23.6243569944 -21 31 16.554164808|005.4562500075738 +05.2876596896506|  -0.483 -5.813   |9.33     |M1/3             |    ~     ~    |    1|  977.040   pc  | -37.3251    +37.3251    |paral   |2020yCat.1350....0G
2961|* 2 Sgr                                                                                                  |Double or Multiple Star               |17 38 44.8540757328 -21 54 45.673834104|005.1662849015757 +05.0109607834882| -33.566 -6.668   |6.20     |G6III/IV         |0.0017  0.0    |    1|   98.042   pc  |  -3.1048     +3.1048    |paral   |2020yCat.1350....0G
2962|HD 160064                                                                                                |Star                                  |17 38 49.6586532888 -21 39 21.626800704|005.3949161756470 +05.1308198173539|-10.073 -15.982   |9.36     |K2/4             |    ~     ~    |    1|  693.674   pc  | -11.7409    +11.7409    |paral   |2020yCat.1350....0G
2963|BD-21 4688                                                                                               |Star                                  |17 39 29.6918470080 -21 29 10.507139160|005.6218682856414 +05.0886165368373|  -6.140 -3.730   |9.36     |K0               |    ~     ~    |    1|  771.903   pc  | -13.5850    +13.5850    |paral   |2020yCat.1350....0G
2964|IRC -20375                                                                                               |Long-Period Variable Candidate        |17 38 59.6162182056 -21 40 22.879443648|005.4008553598173 +05.0890908701433|  -0.761 -5.003   |10.41    |M6               |    ~     ~    |    1|  611.471   pc  | -25.8363    +25.8363    |paral   |2020yCat.1350....0G
2965|HD 159913                                                                                                |High Proper Motion Star               |17 38 08.5425691608 -22 04 58.819704744|004.9466880475141 +05.0398556112785| 58.044 -61.866   |10.23    |G3/5V            |    ~     ~    |    1|  106.551   pc  |  -0.2078     +0.2078    |paral   |2020yCat.1350....0G
2966|TYC 6260-1537-1                                                                                          |Star                                  |17 40 10.7608485888 -22 08 28.168328472|005.1472323283731 +04.6085417067499|  -4.376 -3.356   |10.67    |~                |    ~     ~    |    1|  890.551   pc  | -38.2265    +38.2265    |paral   |2020yCat.1350....0G
2967|CPD-20 6614                                                                                              |Star                                  |17 38 32.8766047992 -20 17 28.210634592|006.5250999572078 +05.9064248968490|   4.786 -4.178   |10.75    |~                |    ~     ~    |    1|  536.711   pc  |  -7.4319     +7.4319    |paral   |2020yCat.1350....0G
2968|FAUST 4241                                                                                               |Star                                  |17 37 33.64 -21 10 22.3                |005.65011 +05.63662                |            ~ ~   |10.8     |~                |    ~     ~    |    0|                |                         |        |                   
2969|BD-20 4834                                                                                               |Star                                  |17 39 17.9148838464 -20 51 51.159504024|006.1286272263716 +05.4552131226030|   2.095 -6.178   |10.13    |~                |    ~     ~    |    1|  674.536   pc  |  -8.0080     +8.0080    |paral   |2020yCat.1350....0G
2970|TYC 6260-1923-1                                                                                          |Star                                  |17 37 38.8685642424 -21 08 01.082715288|005.6943555879681 +05.6401554356647|  -0.485 -7.800   |10.47    |~                |    ~     ~    |    1|  945.537   pc  | -15.8245    +15.8245    |paral   |2020yCat.1350....0G
2971|BD-20 4835                                                                                               |Star                                  |17 39 30.5770436016 -20 55 17.064647580|006.1058482975465 +05.3831948915477| -14.563 -9.948   |10.22    |~                |    ~     ~    |    1|  548.516   pc  |  -5.4157     +5.4157    |paral   |2020yCat.1350....0G
2972|BD-20 4836                                                                                               |Star                                  |17 39 39.3716664720 -20 39 29.690235432|006.3487632632163 +05.4925056609449|   -3.904 2.175   |10.04    |~                |    ~     ~    |    1|  597.907   pc  |  -7.3644     +7.3644    |paral   |2020yCat.1350....0G
2973|BD-21 4694                                                                                               |Star                                  |17 40 09.7829983176 -21 06 39.809545560|006.0244127725161 +05.1537490277985|  -2.053 -4.930   |10.51    |~                |    ~     ~    |    1|  864.379   pc  | -13.4487    +13.4487    |paral   |2020yCat.1350....0G
2974|BD-20 4839                                                                                               |Star                                  |17 40 22.7367755496 -20 46 32.810261772|006.3374933693092 +05.2869559138667| -2.516 -10.178   |10.49    |~                |    ~     ~    |    1|  414.817   pc  |  -4.3879     +4.3879    |paral   |2020yCat.1350....0G
2975|BD-20 4840                                                                                               |Star                                  |17 40 27.5420745032 -20 45 48.233214997|006.3579454960410 +05.2775190009872|     4.70 -7.40   |10.48    |~                |    ~     ~    |    0|                |                         |        |                   
2976|HD 160489                                                                                                |Star                                  |17 40 56.8815548544 -19 58 32.905478892|007.0921328837304 +05.5925418629645| -2.828 -25.973   |8.89     |K2/3III          |    ~     ~    |    1|  343.300   pc  |  -2.7932     +2.7932    |paral   |2020yCat.1350....0G
