C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
1949|HD 284768                                                             |Double or Multiple Star        |04 47 37.8301 +22 11 10.804            |178.0678748 -14.5756121            |      -4.4 -0.9  |9.56     |A0                |    ~     ~    
1950|HD 30354                                                              |Star                           |04 47 47.9312261952 +22 08 21.898941180|178.1308689200229 -14.5737036407178|  0.437 -20.210  |8.43     |M5III             |    ~     ~    
1951|HD 284766                                                             |Star                           |04 48 02.0593380408 +22 10 11.411135184|178.1406679794109 -14.5119950858253|-34.631 -32.534  |9.57     |G0                |    ~     ~    
1952|HD 284877                                                             |Star                           |04 52 20.9199671568 +22 06 06.753969468|178.8247951620478 -13.7618713415301| -3.539 -12.201  |9.23     |G5                |    ~     ~    
1953|HD 284662                                                             |Star                           |04 45 10.6763027784 +22 42 34.009344072|177.2808944443130 -14.6980048869316|  -0.693 -4.026  |10.42    |A0                |    ~     ~    
1954|HD 284663                                                             |Star                           |04 45 19.5140027232 +22 41 14.469923616|177.3206008381154 -14.6850803206514| -11.528 -1.957  |9.82     |G0                |    ~     ~    
1955|HD 284751                                                             |Star                           |04 49 32.1523443720 +23 09 22.025616588|177.5574630605971 -13.6329441054252|     17.9 -12.4  |9.86     |F0                |    ~     ~    
1956|HD 284761                                                             |Star                           |04 49 45.8354133744 +22 23 48.060621780|178.2087192497884 -14.0568058084215| -1.376 -15.260  |10.23    |G0                |    ~     ~    
1957|HD 284753                                                             |Eclipsing Binary               |04 50 20.6357650296 +23 00 22.190867784|177.7965787927520 -13.5780675615420|  1.388 -40.880  |10.26    |G5                |    ~     ~    
1958|HD 284755                                                             |Star                           |04 52 12.7846870512 +23 07 13.983899124|177.9733206684765 -13.1677454283748|   2.788 -6.860  |10.49    |G0                |    ~     ~    
1959|HD 284680                                                             |Star                           |04 45 36.2876675280 +21 27 37.872491292|178.3603435235151 -15.3929302193122|  21.330 37.276  |9.81     |G0                |    ~     ~    
1960|HD 30232                                                              |Star                           |04 46 38.3968626696 +21 30 06.901409088|178.4801881526108 -15.1776636183185|-14.526 -35.566  |8.63     |F0                |    ~     ~    
1961|TYC 1292-534-1                                                        |Star                           |04 49 00.7848146424 +21 47 31.152324012|178.5927898523294 -14.5641630117004| -1.213 -10.101  |10.54    |G5                |    ~     ~    
1962|HD 30588                                                              |Star                           |04 49 45.8726709096 +21 56 58.905535596|178.5738094758330 -14.3297907195829|  -0.915 -4.741  |7.84     |B8/9              |    ~     ~    
1963|HD 284878                                                             |Star                           |04 52 29.6810968080 +22 04 04.483662744|178.8737145520335 -13.7555446306609|  5.924 -16.589  |10.13    |K0                |    ~     ~    
1964|HD 284679                                                             |Star                           |04 45 09.2652030960 +21 36 43.902729108|178.1695210771936 -15.3817575783853| 12.463 -17.757  |10.747   |F5                |    ~     ~    
1965|HD 284683                                                             |Star                           |04 46 52.9334200296 +21 30 19.355584140|178.5132347278056 -15.1310783181070|  -2.922 -4.050  |10.23    |K5                |    ~     ~    
1966|HD 284681                                                             |Star                           |04 46 07.7586566664 +21 35 20.863342392|178.3332425452036 -15.2176106156219|  -0.817 -8.785  |10.81    |A3                |    ~     ~    
1967|HD 284781                                                             |Star                           |04 48 02.6863144944 +21 36 22.676202468|178.6023552061466 -14.8556843085781|  11.141 -5.774  |10.62    |G0                |    ~     ~    
1968|HD 284770                                                             |Star                           |04 48 36.8280246840 +21 47 52.649251944|178.5293285963503 -14.6338382045855|  5.212 -10.057  |10.21    |K5                |    ~     ~    
1969|HD 284773                                                             |Star                           |04 51 04.5819270840 +22 00 40.562494848|178.7145689666891 -14.0511234841025|  18.558 -7.046  |10.07    |K7                |    ~     ~    
1970|TYC 1292-409-1                                                        |Star                           |04 49 31.9444029264 +22 19 09.820197588|178.2380015636337 -14.1464288914353|    5.331 3.305  |10.90    |~                 |    ~     ~    
1971|HD 30122                                                              |Star                           |04 45 42.4670020968 +23 37 40.775315448|176.6162672455001 -14.0316551532902|  9.012 -17.595  |6.329    |B                 |    ~     ~    
1972|HD 284771                                                             |Star                           |04 49 33.9070269120 +21 55 05.260433628|178.5704740873728 -14.3856922275156|   5.275 -0.901  |10.82    |A0                |    ~     ~    
1973|TYC 1292-1234-1                                                       |Star                           |04 49 37.5021688584 +21 41 16.069512660|178.7676709994857 -14.5152323864160|    5.006 7.265  |10.80    |~                 |    ~     ~    
1974|TYC 1292-1614-1                                                       |Star                           |04 48 54.5171004168 +21 39 40.222128276|178.6844685640245 -14.6633138637857|   -2.607 3.266  |10.64    |~                 |    ~     ~    
1975|TYC 1831-1808-1                                                       |Star                           |04 46 51.3539306880 +22 51 11.096709660|177.4119003665182 -14.3054080980941|   1.487 -6.132  |10.88    |~                 |    ~     ~    
1976|HD 30169                                                              |High Proper Motion Star        |04 45 59.3260296048 +21 15 49.779736920|178.5782120162074 -15.4436091781929| 88.117 -31.681  |9.54     |G8III             |    ~     ~    
1977|HD 284782                                                             |Star                           |04 47 21.8992798728 +21 17 46.477349628|178.7557537983268 -15.1706461938779|  9.496 -17.137  |9.71     |A2                |    ~     ~    
1978|HD 30468                                                              |Star                           |04 48 43.8598414128 +21 18 56.764543572|178.9412405233711 -14.9069813066904| -6.119 -15.774  |7.030    |A0V               |    ~     ~    
1979|HD 284780                                                             |Star                           |04 49 15.2378201352 +21 22 55.849112832|178.9636459092437 -14.7699795141953|   1.990 -9.458  |10.51    |F0                |    ~     ~    
1980|HD 284776                                                             |Star                           |04 50 48.2482069680 +21 24 26.732059668|179.1697845601718 -14.4682269167015|   -6.537 7.581  |9.88     |K5                |    ~     ~    
1981|HD 284686                                                             |Star                           |04 46 18.2212534320 +21 09 56.209288788|178.7053877223285 -15.4460912387637| -26.091 -5.245  |9.31     |K0                |    ~     ~    
1982|HD 284803                                                             |Star                           |04 47 10.5018360744 +20 26 58.446796560|179.4225188458795 -15.7236338938757|  -7.142 -4.767  |10.40    |A2                |    ~     ~    
1983|HD 284802                                                             |High Proper Motion Star        |04 47 09.2555698824 +20 26 30.576563628|179.4258022716337 -15.7322141174026|-38.023 -47.475  |9.57     |F8                |    ~     ~    
1984|HD 284798                                                             |Star                           |04 47 12.0963273504 +20 32 50.146261908|179.3461093302348 -15.6590464002423|   0.666 -5.939  |9.95     |A2                |    ~     ~    
1985|HD 284787                                                             |High Proper Motion Star        |04 48 42.1304427984 +21 06 03.730111092|179.1131163002887 -15.0433121238699| 92.821 -53.704  |9.057    |G5                |    ~     ~    
1986|HD 284820                                                             |Star                           |04 48 45.0352754664 +20 21 34.665248736|179.7300253522583 -15.4855983033635|  -1.544 -1.545  |10.13    |B9                |    ~     ~    
1987|HD 284794                                                             |Star                           |04 50 00.3140310408 +20 44 37.247519796|179.5984498705866 -15.0190798002696|  6.856 -21.804  |10.65    |F8                |    ~     ~    
1988|HD 284789                                                             |Spectroscopic Binary           |04 50 20.0417634624 +21 05 01.504733532|179.3669199513126 -14.7517302259881|  5.865 -26.900  |9.55     |A2                |    ~     ~    
1989|HD 284815                                                             |Star                           |04 50 54.9415697064 +20 13 03.046116252|180.1660017058230 -15.1675492516562| 19.563 -14.759  |10.24    |F8                |    ~     ~    
1990|HD 284688                                                             |Star                           |04 45 06.0441310824 +21 12 03.577248828|178.4973187003258 -15.6453456086307| 12.776 -28.328  |10.77    |K5                |    ~     ~    
1991|HD 284797                                                             |Star                           |04 47 39.4205912472 +20 46 17.861458080|179.2292354804694 -15.4376635704935|   -3.156 1.006  |10.67    |K0                |    ~     ~    
1992|HD 284792                                                             |Star                           |04 49 49.2201908952 +20 52 43.731321852|179.4601090026313 -14.9714216112340|  9.799 -15.262  |10.84    |G5                |    ~     ~    
1993|HD 284791                                                             |Star                           |04 51 08.9478065256 +20 54 57.021292908|179.6242212416771 -14.7021278396593| -5.826 -12.716  |10.88    |F8                |    ~     ~    
1994|HD 284799                                                             |Star                           |04 46 53.6052658440 +20 27 52.924279392|179.3682082596754 -15.7666174945405|   1.720 -5.759  |10.97    |K                 |    ~     ~    
1995|HD 284804                                                             |High Proper Motion Star        |04 48 15.6576342312 +20 32 39.513037704|179.5055364074341 -15.4643118559149| 30.132 -52.718  |10.81    |G5                |    ~     ~    
1996|HD 284796                                                             |Star                           |04 48 31.1060156568 +20 42 04.043511108|179.4145699406910 -15.3210357976364|  -10.289 5.342  |10.82    |F8                |    ~     ~    
1997|HD 284807                                                             |Spectroscopic Binary           |04 50 58.1653377744 +20 30 11.881522152|179.9379148229660 -14.9849863814084|   1.867 -1.841  |10.45    |K2                |    ~     ~    
1998|HD 284808                                                             |Star                           |04 51 51.8707550880 +20 31 35.432314608|180.0496008188979 -14.8038420586728|    6.258 0.855  |10.78    |K5                |    ~     ~    
1999|HD 284714                                                             |Star                           |04 45 53.6168549664 +20 08 11.407909992|179.4892245116905 -16.1527939608366|   8.911 -2.603  |10.91    |K5                |    ~     ~    
2000|HD 284824                                                             |Star                           |04 46 23.1103287336 +20 10 18.486159312|179.5335715477481 -16.0399240517046| -0.385 -12.153  |10.59    |K5                |    ~     ~    
2001|HD 284823                                                             |Star                           |04 47 06.7689320952 +20 16 27.445257084|179.5575557823244 -15.8421629658065| 13.901 -13.488  |9.90     |K0                |    ~     ~    
2002|HD 284822                                                             |Star                           |04 48 05.4474644784 +20 16 37.698182328|179.7003909191335 -15.6585650022942|  -2.305 -2.734  |10.71    |A0                |    ~     ~    
2003|HD 284821                                                             |Star                           |04 48 38.5008893040 +20 13 39.174456036|179.8228301288813 -15.5861099582760|  2.515 -11.717  |10.01    |K7                |    ~     ~    
2004|HD 284818                                                             |Star                           |04 49 59.6063504328 +20 07 17.356070460|180.1098396657639 -15.3980385491853|  -0.882 -1.303  |10.89    |A0                |    ~     ~    
2005|HD 284812                                                             |Star                           |04 51 16.5366591768 +20 09 59.204602188|180.2609586912536 -15.1309630579750| -0.159 -11.333  |9.91     |G5                |    ~     ~    
2006|HD 284699                                                             |Star                           |04 45 10.5842904456 +20 41 34.750410468|178.9246333980524 -15.9442014703745| -0.376 -12.119  |9.89     |K7                |    ~     ~    
2007|HD 284700                                                             |Star                           |04 45 25.8363467376 +20 33 57.021891120|179.0669790800594 -15.9753984692140|   -4.960 3.128  |10.18    |K2                |    ~     ~    
2008|HD 284801                                                             |Star                           |04 46 17.3200842336 +20 20 18.426258168|179.3819912661689 -15.9559408110477| 21.497 -24.975  |10.47    |G5                |    ~     ~    
2009|HD 284783                                                             |Star                           |04 46 47.5343134512 +21 05 29.749224264|178.8385408298793 -15.4015700847748|   5.714 -8.027  |9.78     |K2                |    ~     ~    
2010|HD 284795                                                             |Star                           |04 48 55.8936787464 +20 45 54.057616920|179.4229666848731 -15.2055067944704| 19.820 -23.965  |10.05    |K5                |    ~     ~    
2011|HD 284817                                                             |Star                           |04 50 15.4566195744 +20 16 11.186374080|180.0262258873901 -15.2590136488207|   5.372 -6.763  |10.55    |A0                |    ~     ~    
2012|HD 284790                                                             |Star                           |04 51 47.0812040256 +21 11 07.042686180|179.4951682770699 -14.4210759025411|  -5.154 -5.745  |9.79     |K0                |    ~     ~    
2013|HD 284902                                                             |Star                           |04 52 21.5837228592 +20 40 11.511815160|180.0034611130804 -14.6249857547579|   5.425 -5.879  |10.57    |A5                |    ~     ~    
2014|HD 284685                                                             |Star                           |04 46 01.9031066016 +21 20 15.052541424|178.5243357699223 -15.3903895381767|  8.000 -10.280  |10.72    |F0                |    ~     ~    
2015|HD 284684                                                             |Star                           |04 46 54.1505768544 +21 22 56.628034932|178.6168049589303 -15.2028683509224|   1.816 -0.094  |10.55    |K2                |    ~     ~    
2016|HD 284775                                                             |Star                           |04 51 16.6145203944 +21 30 03.674264616|179.1618712108153 -14.3239978410727|  -2.749 -3.124  |10.07    |A0                |    ~     ~    
2017|HD 284891                                                             |Star                           |04 52 14.8577341056 +21 18 52.583547276|179.4561190142945 -14.2569822913169|    2.290 4.062  |9.95     |K0                |    ~     ~    
2018|NGC 1647 15                        HD 30123                           |Emission-line Star             |04 45 34.6852280304 +19 19 41.869685676|180.1091007560164 -16.7052447522726|  -1.229 -1.383  |8.61     |B5IV+             |    ~     ~    
2019|NGC 1647 99                        HD 284840                          |Star                           |04 46 16.0957604424 +19 17 07.021480056|180.2482373673405 -16.6022975287493|  -0.472 -1.091  |10.15    |B9                |    ~     ~    
2020|NGC 1647 105                       HD 30233                           |Star                           |04 46 35.8962872400 +19 29 39.299764128|180.1246706376014 -16.4133866526196|  -0.993 -1.557  |8.450    |K2                |    ~     ~    
2021|NGC 1647 84                        HD 284835                          |Star                           |04 47 42.7901299512 +19 19 07.769580636|180.4363134935673 -16.3110608855943|  4.362 -10.759  |8.832    |K4                |    ~     ~    
2022|HD 284827                                                             |Star                           |04 48 45.8726942400 +19 43 26.248580616|180.2570252236012 -15.8685341984889|  3.259 -10.963  |9.59     |F5                |    ~     ~    
2023|HD 284828                                                             |Star                           |04 49 37.0375538544 +19 33 24.754529376|180.5215409647368 -15.8095928905857|   0.422 -2.372  |10.01    |B5                |    ~     ~    
2024|HD 30632                                                              |Star                           |04 50 15.3171539640 +19 55 24.414612384|180.3121098488127 -15.4686545529454|  23.976 -3.135  |8.53     |K0                |    ~     ~    
2025|HD 30725                                                              |Star                           |04 50 54.9172842984 +19 45 51.518853612|180.5409116754614 -15.4407286298086|   1.697 -0.291  |9.76     |A3                |    ~     ~    
2026|NGC 1647 54                        HD 285992                          |Star                           |04 45 08.1579795096 +19 08 09.600161316|180.2018157139584 -16.9052247815931|  -1.085 -1.639  |10.14    |A0V               |    ~     ~    
2027|NGC 1647 10                        HD 286007                          |Double or Multiple Star        |04 45 11.3164260960 +19 01 11.344049148|180.3060095773720 -16.9661990299599|  -1.305 -1.509  |10.21    |A5                |    ~     ~    
2028|NGC 1647 51                        BD+18 701                          |Star                           |04 45 15.3590994240 +19 07 23.763275976|180.2304284557819 -16.8905212818503|  -1.457 -1.432  |9.90     |B8                |    ~     ~    
2029|NGC 1647 55                        HD 284844                          |Star                           |04 45 17.9656203552 +19 12 41.264222580|180.1639238155772 -16.8286124180542|  -1.053 -1.521  |10.32    |A0                |    ~     ~    
2030|NGC 1647 50                        HD 286006                          |Pulsating Variable             |04 45 32.1552796272 +19 01 25.522247640|180.3550127615165 -16.8986993734489|  -0.617 -1.588  |10.00    |A2                |    ~     ~    
2031|NGC 1647 5                         HD 286014                          |Star                           |04 45 33.0365556384 +18 57 41.839033032|180.4087475169056 -16.9337672880812|  -0.449 -0.377  |10.27    |B9                |    ~     ~    
2032|NGC 1647 13                        HD 284843                          |Double or Multiple Star        |04 45 37.3180808592 +19 14 25.234488060|180.1884952814039 -16.7506527466484|  -2.411 -3.237  |10.804   |A                 |    ~     ~    
2033|NGC 1647 48                        BD+18 708                          |Star                           |04 45 42.2695579152 +19 07 07.298622912|180.3016588106812 -16.8092999367560|  -1.257 -1.655  |10.40    |B8                |    ~     ~    
2034|NGC 1647 49                        HD 285994                          |Star                           |04 45 42.6376134504 +19 06 18.930453408|180.3137147769583 -16.8163305083779|  -1.735 -1.748  |10.08    |A                 |    ~     ~    
2035|NGC 1647 224                       HD 286015                          |Star                           |04 45 50.0542267344 +18 57 17.936121636|180.4568952033266 -16.8845826668937|  -1.345 -1.533  |10.96    |A                 |    ~     ~    
2036|NGC 1647 3                         HD 286016                          |Star                           |04 45 54.2548340136 +18 56 59.152575480|180.4717423126554 -16.8746128558056|  -0.981 -1.726  |9.617    |A                 |    ~     ~    
2037|NGC 1647 45                        HD 30170                           |Star                           |04 45 55.9494125160 +19 10 51.539991168|180.2842822250900 -16.7286621406202|  -0.986 -1.349  |8.859    |A0                |    ~     ~    
2038|NGC 1647 42                        HD 285995                          |Star                           |04 46 00.4474223640 +19 07 18.847064496|180.3444907167882 -16.7505645948897|  -0.980 -1.739  |9.633    |B9                |    ~     ~    
2039|NGC 1647 37                        HD 286004                          |Star                           |04 46 05.7944450448 +19 02 22.379074152|180.4261404353516 -16.7839315955354|  -1.093 -1.404  |10.22    |A0                |    ~     ~    
2040|NGC 1647 2                         HD 30179                           |Star                           |04 46 05.0998307760 +18 48 02.663300556|180.6226046627962 -16.9311914932095|  -0.974 -1.422  |7.47     |K0                |    ~     ~    
2041|NGC 1647 39                        HD 286002                          |Star                           |04 46 13.0921085280 +19 04 18.946863768|180.4175345092385 -16.7414276500177| -16.442 -9.033  |10.31    |G5V               |    ~     ~    
2042|NGC 1647 31                        HD 286003                          |Star                           |04 46 25.8667332528 +19 01 55.275989952|180.4825538531754 -16.7257137213332|  -2.398 -0.938  |10.29    |B9                |    ~     ~    
2043|NGC 1647 29                        HD 285997                          |Star                           |04 46 36.9261728832 +19 06 48.888837720|180.4425202046530 -16.6415828144460|  -0.976 -1.219  |10.8     |B9                |    ~     ~    
2044|NGC 1647 34                        HD 286017                          |Star                           |04 46 46.1049075240 +18 56 26.455767252|180.6088828816789 -16.7177695980207|  -1.461 -1.478  |10.67    |B9                |    ~     ~    
2045|NGC 1647 23                        HD 285998                          |Star                           |04 46 53.0853651624 +19 07 26.609251980|180.4741317888608 -16.5846689078929|  -1.013 -1.563  |10.87    |A0                |    ~     ~    
2046|NGC 1647 22                        HD 30263                           |Star                           |04 46 54.7319780808 +19 04 48.773276472|180.5146021372274 -16.6061170886204|  -1.076 -1.481  |9.06     |B8III             |    ~     ~    
2047|NGC 1647 82                        HD 286050                          |Star                           |04 48 21.4084180392 +19 09 47.774132856|180.6611235474738 -16.2842709547291|  -4.692 -9.278  |10.16    |A2                |    ~     ~    
2048|HD 286058                                                             |Star                           |04 48 42.7725381264 +18 58 26.075233452|180.8713254117253 -16.3315454827333|  8.526 -19.208  |10.39    |F8                |    ~     ~    
2049|HD 284831                                                             |High Proper Motion Star        |04 50 18.5265609816 +19 11 29.678137332|180.9267835776875 -15.8994491914732| -9.082 -59.124  |9.18     |K0                |    ~     ~    
2050|HD 284931                                                             |Star                           |04 52 03.5107047456 +19 13 48.370405872|181.1521234741724 -15.5458026212929| -7.154 -15.119  |10.25    |G0                |    ~     ~    
2051|HD 284829                                                             |High Proper Motion Star        |04 49 03.8943273288 +19 27 46.652364000|180.5176541116555 -15.9700613314483|54.409 -121.496  |10.705   |K4V               |    ~     ~    
2052|HD 284716                                                             |Star                           |04 45 17.2047834144 +19 47 19.455666864|179.6849447409202 -16.4783581163863|  0.924 -13.080  |10.14    |K0                |    ~     ~    
2053|HD 284826                                                             |Star                           |04 47 28.9985552544 +19 56 15.761686524|179.8901868386511 -15.9782577716746| -0.052 -14.892  |9.93     |G5                |    ~     ~    
2054|HD 284830                                                             |Star                           |04 49 57.3782938008 +19 21 59.803583364|180.7294018729140 -15.8605539230983|  3.358 -11.688  |10.58    |K7                |    ~     ~    
2055|HD 284813                                                             |Star                           |04 51 39.5111612424 +19 57 36.188057124|180.4877928686248 -15.1833786672391|  -0.577 -5.527  |10.53    |A0                |    ~     ~    
2056|HD 284921                                                             |Star                           |04 51 53.6341402872 +19 48 02.201504436|180.6543310474633 -15.2349305209459|  -2.890 -4.698  |10.05    |A3                |    ~     ~    
2057|HD 284905                                                             |High Proper Motion Star        |04 52 14.4667609176 +19 57 35.543025288|180.5731335238706 -15.0740418253758|31.044 -103.178  |10.28    |G0                |    ~     ~    
2058|HD 284906                                                             |Star                           |04 52 22.9517572416 +19 56 21.628318236|180.6107946379915 -15.0597782594116|  -1.030 -5.617  |10.63    |A5                |    ~     ~    
2059|IRAS 04479+2046                                                       |Variable Star                  |04 50 57.3728396904 +20 51 19.533273300|179.6457684324518 -14.7745567739978|    9.816 1.147  |10.721   |~                 |    ~     ~    
2060|HD 284930                                                             |High Proper Motion Star        |04 52 23.5314653976 +18 59 48.866831160|181.3951295191248 -15.6219790566835| 79.166 -35.233  |10.280   |K0                |    ~     ~    
2061|NGC 1647 102                       HD 284841                          |Star                           |04 45 48.6588682008 +19 16 56.142815088|180.1821695488448 -16.6897397594756|  -1.108 -1.280  |9.29     |B6.5V+            |    ~     ~    
2062|HD 284785                                                             |High Proper Motion Star        |04 47 08.9337069096 +20 52 56.325830232|179.0630554012462 -15.4639640166675| 98.493 -50.063  |9.77     |K4:V              |    ~     ~    
2063|NGC 1647 94                        HD 284839                          |Star                           |04 46 22.3564387632 +19 12 18.879462756|180.3301715839997 -16.6314292087129|  -1.476 -1.566  |9.74     |B8-7IV            |    ~     ~    
2064|NGC 1647 19                        NGC 1647 19                        |Star                           |04 47 22.6301255112 +19 16 41.835375876|180.4198191443933 -16.3986856367329|    7.416 0.204  |10.97    |~                 |    ~     ~    
2065|HD 284834                                                             |Star                           |04 47 34.8784940856 +19 26 57.135037200|180.3086608776770 -16.2567310330515| -1.961 -10.020  |10.56    |K5                |    ~     ~    
2066|HD 286051                                                             |Variable Star                  |04 50 06.2676665520 +19 09 52.407418248|180.9190675431474 -15.9542441518420|  -7.910 -5.292  |10.60    |G                 |    ~     ~    
2067|IRAS 04495+1932                                                       |Long-Period Variable Candidate |04 52 29.6068729008 +19 37 01.457530392|180.8942550911927 -15.2320398387563|  8.813 -18.187  |10.81    |~                 |    ~     ~    
2068|TYC 1292-1352-1                                                       |Star                           |04 51 43.9419204984 +21 09 44.565504552|179.5063962127011 -14.4446432924853|   1.459 -8.828  |10.43    |~                 |    ~     ~    
2069|NGC 1647 44                        HD 285996                          |Star                           |04 45 58.1082625320 +19 10 39.037765872|180.2925588722147 -16.7240347584167|  -1.155 -1.349  |9.25     |B9                |    ~     ~    
2070|NGC 1647                           NGC 1647                           |Open Cluster                   |04 45 55.4 +19 04 44                   |180.3675 -16.7923                  |  -1.057 -1.502  |6.4      |~                 |50.0  50.0     
2071|HD 286020                                                             |Star                           |04 45 43.3253556480 +18 30 31.706836956|180.8107078220161 -17.1766994640974|   4.523 -8.558  |9.73     |G0                |    ~     ~    
2072|NGC 1647 1                         HD 30197                           |Spectroscopic Binary           |04 46 16.8269415552 +18 44 04.891683912|180.7068275872418 -16.9345020068335| 73.421 -70.166  |5.981    |K4III             |    ~     ~    
2073|NGC 1647 181                       HD 30283                           |Star                           |04 46 56.6465158416 +18 42 03.889421244|180.8342785863355 -16.8298655483392|  -0.960 -1.710  |9.78     |B9                |    ~     ~    
2074|HD 30310                                                              |Star                           |04 47 07.1469709824 +18 29 15.481034232|181.0381198787841 -16.9259403057190| -1.893 -32.510  |7.74     |K0                |    ~     ~    
2075|HD 286019                                                             |Star                           |04 47 31.3496842776 +18 29 51.208233180|181.0902204270165 -16.8437238418325|  -1.408 -1.620  |10.40    |B8                |    ~     ~    
2076|HD 30381                                                              |Star                           |04 47 51.2540054880 +18 24 51.705622080|181.2091273784299 -16.8311670842829|  -0.830 -2.228  |9.86     |B9                |    ~     ~    
2077|HD 286059                                                             |Star                           |04 48 18.5748403968 +18 47 02.998126860|180.9691002090760 -16.5220930373954|   10.927 7.223  |9.06     |G5                |    ~     ~    
2078|HD 286061                                                             |Star                           |04 48 19.3312625328 +18 33 56.429252100|181.1528633337366 -16.6514390618911|-15.005 -11.029  |9.66     |F2                |    ~     ~    
2079|HD 30505                                                              |Double or Multiple Star        |04 49 03.5216214624 +18 38 28.489787988|181.1995118244140 -16.4666037293561| 89.272 -39.064  |8.947    |K1V               |    ~     ~    
2080|HD 286063                                                             |Star                           |04 50 46.5292583448 +18 19 26.995541592|181.7184463882696 -16.3309226035800| 12.492 -23.330  |9.95     |G0                |    ~     ~    
2081|HD 286053                                                             |Rotating Variable              |04 51 11.6922306264 +18 51 57.773777184|181.3282462649419 -15.9271818495864|  6.129 -44.079  |10.454   |G3V               |    ~     ~    
2082|* i Tau                                                               |delta Sct Variable             |04 51 22.4635311552 +18 50 23.485866432|181.3764969617560 -15.9088273433022| 82.319 -35.743  |5.085    |A7IV-V            |    ~     ~    
2083|HD 30886                                                              |Star                           |04 52 12.0873957576 +18 53 08.128443696|181.4599156578131 -15.7246169585194|-20.894 -30.671  |9.75     |A0                |    ~     ~    
2084|HD 30355                                                              |High Proper Motion Star        |04 47 37.5763702488 +18 15 31.483154520|181.3048254781158 -16.9681304605992| 83.252 -37.697  |8.522    |G5V               |    ~     ~    
2085|HD 286066                                                             |Star                           |04 50 15.9110087544 +18 07 22.069351560|181.8112621001473 -16.5484275065240|-29.338 -29.645  |9.78     |F5                |    ~     ~    
2086|HD 286060                                                             |Star                           |04 48 31.2376194576 +18 34 19.711927704|181.1770399159862 -16.6100053097207|  -0.867 -1.545  |10.84    |A0                |    ~     ~    
2087|HD 286055                                                             |Spectroscopic Binary           |04 50 40.6614610992 +18 43 06.819385548|181.3748792680004 -16.1135306243252| 11.199 -11.887  |10.82    |K0                |    ~     ~    
2088|HD 286021                                                             |Star                           |04 45 32.0039993664 +18 31 23.008971252|180.7704334190825 -17.2035982345061|    5.491 2.480  |10.00    |K2                |    ~     ~    
2089|HD 286062                                                             |Star                           |04 48 11.8924640880 +18 28 07.193459856|181.2152115307761 -16.7333422808994|  -0.970 -1.423  |9.98     |B9                |    ~     ~    
2090|HD 286056                                                             |Spectroscopic Binary           |04 50 19.2161990520 +18 50 44.436357888|181.2161924384321 -16.1050275180919| -3.005 -20.764  |10.43    |K2                |    ~     ~    
2091|HD 286025                                                             |Star                           |04 46 23.0121470640 +17 22 14.011456980|181.8611093913412 -17.7391344995505|   -0.630 2.387  |9.65     |K7                |    ~     ~    
2092|HD 30264                                                              |Double or Multiple Star        |04 46 49.4560880256 +17 44 54.002029956|181.6110068226656 -17.4278360271242| 89.223 -32.369  |9.581    |K3                |    ~     ~    
2093|HD 286023                                                             |Star                           |04 47 17.9709535560 +18 04 41.201343012|181.4066751227529 -17.1389277550868|  -5.250 -4.359  |10.48    |A0                |    ~     ~    
2094|HD 30382                                                              |Star                           |04 47 49.3325142552 +17 54 30.433920012|181.6267383688710 -17.1417923261211|  0.290 -10.485  |9.92     |G5                |    ~     ~    
2095|HD 30456B                                                             |Star                           |04 48 34.8596595912 +17 48 30.660818652|181.8237673120372 -17.0573897031546| -2.116 -43.786  |9.91     |~                 |    ~     ~    
2096|HD 30662                                                              |Variable Star                  |04 50 19.3662388776 +17 31 14.832251868|182.3242244463222 -16.8966519380119| 18.280 -28.035  |9.03     |F2                |    ~     ~    
2097|HD 286076                                                             |Star                           |04 51 41.4470153832 +17 27 22.947761628|182.5808444612674 -16.6726210614533|  8.459 -12.289  |10.01    |K0                |    ~     ~    
2098|HD 30843                                                              |Star                           |04 51 50.8198501560 +17 41 27.178283832|182.4069465710754 -16.5034920501712|-19.774 -11.179  |9.18     |F8                |    ~     ~    
2099|HD 286069                                                             |Star                           |04 51 56.7992160672 +17 38 19.728995928|182.4653505013089 -16.5152900995284|  31.641 -5.381  |9.96     |K0                |    ~     ~    
2100|HD 30284                                                              |Double or Multiple Star        |04 46 49.4005065744 +16 18 05.751168912|182.8272237104117 -18.2956258530913|   6.411 -3.906  |9.13     |K2                |0.0017  0.0    
2101|HD 286028                                                             |Star                           |04 47 04.9898885424 +16 43 38.702400060|182.5071202178980 -17.9912070824001|   8.741 -1.699  |9.73     |K0                |    ~     ~    
2102|HD 30483                                                              |High Proper Motion Star        |04 48 41.2747639488 +16 38 03.385333356|182.8265875602566 -17.7384006497098| 23.916 -80.214  |7.56     |F5                |    ~     ~    
2103|HD 30676                                                              |Spectroscopic Binary           |04 50 23.9234519856 +17 12 09.589313700|182.6028369911678 -17.0713780708015|102.944 -34.759  |7.095    |F8                |    ~     ~    
