C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
54  |TYC 2905-1283-1                                                       |Star                           |04 47 07.5584711496 +44 20 27.806232516|160.7072843522167 -00.5655523821839|  -0.016 -4.092  |10.35    |~                 |    ~     ~    
55  |TYC 2905-1639-1                                                       |Star                           |04 47 32.4800775504 +43 57 26.419052844|161.0481609350746 -00.7568901386209|   1.319 -0.051  |10.86    |~                 |    ~     ~    
56  |TYC 2906-893-1                                                        |Star                           |04 50 00.7650461304 +44 36 29.894085504|160.8343848494693 +00.0005389684435|  -7.013 -8.051  |10.69    |~                 |    ~     ~    
57  |TYC 2906-901-1                                                        |Star                           |04 50 09.5870754408 +44 07 08.303830752|161.2270768679641 -00.2925981328382| 11.848 -17.076  |10.49    |~                 |    ~     ~    
58  |TYC 2906-1096-1                                                       |Star                           |04 51 09.8332859256 +43 42 30.160260360|161.6584805667658 -00.4158358786186|   1.599 -5.762  |10.84    |~                 |    ~     ~    
59  |TYC 2906-1371-1                                                       |Star                           |04 50 12.7971102360 +44 14 41.891899164|161.1364097870043 -00.2045822110781| 23.860 -19.304  |10.29    |~                 |    ~     ~    
60  |TYC 3343-131-1                                                        |Star                           |04 48 56.0314 +45 07 43.111            |160.3126541 +00.1878651            |   1.521 -5.682  |10.23    |~                 |    ~     ~    
61  |TYC 3343-214-1                                                        |Star                           |04 48 19.9940519064 +45 11 26.854546740|160.1969345504890 +00.1468488124909| -11.650 -0.632  |10.75    |~                 |    ~     ~    
62  |TYC 3343-232-1                                                        |Star                           |04 47 48.6556726488 +45 20 34.576042920|160.0213935941165 +00.1747658445236|  -21.850 0.518  |10.19    |~                 |    ~     ~    
63  |TYC 3343-369-1                                                        |Star                           |04 47 19.1270876664 +45 30 57.368457576|159.8335728971054 +00.2206733567479|   -4.539 2.780  |10.79    |~                 |    ~     ~    
